时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.8093189342150975,88815754.10140565,-3622.4719938943454,418.1284427329464,1.9684278331810994,0.2072230065447831,0.07901994370295747,0.007557925618437276,2.0251443481068114,933.3534402408231,6.048797932367934,8.965451228880514,354.5731619014804,1.9461892040713042,4.862646757560925,160.1974927144238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.8093189342150975,88815754.10140565,-3622.4719938943454,418.1284427329464,1.9684278331810994,0.2072230065447831,0.07901994370295747,0.007557925618437276,2.0251443481068114,933.3534402408231,6.048797932367934,8.965451228880514,354.5731619014804,1.9461892040713042,4.862646757560925,160.1974927144238,3.5617210818931193,-1.6490383666510865e-06,-4.490045863700044e-07,1.0227454873717978e-06,-1.179152233209401e-05,7.995126196622023e-06,-3.298958156083558e-05,1.5822029684502335e-05,-5.962773770857229e-05,2.2549756553724416e-05,-8.615204588908379e-05,2.693032555880643e-05,-0.00010715404661935201,2.857907115616141e-05,-0.00011831661430470058,2.791054672871308e-05,-0.00011715545497046808,2.5896831241894352e-05,-0.00010341454165315104,2.3715410760878188e-05,-7.90555541785239e-05,2.2372805007203362e-05,-4.7849165080301556e-05,2.239730185280813e-05,-1.4645927265987409e-05,2.3683193010542926e-05,1.5539833041925553e-05,2.5535477836698637e-05,3.846347769336642e-05,2.6910356993698703e-05,5.1424177547024745e-05,2.678597365505061e-05,5.372987056290816e-05,2.455062509247399e-05,4.676282599294299e-05,2.0281090652391875e-05,3.363305898860455e-05,1.481265912323923e-05,1.849257491284373e-05,9.571634300038224e-06,5.637000412561143e-06,5.147827374869912e-06,-8.828756104181906e-07
3,3.8093189342150975,88815754.10140565,-3622.4719938943454,418.1284427329464,1.9684278331810994,0.2072230065447831,0.07901994370295747,0.007557925618437276,2.0251443481068114,933.3534402408231,6.048797932367934,8.965451228880514,354.5731619014804,1.9461892040713042,4.862646757560925,160.1974927144238,8.376303684939375,-3.8836441964004215e-06,-1.0497046455854746e-06,3.958822220951468e-06,-3.169424632020643e-05,2.318775419989241e-05,-8.957203562094387e-05,4.480100487646537e-05,-0.00016250991083187748,6.339583475867908e-05,-0.00023511361626663027,7.549532469108955e-05,-0.00029225165240105114,8.001498741968463e-05,-0.00032178486467751707,7.810310996548785e-05,-0.0003167110054706587,7.2476313522945e-05,-0.000276322330717127,6.643690573132032e-05,-0.00020620210442850656,6.2811880708573e-05,-0.00011708115316230891,6.307693731502443e-05,-2.277348336740888e-05,6.690349148720142e-05,6.243085350395265e-05,7.227609735665815e-05,0.0001264325615482,7.617529141941267e-05,0.00016154387434224031,7.564329474105241e-05,0.00016583272460580955,6.890924448259194e-05,0.00014332976886270583,5.620511655776754e-05,0.0001030615306104825,3.998588751171715e-05,5.711696507093561e-05,2.4465115060356547e-05,1.8113647590507106e-05,1.2109933240565171e-05,-2.087706346658468e-06
4,3.8093189342150975,88815754.10140565,-3622.4719938943454,418.1284427329464,1.9684278331810994,0.2072230065447831,0.07901994370295747,0.007557925618437276,2.0251443481068114,933.3534402408231,6.048797932367934,8.965451228880514,354.5731619014804,1.9461892040713042,4.862646757560925,160.1974927144238,12.884948783902642,-5.984511816621628e-06,-1.6007504787766919e-06,9.526722301615696e-06,-5.752270923414905e-05,4.531064916264603e-05,-0.0001641758656609005,8.553728303434672e-05,-0.00029884508198442885,0.00012014967368140826,-0.00043276099730738915,0.0001426429751361866,-0.0005374281796662783,0.00015097168218962097,-0.0005898958994622563,0.0001472784271004495,-0.0005769108309826318,0.0001366681004616914,-0.0004971828997937356,0.000125370356714193,-0.00036142317527568376,0.00011873283072606576,-0.00019019040360641497,0.00011954071881762848,-9.958860724068306e-06,0.00012712555784606303,0.00015187351652773406,0.0001375652731712488,0.00027211221429909293,0.00014498682597867334,0.0003360536023119722,0.00014363115036048952,0.00034009739460464614,0.0001300534545041071,0.0002921751206363406,0.00010473371819640624,0.00020992193957499136,7.253050320881084e-05,0.00011698846039627129,4.179525757488504e-05,3.8205396283375246e-05,1.8630568018647508e-05,-3.2349682188712285e-06
5,3.8093189342150975,88815754.10140565,-3622.4719938943454,418.1284427329464,1.9684278331810994,0.2072230065447831,0.07901994370295747,0.007557925618437276,2.0251443481068114,933.3534402408231,6.048797932367934,8.965451228880514,354.5731619014804,1.9461892040713042,4.862646757560925,160.1974927144238,18.78098406482408,-8.755052578627165e-06,-2.282577844324497e-06,2.6208092030029814e-05,-0.00011532609524449419,0.00010039496356419043,-0.00033363317647230347,0.00018363655656044523,-0.0006096640037266284,0.0002551778044890708,-0.0008834527917018357,0.0003015609264622854,-0.0010951381181120588,0.0003185223279475565,-0.0011963379712206879,0.0003104775077384399,-0.0011591397810993042,0.0002880508416151657,-0.0009810613888411738,0.00026431388090542447,-0.0006852345915810559,0.0002505878889742838,-0.0003158786903325051,0.0002528208040427251,7.007787766264329e-05,0.00026955817343517495,0.00041371216420654316,0.00029224832573221057,0.00066518143351398,0.0003080053388554059,0.0007930402812300696,0.00030414075450883947,0.0007899586779954279,0.0002730738012555661,0.0006737043794979153,0.00021596356381239798,0.0004832261843750392,0.0001437545275304231,0.0002707024965788334,7.520064098883253e-05,9.113414618922227e-05,2.7147630206083556e-05,-4.793516527996844e-06
6,3.8093189342150975,88815754.10140565,-3622.4719938943454,418.1284427329464,1.9684278331810994,0.2072230065447831,0.07901994370295747,0.007557925618437276,2.0251443481068114,933.3534402408231,6.048797932367934,8.965451228880514,354.5731619014804,1.9461892040713042,4.862646757560925,160.1974927144238,22.406561961776266,-1.0490385050974752e-05,-2.6437919210722216e-06,5.0397832457814465e-05,-0.00018663414874415206,0.00017285465799862708,-0.0005447028743265823,0.00030989715686103214,-0.0009976150810125555,0.0004275315606665532,-0.0014459989842972017,0.000503756094905565,-0.0017903084434598134,0.0005315445001902091,-0.0019499964117196153,0.0005180066981190405,-0.0018786696788623924,0.0004804863248254174,-0.00157248265195442,0.00044056509702802214,-0.0010705188493420777,0.0004172095012280637,-0.00044727370755430636,0.0004206338809935211,0.00020135812229691522,0.0004486364325834719,0.0007760969748169764,0.0004868365775651903,0.0011929973450254731,0.0005132248443228965,0.0013992740087729546,0.0005059507157989139,0.0013830522967171158,0.0004519151168856815,0.0011750542232936102,0.0003531713279419746,0.000841941694294438,0.00022874938519923879,0.00047282329506222567,0.00011112043398383552,0.0001616715272104625,3.236232435240502e-05,-5.833440182123258e-06
7,3.8093189342150975,88815754.10140565,-3622.4719938943454,418.1284427329464,1.9684278331810994,0.2072230065447831,0.07901994370295747,0.007557925618437276,2.0251443481068114,933.3534402408231,6.048797932367934,8.965451228880514,354.5731619014804,1.9461892040713042,4.862646757560925,160.1974927144238,24.39733431690117,-1.1471097143108057e-05,-2.7902229143299387e-06,7.603089409773093e-05,-0.0002576937948391778,0.0002467500157857535,-0.0007560501060177318,0.0004374168072238835,-0.0013866919422055837,0.0006010091101844168,-0.0020106823261976966,0.0007071707797760804,-0.0024885797947639815,0.000746093691601152,-0.0027074797174250495,0.0007273281924824217,-0.002602361606698972,0.000674607117009173,-0.002167918960387884,0.0006178502284519457,-0.001459145280618919,0.000583798824957684,-0.0005808527325514993,0.0005873120511014397,0.00033194388965702135,0.0006258456078743784,0.0011393441667315117,0.0006793745095202752,0.0017229906243018958,0.0007166243858611132,0.002008512040160181,0.0007062231201456279,0.0019793957015494905,0.0006292219965410611,0.0016793911743207513,0.000488480894628437,0.0012030515282226509,0.0003113104027057037,0.0006766169926005391,0.00014421505587557348,0.00023322112968954248,3.5205580639743554e-05,-6.474366095876135e-06
8,3.8093189342150975,88815754.10140565,-3622.4719938943454,418.1284427329464,1.9684278331810994,0.2072230065447831,0.07901994370295747,0.007557925618437276,2.0251443481068114,933.3534402408231,6.048797932367934,8.965451228880514,354.5731619014804,1.9461892040713042,4.862646757560925,160.1974927144238,25.643950983734218,-1.2108906658115323e-05,-2.8386220944473364e-06,0.00010230396832457699,-0.00032878431956217716,0.00032119436823917696,-0.0009681484696376477,0.0005652910802336387,-0.0017778246836530748,0.0007747611754730956,-0.002579239240703762,0.0009110734102610868,-0.0031928862436827786,0.0009615930412873677,-0.0034732903360787173,0.0009380181088700162,-0.0033365672462500407,0.0008700959086816347,-0.002775695024091617,0.0007958749213823819,-0.0018613238521549824,0.0007499875136525963,-0.0007283817331221319,0.0007523391787924339,0.0004490760462448149,0.0008005085878554555,0.0014904433442407012,0.0008690941377782755,0.002242722753263879,0.0009174938285371035,0.0026096682919687195,0.0009044982554851937,0.0025698685364138854,0.0008049654694239636,0.0021799055195191675,0.0006224015644426245,0.001562074590963119,0.0003924746268383276,0.0008796202707772026,0.00017590906387261054,0.00030475724747271106,3.6971795150306176e-05,-6.93252119743333e-06
9,3.8093189342150975,88815754.10140565,-3622.4719938943454,418.1284427329464,1.9684278331810994,0.2072230065447831,0.07901994370295747,0.007557925618437276,2.0251443481068114,933.3534402408231,6.048797932367934,8.965451228880514,354.5731619014804,1.9461892040713042,4.862646757560925,160.1974927144238,26.49210041644985,-1.2563798990384694e-05,-2.8343633652069017e-06,0.0001288952578270704,-0.00039999034833189314,0.000395822701954488,-0.0011811359521152788,0.0006931411496511567,-0.0021713361470754263,0.0009484279095094778,-0.0031523537596880374,0.001115152469472728,-0.003904458444321547,0.0011778003957161065,-0.004249361900794848,0.0011499104141815143,-0.004084017496547154,0.0010668498340051648,-0.003399347842560291,0.0009745664538103139,-0.0022813085938048,0.000915688707264747,-0.0008946442218710534,0.0009155765562158186,0.0005477128035745155,0.0009724241153755845,0.0018244159473995833,0.0010557605835187721,0.002747601389660336,0.0011156297193923286,0.003198807938850593,0.001100684887992078,0.003151369352296065,0.0009792335580518755,0.0026743849467606527,0.0007552274326724074,0.0019176210968310401,0.00047271662111038457,0.0010810971548041819,0.00020678801294760099,0.00037596719536479346,3.816396197621269e-05,-7.292093993738323e-06
10,3.8093189342150975,88815754.10140565,-3622.4719938943454,418.1284427329464,1.9684278331810994,0.2072230065447831,0.07901994370295747,0.007557925618437276,2.0251443481068114,933.3534402408231,6.048797932367934,8.965451228880514,354.5731619014804,1.9461892040713042,4.862646757560925,160.1974927144238,27.100964489111465,-1.2909487797986465e-05,-2.798384975443143e-06,0.00015564696330700104,-0.0004713277559094327,0.00047044079560955494,-0.001395016037543775,0.0008207464875353724,-0.0025672818873892955,0.0011217778700434826,-0.00373023197850608,0.0013191847740770624,-0.0046237617890513135,0.0013945215337914194,-0.005036512680151066,0.0013628560210520425,-0.004845941146459416,0.0012647684440611376,-0.004040525573433811,0.0011538588318017544,-0.002721121432685016,0.001080842279778021,-0.0010819362707923269,0.0010769396099084532,0.0006254290941841717,0.0011414680437069797,0.0021388789462675932,0.0012392219974119607,0.003235453154972264,0.0013108903534476048,0.003774100602111646,0.0012947007884125436,0.0037224874864772916,0.0011520433063152435,0.0031618501556700124,0.0008870877944702897,0.0022690946484139507,0.0005522587939783089,0.0012807412415499553,0.00023712575663916655,0.0004467210051015581,3.901389860540216e-05,-7.5919041181532545e-06
