时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.3740193334025865,41874505.56804928,9136.253501505505,203.5770570894933,1.4220433584968888,0.1139327907997843,0.05051856518456179,0.007609083731246574,1.4460232984055867,655.8216062127227,1.5879609604681946,3.4393134031269685,350.8320875204762,1.5879609604681946,3.4393134031269685,350.8320875204762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.3740193334025865,41874505.56804928,9136.253501505505,203.5770570894933,1.4220433584968888,0.1139327907997843,0.05051856518456179,0.007609083731246574,1.4460232984055867,655.8216062127227,1.5879609604681946,3.4393134031269685,350.8320875204762,1.5879609604681946,3.4393134031269685,350.8320875204762,1.5906454432126185,-5.291229805159984e-06,-7.439145983513177e-07,-4.404516878668855e-06,-7.945911632373636e-06,-1.380568708092421e-06,-2.0766138820174994e-05,2.0017216454681787e-06,-3.684454495613269e-05,4.973687808455617e-06,-5.3374792591597484e-05,7.0477247690925e-06,-6.769587847081512e-05,8.053716996248466e-06,-7.766350815108477e-05,8.105053708040022e-06,-8.193843693585675e-05,7.516915509264372e-06,-8.01383006754029e-05,6.695457271665312e-06,-7.282998322406121e-05,6.020507998815138e-06,-6.13670377227547e-05,5.746535306329442e-06,-4.760356548593827e-05,5.945009720651747e-06,-3.35373015611811e-05,6.503418805050778e-06,-2.0947771453000617e-05,7.1815450188619825e-06,-1.1097133243190555e-05,7.707619459540752e-06,-4.55032563085589e-06,7.882135068704133e-06,-1.1484141747168618e-06,7.651990273623751e-06,-1.394521250140606e-07,7.125420731261833e-06,-4.3962125581616364e-07,6.526327065221964e-06,-9.76567869260263e-07,5.279951718857067e-06,-7.728332381117172e-07
3,2.3740193334025865,41874505.56804928,9136.253501505505,203.5770570894933,1.4220433584968888,0.1139327907997843,0.05051856518456179,0.007609083731246574,1.4460232984055867,655.8216062127227,1.5879609604681946,3.4393134031269685,350.8320875204762,1.5879609604681946,3.4393134031269685,350.8320875204762,4.360159694779955,-1.4526310183137904e-05,-2.037626549076418e-06,-1.1891548127095245e-05,-2.247403843010925e-05,-3.1980706298067163e-06,-5.914877266620285e-05,6.564471770667188e-06,-0.00010534915435258122,1.516391353629936e-05,-0.00015293260135128435,2.1167895297915874e-05,-0.00019407811701774996,2.4067634250604248e-05,-0.0002224343467744221,2.418870736024506e-05,-0.00023401468070755936,2.2455285157804075e-05,-0.0002276780386686289,2.006382268073326e-05,-0.00020512513223337452,1.8133800761598296e-05,-0.0001704231434596479,1.7409949265571946e-05,-0.00012915274024387574,1.8086624123542032e-05,-8.733580845038689e-05,1.9802313539315965e-05,-5.034211674079291e-05,2.1808499239567955e-05,-2.197890035439347e-05,2.326227636971714e-05,-3.934666189512487e-06,2.354630570474699e-05,4.319743179460345e-06,2.2503250949295992e-05,5.159069550580926e-06,2.0494964639790888e-05,2.0417910707992617e-06,1.8279169194450346e-05,-1.4962766483685156e-06,1.4492356487458598e-05,-2.1247532632273783e-06
4,2.3740193334025865,41874505.56804928,9136.253501505505,203.5770570894933,1.4220433584968888,0.1139327907997843,0.05051856518456179,0.007609083731246574,1.4460232984055867,655.8216062127227,1.5879609604681946,3.4393134031269685,350.8320875204762,1.5879609604681946,3.4393134031269685,350.8320875204762,7.162972281958048,-2.390274066784531e-05,-3.3436545708308593e-06,-1.9141980362849036e-05,-3.838070117449773e-05,-4.025484593515102e-06,-0.00010179076163486241,1.3011451405805101e-05,-0.00018201437928210083,2.805022655780122e-05,-0.0002647590064384552,3.8549127694787544e-05,-0.0003361210512442403,4.359089983563003e-05,-0.0003847243833791851,4.374254251797723e-05,-0.00040339672923340314,4.06443071665391e-05,-0.00039008758272396745,3.6429031879068294e-05,-0.0003478962861355018,3.309328301059912e-05,-0.0002842315955145092,3.1955364623896744e-05,-0.00020927200261053742,3.333094937467546e-05,-0.00013401430810863998,3.651808158582562e-05,-6.827162406941543e-05,4.01042142393712e-05,-1.8993912708184e-05,4.2506478498130146e-05,1.077425662907034e-05,4.257000326792367e-05,2.210795762184855e-05,4.00166870594291e-05,1.9560569707244883e-05,3.557810004846627e-05,9.812556848039786e-06,3.0792536005317584e-05,-1.2506719880653495e-07,2.384080857252776e-05,-3.502691337740522e-06
5,2.3740193334025865,41874505.56804928,9136.253501505505,203.5770570894933,1.4220433584968888,0.1139327907997843,0.05051856518456179,0.007609083731246574,1.4460232984055867,655.8216062127227,1.5879609604681946,3.4393134031269685,350.8320875204762,1.5879609604681946,3.4393134031269685,350.8320875204762,9.94488183766495,-3.324173462860065e-05,-4.63452997279496e-06,-2.5853492692018786e-05,-5.590367130288399e-05,-3.398065976328268e-06,-0.00014949566324292817,2.198692221335306e-05,-0.0002683749161745414,4.442955653033476e-05,-0.00039110622892322446,6.008473587224857e-05,-0.0004965835863669296,6.754670319547615e-05,-0.0005674167500973879,6.766218625911629e-05,-0.0005926027861517649,6.291904853370704e-05,-0.0005690155536071247,5.6565082942251406e-05,-0.000501501585098034,5.1641887481221436e-05,-0.0004016104956690698,5.01422275216392e-05,-0.0002852193803552236,5.2497566447360835e-05,-0.0001694963966944824,5.754628784178301e-05,-6.976586611742005e-05,6.301115308989337e-05,3.141206880712475e-06,6.63533911568832e-05,4.455580063129972e-05,6.573059697701934e-05,5.635522460976347e-05,6.073019889324324e-05,4.6014628711942144e-05,5.261293885379367e-05,2.454767081012806e-05,4.4023109984099195e-05,3.7473525586184204e-06,3.3145143298154195e-05,-4.882744446167138e-06
6,2.3740193334025865,41874505.56804928,9136.253501505505,203.5770570894933,1.4220433584968888,0.1139327907997843,0.05051856518456179,0.007609083731246574,1.4460232984055867,655.8216062127227,1.5879609604681946,3.4393134031269685,350.8320875204762,1.5879609604681946,3.4393134031269685,350.8320875204762,12.689329313391122,-4.248979356252848e-05,-5.899317610894448e-06,-3.175388698142199e-05,-7.571484101782457e-05,-6.851271897888156e-07,-0.0002042794871193173,3.4515411239164125e-05,-0.0003681496360531383,6.56617975479292e-05,-0.0005373784472774381,8.735156520690272e-05,-0.0006821479681197827,9.759078763973672e-05,-0.0007777377807402408,9.756255442586776e-05,-0.0008084709670395017,9.078118976086189e-05,-0.0007699508169959837,8.185005725499823e-05,-0.0006692695961699604,7.508219594992989e-05,-0.0005232211143324552,7.328122850320628e-05,-0.0003548857114793645,7.698655384224289e-05,-0.00018922847390087858,8.441374362333817e-05,-4.852571732205138e-05,9.214628791572828e-05,5.1528392940619664e-05,9.639533470055227e-05,0.00010430692369090942,9.443025737884171e-05,0.00011287516053169489,8.569361177231558e-05,8.86751912213051e-05,7.22024165600771e-05,4.8583929965724984e-05,5.8153478788144694e-05,1.0938960599301245e-05,4.2349442795522786e-05,-6.260226588763087e-06
7,2.3740193334025865,41874505.56804928,9136.253501505505,203.5770570894933,1.4220433584968888,0.1139327907997843,0.05051856518456179,0.007609083731246574,1.4460232984055867,655.8216062127227,1.5879609604681946,3.4393134031269685,350.8320875204762,1.5879609604681946,3.4393134031269685,350.8320875204762,15.489252566034354,-5.196544227657279e-05,-7.174788981351627e-06,-3.660646696133485e-05,-9.99525084147372e-05,5.400881516510889e-06,-0.0002723516557561884,5.30535102805461e-05,-0.0004927350619950002,9.521319874889509e-05,-0.000720189295423179,0.0001244864513197597,-0.000913559656707825,0.0001381296858133319,-0.0010385483769783594,0.00013776765414526103,-0.0010733909675410584,0.00012825217000034817,-0.00101212247049704,0.0001159569620210906,-0.0008649630808391081,0.00010685778997753288,-0.0006558532085213306,0.00010480870520098469,-0.000417647780691008,0.00011045170055437789,-0.0001858701161167249,0.00012110906590546123,7.819506239911386e-06,0.00013176379271279294,0.0001412231744485811,0.00013688250685307777,0.00020522221674355466,0.00013251234632446687,0.00020475024067817283,0.00011794018544154125,0.0001569918523919953,9.632437917160123e-05,8.72405853970646e-05,7.415119890160772e-05,2.325856180134279e-05,5.176582649641672e-05,-7.688439446224145e-06
8,2.3740193334025865,41874505.56804928,9136.253501505505,203.5770570894933,1.4220433584968888,0.1139327907997843,0.05051856518456179,0.007609083731246574,1.4460232984055867,655.8216062127227,1.5879609604681946,3.4393134031269685,350.8320875204762,1.5879609604681946,3.4393134031269685,350.8320875204762,18.3193273227653,-6.159391787054268e-05,-8.437325036764201e-06,-3.9499387363156304e-05,-0.000131323496564065,1.7178398965035946e-05,-0.00036177470174095266,8.146062615344365e-05,-0.0006569713152218311,0.0001382527448200566,-0.0009610852998021673,0.0001775076925648622,-0.0012174765115473426,0.00019549700573081078,-0.001378765459695167,0.00019446030211933617,-0.001414940333055857,0.00018107372367564815,-0.0013180807773634146,0.00016412969509199327,-0.0011030067920736032,0.0001518834913472513,-0.0008038733813633587,0.00014962340763039956,-0.0004674118035830593,0.0001580916535017675,-0.00014407702883963443,0.00017328940370118462,0.00012126586001463923,0.00018786170827323167,0.0002973777675867059,0.0001937394042020174,0.000371887216763934,0.00018521951208543398,0.0003527668539951242,0.00016143259114021006,0.00026583493888475163,0.0001273138092242336,0.0001488821914322005,9.282044095722886e-05,4.3622181339642775e-05,6.131040283857673e-05,-9.16734074224535e-06
9,2.3740193334025865,41874505.56804928,9136.253501505505,203.5770570894933,1.4220433584968888,0.1139327907997843,0.05051856518456179,0.007609083731246574,1.4460232984055867,655.8216062127227,1.5879609604681946,3.4393134031269685,350.8320875204762,1.5879609604681946,3.4393134031269685,350.8320875204762,21.302507957798774,-7.181936806009842e-05,-9.712548155063984e-06,-3.847366503383002e-05,-0.00017824136633247888,4.0843771322852535e-05,-0.000497336555163898,0.0001305946878673107,-0.0009064333574624388,0.00020962456822497984,-0.0013263627465919285,0.0002638795913976843,-0.001676285878358133,0.00028818048822386327,-0.0018884722014082444,0.0002857421795771069,-0.0019202550634986955,0.00026605993800599386,-0.0017610614706101513,0.00024167919041360563,-0.0014334679892908514,0.00022442603221554854,-0.0009882836730791145,0.00022185413457300943,-0.0004946572458437181,0.00023484219451756847,-2.7032744864909533e-05,0.00025720894252226784,0.00034865303683554556,0.000277733632676191,0.0005869486867754769,0.00028415733888859297,0.0006707556852783595,0.0002679250274156752,0.0006135966475805939,0.0002280198636943099,0.00045593839499292283,0.0001724865862513568,0.00025644554590643985,0.00011718652709644413,7.995347417915941e-05,7.14008067977008e-05,-1.0791016847487044e-05
10,2.3740193334025865,41874505.56804928,9136.253501505505,203.5770570894933,1.4220433584968888,0.1139327907997843,0.05051856518456179,0.007609083731246574,1.4460232984055867,655.8216062127227,1.5879609604681946,3.4393134031269685,350.8320875204762,1.5879609604681946,3.4393134031269685,350.8320875204762,23.587933974721,-7.973846595683907e-05,-1.0610904099479025e-05,-3.204678361493415e-05,-0.00023335817938560917,7.441546049777726e-05,-0.0006581928501138741,0.00019443514449919792,-0.0012026373155414392,0.00029968824940534647,-0.0017591890806279585,0.00037147299359449577,-0.0022177823466485503,0.000402965464355216,-0.0024862710251400207,0.0003985378087944356,-0.002507031675611191,0.00037099062125167404,-0.0022667548992149076,0.00033732234617712487,-0.0017979508338185964,0.00031368136049973364,-0.0011721505096680268,0.00031044175345725644,-0.000486157678585711,0.0003287164784031662,0.00015614651526422166,0.00035964578659385853,0.0006631304772724154,0.0003871613127922218,0.000972246499377277,0.00039371219221705076,0.0010611186516710073,0.0003671629677832027,0.0009507356368263181,0.0003064007666696316,0.0007002332546564845,0.00022353680899332308,0.00039450307630373773,0.0001419759124229825,0.00012717580473254093,7.915387146956626e-05,-1.2117974162154455e-05
