时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.1419421551299123,22170797.17285719,1908.2209827029437,42.06282126636073,1.398118352517756,0.13982543587281124,0.058073763381363046,0.0047688409124340405,1.4345611310576252,1041.502974764064,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.1419421551299123,22170797.17285719,1908.2209827029437,42.06282126636073,1.398118352517756,0.13982543587281124,0.058073763381363046,0.0047688409124340405,1.4345611310576252,1041.502974764064,10.0,10.0,0.0,10.0,10.0,0.0,2.5340204778482973,-4.1853612541197164e-07,-1.6570253997976926e-07,-1.2463627928133558e-05,2.902095248529461e-05,-2.212925739339621e-05,5.6115126659807074e-05,-2.904867884576136e-05,7.781452186407165e-05,-3.296853750140335e-05,9.159630324847335e-05,-3.415600166271321e-05,9.577860025032577e-05,-3.3287170056697465e-05,8.969106092115382e-05,-3.128140984709219e-05,7.374059082284687e-05,-2.9108781560593685e-05,4.936819927273879e-05,-2.760238290518736e-05,1.889993356467661e-05,-2.730563797492595e-05,-1.4691563988742063e-05,-2.837714367774568e-05,-4.808959369618525e-05,-3.056534850362561e-05,-7.796817168332619e-05,-3.325387585378051e-05,-0.00010132482457648808,-3.5567779699033805e-05,-0.00011577843942246391,-3.652297199257173e-05,-0.00011980369994200112,-3.519618827211168e-05,-0.0001128799764877503,-3.089141455309023e-05,-9.554133706227695e-05,-2.3279675898581704e-05,-6.932099471956555e-05,-1.2489761552575259e-05,-3.659782033701385e-05,4.18493350108237e-07,-1.6573435606075666e-07
3,1.1419421551299123,22170797.17285719,1908.2209827029437,42.06282126636073,1.398118352517756,0.13982543587281124,0.058073763381363046,0.0047688409124340405,1.4345611310576252,1041.502974764064,10.0,10.0,0.0,10.0,10.0,0.0,5.817402485661393,-9.610579845622808e-07,-3.80436751623522e-07,-3.476329571390186e-05,8.237859816074002e-05,-6.19952432308469e-05,0.00015895193017423842,-8.144833921795427e-05,0.0002202722004833385,-9.244091714530349e-05,0.00025933004007458124,-9.574207350674872e-05,0.00027144807639631265,-9.32626915126552e-05,0.0002547644700100084,-8.759116155503504e-05,0.00021042367840470305,-8.145252540283556e-05,0.00014246017908945956,-7.718198081800531e-05,5.738375310637584e-05,-7.629795807171749e-05,-3.648745701548352e-05,-7.923842131233276e-05,-0.00012987452373240183,-8.529414227783699e-05,-0.00021347594524336855,-9.273993928348165e-05,-0.00027890005811391744,-9.913527003309623e-05,-0.0003194991301483515,-0.00010174344507665255,-0.00033102552561636774,-9.800592031855445e-05,-0.00031204838892788056,-8.600490921664299e-05,-0.00026409346945679903,-6.485116441977732e-05,-0.0001914881047330221,-3.4936872984093724e-05,-0.00010093069676812461,9.60937802527448e-07,-3.804609725146224e-07
4,1.1419421551299123,22170797.17285719,1908.2209827029437,42.06282126636073,1.398118352517756,0.13982543587281124,0.058073763381363046,0.0047688409124340405,1.4345611310576252,1041.502974764064,10.0,10.0,0.0,10.0,10.0,0.0,9.570386698030074,-1.5815895287724222e-06,-6.259535681476879e-07,-7.597916486414089e-05,0.00018341476696431616,-0.0001361699560187548,0.00035304340418085907,-0.0001790365946275829,0.0004888013375132944,-0.00020315627228090325,0.0005754439165730857,-0.00021028462073727862,0.0006027937999133091,-0.00020468057307039284,0.0005668162612734856,-0.00019207897056374478,0.00047005392615846487,-0.0001784926410272398,0.00032138127331763066,-0.00016905035819595655,0.0001350981247308143,-0.0001670619382125192,-7.05360665691363e-05,-0.0001734509553870994,-0.00027516689529846126,-0.0001866260052215234,-0.0004584081036520507,-0.000202786986914388,-0.0006018893729746094,-0.00021659750514714236,-0.0006910853883435659,-0.0002221078234714196,-0.0007167523951859979,-0.00021378819926327552,-0.000675838992303718,-0.0001875289003753216,-0.0005717894880619759,-0.0001414743247070012,-0.0004142021860599691,-7.656862172219025e-05,-0.00021787946866142944,1.5813247366660522e-06,-6.258445480592542e-07
5,1.1419421551299123,22170797.17285719,1908.2209827029437,42.06282126636073,1.398118352517756,0.13982543587281124,0.058073763381363046,0.0047688409124340405,1.4345611310576252,1041.502974764064,10.0,10.0,0.0,10.0,10.0,0.0,13.443676230836834,-2.223066035413033e-06,-8.795226321238914e-07,-0.0001618666615830911,0.0003968016400678025,-0.0002915189333266949,0.0007617786830950233,-0.0003834331107363164,0.0010533882619914905,-0.00043474134184389904,0.0012393349703833777,-0.0004494244674372031,0.0012980695997898426,-0.0004368449897823252,0.0012211245404504375,-0.000409489600258043,0.00101408059053052,-0.00038034383393282064,0.0006960564407480166,-0.0003603695136587316,0.00029776235257906113,-0.0003565118087222082,-0.00014165881277829138,-0.0003705374893867995,-0.0005786467468175064,-0.0003988397553664009,-0.0009696536500951926,-0.0004331747893787128,-0.001275525127190162,-0.0004621545774702936,-0.0014653982116231935,-0.0004732301576176814,-0.0015197517040615545,-0.00045486306688503024,-0.0014323328837520639,-0.00039859165556691684,-0.0012107896537020088,-0.00030073560743363665,-0.0008759313940608339,-0.00016351111349867804,-0.0004596820409240221,2.2224973969943944e-06,-8.789337798609224e-07
6,1.1419421551299123,22170797.17285719,1908.2209827029437,42.06282126636073,1.398118352517756,0.13982543587281124,0.058073763381363046,0.0047688409124340405,1.4345611310576252,1041.502974764064,10.0,10.0,0.0,10.0,10.0,0.0,15.457595653796952,-2.558040653651575e-06,-1.0115632279497468e-06,-0.0002549333667441031,0.0006275629809587617,-0.0004602021311579394,0.001202976655452229,-0.0006051592469896536,0.0016618387856878318,-0.0006854415675005127,0.001953440895108603,-0.0007076412283395254,0.0020439745024615546,-0.0006869238357717464,0.0019202631028510855,-0.0006433459716069976,0.0015913276653959385,-0.0005975925283646971,0.0010875854532682828,-0.0005669260009946002,0.0004577483804771629,-0.0005620507787592116,-0.00023621353310074073,-0.000585367948114233,-0.000925457285279193,-0.0006308039611693446,-0.0015412841862605577,-0.0006851099022767883,-0.002022049201838237,-0.0007303061858448549,-0.0023192836317338333,-0.0007468223345467738,-0.0024024700989043113,-0.0007168524418121428,-0.0022620504747793784,-0.0006274895456493806,-0.0019104043768936976,-0.00047328045444517195,-0.0013806787827829391,-0.00025789585660934944,-0.0007235501784240137,2.557141193580186e-06,-1.0103442543171024e-06
7,1.1419421551299123,22170797.17285719,1908.2209827029437,42.06282126636073,1.398118352517756,0.13982543587281124,0.058073763381363046,0.0047688409124340405,1.4345611310576252,1041.502974764064,10.0,10.0,0.0,10.0,10.0,0.0,16.605795919325935,-2.7506025460758794e-06,-1.0870042157444474e-06,-0.0003478349468246011,0.0008557557525979937,-0.000628641834262419,0.0016387729416724832,-0.000826261478126951,0.002261982261303466,-0.0009348808114892399,0.002656308743834601,-0.0009638844727906989,0.002775729333795237,-0.0009344968094550126,0.002602432195026953,-0.0008745787176941582,0.0021490008595451684,-0.0008126352032622254,0.0014573170499914989,-0.0007721833976894202,0.0005942741954841901,-0.000767481290866788,-0.00035517752510903924,-0.0008012645501948082,-0.0012968205358655795,-0.0008646987608542927,-0.0021367889708177245,-0.0009393390059340358,-0.0027909982831859593,-0.0010005867755520812,-0.0031934691974433724,-0.001021988084684061,-0.0033028015218248773,-0.000979716215453964,-0.0031062464632287,-0.0008566797946315609,-0.0026210285003626737,-0.0006458308077518269,-0.0018927521778917382,-0.0003523264425274172,-0.0009909828296587528,2.7493719410636766e-06,-1.0851147489900976e-06
8,1.1419421551299123,22170797.17285719,1908.2209827029437,42.06282126636073,1.398118352517756,0.13982543587281124,0.058073763381363046,0.0047688409124340405,1.4345611310576252,1041.502974764064,10.0,10.0,0.0,10.0,10.0,0.0,17.34128087854789,-2.875627234480908e-06,-1.1354599343143995e-06,-0.0004402678673930884,0.0010802034051561632,-0.0007961871089063348,0.002067040499838087,-0.00104585899384626,0.002850949209709579,-0.0011820616147918332,0.003344568083246568,-0.0012171371563535313,0.003489721519664503,-0.001178598316181945,0.003264034732855958,-0.0011023131398711855,0.002683754872603014,-0.0010246958104632915,0.0018023527266747392,-0.0009754459592146843,0.0007050244455481131,-0.0009721537315493302,-0.000500216926317934,-0.001017586552349837,-0.001693760715914351,-0.0010998641404362593,-0.0027566240779015776,-0.0011951725797438222,-0.003582384690475661,-0.001272288458983242,-0.004087676539714886,-0.0012980313527024788,-0.0042203344734583845,-0.001242812124535901,-0.003964515215997219,-0.0010856171329980341,-0.0033423631447739616,-0.000817971099093943,-0.002412007429870087,-0.0004465279329044492,-0.0012619773137817305,2.8740664073259518e-06,-1.1328861402884244e-06
9,1.1419421551299123,22170797.17285719,1908.2209827029437,42.06282126636073,1.398118352517756,0.13982543587281124,0.058073763381363046,0.0047688409124340405,1.4345611310576252,1041.502974764064,10.0,10.0,0.0,10.0,10.0,0.0,17.84689383993903,-2.963343921137897e-06,-1.1688832777424396e-06,-0.0005320833608350163,0.0013004639128780897,-0.0009625256504895943,0.0024869836652507827,-0.0012635294558896758,0.003427668811279085,-0.0014265050218663956,0.004016962037664695,-0.0014669106381733313,0.0041846019554953925,-0.0014187649938303259,0.0039037217963517864,-0.0013261306998169236,0.0031943253642841185,-0.001233404114564268,0.00212158208922008,-0.0011763816402503785,0.0007890903519595531,-0.0011757558265152496,-0.0006720176346046133,-0.0012340216169707571,-0.0021167469172468398,-0.0013359731308655051,-0.0034010714893588363,-0.001452264440875867,-0.0043963489029289595,-0.0015450528880921954,-0.005001956473791225,-0.0015745987203978405,-0.005155078846623731,-0.0015058146882805776,-0.004836863903134503,-0.0013140273136542755,-0.004074435246053978,-0.0009894959661057767,-0.0029384947002394266,-0.0005403705503097932,-0.0015365899540166013,2.961454347499044e-06,-1.1656228469085828e-06
10,1.1419421551299123,22170797.17285719,1908.2209827029437,42.06282126636073,1.398118352517756,0.13982543587281124,0.058073763381363046,0.0047688409124340405,1.4345611310576252,1041.502974764064,10.0,10.0,0.0,10.0,10.0,0.0,18.211082013960926,-3.028375369633965e-06,-1.1930559041565264e-06,-0.0006231714254637555,0.0015163242531044895,-0.0011274359830570826,0.002898219281337869,-0.0014789755756603737,0.003991627030108761,-0.0016678752206234996,0.004672890925827823,-0.0017128637892011452,0.004859733500821728,-0.001654674692233475,0.0045208668954144,-0.0015457406329075823,0.003680141037431298,-0.0014385007501817742,0.0024145258441802854,-0.0013747523321774788,0.000846109293848069,-0.0013780550003217086,-0.0008708163988096879,-0.0014503271301729759,-0.002565897031802685,-0.0015727629495419606,-0.004070150907294349,-0.0017103303226393917,-0.005232841562703291,-0.0018185825442026014,-0.005936222057733331,-0.0018513954457510693,-0.00610693872136391,-0.0017684522881525437,-0.005723209938361821,-0.0015416822905617038,-0.00481718967990921,-0.0011602374190878245,-0.0034721909743379103,-0.0006337554902048743,-0.0018148239248453387,3.02615890018595e-06,-1.1891129144436172e-06
