时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,4.099590400679411,97319344.28178774,15808.170890015204,586.2777774908484,2.706883054443594,0.33900174663974525,0.08955382286286098,0.008495001243105251,2.816177306646815,1147.3815580599544,5.918257915115324,9.654338071087029,833.8350350450464,5.918257915115324,9.654338071087029,833.8350350450464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.099590400679411,97319344.28178774,15808.170890015204,586.2777774908484,2.706883054443594,0.33900174663974525,0.08955382286286098,0.008495001243105251,2.816177306646815,1147.3815580599544,5.918257915115324,9.654338071087029,833.8350350450464,5.918257915115324,9.654338071087029,833.8350350450464,4.04132105467897,-1.5024582795935297e-06,-4.372797308065326e-07,2.9926082157469033e-06,-1.3082140627379073e-05,1.3457029166098161e-05,-3.893072321341174e-05,2.5460306157392614e-05,-7.215796661522878e-05,3.5816011480908025e-05,-0.0001052047625951519,4.243236957234786e-05,-0.0001305345083320383,4.465168324810688e-05,-0.00014209054397808658,4.3183429595391266e-05,-0.0001364550613471897,3.969440030307095e-05,-0.00011347642774461955,3.618130374684085e-05,-7.626705269567208e-05,3.429393500080509e-05,-3.0578706853891836e-05,3.4792331025711455e-05,1.6323459657464177e-05,3.7295448413653534e-05,5.7075939880102e-05,4.0407460606356036e-05,8.56480303665663e-05,4.2200015962830554e-05,9.850498992162544e-05,4.091359217605857e-05,9.526609501915051e-05,3.56589815825321e-05,7.872362527664903e-05,2.6883466746873247e-05,5.421816824628633e-05,1.643355885616696e-05,2.8508051879656565e-05,7.172230615563043e-06,8.345363578131188e-06,1.4858366163454426e-06,-4.65419892352168e-07
3,4.099590400679411,97319344.28178774,15808.170890015204,586.2777774908484,2.706883054443594,0.33900174663974525,0.08955382286286098,0.008495001243105251,2.816177306646815,1147.3815580599544,5.918257915115324,9.654338071087029,833.8350350450464,5.918257915115324,9.654338071087029,833.8350350450464,8.893395900509107,-3.3123699495935698e-06,-9.539607528828777e-07,9.602723100009455e-06,-3.519660138962357e-05,3.856031375683766e-05,-0.00010610236756423742,7.181527770333806e-05,-0.00019751742105012727,0.00010054412893991818,-0.0002884721619073552,0.00011892676505112445,-0.0003579270354611748,0.0001251115848337297,-0.000388916172015616,0.00012104989896807599,-0.0003718424664855559,0.0001113731699982541,-0.00030627512515174677,0.00010165466955838793,-0.0002009681004249888,9.651679322342619e-05,-7.211883476038194e-05,9.80951023393258e-05,5.979537207594776e-05,0.00010530970018711063,0.00017400809329021262,0.00011420207021272619,0.00025351149339602975,0.0001192910046999513,0.0002883537165218005,0.00011556629707833184,0.0002775093263807655,0.00010049438069862061,0.0002289396233319445,7.535764046868554e-05,0.00015783402903208442,4.544133071225929e-05,8.3423733961017e-05,1.8946364532851348e-05,2.4983740502140164e-05,3.265704383067185e-06,-1.0331524030012303e-06
4,4.099590400679411,97319344.28178774,15808.170890015204,586.2777774908484,2.706883054443594,0.33900174663974525,0.08955382286286098,0.008495001243105251,2.816177306646815,1147.3815580599544,5.918257915115324,9.654338071087029,833.8350350450464,5.918257915115324,9.654338071087029,833.8350350450464,14.597435910288786,-5.4577067900583366e-06,-1.5345605550537168e-06,2.697027422914629e-05,-8.16141879720137e-05,9.641613047518151e-05,-0.0002500289903603716,0.0001762009854403789,-0.00046784301427744827,0.0002452160185885522,-0.0006846303602129656,0.00028948379775867904,-0.0008494573733606505,0.00030448483406247896,-0.0009211023507239847,0.00029480665734061217,-0.0008761836308317761,0.00027152518599411334,-0.0007136314662372607,0.00024809023835290536,-0.00045480294472269306,0.00023576801884636923,-0.00013928714528502951,0.00023985133985596698,0.00018279594604839907,0.00025776847130031894,0.0004605672805606915,0.00027980159724321846,0.0006523493620623702,0.000292379435779533,0.0007338124418876029,0.0002830344871789525,0.0007026083167596148,0.00024544566802401865,0.0005785247518046454,0.00018282300589796333,0.0003991540316057072,0.00010837893227046364,0.00021205694921609387,4.258018996374081e-05,6.499374853002891e-05,5.344075867756292e-06,-1.7279348609253232e-06
5,4.099590400679411,97319344.28178774,15808.170890015204,586.2777774908484,2.706883054443594,0.33900174663974525,0.08955382286286098,0.008495001243105251,2.816177306646815,1147.3815580599544,5.918257915115324,9.654338071087029,833.8350350450464,5.918257915115324,9.654338071087029,833.8350350450464,18.722761228340552,-7.043353773144011e-06,-1.9002679010392087e-06,5.8758941634525665e-05,-0.0001562629500984259,0.00019488127895001494,-0.000484803682614487,0.0003511899293811827,-0.0009108116212610785,0.0004865707866836669,-0.0013351885035133696,0.0005737727911973706,-0.0016573677858720641,0.0006037976050903389,-0.001795741091490478,0.000585252421028922,-0.0017038778552660283,0.0005394765713145934,-0.001379484575269496,0.0004927781023155353,-0.000864732103199435,0.00046761076116104807,-0.00023805961771097034,0.00047494678897884993,0.00040100552479618195,0.0005101638124939273,0.0009512402838843844,0.0005541061220890236,0.0013296260377794091,0.0005795055409760068,0.0014877155975016132,0.0005610397103899965,0.0014209724231885746,0.0004857422347325587,0.0011690723662955574,0.00036002932299300435,0.0008071906482273524,0.00021064114138897455,0.00043032182006581035,7.888772928775693e-05,0.000133898100525319,6.8185510159761615e-06,-2.28362890257953e-06
6,4.099590400679411,97319344.28178774,15808.170890015204,586.2777774908484,2.706883054443594,0.33900174663974525,0.08955382286286098,0.008495001243105251,2.816177306646815,1147.3815580599544,5.918257915115324,9.654338071087029,833.8350350450464,5.918257915115324,9.654338071087029,833.8350350450464,20.693831468105635,-7.833192984418376e-06,-2.0237915461278575e-06,9.198791560873584e-05,-0.00023069925708825537,0.000294942009170189,-0.0007205815670718707,0.000527872786425603,-0.0013570542074473092,0.0007298906156333349,-0.0019920577766867446,0.0008606528889936647,-0.0024749073686783337,0.0009065576888854595,-0.0026830908034777387,0.000879783246898556,-0.002546663944965635,0.0008114214096387328,-0.0020617311534252025,0.0007404267679335921,-0.001291022505680799,0.0007007276863776685,-0.0003517696156942701,0.000709641219182462,0.000606880584289257,0.0007611591532226274,0.0014328830403728652,0.0008269599970393135,0.0020012620707927716,0.0008658157317455329,0.0022389051138159417,0.0008389532575794485,0.002138770881502826,0.0007262338410733097,0.0017603623978786791,0.0005371425484355748,0.0012165363383156557,0.00031222538185873985,0.0006498754154246821,0.00011406279098999794,0.0002036923343517772,7.4967399671146836e-06,-2.598162244106244e-06
7,4.099590400679411,97319344.28178774,15808.170890015204,586.2777774908484,2.706883054443594,0.33900174663974525,0.08955382286286098,0.008495001243105251,2.816177306646815,1147.3815580599544,5.918257915115324,9.654338071087029,833.8350350450464,5.918257915115324,9.654338071087029,833.8350350450464,21.83783057195337,-8.318094304750897e-06,-2.054231984787601e-06,0.0001257139391576018,-0.00030514954002533223,0.0003953754895681153,-0.0009573684515842325,0.000704744194681743,-0.0018063569712763925,0.0009734590663470999,-0.0026550175484559664,0.0011483178209455735,-0.003302265095348494,0.0012110003357097743,-0.003584304998685592,0.0011767694133556729,-0.0034072467119530894,0.0010858813130946118,-0.002765115600144228,0.0009896364366014777,-0.0017407180721588276,0.000933662685130008,-0.0004896909337425286,0.0009422863667552527,0.0007893570668608578,0.0010088502307580786,0.0018934075145406806,0.0010962632250065443,0.0026551136400559307,0.00114920360644705,0.0029761753410936544,0.0011149320865934606,0.002846572323363877,0.000965604683005362,0.0023452653924125257,0.0007135383257591393,0.0016224930053613245,0.00041319584357166027,0.0008681729878978419,0.00014867429333199696,0.00027337171993504795,7.870114352285029e-06,-2.8195168033802406e-06
8,4.099590400679411,97319344.28178774,15808.170890015204,586.2777774908484,2.706883054443594,0.33900174663974525,0.08955382286286098,0.008495001243105251,2.816177306646815,1147.3815580599544,5.918257915115324,9.654338071087029,833.8350350450464,5.918257915115324,9.654338071087029,833.8350350450464,22.578814375855597,-8.65499971591934e-06,-2.0392363033791124e-06,0.00015963841530826852,-0.00037969363667661807,0.0004958022169089975,-0.0011952076171933604,0.0008813428895043837,-0.002258762717993934,0.0012167511699982625,-0.0033242075763089914,0.001436214691130771,-0.0041398193032597345,0.0015165908200104699,-0.0045001569941308965,0.00147573448636892,-0.004286933353066485,0.0013624528971856243,-0.003491570141984366,0.0012400547334627794,-0.0022163923309429243,0.0011660617945830536,-0.0006549587948973121,0.001172468781311036,0.0009449181452583806,0.0012527343219454299,0.002329173331056394,0.0013614453226145006,0.003287704331723379,0.0014291023867946738,0.003696472360363635,0.0013885081386829116,0.003541926546889572,0.0012035654222608562,0.0029220120144142383,0.0008891383394582595,0.002023941003977148,0.0005136577410214629,0.001084621816943366,0.00018293796529868735,0.00034269064403521176,8.09574908069025e-06,-2.9950900953772563e-06
9,4.099590400679411,97319344.28178774,15808.170890015204,586.2777774908484,2.706883054443594,0.33900174663974525,0.08955382286286098,0.008495001243105251,2.816177306646815,1147.3815580599544,5.918257915115324,9.654338071087029,833.8350350450464,5.918257915115324,9.654338071087029,833.8350350450464,23.092584796205855,-8.908979680711589e-06,-1.998587488178314e-06,0.00019362836708765085,-0.00045434578008678514,0.0005960359148375568,-0.001434061526846483,0.0010574197494781824,-0.0027141937795747257,0.001459457665935273,-0.003999560344446953,0.0017239938086751156,-0.0049875890210532995,0.0018229743415563015,-0.005430835734247952,0.0017763576641314188,-0.00518615550463878,0.0016408740047035527,-0.004241818327431562,0.0014914738158409641,-0.0027190750671747758,0.001397737805928162,-0.0008488771661801645,0.0013999760646583258,0.001072069354074912,0.0014925427955779823,0.0027386202654251573,0.0016221859292097375,0.0038975465593194055,0.001705181513403313,0.004398500593537977,0.0016594004243969767,0.004223806954527783,0.0014399346452909135,0.0034898710886782157,0.001063878782618932,0.0024204239748407104,0.000613645438575112,0.0012989832580591455,0.00021694284904692624,0.00041155043698725194,8.238785925789709e-06,-3.1445389471860725e-06
10,4.099590400679411,97319344.28178774,15808.170890015204,586.2777774908484,2.706883054443594,0.33900174663974525,0.08955382286286098,0.008495001243105251,2.816177306646815,1147.3815580599544,5.918257915115324,9.654338071087029,833.8350350450464,5.918257915115324,9.654338071087029,833.8350350450464,23.464935676811173,-9.111781046288995e-06,-1.9419661160684937e-06,0.00022761018173963668,-0.0005290947038770371,0.0006959573927204936,-0.0016738553369410791,0.0012327956547213005,-0.003172509005718182,0.0017013355733551702,-0.004680897492768965,0.0020113621578106066,-0.0058454105942978285,0.002129840337643714,-0.006376252431985009,0.0020783514726660755,-0.006104955144874491,0.0019209105244119874,-0.005016076708641939,0.001743716424044117,-0.003249181884350238,0.001628543595781737,-0.0010720558437946346,0.001624648459208097,0.00117004861213754,0.0017280695839350824,0.003120908671883288,0.0018782291682321328,0.00448381183516791,0.0019771657100594773,0.005081521455781778,0.0019273631840852432,0.004891617188780771,0.001674539064575971,0.004048410135738911,0.0012376762143539533,0.002811667465972699,0.0007131521983098836,0.0015111130113542022,0.00025072642117592985,0.00047989402054078367,8.33103100347354e-06,-3.277444747190534e-06
