时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.6016435493333513,8535658.853994451,4.547473508864641e-13,7.10981246379435,0.8175741757222303,0.06443898895451998,0.03497150450683268,0.0030320284129865117,0.8309228417338124,910.4375252410179,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.6016435493333513,8535658.853994451,4.547473508864641e-13,7.10981246379435,0.8175741757222303,0.06443898895451998,0.03497150450683268,0.0030320284129865117,0.8309228417338124,910.4375252410179,10.0,10.0,0.0,10.0,10.0,0.0,2.8135702084576595,-4.426866592870641e-07,-1.3922143557692906e-07,-8.079612429416984e-06,2.2255320469814554e-05,-1.388840055060531e-05,4.2528000613483666e-05,-1.7949614263520976e-05,5.825525463653626e-05,-2.0167794734975727e-05,6.763281249839415e-05,-2.0751934482406812e-05,6.95023541658379e-05,-2.0143251110724005e-05,6.34754077334791e-05,-1.8913228743116537e-05,4.997747769160726e-05,-1.764741952153665e-05,3.0209487556737887e-05,-1.6834624106219726e-05,6.03001232139732e-06,-1.6779187574613126e-05,-2.0229112997130843e-05,-1.7549167554633082e-05,-4.59946939143526e-05,-1.896656615192312e-05,-6.870785602044597e-05,-2.0638967196967795e-05,-8.60779947424695e-05,-2.2026021402713656e-05,-9.631027124367027e-05,-2.2530052304658366e-05,-9.828500740054856e-05,-2.159782912034086e-05,-9.167196479894733e-05,-1.8820098166302997e-05,-7.696872489013374e-05,-1.401620089098103e-05,-5.545831988821572e-05,-7.289698203567138e-06,-2.9090897367902535e-05,4.426679705077823e-07,-1.3937664618065797e-07
3,0.6016435493333513,8535658.853994451,4.547473508864641e-13,7.10981246379435,0.8175741757222303,0.06443898895451998,0.03497150450683268,0.0030320284129865117,0.8309228417338124,910.4375252410179,10.0,10.0,0.0,10.0,10.0,0.0,6.089270211160109,-9.58368087314476e-07,-3.0130317204985773e-07,-1.9842162036708084e-05,5.5800480169516955e-05,-3.432933078267181e-05,0.00010659244961083765,-4.4459205037265584e-05,0.00014611196414529573,-4.999518744106981e-05,0.00016988008927337254,-5.145738349854205e-05,0.00017501741644792578,-4.994358548655618e-05,0.00016055088640872333,-4.6875098681876846e-05,0.00012752355230877824,-4.3707322628172564e-05,7.88992429646229e-05,-4.165432689682949e-05,1.9270848114786137e-05,-4.1471706562454517e-05,-4.559654022495243e-05,-4.332927980634642e-05,-0.00010934002787920159,-4.6788526786528786e-05,-0.00016563187515910503,-5.0882462183376327e-05,-0.00020880771975706895,-5.428102535824314e-05,-0.0002344288751519427,-5.551498825574142e-05,-0.0002397252379042674,-5.32262680719297e-05,-0.00022387687879147521,-4.641179843329743e-05,-0.00018810768291964845,-3.4630239645294954e-05,-0.00013557923085527786,-1.8138239628369002e-05,-7.109611926597593e-05,9.583217277890905e-07,-3.0166021980379114e-07
4,0.6016435493333513,8535658.853994451,4.547473508864641e-13,7.10981246379435,0.8175741757222303,0.06443898895451998,0.03497150450683268,0.0030320284129865117,0.8309228417338124,910.4375252410179,10.0,10.0,0.0,10.0,10.0,0.0,9.787233347996413,-1.5409453736728538e-06,-4.842629577190354e-07,-3.76932718636173e-05,0.0001084243613044051,-6.569446785453056e-05,0.0002070350833968573,-8.527304354206069e-05,0.0002839985733606319,-9.597464030154579e-05,0.00033070152217524464,-9.880408321864871e-05,0.0003415970471689983,-9.588103360104377e-05,0.00031479414392566535,-8.994758760845527e-05,0.000252269978409102,-8.38082616360161e-05,0.00015968766037059723,-7.97987669961807e-05,4.5836473273963645e-05,-7.936963251386497e-05,-7.824524784905388e-05,-8.284515372788652e-05,-0.0002003724971465062,-8.938499151233786e-05,-0.0003084274382808843,-9.714201617498789e-05,-0.00039156296974874444,-0.00010358197679535394,-0.0004412787637021222,-0.00010591195398816529,-0.00045226766579521693,-0.00010155592926500635,-0.00042295264206278384,-8.861556540796069e-05,-0.0003556634490861145,-6.625924010074352e-05,-0.0002564308476534228,-3.497944937114843e-05,-0.00013441841144027673,1.5408562888479852e-06,-4.848889503988973e-07
5,0.6016435493333513,8535658.853994451,4.547473508864641e-13,7.10981246379435,0.8175741757222303,0.06443898895451998,0.03497150450683268,0.0030320284129865117,0.8309228417338124,910.4375252410179,10.0,10.0,0.0,10.0,10.0,0.0,13.747117404809085,-2.1654486507165413e-06,-6.801466705716231e-07,-6.59960495118237e-05,0.00019422808253898453,-0.00011593344842151924,0.00037071246717481287,-0.00015083579475082598,0.0005088620191867597,-0.0001698981579653868,0.0005933948386608617,-0.00017491936160419323,0.0006144495157451829,-0.0001696881067174646,0.0005686325965818481,-0.00015909774173933981,0.0004593995175552971,-0.00014814129756697805,0.00029673404021706736,-0.00014096298847716176,9.615664600731914e-05,-0.00014012173595646745,-0.00012283057081914655,-0.00014617360806382446,-0.0003386973205424346,-0.00015761798635706404,-0.000530033596189904,-0.00017119054193576243,-0.0006776768976553032,-0.0001824365486546569,-0.0007666111291613978,-0.00018646718293082988,-0.0007874577586105071,-0.00017878955554016273,-0.0007374196618962359,-0.0001561041428489834,-0.0006205885058182364,-0.00011697441039470548,-0.00044757733025019086,-6.227207901451783e-05,-0.00023451083997249713,2.165290877673239e-06,-6.811435001435185e-07
6,0.6016435493333513,8535658.853994451,4.547473508864641e-13,7.10981246379435,0.8175741757222303,0.06443898895451998,0.03497150450683268,0.0030320284129865117,0.8309228417338124,910.4375252410179,10.0,10.0,0.0,10.0,10.0,0.0,18.11229839604508,-2.8553729131635787e-06,-8.959854297007679e-07,-0.00012022056699356507,0.0003617871552417549,-0.00021302667151208317,0.000690124742484045,-0.0002777976993650093,0.0009477723178274199,-0.0003130504897276115,0.0011064777153157262,-0.0003221803101465646,0.0011479668271895738,-0.0003123058940934951,0.0010658930586756286,-0.0002925864585351009,0.0008665568611693012,-0.00027231796083903995,0.0005683195570186942,-0.0002591536510919218,0.00019976842846756955,-0.00025774761721072465,-0.00020316419729250512,-0.000269017907909426,-0.0006008153679273753,-0.00029009912846272927,-0.0009537581513927878,-0.0003149333007096531,-0.0012267189759646113,-0.0003353566567478273,-0.0013920657627760464,-0.00034249063095359545,-0.0014325408862341227,-0.0003282354181276964,-0.0013429871004159283,-0.00028668182685857456,-0.0011309047762769059,-0.0002152857902274908,-0.0008157712078442071,-0.00011565533532901488,-0.0004271743220899114,2.8550815578898775e-06,-8.976001957677302e-07
7,0.6016435493333513,8535658.853994451,4.547473508864641e-13,7.10981246379435,0.8175741757222303,0.06443898895451998,0.03497150450683268,0.0030320284129865117,0.8309228417338124,910.4375252410179,10.0,10.0,0.0,10.0,10.0,0.0,20.671074194894913,-3.261685407445261e-06,-1.0223969424542228e-06,-0.00017771031165520414,0.0005402009170240142,-0.000316468566447458,0.0010299766959236869,-0.00041311530801321024,0.0014145177614775005,-0.00046545034521052874,0.0016516923779660835,-0.00047866318254350174,0.0017142144628520452,-0.0004635682162707006,0.0015925750259975773,-0.00043401558298006217,0.001296136626654939,-0.00040397426761065605,0.0008522638220305105,-0.0003848334698937317,0.0003035754246477122,-0.0003833859489766754,-0.00029637140798682133,-0.0004007849504678202,-0.0008884872130735407,-0.000432558152330719,-0.001414068587148659,-0.00046957030266653565,-0.0018206275286646789,-0.0004996911941389623,-0.0020670698544252076,-0.0005098642987354692,-0.0021277452926791907,-0.0004882758925134664,-0.0019950024033741783,-0.00042636940843297414,-0.001680011351743311,-0.00032050488151932785,-0.0012117517382397663,-0.00017307848744431675,-0.0006342338835927693,3.2612517576924632e-06,-1.0246103869102374e-06
8,0.6016435493333513,8535658.853994451,4.547473508864641e-13,7.10981246379435,0.8175741757222303,0.06443898895451998,0.03497150450683268,0.0030320284129865117,0.8309228417338124,910.4375252410179,10.0,10.0,0.0,10.0,10.0,0.0,22.254775461031997,-3.515165041911436e-06,-1.100543572833846e-06,-0.00023495623251855807,0.0007169753488764893,-0.00041966244811045365,0.0013664637407247917,-0.0005480182095766192,0.0018761905086507884,-0.0006171185134598002,0.0021901353809361244,-0.0006340436789088322,0.002271996809442658,-0.0006134487839650007,0.002109122904183158,-0.0005740113008635891,0.0017139917559866426,-0.0005344458188642489,0.0011230560574460125,-0.0005098541896341223,0.00039306748550053125,-0.0005090522162043109,-0.00040469529415837756,-0.0005332582332623183,-0.001191642701348058,-0.0005762263098278105,-0.00188975378000435,-0.0006256370346638321,-0.002429316737759831,-0.0006653807324476751,-0.002755790003405101,-0.0006783031485331197,-0.0028351605935620088,-0.0006490153727492606,-0.0026573227231533473,-0.0005664548157305275,-0.0022371661651081516,-0.0004259736011383918,-0.0016132366314479988,-0.0002307567336614056,-0.0008440480204390078,3.514589827255438e-06,-1.1033305492137814e-06
9,0.6016435493333513,8535658.853994451,4.547473508864641e-13,7.10981246379435,0.8175741757222303,0.06443898895451998,0.03497150450683268,0.0030320284129865117,0.8309228417338124,910.4375252410179,10.0,10.0,0.0,10.0,10.0,0.0,23.321740562534604,-3.688038176502232e-06,-1.1531124401907722e-06,-0.00029183061161445947,0.0008911311042696114,-0.0005222468444298756,0.0016977250958090703,-0.0006819736822547339,0.0023301553557676566,-0.000767419152927239,0.002718555231682886,-0.0007876475694273341,0.002817643282840054,-0.000761287866886156,0.002611667233806001,-0.0007119634971209963,0.0021162783759413693,-0.0006631870400131809,0.0013770869958902995,-0.0006337309413569086,0.00046504504242296263,-0.0006343045172809554,-0.000530799421505328,-0.0006660143058630248,-0.0015123410002845727,-0.0007206750691103518,-0.0023822601370868065,-0.0007826840685970697,-0.0030536670935136824,-0.0008319512846606572,-0.0034586322745788125,-0.0008473186108523417,-0.0035548401489388422,-0.0008099728567509987,-0.003329784289885144,-0.0007064950106209621,-0.0028021210594420492,-0.0005313199022005518,-0.0020200075746399817,-0.00028841782648277405,-0.0010565109297644758,3.6873229358072924e-06,-1.1564613152330186e-06
10,0.6016435493333513,8535658.853994451,4.547473508864641e-13,7.10981246379435,0.8175741757222303,0.06443898895451998,0.03497150450683268,0.0030320284129865117,0.8309228417338124,910.4375252410179,10.0,10.0,0.0,10.0,10.0,0.0,24.08262359269026,-3.8135133337203015e-06,-1.1905305370016968e-06,-0.000348272318274569,0.0010622838474356625,-0.0006240500587180621,0.0020230305681806938,-0.0008147287996014978,0.0027753732950907078,-0.0009160509468106569,0.0032356604470938142,-0.0009391566649623758,0.0033496819161003893,-0.0009067759761964306,0.0030986379811453217,-0.0008475877213919986,0.002501414589224305,-0.0007899443261396172,0.001612845290532848,-0.0007562371852501696,0.0005181382876722515,-0.0007589329327089071,-0.0006758589947678237,-0.0007988468786864509,-0.0018515316622011774,-0.0008656904704048796,-0.0028923034984802854,-0.000940483493196082,-0.0036941736277203803,-0.0009991614873009443,-0.00417590053996426,-0.0010166631881411779,-0.004286937698459957,-0.0009709074244290212,-0.004012437418510036,-0.0008462713549435113,-0.0033748695907274856,-0.0006363632810671778,-0.002432042381654261,-0.00034593233506014236,-0.001271614955729164,3.8126600810584354e-06,-1.1944364805800718e-06
