时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.4235770540471204,63823795.47285745,13293.50353369303,247.35579301312902,1.437244996507589,0.20174009624978503,0.07536141978028874,0.006789651526083325,1.5095370803335388,766.7857903850675,1.9874095560621257,2.553529921611979,325.08274554975765,1.9874095560621257,2.553529921611979,325.08274554975765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.4235770540471204,63823795.47285745,13293.50353369303,247.35579301312902,1.437244996507589,0.20174009624978503,0.07536141978028874,0.006789651526083325,1.5095370803335388,766.7857903850675,1.9874095560621257,2.553529921611979,325.08274554975765,1.9874095560621257,2.553529921611979,325.08274554975765,8.127445952045111,-9.7927493255858e-06,-4.143578838589151e-06,-3.5357989407475376e-06,-2.4554465156318847e-05,1.1309315711411437e-05,-5.816026612014878e-05,2.7565874999781047e-05,-9.928201398330634e-05,4.140249416802575e-05,-0.0001397741750378114,5.0364388998217e-05,-0.00017168545896520805,5.371375622582545e-05,-0.00018866977062891545,5.2329171276048574e-05,-0.0001870951357129682,4.8223568161892116e-05,-0.000166631994632205,4.382038273942523e-05,-0.00013024058055591413,4.1175489198954584e-05,-8.356487185107735e-05,4.134953812558336e-05,-3.384635927426435e-05,4.4104326720949134e-05,1.1444993807314507e-05,4.8016195048804076e-05,4.6006133849197194e-05,5.0982240818815777e-05,6.585309580337783e-05,5.097345279069397e-05,7.000221634135572e-05,4.680360476228687e-05,6.054859239233245e-05,3.8663835864022344e-05,4.212815665701796e-05,2.8240509927736593e-05,2.0888257452939746e-05,1.8351551784800388e-05,3.1576664076535804e-06,9.724966029451315e-06,-4.2448686520389356e-06
3,1.4235770540471204,63823795.47285745,13293.50353369303,247.35579301312902,1.437244996507589,0.20174009624978503,0.07536141978028874,0.006789651526083325,1.5095370803335388,766.7857903850675,1.9874095560621257,2.553529921611979,325.08274554975765,1.9874095560621257,2.553529921611979,325.08274554975765,18.164309356263885,-2.1926730835167435e-05,-9.23135687145341e-06,-3.310436787514973e-06,-6.358610993387911e-05,3.77824784016952e-05,-0.00015535991581770324,8.290011143638041e-05,-0.0002681800197270996,0.00012131842505604384,-0.0003791501272159442,0.0001461044899565094,-0.0004656832834907262,0.00015515226486278246,-0.0005096646031860183,0.00015094288696527094,-0.000500728887261999,0.0001391996578114153,-0.0004380252640781254,0.00012682929732396863,-0.00033022373302349806,0.00011968354959808854,-0.00019378390490341153,0.00012073276409009147,-4.980897864647812e-05,0.000129166378528985,7.99437740164215e-05,0.00014070937042742028,0.00017714732938412125,0.0001491013097808651,0.00023029034987477856,0.00014831943687062968,0.00023668959648248325,0.00013486470603919618,0.00020273747416325766,0.00010936741861015203,0.000142349445448602,7.69656596886738e-05,7.397530837853879e-05,4.626643953296502e-05,1.675209038160873e-05,2.1730267256995486e-05,-9.527187440255027e-06
4,1.4235770540471204,63823795.47285745,13293.50353369303,247.35579301312902,1.437244996507589,0.20174009624978503,0.07536141978028874,0.006789651526083325,1.5095370803335388,766.7857903850675,1.9874095560621257,2.553529921611979,325.08274554975765,1.9874095560621257,2.553529921611979,325.08274554975765,29.35640029052291,-3.55517539095486e-05,-1.4806679744091255e-05,1.1306742142846787e-05,-0.00013433113177379287,0.00010605640188952413,-0.00034255164932633583,0.00021016183610656256,-0.0005995250778376707,0.00029869721776467376,-0.0008515122694093196,0.0003554578341751707,-0.0010450209812470081,0.0003754971034710327,-0.001137014403828309,0.00036465083679280454,-0.00110296346124497,0.00033644680058526644,-0.0009412385294973318,0.00030727628570424975,-0.0006732174413383087,0.00029105102484748395,-0.0003391531936804765,0.00029475010296044755,9.442141791078455e-06,0.00031614492490778044,0.00031953033966722913,0.00034449055987023126,0.0005465732294477295,0.00036413548759620194,0.0006628829579773632,0.0003600568981353087,0.000662601242757666,0.0003236146474266726,0.0005623133142118652,0.00025662373430613325,0.0003972241634619763,0.0001723307908280488,0.00021380372512238668,9.282079897838292e-05,6.038768392169344e-05,3.5075696650115835e-05,-1.552963096031817e-05
5,1.4235770540471204,63823795.47285745,13293.50353369303,247.35579301312902,1.437244996507589,0.20174009624978503,0.07536141978028874,0.006789651526083325,1.5095370803335388,766.7857903850675,1.9874095560621257,2.553529921611979,325.08274554975765,1.9874095560621257,2.553529921611979,325.08274554975765,37.41869235801693,-4.552946359149648e-05,-1.861352334335422e-05,5.1389456694551424e-05,-0.00024147423716945526,0.00023446924600932482,-0.0006396009376111696,0.00043531559197921747,-0.0011319066577618938,0.000605764400475778,-0.0016130217115517987,0.0007145164242867627,-0.0019776544723291174,0.0007519786314538628,-0.0021411074659502993,0.0007293941900217406,-0.0020554150224856758,0.000673044322166615,-0.0017181619655321685,0.0006150487561298052,-0.0011727522947546367,0.000582942536001498,-0.0005002313851651157,0.0005906954782093741,0.00019589170272509514,0.0006338363569242454,0.0008091711225588112,0.0006905195160908825,0.0012504762150495118,0.0007287015533135698,0.0014649409858980065,0.0007175262655154626,0.0014420651974749103,0.0006393398231094896,0.0012168638645279038,0.0004982299055168719,0.0008619613334460829,0.00032200171619585326,0.00047256430345118993,0.00015662513493213895,0.00014749209517247116,4.45787526588611e-05,-2.0066215275717653e-05
6,1.4235770540471204,63823795.47285745,13293.50353369303,247.35579301312902,1.437244996507589,0.20174009624978503,0.07536141978028874,0.006789651526083325,1.5095370803335388,766.7857903850675,1.9874095560621257,2.553529921611979,325.08274554975765,1.9874095560621257,2.553529921611979,325.08274554975765,41.18632085869326,-5.0339958263029284e-05,-2.0190710440458424e-05,9.807688616945986e-05,-0.0003450423946431885,0.0003691829029452945,-0.0009329897085748044,0.0006661534697924212,-0.0016608179682798408,0.0009179669509247188,-0.00237115746730735,0.0010785579991689043,-0.002906568774360465,0.0011336552598192296,-0.0031405048388644685,0.0010994928628550124,-0.003001544987995487,0.0010145854378122556,-0.002486583606810672,0.0009265396849683177,-0.0016612159798100894,0.0008767602792351646,-0.0006475325031089316,0.0008868202573223995,0.0003985803669164203,0.0009506008866966252,0.001316785262749611,0.0010353420739736806,0.001972911407414543,0.0010922571536268067,0.002284704331983999,0.001073999721243691,0.0022371750952292642,0.0009533825080916382,0.0018842295411932296,0.0007367354126092601,0.00133647235349762,0.0004668991957368682,0.0007382925539060652,0.00021438483266079491,0.00023925518021970782,4.891218928765173e-05,-2.237888055846898e-05
7,1.4235770540471204,63823795.47285745,13293.50353369303,247.35579301312902,1.437244996507589,0.20174009624978503,0.07536141978028874,0.006789651526083325,1.5095370803335388,766.7857903850675,1.9874095560621257,2.553529921611979,325.08274554975765,1.9874095560621257,2.553529921611979,325.08274554975765,43.34721744454556,-5.321946248582329e-05,-2.0931746195352527e-05,0.00014722515249948373,-0.00044761200121157875,0.00050609957754021,-0.0012262870771561714,0.0008987757750993136,-0.0021913087370899744,0.001231758696239809,-0.003133075237797325,0.0014445085173122295,-0.003841710446774992,0.0015179682478224448,-0.004148577289465668,0.0014728428822396154,-0.003958601586886481,0.0013592520624883628,-0.00326777177828956,0.0012399707696586352,-0.00216361952423142,0.0011705113125105413,-0.0008090521070830914,0.0011807472514568755,0.0005877480626695882,0.0012636798491595025,0.0018124123106639726,0.001376038767278404,0.0026854189678194823,0.0014521375568330077,0.0030967951953626556,0.0014275830190865952,0.0030268473050299206,0.0012650917726099258,0.002548272912380904,0.0009730124072321212,0.0018095625259130607,0.0006093974118928257,0.00100410260691852,0.00026963053008744505,0.00033198084443215734,5.1315042290913636e-05,-2.3855788097379177e-05
8,1.4235770540471204,63823795.47285745,13293.50353369303,247.35579301312902,1.437244996507589,0.20174009624978503,0.07536141978028874,0.006789651526083325,1.5095370803335388,766.7857903850675,1.9874095560621257,2.553529921611979,325.08274554975765,1.9874095560621257,2.553529921611979,325.08274554975765,44.73726063835605,-5.5175871834556825e-05,-2.1270402787964828e-05,0.00019752494708994678,-0.0005499538850174614,0.0006439075356728228,-0.0015205616837384005,0.001131929115324925,-0.002724962180903442,0.0015460077954504339,-0.0039011445623423967,0.0018114080384035618,-0.004786504725673153,0.0019041540320724499,-0.005170013680668848,0.0018488646252072475,-0.0049326356700378675,0.0017065945723142247,-0.00406909594582915,0.0015549353700573048,-0.0026884499359700977,0.0014637370680945696,-0.0009940378269342326,0.0014719009276243074,0.0007538715247488099,0.0015723818237078726,0.002286805798619384,0.0017118853732244076,0.0033795625504789532,0.0018077341713677354,0.0038940118035368804,0.0017779508572494083,0.003805363439110007,0.0015745541755523267,0.00320480390338609,0.001207601206014314,0.0022784230262265994,0.0007504289360887997,0.0012682761366029833,0.0003235461019847287,0.00042468348060082593,5.279580687375085e-05,-2.4929530479423018e-05
9,1.4235770540471204,63823795.47285745,13293.50353369303,247.35579301312902,1.437244996507589,0.20174009624978503,0.07536141978028874,0.006789651526083325,1.5095370803335388,766.7857903850675,1.9874095560621257,2.553529921611979,325.08274554975765,1.9874095560621257,2.553529921611979,325.08274554975765,45.697026309810695,-5.662012501080736e-05,-2.1383631118068574e-05,0.0002484224787724235,-0.0006523475710062158,0.0007820184010251424,-0.0018161619634312375,0.0013650090894259481,-0.003262292033050389,0.0018601218740109677,-0.004676182085029683,0.002178709686090283,-0.005742214882716205,0.002291743122599063,-0.006206637532766965,0.002227184711925112,-0.005926087941279095,0.0020563294151952883,-0.0048936002717755505,0.0018712042389847504,-0.003239265111828205,0.0017562078692763747,-0.0012063961999199406,0.0017600013927510883,0.0008929239629978602,0.0018763601686967418,0.0027360794077556268,0.002042501724055076,0.0040518419905223434,0.0021587094600474762,0.004673422880017576,0.002124898725224713,0.004570450696659012,0.0018817658301100528,0.0038521999387970602,0.001440715256071494,0.0027419917596242026,0.0008903845589976123,0.001530170324822673,0.00037662345558017176,0.0005169851309842122,5.376573476295279e-05,-2.577651799452934e-05
10,1.4235770540471204,63823795.47285745,13293.50353369303,247.35579301312902,1.437244996507589,0.20174009624978503,0.07536141978028874,0.006789651526083325,1.5095370803335388,766.7857903850675,1.9874095560621257,2.553529921611979,325.08274554975765,1.9874095560621257,2.553529921611979,325.08274554975765,46.3909940710288,-5.775072505168944e-05,-2.1357018549824673e-05,0.0002996357324398914,-0.0007549025783281165,0.0009201062193701249,-0.0021131869526469053,0.00159764555115697,-0.0038034309931644092,0.002173697777976635,-0.005458432587159066,0.002546001916702498,-0.006709287728142105,0.0026803500075296407,-0.0072591744475853865,0.002607476094135254,-0.006940009150740099,0.0024082027719199033,-0.005742669043001733,0.002188583233066917,-0.0038177500097620015,0.002047750199043971,-0.0014480356766678,0.002044849720184227,0.0010028929373549712,0.002175363731595072,0.0031582626455544122,0.002367595641593314,0.004700470888865316,0.002504778608679198,0.005433532107179473,0.0024682140028313994,0.005320953489527059,0.002186638248937325,0.004489641039356073,0.0016724064152199105,0.0031997360418168264,0.0010294318368818255,0.0017894661255222208,0.00042909567702704076,0.0006087009284298154,5.442358367859333e-05,-2.64819556502658e-05
