时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.8910598094177442,15929773.351378951,216.8583740877575,34.23053763411758,1.3927063702966476,0.113464382372442,0.025229360595830648,0.0051584492627647065,1.416978502672366,966.6320700961159,4.423980244044353,7.910377534608416,387.75085203270237,9.69302848132901,8.984050809420415,508.28977258813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.8910598094177442,15929773.351378951,216.8583740877575,34.23053763411758,1.3927063702966476,0.113464382372442,0.025229360595830648,0.0051584492627647065,1.416978502672366,966.6320700961159,4.423980244044353,7.910377534608416,387.75085203270237,9.69302848132901,8.984050809420415,508.28977258813,3.081779879656271,-1.6328911656645311e-06,-2.882390103138937e-07,-3.3719279687729034e-07,-6.9250952855887655e-06,3.180508113955089e-06,-2.1264273529684954e-05,7.319147433090885e-06,-3.995742865229398e-05,1.0928102736790186e-05,-5.8925962895374006e-05,1.3282140692570022e-05,-7.415339401035358e-05,1.4142190646237642e-05,-8.241108594660731e-05,1.3719233490884324e-05,-8.1823860840387e-05,1.2539888096479335e-05,-7.217562046290006e-05,1.1250874458058367e-05,-5.4903222332301935e-05,1.0408637469910162e-05,-3.278382962640707e-05,1.0305409731738698e-05,-9.377117025789489e-06,1.0879654040222987e-05,1.1671359030256328e-05,1.1741702818544905e-05,2.7331821953845705e-05,1.2313815553862767e-05,3.5759916372471246e-05,1.2045679890057418e-05,3.662118507293888e-05,1.0636198901440865e-05,3.110567650976586e-05,8.184402378384579e-06,2.1630027184611788e-05,5.2126581387494866e-06,1.128859868581527e-05,2.5219141788574298e-06,3.168815053251141e-06,7.354257544170074e-07,-2.6330555126151465e-07
3,0.8910598094177442,15929773.351378951,216.8583740877575,34.23053763411758,1.3927063702966476,0.113464382372442,0.025229360595830648,0.0051584492627647065,1.416978502672366,966.6320700961159,4.423980244044353,7.910377534608416,387.75085203270237,9.69302848132901,8.984050809420415,508.28977258813,6.835515297055713,-3.6243232122348383e-06,-6.37975745689184e-07,-3.579127396757796e-07,-1.6653693522380933e-05,8.258925021897477e-06,-5.145789830016988e-05,1.8400731597112288e-05,-9.69462887643248e-05,2.725711887966915e-05,-0.00014312502094655305,3.304274632241726e-05,-0.00018008549694040158,3.5163434703998447e-05,-0.0001998311889305556,3.4133860022883136e-05,-0.00019770579363837814,3.1250400166699934e-05,-0.0001731709623524033,2.811036346426802e-05,-0.00012980358022656154,2.6090863216198905e-05,-7.452516550067428e-05,2.591416154651917e-05,-1.6215803659330405e-05,2.7420254548696776e-05,3.602274159894592e-05,2.9626643298236035e-05,7.462099146640613e-05,3.107659005499101e-05,9.497014374987712e-05,3.038019004495539e-05,9.624138842538746e-05,2.677488743126434e-05,8.143356234019281e-05,2.0510591361554935e-05,5.664216568986153e-05,1.2915526237813016e-05,2.9703205387937354e-05,6.048716769768597e-06,8.497695194955884e-06,1.6314438778674312e-06,-5.858014144852626e-07
4,0.8910598094177442,15929773.351378951,216.8583740877575,34.23053763411758,1.3927063702966476,0.113464382372442,0.025229360595830648,0.0051584492627647065,1.416978502672366,966.6320700961159,4.423980244044353,7.910377534608416,387.75085203270237,9.69302848132901,8.984050809420415,508.28977258813,11.330538445591683,-6.013284548184763e-06,-1.053780806858404e-06,4.6183210079228957e-07,-3.1101435819655856e-05,1.692839300758781e-05,-9.684441411696355e-05,3.630435192798637e-05,-0.00018300307402854035,5.3246580626380646e-05,-0.0002704827768448411,6.433187765464154e-05,-0.00034020743779521656,6.840937292706152e-05,-0.000376713782602498,6.645616894602063e-05,-0.00037097384334405326,6.095943960953962e-05,-0.0003219467816875564,5.499753338776922e-05,-0.00023660291822642844,5.123354165864551e-05,-0.00012844234996819956,5.1064793472862086e-05,-1.4802884782984735e-05,5.416715058817913e-05,8.652833005403611e-05,5.8599284693264066e-05,0.00016074838666057072,6.147918570670012e-05,0.0001988462003878535,6.005052449556132e-05,0.00019922645123157516,5.279714648360795e-05,0.0001678283200319083,4.0217214721406154e-05,0.000116723536502982,2.496881981170649e-05,6.149232853464391e-05,1.1217457313285708e-05,1.793133881509378e-05,2.7044648027515686e-06,-9.75640028287615e-07
5,0.8910598094177442,15929773.351378951,216.8583740877575,34.23053763411758,1.3927063702966476,0.113464382372442,0.025229360595830648,0.0051584492627647065,1.416978502672366,966.6320700961159,4.423980244044353,7.910377534608416,387.75085203270237,9.69302848132901,8.984050809420415,508.28977258813,15.050766201895271,-7.994854219979723e-06,-1.39392238870404e-06,2.2426826880353963e-06,-4.6709811746186676e-05,2.7459651117082627e-05,-0.0001463946417876636,5.7105307358174315e-05,-0.0002772822835939231,8.304491664638239e-05,-0.00041014705555340365,0.00010003588902002868,-0.0005156262306942276,0.00010630288622655523,-0.0005698400608568237,0.00010333051427396296,-0.0005588232187379574,9.49305482567757e-05,-0.0004809801923012968,8.584192970246205e-05,-0.0003471590965104863,8.018149584064895e-05,-0.00017837482448968927,8.011631633115111e-05,-1.6353815058230738e-06,8.513422819912946e-05,0.0001553319155692088,9.218516581101932e-05,0.0002694415820141906,9.672885415225922e-05,0.00032664937517691675,9.44118726049452e-05,0.0003245141154072759,8.283527491637283e-05,0.000272413679139456,6.279256024323541e-05,0.0001893875382736717,3.851570021324129e-05,0.00010006953837163012,1.6682380567875323e-05,2.9568955786684683e-05,3.592148699826731e-06,-1.3028278960190646e-06
6,0.8910598094177442,15929773.351378951,216.8583740877575,34.23053763411758,1.3927063702966476,0.113464382372442,0.025229360595830648,0.0051584492627647065,1.416978502672366,966.6320700961159,4.423980244044353,7.910377534608416,387.75085203270237,9.69302848132901,8.984050809420415,508.28977258813,20.223081245204654,-1.0759672791186513e-05,-1.8554341139261418e-06,7.811087937784301e-06,-7.866243424704051e-05,5.1460081328410097e-05,-0.000248823742266913,0.00010264480688068778,-0.0004727057570190872,0.0001474438858563765,-0.0006997804819377914,0.0001768322352413851,-0.0008789407357368041,0.00018772546738930456,-0.0009684633986496381,0.00018264316470975245,-0.0009439112598248222,0.0001681455674643347,-0.000802555246847129,0.0001524606747042989,-0.0005635876247109357,0.00014280723322773352,-0.0002641696365901774,0.00014303511222320018,4.790079215601639e-05,0.00015226305655906838,0.0003235085614589953,0.00016505092593776423,0.0005217427385540193,0.00017322907008225478,0.0006177522184199078,0.0001689191143117445,0.0006073608411816485,0.00014776584901586188,0.0005075174892757204,0.00011122425954186093,0.00035252182409805093,6.703358526018163e-05,0.00018684626533341155,2.748327766750863e-05,5.60646159150072e-05,4.824300412449539e-06,-1.7698635328412357e-06
7,0.8910598094177442,15929773.351378951,216.8583740877575,34.23053763411758,1.3927063702966476,0.113464382372442,0.025229360595830648,0.0051584492627647065,1.416978502672366,966.6320700961159,4.423980244044353,7.910377534608416,387.75085203270237,9.69302848132901,8.984050809420415,508.28977258813,24.36574065945326,-1.298908595612581e-05,-2.2047475662677935e-06,1.771648202977273e-05,-0.00012235958550307148,8.708800932711843e-05,-0.00039000840186473497,0.00016816658366675845,-0.0007426152622550407,0.0002391165038033225,-0.001099955896358989,0.00028575416311102923,-0.0013805236803759984,0.000303186304481216,-0.0015176079366606228,0.00029527914121613695,-0.0014720992108383348,0.00027228919151324287,-0.0012397053596340708,0.00024724227675816185,-0.0008513924221890806,0.00023174585312908913,-0.00036710758463077617,0.00023215449462936585,0.0001359771338579835,0.0002472107314538765,0.0005784871012510176,0.0002681462333472518,0.00089426881510024,0.00028157195180838763,0.0010431816052334619,0.00027445757083560793,0.0010186658506991515,0.00023955509642140308,0.000848547072196564,0.0001792683279913125,0.0005889658462779756,0.00010645801464687688,0.00031277252754364587,4.159885359070619e-05,9.482950537918301e-05,5.806856028142067e-06,-2.164459062498478e-06
8,0.8910598094177442,15929773.351378951,216.8583740877575,34.23053763411758,1.3927063702966476,0.113464382372442,0.025229360595830648,0.0051584492627647065,1.416978502672366,966.6320700961159,4.423980244044353,7.910377534608416,387.75085203270237,9.69302848132901,8.984050809420415,508.28977258813,26.83803997701931,-1.433359240300053e-05,-2.393550149046108e-06,2.8848595194007875e-05,-0.00016587759446652628,0.000124029178362087,-0.0005312814020876018,0.00023497852859795615,-0.0010131237944301706,0.0003320637618494241,-0.0015013763029216832,0.0003960482898910667,-0.0018839599161589375,0.00042022812115333436,-0.0020689871479270534,0.0004096831381798732,-0.0020025147778058023,0.00037818700331550595,-0.0016785866380770377,0.0003434715187776411,-0.0011399277024100663,0.0003216112774377046,-0.0004693623760821895,0.00032168111640841046,0.0002263604667244417,0.00034226736968359113,0.0008373182078623565,0.00037135511610646035,0.0012718062084430106,0.00039022599496183385,0.001474155079962072,0.0003804719677924307,0.001435327397132139,0.0003317636315897096,0.0011941021511405628,0.00024742708627685094,0.0008286817963702876,0.00014559296287244258,0.00044060446341188925,5.5154377570990004e-05,0.00013436183816285178,6.389098530665327e-06,-2.419097812766833e-06
9,0.8910598094177442,15929773.351378951,216.8583740877575,34.23053763411758,1.3927063702966476,0.113464382372442,0.025229360595830648,0.0051584492627647065,1.416978502672366,966.6320700961159,4.423980244044353,7.910377534608416,387.75085203270237,9.69302848132901,8.984050809420415,508.28977258813,28.465831595433876,-1.5231325833574006e-05,-2.5011352289064353e-06,4.0589766077853545e-05,-0.00020935138886844765,0.00016157263561088935,-0.0006728543066065404,0.00030230775964935815,-0.0012846480937743234,0.0004254869809867193,-0.0019048807234766422,0.0005069289359042918,-0.0023907983403452394,0.0005381089978247126,-0.0026251789019431067,0.0005251684329673683,-0.0025390578984465966,0.0004851916828128034,-0.0021246215336522597,0.0004404978832659182,-0.001436183127908515,0.0004116923410887795,-0.0005793345511839485,0.00041079307203940944,0.00030961004283297814,0.0004364832338351896,0.001090077607245578,0.00047363459623173956,0.0016446195925227463,0.0004981435211366716,0.0019018131376107325,0.00048603430850864337,0.0018499490012889887,0.00042370838458584203,0.001538631345959052,0.00031534637134355447,0.001068063761332993,0.00018441944515025743,0.0005684699388537901,6.836938923967536e-05,0.00017402788842306758,6.769317287419775e-06,-2.6026801912949016e-06
10,0.8910598094177442,15929773.351378951,216.8583740877575,34.23053763411758,1.3927063702966476,0.113464382372442,0.025229360595830648,0.0051584492627647065,1.416978502672366,966.6320700961159,4.423980244044353,7.910377534608416,387.75085203270237,9.69302848132901,8.984050809420415,508.28977258813,29.61115345357597,-1.587466858788352e-05,-2.5622907730332857e-06,5.266736453744846e-05,-0.0002528359229145419,0.00019940675291567431,-0.0008148281571254043,0.00036982212980368913,-0.0015574255355968799,0.000519051742549895,-0.002310971537286227,0.0006180766182093409,-0.0029019504694009868,0.0006565374584910776,-0.0031876370604059933,0.0006414764626024629,-0.0030838203166900975,0.0005930703935443948,-0.002580574320086236,0.0005380941946203007,-0.0017435526849021558,0.0005017397614918386,-0.0007009205761184496,0.0004991946843421293,0.00038153219072214,0.0005295086701503715,0.0013325354208230105,0.000574598916985858,0.002008723042688234,0.0006049448473856736,0.0023226692676697287,0.0005908254640050218,0.0022597325844696506,0.0005151789173253233,0.001880116286859741,0.0003829481298412637,0.001305851513543007,0.00022298046814963016,0.0006957373958123844,8.13597912701473e-05,0.00021361460983059143,7.034551801146288e-06,-2.74550101061594e-06
