时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.44215901878980324,12014447.805510296,510.6808702231017,9.858048646643484,1.4308259286585914,0.2654619863765836,0.02191720821503693,0.003140510378403686,1.5530098051626524,1714.4729078555442,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.44215901878980324,12014447.805510296,510.6808702231017,9.858048646643484,1.4308259286585914,0.2654619863765836,0.02191720821503693,0.003140510378403686,1.5530098051626524,1714.4729078555442,10.0,10.0,0.0,10.0,10.0,0.0,7.901159220017582,-3.0059405570195e-07,-2.22025310252074e-07,-5.2746336152819345e-05,7.22473654592597e-05,-9.696933039973527e-05,0.0001398246184543274,-0.00012928602233556086,0.0001950883370325266,-0.00014820846092543317,0.000231832110611649,-0.00015451756762278616,0.00024570299792300734,-0.00015094340347272047,0.00023469365005235278,-0.0001415197115482337,0.0001994046530856719,-0.0001307421634278645,0.0001430544076727276,-0.0001226543927573602,7.119060917839455e-05,-0.00012002755646363953,-8.88466284929486e-06,-0.00012379617839055482,-8.892491617138479e-05,-0.0001328720875547576,-0.00016067746983273768,-0.0001443753344824043,-0.00021681209975255196,-0.00015422273266378064,-0.00025170805340343,-0.0001579403086413765,-0.0002620097508137068,-0.00015153592341276805,-0.00024691139701343666,-0.00013228568736295957,-0.00020818142849461272,-9.93174484641039e-05,-0.00014992918552199705,-5.393797895098632e-05,-7.817499127606449e-05,3.004323316131121e-07,-2.2210495158308753e-07
3,0.44215901878980324,12014447.805510296,510.6808702231017,9.858048646643484,1.4308259286585914,0.2654619863765836,0.02191720821503693,0.003140510378403686,1.5530098051626524,1714.4729078555442,10.0,10.0,0.0,10.0,10.0,0.0,18.678914198136,-7.109020906960624e-07,-5.251440655796582e-07,-0.00023070369098213104,0.0003165289055723282,-0.0004243767726335412,0.0006116406670356071,-0.0005656496949086131,0.0008528756344824895,-0.0006480970073894011,0.001013260578324835,-0.0006752394446591617,0.0010736972098255167,-0.0006591516930447506,0.0010252390555741528,-0.0006176333538113802,0.0008703877175322795,-0.0005704731432723789,0.000623215203138238,-0.0005353933428815564,0.0003081264407003163,-0.0005244256888929055,-4.270066835842882e-05,-0.0005414557791161363,-0.0003929455794983324,-0.0005814728360248318,-0.0007063431661626907,-0.0006316760656711837,-0.000950810347796637,-0.0006741423093460367,-0.0011019048744135042,-0.000689432459061762,-0.001145225390632662,-0.0006603996555777788,-0.0010776028202856283,-0.0005755541075947061,-0.0009071383461400727,-0.00043151152412825066,-0.0006521500133188513,-0.00023427141279836223,-0.0003392396021867889,7.102032383055829e-07,-5.248345510905711e-07
4,0.44215901878980324,12014447.805510296,510.6808702231017,9.858048646643484,1.4308259286585914,0.2654619863765836,0.02191720821503693,0.003140510378403686,1.5530098051626524,1714.4729078555442,10.0,10.0,0.0,10.0,10.0,0.0,24.22348226332256,-9.226375778697891e-07,-6.815896336358297e-07,-0.000530896702412926,0.0007240751601759603,-0.0009766309479591364,0.0013979907970022329,-0.001300894017027655,0.0019483550041965768,-0.0014890228206256829,0.0023132787749661748,-0.001549554431425732,0.0024486133066948107,-0.0015109164148561498,0.002333464976666509,-0.0014147241291027053,0.0019734645298328402,-0.0013069292471248888,0.00140117560357994,-0.0012282969857059089,0.0006732177981740023,-0.001206021264702701,-0.00013579490678519967,-0.0012482084979656917,-0.0009418264188329205,-0.0013424264363892642,-0.0016612455691689832,-0.0014585686742592321,-0.0022203707045903433,-0.0015552368406689266,-0.0025633580124184117,-0.0015881154440467386,-0.0026575870043867764,-0.0015186153051534648,-0.002496279118317923,-0.0013213345462353893,-0.00209851257368897,-0.0009893618436420711,-0.0015068267497001587,-0.0005368875394621667,-0.0007827951098039726,9.210408970044574e-07,-6.801010934119062e-07
5,0.44215901878980324,12014447.805510296,510.6808702231017,9.858048646643484,1.4308259286585914,0.2654619863765836,0.02191720821503693,0.003140510378403686,1.5530098051626524,1714.4729078555442,10.0,10.0,0.0,10.0,10.0,0.0,26.395421849550953,-1.0063532031441218e-06,-7.433226604312532e-07,-0.0008315153051839577,0.0011248477126979963,-0.0015293693406661368,0.00217102900027086,-0.00203575674212948,0.0030246022551885412,-0.0023278122229415514,0.0035886871333468753,-0.0024195906781833945,0.0037938043572653224,-0.0023566664152620096,0.0036068669256718346,-0.0022052607118273494,0.003036626382572985,-0.0020379591975213537,0.0021344306093769483,-0.001918515948120322,0.0009896161633176103,-0.001888694267987046,-0.00028024635692191065,-0.00195987765137997,-0.0015430548809209034,-0.0021112358887026748,-0.0026677251396227085,-0.0022946753162523623,-0.0035391160300604204,-0.0024451510858350526,-0.004070216520663644,-0.0024938384199333623,-0.00421037452934796,-0.0023814470649099143,-0.003949272555292487,-0.002069483170357679,-0.0033169562177049593,-0.001548092624988715,-0.0023802257070406336,-0.0008397751692081895,-0.0012358540346953189,1.0038598983090783e-06,-7.405162088545882e-07
6,0.44215901878980324,12014447.805510296,510.6808702231017,9.858048646643484,1.4308259286585914,0.2654619863765836,0.02191720821503693,0.003140510378403686,1.5530098051626524,1714.4729078555442,10.0,10.0,0.0,10.0,10.0,0.0,27.54349897311045,-1.0513865464851535e-06,-7.763046172435447e-07,-0.0011310498156623923,0.0015167858573328355,-0.0020797684773611103,0.0029269299258032305,-0.0027664785808036345,0.004076366110966729,-0.0031601757400630047,0.004833263537722895,-0.0032809059187241837,0.005102632982151905,-0.0031921058022595316,0.0048390123869033455,-0.002985274147190809,0.004054269258032114,-0.00275996422722761,0.0028187539276437385,-0.00260273882556564,0.001254864260927741,-0.002569255176365051,-0.0004765775700367083,-0.0026732136262180074,-0.0021953088058053296,-0.002884462482055439,-0.003722940917784552,-0.003136342968648646,-0.0049031825187154585,-0.0033401137513428413,-0.005618166440068712,-0.0034029111142265035,-0.005799377571330453,-0.0032455434592515574,-0.005432932938044301,-0.0028172468811380174,-0.0045596902639428085,-0.002105754333083327,-0.0032705820948167597,-0.0011419017656382829,-0.0016976459280900796,1.0480006729338658e-06,-7.721476833672867e-07
7,0.44215901878980324,12014447.805510296,510.6808702231017,9.858048646643484,1.4308259286585914,0.2654619863765836,0.02191720821503693,0.003140510378403686,1.5530098051626524,1714.4729078555442,10.0,10.0,0.0,10.0,10.0,0.0,28.246108612481944,-1.0797382583634935e-06,-7.967780054782209e-07,-0.0014290333572612533,0.0018995522529423508,-0.002626954434084995,0.003665073829388911,-0.00349189519585095,0.005102795917889734,-0.003984785400791688,0.006045994099629212,-0.004132125454844235,0.006374007033296926,-0.004015904609889349,0.006028832695170053,-0.003753533455829574,0.005025459498824503,-0.0034718236050954366,0.0034534526359169438,-0.003279926698421468,0.0014685870557533836,-0.003246693008674488,-0.0007248187139014274,-0.0033871764568563886,-0.0028983065646197154,-0.0036610001838731313,-0.004826384453321719,-0.003982397313219572,-0.006311947996873566,-0.00423891763792685,-0.007206583587766741,-0.004314158293497249,-0.007424056586609694,-0.0041098411984433255,-0.006946855682057887,-0.003563753804647415,-0.00582645983513709,-0.002661730571196964,-0.004177775690857163,-0.0014429437882178104,-0.0021681468485046746,1.0754649524553425e-06,-7.912661448651022e-07
8,0.44215901878980324,12014447.805510296,510.6808702231017,9.858048646643484,1.4308259286585914,0.2654619863765836,0.02191720821503693,0.003140510378403686,1.5530098051626524,1714.4729078555442,10.0,10.0,0.0,10.0,10.0,0.0,28.71368710773741,-1.0994128239546458e-06,-8.106512072924739e-07,-0.001725113748617288,0.002273026420168084,-0.0031702698872919798,0.004385232674165594,-0.004211128857364952,0.006103569006831626,-0.004800637394979092,0.0072264818962249075,-0.004972206567114794,0.00760748525333655,-0.004827049027748672,0.007175884474719598,-0.004509093652546964,0.005949805410849455,-0.0041726689227452795,0.004038244156347316,-0.003949265631899043,0.0016306571243602007,-0.00392020695038016,-0.0010249232658849064,-0.004100934647032551,-0.0036518441290092113,-0.0044399577090640085,-0.005977740817905707,-0.0048318840635903325,-0.007765047449521901,-0.005140570576144675,-0.008835109244174074,-0.0052265986244102326,-0.009084098683134081,-0.004973433763770096,-0.008490794270217965,-0.004308242056492467,-0.007117091643248261,-0.0032154693518662643,-0.005101705117351244,-0.0017426087487937526,-0.002647318696838568,1.0942582745493154e-06,-8.037923199830857e-07
9,0.44215901878980324,12014447.805510296,510.6808702231017,9.858048646643484,1.4308259286585914,0.2654619863765836,0.02191720821503693,0.003140510378403686,1.5530098051626524,1714.4729078555442,10.0,10.0,0.0,10.0,10.0,0.0,29.04118195621367,-1.1140216178244024e-06,-8.205890486543566e-07,-0.0020189663285618774,0.0026371501526979784,-0.0037091101039596107,0.0050872893439586715,-0.004923372034402909,0.007078510402727806,-0.005606808405414107,0.00837450130338775,-0.005800190405668958,0.008802807347324108,-0.005624606362796227,0.008279900952525175,-0.005251083454357774,0.006827074460811565,-0.004861695492294867,0.004572976875827713,-0.004609995272937533,0.0017410430273918525,-0.004589041557101739,-0.0013767850590991001,-0.004813696816394097,-0.004455689413049781,-0.005220481106551816,-0.007176688430308794,-0.005683884177390413,-0.009262117250352518,-0.006044112077149133,-0.010503380961358296,-0.00613927603258023,-0.01077917285224324,-0.005835430886431239,-0.010064466968974518,-0.005049956415465769,-0.008431365032693894,-0.003766418418980974,-0.006042221176611621,-0.002040602815683632,-0.0031350904313389703,1.107993084663925e-06,-8.12398446745219e-07
10,0.44215901878980324,12014447.805510296,510.6808702231017,9.858048646643484,1.4308259286585914,0.2654619863765836,0.02191720821503693,0.003140510378403686,1.5530098051626524,1714.4729078555442,10.0,10.0,0.0,10.0,10.0,0.0,29.277664245646008,-1.1254309033993746e-06,-8.279678855795987e-07,-0.0023102769027207905,0.002991890478505031,-0.004242890497028866,0.005771171129324104,-0.005627844456188391,0.008027503251068607,-0.006402407078625466,0.009489893015085859,-0.006615152423233325,0.009959782496118426,-0.006407678164602017,0.009340683508269101,-0.005978663484584156,0.007657097113175912,-0.005538126367213568,0.005057553906335843,-0.0052613778770892895,0.0017997576904257176,-0.00525245899678009,-0.0017802644014217525,-0.005524685266474454,-0.005309586028945265,-0.006001727543402145,-0.008422886939387315,-0.006537488091228241,-0.010802775562800014,-0.006948589579840161,-0.01221101391667251,-0.007051240238546108,-0.012508918646922383,-0.006694945304130153,-0.011667555969422911,-0.005788141800455408,-0.009769020728035472,-0.004314023809344981,-0.006999140514577913,-0.0023366308076980128,-0.0036313696647575764,1.1185367227730611e-06,-8.184663146737507e-07
