时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,7.654242189391569,211586569.6913262,25617.230176878104,1729.5800591688103,2.103816029852303,0.21756189252266828,0.18253415926021513,0.010373486634921028,2.1623597117833806,756.3131564797354,7.096242782514577,3.783393023585459,997.6691747752357,6.085786330514607,1.833307872293949,410.3355969528616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.654242189391569,211586569.6913262,25617.230176878104,1729.5800591688103,2.103816029852303,0.21756189252266828,0.18253415926021513,0.010373486634921028,2.1623597117833806,756.3131564797354,7.096242782514577,3.783393023585459,997.6691747752357,6.085786330514607,1.833307872293949,410.3355969528616,3.0918480469582583,-1.992747768593827e-06,-1.504022403126624e-06,-2.8099934096757995e-07,-1.7281526520965837e-05,7.394535149108143e-06,-4.139679723034189e-05,1.5427445657187487e-05,-6.997243854976185e-05,2.205708777099209e-05,-9.75605176525344e-05,2.6199462838170263e-05,-0.00011905838233049324,2.7593565218897465e-05,-0.00013051318925929597,2.6712483506333157e-05,-0.0001297417184723973,2.45260094500368e-05,-0.00011664146826977304,2.2174126387890067e-05,-9.314465400532882e-05,2.0625839260872675e-05,-6.282731159411336e-05,2.040347532238987e-05,-3.0244376336253356e-05,2.144246788185858e-05,-1.0706832369282093e-07,2.3127934892977338e-05,2.355201324133395e-05,2.450419133846573e-05,3.807568589119996e-05,2.4602257054860683e-05,4.2612910462394866e-05,2.2790080996256984e-05,3.820439213946455e-05,1.9035673002845012e-05,2.7507532241743628e-05,1.3996590059812778e-05,1.421780335385388e-05,8.960891917895842e-06,2.3062100435988546e-06,2.3206929393171617e-06,-3.2009631068924806e-06
3,7.654242189391569,211586569.6913262,25617.230176878104,1729.5800591688103,2.103816029852303,0.21756189252266828,0.18253415926021513,0.010373486634921028,2.1623597117833806,756.3131564797354,7.096242782514577,3.783393023585459,997.6691747752357,6.085786330514607,1.833307872293949,410.3355969528616,7.22417265128365,-4.662896117031885e-06,-3.506415750971815e-06,1.1198913280423791e-06,-4.498624629043149e-05,2.1875305868546772e-05,-0.00010947022039635041,4.365454647639151e-05,-0.00018609206351958885,6.164767400645513e-05,-0.0002599872172391525,7.28816381486835e-05,-0.0003171024340957294,7.662885034932841e-05,-0.00034649580625070655,7.418171263567211e-05,-0.0003421142852389355,6.82091692340904e-05,-0.0003037001767375557,6.185789220486336e-05,-0.00023668836489982304,5.7803294310520625e-05,-0.00015112751838953315,5.7474072601867313e-05,-5.982249915654098e-05,6.0650323395832896e-05,2.397620521463519e-05,6.555822792412135e-05,8.892707072253063e-05,6.945757425129102e-05,0.00012757128496216618,6.957145505474501e-05,0.00013756291784658192,6.408909456206478e-05,0.00012193042734200149,5.292862161300986e-05,8.832541357222586e-05,3.801089366324145e-05,4.74187913532437e-05,2.3085435170440305e-05,1.0782852342116133e-05,5.421848730520562e-06,-7.496184570911478e-06
4,7.654242189391569,211586569.6913262,25617.230176878104,1729.5800591688103,2.103816029852303,0.21756189252266828,0.18253415926021513,0.010373486634921028,2.1623597117833806,756.3131564797354,7.096242782514577,3.783393023585459,997.6691747752357,6.085786330514607,1.833307872293949,410.3355969528616,11.436600363698068,-7.3956712726047825e-06,-5.531023322678842e-06,6.215497601640201e-06,-8.272962981915551e-05,4.605228617326636e-05,-0.00020498937989680508,8.792187507897968e-05,-0.00035055908421167937,0.00012251770041698227,-0.0004906550289010378,0.00014407963808134612,-0.0005978392897637068,0.00015118365969452892,-0.0006506601313364638,0.00014633529672937972,-0.00063725314537397,0.00013473864872874907,-0.0005572052927012897,0.0001225503613753378,-0.00042139952698881937,0.00011501260282429304,-0.00024990208755628794,0.00011490429249902736,-6.827935201060515e-05,0.00012171742365775913,9.701019736870492e-05,0.00013182299559847253,0.00022333299328450304,0.00013963908853422205,0.00029585275721194553,0.00013951010363671948,0.0003100250519760537,0.00012775449441725784,0.00027215584540636676,0.00010423968173266334,0.00019793338688750206,7.296878744015212e-05,0.00010925217915711547,4.169716907865477e-05,3.00086103551201e-05,8.578683294932195e-06,-1.1906422515011889e-05
5,7.654242189391569,211586569.6913262,25617.230176878104,1729.5800591688103,2.103816029852303,0.21756189252266828,0.18253415926021513,0.010373486634921028,2.1623597117833806,756.3131564797354,7.096242782514577,3.783393023585459,997.6691747752357,6.085786330514607,1.833307872293949,410.3355969528616,15.936959518666116,-1.0335949936758542e-05,-7.652779522834807e-06,2.051164959314115e-05,-0.00014601185865548578,9.445031411479763e-05,-0.00036988100612545167,0.0001721686636168017,-0.0006367196262331913,0.00023631444830494574,-0.0008925903846633237,0.0002761772292538396,-0.0010857301274180985,0.000289098196286891,-0.0011755625944632904,0.0002797554956981024,-0.0011397211256403206,0.00025791634060953007,-0.0009777289798804441,0.00023519955292551517,-0.0007107807821418134,0.00022154892388119652,-0.00037773508962293746,0.0002222339708692521,-2.8045891592054564e-05,0.00023618439272466191,0.00028713649161852915,0.00025623078086942704,0.0005241221499107628,0.000271341246697979,0.0006544304051268688,0.0002703209795890517,0.0006696854803322906,0.0002459011988253852,0.000582747105090872,0.00019791629380474325,0.0004248942490666104,0.0001345082740181432,0.0002396825021011356,7.125207863970705e-05,7.480397763858285e-05,1.1934970165792384e-05,-1.668756355024332e-05
6,7.654242189391569,211586569.6913262,25617.230176878104,1729.5800591688103,2.103816029852303,0.21756189252266828,0.18253415926021513,0.010373486634921028,2.1623597117833806,756.3131564797354,7.096242782514577,3.783393023585459,997.6691747752357,6.085786330514607,1.833307872293949,410.3355969528616,19.501305718048197,-1.2698342325402462e-05,-9.254102826308557e-06,4.844756637529945e-05,-0.00023940757831663305,0.00017492935008740483,-0.0006187091422068573,0.00030767560437560803,-0.0010708510084883075,0.00041705775997253936,-0.0015027803503111507,0.00048490155757929874,-0.001824884417481674,0.0005066718907823663,-0.0019668879828631503,0.0004902821885681787,-0.0018902549988888708,0.0004523931186367715,-0.00159471917433576,0.00041301779364611845,-0.0011179677410684567,0.00038949489394811556,-0.0005286669667397127,0.0003911708264518617,8.592499243025032e-05,0.0004162551916335188,0.0006356317316703471,0.00045201566980940277,0.001043562535210255,0.0004786402495857724,0.0012598806739694203,0.000475900753607281,0.001270527146402852,0.000430654338811981,0.0010992384962111696,0.0003427204249305258,0.0008025342941756635,0.00022709738110875214,0.000458800875710799,0.00011211630754957811,0.00015386247776847463,1.4557869963586905e-05,-2.05949658182829e-05
7,7.654242189391569,211586569.6913262,25617.230176878104,1729.5800591688103,2.103816029852303,0.21756189252266828,0.18253415926021513,0.010373486634921028,2.1623597117833806,756.3131564797354,7.096242782514577,3.783393023585459,997.6691747752357,6.085786330514607,1.833307872293949,410.3355969528616,21.399270138853783,-1.398728889401174e-05,-1.002913478349464e-05,7.932321831121749e-05,-0.00033111472950162537,0.00025824787141365155,-0.0008659518386639564,0.0004457540609744215,-0.0015035666621028123,0.0006001483089645831,-0.0021115856209445363,0.0006959850964654962,-0.002562346733986266,0.0007268288544039766,-0.002755746789182655,0.000703583727473035,-0.002637045853851788,0.0006495010183064925,-0.002206241862230852,0.0005928434004005261,-0.0015176467122907137,0.0005584784721039436,-0.0006699449882631062,0.0005601799445756373,0.0002115152471450892,0.0005957936837327003,0.0009972046069221707,0.0006471634046962047,0.0015767396474223243,0.0006855288346350354,0.0018787656778809698,0.0006812588039514919,0.0018835738612691065,0.0006150013640576078,0.0016260020638222666,0.0004864769529136627,0.0011881554776749822,0.0003177638369135171,0.0006836228418849069,0.00015030651458845093,0.00023669172001554187,1.5919852387296286e-05,-2.2785889519242104e-05
8,7.654242189391569,211586569.6913262,25617.230176878104,1729.5800591688103,2.103816029852303,0.21756189252266828,0.18253415926021513,0.010373486634921028,2.1623597117833806,756.3131564797354,7.096242782514577,3.783393023585459,997.6691747752357,6.085786330514607,1.833307872293949,410.3355969528616,22.56779903594358,-1.4806579231793626e-05,-1.0441446937640967e-05,0.00011146929216163134,-0.00042233781747540253,0.0003426920957472209,-0.001113380055601107,0.0005847206132381925,-0.0019375862334989706,0.0007840221900876615,-0.0027231486026999957,0.0009080489019532814,-0.0033041890197858495,0.000948399863035025,-0.003550603961019187,0.0009186727450053409,-0.003391285627909634,0.0008483524280976599,-0.0028263354200675182,0.0007737665619035926,-0.0019265387776264149,0.0007274377336865745,-0.0008204903012535568,0.0007279534010624589,0.00032839302699696723,0.0007732317403174059,0.00135114057597095,0.0008399385990814285,0.0021037027307352226,0.0008903020937184201,0.002493008362069854,0.0008849853535079216,0.002493532560872683,0.0007980918770253788,0.0021510984644408843,0.0006290792669056392,0.0015733093333591336,0.0004071818584832965,0.0009088725150580751,0.00018715209769764219,0.00032047013570442854,1.6730803214741393e-05,-2.4222062242025884e-05
9,7.654242189391569,211586569.6913262,25617.230176878104,1729.5800591688103,2.103816029852303,0.21756189252266828,0.18253415926021513,0.010373486634921028,2.1623597117833806,756.3131564797354,7.096242782514577,3.783393023585459,997.6691747752357,6.085786330514607,1.833307872293949,410.3355969528616,23.353153927849807,-1.537973459177263e-05,-1.0662475542811215e-05,0.0001442570724508715,-0.0005134994628318204,0.0004276085254253975,-0.0013616233624638616,0.0007239329279679971,-0.0023739399222981535,0.0009680895171931925,-0.0033391337160151046,0.0011205869042315128,-0.004052937962530139,0.001170977617018327,-0.004355026691154956,0.0011352335236680668,-0.004157672911683484,0.0010486913487507915,-0.0034608066350202806,0.0009555392662415887,-0.002351408826295892,0.0008960753958396095,-0.0009877529485452703,0.0008941030909568333,0.000428795441330402,0.0009480852776867333,0.0016897924218094325,0.001029803322295391,0.0026173471595954145,0.0010924521242647457,0.0030964100814767368,0.0010867055829072443,0.0030953574254594853,0.0009797735128386597,0.002670731881710856,0.0007706419317712418,0.0019553904059673283,0.0004957154521064042,0.0011329388252829756,0.0002231980252545061,0.00040429469470853563,1.7253466846700162e-05,-2.525952569696384e-05
10,7.654242189391569,211586569.6913262,25617.230176878104,1729.5800591688103,2.103816029852303,0.21756189252266828,0.18253415926021513,0.010373486634921028,2.1623597117833806,756.3131564797354,7.096242782514577,3.783393023585459,997.6691747752357,6.085786330514607,1.833307872293949,410.3355969528616,23.912266072800534,-1.5808142980117734e-05,-1.0770002616660883e-05,0.00017738836967692376,-0.0006047601251984763,0.0005126683128531961,-0.0016108933401677045,0.0008630459369041209,-0.002812987537508876,0.0011520098898185943,-0.003960177718809081,0.001333284853274606,-0.004809637871482239,0.0013942926341501845,-0.005170570719832867,0.0013530509980138267,-0.004938329247585479,0.0012503513020746065,-0.004112333139866369,0.0011380203327903118,-0.0027954112936700746,0.001064241214107743,-0.0011752194203521824,0.001058438433027532,0.0005090992856418108,0.0011201113934755538,0.0020096204222849385,0.0012164798821668584,0.0031144283647954753,0.0012917116397095903,0.0036861907789669524,0.0012862207147232285,0.0036868343687358053,0.0011599648972208465,0.0031832763157302172,0.0009112210177971142,0.0023333076662524614,0.0005835415340849216,0.001355155195758263,0.0002586997648877877,0.00048778366807196254,1.7607060692167237e-05,-2.6059797375827966e-05
