时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.2859271320818608,29702393.07595711,953.3283357257424,60.15890355282549,1.7170373204865825,0.13893688076355135,0.07376994377595107,0.005096791496189224,1.7465624808843008,1227.2410992271457,8.761687367939777,8.967051323692885,181.82346399905822,8.882954607895345,5.365599331577933,127.57298346983417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.2859271320818608,29702393.07595711,953.3283357257424,60.15890355282549,1.7170373204865825,0.13893688076355135,0.07376994377595107,0.005096791496189224,1.7465624808843008,1227.2410992271457,8.761687367939777,8.967051323692885,181.82346399905822,8.882954607895345,5.365599331577933,127.57298346983417,2.6636936054020395,-5.391101195612754e-07,-1.660049884641554e-07,1.2633568938030078e-06,-8.735305697749204e-06,5.339235319014535e-06,-2.4650185253569256e-05,9.80943219439148e-06,-4.4307655208461964e-05,1.3557371034997125e-05,-6.344914639870771e-05,1.5896077152221557e-05,-7.797436761317738e-05,1.6643700838345043e-05,-8.467050487310234e-05,1.6075806589739896e-05,-8.177487000111274e-05,1.4779635817301876e-05,-6.926704589724526e-05,1.3448341079310563e-05,-4.8843335237631254e-05,1.2662420098429837e-05,-2.358157529228263e-05,1.2710546010838675e-05,2.6412339438747117e-06,1.3498361898334453e-05,2.5872508737108896e-05,1.4576661268134018e-05,4.281589042374672e-05,1.5289113637509293e-05,5.1434356288912384e-05,1.5001672066211923e-05,5.130970687701119e-05,1.3344784517999261e-05,4.368940502210841e-05,1.0389108021245611e-05,3.121158891219242e-05,6.692619585223535e-06,1.736274171276342e-05,3.1975297380356313e-06,5.770265522550769e-06,5.300030477241928e-07,-2.8672027683991095e-07
3,1.2859271320818608,29702393.07595711,953.3283357257424,60.15890355282549,1.7170373204865825,0.13893688076355135,0.07376994377595107,0.005096791496189224,1.7465624808843008,1227.2410992271457,8.761687367939777,8.967051323692885,181.82346399905822,8.882954607895345,5.365599331577933,127.57298346983417,5.712219951301765,-1.1567742745194247e-06,-3.5522008093886254e-07,3.3163765791457655e-06,-2.0742371942100317e-05,1.3116809791359122e-05,-5.879400705897172e-05,2.3873191704805303e-05,-0.00010586885143793262,3.290105314677877e-05,-0.00015171235939500773,3.854249700703945e-05,-0.00018640838693704688,4.03538869681467e-05,-0.00020216702857120907,3.899504865488236e-05,-0.00019470570092106353,3.5881139108757056e-05,-0.00016397050370068844,3.268785478940254e-05,-0.00011408235797797099,3.0822484557808975e-05,-5.252734205419378e-05,3.0986599255867596e-05,1.125734355484973e-05,3.294969983072831e-05,6.764429395821551e-05,3.5613306248986083e-05,0.00010860002595195995,3.7369008644276844e-05,0.00012915828169462955,3.6659707162475905e-05,0.000128301595658204,3.257529469082794e-05,0.00010908208556730756,2.5287153556963234e-05,7.79590220767236e-05,1.6168003790279483e-05,4.348591436699734e-05,7.543762340533883e-06,1.459716797131004e-05,1.136571369061647e-06,-6.159752631421167e-07
4,1.2859271320818608,29702393.07595711,953.3283357257424,60.15890355282549,1.7170373204865825,0.13893688076355135,0.07376994377595107,0.005096791496189224,1.7465624808843008,1227.2410992271457,8.761687367939777,8.967051323692885,181.82346399905822,8.882954607895345,5.365599331577933,127.57298346983417,9.046625922919961,-1.8333869473848535e-06,-5.60759133084945e-07,6.664606905733828e-06,-3.7528318945690555e-05,2.464142899382203e-05,-0.00010689705615444773,4.438072025943662e-05,-0.00019284953262895552,6.0964270776030254e-05,-0.0002765508510459905,7.13439723838732e-05,-0.00033970670549313446,7.469459641978673e-05,-0.0003679068224876133,7.221795306608599e-05,-0.0003532121736785631,6.6511325605102e-05,-0.000295515369349081,6.066327659345934e-05,-0.00020245782409754936,5.727878039346683e-05,-8.79388005208156e-05,5.7663618919498714e-05,3.050414867908375e-05,6.139241107419421e-05,0.00013496648939310342,6.641582707180153e-05,0.00021049858468284504,6.972181344682455e-05,0.0002478555703078388,6.838570751021258e-05,0.00024514996090308996,6.069246291481482e-05,0.00020808986854829102,4.696004630366796e-05,0.00014876038407274096,2.977224666245705e-05,8.319491719727522e-05,1.3519570875824285e-05,2.820347796288765e-05,1.7998413153133808e-06,-9.78060485429619e-07
5,1.2859271320818608,29702393.07595711,953.3283357257424,60.15890355282549,1.7170373204865825,0.13893688076355135,0.07376994377595107,0.005096791496189224,1.7465624808843008,1227.2410992271457,8.761687367939777,8.967051323692885,181.82346399905822,8.882954607895345,5.365599331577933,127.57298346983417,12.658399190071323,-2.5680010500736123e-06,-7.80591367071588e-07,1.244658912044295e-05,-6.286120771457474e-05,4.300484362854975e-05,-0.00018002163057900195,7.65600444872455e-05,-0.00032540921898558664,0.00010477633508556838,-0.00046696777296547796,0.00012247267562117634,-0.0005734229174640319,0.00012822738300074328,-0.0006200722995829835,0.00012405734095642627,-0.0005932760721926852,0.00011436474928817009,-0.0004928353672424838,0.00010441724570704114,-0.0003318821833877897,9.8689231151988e-05,-0.00013433840696532102,9.94492618975073e-05,6.957969583393713e-05,0.00010598622155736588,0.00024899492551153096,0.00011476264947396839,0.00037810626533848427,0.00012054251464177392,0.0004409526772015987,0.00011821807475771845,0.0004342901040930261,0.00010478092313597057,0.0003680272813772236,8.077756721503682e-05,0.000263144888702504,5.0728692046239636e-05,0.00014752411166152736,2.2332127464910984e-05,5.049435595062436e-05,2.517675033116657e-06,-1.3739620495853904e-06
6,1.2859271320818608,29702393.07595711,953.3283357257424,60.15890355282549,1.7170373204865825,0.13893688076355135,0.07376994377595107,0.005096791496189224,1.7465624808843008,1227.2410992271457,8.761687367939777,8.967051323692885,181.82346399905822,8.882954607895345,5.365599331577933,127.57298346983417,16.832508946199113,-3.4209395064803834e-06,-1.027326089698347e-06,2.4700148249316727e-05,-0.00011068017486981134,7.93830793536277e-05,-0.00031899334121435533,0.00013938891725493802,-0.0005779227836996882,0.00018990001884711862,-0.0008300257495104976,0.00022169061902274105,-0.0010189942894636877,0.00023217670959717847,-0.0011002134645684257,0.0002248616295284222,-0.0010489715912998028,0.0002075260112956387,-0.0008648457110301417,0.00018959123410241486,-0.0005715726770629075,0.00017917853508751444,-0.00021250377908253336,0.00018051957233963293,0.00015750871844018985,0.00019244959021298244,0.0004823287882596763,0.00020857569251376147,0.0007149876849302655,0.00021928090913134345,0.0008264014653048156,0.00021509531314672402,0.0008106692130327583,0.0001903939823962064,0.0006859192590668532,0.00014615106654485393,0.0004905593920331816,9.074059144580772e-05,0.0002757119209828804,3.844197045382573e-05,9.532105517598481e-05,3.345276720789037e-06,-1.8407501365140685e-06
7,1.2859271320818608,29702393.07595711,953.3283357257424,60.15890355282549,1.7170373204865825,0.13893688076355135,0.07376994377595107,0.005096791496189224,1.7465624808843008,1227.2410992271457,8.761687367939777,8.967051323692885,181.82346399905822,8.882954607895345,5.365599331577933,127.57298346983417,19.585014995179154,-3.988400136454778e-06,-1.1803081356487914e-06,4.010555723599584e-05,-0.00016671159649083478,0.00012325019369537605,-0.00048264282569763486,0.00021440618100591105,-0.0008758921467339584,0.00029122198860576223,-0.0012590130493324416,0.00033978194907441513,-0.001546004295768643,0.00035609841836619705,-0.001668551736125668,0.0003452809762169789,-0.001588679869054528,0.0003189230215404135,-0.0013055497694185023,0.0002912689410581658,-0.000855345572473084,0.00027482812555803155,-0.0003043938313274185,0.0002763593696204873,0.00026320776211105287,0.00029437508171862155,0.0007612388841256175,0.00031919581397120894,0.0011174324537467286,0.00033593653183110975,0.0012869444389649448,0.00032976320809096965,0.001260586970270388,0.00029176601982242083,0.001066196663100963,0.00022336790709371858,0.0007629069005121936,0.00013760564477245204,0.00042954139178520435,5.673600351595972e-05,0.00014944151719957572,3.888284375417251e-06,-2.1603935562968965e-06
8,1.2859271320818608,29702393.07595711,953.3283357257424,60.15890355282549,1.7170373204865825,0.13893688076355135,0.07376994377595107,0.005096791496189224,1.7465624808843008,1227.2410992271457,8.761687367939777,8.967051323692885,181.82346399905822,8.882954607895345,5.365599331577933,127.57298346983417,21.266120404325086,-4.339587311193433e-06,-1.2650442668483658e-06,5.601311436331358e-05,-0.000222806056786963,0.00016764272295844224,-0.0006470095537045676,0.00028993777041902733,-0.0011757487461490745,0.00039311996706051293,-0.001691487375276947,0.0004586633196995007,-0.0020783374886848166,0.0004811332521191017,-0.002244034463139353,0.00046707395707822074,-0.002137073702251924,0.00043168867061218536,-0.0017559596629696552,0.0003939472844816259,-0.0011491462658286735,0.0003708370666968077,-0.0004058604922893432,0.00037188706197845584,0.0003604968264784079,0.00039554994823040476,0.0010334297481609882,0.00042899362446153203,0.001515088831894967,0.00045200065164562834,0.0017445669677463194,0.0004441645111424916,0.0017091425904637047,0.0003930760635735423,0.001446214654233646,0.0003005146349931713,0.0010356032797404525,0.0001842448572602765,0.0005838886222086241,7.465102039911661e-05,0.00020394931828955038,4.217701622937961e-06,-2.365906627451402e-06
9,1.2859271320818608,29702393.07595711,953.3283357257424,60.15890355282549,1.7170373204865825,0.13893688076355135,0.07376994377595107,0.005096791496189224,1.7465624808843008,1227.2410992271457,8.761687367939777,8.967051323692885,181.82346399905822,8.882954607895345,5.365599331577933,127.57298346983417,22.39095502798688,-4.578734719014638e-06,-1.3143217465858863e-06,7.215755750746685e-05,-0.0002789798405547954,0.00021221785510239265,-0.0008120245421573358,0.0003655703715245858,-0.0014773781002582977,0.0004951321072512771,-0.0021274074782486477,0.0005778553923533246,-0.002616210107463326,0.0006068160376393078,-0.0028273554032814067,0.0005898112890520876,-0.0026955392221116093,0.0005454320708303722,-0.002218318339050401,0.0004972537365302662,-0.001456146783693675,0.00046681472920890194,-0.0005209549180307049,0.00046665621563241424,0.00044462772185984475,0.0004954520559941531,0.0012937545093551224,0.0005373838956516273,0.0019027846433861157,0.0005668731342426784,0.002194461050495682,0.0005577569023444564,0.0021522332044564834,0.0004939150407416216,0.0018228099027860578,0.0003773684428086636,0.001306511432907584,0.00023063221911443895,0.0007375655008139943,9.231733562234818e-05,0.00025837731700063723,4.436513245049436e-06,-2.512002738565467e-06
10,1.2859271320818608,29702393.07595711,953.3283357257424,60.15890355282549,1.7170373204865825,0.13893688076355135,0.07376994377595107,0.005096791496189224,1.7465624808843008,1227.2410992271457,8.761687367939777,8.967051323692885,181.82346399905822,8.882954607895345,5.365599331577933,127.57298346983417,23.190985449144925,-4.752715719886597e-06,-1.342876453385947e-06,8.84196263090877e-05,-0.0003352409957613936,0.0002568224446721625,-0.0009776677981153572,0.00044111997551381433,-0.001780764952204568,0.0005970521771546272,-0.0025668294779000044,0.0006971432362329002,-0.003159838044951085,0.0007329392801823217,-0.0034189833657704864,0.0007133064945193465,-0.003264877583882743,0.0006599923531667761,-0.002693808033522044,0.0006010446520590849,-0.0017779149242064583,0.0005626152809852028,-0.0006515825534714607,0.0005604969033302362,0.0005134574303756784,0.000593874711516384,0.0015399736511631215,0.0006441286972308131,0.0022783445720867632,0.0006803096184044534,0.0026346691357027083,0.0006703257612499535,0.002588239928090282,0.000594132222450565,0.0021947714018274423,0.0004538617301876835,0.0015748359581887153,0.00027678050196550905,0.0008901393669938915,0.00010980450739202325,0.0003125541852132508,4.591026068516632e-06,-2.6232904893950685e-06
