时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,5.346296863550705,47642839.857251175,-267.56235852123064,179.00186635829454,2.8204677824874267,0.4701026573388479,0.11108416997031895,0.006955864317262018,3.0173110162662646,1556.6469287758302,4.03697976573654,5.667340463202226,867.1358501074819,6.356424629766179,4.320793698396292,597.0181208325558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.346296863550705,47642839.857251175,-267.56235852123064,179.00186635829454,2.8204677824874267,0.4701026573388479,0.11108416997031895,0.006955864317262018,3.0173110162662646,1556.6469287758302,4.03697976573654,5.667340463202226,867.1358501074819,6.356424629766179,4.320793698396292,597.0181208325558,6.841950860143008,-1.6877045791963835e-06,-7.695601470700945e-07,7.854629933555545e-06,-1.8294526237608337e-05,2.815176508945953e-05,-5.475044627821804e-05,5.157674462101189e-05,-0.0001017984868136316,7.189737488659625e-05,-0.00014845910580546496,8.49070775117791e-05,-0.00018361763134403796,8.921809628811073e-05,-0.0001982602341788109,8.622864315266563e-05,-0.0001872901367884361,7.93298402031692e-05,-0.00015053443635902277,7.260547869540332e-05,-9.279279828779772e-05,6.939439518964279e-05,-2.2911424037309946e-05,7.113797044040084e-05,4.7947388589060086e-05,7.687257965704614e-05,0.00010851262291576984,8.354754381286794e-05,0.00014964473655149546,8.709297000808404e-05,0.00016614003844490444,8.391240209632643e-05,0.000157716296561921,7.23230753799996e-05,0.00012898271861037035,5.345958578807988e-05,8.840836442293168e-05,3.1327459601520985e-05,4.65412121764212e-05,1.192227398603797e-05,1.3800330787359596e-05,1.0445956965161249e-06,-1.0583681443644577e-06
3,5.346296863550705,47642839.857251175,-267.56235852123064,179.00186635829454,2.8204677824874267,0.4701026573388479,0.11108416997031895,0.006955864317262018,3.0173110162662646,1556.6469287758302,4.03697976573654,5.667340463202226,867.1358501074819,6.356424629766179,4.320793698396292,597.0181208325558,15.42259440884625,-3.8221921946080204e-06,-1.71050134342446e-06,2.8962245433905524e-05,-5.921684339363886e-05,9.68965682506038e-05,-0.00018058342100839018,0.00017542588158239088,-0.0003377595031248009,0.00024369556712749104,-0.0004939025310168812,0.00028753813850702713,-0.0006114521308347729,0.0003021887780470879,-0.0006598236937457215,0.00029223317807329806,-0.0006216381234539612,0.00026901413235147926,-0.0004962138722553684,0.0002463009885811509,-0.0002997863012887827,0.00023543677318974395,-6.240119590925991e-05,0.00024138398286167417,0.0001779590023638541,0.00026092250774838676,0.0003829121268918182,0.00028366882617571253,0.0005213547144830012,0.0002957034335046769,0.0005756528430014613,0.0002847043518821572,0.0005450066185327621,0.00024492222154428526,0.00044530266312823734,0.00018029792083063022,0.0003055395461377258,0.00010461244673056963,0.00016170296273421668,3.841256352849595e-05,4.9280080628353314e-05,2.339029001065519e-06,-2.4110468573830972e-06
4,5.346296863550705,47642839.857251175,-267.56235852123064,179.00186635829454,2.8204677824874267,0.4701026573388479,0.11108416997031895,0.006955864317262018,3.0173110162662646,1556.6469287758302,4.03697976573654,5.667340463202226,867.1358501074819,6.356424629766179,4.320793698396292,597.0181208325558,23.119859138149593,-5.794936200622953e-06,-2.47359512924907e-06,8.519301854285086e-05,-0.00015572935538422578,0.00026912608479613296,-0.0004837628241105167,0.00048197249783048685,-0.0009102716589542907,0.0006675501555647417,-0.0013351490405119355,0.0007874789187201403,-0.0016556161720232662,0.0008284424272354661,-0.0017876375327723583,0.0008021940075352996,-0.001683159009732433,0.0007389399862080319,-0.001339831046462045,0.0006759963021862613,-0.0008017517137232653,0.000644721703423317,-0.0001511226554572444,0.0006594664913980034,0.0005077516338961875,0.0007121166868681899,0.0010692050437549584,0.000774417323114721,0.0014475287414404232,0.0008078107392678285,0.0015942486324644794,0.0007778362666674812,0.0015074751067401227,0.0006682874233071653,0.0012313277918174531,0.0004900998151270343,0.0008458091959011727,0.00028164884639813985,0.0004497206415238827,9.985715169796694e-05,0.0001402188468844667,3.4484325276760426e-06,-3.7063043980295026e-06
5,5.346296863550705,47642839.857251175,-267.56235852123064,179.00186635829454,2.8204677824874267,0.4701026573388479,0.11108416997031895,0.006955864317262018,3.0173110162662646,1556.6469287758302,4.03697976573654,5.667340463202226,867.1358501074819,6.356424629766179,4.320793698396292,597.0181208325558,26.07223599215075,-6.610665751006732e-06,-2.6832686466974674e-06,0.00014468682265690464,-0.00025394392736772484,0.00044742124548486235,-0.0007952922691286557,0.0007978557664598642,-0.0015010220014143498,0.001104094576488183,-0.002205857334789614,0.001303232864662471,-0.0027394916457214305,0.0013728689606144122,-0.002962385640796839,0.0013312004235791802,-0.0027943909861397383,0.001226800949465512,-0.002230852673007449,0.0011207439087310568,-0.0013439177964632816,0.0010654487612422393,-0.0002689758687330521,0.001086109447578634,0.000821538897832567,0.0011708044882652155,0.0017523942094619755,0.0012734681597266835,0.00238108208576808,0.0013298596678773117,0.0026268173997482506,0.001281825019831519,0.002486258241332837,0.0011015585116854703,0.002032430764691886,0.0008069346613373406,0.0013976236418281683,0.00046195817564069784,0.0007448721568927565,0.0001614280066124947,0.00023435033407007036,3.8218313009644936e-06,-4.2847855339295864e-06
6,5.346296863550705,47642839.857251175,-267.56235852123064,179.00186635829454,2.8204677824874267,0.4701026573388479,0.11108416997031895,0.006955864317262018,3.0173110162662646,1556.6469287758302,4.03697976573654,5.667340463202226,867.1358501074819,6.356424629766179,4.320793698396292,597.0181208325558,27.5926976205734,-7.077027147451509e-06,-2.7264043593795585e-06,0.00020471085081373466,-0.0003523171319135009,0.0006260422840946565,-0.0011087715810458216,0.0011138270404737738,-0.002097212200103736,0.0015409947594640276,-0.003086921856673551,0.0018204871544658056,-0.0038395105225226085,0.001920547815850049,-0.004159350320990401,0.0018648961181203171,-0.0039336287265165715,0.0017194123382780538,-0.003154760238661849,0.001568428192072122,-0.0019222537432626603,0.001485888412976239,-0.00042409986108361125,0.0015090699477168202,0.0010993672960495741,0.0016235781092182797,0.002403074577546477,0.0017662271714088515,0.0032870457723099835,0.0018468209587353792,0.003637425574249604,0.0017825661192996107,0.003448828096696657,0.0015331005068905715,0.0028227769119472204,0.0011228230797896083,0.0019434509320415462,0.0006415696841824687,0.001037641862663275,0.0002224416659254731,0.00032817026567512705,3.974284034349417e-06,-4.644977880979127e-06
7,5.346296863550705,47642839.857251175,-267.56235852123064,179.00186635829454,2.8204677824874267,0.4701026573388479,0.11108416997031895,0.006955864317262018,3.0173110162662646,1556.6469287758302,4.03697976573654,5.667340463202226,867.1358501074819,6.356424629766179,4.320793698396292,597.0181208325558,28.511570983650937,-7.39698399592815e-06,-2.699310623907909e-06,0.0002648938891652354,-0.0004509658135249135,0.0008044773780883654,-0.001424208187296331,0.0014291916476550021,-0.0026987083387818318,0.0019773730264761643,-0.003978106365801138,0.002338236734001694,-0.00495545017680745,0.0024704444639391606,-0.00537849773915115,0.0024023186188437866,-0.005101232377620481,0.002215941834281579,-0.004112503056995971,0.0020183313665876265,-0.0025384309756769008,0.0019053545590835014,-0.000618902327630371,0.0019275892016646587,0.0013382311890841405,0.0020695433086973174,0.00301791656885248,0.0022516884254034416,0.004162107426152066,0.0023576873256218878,0.004623096922428063,0.002279202848062394,0.0043927697686605965,0.001962334587283712,0.00360061019057014,0.0014375116912147088,0.002482163966793038,0.0008205062556684345,0.0013274019761587254,0.00028308060535747254,0.00042136603182678183,4.034434873163538e-06,-4.91261954159022e-06
8,5.346296863550705,47642839.857251175,-267.56235852123064,179.00186635829454,2.8204677824874267,0.4701026573388479,0.11108416997031895,0.006955864317262018,3.0173110162662646,1556.6469287758302,4.03697976573654,5.667340463202226,867.1358501074819,6.356424629766179,4.320793698396292,597.0181208325558,29.120363489435583,-7.64177778093673e-06,-2.6358353666199354e-06,0.00032509204698597606,-0.0005499108702425705,0.0009824986314478621,-0.0017415419631838843,0.001743600598126895,-0.003305350516707263,0.0024127459834648113,-0.004879172789719435,0.0028558911878669014,-0.006087051475836609,0.0030219274254323918,-0.00661962555537133,0.002942875320066745,-0.006297142820016262,0.002715892935522578,-0.005104250608111236,0.002470058117265215,-0.0031929147123780726,0.0023235024140097387,-0.0008541646837666908,0.002341295141845423,0.0015370829224204473,0.0025082427116238496,0.0035957226847994996,0.002729308260232406,0.005005066317274396,0.002861889665085376,0.005582757326444877,0.0027712339456414017,0.00531721808384335,0.0023889076808060604,0.004365303639640775,0.001750825998867708,0.0030133592746806603,0.0009987428358580073,0.001613926705985315,0.0003434027699816738,0.0005138258259918844,4.0474667737072575e-06,-5.131853992562592e-06
9,5.346296863550705,47642839.857251175,-267.56235852123064,179.00186635829454,2.8204677824874267,0.4701026573388479,0.11108416997031895,0.006955864317262018,3.0173110162662646,1556.6469287758302,4.03697976573654,5.667340463202226,867.1358501074819,6.356424629766179,4.320793698396292,597.0181208325558,29.547316176824445,-7.84272484242549e-06,-2.550907010113242e-06,0.0003852265624831879,-0.0006491378356944629,0.0011599524707492058,-0.0020606706904476146,0.002056787825979643,-0.003916927289803364,0.0028467177611704816,-0.005789814819573702,0.0033729455290048595,-0.007233956410373511,0.0035744420480290006,-0.007882381579702809,0.003486038900770331,-0.0075210765662658075,0.003218825609444767,-0.00612985370422244,0.0029232685412165513,-0.0038857499236302183,0.0027400507137870637,-0.0011301583519071898,0.002749892832312018,0.001695442664204064,0.002939307673070549,0.00413587489673629,0.0031986333879542497,0.005815262769452611,0.0033589361698709626,0.006515792662913533,0.0032582083438060508,0.006221660778739361,0.002812482044991762,0.005116471570612225,0.0020625739132093647,0.0035367792548610675,0.0011762147810995863,0.001897070586978862,0.00040341941868510885,0.0006054846981547771,4.033281575521063e-06,-5.322079759995056e-06
10,5.346296863550705,47642839.857251175,-267.56235852123064,179.00186635829454,2.8204677824874267,0.4701026573388479,0.11108416997031895,0.006955864317262018,3.0173110162662646,1556.6469287758302,4.03697976573654,5.667340463202226,867.1358501074819,6.356424629766179,4.320793698396292,597.0181208325558,29.857724701378697,-8.015746603066702e-06,-2.4521606612799333e-06,0.0004452435818651825,-0.000748617598395774,0.0013367136412894476,-0.0023814715770128867,0.0023685186751418127,-0.004533197154606447,0.003278924666725827,-0.006709682254697006,0.0038889239138425033,-0.008395743889732089,0.00412745649497251,-0.009166324813129284,0.004031297831613888,-0.008772628491583029,0.0037243114593392464,-0.00718900336279775,0.00337763567839012,-0.004616783552731125,0.0031547378336218555,-0.0014469264428788194,0.0031531158734115694,0.0018130734702866357,0.003362404364331268,0.004637992668648751,0.0036592450593206554,0.006592249961923267,0.0038483615896945152,0.00742176269499573,0.003739687861421446,0.007105713562770053,0.0032327176566652235,0.005853811678753672,0.0023725490479023863,0.00405221392988412,0.0013528373271011421,0.002176713364328729,0.00046312206330275486,0.0006962935139412057,4.00203530921574e-06,-5.493152138077227e-06
