时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,9.989819561942415,103878271.81199314,-2488.4995531334425,1939.1231574712995,2.6994735777044454,0.22988150118645678,0.10763899363265478,0.015201609608644518,2.7508039342424753,636.6772009286993,5.423706486658668,9.47758442164326,299.2083208433087,5.180078074300072,4.0975711517702065,204.52370016424766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9.989819561942415,103878271.81199314,-2488.4995531334425,1939.1231574712995,2.6994735777044454,0.22988150118645678,0.10763899363265478,0.015201609608644518,2.7508039342424753,636.6772009286993,5.423706486658668,9.47758442164326,299.2083208433087,5.180078074300072,4.0975711517702065,204.52370016424766,1.4130717013624383,-2.5926406302374676e-06,-4.88146030131762e-07,-1.8359733383613846e-06,-1.0174841879955798e-05,2.301836583295246e-06,-2.7302923830336466e-05,6.946838726292646e-06,-4.868322724979066e-05,1.0956659863795615e-05,-7.033075925119464e-05,1.3609440078214682e-05,-8.844317178996173e-05,1.4668733129788283e-05,-9.998105904609042e-05,1.4335507412885401e-05,-0.00010311810223404086,1.3118305143612859e-05,-9.74773239441474e-05,1.1653350959815504e-05,-8.41178450210414e-05,1.0513717001773195e-05,-6.527900803950767e-05,1.0050185957883075e-05,-4.393061216457557e-05,1.030304125392702e-05,-2.3211311891747043e-05,1.1010017907837942e-05,-5.858007941227568e-06,1.1710757089563231e-05,6.267740883287177e-06,1.1918080924307159e-05,1.2466945657495182e-05,1.1301881806012128e-05,1.3249963795673009e-05,9.822902976701409e-06,1.0134811820732984e-05,7.766670256316106e-06,5.238668768519851e-06,5.6688076013687005e-06,7.375235232819731e-07,2.7088995473022618e-06,-1.178102390926188e-06
3,9.989819561942415,103878271.81199314,-2488.4995531334425,1939.1231574712995,2.6994735777044454,0.22988150118645678,0.10763899363265478,0.015201609608644518,2.7508039342424753,636.6772009286993,5.423706486658668,9.47758442164326,299.2083208433087,5.180078074300072,4.0975711517702065,204.52370016424766,3.2577277217080693,-5.984519485394702e-06,-1.1236621137764434e-06,-3.830851660043247e-06,-2.4764972594213207e-05,6.462220663838099e-06,-6.692691154580988e-05,1.8045112274345753e-05,-0.00011974338063926559,2.80662070582957e-05,-0.00017326054771493797,3.470620167461892e-05,-0.0002178742883689225,3.736027344303141e-05,-0.00024585782924981924,3.652897489470844e-05,-0.00025255094932504586,3.349565959229615e-05,-0.0002369944743330862,2.9871696605756117e-05,-0.00020191666023790591,2.7109103828991155e-05,-0.00015308830041803684,2.6090185558513412e-05,-9.817138651148778e-05,2.6896753173495554e-05,-4.527238552545988e-05,2.882698476173636e-05,-1.4653517127427356e-06,3.066410683657714e-05,2.8440852606615337e-05,3.112246798955413e-05,4.2659418305254685e-05,2.933136817620928e-05,4.256550727057084e-05,2.519350767356109e-05,3.219762564176874e-05,1.948807241765827e-05,1.7227043033665254e-05,1.369213556845703e-05,3.589602152090826e-06,6.250242850029012e-06,-2.721394971741371e-06
4,9.989819561942415,103878271.81199314,-2488.4995531334425,1939.1231574712995,2.6994735777044454,0.22988150118645678,0.10763899363265478,0.015201609608644518,2.7508039342424753,636.6772009286993,5.423706486658668,9.47758442164326,299.2083208433087,5.180078074300072,4.0975711517702065,204.52370016424766,5.379941914128077,-9.898142435621951e-06,-1.8509690422037356e-06,-5.2952376204124045e-06,-4.423125222454667e-05,1.3595195068575292e-05,-0.0001205744941135182,3.4892648563154215e-05,-0.00021655451538767073,5.335269421143568e-05,-0.0003138286613665757,6.559732748901559e-05,-0.00039448307692666236,7.048821776030369e-05,-0.00044400677037520416,6.894732409532084e-05,-0.0004536191103004968,6.336744113424758e-05,-0.0004215344531411894,5.676464568814964e-05,-0.0003529799788986125,5.1858551551372795e-05,-0.00025899540627155257,5.028791202724644e-05,-0.00015425004682520765,5.2160966794490556e-05,-5.427872046826187e-05,5.6078477114777835e-05,2.7356382495523156e-05,5.9646142370888466e-05,8.145085148389797e-05,6.033926560749658e-05,0.00010464235513342917,5.6452016394215e-05,9.971925505526198e-05,4.781409642503924e-05,7.470852241828012e-05,3.6019989983541374e-05,4.094365963987326e-05,2.411046950469385e-05,1.0485473944845596e-05,1.0331122268913066e-05,-4.506734344430244e-06
5,9.989819561942415,103878271.81199314,-2488.4995531334425,1939.1231574712995,2.6994735777044454,0.22988150118645678,0.10763899363265478,0.015201609608644518,2.7508039342424753,636.6772009286993,5.423706486658668,9.47758442164326,299.2083208433087,5.180078074300072,4.0975711517702065,204.52370016424766,7.403018228637186,-1.3642077582813433e-05,-2.53781189178781e-06,-5.3642115813220205e-06,-6.70445939060798e-05,2.4085996553701292e-05,-0.00018437449883647292,5.730815084399019e-05,-0.0003322874000833635,8.612916011153143e-05,-0.00048209308464379215,0.00010524746472340259,-0.0006054779491369561,0.00011286112977421907,-0.0006793780625443654,0.00011041593930696988,-0.0006898149150498167,0.00010169354622475206,-0.0006340132315586321,9.147710336546085e-05,-0.0005204926416849427,8.408413888147502e-05,-0.00036717211004321876,8.209695941782452e-05,-0.00019786139950190462,8.561876269587674e-05,-3.7785185419700866e-05,9.22937419473604e-05,9.103930669671053e-05,9.813492053455839e-05,0.00017371218458278015,9.894681958657921e-05,0.00020491307234278132,9.190624774145627e-05,0.00018945938285278968,7.67745634024556e-05,0.00014087978006046176,5.631405784039543e-05,7.832207712123304e-05,3.579258689031299e-05,2.2401206049782374e-05,1.4227125991994128e-05,-6.222596710302e-06
6,9.989819561942415,103878271.81199314,-2488.4995531334425,1939.1231574712995,2.6994735777044454,0.22988150118645678,0.10763899363265478,0.015201609608644518,2.7508039342424753,636.6772009286993,5.423706486658668,9.47758442164326,299.2083208433087,5.180078074300072,4.0975711517702065,204.52370016424766,9.46994352315039,-1.748385675456834e-05,-3.2276324138828213e-06,-3.0987107878406725e-06,-9.781922814815482e-05,4.122178279050653e-05,-0.00027157335297321576,9.116935251719231e-05,-0.0004910199563086917,0.00013448642917103715,-0.0007128581992638798,0.00016318809119610152,-0.0008939674835279195,0.00017455109498219673,-0.000999069568406157,0.00017076839244061453,-0.0010067953290957582,0.00015759519940647932,-0.0009130822360608611,0.00014233640451983035,-0.0007314036161640592,0.00013159975710627178,-0.0004898764948648503,0.0001293145253815572,-0.00022581857290726633,0.00013553702776110933,2.1247377628117973e-05,0.00014644594076410576,0.00021686096264099785,0.00015563058831528071,0.0003378108481164407,0.00015635742612470188,0.00037607149425170294,0.00014412220816804237,0.00033975449308820975,0.00011863346517627483,0.000250932932243354,8.452586674178295e-05,0.00014082933839869093,5.0589700805396326e-05,4.331931940044029e-05,1.821154633601625e-05,-7.997606467285938e-06
7,9.989819561942415,103878271.81199314,-2488.4995531334425,1939.1231574712995,2.6994735777044454,0.22988150118645678,0.10763899363265478,0.015201609608644518,2.7508039342424753,636.6772009286993,5.423706486658668,9.47758442164326,299.2083208433087,5.180078074300072,4.0975711517702065,204.52370016424766,11.695247567533393,-2.1647786034238496e-05,-3.942846898772713e-06,4.566832826914956e-06,-0.0001476509269475916,7.389205264204544e-05,-0.00041439734679603904,0.0001517523601093004,-0.0007514806145838236,0.00021913787323281538,-0.0010909715166393158,0.00026366696894591435,-0.001364736276266652,0.0002811299905987437,-0.0015168958631540611,0.00027497852850998143,-0.0015137417882244172,0.0002542631094751221,-0.001349352015298893,0.00023052916807775255,-0.0010460715613477293,0.00021427822343294075,-0.0006499108093644036,0.00021175410769646346,-0.000221759468765109,0.0002229175313898382,0.0001739875277227517,0.0002413405745475404,0.00048131933272729875,0.0002562780711025637,0.0006627946657230461,0.0002564473999362808,0.0007060779018199017,0.00023435855110017512,0.0006255813868992362,0.00018971775047699416,0.0004589566709377082,0.00013067632768406178,0.00025922737714650766,7.25143347611214e-05,8.413521763451777e-05,2.2501197631583618e-05,-9.953179167857242e-06
8,9.989819561942415,103878271.81199314,-2488.4995531334425,1939.1231574712995,2.6994735777044454,0.22988150118645678,0.10763899363265478,0.015201609608644518,2.7508039342424753,636.6772009286993,5.423706486658668,9.47758442164326,299.2083208433087,5.180078074300072,4.0975711517702065,204.52370016424766,13.385426814846436,-2.4845198811393577e-05,-4.443402616815406e-06,1.8342851922514407e-05,-0.00021098910588818583,0.00012020624261285885,-0.0005973766151078318,0.00023407598314137258,-0.0010853331651119813,0.0003323434376826355,-0.0015747789025037117,0.000397112561124694,-0.0019650035937294136,0.00042233181063161437,-0.00217341511500583,0.0004130338257821091,-0.0021504889817307257,0.00038242486967164733,-0.001888272511344241,0.00034748286834620297,-0.0014211725248291028,0.00032381452520836233,-0.0008190903614260885,0.0003208085787280868,-0.00017422300522016557,0.0003384097989405845,0.0004161035771186501,0.0003667586739852441,0.0008674625461703844,0.0003892510028194374,0.0011238415496080928,0.0003883884604795115,0.001167641078848176,0.0003526055966604806,0.0010222061285971567,0.0002816753319817563,0.000746475377710962,0.00018867883319496388,0.0004229644016999159,9.78405173549583e-05,0.00014151160704530176,2.5752559890167618e-05,-1.1501371124119946e-05
9,9.989819561942415,103878271.81199314,-2488.4995531334425,1939.1231574712995,2.6994735777044454,0.22988150118645678,0.10763899363265478,0.015201609608644518,2.7508039342424753,636.6772009286993,5.423706486658668,9.47758442164326,299.2083208433087,5.180078074300072,4.0975711517702065,204.52370016424766,14.415557672410891,-2.6824940910585298e-05,-4.707523197130828e-06,3.4267645509826705e-05,-0.000273858871335242,0.00016870133688844322,-0.0007798253280744983,0.0003183870156503015,-0.0014183557497856937,0.0004472834373083797,-0.0020570713483324776,0.0005321620794876506,-0.0025626044371560965,0.0005651785165193389,-0.0028256601186836786,0.0005528248305899039,-0.0027809964160244427,0.0005122624657663276,-0.0024187961154895125,0.0004657750070451064,-0.001785737899688513,0.0004341243990113047,-0.000975851456882275,0.0004300493042673531,-0.00011289215080400171,0.00045370347440587197,0.0006726452323078535,0.0004918849602843446,0.001267746467986536,0.0005220178569046563,0.0015977910531266824,0.0005201477944682715,0.0016400589845495675,0.0004704331717709427,0.0014271398592460738,0.00037269889471902844,0.0010396668725209514,0.00024515055320803697,0.0005900503237270349,0.00012123653878800244,0.00020054209244351983,2.772645235145392e-05,-1.2501638663341425e-05
10,9.989819561942415,103878271.81199314,-2488.4995531334425,1939.1231574712995,2.6994735777044454,0.22988150118645678,0.10763899363265478,0.015201609608644518,2.7508039342424753,636.6772009286993,5.423706486658668,9.47758442164326,299.2083208433087,5.180078074300072,4.0975711517702065,204.52370016424766,15.102011202426196,-2.8171368544785322e-05,-4.848177096212046e-06,5.1310437624257675e-05,-0.0003366313643567103,0.00021828455645505552,-0.0009625273555539715,0.0004036099457855195,-0.0017521314532538343,0.0005629713275694388,-0.0025406828777637166,0.0006679639157648967,-0.003162075267240384,0.0007089640520533514,-0.003480249844988624,0.0006937628302291275,-0.003414204161381413,0.0006432414529998409,-0.0029522202854966595,0.0005848404513279942,-0.0021532139811418346,0.0005445273777611883,-0.00113532103580284,0.0005386244002098396,-5.3868920542455624e-05,0.000567774698990917,0.000927413562069753,0.000615594149146733,0.0016668221019488564,0.000653488927422515,0.002071030805815003,0.0006508466222453273,0.0021121502455577583,0.0005873402404420832,0.0018320225671161967,0.00046276969184145714,0.0013330094578221806,0.0003005528134135353,0.0007574360267581917,0.0001435179366837796,0.00025996190905330205,2.9036234663353515e-05,-1.3215210687135093e-05
