时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.385864953717964,19459610.159060705,1004.6456990868123,39.18098483903925,1.0610514608705959,0.22484818689814998,0.021807013222788465,0.004924195490809009,1.1770542980156693,829.5181469168793,2.3079703283727726,2.5729223203817906,149.17090835185388,2.3079703283727726,2.5729223203817906,149.17090835185388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.385864953717964,19459610.159060705,1004.6456990868123,39.18098483903925,1.0610514608705959,0.22484818689814998,0.021807013222788465,0.004924195490809009,1.1770542980156693,829.5181469168793,2.3079703283727726,2.5729223203817906,149.17090835185388,2.3079703283727726,2.5729223203817906,149.17090835185388,23.5224872283147,-1.1359855302711957e-05,-8.603237081595716e-06,4.312558961870161e-06,-3.360573931528598e-05,3.7983521412287856e-05,-8.292979760765628e-05,7.758600741059683e-05,-0.0001467521785748754,0.00011267151351923978,-0.0002111518433431077,0.00013592274333525093,-0.0002617319118189584,0.00014456343902440914,-0.00028653259247028804,0.000140524000445237,-0.00027842126658574013,0.0001292839381552518,-0.00023650037970260486,0.00011774684577845145,-0.0001663430281504024,0.00011174970376779325,-7.894796604586631e-05,0.00011398769530829682,1.1449876807813241e-05,0.00012307215092187385,9.030447347061473e-05,0.00013407989993934006,0.00014576290452778713,0.00014040971026963193,0.00017103935910783494,0.00013629197137100728,0.00016563050821525227,0.00011909884378675916,0.0001351735274826832,9.068227141173229e-05,9.003753831740459e-05,5.732238903277553e-05,4.3035765370904496e-05,2.810158307331149e-05,6.693723091869578e-06,1.1326655508261735e-05,-8.612117466714158e-06
3,0.385864953717964,19459610.159060705,1004.6456990868123,39.18098483903925,1.0610514608705959,0.22484818689814998,0.021807013222788465,0.004924195490809009,1.1770542980156693,829.5181469168793,2.3079703283727726,2.5729223203817906,149.17090835185388,2.3079703283727726,2.5729223203817906,149.17090835185388,53.77983337108468,-2.6016867558573768e-05,-1.9659318942791454e-05,3.517551668521807e-05,-0.00010857068886377291,0.00016204963960333616,-0.0002902867803997465,0.0003114006546880961,-0.0005272012242202458,0.00044384754394818747,-0.0007662547457446207,0.0005314475357228178,-0.0009519785832295804,0.0005634639787323419,-0.0010380710054916482,0.0005471874787625062,-0.0009969060438387474,0.0005036653548038412,-0.0008252251898738036,0.0004595729307640902,-0.0005451796786550185,0.0004375074830610256,-0.00020030119032507748,0.00044776704549981237,0.000153128391045506,0.0004845322516690473,0.00045771775809343894,0.0005279873445218832,0.0006669788862558931,0.0005517230203669421,0.0007548009946061813,0.0005328131107309305,0.0007202085087657068,0.00046109179772622883,0.0005866027238739124,0.00034448742142237804,0.00039598041061794745,0.00020867617657521295,0.00019971649454173976,9.060605655613707e-05,4.778540855869113e-05,2.5888371495749436e-05,-1.9711238888243156e-05
4,0.385864953717964,19459610.159060705,1004.6456990868123,39.18098483903925,1.0610514608705959,0.22484818689814998,0.021807013222788465,0.004924195490809009,1.1770542980156693,829.5181469168793,2.3079703283727726,2.5729223203817906,149.17090835185388,2.3079703283727726,2.5729223203817906,149.17090835185388,72.95089342947058,-3.538479412377637e-05,-2.6628922532124477e-05,0.00011657823581392356,-0.0002339439998720326,0.00042354535857484917,-0.0006684378974370812,0.0007845308826886352,-0.0012377196359939456,0.0011048113139123536,-0.0018121338455800177,0.0013167610542705343,-0.0022554062609334265,0.001393984709922434,-0.002453656066642406,0.0013535407089345385,-0.0023390484428770716,0.0012461654717685663,-0.0019039469161338805,0.0011369940395951253,-0.0012035755039163365,0.0010819075851437163,-0.000346246119940287,0.00110687387548979,0.0005278962937677574,0.0011977799790787085,0.0012759150446573022,0.0013051289680802009,0.0017823815890965031,0.0013624323553153546,0.001983383521718357,0.0013118550988453534,0.0018784015804945958,0.001128048279157534,0.001527879082383827,0.0008317859757374918,0.001038056765686713,0.0004886826249767596,0.0005374506339017091,0.00019240383721186131,0.00015012459561172868,3.506971609339714e-05,-2.6784004739426706e-05
5,0.385864953717964,19459610.159060705,1004.6456990868123,39.18098483903925,1.0610514608705959,0.22484818689814998,0.021807013222788465,0.004924195490809009,1.1770542980156693,829.5181469168793,2.3079703283727726,2.5729223203817906,149.17090835185388,2.3079703283727726,2.5729223203817906,149.17090835185388,80.19132751331058,-3.899629156446857e-05,-2.9225433825785976e-05,0.00020480092590305338,-0.0003542202481834787,0.000691849868741839,-0.0010428836588621618,0.001264123387701352,-0.0019475973529759281,0.0017722994558252256,-0.002861249599720169,0.002109609863896852,-0.0035657582561922935,0.0022337143609127198,-0.003879001608257305,0.0021703085305020777,-0.0036926357658840394,0.001998551242772819,-0.002994472449212684,0.0018215484694227798,-0.001872620235968438,0.0017292113748486257,-0.0005001340780463149,0.0017647970010844513,0.0008985621610037613,0.001907416255339295,0.0020940567871066784,0.00207836916242562,0.002900923133760371,0.0021702835012006125,0.003216864801168954,0.0020889530741055816,0.003042029677621746,0.0017927639718585474,0.0024746253368943074,0.0013153368796441694,0.001685717561472939,0.0007631654479621776,0.0008809466814233669,0.0002877228296136993,0.0002580303601782333,3.849440755578338e-05,-2.948937186004907e-05
6,0.385864953717964,19459610.159060705,1004.6456990868123,39.18098483903925,1.0610514608705959,0.22484818689814998,0.021807013222788465,0.004924195490809009,1.1770542980156693,829.5181469168793,2.3079703283727726,2.5729223203817906,149.17090835185388,2.3079703283727726,2.5729223203817906,149.17090835185388,83.95864636357442,-4.093594379673114e-05,-3.054820952275998e-05,0.00029498087911851027,-0.00047350540134585823,0.00096179035181469,-0.0014184981116401756,0.0017448011376906833,-0.0026626742016445403,0.002440903545795519,-0.003920816733825246,0.0029048103555672196,-0.004892254097408102,0.003077946445294613,-0.005326116714254595,0.0029933900470774555,-0.005073267724158037,0.0027572322611220767,-0.0041165974860143595,0.0025098247839484104,-0.002576464357694778,0.0023757300450786083,-0.0006899627966891334,0.002417204525116606,0.0012345345365745574,0.00260841844058046,0.0028808153402316893,0.0028423830577305152,0.003992653145785634,0.002970407781512076,0.0044286034928484935,0.0028605890155261227,0.004189128231264817,0.002453791958341107,0.0034101312635164056,0.0017960392462031953,0.002327253546544092,0.0010350810330490884,0.0012225647054803866,0.00038078493319325087,0.0003666317939823056,4.0247582915872536e-05,-3.092230732952062e-05
7,0.385864953717964,19459610.159060705,1004.6456990868123,39.18098483903925,1.0610514608705959,0.22484818689814998,0.021807013222788465,0.004924195490809009,1.1770542980156693,829.5181469168793,2.3079703283727726,2.5729223203817906,149.17090835185388,2.3079703283727726,2.5729223203817906,149.17090835185388,86.24881123018461,-4.216847476525795e-05,-3.132895230352081e-05,0.00038596343703966034,-0.0005927668076788243,0.0012321310713274852,-0.001796458777856261,0.0022252672421072,-0.003384441922665938,0.003109303494226613,-0.004992796070622349,0.003701089662734297,-0.006237500809844788,0.0039255387491288875,-0.006798416148246801,0.003821832740459228,-0.0064852838993802705,0.0035214423148875,-0.005275635486323136,0.003201161096041721,-0.0033213414037249578,0.003020770491337974,-0.000922682961451804,0.003063251093554211,0.0015285177360325184,0.0032997625466018683,0.003629042578834717,0.0035960772972192705,0.005051068513646237,0.0037618578866580824,0.00561311705047791,0.003626197075322744,0.0053154121058962365,0.0031111041458307376,0.00433128056329599,0.002274410999697558,0.002960526192935428,0.001305349073257198,0.001560863177663896,0.0004726787414904386,0.00047490371537769024,4.129400430963953e-05,-3.1813492230372566e-05
8,0.385864953717964,19459610.159060705,1004.6456990868123,39.18098483903925,1.0610514608705959,0.22484818689814998,0.021807013222788465,0.004924195490809009,1.1770542980156693,829.5181469168793,2.3079703283727726,2.5729223203817906,149.17090835185388,2.3079703283727726,2.5729223203817906,149.17090835185388,87.77061145935383,-4.303657376126111e-05,-3.182757134422567e-05,0.0004773122741576418,-0.0007123196715983397,0.0015023454421690282,-0.0021771023666397517,0.002704881216938064,-0.004113294057284785,0.003776748101419829,-0.006077713326081968,0.0044976323402209275,-0.007602248352059932,0.0047756899318308985,-0.008296953693317625,0.004654927939238045,-0.007930096199019568,0.004290606467476421,-0.006473387574039411,0.0038950940356064258,-0.004109442028339512,0.0036639000762386286,-0.0012008146749877984,0.003702438131571022,0.0017778088046018087,0.003980833546238084,0.004336069283111342,0.004338756621953212,0.006073755825997301,0.004543971672562111,0.006768403579512983,0.0043852865390574015,0.006419346775562205,0.0037644813803828473,0.005236974776157069,0.0027505215307911807,0.003584787591748639,0.0015742554942710877,0.0018953373487688298,0.0005637850442477611,0.0005824843823138736,4.1976403447961216e-05,-3.242242230597066e-05
9,0.385864953717964,19459610.159060705,1004.6456990868123,39.18098483903925,1.0610514608705959,0.22484818689814998,0.021807013222788465,0.004924195490809009,1.1770542980156693,829.5181469168793,2.3079703283727726,2.5729223203817906,149.17090835185388,2.3079703283727726,2.5729223203817906,149.17090835185388,88.83916976276588,-4.3692608798527095e-05,-3.215966036539922e-05,0.0005688117147653284,-0.0008322800103016116,0.0017721244783880576,-0.002560505145463575,0.0031832006544214256,-0.004849274671555823,0.004442650299969283,-0.007175625145129557,0.005293743247014506,-0.008986628877922079,0.005627673727450166,-0.009821992377355836,0.005492005753787391,-0.009408138213789729,0.005064170534485408,-0.007710491523755914,0.004591185649488217,-0.004941636361970259,0.004304734883244922,-0.001525457398496768,0.00433434444930768,0.0019811442473861222,0.004651109754662638,0.005000593052129073,0.005069807230520779,0.007059512731183937,0.005316123147240705,0.007893458294545611,0.005137330814071631,0.0075001580997853595,0.004413587179736073,0.006126654029908764,0.003224254088867691,0.0041996526599508656,0.001841861381676273,0.0022257309822782245,0.0006542565977800935,0.0006892013140328053,4.2447203032057294e-05,-3.286445780235568e-05
10,0.385864953717964,19459610.159060705,1004.6456990868123,39.18098483903925,1.0610514608705959,0.22484818689814998,0.021807013222788465,0.004924195490809009,1.1770542980156693,829.5181469168793,2.3079703283727726,2.5729223203817906,149.17090835185388,2.3079703283727726,2.5729223203817906,149.17090835185388,89.61587007695096,-4.421460155790283e-05,-3.238444648103796e-05,0.0006603331334397336,-0.0009526865865039232,0.002041246509346109,-0.0029466420286585536,0.0036598637865313055,-0.005592289725169303,0.005106489785299741,-0.008286399737942401,0.0060887744949742195,-0.010390523779716061,0.006480790136817852,-0.011373472950449107,0.006332405492704691,-0.010919444571487549,0.005841581162018394,-0.00898711130370138,0.005289001386183665,-0.005818258559657309,0.004942905720771146,-0.0018971379947371303,0.004958576781054491,0.0021378341546206504,0.005310103655355691,0.005621847714636459,0.005788642374082233,0.008007603303585598,0.006077691811862998,0.00898765272127226,0.005881777250729536,0.008557352680338704,0.005058025843031073,0.006999952733835527,0.003695407431962606,0.004804864834616203,0.002108132350845201,0.0025518765346627705,0.0007441542475300079,0.0007949528057131584,4.2784486355783354e-05,-3.3198661857324714e-05
