时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.2626667241520497,11837062.821327012,-457.6515346525298,3.487639708571038,0.716635208861752,0.08906889104219004,0.031250353348839494,0.0019306418323509164,0.7451476265677488,1372.772251168279,9.1996281220592,9.86987953825754,187.11679394156985,1.0275810182357659,7.997311786875835,336.9826868886171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2626667241520497,11837062.821327012,-457.6515346525298,3.487639708571038,0.716635208861752,0.08906889104219004,0.031250353348839494,0.0019306418323509164,0.7451476265677488,1372.772251168279,9.1996281220592,9.86987953825754,187.11679394156985,1.0275810182357659,7.997311786875835,336.9826868886171,14.215897579136152,-6.254318608810092e-07,-2.815346447752096e-07,4.347777097122049e-06,-1.343303628455161e-05,1.4512183850023883e-05,-3.838726611688639e-05,2.5805887039608285e-05,-6.949773662181998e-05,3.538720020493956e-05,-9.984844984142695e-05,4.145102201450026e-05,-0.00012268705567879273,4.3488208080936875e-05,-0.00013268881757107792,4.2199478052471666e-05,-0.00012694167883786688,3.911635959271005e-05,-0.00010545872692645728,3.604061099308227e-05,-7.114176705844607e-05,3.4448426457594566e-05,-2.9208240118336722e-05,3.5017283394580325e-05,1.380976739518821e-05,3.740958287370786e-05,5.130972036835486e-05,4.0385218047716575e-05,7.787136015909226e-05,4.222315522801142e-05,9.027507841938981e-05,4.133436731873937e-05,8.808348878696799e-05,3.687866775492729e-05,7.367091151326838e-05,2.9182926966884534e-05,5.169425055224144e-05,1.9813720419077927e-05,2.8119971361730193e-05,1.1257779631840954e-05,8.989594759455808e-06,5.685301761018737e-06,-3.7455002258702856e-07
3,0.2626667241520497,11837062.821327012,-457.6515346525298,3.487639708571038,0.716635208861752,0.08906889104219004,0.031250353348839494,0.0019306418323509164,0.7451476265677488,1372.772251168279,9.1996281220592,9.86987953825754,187.11679394156985,1.0275810182357659,7.997311786875835,336.9826868886171,31.223661866011447,-1.3757220969498974e-06,-6.144471598002883e-07,1.2388741952295433e-05,-3.561672267548541e-05,3.974590606946055e-05,-0.00010244522776720288,7.015565834381036e-05,-0.00018588862980835962,9.596322410887613e-05,-0.0002672649076133986,0.00011228040615171704,-0.0003282222787743166,0.00011771263808925881,-0.00035424063362732045,0.00011414442549529599,-0.0003373624059102679,0.00010572610583244912,-0.0002776260224521126,9.735865373274025e-05,-0.00018298751118195832,9.306928594219494e-05,-6.776356635017223e-05,9.470762985615038e-05,5.0108693448599536e-05,0.00010133632078607317,0.00015249007345069596,0.00010952589070935963,0.00022449038313446926,0.00011451029277460123,0.0002572804338164874,0.00011188350358503934,0.00024970295823851184,9.931642642225084e-05,0.00020836170295238164,7.772737435248243e-05,0.0001461736817061778,5.1493191258106164e-05,7.970089397858842e-05,2.757327343996744e-05,2.5774570479003627e-05,1.2487752052422411e-05,-8.293165213861712e-07
4,0.2626667241520497,11837062.821327012,-457.6515346525298,3.487639708571038,0.716635208861752,0.08906889104219004,0.031250353348839494,0.0019306418323509164,0.7451476265677488,1372.772251168279,9.1996281220592,9.86987953825754,187.11679394156985,1.0275810182357659,7.997311786875835,336.9826868886171,50.68101170760391,-2.2391734668734563e-06,-9.844193882099378e-07,2.944028097276952e-05,-7.793148921437395e-05,9.029847059377868e-05,-0.00022583307688392405,0.00015791841499571054,-0.0004107360426072617,0.0002153026885084345,-0.000590917468965236,0.0002515484041638261,-0.000725137711670866,0.00026350169178201337,-0.0007806592153416028,0.0002553198757440614,-0.0007395075595500086,0.00023626029563557938,-0.0006017895820750864,0.00021732805010623213,-0.00038556966988184487,0.00020762996923943174,-0.00012337797938439296,0.00021139020853207596,0.00014399256733524637,0.00022649756124929057,0.0003752637857383501,0.00024511168186129665,0.0005365566975488198,0.00025627710728409785,0.0006078374404192532,0.00024983334619019135,0.0005866209535498114,0.0002204084118265701,0.0004881848872747291,0.00017015638117683231,0.00034226818352326804,0.00010925724485332986,0.00018698487467693026,5.3888089297527654e-05,6.115854404437957e-05,2.0266978774955506e-05,-1.366993931102857e-06
5,0.2626667241520497,11837062.821327012,-457.6515346525298,3.487639708571038,0.716635208861752,0.08906889104219004,0.031250353348839494,0.0019306418323509164,0.7451476265677488,1372.772251168279,9.1996281220592,9.86987953825754,187.11679394156985,1.0275810182357659,7.997311786875835,336.9826868886171,68.16079168907653,-3.0269209734341856e-06,-1.2892831701538214e-06,6.444224854789015e-05,-0.0001585675047173557,0.000189891679815414,-0.00046267106602999294,0.0003290813767837277,-0.0008432246424054952,0.0004471988162217878,-0.0012138709558866098,0.0005218672528513363,-0.0014888365189077264,0.0005464783685032468,-0.0015998575462052777,0.0005293492502617075,-0.0015093878090808963,0.000489364946303767,-0.0012176405212062393,0.00044927080570853297,-0.0007624212712337714,0.0004281958193542799,-0.00021191194968402251,0.0004353077291744687,0.00034826249722939596,0.00046649058087625006,0.0008313549059844969,0.000505343642631833,0.001166141882162458,0.0005285870379167646,0.0013105993429300814,0.000514442394834901,0.0012597799782354472,0.00045133079791442583,0.0010462581114708096,0.00034386966393766067,0.0007331151505732193,0.00021394198279293955,0.0004010653982248968,9.622796383025958e-05,0.00013236417907823843,2.7242408935005847e-05,-1.8917670963717104e-06
6,0.2626667241520497,11837062.821327012,-457.6515346525298,3.487639708571038,0.716635208861752,0.08906889104219004,0.031250353348839494,0.0019306418323509164,0.7451476265677488,1372.772251168279,9.1996281220592,9.86987953825754,187.11679394156985,1.0275810182357659,7.997311786875835,336.9826868886171,76.50398135809105,-3.414880894026438e-06,-1.4068902661228893e-06,0.00010094488730302541,-0.0002401763591659878,0.00029179278619596713,-0.0007033501590583099,0.0005033197900466324,-0.0012835237086699614,0.0006829330763750504,-0.0018489408991524978,0.0007968192669390576,-0.0022683985290441085,0.0008347710778918611,-0.0024373166567844963,0.000808940198808994,-0.002298039743082147,0.0007475384059552469,-0.0018506700976166379,0.0006850317474658363,-0.001152881496934132,0.0006509395502948287,-0.00030898270574513157,0.0006599771549175055,0.0005497850290700551,0.0007065266789681549,0.001290237356180487,0.000765718792459129,0.0018028748969068948,0.0008015584104425796,0.0020230402250803474,0.0007800051436265874,0.0019431394334931136,0.0006827688263019706,0.0016133243283516772,0.0005168746367677195,0.0011306257783902892,0.0003163321912297928,0.0006191049552501897,0.00013497266454205617,0.00020520923564348393,3.055866859659972e-05,-2.1831772968012186e-06
7,0.2626667241520497,11837062.821327012,-457.6515346525298,3.487639708571038,0.716635208861752,0.08906889104219004,0.031250353348839494,0.0019306418323509164,0.7451476265677488,1372.772251168279,9.1996281220592,9.86987953825754,187.11679394156985,1.0275810182357659,7.997311786875835,336.9826868886171,81.30278843253808,-3.6477362278075418e-06,-1.4518893537535881e-06,0.0001378513959656093,-0.0003220266647066528,0.0003940184291255372,-0.0009453827113288462,0.000677740128998028,-0.0017271258952154176,0.0009189109828514483,-0.002489968417647805,0.0010724641713696448,-0.003057000166821032,0.001124474431490444,-0.0032869983243636073,0.00109050721547705,-0.0031018570091662086,0.0010076181825730065,-0.0025012176883192675,0.0009217708652424184,-0.001562289533063019,0.0008730935304799686,-0.0004252664544392867,0.0008824199804842176,0.0007330516176570855,0.0009432403616794609,0.001732871451263848,0.0010225277158191193,0.002426067864444186,0.0010714376466150516,0.00272494787347792,0.0010432213707466523,0.0026189328070439764,0.000912427287931973,0.002175511582760124,0.0006883004067546833,0.0015254822557367101,0.0004170982105476222,0.0008360968133648601,0.0001720512936254529,0.00027791482135250466,3.24578768572495e-05,-2.3832309182408217e-06
8,0.2626667241520497,11837062.821327012,-457.6515346525298,3.487639708571038,0.716635208861752,0.08906889104219004,0.031250353348839494,0.0019306418323509164,0.7451476265677488,1372.772251168279,9.1996281220592,9.86987953825754,187.11679394156985,1.0275810182357659,7.997311786875835,336.9826868886171,84.39910714284399,-3.8062041467243784e-06,-1.4618814661129735e-06,0.00017492020656987997,-0.0004041372744936526,0.0004962517275946033,-0.001188741115852078,0.0008519696455476383,-0.0021740383947224306,0.0011547375361558013,-0.0031371348261799367,0.0013484278558394695,-0.0038551723854615082,0.0014152783648586397,-0.004149962799106982,0.0013738328244066623,-0.003922578063887371,0.0012694792169763748,-0.0031717847971398055,0.0011594218778710928,-0.0019939023652415567,0.0010945940795281705,-0.0005646575795697676,0.0011025218654902467,0.0008937576258241472,0.0011764459122343856,0.0021548499753991763,0.0012755438739704978,0.00303154637240678,0.001338035833936494,0.0034126810825921986,0.0013040401924035486,0.0032842631194553574,0.001140477765427256,0.0027307552034334047,0.0008585756360640498,0.0019164090066479812,0.0005168952891245214,0.0010513976010744224,0.00020825995847419354,0.00035023943682794124,3.367891092352907e-05,-2.5391046900760054e-06
9,0.2626667241520497,11837062.821327012,-457.6515346525298,3.487639708571038,0.716635208861752,0.08906889104219004,0.031250353348839494,0.0019306418323509164,0.7451476265677488,1372.772251168279,9.1996281220592,9.86987953825754,187.11679394156985,1.0275810182357659,7.997311786875835,336.9826868886171,86.54472535511968,-3.923238302528216e-06,-1.452225574757058e-06,0.00021204542782323195,-0.0004865019392256809,0.0005983422218925661,-0.0014333802617132055,0.0010258158879174945,-0.0026242172765939906,0.0013901899360341471,-0.003790469231748163,0.0016244796657799581,-0.00466310509207437,0.0017069745115243502,-0.005026644942659673,0.0016587584171474028,-0.0047609462312607174,0.001533024110822308,-0.0038634534278514554,0.0013979356881879932,-0.002449127934443607,0.0013154067854072528,-0.000728827585004659,0.0013202251843800802,0.0010300785888076246,0.0014060420184885474,0.002554338990021941,0.0015246339863578121,0.0036176151066740175,0.0016012302483924272,0.00408480458164644,0.0015624051662513493,0.003938027312726158,0.001366974206665715,0.0032782990884039393,0.0010278776177749794,0.0023029586643018808,0.0006160011920524952,0.0012647912755167703,0.00024393032077089826,0.00042210218720399833,3.4523482201757495e-05,-2.6700808193017822e-06
10,0.2626667241520497,11837062.821327012,-457.6515346525298,3.487639708571038,0.716635208861752,0.08906889104219004,0.031250353348839494,0.0019306418323509164,0.7451476265677488,1372.772251168279,9.1996281220592,9.86987953825754,187.11679394156985,1.0275810182357659,7.997311786875835,336.9826868886171,88.10347552676647,-4.014785551628777e-06,-1.430366392961568e-06,0.000249168272013029,-0.0005691023749053576,0.0007001940050598314,-0.0016792355295501356,0.0011991400486637573,-0.00307756863755668,0.0016250888299503255,-0.004449890131744926,0.0019004148627214327,-0.00548078423906626,0.0019993599008012314,-0.005917152747421191,0.0019451127356789868,-0.005617234688846983,0.0017981319953452274,-0.004576686832019039,0.0016372384171771778,-0.002928620818860549,0.0015354793981497729,-0.0009185944614503267,0.0015354650271718804,0.001141091976058238,0.0016319276235594428,0.0029303931978270693,0.0017696631460597263,0.004183392388369652,0.001860881210992517,0.004740570471959405,0.0018182140110691294,0.004579651483086152,0.0015918865191225247,0.0038177506720704574,0.00119625982200921,0.002684899295084327,0.0007145375588641561,0.0014761661927334888,0.00027922038336012083,0.0004934619991204551,3.513765326045233e-05,-2.785490370810723e-06
