时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.1697176911050104,19152107.637099966,-666.9777842894755,31.83508051518234,2.1017569741629236,0.18527312690689954,0.03493049762697656,0.0046390893954531606,2.144531069085471,1663.36536070134,9.944835664322078,5.92442787229461,975.717903356118,7.446834515307577,9.325302370554324,649.6747139815589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.1697176911050104,19152107.637099966,-666.9777842894755,31.83508051518234,2.1017569741629236,0.18527312690689954,0.03493049762697656,0.0046390893954531606,2.144531069085471,1663.36536070134,9.944835664322078,5.92442787229461,975.717903356118,7.446834515307577,9.325302370554324,649.6747139815589,2.6791694544427327,-2.988150608010944e-07,-1.6982314935044427e-07,1.452286213578533e-06,-6.374339207395722e-06,5.640586691574337e-06,-2.107075776401069e-05,1.0591397834729294e-05,-4.054066962161884e-05,1.4910960267348917e-05,-6.0138290036282764e-05,1.769725073200313e-05,-7.521236842588356e-05,1.8659264690270324e-05,-8.201501659090865e-05,1.8081471287154927e-05,-7.842148152870076e-05,1.6650859915454125e-05,-6.432455340728102e-05,1.519714682017629e-05,-4.1635237046074003e-05,1.4411508207546507e-05,-1.389383479059237e-05,1.4616375153322572e-05,1.4431895283106596e-05,1.565301497570244e-05,3.882658801140911e-05,1.6928459653936873e-05,5.561402106981318e-05,1.7618769794450927e-05,6.267480865978272e-05,1.6972963966254532e-05,5.9849690300206335e-05,1.4621248389126043e-05,4.894597584541049e-05,1.0781226886647986e-05,3.334521448540012e-05,6.284481369998809e-06,1.7293776062965588e-05,2.392124509065738e-06,5.019917088821751e-06,3.955813113368569e-07,-1.1655278546684921e-07
3,1.1697176911050104,19152107.637099966,-666.9777842894755,31.83508051518234,2.1017569741629236,0.18527312690689954,0.03493049762697656,0.0046390893954531606,2.144531069085471,1663.36536070134,9.944835664322078,5.92442787229461,975.717903356118,7.446834515307577,9.325302370554324,649.6747139815589,6.012313821386421,-6.714978314770698e-07,-3.788636053393042e-07,3.925116199736462e-06,-1.6336430690952284e-05,1.4782687753223846e-05,-5.426217501778768e-05,2.7617447284198317e-05,-0.00010458521354274786,3.882668155994199e-05,-0.00015526675032718712,4.606953701959317e-05,-0.00019421089881611813,4.858468965679902e-05,-0.00021164941936319131,4.710226705154651e-05,-0.0002020326061248221,4.340013174745298e-05,-0.00016506930692805578,3.9633700703337534e-05,-0.00010573681275647638,3.760573215794189e-05,-3.3271461369466896e-05,3.816311617355917e-05,4.0660652284812407e-05,4.089649233532643e-05,0.00010426129277094826,4.425594862084658e-05,0.00014791921985487084,4.607971829836678e-05,0.00016609012507815904,4.4392153132993175e-05,0.00015835596259695928,3.8216852998975396e-05,0.0001294470287652153,2.8122722281307903e-05,8.822218706090151e-05,1.62969762925827e-05,4.5821256604428414e-05,6.067427709235735e-06,1.3365292851567835e-05,8.872024962221451e-07,-2.6341882897766993e-07
4,1.1697176911050104,19152107.637099966,-666.9777842894755,31.83508051518234,2.1017569741629236,0.18527312690689954,0.03493049762697656,0.0046390893954531606,2.144531069085471,1663.36536070134,9.944835664322078,5.92442787229461,975.717903356118,7.446834515307577,9.325302370554324,649.6747139815589,9.286694895008946,-1.0391031816341091e-06,-5.804765814983989e-07,7.463982165447175e-06,-2.9511185996574946e-05,2.7295468199770314e-05,-9.84893049871425e-05,5.073346130399461e-05,-0.00019014968018985125,7.122182067252252e-05,-0.00028251563188274193,8.448607459466919e-05,-0.0003534318387446835,8.91238457863722e-05,-0.00038496705822517165,8.64504553707217e-05,-0.00036691035747709726,7.970026646235572e-05,-0.00029870180379663517,7.281370554254691e-05,-0.0001894663633452429,6.910491739286036e-05,-5.617051362696582e-05,7.014763509569704e-05,7.973404556918852e-05,7.520616060771713e-05,0.00019653535702910787,8.14312440165911e-05,0.0002765335866821507,8.482697007142335e-05,0.00030951075956130294,8.172836811270823e-05,0.0002946918087609246,7.031609939075483e-05,0.0002407949130934844,5.163747472989024e-05,0.00016416317295830376,2.974640124152706e-05,8.537291102613445e-05,1.0827105048045212e-05,2.501132547741992e-05,1.3692331468673108e-06,-4.1074439229604895e-07
5,1.1697176911050104,19152107.637099966,-666.9777842894755,31.83508051518234,2.1017569741629236,0.18527312690689954,0.03493049762697656,0.0046390893954531606,2.144531069085471,1663.36536070134,9.944835664322078,5.92442787229461,975.717903356118,7.446834515307577,9.325302370554324,649.6747139815589,13.395169318913101,-1.5041208868014629e-06,-8.237094157165041e-07,1.477847784237009e-05,-5.483425213858365e-05,5.2123564234811274e-05,-0.00018411899614021243,9.62312379761683e-05,-0.0003562396949001921,0.00013483490501643827,-0.0005298477570948068,0.00015990903521867397,-0.0006630835221257937,0.00016878409407325334,-0.0007219682597578602,0.000163867591281454,-0.0006870833529311411,0.0001511842855414603,-0.0005572791136639277,0.00013814278606107965,-0.0003497811180628479,0.0001310453296656605,-9.672924801621647e-05,0.00013295591261916088,0.00016116762326167947,0.00014255898889476923,0.0003826482861103509,0.0001544680501075994,0.0005340315402367599,0.00016103943427417784,0.0005958417001890106,0.00015521228401009323,0.0005665702315281239,0.0001334517093633297,0.00046279678569314614,9.774313340741804e-05,0.0003156552837164438,5.5869553202123545e-05,0.00016440277694890882,1.9734023687197807e-05,4.841300003132155e-05,1.971571148475523e-06,-6.033505992094159e-07
6,1.1697176911050104,19152107.637099966,-666.9777842894755,31.83508051518234,2.1017569741629236,0.18527312690689954,0.03493049762697656,0.0046390893954531606,2.144531069085471,1663.36536070134,9.944835664322078,5.92442787229461,975.717903356118,7.446834515307577,9.325302370554324,649.6747139815589,17.211930219012917,-1.94441269902375e-06,-1.0280479833733872e-06,2.7927303505625263e-05,-9.7859420370747e-05,9.53251853982381e-05,-0.0003305550177999183,0.00017484414324455221,-0.0006410248486377773,0.00024454954318603114,-0.0009547053434273754,0.00029006200299106166,-0.0011957850435875262,0.00030650076942037623,-0.0013025133795008987,0.00029798764674457065,-0.0012394130404255695,0.00027514812287908057,-0.001004101851916388,0.0002512593293940229,-0.0006275758969117172,0.00023784629769499967,-0.0001680151872652363,0.00024075905809961808,0.0003006721076582704,0.0002579101883244534,0.0007033962108284851,0.0002796353654096654,0.0009787129028562707,0.00029191381132128715,0.001090962118505065,0.0002816267599420426,0.0010372033895408783,0.00024210428981094945,0.0008474953766462957,0.00017691023392624343,0.0005784937031144594,0.00010036614543157036,0.0003017707921285138,3.441692784557219e-05,8.92831504436127e-05,2.525667025279241e-06,-7.991364229372992e-07
7,1.1697176911050104,19152107.637099966,-666.9777842894755,31.83508051518234,2.1017569741629236,0.18527312690689954,0.03493049762697656,0.0046390893954531606,2.144531069085471,1663.36536070134,9.944835664322078,5.92442787229461,975.717903356118,7.446834515307577,9.325302370554324,649.6747139815589,19.309900477769947,-2.194850999459187e-06,-1.11865191658666e-06,4.150878046344356e-05,-0.00014110070602613836,0.000139173088152449,-0.0004783895991305785,0.00025431104084184505,-0.00092925354709228,0.0003553905832526162,-0.001385675608346089,0.0004217375805305751,-0.001737479046126489,0.0004461979306185841,-0.0018946620741587899,0.00043440775841174236,-0.0018052406095389923,0.00040136800278838496,-0.0014652587444378105,0.0003661389678678869,-0.0009193064489613588,0.00034561650789696985,-0.00025163420808681236,0.00034876031669148005,0.00043039923231884584,0.0003730280808924757,0.0010174398896432455,0.0004045993938019439,0.00141975723896982,0.00042293566403464166,0.0015850283328455756,0.00040855737569112457,0.0015085625928852081,0.0003513924143378446,0.0012337931175368483,0.00025651157523779247,0.0008429942350992534,0.00014491870811426103,0.000440308756574556,4.8846974410090626e-05,0.0001306474509986231,2.8249804320546855e-06,-9.23417998223673e-07
8,1.1697176911050104,19152107.637099966,-666.9777842894755,31.83508051518234,2.1017569741629236,0.18527312690689954,0.03493049762697656,0.0046390893954531606,2.144531069085471,1663.36536070134,9.944835664322078,5.92442787229461,975.717903356118,7.446834515307577,9.325302370554324,649.6747139815589,20.622664027969645,-2.3587041565806235e-06,-1.1573524010243278e-06,5.525119183754647e-05,-0.000184416401133883,0.00018317289755438664,-0.0006269481980203464,0.00033389280286901755,-0.001219572150289978,0.0004664103812676428,-0.0018208097063835045,0.0005538607364901405,-0.00228593866509369,0.0005867705841530793,-0.002496408347151844,0.000572073548501178,-0.002383365306136697,0.0005288762761556231,-0.0019409028283314128,0.0004818808567605356,-0.001226870238868439,0.00045345688746872175,-0.0003513634772134469,0.0004559838469604543,0.0005448615212193932,0.0004868089571877204,0.0013180416724391905,0.0005281381798656163,0.0018498504343831578,0.0005528456907768343,0.002070912990048293,0.0005348414780761194,0.0019744158659081358,0.000460395611821144,0.0016168724385696037,0.0003359748598887412,0.001105983056730304,0.00018932557779381603,0.0005783812078562665,6.310496755058587e-05,0.00017198976050889018,3.0082064780601116e-06,-1.0148402788257267e-06
9,1.1697176911050104,19152107.637099966,-666.9777842894755,31.83508051518234,2.1017569741629236,0.18527312690689954,0.03493049762697656,0.0046390893954531606,2.144531069085471,1663.36536070134,9.944835664322078,5.92442787229461,975.717903356118,7.446834515307577,9.325302370554324,649.6747139815589,21.51525029050174,-2.4763817647837427e-06,-1.1682987402069327e-06,6.905769746626073e-05,-0.00022778001883350988,0.0002271626641739288,-0.0007760753640195031,0.0004133572108342683,-0.001511678545316567,0.0005773154460679659,-0.0022597068017831145,0.0006860996783531867,-0.002840771601258843,0.000727879974346928,-0.0031075149405627375,0.0007106686171970224,-0.002973861333926687,0.0006573941820365012,-0.0024315532513963702,0.0005982374724630303,-0.0015513107738724017,0.0005611252126856427,-0.00046877232326299813,0.0005621601229421496,0.0006420500559163672,0.0005989349328373983,0.0016029170622329102,0.0006498901845003158,0.002266645095969952,0.0006812715273203732,0.0025464264728365846,0.0006601457838523276,0.00243291849329813,0.0005688675068633036,0.001995353503188205,0.00041516777486362994,0.0013665776454598571,0.00023356441450301415,0.0007155441066928202,7.724220797540968e-05,0.000213169250004659,3.129582591022065e-06,-1.0885709420294057e-06
10,1.1697176911050104,19152107.637099966,-666.9777842894755,31.83508051518234,2.1017569741629236,0.18527312690689954,0.03493049762697656,0.0046390893954531606,2.144531069085471,1663.36536070134,9.944835664322078,5.92442787229461,975.717903356118,7.446834515307577,9.325302370554324,649.6747139815589,22.156675813743174,-2.566599149153058e-06,-1.1626774806475977e-06,8.288250941423257e-05,-0.00027117652146944036,0.0002710640845022722,-0.0009256926462230624,0.0004925884246975481,-0.001805426048186105,0.0006879536520684311,-0.0027021796955495983,0.0008182762525567328,-0.0034018045904504078,0.0008693404798573423,-0.003727891865306978,0.0008500208440499461,-0.003576791746572643,0.000786777054115204,-0.002937482178200674,0.000715090815366686,-0.0018931390991306183,0.0006685140396239794,-0.0006046042535525131,0.0006671691747823021,0.0007210353355143439,0.0007092568891342719,0.0018710311662239795,0.000769677768569807,0.0026690999105607985,0.0008080265157274302,0.003010617875657881,0.0007843045083903705,0.002883286159241602,0.0006766898628895037,0.00236866177046004,0.0004940316808736703,0.0016244179801537142,0.0002776297127516135,0.0008516196854438659,9.12849688932043e-05,0.0002541297810889659,3.2142270493203977e-06,-1.1516420614332903e-06
