时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.925726369183518,147948848.4249606,-12632.002672339091,463.4197195481144,1.6013540188831337,0.41471478274931406,0.12208959731129314,0.0061415365470348605,1.85352222224913,1047.2885050531809,6.446761219998576,6.668058510742913,594.8952907389744,0.5976957079792005,2.4568373063418667,543.3191287831553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.925726369183518,147948848.4249606,-12632.002672339091,463.4197195481144,1.6013540188831337,0.41471478274931406,0.12208959731129314,0.0061415365470348605,1.85352222224913,1047.2885050531809,6.446761219998576,6.668058510742913,594.8952907389744,0.5976957079792005,2.4568373063418667,543.3191287831553,20.741756876684377,-2.9978120889788437e-06,-2.9266608529465324e-06,2.8523672706624506e-05,-4.527913765175533e-05,9.011014575551489e-05,-0.00011615296485759398,0.00015902340763956018,-0.0002038501445299636,0.00021855656327503855,-0.00028957290672811873,0.00025717201014060673,-0.0003545046405618142,0.0002707733265290933,-0.00038328503946849393,0.0002629906666287314,-0.00036695262976446793,0.00024337006450055995,-0.0003047003937023635,0.00022389510519361057,-0.00020428885927562334,0.00021470183391132376,-8.084372953882122e-05,0.0002203582436339072,4.600843659464639e-05,0.0002381685562864525,0.00015620619245378543,0.0002592552783632264,0.00023345993431644348,0.000271940939592984,0.0002684398057891375,0.00026607320904736224,0.00026026629153359755,0.00023682819612414415,0.00021623365240842506,0.00018686938031138632,0.00015000605009498063,0.0001263353976419941,7.878655240402414e-05,7.051614379816763e-05,1.981251741141082e-05,3.247098614669936e-05,-8.335864508064444e-06
3,2.925726369183518,147948848.4249606,-12632.002672339091,463.4197195481144,1.6013540188831337,0.41471478274931406,0.12208959731129314,0.0061415365470348605,1.85352222224913,1047.2885050531809,6.446761219998576,6.668058510742913,594.8952907389744,0.5976957079792005,2.4568373063418667,543.3191287831553,46.03517449010392,-6.741633547311183e-06,-6.3978858217815635e-06,0.00014621676717056485,-0.00018556201226679742,0.0004253284632340456,-0.0005033892244736646,0.0007378326131599521,-0.000898397302407377,0.0010077591343887408,-0.0012840605007887387,0.0011819556589919,-0.0015725619206232767,0.0012410925949182222,-0.001691891493457787,0.0012015188165074363,-0.0015999942671084688,0.0011074395708257705,-0.001293425570657434,0.001014916062794441,-0.0008095638148248038,0.0009715761695241592,-0.00022104954955817283,0.0009986476761607642,0.00037798415928501806,0.00108262144822879,0.0008917163219129541,0.0011804242939351902,0.0012431828960610095,0.0012358406984145807,0.0013896711503617832,0.00120052138602503,0.0013295339763039354,0.0010523423081281768,0.0011001539417271387,0.0008056389341311858,0.0007686195247024872,0.0005106176833979549,0.00041765985155552495,0.00024164236159299052,0.00012928420543425147,7.176841040735583e-05,-1.8861596477037075e-05
4,2.925726369183518,147948848.4249606,-12632.002672339091,463.4197195481144,1.6013540188831337,0.41471478274931406,0.12208959731129314,0.0061415365470348605,1.85352222224913,1047.2885050531809,6.446761219998576,6.668058510742913,594.8952907389744,0.5976957079792005,2.4568373063418667,543.3191287831553,55.62470619022784,-8.291351163372057e-06,-7.559630466369992e-06,0.0003185543289153442,-0.0003709016452259647,0.000898483980691163,-0.0010321476589332439,0.001547507858986463,-0.0018559014439307063,0.0021085657150561924,-0.002660322006055115,0.0024711506399676913,-0.003260069628327324,0.0025940354743619813,-0.0035033046447492788,0.002509731021103524,-0.00330157316264809,0.002309412244096414,-0.0026479336111650455,0.0021104371043357524,-0.0016216062778149727,0.0020138938036824007,-0.0003764992567593453,0.0020659925700235774,0.0008876917183057522,0.002239307338985543,0.001967624680927744,0.002442880791207954,0.0027004841029794656,0.0025569390158875754,0.002997182284951026,0.002478101281146768,0.0028567062214217755,0.002159250339017726,0.0023608399503778246,0.0016317878044171195,0.0016531467546747434,0.0010039160051275862,0.0009083177423001978,0.000434560660013927,0.0002981140106869988,8.61243243792719e-05,-2.3359344348568558e-05
5,2.925726369183518,147948848.4249606,-12632.002672339091,463.4197195481144,1.6013540188831337,0.41471478274931406,0.12208959731129314,0.0061415365470348605,1.85352222224913,1047.2885050531809,6.446761219998576,6.668058510742913,594.8952907389744,0.5976957079792005,2.4568373063418667,543.3191287831553,59.471458912888664,-9.018302735717971e-06,-7.894540116357256e-06,0.0004931967214271091,-0.0005557784002697494,0.0013734584095015357,-0.0015647735985143115,0.0023582656952597903,-0.002824097168069156,0.00321079548425127,-0.00405510788830362,0.0037638924485476318,-0.004973440207468422,0.00395364645068988,-0.005346676907112579,0.003826698489770646,-0.005039842477793006,0.0035191583989257168,-0.0040424372782527675,0.0032089958237521664,-0.0024751893315679632,0.0030519771897442984,-0.0005728896267348068,0.003121819137417411,0.00135914192110747,0.0033796465355833173,0.0030093375713079224,0.0036877372298925355,0.004128083974557507,0.0038620739290497162,0.0045794190008813,0.0037423729536597053,0.004363227560699715,0.0032547286974119387,0.003606287000139631,0.002446976833614882,0.0025286918609223187,0.0014860073857942606,0.001396105854722552,0.0006164458506161727,0.00046850953382195705,9.142942375696624e-05,-2.5568620073791704e-05
6,2.925726369183518,147948848.4249606,-12632.002672339091,463.4197195481144,1.6013540188831337,0.41471478274931406,0.12208959731129314,0.0061415365470348605,1.85352222224913,1047.2885050531809,6.446761219998576,6.668058510742913,594.8952907389744,0.5976957079792005,2.4568373063418667,543.3191287831553,61.53101569541373,-9.487634131789036e-06,-7.969063525827645e-06,0.0006686297939604185,-0.0007417706524604059,0.0018486051087446141,-0.0021032428996049794,0.0031683659130536577,-0.0038055402633384422,0.004312721086153016,-0.005471801526304385,0.005058673712718606,-0.006717224064802229,0.0053188852823938225,-0.007228144741082222,0.005152012615778224,-0.0068229757641434085,0.004736868526407338,-0.005487512832301262,0.004311130300059824,-0.0033833998312252722,0.004086344045298171,-0.0008255002367185896,0.004166331410410757,0.0017756715518358218,0.00450349927400007,0.003999996273577605,0.004914827233713958,0.005510222496778046,0.005151643447804673,0.006122798404460443,0.004994955311311016,0.005838313404932192,0.00434207643379965,0.004828585473228625,0.0032562373068044156,0.0033898147424994904,0.0019632589546522646,0.0018773488386596199,0.0007943165606725975,0.000637775039271901,9.39231428790977e-05,-2.7059460609309513e-05
7,2.925726369183518,147948848.4249606,-12632.002672339091,463.4197195481144,1.6013540188831337,0.41471478274931406,0.12208959731129314,0.0061415365470348605,1.85352222224913,1047.2885050531809,6.446761219998576,6.668058510742913,594.8952907389744,0.5976957079792005,2.4568373063418667,543.3191287831553,62.803590393795105,-9.842165539822935e-06,-7.926532104380426e-06,0.0008444290050444696,-0.0009292542287348782,0.002323356276106316,-0.0026479912026788036,0.003977050220877671,-0.004800787173270049,0.005413407733312474,-0.00691117772803222,0.006354484053646858,-0.008492528354121707,0.006688821886096738,-0.009149263151006372,0.006484959591454478,-0.008653087478753504,0.0059620891236274905,-0.006985923557191895,0.00541657735654673,-0.004349673780422743,0.005116777542602757,-0.0011383413038456322,0.005199220808215362,0.0021329477206764574,0.005610414693253962,0.004935312058804542,0.006123639328271006,0.006843031942590569,0.0064252740514240195,0.007624143474867132,0.006235856389524242,0.007279574817019716,0.005421866871780405,0.0060260680404722,0.004060736768569248,0.004235396551404761,0.0024372829345406266,0.0023512686195385525,0.0009699751124244344,0.0008052853342925891,9.518462829448849e-05,-2.822927385596179e-05
8,2.925726369183518,147948848.4249606,-12632.002672339091,463.4197195481144,1.6013540188831337,0.41471478274931406,0.12208959731129314,0.0061415365470348605,1.85352222224913,1047.2885050531809,6.446761219998576,6.668058510742913,594.8952907389744,0.5976957079792005,2.4568373063418667,543.3191287831553,63.65833216190301,-1.0134493475622298e-05,-7.819942075352472e-06,0.0010203909336812683,-0.0011183352305152686,0.0027973365642287727,-0.0031990783934889187,0.004783694006139844,-0.0058098667690250115,0.006511971326111012,-0.00837328979752682,0.007650262608867355,-0.010299500486899892,0.008062367581778423,-0.011110342089119467,0.007824569695574999,-0.01053071790606578,0.007194044546293356,-0.00853850557785978,0.006524730395871515,-0.005375185733653393,0.00614273936433542,-0.0015129067640607262,0.006219899249183787,0.002429267412174294,0.006699684279503546,0.0058135587700213235,0.007313364846117849,0.00812495823185537,0.007682171640836784,0.009082201636273015,0.0074644666517556515,0.0086860912444047,0.006493828554833768,0.007198098357510534,0.004860601585908257,0.005065004612114622,0.0029085360402153755,0.0028175601417474187,0.0011440531819230059,0.0009708015470770194,9.579734966877911e-05,-2.9224604416394003e-05
9,2.925726369183518,147948848.4249606,-12632.002672339091,463.4197195481144,1.6013540188831337,0.41471478274931406,0.12208959731129314,0.0061415365470348605,1.85352222224913,1047.2885050531809,6.446761219998576,6.668058510742913,594.8952907389744,0.5976957079792005,2.4568373063418667,543.3191287831553,64.26325445095398,-1.0388457545512035e-05,-7.67350306356306e-06,0.0011963833230290244,-0.0013090330084453393,0.0032702335290572568,-0.003756438955328229,0.005587716194287404,-0.006832624434269576,0.007607541199424594,-0.009857933556599629,0.008944923126038486,-0.012137942969903436,0.009438366668993545,-0.01311124727345619,0.009169770898218941,-0.012455853990043635,0.008431836320998662,-0.010145429337477425,0.007634857551169694,-0.006460342666656812,0.007163577993985375,-0.0019498511878291564,0.007227681748912399,0.00266378940448267,0.007770508572291619,0.006633834629290913,0.008483086622376516,0.009355177324987857,0.008921386939448583,0.010496314726318446,0.00867995128714966,0.010057384243411053,0.007557388593794686,0.008344340960771326,0.005655596779701049,0.005878400387395403,0.0033770862698765786,0.0032760519555283525,0.0013168007292164447,0.0011342004459880524,9.602734213230429e-05,-3.0111978823777487e-05
10,2.925726369183518,147948848.4249606,-12632.002672339091,463.4197195481144,1.6013540188831337,0.41471478274931406,0.12208959731129314,0.0061415365470348605,1.85352222224913,1047.2885050531809,6.446761219998576,6.668058510742913,594.8952907389744,0.5976957079792005,2.4568373063418667,543.3191287831553,64.70578465964672,-1.0616379271504959e-05,-7.499895773714417e-06,0.0013723031453860707,-0.0015013318253183892,0.0037417624537070177,-0.0043199543450542135,0.006388557400019578,-0.007868824424827272,0.008699256364604295,-0.01136478858987955,0.010237371312531116,-0.014007503025041801,0.010815635383530352,-0.015151647811425235,0.010519446898999585,-0.0144282430151222,0.009674514356251322,-0.01180658266532992,0.008746177418195616,-0.007605230787426958,0.008178600598147446,-0.0024494827709069782,0.008221850639186767,0.002836024260970247,0.008822057940217362,0.007395571351949878,0.009631848725641497,0.0105331587477925,0.010141910302217368,0.011866062963972948,0.009881383492718953,0.011393152395468294,0.008611848408550851,0.009464580142849762,0.006445336479638773,0.0066754213967707395,0.0038428409702622977,0.0037266238704111686,0.0014883125211549247,0.0012954035987880852,9.601344185349386e-05,-3.092585585616063e-05
