时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.600386534206747,33032443.60251907,5231.604709657675,69.82183297802142,1.6457740129032064,0.37190285695757114,0.05142803220289372,0.0050128150565375545,1.8482376250019115,1271.2545935380472,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.600386534206747,33032443.60251907,5231.604709657675,69.82183297802142,1.6457740129032064,0.37190285695757114,0.05142803220289372,0.0050128150565375545,1.8482376250019115,1271.2545935380472,10.0,10.0,1000.0,10.0,10.0,1000.0,16.95606483571887,-1.204133142559868e-06,-1.0324829337065486e-06,1.5837197348705212e-05,-2.4173683199248115e-05,5.326253347297295e-05,-7.350087751617875e-05,9.76141039940455e-05,-0.0001383814489853867,0.00013690178823398924,-0.00020365686860325646,0.00016256627748595967,-0.000253561630897831,0.00017135843742821435,-0.000274975456514701,0.000165621602133271,-0.00026017661721767203,0.00015194007034498555,-0.00020848104137159048,0.00013856137155930076,-0.00012654691477895536,0.00013232689541881268,-2.718363411587181e-05,0.00013611445190824678,7.321286927984857e-05,0.00014773847436176093,0.000158115108866654,0.00016076518634816834,0.000214383841091813,0.00016695222064966976,0.00023497014284350816,0.00015941701615349943,0.00022019032497446017,0.0001354415353041953,0.00017740089858708495,9.798204689573279e-05,0.00011923662054441087,5.54267449744687e-05,6.089409922735963e-05,1.952065622965783e-05,1.6882053229248437e-05,1.162090356810674e-06,-1.0749166162366949e-06
3,1.600386534206747,33032443.60251907,5231.604709657675,69.82183297802142,1.6457740129032064,0.37190285695757114,0.05142803220289372,0.0050128150565375545,1.8482376250019115,1271.2545935380472,10.0,10.0,1000.0,10.0,10.0,1000.0,39.8439045299894,-2.8750828427474863e-06,-2.378993505554158e-06,7.517858443315419e-05,-0.0001012237452697989,0.00024253936728211713,-0.00031976213654928275,0.00044181818018727414,-0.0006096899382952456,0.0006192844620033152,-0.000902815992853904,0.0007361121389395139,-0.0011273572227815242,0.0007770860289348075,-0.0012231825808739316,0.0007521454761667773,-0.001154553656079722,0.000690662595251831,-0.0009178600399189483,0.0006300069214743025,-0.0005432227112798607,0.0006015804547991266,-8.92302349333729e-05,0.0006188887217204691,0.00036877909544902706,0.0006721671778629111,0.0007547450093513226,0.0007319136647386245,0.0010083518971895952,0.0007601320999231939,0.0010976583070919732,0.0007251134288192066,0.0010248995864447605,0.0006145240957898459,0.0008246391719431349,0.0004423517975607074,0.0005552726694811924,0.00024746650646407175,0.00028623134423853375,8.372060432779468e-05,8.32827447865566e-05,2.6865645955101275e-06,-2.57242765346467e-06
4,1.600386534206747,33032443.60251907,5231.604709657675,69.82183297802142,1.6457740129032064,0.37190285695757114,0.05142803220289372,0.0050128150565375545,1.8482376250019115,1271.2545935380472,10.0,10.0,1000.0,10.0,10.0,1000.0,50.383194484159574,-3.7258230749617945e-06,-2.9138749379411987e-06,0.00017050468940232698,-0.00021671205118004968,0.0005396660392705604,-0.0006986839410922454,0.00098022641511271,-0.001341640307067504,0.0013741065059124646,-0.001994278635100014,0.0016354360253284404,-0.0024962541394760625,0.0017295679096548705,-0.0027128705500777837,0.0016768185445624002,-0.0025636332179262184,0.0015407889106471761,-0.002039550619612445,0.001403991639243913,-0.0012068611295894386,0.0013371692326992531,-0.00019570250248885428,0.0013721716908303544,0.0008256669541770235,0.0014888353301568578,0.001686718853876558,0.0016218917061247863,0.0022520178420591323,0.0016858934742765448,0.0024501178401988206,0.001608899139063021,0.002286708178040664,0.001362665153952224,0.0018399074354995021,0.0009786645336976021,0.0012404083629009854,0.0005444294077887427,0.0006423235458881106,0.000180482091420495,0.00019086625692510062,3.3098757494552415e-06,-3.3439787468438763e-06
5,1.600386534206747,33032443.60251907,5231.604709657675,69.82183297802142,1.6457740129032064,0.37190285695757114,0.05142803220289372,0.0050128150565375545,1.8482376250019115,1271.2545935380472,10.0,10.0,1000.0,10.0,10.0,1000.0,54.56005146606438,-4.133183702302198e-06,-3.0520401251266906e-06,0.0002667273044319522,-0.00033180776433747687,0.0008375735460259668,-0.001079836847804194,0.001519406405271293,-0.002081123172053343,0.002130604051319083,-0.0031004300774016154,0.0025387561362908494,-0.003887655013964471,0.0026892233766796364,-0.0042326033414840395,0.0026111009198732035,-0.004009382609103896,0.0024004979643557976,-0.003202972884730831,0.0021843945241742653,-0.0019149297596884002,0.0020738395789431565,-0.00034627911623493987,0.0021211992269804377,0.0012418109665238806,0.0022980539776457924,0.002583494048366362,0.0025042578729256816,0.0034669052133418014,0.002606154183063885,0.0037800641463902294,0.0024898430152906236,0.003531804964725614,0.0021096912929595576,0.0028439539481683513,0.0015142831932110398,0.0019194441375376637,0.0008404569327684019,0.0009964249784048444,0.0002762235740242781,0.0002987573884765829,3.490044804308627e-06,-3.7191713331013424e-06
6,1.600386534206747,33032443.60251907,5231.604709657675,69.82183297802142,1.6457740129032064,0.37190285695757114,0.05142803220289372,0.0050128150565375545,1.8482376250019115,1271.2545935380472,10.0,10.0,1000.0,10.0,10.0,1000.0,56.781368365492995,-4.4045834242998346e-06,-3.0678120700486045e-06,0.0003631727166938221,-0.0004472205458363606,0.0011352760095836524,-0.0014639408356549644,0.002057832239823601,-0.0028286138412407015,0.002886614609225854,-0.004221358676449598,0.003443383195329994,-0.005301351296038842,0.0036531099535155125,-0.005782230904459854,0.003552108008617501,-0.005492294706672378,0.0032671575856654264,-0.004409951594877265,0.0029688124797356496,-0.002671172457305433,0.002809191089764754,-0.0005468711146845714,0.0028632847740899664,0.0016093815917993348,0.0030966936329825064,0.0034360461375166304,0.0033755469139329307,0.004643787983073691,0.0035174749150517944,0.005079046163189835,0.003365006932949518,0.004753232217285348,0.002853558145483936,0.003831650214212191,0.0020482034485417517,0.0025890260507173304,0.001135435238574157,0.0013466097375657029,0.00037136409964235394,0.0004059731779586656,3.5347351702231437e-06,-3.971700929524039e-06
7,1.600386534206747,33032443.60251907,5231.604709657675,69.82183297802142,1.6457740129032064,0.37190285695757114,0.05142803220289372,0.0050128150565375545,1.8482376250019115,1271.2545935380472,10.0,10.0,1000.0,10.0,10.0,1000.0,58.14713390898615,-4.616773259385943e-06,-3.0296592979383368e-06,0.0004596782567072416,-0.0005631389195655535,0.0014325252634858694,-0.001851217214173997,0.0025950762174033154,-0.003584321331123869,0.0036414737519528677,-0.005357238175765623,0.004348441682967055,-0.006737497486557428,0.004620244487513522,-0.007361942367647787,0.004498883035858825,-0.007012688467777536,0.004139935595682575,-0.005661070478414399,0.003756547166871581,-0.003476577253626776,0.003542572450008147,-0.0007989406925308056,0.0035976951424693294,0.001926508888699238,0.0038838559519372615,0.0042422988539524645,0.004234720398204682,0.005780641833192793,0.004418806847224606,0.006345307228500363,0.004233503906131952,0.005949616903748914,0.003593674822321949,0.004802023258496889,0.002580165900700428,0.00324852657193831,0.0014293624598296466,0.0016925050672774143,0.00046602678670866704,0.0005123005198050526,3.52073105611961e-06,-4.16991872696889e-06
8,1.600386534206747,33032443.60251907,5231.604709657675,69.82183297802142,1.6457740129032064,0.37190285695757114,0.05142803220289372,0.0050128150565375545,1.8482376250019115,1271.2545935380472,10.0,10.0,1000.0,10.0,10.0,1000.0,59.06020230997764,-4.797838313010061e-06,-2.9626841844706994e-06,0.0005561631500489356,-0.0006796108706021962,0.0017291483403513894,-0.0022416791397131,0.0031307966510423263,-0.004348198212161536,0.004394628831089816,-0.006507962292859854,0.005253194823290677,-0.00819595356759706,0.005589797438171565,-0.008971597897589811,0.005450621282636749,-0.008570468979115344,0.005018142354466668,-0.006956349550280537,0.004547041622850994,-0.004331367491841836,0.004273493394975284,-0.0011029751591452284,0.004323896643854225,0.002192461494772157,0.004658881366039705,0.005001383750891667,0.0050809940892509575,0.0068766027800183,0.005309328925795878,0.007578097065335329,0.0050946054037740865,0.0071203700541271646,0.004329514801081971,0.005754645995168929,0.0031098868310079045,0.003897659956018526,0.0017221556591785518,0.0020339388560160713,0.0005602372454616183,0.0006176483405438753,3.4761786754209446e-06,-4.338841530178138e-06
9,1.600386534206747,33032443.60251907,5231.604709657675,69.82183297802142,1.6457740129032064,0.37190285695757114,0.05142803220289372,0.0050128150565375545,1.8482376250019115,1271.2545935380472,10.0,10.0,1000.0,10.0,10.0,1000.0,59.70299958347081,-4.960471850094317e-06,-2.878280533356444e-06,0.0006525700662990919,-0.0007966364941265654,0.002024988875272583,-0.0026352616729022255,0.0036646663441211444,-0.005120091193449878,0.005145544257664491,-0.00767329880098321,0.006156926451274737,-0.009676440094733257,0.006560961050347268,-0.010610904335454797,0.0064065378961179805,-0.010165363890087134,0.005901105987251495,-0.008295591299700835,0.005339759183613759,-0.005235496452539346,0.005001493847169494,-0.0014591398696819765,0.005041400236157171,0.0024068645097701903,0.005421166531715265,0.0057127935715031025,0.005913641040779496,0.00793113976768662,0.006188264416047447,0.008776943028718572,0.005947602656319202,0.008265110359759556,0.00506054298050354,0.006689229483415248,0.00363705196567011,0.004536223349502944,0.002013692675060396,0.0023707880140238866,0.0006539856688552337,0.0007219592993849204,3.4138495994523476e-06,-4.4897787829072656e-06
10,1.600386534206747,33032443.60251907,5231.604709657675,69.82183297802142,1.6457740129032064,0.37190285695757114,0.05142803220289372,0.0050128150565375545,1.8482376250019115,1271.2545935380472,10.0,10.0,1000.0,10.0,10.0,1000.0,60.170220508991875,-5.111240181437546e-06,-2.7823872705864242e-06,0.0007488508045001096,-0.0009141956038169926,0.0023198972985468544,-0.0030318633945892195,0.004196364897875621,-0.005899792395709053,0.005893692190048351,-0.008852944746774572,0.007058927548227398,-0.011178594511976283,0.007532931719712069,-0.01227947506442013,0.007365848226779653,-0.011796994621450244,0.00678815310934301,-0.009678473452448348,0.0061341654212274145,-0.006188769967728645,0.005726125654716488,-0.0018674326238200293,0.005749740707155875,0.002569520306063702,0.006170140002299346,0.006376193488199026,0.00673196601208809,0.008943875753105106,0.007054859445507217,0.009941498628599128,0.006791795486242411,0.009383550423356882,0.0057862183276881874,0.007605547083184655,0.00416133139751938,0.005164050444072559,0.0023038332888674633,0.0027029497402784037,0.0007472473394039057,0.0008251892810768827,3.3403964759424273e-06,-4.628584136374331e-06
