时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.6286711120834068,36927913.622441165,970.6707969527051,178.81963842744582,2.485463954958391,0.24542223685193748,0.037332588632278965,0.007788127812228869,2.5486534178524343,1158.1919999882543,7.775599113181675,3.0122924046226367,970.3769308116663,3.3962323355407196,7.5418708765561995,806.9082572113291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.6286711120834068,36927913.622441165,970.6707969527051,178.81963842744582,2.485463954958391,0.24542223685193748,0.037332588632278965,0.007788127812228869,2.5486534178524343,1158.1919999882543,7.775599113181675,3.0122924046226367,970.3769308116663,3.3962323355407196,7.5418708765561995,806.9082572113291,2.698790344745391,-8.455848418617348e-07,-8.601477143855889e-07,1.2529556549209626e-06,-8.209724184208335e-06,6.566195033416661e-06,-2.5348289833804294e-05,1.2914357883432218e-05,-4.810997358766061e-05,1.8500844488805263e-05,-7.126099057299916e-05,2.2156802248698607e-05,-8.954833798067007e-05,2.3486942818676773e-05,-9.871132058841364e-05,2.2828233901742727e-05,-9.628161070926585e-05,2.103447664809385e-05,-8.202370223235312e-05,1.9149861102475785e-05,-5.7941888362629105e-05,1.8055416443410286e-05,-2.785812199584956e-05,1.8180516004188544e-05,3.355208418420371e-06,1.9362068730290016e-05,3.0739803885337995e-05,2.090074475191211e-05,5.0225247185138726e-05,2.1808040482544676e-05,5.9418062511674405e-05,2.1174457791387468e-05,5.804537840513751e-05,1.8541175917515615e-05,4.796228098019833e-05,1.4146656684223639e-05,3.27209766057681e-05,8.953962301717404e-06,1.6793930041423205e-05,4.41353646076888e-06,4.6125242991409e-06,1.94188231655067e-06,-3.4750696628770244e-07
3,1.6286711120834068,36927913.622441165,970.6707969527051,178.81963842744582,2.485463954958391,0.24542223685193748,0.037332588632278965,0.007788127812228869,2.5486534178524343,1158.1919999882543,7.775599113181675,3.0122924046226367,970.3769308116663,3.3962323355407196,7.5418708765561995,806.9082572113291,6.1474241480031315,-1.927938534900043e-06,-1.957532570970425e-06,3.7660979192423277e-06,-2.1179472242699496e-05,1.7883448490550414e-05,-6.630314183470509e-05,3.4751071482497364e-05,-0.0001263918560413055,4.961268596346174e-05,-0.00018753641780545985,5.935139627687042e-05,-0.00023568813778782855,6.29031153331261e-05,-0.00025941059154138755,6.115745037892315e-05,-0.00025206208682598905,5.639050015837989e-05,-0.0002130053903584378,5.139664368743313e-05,-0.00014764309777820695,4.85406806883344e-05,-6.628996750298009e-05,4.897650088592722e-05,1.789236081745913e-05,5.2257985404816086e-05,9.150032460344067e-05,5.6482097608768316e-05,0.00014352512864862957,5.895419452618666e-05,0.00016749512104386924,5.718985750649828e-05,0.00016268685007213038,4.993259644749761e-05,0.00013415681463969456,3.7834241371702794e-05,9.158913812094997e-05,2.3539320612967062e-05,4.720840686710352e-05,1.1059878817007263e-05,1.3193870776899194e-05,4.424061001177909e-06,-7.939908313162632e-07
4,1.6286711120834068,36927913.622441165,970.6707969527051,178.81963842744582,2.485463954958391,0.24542223685193748,0.037332588632278965,0.007788127812228869,2.5486534178524343,1158.1919999882543,7.775599113181675,3.0122924046226367,970.3769308116663,3.3962323355407196,7.5418708765561995,806.9082572113291,9.75750486426844,-3.0641282649872386e-06,-3.10255858333064e-06,8.238588771851089e-06,-3.976520528386719e-05,3.561037893242207e-05,-0.0001264110553802172,6.82917254472705e-05,-0.00024207347000909085,9.711191892782871e-05,-0.00035978986476597135,0.00011602239074015916,-0.00045216395379924613,0.00012293884512205318,-0.0004968155604107276,0.00011956771509474523,-0.0004807180551014119,0.00011032337356306276,-0.00040262012796590834,0.0001006535547804451,-0.0002731493850896188,9.51916196747012e-05,-0.00011261790140254977,9.621103269577555e-05,5.303125105494585e-05,0.00010283318888930244,0.00019735691215498933,0.00011128363914191203,0.0002986318552250931,0.00011619683663022903,0.0003440916373797774,0.00011261069289833823,0.00033234981105667317,9.800923734213325e-05,0.00027348307592875133,7.36981771986443e-05,0.0001867767609246144,4.498929685416488e-05,9.662319927066509e-05,1.9987049732455903e-05,2.7432997815967785e-05,7.022806259180474e-06,-1.2659651074144195e-06
5,1.6286711120834068,36927913.622441165,970.6707969527051,178.81963842744582,2.485463954958391,0.24542223685193748,0.037332588632278965,0.007788127812228869,2.5486534178524343,1158.1919999882543,7.775599113181675,3.0122924046226367,970.3769308116663,3.3962323355407196,7.5418708765561995,806.9082572113291,14.20696548719563,-4.472809259567963e-06,-4.502139751307572e-06,1.926372497094577e-05,-7.769322311605611e-05,7.497587544219072e-05,-0.0002520441508644391,0.00014135417162817223,-0.0004853758232258801,0.00019992550856764556,-0.0007228414093963825,0.00023843794770542207,-0.0009083564819282292,0.0002526162862302765,-0.0009959318842489157,0.0002458399059000855,-0.0009587330835877317,0.00022701637984542838,-0.0007941809079383853,0.00020725319848342988,-0.0005242491379181483,0.0001961119558222776,-0.00019099438410742896,0.00019838070035973303,0.00015179267363891316,0.0002123219441144744,0.0004492213990968732,0.00023008937112136872,0.0006561546926293434,0.00024039897326343608,0.0007461014843753079,0.00023274133581780478,0.0007163059358837549,0.0002017590235479699,0.0005879725782214499,0.00015021864137747395,0.00040160674707201226,8.942567638411936e-05,0.00020850504316011423,3.669846327258803e-05,6.018884361551295e-05,1.0224354183848482e-05,-1.8605841406099504e-06
6,1.6286711120834068,36927913.622441165,970.6707969527051,178.81963842744582,2.485463954958391,0.24542223685193748,0.037332588632278965,0.007788127812228869,2.5486534178524343,1158.1919999882543,7.775599113181675,3.0122924046226367,970.3769308116663,3.3962323355407196,7.5418708765561995,806.9082572113291,17.24440656715865,-5.447036445458856e-06,-5.438438022189473e-06,3.5589800656861585e-05,-0.0001276487435488653,0.0001297138208541681,-0.00042037139733994285,0.0002415865627152931,-0.0008128332036984826,0.00034034326757254583,-0.0012123940079571064,0.0004054832227338006,-0.001523941575624983,0.00042975309220645564,-0.00166928217527943,0.0004186070651165846,-0.0016026771595685442,0.0003867941552038452,-0.001319633135945322,0.00035297441000613976,-0.0008575076783052034,0.00033350616117167574,-0.00028799024489769654,0.0003368782806192232,0.0002970608332720716,0.0003604638964118375,0.0008037568470462352,0.0003909601480817611,0.0011547911090479992,0.0004088554023935576,0.001304768724055091,0.00039577620407666786,0.0012490297575719817,0.0003422589648020566,0.001024088555120405,0.00025306193311913394,0.0006996563165537352,0.00014789974568465937,0.0003640610359897312,5.700372180961815e-05,0.0001061653599116651,1.2406216103637395e-05,-2.2862336844679417e-06
7,1.6286711120834068,36927913.622441165,970.6707969527051,178.81963842744582,2.485463954958391,0.24542223685193748,0.037332588632278965,0.007788127812228869,2.5486534178524343,1158.1919999882543,7.775599113181675,3.0122924046226367,970.3769308116663,3.3962323355407196,7.5418708765561995,806.9082572113291,18.919818851062985,-5.996072762989671e-06,-5.9371965959007875e-06,5.262053219556891e-05,-0.0001772624144079672,0.00018525915225836782,-0.0005890453803110975,0.0003426329308682452,-0.0011419693402299055,0.00048164595646055616,-0.0017054621001143715,0.0005736897520908222,-0.00214510688388818,0.0006084961548429631,-0.0023501741355637096,0.00059334807990261,-0.002255698398799036,0.0005485256065259588,-0.0018550006901452245,0.0005000894752204849,-0.0012006427073166116,0.0004713378874767307,-0.00039390737732123365,0.00047484097027249237,0.00043513868851162766,0.0005074769642855806,0.0011532944160300546,0.0005506547877843712,0.001650672361583086,0.0005764850707374005,0.0018625908786236117,0.0005583800020182402,0.0017822408969177207,0.00048246131767935597,0.0014613773624573467,0.00035540575434308023,0.0009989916798509482,0.00020551428142542163,0.000520610017576394,7.62100497811703e-05,0.00015267089199771185,1.3606864288244478e-05,-2.5385864295491598e-06
8,1.6286711120834068,36927913.622441165,970.6707969527051,178.81963842744582,2.485463954958391,0.24542223685193748,0.037332588632278965,0.007788127812228869,2.5486534178524343,1158.1919999882543,7.775599113181675,3.0122924046226367,970.3769308116663,3.3962323355407196,7.5418708765561995,806.9082572113291,19.972051576433635,-6.35101068267594e-06,-6.235707146410766e-06,6.994839639998199e-05,-0.000226755353887375,0.00024105572347727977,-0.0007581860581619722,0.0004438092245986956,-0.0014728572186616983,0.0006230655693726131,-0.002202260706407072,0.000742266837055457,-0.002772513333922354,0.0007880928132127355,-0.003040084666991536,0.000769387256990126,-0.0029204545974199883,0.0007116117900066405,-0.0024044003299160807,0.0006480323546666837,-0.001559344059409256,0.0006090009921236723,-0.0005159027606905148,0.0006115521207403059,0.0005577457944765136,0.000652504075858626,0.0014889789112815248,0.0007082134899833269,0.0021350404819692487,0.0007423329112707255,0.0024115882446590752,0.0007197528235880154,0.0023093065574647316,0.0006218670573882647,0.0018949055225124468,0.00045714061101487463,0.0012964485524966651,0.00026254158112210804,0.0006765306656550156,9.484882972673224e-05,0.00019915235767238682,1.4359714885163266e-05,-2.711424599163767e-06
9,1.6286711120834068,36927913.622441165,970.6707969527051,178.81963842744582,2.485463954958391,0.24542223685193748,0.037332588632278965,0.007788127812228869,2.5486534178524343,1158.1919999882543,7.775599113181675,3.0122924046226367,970.3769308116663,3.3962323355407196,7.5418708765561995,806.9082572113291,20.688765345052293,-6.601902082169477e-06,-6.42638851250585e-06,8.741346016249006e-05,-0.0002762109782893645,0.0002968865655301916,-0.0009278470105699215,0.0005448512927468079,-0.0018055680307091364,0.0007643074350290301,-0.002702979320279554,0.0009109128541509686,-0.003406602213415877,0.0009682607798700192,-0.0037398456130041794,0.0009464822311139062,-0.003598282833735441,0.0008758550146282786,-0.002969738767169439,0.0007966332286576655,-0.0019360818496870094,0.000746319654873603,-0.0006569212446985807,0.0007467945369591701,0.0006616315896503188,0.0007952700771551608,0.0018074825069941387,0.0008633194009341861,0.0026047401104985135,0.0009060885008780483,0.002949003493793195,0.0008796539263998799,0.002828028750660128,0.000760358595852503,0.002323105475709412,0.0005582940650907494,0.0015910622149913614,0.0003191355878775354,0.0008313452311645056,0.00011314504722742479,0.00024544447872743973,1.487261455041866e-05,-2.8413244991266927e-06
10,1.6286711120834068,36927913.622441165,970.6707969527051,178.81963842744582,2.485463954958391,0.24542223685193748,0.037332588632278965,0.007788127812228869,2.5486534178524343,1158.1919999882543,7.775599113181675,3.0122924046226367,970.3769308116663,3.3962323355407196,7.5418708765561995,806.9082572113291,21.203701219381255,-6.790633175376817e-06,-6.552228898763167e-06,0.0001049365933261776,-0.0003256554337557195,0.0003526357939637867,-0.0010980152262780392,0.000645607091073872,-0.002140071441704334,0.0009051891206208549,-0.003207627105736783,0.0010794284569107557,-0.004047499659080822,0.0011488042363832919,-0.004449779684312289,0.001124461845502968,-0.004289766352718184,0.0010411205384908706,-0.003551894473272886,0.0009457881971313191,-0.00233202579361783,0.0008831984615273787,-0.0008183756413215232,0.0008804531782616919,0.0007452311022146165,0.0009356229929356548,0.0021072094534168185,0.0010157895004286913,0.003058273731089917,0.001067567071882053,0.0034735479573565877,0.0010379369089530029,0.003337399701210757,0.000897860461731556,0.002745274179919688,0.0006588721942625131,0.001882410460690321,0.0003753691078830632,0.000984849711748885,0.00013120519100636406,0.0002914771186321245,1.5242250417390822e-05,-2.9453034213317447e-06
