时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.8033760766521525,55432974.298080534,7.275957614183426e-12,429.1252738827909,1.7679335606233315,0.3897949336383146,0.0813943584864745,0.009330408542127973,1.9758385301569414,710.1392125062172,2.591114071282906,3.418306216219089,40.57509752783005,2.591114071282906,3.418306216219089,40.57509752783005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.8033760766521525,55432974.298080534,7.275957614183426e-12,429.1252738827909,1.7679335606233315,0.3897949336383146,0.0813943584864745,0.009330408542127973,1.9758385301569414,710.1392125062172,2.591114071282906,3.418306216219089,40.57509752783005,2.591114071282906,3.418306216219089,40.57509752783005,14.288482788820138,-1.3639634128132467e-05,-8.985886793403546e-06,1.4408762139190987e-05,-5.538718621215622e-05,6.216282499036336e-05,-0.00012230380850937808,0.00011219077750937894,-0.0002000418967090147,0.00015350273753045058,-0.0002733358930194079,0.00017904218858298836,-0.00032745178258308637,0.0001869007277274437,-0.0003507724192511671,0.00018019318019308028,-0.00033689635138257456,0.00016565528932842608,-0.00028580135784735106,0.00015131955004388443,-0.0002039492698799717,0.00014385819240426615,-0.00010321441127108525,0.0001463794485515941,1.2727625405506574e-06,0.00015741677169178896,9.400415549330804e-05,0.00017148476326802326,0.00016206595226047837,0.00018101005405800867,0.0001975182958699015,0.00017897340001917498,0.00019868726986463424,0.00016142156904499081,0.0001701972995710917,0.00012909320268768,0.00012182018528922348,8.772681059769446e-05,6.64764204382645e-05,4.688302428836235e-05,1.7640189569444117e-05,1.3512942107166662e-05,-9.101336783497255e-06
3,1.8033760766521525,55432974.298080534,7.275957614183426e-12,429.1252738827909,1.7679335606233315,0.3897949336383146,0.0813943584864745,0.009330408542127973,1.9758385301569414,710.1392125062172,2.591114071282906,3.418306216219089,40.57509752783005,2.591114071282906,3.418306216219089,40.57509752783005,30.737398098487912,-2.946448295619617e-05,-1.9238693937645788e-05,7.791825268192693e-05,-0.00017573043146912554,0.00024928672527505506,-0.0004109313023695884,0.00042881482314434627,-0.0006849811597084258,0.0005769040767303823,-0.0009423510035967255,0.0006679281077409116,-0.001128918233674388,0.0006948853304216036,-0.0012019170572017256,0.0006691324482474912,-0.0011378930263613713,0.0006154083460402539,-0.0009372049129520203,0.000563318168958464,-0.0006245117486643893,0.0005374279418276745,-0.0002448034570295743,0.0005489351209939596,0.0001447455822601296,0.0005917943588735977,0.00048574438848519706,0.0006448110733114389,0.0007299460621407737,0.0006790239874547041,0.0008483055263767622,0.0006678364592787925,0.0008357845666088397,0.0005966287881440932,0.0007112441586157398,0.00046892960370524496,0.0005128443574135596,0.0003074327796007941,0.0002902591176283984,0.00014932224257562467,9.498313559353398e-05,2.8995018499397902e-05,-1.9687572765531472e-05
4,1.8033760766521525,55432974.298080534,7.275957614183426e-12,429.1252738827909,1.7679335606233315,0.3897949336383146,0.0813943584864745,0.009330408542127973,1.9758385301569414,710.1392125062172,2.591114071282906,3.418306216219089,40.57509752783005,2.591114071282906,3.418306216219089,40.57509752783005,40.97064907724124,-3.956240664261844e-05,-2.537781721467926e-05,0.00023029338212187365,-0.00038770782026056644,0.0006427413796897056,-0.0009485718747990327,0.0010743358682549582,-0.001603224937458319,0.0014301900023179302,-0.0022163631471964125,0.0016486334685185562,-0.0026555940336337896,0.0017124151681924273,-0.002816453987801069,0.0016484022272603943,-0.0026419960671962787,0.001516172507553913,-0.002133867725555021,0.0013878097048197228,-0.0013535545408111702,0.0013237683754854545,-0.00041277179613073115,0.0013519939185861686,0.0005465428156564353,0.0014576961853889354,0.0013795247335117763,0.0015880239626046516,0.001966966876658716,0.0016703579997507873,0.002238206448203158,0.0016379645064343825,0.0021830739688051912,0.0014545502999887376,0.0018510648018791082,0.0011299842363776283,0.0013390702288486342,0.0007225113447226871,0.0007712968969182066,0.000326275029863434,0.00027534707687743834,3.841311940047541e-05,-2.6509509406111057e-05
5,1.8033760766521525,55432974.298080534,7.275957614183426e-12,429.1252738827909,1.7679335606233315,0.3897949336383146,0.0813943584864745,0.009330408542127973,1.9758385301569414,710.1392125062172,2.591114071282906,3.418306216219089,40.57509752783005,2.591114071282906,3.418306216219089,40.57509752783005,44.762307141652904,-4.35325741664527e-05,-2.7423639213941816e-05,0.0003912178201157197,-0.0005946953736493458,0.0010444109732281185,-0.0014838841410392983,0.0017275017890847622,-0.0025231222311045904,0.002291235129074449,-0.003496251212679626,0.0026383618325251834,-0.004191678168237835,0.0027408476559146145,-0.004442831446049341,0.002639728166204022,-0.004159222967970799,0.0024280914857462556,-0.003343766175391503,0.0022200779492326603,-0.0020946256090160747,0.002112894836642962,-0.0005901710111679093,0.002152977128871809,0.0009425483036364883,0.0023184368318774104,0.002271333815180468,0.002525384105624899,0.0032050081235238605,0.002656833957590608,0.003630733683880029,0.002604414477629157,0.0035334620555812846,0.002308867319386516,0.0029941497547500747,0.001786125499024809,0.0021691434961936848,0.0011307893679233525,0.0012572083728199421,0.0004951533756984745,0.0004614417381795552,4.170288188587757e-05,-2.9245380068497506e-05
6,1.8033760766521525,55432974.298080534,7.275957614183426e-12,429.1252738827909,1.7679335606233315,0.3897949336383146,0.0813943584864745,0.009330408542127973,1.9758385301569414,710.1392125062172,2.591114071282906,3.418306216219089,40.57509752783005,2.591114071282906,3.418306216219089,40.57509752783005,46.72071579505852,-4.5761393704882366e-05,-2.8300578581531135e-05,0.0005545149695845108,-0.0008016514058974823,0.0014478837375824533,-0.0020229315448477276,0.00238184772803837,-0.0034522357332182844,0.0031537700223270584,-0.004791619149158438,0.0036313170353794513,-0.005749503399750405,0.0037750761803046653,-0.006096860780924857,0.0036387427390234205,-0.0057095459649671425,0.0033473467167632327,-0.004591461678316723,0.0030564385531719326,-0.0028768322640480067,0.0029007491296125557,-0.0008099542501627103,0.002947073591591305,0.0012973719188610977,0.003168425033750962,0.0031253082469810405,0.0034509543814046036,0.00440990980987553,0.0036329922003845868,0.004995400802027057,0.003563180953985955,0.004861538635117661,0.003157847391417062,0.00412079109597924,0.00243827364672874,0.0029888723817014327,0.001535636850645405,0.0017384604045024388,0.0006610498616965223,0.000647117635122358,4.3253024296200117e-05,-3.081306457022061e-05
7,1.8033760766521525,55432974.298080534,7.275957614183426e-12,429.1252738827909,1.7679335606233315,0.3897949336383146,0.0813943584864745,0.009330408542127973,1.9758385301569414,710.1392125062172,2.591114071282906,3.418306216219089,40.57509752783005,2.591114071282906,3.418306216219089,40.57509752783005,47.905329893927856,-4.7258175841808976e-05,-2.868133648762345e-05,0.000718736618753197,-0.0010097100367009977,0.0018516086250479021,-0.002567125263896605,0.0030357482719944743,-0.004392398158606811,0.0040161583937816814,-0.006104899754687267,0.004625945673379515,-0.007332284847525325,0.004813723954367361,-0.00778268864472103,0.0046442989225959274,-0.007298138869249145,0.004272999785406123,-0.005883180154504526,0.003896058072308056,-0.003707373789146871,0.0036864491287917672,-0.0010800657301634892,0.0037332209494153347,0.0016027220411100281,0.004006389672762788,0.003933327056335903,0.004363370898277838,0.005574245928723241,0.004597609221585525,0.00632588003859172,0.004513446969715817,0.006162276393087271,0.0040012781167783696,0.005227253414528103,0.003086872275938811,0.0037956356235143832,0.0019380347940065469,0.002213268708137635,0.0008252450260387362,0.0008311279080226017,4.407331782822222e-05,-3.188398065553529e-05
8,1.8033760766521525,55432974.298080534,7.275957614183426e-12,429.1252738827909,1.7679335606233315,0.3897949336383146,0.0813943584864745,0.009330408542127973,1.9758385301569414,710.1392125062172,2.591114071282906,3.418306216219089,40.57509752783005,2.591114071282906,3.418306216219089,40.57509752783005,48.6894035495498,-4.837851418912164e-05,-2.8803088601211107e-05,0.0008833160113237953,-0.0012192215250696671,0.0022548798981848286,-0.00311684187278647,0.0036883375766759647,-0.005344067743850546,0.0048773977174803845,-0.007436721524441681,0.005621179891558867,-0.008940915897976711,0.005855754536237696,-0.00950154696811186,0.005655477286508192,-0.008926619996175993,0.005204286376821987,-0.007220955260145526,0.004738296387986992,-0.004588700182483653,0.004469387617226825,-0.0014033114193338254,0.004510738254425265,0.001855587232903097,0.00483151711619218,0.0046923992044315644,0.005261719093035916,0.006695283084445176,0.0055497872014230055,0.007619869474028092,0.005454487175157077,0.007433876049069144,0.004838736858254747,0.006312217727246037,0.003731853379401126,0.00458851290901784,0.0023382216242623143,0.0026810054862500764,0.0009881600263520764,0.0010130320999483613,4.451977860104139e-05,-3.269470977179842e-05
9,1.8033760766521525,55432974.298080534,7.275957614183426e-12,429.1252738827909,1.7679335606233315,0.3897949336383146,0.0813943584864745,0.009330408542127973,1.9758385301569414,710.1392125062172,2.591114071282906,3.418306216219089,40.57509752783005,2.591114071282906,3.418306216219089,40.57509752783005,49.23787563447005,-4.9279454699272104e-05,-2.8770766147940094e-05,0.001047955498125538,-0.0014302973736929154,0.0026572503223469116,-0.003672137549092836,0.004338979390683999,-0.0063072672819710325,0.00573666996525203,-0.008787130282095634,0.006616081669291244,-0.01057553157428381,0.0069002075716037715,-0.011253711937463507,0.006671393511767151,-0.01059544401644677,0.006140459087594571,-0.00860545700089423,0.0055825389368818965,-0.00552173171747105,0.005249012892973926,-0.0017808646772643722,0.005279035914997116,0.0020546047124639683,0.005643106398900191,0.005401102041149566,0.0061451867113638,0.007771688429423269,0.006488681822606139,0.008876237177548893,0.0063855488987807135,0.008675449982367552,0.005669678756416628,0.007375027944131416,0.0043729416100566215,0.005367040002241606,0.002736173940612347,0.003141353419814168,0.0011499388895591725,0.0011926169571804743,4.474989262255677e-05,-3.3349766628912853e-05
10,1.8033760766521525,55432974.298080534,7.275957614183426e-12,429.1252738827909,1.7679335606233315,0.3897949336383146,0.0813943584864745,0.009330408542127973,1.9758385301569414,710.1392125062172,2.591114071282906,3.418306216219089,40.57509752783005,2.591114071282906,3.418306216219089,40.57509752783005,49.63478337764515,-5.004091988075966e-05,-2.8637932183673765e-05,0.0012124632792940876,-0.0016429577381037383,0.0030583757962542426,-0.004232946858784315,0.004987129901227286,-0.00728185416266417,0.006593231331333696,-0.010155949820710275,0.007609764446080152,-0.012235977630359409,0.007946151622435654,-0.013039095376726567,0.00769117486961383,-0.012304622311233384,0.007080773935938518,-0.010036836225094254,0.006428177079008079,-0.0065068073135365195,0.006024790001776879,-0.002213281171909517,0.0060375536741661935,0.002199030334189986,0.006440491843977942,0.006058594436487675,0.007012989698475879,0.00880264080737877,0.007413455068019402,0.01009427167868907,0.0073058525307855655,0.00988643241275094,0.006493495064715931,0.008415257869360893,0.005009766789222593,0.0061309089441550614,0.00313175665884882,0.0035941027514988745,0.0013106135177689624,0.0013697520823359832,4.484403524872694e-05,-3.390236019243297e-05
