时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.3916999216066673,5905188.574884638,429.7644741031106,4.722589464328165,1.3171360366415796,0.19994846695959007,0.02734921359472821,0.0032046178625832716,1.3941033578913522,1558.912580060524,0.9149014558698205,0.8034294846139822,801.5882802997494,1.2871801925198234,0.6027393537964922,43.7018377497468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.3916999216066673,5905188.574884638,429.7644741031106,4.722589464328165,1.3171360366415796,0.19994846695959007,0.02734921359472821,0.0032046178625832716,1.3941033578913522,1558.912580060524,0.9149014558698205,0.8034294846139822,801.5882802997494,1.2871801925198234,0.6027393537964922,43.7018377497468,12.601617405480914,-6.89545009028964e-06,-4.718778526391126e-06,5.059203443740853e-07,-1.9126784872799514e-05,1.716585670030649e-05,-5.212939784822381e-05,3.706433742814591e-05,-9.620903142343696e-05,5.48781736548896e-05,-0.00014141195434247072,6.692442647943834e-05,-0.00017743829679724821,7.181432581140158e-05,-0.00019566396568840665,7.04673961607773e-05,-0.00019081370941769166,6.551477680016735e-05,-0.0001619565123797225,6.0283972373563286e-05,-0.00011267063476716567,5.764580872627437e-05,-5.0349101407379566e-05,5.904621142988334e-05,1.5224733816272687e-05,6.400869587990879e-05,7.376854842389328e-05,7.027311937851152e-05,0.00011649461037428627,7.455211093943453e-05,0.00013780649060640397,7.369065043390236e-05,0.00013635049076817066,6.587320707648992e-05,0.00011521006131350129,5.1484755613122606e-05,8.120516721791485e-05,3.333369743849871e-05,4.346498831009197e-05,1.6090803010299917e-05,1.1546045446198495e-05,4.872380301079128e-06,-6.334413199641665e-06
3,0.3916999216066673,5905188.574884638,429.7644741031106,4.722589464328165,1.3171360366415796,0.19994846695959007,0.02734921359472821,0.0032046178625832716,1.3941033578913522,1558.912580060524,0.9149014558698205,0.8034294846139822,801.5882802997494,1.2871801925198234,0.6027393537964922,43.7018377497468,28.387781765411372,-1.555931457350125e-05,-1.0606429316927606e-05,8.364736253954242e-06,-5.576134194449112e-05,6.153336341121472e-05,-0.0001604957777886661,0.0001251299872266365,-0.0003009231629876153,0.00018212146646162186,-0.00044504597087988845,0.00022063601902670165,-0.0005594940297906749,0.00023614569785577734,-0.0006162073154009717,0.00023155754451823635,-0.0005979702451558506,0.00021533669164429704,-0.0005017328471169556,0.00019825597028690214,-0.0003391994379459163,0.0001896590178359889,-0.00013459149344873176,0.00019427627468551024,8.000361213272493e-05,0.00021054525627322936,0.0002708445053498215,0.00023101589743805982,0.0004091094465918986,0.00024481787750800656,0.0004765026956725229,0.0002414992003075718,0.0004687246682562038,0.00021504792195213297,0.0003960940344843503,0.000166767194504931,0.0002812139082705338,0.00010600698167099607,0.00015424667567126864,4.83054400618225e-05,4.673943831081295e-05,1.0968721104961683e-05,-1.4280886489495596e-05
4,0.3916999216066673,5905188.574884638,429.7644741031106,4.722589464328165,1.3171360366415796,0.19994846695959007,0.02734921359472821,0.0032046178625832716,1.3941033578913522,1558.912580060524,0.9149014558698205,0.8034294846139822,801.5882802997494,1.2871801925198234,0.6027393537964922,43.7018377497468,43.90944043816655,-2.415870641900488e-05,-1.6304514597244877e-05,4.195979860072374e-05,-0.00013728421026812707,0.00018667971267326963,-0.00042147678145326207,0.0003598133806134891,-0.0008039845813879402,0.000515112480631295,-0.0011970204750654536,0.0006201930702800258,-0.0015083812420814758,0.0006624903332328216,-0.0016602425359296849,0.0006495756564925558,-0.0016047003786014385,0.0006042854918186085,-0.001333145458169578,0.0005561102233110946,-0.0008780206418848509,0.0005310509101220534,-0.0003067335576843733,0.0005426747566819577,0.00029119528586853035,0.0005870794868594116,0.0008214588224708141,0.0006436334967482748,0.0012034539426643523,0.0006817015970335039,0.001386144132839128,0.0006715429099442276,0.0013578756280675016,0.0005959339672495121,0.0011480424185461588,0.0004585273067789117,0.0008203583377523959,0.00028590753115399406,0.0004594376928839708,0.00012216692325212882,0.00015354145627016324,1.6928429702735116e-05,-2.2125766335802036e-05
5,0.3916999216066673,5905188.574884638,429.7644741031106,4.722589464328165,1.3171360366415796,0.19994846695959007,0.02734921359472821,0.0032046178625832716,1.3941033578913522,1558.912580060524,0.9149014558698205,0.8034294846139822,801.5882802997494,1.2871801925198234,0.6027393537964922,43.7018377497468,50.14077432244352,-2.7697650049170778e-05,-1.8490601744321246e-05,8.354191867100353e-05,-0.00021969642528012662,0.00032524630425602376,-0.0006951884426635836,0.0006142831364664708,-0.0013367010803835863,0.0008738181689292268,-0.0019969551359838417,0.001050034203999479,-0.002520734954822725,0.0011217166425544329,-0.002776796391536133,0.0011007485583983526,-0.0026841389042167154,0.0010244234841140535,-0.0022278176481711864,0.0009416879111536838,-0.0014619620667363946,0.0008965418967457443,-0.0004997061270879154,0.0009128639386417969,0.000508233998723617,0.0009852854180624653,0.0014026579557901864,0.0010796810497338146,0.002047198103524549,0.0011441339665246417,0.0023553840108684523,0.0011275603442918434,0.002307445372455671,0.000999984705461127,0.0019530908885348913,0.0007672480835473636,0.0013999022108833218,0.0004745804499468357,0.000790449864825858,0.00019705655651866829,0.0002732549567349456,1.928309523107037e-05,-2.530563773045178e-05
6,0.3916999216066673,5905188.574884638,429.7644741031106,4.722589464328165,1.3171360366415796,0.19994846695959007,0.02734921359472821,0.0032046178625832716,1.3941033578913522,1558.912580060524,0.9149014558698205,0.8034294846139822,801.5882802997494,1.2871801925198234,0.6027393537964922,43.7018377497468,53.325083339387206,-2.9577498215141084e-05,-1.9526917575343752e-05,0.0001268957710472245,-0.0003011807845584586,0.0004654152583669717,-0.000969402589216994,0.0008700640673330886,-0.001872837036607958,0.0012338623400018614,-0.0028045168384277547,0.0014819394429440153,-0.003545752440354705,0.0015843147251709227,-0.0039113602966295655,0.0015564797856928388,-0.0037867214865067523,0.0014492673382179423,-0.00314999367034328,0.0013305425303895128,-0.002076387848337849,0.001262559626176072,-0.0007242400183984452,0.0012804908962140323,0.0006947711499546047,0.0013786855409225111,0.001956349128368223,0.00151025111532818,0.0028677827082559575,0.0016018899190858248,0.0033064619012010033,0.001580404883389759,0.003243923778883836,0.001402172994493684,0.002749814713418431,0.0010747434451785138,0.0019752817652087125,0.0006620925753256714,0.001120498024683605,0.00027069009248464415,0.0003939219811905017,2.0458923428290004e-05,-2.695325932820958e-05
7,0.3916999216066673,5905188.574884638,429.7644741031106,4.722589464328165,1.3171360366415796,0.19994846695959007,0.02734921359472821,0.0032046178625832716,1.3941033578913522,1558.912580060524,0.9149014558698205,0.8034294846139822,801.5882802997494,1.2871801925198234,0.6027393537964922,43.7018377497468,55.243842103512115,-3.0771511004873745e-05,-2.0085314485919272e-05,0.00017094679112020537,-0.0003824461370866221,0.0006060264296259628,-0.0012448133436579012,0.0011259057854156322,-0.002413113919125818,0.0015939253835007842,-0.0036205731793951994,0.0019145736052338404,-0.004584628391172277,0.0020490086551972152,-0.005065667017260373,0.0020156208938881064,-0.004914921314616116,0.0018778240429315164,-0.004103040436703587,0.0017218030519849585,-0.0027256200660370905,0.0016282679387854423,-0.0009855400666941303,0.0016446540085416884,0.0008449474077802622,0.001766256081117266,0.002476380707018706,0.0019342272233173197,0.0036591900529022708,0.0020538783616595043,0.004233891985360158,0.002029177018231173,0.0041626487462660755,0.001801942005286091,0.003534519923254193,0.0013808780721563088,0.002543763010334881,0.0008487110902520519,0.001447672613295927,0.0003436346359040534,0.0005142434152990191,2.1147608068908518e-05,-2.7963775311455637e-05
8,0.3916999216066673,5905188.574884638,429.7644741031106,4.722589464328165,1.3171360366415796,0.19994846695959007,0.02734921359472821,0.0032046178625832716,1.3941033578913522,1558.912580060524,0.9149014558698205,0.8034294846139822,801.5882802997494,1.2871801925198234,0.6027393537964922,43.7018377497468,56.51421008394303,-3.161694604541978e-05,-2.0398638300129417e-05,0.00021531142557776496,-0.0004637201014197,0.0007466383894334405,-0.0015216069587008973,0.0013812898157854958,-0.002957690270788251,0.0019534079433874215,-0.004445310435284332,0.002347280595282272,-0.005637660573052301,0.0025151370748375365,-0.0062402164007803,0.0024775662624323866,-0.00606952009160181,0.002309585785070247,-0.005088080140941771,0.00211505853525976,-0.003411147938760643,0.00199330505420604,-0.0012854387076300878,0.0020049698373520402,0.0009566769667006113,0.0021475392873081096,0.002960562950446417,0.002351077494753153,0.004419300085699506,0.0024995523202118574,0.005135774649719683,0.0024734066742997094,0.005062036285292273,0.0021989818163591795,0.004305970764538303,0.001685541289145547,0.0031044385096462585,0.0010345072038810015,0.001771337807479157,0.00041608481289274357,0.0006337793745408691,2.158886565054222e-05,-2.8647349879105955e-05
9,0.3916999216066673,5905188.574884638,429.7644741031106,4.722589464328165,1.3171360366415796,0.19994846695959007,0.02734921359472821,0.0032046178625832716,1.3941033578913522,1558.912580060524,0.9149014558698205,0.8034294846139822,801.5882802997494,1.2871801925198234,0.6027393537964922,43.7018377497468,57.405879704282306,-3.226117908807953e-05,-2.056870110771378e-05,0.00025981029132764606,-0.0005450825604065148,0.0008870160590444469,-0.001799800425223052,0.0016358984704630077,-0.00350651530935734,0.002311896685906735,-0.0052786399917779435,0.002779567188970284,-0.00670477705011338,0.0029821740413140257,-0.0074350148967927175,0.002941820225812485,-0.0072506591199167185,0.0027441377316692475,-0.0061054366078295425,0.0025099866245578226,-0.00413351255119213,0.0023574053922308285,-0.0016247018875368436,0.0023611648732158362,0.0010290058962780769,0.002522197725627794,0.0034078368327252156,0.002760388027543076,0.005147054212196739,0.0029384620002904276,0.006011145234540428,0.0029126816947123157,0.005941274353514187,0.0025929886207298448,0.005063529992333252,0.0019885742216138804,0.003656841136891658,0.00121945755615516,0.002091173696500423,0.00048810925451594356,0.000752321400788019,2.188748816132281e-05,-2.9139524637802823e-05
10,0.3916999216066673,5905188.574884638,429.7644741031106,4.722589464328165,1.3171360366415796,0.19994846695959007,0.02734921359472821,0.0032046178625832716,1.3941033578913522,1558.912580060524,0.9149014558698205,0.8034294846139822,801.5882802997494,1.2871801925198234,0.6027393537964922,43.7018377497468,58.05554368324402,-3.277888144602899e-05,-2.0647152899850825e-05,0.0003043423788288208,-0.0006265564838729509,0.0010270040280041326,-0.0020793428674188907,0.001889491792358042,-0.004059448704571,0.00266904932328032,-0.006120348904502227,0.0032109995389205544,-0.007785733760947708,0.0034496384278184748,-0.008649838060808674,0.0034079184794009593,-0.008458182853962009,0.003181088381667555,-0.007155069756415615,0.0029062882771731047,-0.0048928316245997515,0.002720333920120713,-0.00200363046477368,0.0027130062647065765,0.0010614607974120884,0.0028899414104163823,0.003817609298566407,0.0031617907950693986,0.005841817674354419,0.0033701919021074216,0.0068594006723545105,0.0033466047507609165,0.00679984029003472,0.0029836507237974287,0.005806778302949342,0.002289789459921695,0.004200660592895627,0.001403495482867716,0.0024069725703708186,0.0005597253927310654,0.000869745707845455,2.2096607914561917e-05,-2.9508991506140885e-05
