时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.41327798851569386,14215866.545817234,0.0,39.08481178888558,1.3251778284232505,0.1631334429461797,0.029898786241436284,0.005528841393396272,1.3769338789686059,830.4160646361464,4.254795094377417,4.098987460160686,633.7023307092111,4.254795094377417,4.098987460160686,633.7023307092111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.41327798851569386,14215866.545817234,0.0,39.08481178888558,1.3251778284232505,0.1631334429461797,0.029898786241436284,0.005528841393396272,1.3769338789686059,830.4160646361464,4.254795094377417,4.098987460160686,633.7023307092111,4.254795094377417,4.098987460160686,633.7023307092111,7.114357735611911,-3.5014310945589744e-06,-1.7572416390652165e-06,-1.0873091938544557e-07,-1.3358343365186552e-05,8.965210576531999e-06,-3.731566568323805e-05,1.9633162571937523e-05,-6.849065158266393e-05,2.899943345079505e-05,-0.00010012362102320784,3.516296772778436e-05,-0.00012544948865130133,3.7468796911849404e-05,-0.00013897330544172812,3.645612331373694e-05,-0.0001374746334693693,3.3513524205949545e-05,-0.00012055930405605863,3.034930223481912e-05,-9.067191160909516e-05,2.8417245611104398e-05,-5.257415979270697e-05,2.845076318692632e-05,-1.2392124962030904e-05,3.02374497594586e-05,2.3586642121133003e-05,3.270737501881209e-05,5.013352639228552e-05,3.431899642282636e-05,6.40744120313614e-05,3.363033699535242e-05,6.485783662733384e-05,2.9873883318790854e-05,5.458068169668477e-05,2.3339348946563198e-05,3.746657178645798e-05,1.5427117255608475e-05,1.891225121988397e-05,8.293989098497149e-06,4.301489578982527e-06,3.477185742929194e-06,-1.7990983742766406e-06
3,0.41327798851569386,14215866.545817234,0.0,39.08481178888558,1.3251778284232505,0.1631334429461797,0.029898786241436284,0.005528841393396272,1.3769338789686059,830.4160646361464,4.254795094377417,4.098987460160686,633.7023307092111,4.254795094377417,4.098987460160686,633.7023307092111,16.52802475959717,-8.14639121243579e-06,-4.071412856293549e-06,1.985473107238604e-06,-3.591337096536136e-05,2.763910153028845e-05,-0.00010260879577505453,5.7813088475536166e-05,-0.00018973902377284954,8.43395760997696e-05,-0.00027814583078839466,0.00010180055307960106,-0.0003484634826645498,0.00010831045125712734,-0.000384877886498863,0.00010539740332016545,-0.00037810088382282745,9.703515984607725e-05,-0.0003270228029664008,8.812998751710429e-05,-0.00023878454818826027,8.286231207666107e-05,-0.0001272826715817499,8.332542168903851e-05,-1.0403816550244463e-05,8.885274112324555e-05,9.348629201759326e-05,9.626124166386568e-05,0.00016911970530305721,0.00010097743671181374,0.0002072561592518603,9.872334593695933e-05,0.00020636731141046322,8.722696608842311e-05,0.00017273358021427073,6.737415185634096e-05,0.00011894095356721602,4.338906943642351e-05,6.111528639117068e-05,2.183567389609007e-05,1.5477609019616114e-05,8.075862250489321e-06,-4.193853924741727e-06
4,0.41327798851569386,14215866.545817234,0.0,39.08481178888558,1.3251778284232505,0.1631334429461797,0.029898786241436284,0.005528841393396272,1.3769338789686059,830.4160646361464,4.254795094377417,4.098987460160686,633.7023307092111,4.254795094377417,4.098987460160686,633.7023307092111,25.66619918292998,-1.2676271818926253e-05,-6.293171612029137e-06,8.867156410747306e-06,-6.8377988994051e-05,6.0395943138285914e-05,-0.00020023927986746216,0.00012093534502322017,-0.0003730077250715982,0.00017416958446794638,-0.0005481338302191073,0.0002091936450951505,-0.0006863330732927983,0.00022218665418384837,-0.0007553935958757351,0.0002162167382707964,-0.0007363859650135303,0.00019932579899566833,-0.0006271483439092551,0.0001814875769891668,-0.00044249981554203924,0.00017122850715580481,-0.0002112044414847455,0.00017280697219877817,2.9715197787059675e-05,0.00018477568137803424,0.00024224067844353446,0.00020043908192504635,0.00039479218185959556,0.00021017800012875472,0.0004683452759499769,0.0002049891062295655,0.0004599678067032802,0.0001801100359838498,0.00038305089051202806,0.00013748213405634306,0.00026421000825074174,8.615649662798644e-05,0.00013756136844399788,4.02543383104707e-05,3.758764198084641e-05,1.2530899303259934e-05,-6.546915669394376e-06
5,0.41327798851569386,14215866.545817234,0.0,39.08481178888558,1.3251778284232505,0.1631334429461797,0.029898786241436284,0.005528841393396272,1.3769338789686059,830.4160646361464,4.254795094377417,4.098987460160686,633.7023307092111,4.254795094377417,4.098987460160686,633.7023307092111,35.57135378744164,-1.7639336604009936e-05,-8.626199330950194e-06,3.072428528305578e-05,-0.00013502163115095976,0.00013904665526521154,-0.00040757388182978286,0.00026585539177251857,-0.0007654305570702373,0.0003772504504723511,-0.0011273923538085606,0.0004504873788349513,-0.0014101821613062373,0.00047754795750313254,-0.0015453390096835256,0.0004647753849834017,-0.0014927054915774157,0.00042900415432280695,-0.001248049509951182,0.00039131465372065874,-0.0008436321853703073,0.0003699304646276812,-0.0003417678258276919,0.0003740850540684177,0.00017737938368890652,0.00040069180152625894,0.0006314976680800774,0.00043510418841883583,0.0009523122616804801,0.00045609356948416466,0.0010989796570395392,0.0004436978154030544,0.0010658646555070208,0.00038739143249183076,0.0008830541194416639,0.00029167509481133926,0.0006095705130574527,0.000176978062221594,0.0003208717611375732,7.513269010776347e-05,9.332090787230211e-05,1.7326215344543216e-05,-9.175962752552838e-06
6,0.41327798851569386,14215866.545817234,0.0,39.08481178888558,1.3251778284232505,0.1631334429461797,0.029898786241436284,0.005528841393396272,1.3769338789686059,830.4160646361464,4.254795094377417,4.098987460160686,633.7023307092111,4.254795094377417,4.098987460160686,633.7023307092111,40.45812577020842,-2.0144650761221663e-05,-9.69165419802651e-06,5.766120586846254e-05,-0.00020335189559061488,0.00022606866729384434,-0.0006242532854206367,0.00042264132834488293,-0.0011774338029197523,0.0005952052869675901,-0.0017364294387737654,0.0007087808558944734,-0.0021712306331184974,0.0007509392639525634,-0.002374890296951235,0.0007312126268417183,-0.0022847549833701904,0.0006753544061108348,-0.0018944618119001544,0.0006159995950677688,-0.0012548772546928173,0.0005817942792308448,-0.00046407513581763626,0.0005876718007987285,0.00035174522878284005,0.0006292267563273462,0.0010629348514963372,0.0006834973261901559,0.001561971772134246,0.0007166646830500934,0.0017847317929948082,0.0006966609172838543,0.0017228654349661105,0.00060650230658452,0.0014245802913301102,0.0004534508727577848,0.0009837998112855685,0.0002704273282745319,0.0005203197487218744,0.00010860054935611351,0.00015529373388327452,1.9652973856856824e-05,-1.0557441844679538e-05
7,0.41327798851569386,14215866.545817234,0.0,39.08481178888558,1.3251778284232505,0.1631334429461797,0.029898786241436284,0.005528841393396272,1.3769338789686059,830.4160646361464,4.254795094377417,4.098987460160686,633.7023307092111,4.254795094377417,4.098987460160686,633.7023307092111,43.21741432042401,-2.160654568646132e-05,-1.0222597371096867e-05,8.609404884451504e-05,-0.00027113552448370753,0.0003145825203777278,-0.0008410254998446132,0.0005807350359402381,-0.001590756802711572,0.0008143755112031664,-0.002348452427037665,0.0009685315651814551,-0.0029371374315420654,0.0010263305528774194,-0.003211146864065426,0.0010001381348951374,-0.003085122995187273,0.0009241632363184338,-0.0025503716890579032,0.0008423482967956009,-0.001676172931632821,0.000793933899146007,-0.0005962285576202697,0.0008000745974899907,0.0005172190625761857,0.0008556117073174,0.001486998046921043,0.0009295401418454662,0.0021660321582759085,0.0009752889468511206,0.002466617386925362,0.000948237164249787,0.002377508445464886,0.0008245332140899423,0.0019649776809797536,0.0006140889021326285,0.0013578394354424176,0.0003625174739946926,0.00072019366878162,0.00014062418060041678,0.0002179504324131343,2.0936167107152633e-05,-1.140503632617513e-05
8,0.41327798851569386,14215866.545817234,0.0,39.08481178888558,1.3251778284232505,0.1631334429461797,0.029898786241436284,0.005528841393396272,1.3769338789686059,830.4160646361464,4.254795094377417,4.098987460160686,633.7023307092111,4.254795094377417,4.098987460160686,633.7023307092111,44.97663302510731,-2.2579460413088922e-05,-1.0501991476914836e-05,0.00011521262927596346,-0.00033878259197702836,0.0004036888144123455,-0.0010584615790530723,0.0007392103280951473,-0.0020063352101641787,0.001033871716311164,-0.002965036616874921,0.0012289415841126776,-0.0037104131275081127,0.0013030482386584762,-0.004057814086020778,0.0012710023803944198,-0.0038988785974163223,0.0011749657381526,-0.0032222452021543895,0.0010699076439181607,-0.002115249386255183,0.001005823414341988,-0.0007469126549314622,0.0010106328004466092,0.0006646295141079383,0.001079046640396805,0.0018945986769713162,0.0011723635253896576,0.002756072036893932,0.0012311616738549108,0.003137383278113684,0.0011978430756858075,0.003024042434937285,0.0010412476550324726,0.002500111947616751,0.0007737461562653494,0.0017290579122487665,0.000453743596427973,0.0009190557916176421,0.0001718885139356473,0.00028062004327241607,2.1730589703179517e-05,-1.2000899274720294e-05
9,0.41327798851569386,14215866.545817234,0.0,39.08481178888558,1.3251778284232505,0.1631334429461797,0.029898786241436284,0.005528841393396272,1.3769338789686059,830.4160646361464,4.254795094377417,4.098987460160686,633.7023307092111,4.254795094377417,4.098987460160686,633.7023307092111,46.18594758220328,-2.3284946096578304e-05,-1.0642918222319576e-05,0.00014468171316406902,-0.00040643305003871963,0.0004929970125874592,-0.0012767292282985813,0.0008976442965419215,-0.0024244589225153016,0.001253266471536139,-0.003586733594907441,0.0014896088688329024,-0.00449202195254376,0.0015807422485619655,-0.0049163957002780105,0.0015435221090718543,-0.00472813859570363,0.0014275395738799713,-0.003912814131821601,0.0012984863718970658,-0.0025753751066312554,0.0012172573340873054,-0.0009197743061803045,0.0012190861796323013,0.000790176719915964,0.0012992045360677668,0.002282045284257429,0.0014116036194484335,0.0033287595426145533,0.0014839477728209626,0.003794250734595679,0.0014452486316382347,0.0036603448987009924,0.0012565758104518124,0.0030285189518412894,0.0009325230594331833,0.0020965609470015617,0.0005443368681113959,0.0011164297238321634,0.00020268229450119452,0.0003430698917090981,2.225792190950814e-05,-1.2457813199877051e-05
10,0.41327798851569386,14215866.545817234,0.0,39.08481178888558,1.3251778284232505,0.1631334429461797,0.029898786241436284,0.005528841393396272,1.3769338789686059,830.4160646361464,4.254795094377417,4.098987460160686,633.7023307092111,4.254795094377417,4.098987460160686,633.7023307092111,47.05920461223719,-2.382828814114015e-05,-1.0699154833021789e-05,0.00017433308940929706,-0.0004741349370706925,0.0005822942807403487,-0.0014958547364848738,0.001055783995827246,-0.002845176330243995,0.0014722782111286194,-0.004213692775097718,0.0017502432610414953,-0.005282306613315718,0.0018591400835991888,-0.005787509080901616,0.0018174665093371404,-0.00557384636900754,0.001681705495002283,-0.004623358683908633,0.0015279443826561637,-0.003058132934576235,0.0014281027954094962,-0.0011166184526130226,0.0014252731531338692,0.000891955450735749,0.0015158763193960428,0.0026474779934100904,0.00164701659922019,0.003882420495995736,0.0017334105190168615,0.004435836192439846,0.0016902765956835057,0.00428537376612605,0.0014704383756524964,0.0035494925366243886,0.001090445241189273,0.002459926106531198,0.0006344016544540139,0.0013120950488216794,0.00023314308873118692,0.000405192686132849,2.2623533715299288e-05,-1.2829372756466912e-05
