时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,11.581181220858383,214610035.11124742,62714.3940751333,2361.719371643447,1.9315348919256423,0.14997157043360154,0.19451787924461264,0.011459149506164851,1.9621520152163576,591.4847033661944,6.051736250368728,5.20147817865992,691.3416966047732,6.051736250368728,5.20147817865992,691.3416966047732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,11.581181220858383,214610035.11124742,62714.3940751333,2361.719371643447,1.9315348919256423,0.14997157043360154,0.19451787924461264,0.011459149506164851,1.9621520152163576,591.4847033661944,6.051736250368728,5.20147817865992,691.3416966047732,6.051736250368728,5.20147817865992,691.3416966047732,1.260649722500213,-1.8462630182787659e-06,-6.424864142377688e-07,-2.3309363898472974e-06,-1.1892768040814858e-05,1.3055215946902027e-06,-2.7858443037059828e-05,4.959238057713509e-06,-4.6338486051294715e-05,7.949298682432694e-06,-6.432821387908785e-05,9.852851743004158e-06,-7.90945503968898e-05,1.0570146113878492e-05,-8.853288550469477e-05,1.0283063218527111e-05,-9.143298457832279e-05,9.364241175447647e-06,-8.760639651761592e-05,8.260785043480933e-06,-7.785436436947927e-05,7.374326380816584e-06,-6.378310520618247e-05,6.9615683328045876e-06,-4.7498864130436726e-05,7.077822839138029e-06,-3.123473553851602e-05,7.578393843236012e-06,-1.6973119850632106e-05,8.178748548710533e-06,-6.129218462499573e-06,8.557275335925994e-06,6.489387479041983e-07,8.469739164014962e-06,3.5289328064033486e-06,7.838129048749383e-06,3.3826620187014952e-06,6.789079818872838e-06,1.537132932477379e-06,5.674941786559717e-06,-5.587303240634772e-07,1.8409994251714303e-06,-6.579385733143801e-07
3,11.581181220858383,214610035.11124742,62714.3940751333,2361.719371643447,1.9315348919256423,0.14997157043360154,0.19451787924461264,0.011459149506164851,1.9621520152163576,591.4847033661944,6.051736250368728,5.20147817865992,691.3416966047732,6.051736250368728,5.20147817865992,691.3416966047732,3.316820280277654,-4.864826608016823e-06,-1.688870563318074e-06,-5.748280287054998e-06,-3.268130863768914e-05,4.433881683412322e-06,-7.70869537970991e-05,1.4704927516135541e-05,-0.00012864388221219553,2.312738700899138e-05,-0.0001788468557094898,2.8492117803081418e-05,-0.00021988000032914322,3.0506612177703697e-05,-0.0002456870217125876,2.9684042126124447e-05,-0.0002527731447097976,2.7087284810857373e-05,-0.00024059855360254146,2.3995943142952378e-05,-0.00021150150943978713,2.1559373768362345e-05,-0.00017017082361885243,2.0506155647477996e-05,-0.0001227618645558309,2.0976806230345415e-05,-7.580770373332988e-05,2.25252021438594e-05,-3.5112054796624024e-05,2.4293750365624304e-05,-4.815592598640429e-06,2.531657988490121e-05,1.3201386918073845e-05,2.4860918721460896e-05,1.9476811670026436e-05,2.2697133913301817e-05,1.6660750610550504e-05,1.922224603901018e-05,8.80902099883984e-06,1.5519927370114347e-05,4.335903103111403e-07,4.849449064482089e-06,-1.734098824567046e-06
4,11.581181220858383,214610035.11124742,62714.3940751333,2361.719371643447,1.9315348919256423,0.14997157043360154,0.19451787924461264,0.011459149506164851,1.9621520152163576,591.4847033661944,6.051736250368728,5.20147817865992,691.3416966047732,6.051736250368728,5.20147817865992,691.3416966047732,5.23775594564536,-7.69354718708063e-06,-2.6639229958875018e-06,-8.343427969603662e-06,-5.4237438278516516e-05,8.884321793492484e-06,-0.0001288450760956996,2.6321634449701554e-05,-0.000215696554924082,4.06420996009498e-05,-0.0003002515380261041,4.97629704197486e-05,-0.00036902487317093223,5.3170721100661084e-05,-0.0004115100710209577,5.1741244460773406e-05,-0.0004216295293259698,4.730489045276781e-05,-0.00039846098122240845,4.20718910442206e-05,-0.0003461294210449547,3.8027447857418814e-05,-0.0002728977192125306,3.641999093942523e-05,-0.0001896203998252789,3.746214407602924e-05,-0.00010782684194530996,4.032842018091647e-05,-3.7762841929538296e-05,4.3462931228293795e-05,1.3270701562260973e-05,4.511943555841826e-05,4.199280843851679e-05,4.397575292113819e-05,4.94470563505863e-05,3.962778317962281e-05,4.049113699316025e-05,3.282506509423545e-05,2.258240007307724e-05,2.5570507335944855e-05,4.134540935409948e-06,7.66644243198671e-06,-2.743782123341212e-06
5,11.581181220858383,214610035.11124742,62714.3940751333,2361.719371643447,1.9315348919256423,0.14997157043360154,0.19451787924461264,0.011459149506164851,1.9621520152163576,591.4847033661944,6.051736250368728,5.20147817865992,691.3416966047732,6.051736250368728,5.20147817865992,691.3416966047732,7.236471561631379,-1.0646563818149758e-05,-3.67447360891299e-06,-1.0136995842370725e-05,-7.987272203626846e-05,1.5799455532380784e-05,-0.0001912891735116794,4.213234793074491e-05,-0.0003212994180570849,6.378047380863321e-05,-0.0004477709337257482,7.755734338509366e-05,-0.0005499933425188709,8.266595180621077e-05,-0.0006117487876515664,8.043950172599088e-05,-0.0006236432274587775,7.368478801560289e-05,-0.0005842977361871235,6.580116262304166e-05,-0.0005002214751754819,5.984222410115218e-05,-0.00038441491392181753,5.771229173461046e-05,-0.00025395828831616346,5.9688587417800825e-05,-0.00012700156599172355,6.440865983322838e-05,-1.9672755852478698e-05,6.935237922313161e-05,5.656062256168675e-05,7.170171103135877e-05,9.661805674523202e-05,6.93298207742328e-05,0.00010232608357977875,6.160871548371628e-05,8.165763458990335e-05,4.9807170554948703e-05,4.686253767818686e-05,3.723117123899479e-05,1.1917893540202205e-05,1.060394288125765e-05,-3.800273333751174e-06
6,11.581181220858383,214610035.11124742,62714.3940751333,2361.719371643447,1.9315348919256423,0.14997157043360154,0.19451787924461264,0.011459149506164851,1.9621520152163576,591.4847033661944,6.051736250368728,5.20147817865992,691.3416966047732,6.051736250368728,5.20147817865992,691.3416966047732,9.241052313090819,-1.361952915413696e-05,-4.681543924896495e-06,-1.0516682987948172e-05,-0.00011056684424547934,2.6268393143014484e-05,-0.0002671784878859361,6.370682959597814e-05,-0.0004502689070186674,9.449409045284727e-05,-0.0006280908853072172,0.00011405308871552622,-0.0007706989295226363,0.00012123003661633243,-0.0008545451263871089,0.00011794028896802212,-0.000865994241567324,0.0001082369497728741,-0.0008031520740019886,9.704253440519182e-05,-0.0006757352690367512,8.878096238763353e-05,-0.0005030477108910816,8.618909616760116e-05,-0.00031043450454167754,8.959530242755739e-05,-0.00012482569411135773,9.688500951559498e-05,2.9865234099022237e-05,0.00010421185268930519,0.00013669150245371778,0.00010729035227956561,0.0001882839409499889,0.00010290037177439882,0.00018767682530810705,9.013246355581153e-05,0.0001472312714506195,7.101533831071261e-05,8.590594360610844e-05,5.068819559115393e-05,2.550415177561507e-05,1.3556349660386525e-05,-4.86835576537056e-06
7,11.581181220858383,214610035.11124742,62714.3940751333,2361.719371643447,1.9315348919256423,0.14997157043360154,0.19451787924461264,0.011459149506164851,1.9621520152163576,591.4847033661944,6.051736250368728,5.20147817865992,691.3416966047732,6.051736250368728,5.20147817865992,691.3416966047732,11.289015449711405,-1.667094166696764e-05,-5.699177399241787e-06,-8.497608617933886e-06,-0.00015034387885271323,4.2899273817791626e-05,-0.0003669928515667379,9.529200149032861e-05,-0.0006205766088025812,0.00013834914389618228,-0.0008661987577567185,0.00016562282202381583,-0.0010612217759853157,0.0001754874680614003,-0.001172017379471242,0.00017065829180801974,-0.0011791666134780409,0.00015689543336934437,-0.0010802058560495486,0.00014121518544839057,-0.0008895099023776376,0.00012993185245946436,-0.0006353959282503407,0.00012692521277068197,-0.00035497833397573134,0.00013256083470613558,-8.766015415913488e-05,0.00014360945173017052,0.0001316228760472173,0.00015427960932849934,0.0002782342847973617,0.00015813985107239275,0.00034172497327010634,0.0001503845450653046,0.00032710900986218547,0.00012973218049368396,0.00025334308087405697,9.93933094684692e-05,0.0001493677636321616,6.724794642417654e-05,4.862197560612505e-05,1.657856489995227e-05,-5.972820772174532e-06
8,11.581181220858383,214610035.11124742,62714.3940751333,2361.719371643447,1.9315348919256423,0.14997157043360154,0.19451787924461264,0.011459149506164851,1.9621520152163576,591.4847033661944,6.051736250368728,5.20147817865992,691.3416966047732,6.051736250368728,5.20147817865992,691.3416966047732,13.320868160466867,-1.9717328415736898e-05,-6.688263952443313e-06,-2.1900985317312227e-06,-0.0002048504362500785,6.993192953382657e-05,-0.0005056826893933383,0.00014347791141104788,-0.0008579033865383528,0.00020380992778037686,-0.0011976980911636748,0.0002418664271872092,-0.0014641622316097624,0.00025538190520861374,-0.001609202272410355,0.0002482172224755746,-0.0016052097388888238,0.0002285643231031578,-0.00144915838576678,0.00020643997591876132,-0.0011625109504215811,0.00019089114292936748,-0.0007870425718867487,0.00018746020534184877,-0.0003773384929614132,0.00019654831314747077,8.750985532884253e-06,0.0002132335012680106,0.0003200657991830727,0.0002287679297032277,0.000520771378557225,0.00023345611256507553,0.0005961523622802718,0.00022009815678689692,0.0005545556682623233,0.00018690390720985383,0.00042519467621320636,0.00013897897347322257,0.0002523343168945577,8.843764379188579e-05,8.71880276898923e-05,1.9581763364399474e-05,-7.090611246704672e-06
9,11.581181220858383,214610035.11124742,62714.3940751333,2361.719371643447,1.9315348919256423,0.14997157043360154,0.19451787924461264,0.011459149506164851,1.9621520152163576,591.4847033661944,6.051736250368728,5.20147817865992,691.3416966047732,6.051736250368728,5.20147817865992,691.3416966047732,15.15438365690556,-2.249199651916078e-05,-7.54553143918854e-06,1.0745254291753519e-05,-0.00027942382574499533,0.00011194745189376524,-0.0006976305205505199,0.00021504134641801506,-0.0011869722417739937,0.00029938287240801573,-0.0016567449793999684,0.0003523440603309377,-0.0020201573790619414,0.00037080785210208265,-0.0022087261805371107,0.0003602159774945364,-0.0021834761864433245,0.0003321197655069697,-0.001940951737719928,0.00030073427447308856,-0.0015131363595221063,0.00027900203186288205,-0.0009614216135311853,0.00027489805348313967,-0.0003657032909363934,0.0002889268139674065,0.00018954985169854745,0.0003137193771126859,0.0006298825630708675,0.0003361701480835755,0.0009035516415037101,0.0003417349363896678,0.0009900753148990636,0.0003196642023346968,0.000903117453170857,0.0002674688841365019,0.0006872646435767207,0.0001931721351421687,0.0004094597210234716,0.00011521600077889248,0.0001470404744251032,2.229412536995625e-05,-8.133990287247078e-06
10,11.581181220858383,214610035.11124742,62714.3940751333,2361.719371643447,1.9315348919256423,0.14997157043360154,0.19451787924461264,0.011459149506164851,1.9621520152163576,591.4847033661944,6.051736250368728,5.20147817865992,691.3416966047732,6.051736250368728,5.20147817865992,691.3416966047732,16.38386801374622,-2.4377449274476604e-05,-8.081742675751692e-06,2.7215734059907477e-05,-0.00035692510833233314,0.00015901238438344937,-0.0008986668257622665,0.0002930596191457584,-0.0015320507383152163,0.0004024766236967886,-0.002137787974505533,0.0004710012276468475,-0.002601654352330351,0.0004946449670606031,-0.0028336536167203434,0.00048042606298512287,-0.002782944596100131,0.00044330371896875154,-0.0024458579638312015,0.000401847302715194,-0.001865802175009867,0.000373159501983993,-0.0011252416643147197,0.0003679318679964031,-0.0003311618680641625,0.000386926873931607,0.0004035456046266467,0.00042023192417144203,0.000979623648774167,0.000450027313617809,0.001328500486553663,0.00045644009480564675,0.0014237837094155516,0.00042479491227718715,0.0012851251871732416,0.00035183962945903313,0.0009738503333879586,0.0002488403003728604,0.0005813917800369363,0.0001411628090090503,0.00021315382444416967,2.411315302082741e-05,-8.869172971270434e-06
11,11.581181220858383,214610035.11124742,62714.3940751333,2361.719371643447,1.9315348919256423,0.14997157043360154,0.19451787924461264,0.011459149506164851,1.9621520152163576,591.4847033661944,6.051736250368728,5.20147817865992,691.3416966047732,6.051736250368728,5.20147817865992,691.3416966047732,17.213893281133654,-2.5672184639351183e-05,-8.40886573714524e-06,4.525735549916216e-05,-0.00043386341553697363,0.00020751187374047343,-0.001099206485740215,0.0003722803408481282,-0.0018766785737412907,0.0005065713648417377,-0.0026183074429383967,0.0005906085483840606,-0.0031823767305015965,0.0006195307073673947,-0.003457365751450509,0.0006017999258245813,-0.0033805982167588147,0.0005556035847299817,-0.0029482485363143125,0.0005037590370419283,-0.0022152203609621516,0.0004675729629855456,-0.0012851294465608472,0.0004606291041637028,-0.0002921378467115465,0.00048415255752879766,0.0006223502421955064,0.0005257990438053931,0.0013342029713380187,0.0005629916280144123,0.0017579924370297328,0.0005703665023306226,0.0018614537876914415,0.0005291515841687653,0.0016703264454701137,0.00043526389065059654,0.0012628046691114479,0.0003032857523601439,0.0007549300545812088,0.00016564251172389448,0.0002802492500715772,2.5341465343589908e-05,-9.395914459748429e-06
