时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,7.2030436926718995,180386632.24398962,1.4551915228366852e-11,2693.0595248676937,1.6537688604172447,0.2281055268079553,0.10116017932232008,0.013191283930446102,1.7342025348687102,448.8270421307389,0.660018999808786,2.466722657052295,795.3030750700199,0.660018999808786,2.466722657052295,795.3030750700199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.2030436926718995,180386632.24398962,1.4551915228366852e-11,2693.0595248676937,1.6537688604172447,0.2281055268079553,0.10116017932232008,0.013191283930446102,1.7342025348687102,448.8270421307389,0.660018999808786,2.466722657052295,795.3030750700199,0.660018999808786,2.466722657052295,795.3030750700199,2.8906818074778475,-3.5432830501151224e-05,-5.1673780431886265e-06,-3.224012092719255e-05,-2.2879918802453044e-05,-2.0969080016973538e-05,-5.007026035126699e-05,-8.322987229792613e-06,-8.388399854645766e-05,3.217997641918237e-06,-0.00011942893080454809,1.1997492551296572e-05,-0.00015201043757996218,1.7300830306408013e-05,-0.00017768520072383766,1.929535469954561e-05,-0.0001937108556489328,1.882538349500211e-05,-0.00019880363824658032,1.7109232805640842e-05,-0.0001931759614138188,1.5403257057808614e-05,-0.0001783548934589989,1.4704373951556783e-05,-0.00015681847767751164,1.555453220366834e-05,-0.0001315153019784929,1.7986109450198118e-05,-0.00010535410334864901,2.1609615488518763e-05,-8.07573363851612e-05,2.5803920827782274e-05,-5.936203437767938e-05,2.9937602210331696e-05,-4.192161775656427e-05,3.353897706190463e-05,-2.842375737477767e-05,3.634797672871261e-05,-1.838974752287834e-05,3.822868657364854e-05,-1.1306181003189975e-05,3.5394972839443585e-05,-5.212345565747327e-06
3,7.2030436926718995,180386632.24398962,1.4551915228366852e-11,2693.0595248676937,1.6537688604172447,0.2281055268079553,0.10116017932232008,0.013191283930446102,1.7342025348687102,448.8270421307389,0.660018999808786,2.466722657052295,795.3030750700199,0.660018999808786,2.466722657052295,795.3030750700199,8.031634888859182,-9.875565480372955e-05,-1.4410443131099012e-05,-8.926169212338723e-05,-6.492378962913573e-05,-5.6614625304768363e-05,-0.00014343390250291094,-1.9736747677781333e-05,-0.0002417629348838967,1.4050061243349157e-05,-0.0003454906692597163,3.975702342309892e-05,-0.00044046681646812974,5.5185461649059584e-05,-0.0005146550111675801,6.080643124867501e-05,-0.0005596357748139659,5.91632551128379e-05,-0.0005714912445544381,5.394790945604429e-05,-0.0005509774020339787,4.89581048501868e-05,-0.0005029854184754241,4.7164168364291676e-05,-0.00043540773986042863,5.009206940997166e-05,-0.00035761603263473774,5.765347532093899e-05,-0.00027882710169259016,6.843483033616644e-05,-0.00020665708074791151,8.032518645186685e-05,-0.0001461314298076991,9.125903649033497e-05,-9.932434299141446e-05,9.981240558584459e-05,-6.567687570167532e-05,0.00010543796468845366,-4.2886757465495663e-05,0.00010826616565589401,-2.8206962558243893e-05,9.86353573755549e-05,-1.4554598658644994e-05
4,7.2030436926718995,180386632.24398962,1.4551915228366852e-11,2693.0595248676937,1.6537688604172447,0.2281055268079553,0.10116017932232008,0.013191283930446102,1.7342025348687102,448.8270421307389,0.660018999808786,2.466722657052295,795.3030750700199,0.660018999808786,2.466722657052295,795.3030750700199,11.926342677736107,-0.0001470051302449037,-2.1457387416992284e-05,-0.0001318829536251506,-9.855947259082254e-05,-8.136864572484435e-05,-0.00021964735582731575,-2.4037618896523833e-05,-0.0003720986801024435,2.8615736950533495e-05,-0.0005332762896309135,6.864529023018552e-05,-0.0006805849530460441,9.250118125513753e-05,-0.0007946258633968268,0.0001009089325675093,-0.0008617815265191457,9.794015703201388e-05,-0.0008757675928695633,8.952381405154029e-05,-0.0008379845198941031,8.174093895668904e-05,-0.0007566671119666907,7.928599719100188e-05,-0.0006450203933274956,8.444485305175194e-05,-0.0005186850172125852,9.681749080083306e-05,-0.00039299295528158994,0.00011381630335115906,-0.0002805177884533038,0.00013174732501450683,-0.00018937160664402709,0.0001471036746620486,-0.0001225449555801693,0.00015763150386067658,-7.837662382950366e-05,0.00016280429791241748,-5.1980783895850155e-05,0.000163571726402015,-3.7353596070915154e-05,0.0001468043493836066,-2.1699612903863445e-05
5,7.2030436926718995,180386632.24398962,1.4551915228366852e-11,2693.0595248676937,1.6537688604172447,0.2281055268079553,0.10116017932232008,0.013191283930446102,1.7342025348687102,448.8270421307389,0.660018999808786,2.466722657052295,795.3030750700199,0.660018999808786,2.466722657052295,795.3030750700199,15.12688291235555,-0.00018684262407110393,-2.7275008257222074e-05,-0.0001662064024688894,-0.00012800744420306273,-9.938012279153666e-05,-0.0002876690880149906,-2.327863413321855e-05,-0.0004894954736658784,4.671249409028913e-05,-0.0007031518309471874,9.983990461444188e-05,-0.000897943790652989,0.00013125804135567053,-0.0010473318101349633,0.0001419407852203596,-0.00113265079213136,0.00013744512760167124,-0.0011453772251881279,0.00012587193866578776,-0.0010876941757196209,0.00011550250609915456,-0.000971343864349219,0.00011265078914713746,-0.0008150268021699872,0.00012023154183497396,-0.0006408278826696792,0.00013737837189402964,-0.0004703195862726985,0.00016016876871003034,-0.0003210589682625851,0.00018319358916761244,-0.00020412514817197866,0.00020144894868588166,-0.00012312623695430032,0.0002119228792046972,-7.480573949437475e-05,0.00021435067055983287,-5.10135035395681e-05,0.0002109322827078656,-4.164263693565622e-05,0.0001865590255108306,-2.761903523981457e-05
6,7.2030436926718995,180386632.24398962,1.4551915228366852e-11,2693.0595248676937,1.6537688604172447,0.2281055268079553,0.10116017932232008,0.013191283930446102,1.7342025348687102,448.8270421307389,0.660018999808786,2.466722657052295,795.3030750700199,0.660018999808786,2.466722657052295,795.3030750700199,18.288406324882402,-0.0002263702406484398,-3.3042507552606965e-05,-0.00019907418168574174,-0.00015952506098342655,-0.00011400603591022466,-0.00036196315947214,-1.6872215429232193e-05,-0.0006187719902481868,7.251928217158329e-05,-0.0008907960988724886,0.0001401917604647752,-0.0011379062883454633,0.00017981284245626713,-0.0013251898795286266,0.0001926691328159261,-0.0014280814091347568,0.00018608001619586207,-0.0014355327026230103,0.0001707080821470752,-0.0013508623671015735,0.00015740632140982816,-0.0011902587803912434,0.00015433264269182925,-0.0009792776108348746,0.00016501952090409257,-0.0007479806147074894,0.000187870371452713,-0.0005255997293268776,0.00021717977400888096,-0.00033570938146915233,0.0002453329218726351,-0.00019280135440107905,0.0002654730316182681,-0.0001008630337672903,0.000273768425317945,-5.414817671093499e-05,0.00027054177135835703,-3.983247211813636e-05,0.00025995260135631883,-4.200204968789445e-05,0.00022598394419309206,-3.3513658439028916e-05
7,7.2030436926718995,180386632.24398962,1.4551915228366852e-11,2693.0595248676937,1.6537688604172447,0.2281055268079553,0.10116017932232008,0.013191283930446102,1.7342025348687102,448.8270421307389,0.660018999808786,2.466722657052295,795.3030750700199,0.660018999808786,2.466722657052295,795.3030750700199,21.228171788644385,-0.0002632919183743598,-3.841987270766191e-05,-0.0002281614830277372,-0.00019208706063596873,-0.00012333922371338127,-0.0004404248112707289,-3.4572981749742267e-06,-0.0007563154458686458,0.0001068294572308881,-0.0010908164923769793,0.000189999779879443,-0.0013932227354165876,0.00023810464826916187,-0.0016192149150325707,0.0002528273120508343,-0.0017376504973518607,0.00024350814956902316,-0.0017348054264954942,0.00022371672843498602,-0.0016155690202065325,0.00020719302315135314,-0.001401542456207184,0.00020410809250335206,-0.0011264735043067158,0.000218555037502553,-0.0008298671482871829,0.0002479116274970312,-0.0005499322597017651,0.0002842278037369334,-0.0003171665925653662,0.0003172005194128006,-0.00014977571028765765,0.0003377966549385314,-5.1739334302559966e-05,0.0003413592304551455,-1.3789798774673473e-05,0.00032919482351046684,-1.6911427029638207e-05,0.0003081990691150551,-3.7620656614516654e-05,0.00026278372303263365,-3.9042802372086934e-05
8,7.2030436926718995,180386632.24398962,1.4551915228366852e-11,2693.0595248676937,1.6537688604172447,0.2281055268079553,0.10116017932232008,0.013191283930446102,1.7342025348687102,448.8270421307389,0.660018999808786,2.466722657052295,795.3030750700199,0.660018999808786,2.466722657052295,795.3030750700199,23.737624310214006,-0.000294947016936118,-4.301618414891363e-05,-0.0002512214187535868,-0.00022364292935275526,-0.00012636671368798565,-0.000518117626502554,1.6489643212468433e-05,-0.0008933191829164509,0.00014774186497728135,-0.0012901540165961493,0.00024626024434365066,-0.001646907435071301,0.00030248388076871733,-0.001909488784389721,0.00031857066734347205,-0.0020400046509085395,0.00030601529084078703,-0.002022153839579259,0.0002814451281701411,-0.0018627918499883403,0.0002616029093994091,-0.001589586534310885,0.0002586979298584272,-0.001245292907667522,0.00027727909781288573,-0.0008796930251404482,0.00031346275137344163,-0.0005406609098664015,0.00035673813062601554,-0.0002660065708327328,0.000393815476156549,-7.763083081128336e-05,0.0004133236583532202,2.095545731750201e-05,0.00040985614928447476,4.339706352008478e-05,0.00038605996166155124,1.602752787387656e-05,0.00035216693567686054,-2.887510415112313e-05,0.0002943057274237111,-4.380559174622665e-05
9,7.2030436926718995,180386632.24398962,1.4551915228366852e-11,2693.0595248676937,1.6537688604172447,0.2281055268079553,0.10116017932232008,0.013191283930446102,1.7342025348687102,448.8270421307389,0.660018999808786,2.466722657052295,795.3030750700199,0.660018999808786,2.466722657052295,795.3030750700199,26.09815672871201,-0.0003248526385347604,-4.733829866188746e-05,-0.0002705850559778055,-0.00025815287253893985,-0.00012287365911083044,-0.0006048457234152631,4.602964284051962e-05,-0.0010469383046693547,0.0002008515864483409,-0.0015135098164536917,0.0003163690701723867,-0.0019300408371024527,0.0003812453242009549,-0.0022311414652323317,0.0003982720614711533,-0.002371233907345603,0.0003815075033630788,-0.002331306897168411,0.0003511642373414966,-0.002120902685731582,0.00032746677532015866,-0.0017752231474974158,0.0003249288208080952,-0.0013479946696030706,0.00034849445235457716,-0.0009013827337794436,0.0003926148121950472,-0.0004947766062142792,0.0004435774150918747,-0.00017452675351441727,0.00048443926556194746,3.3419195899996637e-05,0.0005010565301731357,0.00012663032608376318,0.0004872863202581609,0.0001245999456341855,0.00044767150037873163,6.304462843331866e-05,0.00039680781648640485,-1.4676175297411789e-05,0.0003240503783979805,-4.832977875992583e-05
10,7.2030436926718995,180386632.24398962,1.4551915228366852e-11,2693.0595248676937,1.6537688604172447,0.2281055268079553,0.10116017932232008,0.013191283930446102,1.7342025348687102,448.8270421307389,0.660018999808786,2.466722657052295,795.3030750700199,0.660018999808786,2.466722657052295,795.3030750700199,28.977908737956138,-0.00036153268157085604,-5.259356561121019e-05,-0.0002892164651292804,-0.00031043069401936205,-0.00010526642576670606,-0.0007392405377101319,0.00010453005509388132,-0.0012858441953864585,0.0002959179737287968,-0.001860127518990429,0.0004372956879470744,-0.002366948089927838,0.0005146794286018594,-0.002722914419343545,0.0005320468840321972,-0.002870489090484117,0.0005076845921361791,-0.0027869204567112344,0.00046761359566474206,-0.0024868602248337003,0.000437632046524151,-0.002018501273896404,0.00043584579643529393,-0.0014540593477044078,0.00046761132554109364,-0.0008762911754350828,0.0005243766288627091,-0.00036346673986883965,0.0005869164214292004,2.4400625620036764e-05,0.0006321309347815923,0.00025541503318957565,0.0006413589731141895,0.00032988822279295013,0.0006075372195724349,0.0002780302809079297,0.0005388415161990177,0.0001520500180660529,0.00045766286472573113,1.4385811231401053e-05,0.0003604614425448841,-5.392384205591538e-05
