时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,4.009173301254726,86776782.30233182,11006.069569061277,675.3760759990345,1.7578990475042138,0.14291673048308629,0.11799530309900012,0.009673515033339351,1.7884094504346701,641.055884489427,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.009173301254726,86776782.30233182,11006.069569061277,675.3760759990345,1.7578990475042138,0.14291673048308629,0.11799530309900012,0.009673515033339351,1.7884094504346701,641.055884489427,10.0,10.0,1000.0,10.0,10.0,1000.0,1.8861134728358877,-1.2341825775077882e-06,-3.877523568226956e-07,-1.026189365276717e-06,-1.0679437853559827e-05,2.8510569440905116e-06,-2.731001650751183e-05,7.02647980009207e-06,-4.74192893524108e-05,1.0529841890196119e-05,-6.733237326522985e-05,1.2766830876866184e-05,-8.360526899844128e-05,1.356976079996906e-05,-9.353451995101507e-05,1.3148157024468347e-05,-9.555203653991421e-05,1.1971369102303847e-05,-8.942479520296568e-05,1.0609925127903259e-05,-7.622867851314002e-05,9.569082313060283e-06,-5.8104513257414276e-05,9.151089700246215e-06,-3.784142369157216e-05,9.379889903373218e-06,-1.8361868055708283e-05,1.0010075183347e-05,-2.2007303155434834e-06,1.062051246345694e-05,8.92670751129676e-06,1.0767065322034501e-05,1.4388087629209173e-05,1.0147408321450732e-05,1.4679953958958749e-05,8.723156175567898e-06,1.1248484020170803e-05,6.7548132797279135e-06,6.121187813276275e-06,4.748270903753358e-06,1.4172759559642624e-06,1.2298691045150744e-06,-3.99287074678335e-07
3,4.009173301254726,86776782.30233182,11006.069569061277,675.3760759990345,1.7578990475042138,0.14291673048308629,0.11799530309900012,0.009673515033339351,1.7884094504346701,641.055884489427,10.0,10.0,1000.0,10.0,10.0,1000.0,4.414212240530738,-2.8918265088885477e-06,-9.062974221658685e-07,-1.98202435995639e-06,-2.6405235002946182e-05,7.812348907357922e-06,-6.799818938577576e-05,1.838573254295318e-05,-0.00011844662244827256,2.7275797516470106e-05,-0.00016842071550992444,3.296197696755776e-05,-0.00020909210083356553,3.500793902414389e-05,-0.0002334918688722188,3.39443771336441e-05,-0.00023756490830149164,3.0972455129637226e-05,-0.00022071195234124347,2.7557067603619565e-05,-0.00018573806474899692,2.499610852647366e-05,-0.00013822796438146468,2.4060705245684453e-05,-8.54652794990894e-05,2.47956604007141e-05,-3.508943695479968e-05,2.6539584271032605e-05,6.268639751701613e-06,2.8168572786707674e-05,3.4123804142943374e-05,2.849841392827731e-05,4.683741193799667e-05,2.6722670171161048e-05,4.5753310093093544e-05,2.2742403258646643e-05,3.474775766791595e-05,1.7270080110822123e-05,1.9287335595978843e-05,1.1699673802981884e-05,5.173677353644238e-06,2.880566288464117e-06,-9.364536751213481e-07
4,4.009173301254726,86776782.30233182,11006.069569061277,675.3760759990345,1.7578990475042138,0.14291673048308629,0.11799530309900012,0.009673515033339351,1.7884094504346701,641.055884489427,10.0,10.0,1000.0,10.0,10.0,1000.0,7.282808804835617,-4.7779039960561415e-06,-1.4922200228210952e-06,-2.226306085584318e-06,-4.705906016128696e-05,1.5694978475575933e-05,-0.00012222028639713513,3.508167996763302e-05,-0.00021366768919429946,5.1411693318789254e-05,-0.00030424045833085775,6.187050025526336e-05,-0.00037753137546401954,6.563791668550377e-05,-0.00042051312843888243,6.368892664249462e-05,-0.0004255848619423694,5.825246916492997e-05,-0.00039164320895353016,5.205680300179209e-05,-0.00032401982019024855,4.752112041817747e-05,-0.00023332152810104535,4.607202606104282e-05,-0.00013339298553749195,4.7757096869889785e-05,-3.876799942169137e-05,5.12749956220154e-05,3.793251673170993e-05,5.443663163051101e-05,8.818259322071459e-05,5.493810619441886e-05,0.00010891180618968684,5.121189272974261e-05,0.00010279700724834002,4.3077957960440785e-05,7.744187399780821e-05,3.196698785895981e-05,4.362082992478943e-05,2.068902723423146e-05,1.2930482287253286e-05,4.756513399271329e-06,-1.5496026862940212e-06
5,4.009173301254726,86776782.30233182,11006.069569061277,675.3760759990345,1.7578990475042138,0.14291673048308629,0.11799530309900012,0.009673515033339351,1.7884094504346701,641.055884489427,10.0,10.0,1000.0,10.0,10.0,1000.0,10.04037594133046,-6.597011503251242e-06,-2.05148186903726e-06,-1.141630057626908e-06,-7.130746376856035e-05,2.6769440764314567e-05,-0.0001868332407798622,5.699502477735588e-05,-0.00032773513982336047,8.248132737943153e-05,-0.00046716319046659176,9.881313392407068e-05,-0.0005792136746806971,0.00010469038557144637,-0.0006432192990582091,0.00010163889562612923,-0.0006471066405750333,9.317258388378612e-05,-0.0005891813238081668,8.360760491187488e-05,-0.0004780787169499146,7.677627659397992e-05,-0.00033093271490563717,7.492413182505923e-05,-0.00017011167006200908,7.807244954241646e-05,-1.9108452963187474e-05,8.405146872045902e-05,0.00010167707734602976,8.924151528514431e-05,0.00017849546803223713,8.983720975702559e-05,0.0002064897192476888,8.325532967834162e-05,0.000190214277943793,6.922681590674756e-05,0.00014235496937531732,5.01940518900177e-05,8.093053435392618e-05,3.095021207244874e-05,2.5534388585249786e-05,6.562479926271556e-06,-2.1442633186895662e-06
6,4.009173301254726,86776782.30233182,11006.069569061277,675.3760759990345,1.7578990475042138,0.14291673048308629,0.11799530309900012,0.009673515033339351,1.7884094504346701,641.055884489427,10.0,10.0,1000.0,10.0,10.0,1000.0,12.863812096278558,-8.467280164674236e-06,-2.617083740754189e-06,2.2398230197834164e-06,-0.00010368157674056821,4.4069276219381746e-05,-0.0002742994628002274,8.936198990534575e-05,-0.0004827604980061028,0.0001275577104998174,-0.0006886484156204201,0.00015202494145858742,-0.0008526612314547589,0.00016080051220005896,-0.000943322124793029,0.00015618249104521915,-0.000942255154998266,0.00014348944761793424,-0.0008470306124422236,0.00012927956911959172,-0.0006711604316857601,0.0001193908205291531,-0.00044131440114438566,0.00011722886294416392,-0.00019228761203415938,0.00012274873570398514,3.937825189842549e-05,0.00013247436003578015,0.0002219755670037075,0.000140642341775109,0.0003342137871026661,0.00014119784346266242,0.0003687721956558449,0.00013004551112463298,0.0003331721239994952,0.00010681691350714933,0.0002478388464511703,7.554020388732861e-05,0.00014178261915591417,4.407854883465559e-05,4.677557284020556e-05,8.413629518790798e-06,-2.761466046949778e-06
7,4.009173301254726,86776782.30233182,11006.069569061277,675.3760759990345,1.7578990475042138,0.14291673048308629,0.11799530309900012,0.009673515033339351,1.7884094504346701,641.055884489427,10.0,10.0,1000.0,10.0,10.0,1000.0,16.025476663598138,-1.0575144310846279e-05,-3.233883834583019e-06,1.1277257579914257e-05,-0.00015739310075588928,7.711754886090364e-05,-0.0004213148767085564,0.00014826497161079982,-0.0007440452058011334,0.00020819069835168163,-0.001061657274962308,0.0002465216398130758,-0.001311567842555704,0.00026018788032072316,-0.0014435353178667105,0.000252811105843802,-0.0014283422029096958,0.0002328018821558716,-0.0012625352597544393,0.00021059396648606037,-0.0009685183701070446,0.00019553474050883936,-0.0005900941186001975,0.00019308642780512653,-0.00018429590434416063,0.00020308308971423372,0.000189036386888124,0.00021967277807903414,0.00047807445240799924,0.00023316266393805455,0.0006482360911474342,0.00023335911929818606,0.0006881117482522818,0.00021340003148847232,0.0006109802861347909,0.0001727984765372866,0.00045167894593376524,0.0001186207549936613,0.0002595250401967312,6.450953897014437e-05,8.874957425127086e-05,1.0487375696524178e-05,-3.470510791944632e-06
8,4.009173301254726,86776782.30233182,11006.069569061277,675.3760759990345,1.7578990475042138,0.14291673048308629,0.11799530309900012,0.009673515033339351,1.7884094504346701,641.055884489427,10.0,10.0,1000.0,10.0,10.0,1000.0,18.381423642917742,-1.2162462438662824e-05,-3.6687217913418486e-06,2.574257381231467e-05,-0.00022321594184368727,0.00012176621250338117,-0.0006032205008386607,0.00022520215034617808,-0.0010678150142108545,0.0003121608698840088,-0.0015233815653753432,0.0003677169243381575,-0.001877971771769936,0.00038746133381682365,-0.0020577541099616676,0.00037661526117065044,-0.002020018986038489,0.00034736326475956535,-0.0017603174436071779,0.00031495140534656735,-0.001312668926157074,0.00029319029842494863,-0.0007429662708753284,0.00029025690975649683,-0.0001368066364487584,0.00030593361617317936,0.0004161117209578454,0.0003313461639786599,0.00083825527381057,0.00035166455588838585,0.0010782024952245251,0.0003512205409331799,0.001119636459967375,0.0003194868536909661,0.0009836741224100646,0.0002558627625110947,0.0007241563682237972,0.00017152268379171034,0.0004169563872147905,8.780600608576562e-05,0.00014554429540996778,1.2030992794864927e-05,-4.023690417398116e-06
9,4.009173301254726,86776782.30233182,11006.069569061277,675.3760759990345,1.7578990475042138,0.14291673048308629,0.11799530309900012,0.009673515033339351,1.7884094504346701,641.055884489427,10.0,10.0,1000.0,10.0,10.0,1000.0,19.842700646188707,-1.3161616687540617e-05,-3.914913250708679e-06,4.1954762271209056e-05,-0.00028835355311615046,0.00016814109757669313,-0.000784238927222924,0.0003036833284436891,-0.0013903343542424425,0.00041747698101597355,-0.001983222302382172,0.0004901878541972369,-0.002441520041246601,0.0005160904376407878,-0.0026677986898178676,0.0005018871930876919,-0.0026059138065441323,0.0004633620572423269,-0.002250533191679579,0.0004204705890259546,-0.0016474476888515889,0.00039153729167678794,-0.000884831371968302,0.00038763413025950976,-7.706170017242476e-05,0.0004086855308446149,0.0006560870168354248,0.0004428712670630876,0.0012112052256186983,0.000470127659248596,0.0015199692612905217,0.0004691035035276587,0.001561244233916703,0.00042542587592394676,0.0013642247373686354,0.00033835330062862963,0.0010020924226550386,0.00022332230904907984,0.0005776328004301868,0.00010960556303266303,0.00020386298105307658,1.2986186966170475e-05,-4.389098541644383e-06
10,4.009173301254726,86776782.30233182,11006.069569061277,675.3760759990345,1.7578990475042138,0.14291673048308629,0.11799530309900012,0.009673515033339351,1.7884094504346701,641.055884489427,10.0,10.0,1000.0,10.0,10.0,1000.0,20.82904479723371,-1.3848779184648024e-05,-4.060738075074003e-06,5.909341509801566e-05,-0.00035327941733822454,0.00021539025020861412,-0.0009653013789942193,0.00038288081588436055,-0.0017133035424176074,0.0005233848450396645,-0.0024440031751414284,0.0006132831371024618,-0.003006510425167574,0.0006455301561710537,-0.003279735108078764,0.0006281629284890404,-0.003194044400209285,0.000580364126297574,-0.0027431753393417036,0.0005266792739532409,-0.0019846495700520353,0.0004899974064605195,-0.0010289017596140824,0.00048448778943652496,-1.9108975138341603e-05,0.0005104544483039708,0.0008948088572135137,0.000553264823659512,0.00158346161508053,0.0005875802319603916,0.001961522803142222,0.0005861924989811425,0.002002981437877837,0.0005307002136716169,0.001745105716474066,0.00042014839122864124,0.0012804473353956697,0.0002743058541526075,0.0007387355343068784,0.00013051477004923055,0.00026255504085314057,1.3629387011183128e-05,-4.654324499317425e-06
