时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.4075825279303782,53476213.78611018,4272.904227875348,321.4084436565299,2.4555721476918446,0.28436503298869603,0.03193727604515355,0.008815176698699698,2.540757178472553,1036.3700307431425,1.935868455527529,5.077727008324925,57.56021405977026,6.686571314823938,8.89787452462121,815.5484858801509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.4075825279303782,53476213.78611018,4272.904227875348,321.4084436565299,2.4555721476918446,0.28436503298869603,0.03193727604515355,0.008815176698699698,2.540757178472553,1036.3700307431425,1.935868455527529,5.077727008324925,57.56021405977026,6.686571314823938,8.89787452462121,815.5484858801509,3.6473880768509916,-4.955931316504985e-06,-8.681246385427607e-07,5.982472520154863e-08,-1.4361785589653561e-05,8.969926330580467e-06,-3.862921532485075e-05,1.871758082256037e-05,-6.825777589115355e-05,2.683837988769916e-05,-9.680716125376534e-05,3.182710462795495e-05,-0.0001180734230550771,3.330779165414249e-05,-0.00012726201165874222,3.193308726012609e-05,-0.0001218676398371085,2.9043393180394993e-05,-0.00010210321566239535,2.6181150808838455e-05,-7.081471205715672e-05,2.4585809773882574e-05,-3.2903983436925956e-05,2.4802945985403588e-05,5.629369899665472e-06,2.6519127374416104e-05,3.8847159485688615e-05,2.867911406080526e-05,6.201086327219435e-05,2.986121633246874e-05,7.2475371957876e-05,2.880236422537119e-05,7.015852520563375e-05,2.4907192320386678e-05,5.7492336396839446e-05,1.85687151530247e-05,3.886582625898462e-05,1.118013866195446e-05,1.967995301057542e-05,4.789630196693234e-06,5.205698262655768e-06,1.4195304994633955e-06,-4.95464826711272e-07
3,1.4075825279303782,53476213.78611018,4272.904227875348,321.4084436565299,2.4555721476918446,0.28436503298869603,0.03193727604515355,0.008815176698699698,2.540757178472553,1036.3700307431425,1.935868455527529,5.077727008324925,57.56021405977026,6.686571314823938,8.89787452462121,815.5484858801509,8.274466283303802,-1.1250097243617227e-05,-1.969772726369421e-06,2.601033444972094e-06,-3.827510924861184e-05,2.6996593777288376e-05,-0.00010406706395652906,5.370382151104476e-05,-0.00018462085810893808,7.597516153056905e-05,-0.0002622053475997108,8.965480819674147e-05,-0.00031963031453112033,9.36884385425108e-05,-0.0003435626050426381,8.986538639018601e-05,-0.00032702273028142355,8.188914272008742e-05,-0.00027061629835162574,7.403709930990855e-05,-0.00018231867224821892,6.975388496283566e-05,-7.587373818839402e-05,7.055002395615582e-05,3.1884762126481534e-05,7.552471840798789e-05,0.00012428663572354744,8.168268833504117e-05,0.0001880301295008369,8.498724155591727e-05,0.0002157067655598194,8.184812630281214e-05,0.00020713652421238424,7.057353788151749e-05,0.00016924557737010306,5.229314012530068e-05,0.00011451615702498392,3.1008278728478624e-05,5.8346842438395065e-05,1.2646748481199033e-05,1.5861104339716144e-05,3.220600844265031e-06,-1.1264727234462322e-06
4,1.4075825279303782,53476213.78611018,4272.904227875348,321.4084436565299,2.4555721476918446,0.28436503298869603,0.03193727604515355,0.008815176698699698,2.540757178472553,1036.3700307431425,1.935868455527529,5.077727008324925,57.56021405977026,6.686571314823938,8.89787452462121,815.5484858801509,13.307899357064134,-1.8108303094126667e-05,-3.1677608856057805e-06,1.1456416379646714e-05,-7.836594794307438e-05,6.294706872387259e-05,-0.00021574305849144596,0.00011930442688894208,-0.0003843770253488575,0.0001663260776370625,-0.0005466283994182159,0.00019519906174634264,-0.0006657859315008645,0.0002036510505588528,-0.000713281387027714,0.00019544434058430332,-0.0006741451462827511,0.00017844111217242737,-0.0005497295592561689,0.00016177533834058405,-0.000357296130108438,0.00015284225905228612,-0.00012659424134113778,0.00015489597497193365,0.00010591318875372835,0.0001659640962307609,0.00030409867013624114,0.00017948815952818819,0.00043914401679705255,0.0001866014548270003,0.0004950571568757886,0.00017940043807742213,0.0004716076284661586,0.00015416596075566662,0.0003840860684787432,0.00011342676884108286,0.0002599560553026897,6.609427394064093e-05,0.0001331361376083413,2.5432689669173502e-05,3.708490053283078e-05,5.179032691464488e-06,-1.818562095890814e-06
5,1.4075825279303782,53476213.78611018,4272.904227875348,321.4084436565299,2.4555721476918446,0.28436503298869603,0.03193727604515355,0.008815176698699698,2.540757178472553,1036.3700307431425,1.935868455527529,5.077727008324925,57.56021405977026,6.686571314823938,8.89787452462121,815.5484858801509,18.346674461517445,-2.4994061151551774e-05,-4.363663810753801e-06,3.670734657227196e-05,-0.00015649108798853207,0.00014271105961054147,-0.00043663160093180924,0.00025855944559843874,-0.0007812723100970517,0.00035523927080792923,-0.0011124493467953075,0.0004146529147593136,-0.0013537531822617097,0.0004320282043802523,-0.0014455758100057248,0.00041494628128041895,-0.0013566753063272074,0.0003795099908194934,-0.0010900016592192072,0.0003446511710140817,-0.0006819263481078928,0.00032591713977952444,-0.0001951392334253006,0.0003303285880690549,0.0002934492431804139,0.00035386942576782425,0.0007075739530114914,0.000382634580902344,0.0009864146187278263,0.00039760162907364667,0.0010963676718964582,0.00038170381644566623,0.0010373410267947617,0.00032689604625357115,0.0008422630211733727,0.00023870594064468798,0.0005699689684051428,0.0001365296931359232,0.00029306745854809147,4.9251134468353065e-05,8.330457058134282e-05,7.135147221003837e-06,-2.5257314982449085e-06
6,1.4075825279303782,53476213.78611018,4272.904227875348,321.4084436565299,2.4555721476918446,0.28436503298869603,0.03193727604515355,0.008815176698699698,2.540757178472553,1036.3700307431425,1.935868455527529,5.077727008324925,57.56021405977026,6.686571314823938,8.89787452462121,815.5484858801509,20.99510159988056,-2.8633962725888682e-05,-4.9872150191510995e-06,6.894247568864951e-05,-0.00024177630975190438,0.00023515962891086723,-0.0006798073626882299,0.0004165648710246496,-0.0012195029692085744,0.0005680467729229702,-0.001738107889766462,0.0006614176413395068,-0.0021150233066290435,0.0006890539201600974,-0.0022560406452422424,0.0006624275336857443,-0.002111718691698655,0.0006063952627079781,-0.001686665447549759,0.0005506043601638669,-0.001038396777595545,0.0005198558077704182,-0.0002661996624139812,0.0005258072058511347,0.0005079383546639781,0.0005625915246149082,0.0011628878078264045,0.0006082585564664541,0.001601965824986876,0.0006322517784630961,0.0017717959362165004,0.0006068897441122245,0.0016724293754704631,0.00051900777686556,0.0013565640890000723,0.00037748287461906397,0.0009181546891767441,0.00021368284126838005,0.00047305621825081913,7.425834444967192e-05,0.00013577895390844063,8.157801269921388e-06,-2.9134492650499163e-06
7,1.4075825279303782,53476213.78611018,4272.904227875348,321.4084436565299,2.4555721476918446,0.28436503298869603,0.03193727604515355,0.008815176698699698,2.540757178472553,1036.3700307431425,1.935868455527529,5.077727008324925,57.56021405977026,6.686571314823938,8.89787452462121,815.5484858801509,22.484760475578373,-3.070022385968157e-05,-5.333383772508536e-06,0.00010290157877891226,-0.0003269410275071954,0.00032925105753617637,-0.000923710842652602,0.0005760547178989302,-0.0016600555016062144,0.0007823715118261848,-0.0023682811503583714,0.0009100951260143571,-0.0028833378416316027,0.0009486295738959505,-0.003076117741533602,0.0009129380826352976,-0.0028786743175318484,0.0008361922097082114,-0.00229696815916022,0.0007585780478192397,-0.0014093840928138257,0.0007143891246422339,-0.000351631840299429,0.0007204629906289239,0.0007092154295014156,0.0007696179511022921,0.001606943975179404,0.000832080600704072,0.002208643929814483,0.0008655671643026063,0.0024407900021454834,0.0008313397699884822,0.0023033006449899533,0.0007107308062408328,0.0018684879808410484,0.0005158689499502141,0.0012653397764765385,0.00029027829416830754,0.0006529007193354252,9.864149366387731e-05,0.0001884508582525837,8.729035431275866e-06,-3.1446622403233192e-06
8,1.4075825279303782,53476213.78611018,4272.904227875348,321.4084436565299,2.4555721476918446,0.28436503298869603,0.03193727604515355,0.008815176698699698,2.540757178472553,1036.3700307431425,1.935868455527529,5.077727008324925,57.56021405977026,6.686571314823938,8.89787452462121,815.5484858801509,23.431507693558235,-3.203168265575089e-05,-5.549482315086626e-06,0.0001376247717334082,-0.0004121968616665514,0.00042394242567340886,-0.001168631562166574,0.0007359370638369218,-0.0021034164332301123,0.0009971164463482742,-0.0030038509949825063,0.001159632452911742,-0.0036602164483433017,0.0012097882291047136,-0.003908204466913313,0.0011656155486211124,-0.0036610041361835577,0.0010681258692169938,-0.0029255228757453285,0.0009678313621948541,-0.001800600607283266,0.0009087377848898316,-0.00045803597293040744,0.0009134182139752938,0.0008901554282975715,0.0009739590237888526,0.0020325630788759533,0.0010530509346822238,0.002799717657055001,0.0010965472269616596,0.0030975132655333667,0.001054235362704445,0.0029253260857341674,0.0009015378074376944,0.002374742704788921,0.0006536715580755871,0.0016094974766930423,0.00036641517902324646,0.0008315906347976347,0.0001226667605410392,0.0002409628577084429,9.089549588229239e-06,-3.3024123772401472e-06
9,1.4075825279303782,53476213.78611018,4272.904227875348,321.4084436565299,2.4555721476918446,0.28436503298869603,0.03193727604515355,0.008815176698699698,2.540757178472553,1036.3700307431425,1.935868455527529,5.077727008324925,57.56021405977026,6.686571314823938,8.89787452462121,815.5484858801509,24.080309835250358,-3.296225690314747e-05,-5.694154110104311e-06,0.00017272002170262975,-0.0004976067612923599,0.0005187927564839361,-0.001414635714556043,0.0008957322670385117,-0.002549713987475899,0.0012117808744569322,-0.0036451086883951427,0.0014095337281819235,-0.004446232680446348,0.0014720682667313174,-0.004753266524591015,0.001420055206469361,-0.00446014220466186,0.0013018520193698161,-0.003574256813582364,0.0011780590223002124,-0.0022144280291923036,0.0011025951263587581,-0.0005881402681835093,0.0011043249310562799,0.0010478547851013925,0.0011752093721282384,0.002436876538912234,0.001270728447874128,0.0033725641310568054,0.0013247700754095667,0.0037397585962981165,0.0012752402336683583,0.003536814065451898,0.0010912275918610482,0.002874169727102946,0.0007908360503410224,0.0019499426055551922,0.00044215436051384295,0.0010087962561945059,0.00014644954842266475,0.0002931968126212736,9.335145637323366e-06,-3.4197528416864056e-06
10,1.4075825279303782,53476213.78611018,4272.904227875348,321.4084436565299,2.4555721476918446,0.28436503298869603,0.03193727604515355,0.008815176698699698,2.540757178472553,1036.3700307431425,1.935868455527529,5.077727008324925,57.56021405977026,6.686571314823938,8.89787452462121,815.5484858801509,24.54737168210456,-3.3650416480619636e-05,-5.7952349641458246e-06,0.00020799119522096906,-0.0005831781503249528,0.000613564190183694,-0.0016616941581472536,0.0010551592973188932,-0.0029989078322229107,0.0014260469774374236,-0.004292060351283453,0.001659462279501231,-0.0052415130372890405,0.0017351418360807892,-0.005611622001742757,0.0016759660442115724,-0.005276651177261959,0.0015371313466308008,-0.004244002097176693,0.0013890653862482308,-0.002651957899774527,0.001295779938943721,-0.0007432453873145107,0.0012929807202488957,0.0011808934523305937,0.0013731242501116723,0.002818461020177297,0.0014848340518504289,0.003925874744495321,0.0015499580825165866,0.004366425938646472,0.0014941252435771968,0.00413692577006498,0.0012796554031293613,0.003366198861812307,0.0009273106388159071,0.0022863411086761066,0.000517516176682782,0.001184358795715634,0.00017004359245465975,0.00034509664001440305,9.511288156195556e-06,-3.512365332164233e-06
