时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.2529501820401667,53727599.355675824,854.7098208546086,270.6031960614099,2.15292432598764,0.34936839917355744,0.0354811455749914,0.007866236601493,2.2957534365565193,1022.9572866553459,6.536802161370041,3.1461670549838257,200.05928267670436,3.91499077858163,0.5621569723127386,259.4199686982357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.2529501820401667,53727599.355675824,854.7098208546086,270.6031960614099,2.15292432598764,0.34936839917355744,0.0354811455749914,0.007866236601493,2.2957534365565193,1022.9572866553459,6.536802161370041,3.1461670549838257,200.05928267670436,3.91499077858163,0.5621569723127386,259.4199686982357,8.200970293882627,-2.2416573724552493e-06,-3.0160015596326293e-06,5.942512797764004e-06,-1.936031344497029e-05,2.4044079309527237e-05,-5.401239421371343e-05,4.538848678880501e-05,-9.923918377562852e-05,6.41691999832551e-05,-0.0001448338432610124,7.646306551528198e-05,-0.0001803761117296599,8.089541169852178e-05,-0.00019735004555216276,7.861653500946385e-05,-0.00019083683742434794,7.259759875169031e-05,-0.00016045873214250492,6.647108095971503e-05,-0.00011043380858918334,6.324702671602323e-05,-4.872866926478684e-05,6.428068941329814e-05,1.4530855596587343e-05,6.881119730178909e-05,6.908683192781574e-05,7.42325431395319e-05,0.00010660467705673327,7.703112936366103e-05,0.00012232564374422753,7.410096509592169e-05,0.00011596362101908888,6.401000202602238e-05,9.166464254558276e-05,4.778523003537795e-05,5.704425200624313e-05,2.8935258217797103e-05,2.1538777531638015e-05,1.2585648137090571e-05,-5.591005968992911e-06,3.73764354140705e-06,-1.7032297767915402e-05
3,2.2529501820401667,53727599.355675824,854.7098208546086,270.6031960614099,2.15292432598764,0.34936839917355744,0.0354811455749914,0.007866236601493,2.2957534365565193,1022.9572866553459,6.536802161370041,3.1461670549838257,200.05928267670436,3.91499077858163,0.5621569723127386,259.4199686982357,18.225077682538405,-4.991849504799763e-06,-6.694392899781389e-06,2.0873081668486872e-05,-5.562419122001332e-05,7.667934668986363e-05,-0.00016093913455550267,0.00014245973287645313,-0.0002989518037638637,0.00020037786873140833,-0.0004380567236327336,0.00023826587682221283,-0.0005457397473829001,0.00025181585961502387,-0.0005953165040126505,0.0002445662361161744,-0.0005713389763402211,0.0002257613056854256,-0.00047264472751044434,0.0002067597088116273,-0.00031258125925805814,0.00019700902836398865,-0.00011636548538207209,0.0002007634490564045,8.393033383914217e-05,0.00021557708972682073,0.00025581108193789266,0.00023312353708788245,0.00037290638184327954,0.0002421663831098639,0.00042024340233163035,0.000232770291390813,0.00039710211753752413,0.00020037394652407575,0.00031686555265123066,0.00014831885416183988,0.00020393769926481221,8.791510092239724e-05,8.848724253887278e-05,3.5721678287564454e-05,1.1910880007497187e-07,8.308152066834957e-06,-3.7871807138686234e-05
4,2.2529501820401667,53727599.355675824,854.7098208546086,270.6031960614099,2.15292432598764,0.34936839917355744,0.0354811455749914,0.007866236601493,2.2957534365565193,1022.9572866553459,6.536802161370041,3.1461670549838257,200.05928267670436,3.91499077858163,0.5621569723127386,259.4199686982357,28.6412457683295,-7.883251818688933e-06,-1.0484000402497468e-05,6.491752174971307e-05,-0.00014033555855194155,0.0002174717698147449,-0.00042439510652105575,0.00039692260523705575,-0.0007980969693329268,0.0005549700844767111,-0.0011745985029134151,0.0006584184890840813,-0.001463966205981502,0.0006953275699892824,-0.0015921423086065522,0.0006751027278326186,-0.0015161818223276874,0.0006229039071389359,-0.0012329114513368634,0.0005700327655430953,-0.0007796831802420582,0.0005428888427059162,-0.00022713282212606415,0.0005536626506335188,0.00033476455191001686,0.0005957628652307497,0.0008147560632218673,0.0006457874797854012,0.001138847271350611,0.0006717954456628588,0.0012653011054060048,0.0006453795130015883,0.0011927290658406294,0.000553489076161343,0.0009595353719093079,0.00040577814639554654,0.0006350272877450456,0.00023470215490270778,0.00030445270010787996,8.769982537241754e-05,5.122134543647361e-05,1.3037435945385745e-05,-5.953201653596472e-05
5,2.2529501820401667,53727599.355675824,854.7098208546086,270.6031960614099,2.15292432598764,0.34936839917355744,0.0354811455749914,0.007866236601493,2.2957534365565193,1022.9572866553459,6.536802161370041,3.1461670549838257,200.05928267670436,3.91499077858163,0.5621569723127386,259.4199686982357,33.02631038113492,-9.138735049784626e-06,-1.204022371391465e-05,0.00011659267772959404,-0.0002309146175848808,0.00037646230888154116,-0.000713411700339692,0.0006816820400479166,-0.0013495934895931775,0.0009506762608512503,-0.001990979476725711,0.0011272795128848946,-0.002483376179093084,0.0011909492345926398,-0.0026996608528583013,0.0011569608247010293,-0.0025660140433381674,0.0010674014303688857,-0.0020767912947643272,0.0009754193704159467,-0.001295869261550849,0.0009266676898374377,-0.00034439575543818043,0.0009430971034303671,0.000622955906107441,0.0010143971002953514,0.0014489858277750027,0.0011006837503588311,0.0020060551747697474,0.0011465080767222257,0.0022222228699014432,0.0011020321233858861,0.002095349333758399,0.0009440897186054516,0.0016919918698016791,0.0006893285627519328,0.0011317678076980411,0.0003942830895023055,0.0005613625689035926,0.00014145543364884488,0.00012403815149401734,1.4996174544363402e-05,-6.862865118410022e-05
6,2.2529501820401667,53727599.355675824,854.7098208546086,270.6031960614099,2.15292432598764,0.34936839917355744,0.0354811455749914,0.007866236601493,2.2957534365565193,1022.9572866553459,6.536802161370041,3.1461670549838257,200.05928267670436,3.91499077858163,0.5621569723127386,259.4199686982357,35.23211087047357,-9.801752451433423e-06,-1.2791216385482227e-05,0.00016914373309978803,-0.00032081739764359,0.000536208538816393,-0.0010030433102812253,0.0009669160949094822,-0.0019043020355656115,0.0013469121898080512,-0.0028141959013100533,0.0015974400911957366,-0.0035138009596566975,0.0016891818995796854,-0.0038224746753394694,0.0016425201838534199,-0.003635108342127471,0.0015155598162105478,-0.002943135488353036,0.0013828612978056224,-0.001836451303491655,0.0013097330500161,-0.00048628822252650024,0.0013289568462910594,0.000888111886020857,0.0014276363411508425,0.002063313919939626,0.0015499512746042113,0.002857440921987807,0.001616642716850267,0.0031677303308763464,0.0015555844073022321,0.0029908743009060723,0.0013326905561347887,0.0024213535248812043,0.0009713269063470137,0.0016288676106300014,0.0005523754280378407,0.0008212031548611625,0.00019383213847797497,0.00020117848136104143,1.5955567817572328e-05,-7.318062917255919e-05
7,2.2529501820401667,53727599.355675824,854.7098208546086,270.6031960614099,2.15292432598764,0.34936839917355744,0.0354811455749914,0.007866236601493,2.2957534365565193,1022.9572866553459,6.536802161370041,3.1461670549838257,200.05928267670436,3.91499077858163,0.5621569723127386,259.4199686982357,36.54869932557341,-1.0223954188521545e-05,-1.3213472871079418e-05,0.0002220082135116044,-0.0004106441368640888,0.0006960165817104894,-0.0012939974760827334,0.0012518359884838989,-0.0024631449799850822,0.0017428468101352078,-0.0036455771309107637,0.0020681014859806348,-0.004557225452428207,0.0021893374824759897,-0.004963486378919651,0.0021312545828948365,-0.0047275126199036,0.0019670083417232453,-0.0038372804490572183,0.0017920681560626417,-0.002408062417440858,0.0016917529765954637,-0.0006605698909266352,0.0017107538957016346,0.0011217055092820308,0.0018347926088211452,0.0026489486329575114,0.001992765648698424,0.0036844954696767327,0.002081396664940478,0.004094073709485454,0.0020054490030999334,0.003872628933131941,0.0017190709994912151,0.0031421318004220353,0.0012519661099820454,0.0021219368676892916,0.0007095086837331376,0.0010804426656410133,0.0002455209614412002,0.000279657547935075,1.6508657061870877e-05,-7.587681791971507e-05
8,2.2529501820401667,53727599.355675824,854.7098208546086,270.6031960614099,2.15292432598764,0.34936839917355744,0.0354811455749914,0.007866236601493,2.2957534365565193,1022.9572866553459,6.536802161370041,3.1461670549838257,200.05928267670436,3.91499077858163,0.5621569723127386,259.4199686982357,37.41509223286412,-1.052504385202233e-05,-1.3469194741715691e-05,0.0002749806012774008,-0.0005005775331029858,0.0008556055397020707,-0.001586454709493276,0.001536083472187534,-0.00302634061917611,0.0021380557168557465,-0.0044854642745350325,0.0025388076222476004,-0.005614222733246681,0.0026909813374201303,-0.006123607481139312,0.0026228033176497554,-0.0058445602039993326,0.0024214859883779374,-0.004761029556714587,0.0022028590128273804,-0.0030129763418247236,0.0020725651456627533,-0.0008699191018177363,0.002088271177552699,0.001320795401827122,0.002235551765009925,0.003202884499329244,0.002428733959198421,0.004484357615808713,0.0025403734843624445,0.004998700091649168,0.002451323331438764,0.0047384560527169006,0.0021030959721141866,0.0038525734212074073,0.0015312949762578733,0.002609570951212586,0.0008658700509008718,0.0013379308716874358,0.00029676458281065063,0.0003584765603021409,1.6857509538779952e-05,-7.763286636388458e-05
9,2.2529501820401667,53727599.355675824,854.7098208546086,270.6031960614099,2.15292432598764,0.34936839917355744,0.0354811455749914,0.007866236601493,2.2957534365565193,1022.9572866553459,6.536802161370041,3.1461670549838257,200.05928267670436,3.91499077858163,0.5621569723127386,259.4199686982357,38.020459922473265,-1.075659994792916e-05,-1.362830081653666e-05,0.00032795799483173774,-0.0005906744531493226,0.001014805984057948,-0.0018804258190487223,0.0018194041557529905,-0.003593863913128892,0.0025321964531568038,-0.005333843243926539,0.0030091525967401076,-0.006684857969865357,0.0031936947378189548,-0.007303051643127017,0.00311679323175249,-0.006986670305115055,0.002878703930591854,-0.005715048696740734,0.0026150264325902005,-0.0036521254140179774,0.0024519969973153394,-0.0011155179048410377,0.0024613051486261114,0.0014840169999127966,0.002629633265466082,0.003723685146575809,0.002857502187377933,0.005255641376596471,0.002993199409146073,0.00588036989731676,0.002892890268376651,0.005587312483075916,0.002484566297717206,0.004551838272295687,0.001809250789752428,0.003091108790528022,0.0010215045748870114,0.0015931428229615926,0.00034765932720329126,0.00043719597732691463,1.7089270809025143e-05,-7.884346537535165e-05
10,2.2529501820401667,53727599.355675824,854.7098208546086,270.6031960614099,2.15292432598764,0.34936839917355744,0.0354811455749914,0.007866236601493,2.2957534365565193,1022.9572866553459,6.536802161370041,3.1461670549838257,200.05928267670436,3.91499077858163,0.5621569723127386,259.4199686982357,38.460283485758715,-1.0944642766039577e-05,-1.3726101829376093e-05,0.00038087674171549994,-0.0006809440185821108,0.001173492718188223,-0.0021758522003066747,0.002101586252907248,-0.004165580277883878,0.00292495953761706,-0.006190528947222526,0.0034787462525322746,-0.007768943877361366,0.003697053885902784,-0.008501683169421124,0.0036128284404479145,-0.0081538075800409,0.0033383428671202703,-0.006699446273662889,0.0030283380652611504,-0.004325797256366772,0.0028298676767415055,-0.001397846227285764,0.0028296640735488436,0.0016107249177038205,0.0030167824292996284,0.004210607169020325,0.003278743330682682,0.005997590032603214,0.003439514747367631,0.0067383840172308964,0.0033298241597531776,0.006418597143121342,0.0028632497024021187,0.005239436113221672,0.002085718923678314,0.0035661660227478426,0.0011763970652181595,0.0018457832895986358,0.0003982441342254132,0.0005155834001397008,1.724794995946781e-05,-7.970787354937021e-05
