时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.3579891677909094,15209434.059400758,-992.9198478096391,9.417748753717799,1.0744874810766623,0.11069917960401619,0.044123212715815055,0.002749214719614461,1.1041689806699349,1403.1965862409454,4.482083402235521,5.665034841905122,213.79842042085397,3.962398355189735,2.3756933555536497,171.57770255855678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.3579891677909094,15209434.059400758,-992.9198478096391,9.417748753717799,1.0744874810766623,0.11069917960401619,0.044123212715815055,0.002749214719614461,1.1041689806699349,1403.1965862409454,4.482083402235521,5.665034841905122,213.79842042085397,3.962398355189735,2.3756933555536497,171.57770255855678,6.302236021743518,-9.680896752709352e-07,-3.1143517167491595e-07,1.8977996405491107e-06,-9.74394410355247e-06,8.026858945942958e-06,-2.808034557923647e-05,1.4864087371158663e-05,-5.10591634580761e-05,2.066350085701584e-05,-7.352666377620421e-05,2.432437024644088e-05,-9.04608593958167e-05,2.5537656761609245e-05,-9.790058930756379e-05,2.4725898480180702e-05,-9.36685134538625e-05,2.2813021215562578e-05,-7.775042082431702e-05,2.0889313702676472e-05,-5.2271316158593576e-05,1.9855207602500842e-05,-2.1077279487359405e-05,2.013450993256123e-05,1.0997842810698698e-05,2.1536867220418258e-05,3.904618547527922e-05,2.3316133419468095e-05,5.9009691237258205e-05,2.4418249919909267e-05,6.843773067166467e-05,2.385235376759021e-05,6.693051418019469e-05,2.107301861933873e-05,5.618103850675764e-05,1.624862730763451e-05,3.960652860546549e-05,1.0321172721654067e-05,2.1645423509600626e-05,4.825734889155035e-06,6.851926896617848e-06,1.0923776606674403e-06,-7.656942462374515e-07
3,0.3579891677909094,15209434.059400758,-992.9198478096391,9.417748753717799,1.0744874810766623,0.11069917960401619,0.044123212715815055,0.002749214719614461,1.1041689806699349,1403.1965862409454,4.482083402235521,5.665034841905122,213.79842042085397,3.962398355189735,2.3756933555536497,171.57770255855678,14.331277428428029,-2.2027834815586987e-06,-7.061201068564484e-07,5.680107698799879e-06,-2.5715518720128717e-05,2.2075667159451864e-05,-7.452814007357562e-05,4.03707781059161e-05,-0.00013577704689293735,5.589947615354605e-05,-0.0001956616017221792,6.5708222100932e-05,-0.00024066903030794224,6.895913522036111e-05,-0.00026011113052441906,6.677722019769004e-05,-0.0002480999041376839,6.163977614818063e-05,-0.0002045907136320806,5.648056648496319e-05,-0.00013532994366038107,5.3730438885688645e-05,-5.073138692399363e-05,5.453763680438648e-05,3.61058024626569e-05,5.83864546120285e-05,0.00011187352333503894,6.32468464921728e-05,0.00016556368503165903,6.624379447580361e-05,0.0001905300004501959,6.466915130052938e-05,0.00018569873005785064,5.702940531622224e-05,0.000155689744126525,4.3785034329423454e-05,0.00010982407542017665,2.7519969220773953e-05,6.0224712789232e-05,1.24541776727575e-05,1.9372925816782623e-05,2.483263976057474e-06,-1.7450147422147988e-06
4,0.3579891677909094,15209434.059400758,-992.9198478096391,9.417748753717799,1.0744874810766623,0.11069917960401619,0.044123212715815055,0.002749214719614461,1.1041689806699349,1403.1965862409454,4.482083402235521,5.665034841905122,213.79842042085397,3.962398355189735,2.3756933555536497,171.57770255855678,23.253319132525274,-3.5774273530809804e-06,-1.1399187176527237e-06,1.298151044362004e-05,-5.155232505370707e-05,4.633969843850859e-05,-0.00015035728592874018,8.355487116119587e-05,-0.0002744768346644146,0.00011516023064058165,-0.0003958089054596736,0.00013514168330599596,-0.0004867009702643273,0.00014177220568846802,-0.0005252165265150359,0.00013731778427358775,-0.000499242371020374,0.00012681514537240653,-0.00040867312655628435,0.00011626173141729516,-0.0002653325129215191,0.00011065640779101702,-9.06800406986495e-05,0.00011238288219844995,8.826304903648324e-05,0.00012039414462497836,0.00024402222143243482,0.00013049188828961558,0.0003538603051453473,0.00013669853738671711,0.00040405479589652224,0.00013336385143256812,0.0003924191021602503,0.00011736352814017635,0.0003285678094162214,8.965915122028052e-05,0.00023187785096467426,5.5662672432610065e-05,0.00012757505938241817,2.4222709033839504e-05,4.1705283647481264e-05,4.026596338021063e-06,-2.841641680672214e-06
5,0.3579891677909094,15209434.059400758,-992.9198478096391,9.417748753717799,1.0744874810766623,0.11069917960401619,0.044123212715815055,0.002749214719614461,1.1041689806699349,1403.1965862409454,4.482083402235521,5.665034841905122,213.79842042085397,3.962398355189735,2.3756933555536497,171.57770255855678,33.961337778854485,-5.23453087683864e-06,-1.6453768771220003e-06,3.1467350773612334e-05,-0.00010801805777976481,0.00010252879429849588,-0.00031749098155087413,0.00018171818338965831,-0.0005809439437660448,0.0002490120585665012,-0.00083845474203066,0.00029165644588654167,-0.0010307391549938996,0.000305914662755471,-0.0011106092758948031,0.00029647615651403925,-0.001051923185060699,0.0002739549233904099,-0.0008543841068949116,0.0002511389615826551,-0.000543447291649132,0.00023884280561064922,-0.00016543679752567637,0.00024237345416932817,0.00022121206416184062,0.0002596295800317498,0.0005569956599077622,0.0002815639776532375,0.0007926195145141469,0.00029510214674241016,0.0008983348136178708,0.00028777893652911596,0.0008694692275130991,0.00025265346547031895,0.0007270363809294523,0.00019182187189347593,0.0005133229287626038,0.00011724015719447617,0.0002834037643086994,4.8450650672423566e-05,9.427162648904703e-05,5.8709451246482536e-06,-4.183146097044433e-06
6,0.3579891677909094,15209434.059400758,-992.9198478096391,9.417748753717799,1.0744874810766623,0.11069917960401619,0.044123212715815055,0.002749214719614461,1.1041689806699349,1403.1965862409454,4.482083402235521,5.665034841905122,213.79842042085397,3.962398355189735,2.3756933555536497,171.57770255855678,40.15782596765784,-6.202757564422578e-06,-1.917736336357643e-06,5.495290161791435e-05,-0.00017433927927573806,0.00017056187584763542,-0.0005148936679930925,0.0002992485862315387,-0.0009436635317486956,0.0004086981116284317,-0.0013630609044989425,0.00047831907061419434,-0.0016762142801266268,0.0005019429950590044,-0.0018058344287723033,0.00048688604611062765,-0.0017089518816758586,0.00045008188340155033,-0.0013848533299239876,0.0004122297005634583,-0.0008750132064521162,0.00039116290627380174,-0.00025519159097660857,0.00039598232926059895,0.0003788355541730935,0.0004236727635915393,0.0009293596809460854,0.0004595770710294791,0.0013153002283563104,0.000482070156317496,0.0014876445098213585,0.0004702959755279584,0.0014386356343732355,0.00041251296305451826,0.0012028164518704417,0.00031209897258408935,0.0008497679621299358,0.00018894495111847868,0.0004701520095053951,7.555499227951797e-05,0.00015789394941663834,6.927692021278187e-06,-4.9918921309051755e-06
7,0.3579891677909094,15209434.059400758,-992.9198478096391,9.417748753717799,1.0744874810766623,0.11069917960401619,0.044123212715815055,0.002749214719614461,1.1041689806699349,1403.1965862409454,4.482083402235521,5.665034841905122,213.79842042085397,3.962398355189735,2.3756933555536497,171.57770255855678,43.654888688195115,-6.757491124239881e-06,-2.0540218458381362e-06,7.91885435730815e-05,-0.00024084643104196307,0.00023939944026799763,-0.0007135061240528616,0.00041759251832188373,-0.0013093164875719397,0.0005693226135705265,-0.0018928870183284334,0.0006662768515265784,-0.0023294855713682683,0.0006997772277672033,-0.0025113911215438357,0.0006794904229716021,-0.00237847122889878,0.0006283523607886419,-0.0019292910062064365,0.0005748308938616516,-0.0012211086774412694,0.0005439346606942917,-0.00035900828235938063,0.000548952271860887,0.0005238322927487444,0.0005863700363501313,0.0012912563147549005,0.0006361232329624829,0.0018300302476910704,0.0006679244603208117,0.0020714952765232483,0.0006521964864025343,0.0020045140732150484,0.0005720701180920353,0.0016769922158360938,0.0004320766677360802,0.001185750510077736,0.0002601535921694672,0.0006570629826802723,0.0001019913879698682,0.00022189434068373409,7.515505891838806e-06,-5.4756655530281425e-06
8,0.3579891677909094,15209434.059400758,-992.9198478096391,9.417748753717799,1.0744874810766623,0.11069917960401619,0.044123212715815055,0.002749214719614461,1.1041689806699349,1403.1965862409454,4.482083402235521,5.665034841905122,213.79842042085397,3.962398355189735,2.3756933555536497,171.57770255855678,45.88164112156038,-7.118075289711161e-06,-2.126227947900746e-06,0.00010374443153481899,-0.0003075209864478239,0.0003084839102674765,-0.0009131270290002243,0.0005360758395746786,-0.0016775615721542963,0.000730132321107353,-0.0024275957708654243,0.000854751925238997,-0.0029904497084067075,0.0008986712548793881,-0.0032276894386550317,0.0008736143728795715,-0.003061681820152593,0.0008081692123108524,-0.002489905137705166,0.0007383920303166411,-0.001585051424630444,0.0006965966068993844,-0.000481262203829489,0.0007006525052834437,0.000650988766746784,0.0007469926416871675,0.001636997853117027,0.0008103983525816844,0.002331099155823198,0.0008518613212078464,0.002644614376041219,0.0008327856311478994,0.002562656972215798,0.0007308449781684525,0.002146187697121674,0.0005515556443879841,0.0015190289357431743,0.0003309460559707445,0.0008428999177436316,0.00012804386768931362,0.00028574758904377674,7.88324842320841e-06,-5.80614489598708e-06
9,0.3579891677909094,15209434.059400758,-992.9198478096391,9.417748753717799,1.0744874810766623,0.11069917960401619,0.044123212715815055,0.002749214719614461,1.1041689806699349,1403.1965862409454,4.482083402235521,5.665034841905122,213.79842042085397,3.962398355189735,2.3756933555536497,171.57770255855678,47.41450416119512,-7.3730227905189486e-06,-2.1633982746445707e-06,0.00012844766657798846,-0.0003743568504350398,0.0003775928519883616,-0.001113687574979155,0.000654430070279345,-0.002048299176812743,0.0008908246921262412,-0.002967127267526653,0.001043427982613812,-0.003659182917089183,0.0010983205521295058,-0.003955045054075683,0.0010689880691328096,-0.00375922877176419,0.0009893073774436627,-0.0030677285512862237,0.0009027233150614465,-0.001968273217738963,0.0008489674215491383,-0.0006237377648728846,0.0008508785600590629,0.000758272823085221,0.0009052940483022417,0.001964454906768441,0.0009821208675255006,0.0028164500242930136,0.0010335982264970968,0.0032051738838768115,0.0010118287189377624,0.0031115803771140666,0.0008886942011412127,0.0026093182812679024,0.0006705040725976435,0.001848907837805877,0.00040139061259383563,0.0010272872135757645,0.00015384275954269646,0.0003492866589120019,8.13133036399209e-06,-6.052630736079724e-06
10,0.3579891677909094,15209434.059400758,-992.9198478096391,9.417748753717799,1.0744874810766623,0.11069917960401619,0.044123212715815055,0.002749214719614461,1.1041689806699349,1403.1965862409454,4.482083402235521,5.665034841905122,213.79842042085397,3.962398355189735,2.3756933555536497,171.57770255855678,48.524103176558256,-7.563903955944534e-06,-2.1791774327247626e-06,0.00015321238443621052,-0.0004413407976953676,0.0004466075031512785,-0.0013151292238595706,0.0007725008648624322,-0.0024214439373242786,0.0010512136996461122,-0.003511412556588508,0.0012321003000543478,-0.004335690726596148,0.0012985225359964645,-0.0046935977559706705,0.0012654327067592684,-0.004471435479290529,0.0011716240499372653,-0.0036632979254655434,0.0010677133053334717,-0.002371526966857994,0.001000946363466411,-0.0007873751041467215,0.0009995140183515754,0.0008446185597516893,0.001061125038924075,0.002272521547781181,0.0011511119909920515,0.003285030101839871,0.0012129508462409425,0.003752255295711137,0.0011891701016470827,0.0036505540098638943,0.001045519613868313,0.0030658620693984114,0.0007888921714067896,0.002175060517752838,0.0004715155673775152,0.0012100526592045315,0.00017944949840588797,0.00041243589019319455,8.306914870445558e-06,-6.247665050197104e-06
