时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.054870649843232,54256892.58035851,-886.3442510398163,152.55458214750462,1.0658476849992886,0.12489419345504706,0.06265686518728597,0.005783827312465976,1.1036793030103063,658.1997736581791,4.607481074875198,1.940873004021098,240.7008300363848,1.2328489196889478,1.3180921874013123,249.54202598199913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.054870649843232,54256892.58035851,-886.3442510398163,152.55458214750462,1.0658476849992886,0.12489419345504706,0.06265686518728597,0.005783827312465976,1.1036793030103063,658.1997736581791,4.607481074875198,1.940873004021098,240.7008300363848,1.2328489196889478,1.3180921874013123,249.54202598199913,6.836417994835547,-4.121818980433719e-06,-4.528027003058455e-06,-1.232435677495252e-06,-2.1536226555678326e-05,8.338412355489868e-06,-4.850519223716911e-05,1.874382160283101e-05,-8.123220630911966e-05,2.7650691064331026e-05,-0.00011378567668039766,3.3596232939173174e-05,-0.00014051073017244415,3.613125500614829e-05,-0.00015691337508936254,3.573150307239416e-05,-0.000160344037225653,3.352075755158462e-05,-0.000150351119513818,3.087804948898265e-05,-0.00012865762220425626,2.9021638540583292e-05,-9.87718079160842e-05,2.8668746628793443e-05,-6.530489020663947e-05,2.9856293423918216e-05,-3.3117262745641116e-05,3.19714271576084e-05,-6.447109235474322e-06,3.398537655235887e-05,1.1818165160055047e-05,3.4823564532607004e-05,2.059076409763351e-05,3.375880055952614e-05,2.0668069885302578e-05,3.069981314122219e-05,1.4440114471999627e-05,2.627500752326421e-05,5.283581760100455e-06,2.1675716287731414e-05,-3.2479322779546806e-06,1.545875546088536e-05,-6.81185666973114e-06
3,3.054870649843232,54256892.58035851,-886.3442510398163,152.55458214750462,1.0658476849992886,0.12489419345504706,0.06265686518728597,0.005783827312465976,1.1036793030103063,658.1997736581791,4.607481074875198,1.940873004021098,240.7008300363848,1.2328489196889478,1.3180921874013123,249.54202598199913,15.91036362408635,-9.610944155039723e-06,-1.0526539741303747e-05,-1.0888539896784405e-06,-5.424440764427577e-05,2.4170446926831766e-05,-0.00012462205148427047,5.1698267070132684e-05,-0.0002103460494238305,7.52784442810325e-05,-0.0002955590400440453,9.096762204125584e-05,-0.00036493774192110476,9.753827591249131e-05,-0.00040621841355809095,9.627216739581504e-05,-0.00041215787939137923,9.022311488077179e-05,-0.0003815697051476533,8.314726215313673e-05,-0.0003192988730001111,7.835589248930501e-05,-0.00023516353931098661,7.776670445484094e-05,-0.00014206478467458292,8.13963418239825e-05,-5.360224420987266e-05,8.743911756079384e-05,1.8374087194894396e-05,9.292269866057117e-05,6.582437847426896e-05,9.475841790886774e-05,8.580450621386281e-05,9.086917878764039e-05,8.073859302564404e-05,8.103306089893635e-05,5.763572901687205e-05,6.715674930455892e-05,2.6429541835401247e-05,5.287353602087666e-05,-2.2461594578337476e-06,3.6008680225794486e-05,-1.588678915979585e-05
4,3.054870649843232,54256892.58035851,-886.3442510398163,152.55458214750462,1.0658476849992886,0.12489419345504706,0.06265686518728597,0.005783827312465976,1.1036793030103063,658.1997736581791,4.607481074875198,1.940873004021098,240.7008300363848,1.2328489196889478,1.3180921874013123,249.54202598199913,25.059934173320038,-1.517375629050193e-05,-1.6549316780290927e-05,2.709233927472966e-06,-9.565309944341803e-05,4.976934410447572e-05,-0.00022507979334876973,0.00010109196393029421,-0.0003831400116825178,0.00014501882549595635,-0.0005399062241067668,0.00017408986765471264,-0.0006661148729406027,0.0001859704889439505,-0.0007382151715214472,0.00018311266827209888,-0.0007423115882636861,0.00017137401538754683,-0.0006762873547572537,0.00015797034901388112,-0.0005498255147362513,0.00014924954028502314,-0.00038237641926918846,0.00014882498573535511,-0.00019945848213040186,0.00015655758894135276,-2.795265054757664e-05,0.00016869427666147373,0.00010876023169100051,0.00017916783683421693,0.00019491949378319366,0.0001817098559261132,0.00022498363631460457,0.00017214518283318795,0.00020422426143469039,0.00015013497534514233,0.00014722467582704352,0.00011978270916912436,7.46312286024489e-05,8.887918312248515e-05,8.78900569785331e-06,5.675912567229752e-05,-2.5094553475487962e-05
5,3.054870649843232,54256892.58035851,-886.3442510398163,152.55458214750462,1.0658476849992886,0.12489419345504706,0.06265686518728597,0.005783827312465976,1.1036793030103063,658.1997736581791,4.607481074875198,1.940873004021098,240.7008300363848,1.2328489196889478,1.3180921874013123,249.54202598199913,34.779398128146354,-2.1133582938370832e-05,-2.288200565066743e-05,1.545882656125164e-05,-0.00015971476992044422,9.966507176034836e-05,-0.00038773954667387664,0.0001913129099643501,-0.0006664390761481099,0.0002694935977018658,-0.0009414937828976785,0.000320777318297847,-0.0011592933951610179,0.00034099062211094414,-0.0012765681457292415,0.0003346711007498128,-0.0012679479060110825,0.0003126001409007799,-0.001130095188368836,0.0002880732170881654,-0.0008818482451073381,0.00027277356531227017,-0.0005604505918331171,0.00027324087960991475,-0.0002145753570567985,0.0002888854138229627,0.000104622275928255,0.0003121964315481675,0.00035281491335878293,0.00033122227950175756,0.0005004424704679768,0.00033369085253408585,0.000537760560419963,0.00031154274497464365,0.00047603765137633,0.00026441541195564293,0.00034471615328134726,0.00020089390801848267,0.00018519897669336876,0.0001370613801532941,4.250212467571861e-05,7.881285018204048e-05,-3.499024586589357e-05
6,3.054870649843232,54256892.58035851,-886.3442510398163,152.55458214750462,1.0658476849992886,0.12489419345504706,0.06265686518728597,0.005783827312465976,1.1036793030103063,658.1997736581791,4.607481074875198,1.940873004021098,240.7008300363848,1.2328489196889478,1.3180921874013123,249.54202598199913,43.26847242926295,-2.643179060628091e-05,-2.826274505919242e-05,4.589454552320264e-05,-0.00026023644477896074,0.00019310124079454573,-0.0006533907647489073,0.0003525026403289552,-0.0011331939722236718,0.00048771896468117337,-0.0016033400551754423,0.000575471995703044,-0.0019684094819408336,0.000608653645814054,-0.002151503576100371,0.0005953939428254602,-0.002108089641803685,0.0005548336812482593,-0.0018335998923605502,0.0005106545876847813,-0.0013637429670193715,0.00048375758348967164,-0.0007676593529615413,0.0004857940041488088,-0.0001351703864181281,0.000515339688313205,0.0004396739067676704,0.0005580813150726642,0.0008758149818277901,0.0005913518759318131,0.0011199435576406986,0.0005919365443352746,0.0011559010304816283,0.0005447991438431106,0.0010068694819305036,0.0004498303122826267,0.0007300010104164338,0.0003242397125073595,0.0004047524306494277,0.00019965976955655607,0.00011732484884390332,9.803171495208595e-05,-4.3854660710931764e-05
7,3.054870649843232,54256892.58035851,-886.3442510398163,152.55458214750462,1.0658476849992886,0.12489419345504706,0.06265686518728597,0.005783827312465976,1.1036793030103063,658.1997736581791,4.607481074875198,1.940873004021098,240.7008300363848,1.2328489196889478,1.3180921874013123,249.54202598199913,47.628633917626004,-2.9239864475688505e-05,-3.0872010282195924e-05,8.086722071886392e-05,-0.0003568002125114308,0.00029081958312725524,-0.0009143037520376354,0.0005172075404749458,-0.001593644449358104,0.0007085193777681852,-0.0022562512923459815,0.0008319773149115049,-0.0027648050076605583,0.0008776558496206194,-0.003008929485194447,0.0008571145841505389,-0.0029252963608235294,0.0007975688603632853,-0.002508615752577227,0.0007329187311708394,-0.0018120379822364357,0.0006933754463996375,-0.0009371811019765932,0.0006959972876566016,-1.55630639977688e-05,0.0007388006817556216,0.000815421299782097,0.0008006931371759167,0.0014377424543913263,0.000847996741824236,0.001774436482117497,0.0008461029302003198,0.0018034187393986267,0.0007726940582490799,0.0015605959406799054,0.0006279992183750709,0.0011317735089258702,0.00043834297664093906,0.0006353121628665618,0.00025155781013971374,0.00019919690419048375,0.00010784014775125208,-4.861285727450894e-05
8,3.054870649843232,54256892.58035851,-886.3442510398163,152.55458214750462,1.0658476849992886,0.12489419345504706,0.06265686518728597,0.005783827312465976,1.1036793030103063,658.1997736581791,4.607481074875198,1.940873004021098,240.7008300363848,1.2328489196889478,1.3180921874013123,249.54202598199913,50.249581940512336,-3.0999070926435805e-05,-3.231119762073798e-05,0.00011778646371828988,-0.0004520801989670191,0.0003903186221669388,-0.0011744192119271636,0.0006832563126465518,-0.0020538424469474007,0.000930247080964744,-0.002909309797374525,0.001089273396216287,-0.003561470686097501,0.001147597050472184,-0.0038664532122900256,0.001119928143962556,-0.0037422000242802794,0.001041176431085915,-0.0031827897177067574,0.0009552446363732654,-0.002258883465495838,0.0009017690065738104,-0.0011046258981530453,0.0009036113025322741,0.00010670416961584906,0.000958672596699409,0.001194264951893296,0.0010393060413143769,0.0020029464984616815,0.001100706780335316,0.0024320873287085394,0.0010965198518482699,0.0024537546978657906,0.000996812154257936,0.002116752723647926,0.0008020622515215374,0.0015357065209953508,0.0005479039001678459,0.00086793925461816,0.0002986698870700041,0.0002831525847334368,0.00011368630244523899,-5.163480573085339e-05
9,3.054870649843232,54256892.58035851,-886.3442510398163,152.55458214750462,1.0658476849992886,0.12489419345504706,0.06265686518728597,0.005783827312465976,1.1036793030103063,658.1997736581791,4.607481074875198,1.940873004021098,240.7008300363848,1.2328489196889478,1.3180921874013123,249.54202598199913,51.98574500089091,-3.2226079382067454e-05,-3.3153479493000934e-05,0.0001556932407704548,-0.000546968548803422,0.00049064774564725,-0.0014350429258925554,0.0008498202570315829,-0.002515906519248921,0.0011522917438847148,-0.0035658939531233147,0.0013470232211844197,-0.004363450674877846,0.001418415911004734,-0.004731067890541891,0.0013839989656720974,-0.004567841191822819,0.0012859551898887819,-0.003867087906440961,0.0011779550916396879,-0.0027168220857657294,0.0011091862589564076,-0.0012835595084150584,0.0011087561660839324,0.00021774627916839646,0.0011749670898559981,0.0015627701858969016,0.0012739227354121817,0.002559172953687867,0.0013496362925731838,0.0030824070019851383,0.0013436712177407428,0.003098539560966328,0.0012181066733943926,0.002669169931733669,0.0009734936685400474,0.0019376364513297964,0.000654856170570956,0.0011000616763607363,0.0003432271081057532,0.00036766985378474976,0.00011752333366817014,-5.377015698227678e-05
10,3.054870649843232,54256892.58035851,-886.3442510398163,152.55458214750462,1.0658476849992886,0.12489419345504706,0.06265686518728597,0.005783827312465976,1.1036793030103063,658.1997736581791,4.607481074875198,1.940873004021098,240.7008300363848,1.2328489196889478,1.3180921874013123,249.54202598199913,53.209578418268634,-3.314641909468896e-05,-3.364897951051353e-05,0.00019414680404295672,-0.0006418071944303693,0.0005913398513474777,-0.0016966369586518578,0.0010164580923906494,-0.0029806150484423125,0.0013742890096800414,-0.004227336943936827,0.001604976675213129,-0.005172857929846199,0.0016899927157697453,-0.0056058259940682045,0.0016493287023201888,-0.005406269042486057,0.0015319941844275922,-0.004566492577647724,0.0014011745830258913,-0.003191584763026458,0.0013157323522776192,-0.0014801724774195473,0.0013114811070875296,0.0003112741195646659,0.0013876785003728892,0.0019149331486547935,0.001504529209245796,0.003101050622856484,0.0015948446270958054,0.0037209118079669016,0.0015877797544109386,0.0037343019439290536,0.0014370286302165134,0.0032153726911539606,0.0011429862237196692,0.002335945080325821,0.0007600886559195096,0.0013306934024330899,0.0003862264545181642,0.0004521419328022121,0.0001202040862615677,-5.538983090048964e-05
11,3.054870649843232,54256892.58035851,-886.3442510398163,152.55458214750462,1.0658476849992886,0.12489419345504706,0.06265686518728597,0.005783827312465976,1.1036793030103063,658.1997736581791,4.607481074875198,1.940873004021098,240.7008300363848,1.2328489196889478,1.3180921874013123,249.54202598199913,54.1086104011978,-3.3873727015962323e-05,-3.392377852819341e-05,0.0002329107629762445,-0.0007367386257908585,0.0006921225429958428,-0.0019593612138876027,0.0011828845488894766,-0.0034482502613864922,0.001595968871703574,-0.00489418403168379,0.0018629065982885763,-0.005990641287567592,0.0019621650744188414,-0.006492185688419971,0.001915829505816775,-0.006259497198222444,0.0017792719273061828,-0.0052835476475019275,0.0016249210896109399,-0.0036861489660436073,0.0015214269959489758,-0.0016977159640748152,0.001511774920326845,0.0003839678149101145,0.0015967548897428572,0.002247585912375756,0.0017310556704884209,0.003625762264443209,0.0018362947429208887,0.004345276470923865,0.0018289003943074054,0.0043592704627661944,0.0016537681168916265,0.0037541234282397725,0.0013108735810778867,0.0027298409171539048,0.000864048337964773,0.0015593598718031839,0.0004281731362036144,0.0005362739882220984,0.00012215852389600522,-5.66807268945407e-05
