时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,4.6822157295643985,164780577.18518245,21359.735290488898,2178.6964784334186,2.280360592939278,0.20890854924537164,0.11853206066785742,0.01261939364608066,2.3304150196422393,640.8965220971721,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.6822157295643985,164780577.18518245,21359.735290488898,2178.6964784334186,2.280360592939278,0.20890854924537164,0.11853206066785742,0.01261939364608066,2.3304150196422393,640.8965220971721,10.0,10.0,0.0,10.0,10.0,0.0,1.3392905096663403,-1.0302479508414461e-06,-3.7424790852548393e-07,-1.1331382163132202e-05,2.260698662760844e-05,-1.8741418717581192e-05,4.401245444544576e-05,-2.3985409230993424e-05,6.0562322907168974e-05,-2.687606298589193e-05,7.004879560473661e-05,-2.7649821049637847e-05,7.103083867944798e-05,-2.6871832925085007e-05,6.298526945573172e-05,-2.5296924427302183e-05,4.636266845030643e-05,-2.370948313988667e-05,2.2544365258049944e-05,-2.276901403036445e-05,-6.296068283311586e-06,-2.2886099890043276e-05,-3.7411672636020394e-05,-2.4147045368115204e-05,-6.775832437737766e-05,-2.629670033307146e-05,-9.429962870453762e-05,-2.877947606352583e-05,-0.00011430969816926713,-3.0830076199790145e-05,-0.0001256441103627068,-3.159914590421151e-05,-0.00012695324106822006,-3.0295362576955425e-05,-0.00011781779233614671,-2.6324477391199828e-05,-9.879405956091039e-05,-1.9406693485690538e-05,-7.136292374081149e-05,-9.654107040809407e-06,-3.7788700793464184e-05,1.0300350469614222e-06,-3.7484822748655036e-07
3,4.6822157295643985,164780577.18518245,21359.735290488898,2178.6964784334186,2.280360592939278,0.20890854924537164,0.11853206066785742,0.01261939364608066,2.3304150196422393,640.8965220971721,10.0,10.0,0.0,10.0,10.0,0.0,3.0432031161411044,-2.342304496858904e-06,-8.503753556522791e-07,-3.0282272942854867e-05,6.405219001977912e-05,-5.0822103648163574e-05,0.00012423077138508,-6.53442717624946e-05,0.0001710359714769643,-7.335630267016203e-05,0.00019848134614690161,-7.551699273631123e-05,0.00020265091678643975,-7.337956847262316e-05,0.0001821124748910177,-6.901279611550556e-05,0.00013807316908938199,-6.456428641488949e-05,7.426538434591299e-05,-6.18398861244068e-05,-3.427587413098024e-06,-6.196706708524006e-05,-8.756500200659253e-05,-6.519205618721575e-05,-0.00016989834413754098,-7.083588570963006e-05,-0.00024219884223510124,-7.740833782087669e-05,-0.0002970789139348147,-8.285565610057028e-05,-0.00032872685340149156,-8.49011173081544e-05,-0.00033348487597849964,-8.142824105437798e-05,-0.000310216086679514,-7.08543286717433e-05,-0.00026042657382204795,-5.244499993445587e-05,-0.00018812677299343187,-2.6522224172711462e-05,-9.944743208316612e-05,2.3417277253147126e-06,-8.518826383341467e-07
4,4.6822157295643985,164780577.18518245,21359.735290488898,2178.6964784334186,2.280360592939278,0.20890854924537164,0.11853206066785742,0.01261939364608066,2.3304150196422393,640.8965220971721,10.0,10.0,0.0,10.0,10.0,0.0,4.887081071184761,-3.7640462252008008e-06,-1.3655408523835332e-06,-6.0506037356693456e-05,0.000135946287388479,-0.00010318365898092082,0.00026267487542785067,-0.00013331655262120858,0.00036179617624773885,-0.00014993976697470616,0.0004211581416466384,-0.00015443631353058887,0.0004327941424154296,-0.00015001498755198332,0.0003937705801384383,-0.0001409332673481841,0.00030651193642207625,-0.00013160158320739933,0.00017857432549074154,-0.00012572325739604803,2.1887132502528327e-05,-0.00012561064884532029,-0.00014845347916952404,-0.00013177886861922671,-0.00031570961553361877,-0.00014286609220770882,-0.00046318431623950887,-0.0001558747017683658,-0.0005758902842103352,-0.00016668040341633386,-0.0006420406580307788,-0.00017072365646638276,-0.000654220482372282,-0.0001637810900323417,-0.0006101293942652475,-0.00014271261191245677,-0.0005128271173241694,-0.00010608784174202503,-0.0003704505939799005,-5.460126654366776e-05,-0.00019543081872014413,3.762876513638948e-06,-1.368336623824173e-06
5,4.6822157295643985,164780577.18518245,21359.735290488898,2178.6964784334186,2.280360592939278,0.20890854924537164,0.11853206066785742,0.01261939364608066,2.3304150196422393,640.8965220971721,10.0,10.0,0.0,10.0,10.0,0.0,6.97938748001364,-5.380803144836654e-06,-1.949811304210404e-06,-0.00012095906476405178,0.00028965553963470735,-0.0002100827655364071,0.0005574246095360634,-0.00027285340926418297,0.0007679299355121912,-0.0003073915375436648,0.0008964363256935953,-0.0003166535824414638,0.0009266932609399906,-0.00030735335023683374,0.0008526848255766134,-0.00028834130433714447,0.0006793154747611204,-0.00026874002481192303,0.0004219594527187184,-0.00025616724321379645,0.00010491420940887462,-0.0002553431376047559,-0.0002410686096359765,-0.00026728894513980753,-0.000581903176114887,-0.00028920716607124946,-0.0008836059364579556,-0.0003150156774116674,-0.0011156953589418692,-0.0003364118102876831,-0.001254221408268451,-0.00034428127236248797,-0.0012841403513669106,-0.0003302424362076643,-0.0012008166324058813,-0.0002881221834180265,-0.0010105143813170295,-0.00021518291121517882,-0.0007298173042263808,-0.00011293711396907771,-0.0003840256714665855,5.378424440682199e-06,-1.9548978801812833e-06
6,4.6822157295643985,164780577.18518245,21359.735290488898,2178.6964784334186,2.280360592939278,0.20890854924537164,0.11853206066785742,0.01261939364608066,2.3304150196422393,640.8965220971721,10.0,10.0,0.0,10.0,10.0,0.0,8.414583879133007,-6.4945416230609814e-06,-2.3500207354866648e-06,-0.00020336883884553464,0.0005063044474764874,-0.00035767316346216733,0.0009716986286118041,-0.00046600846019413385,0.0013383555657015783,-0.0005252862016472991,0.0015641652842093964,-0.0005407989088460906,0.0016214322829685302,-0.0005243298118311473,0.0014998983042848147,-0.0004912937214243048,0.0012079467210092888,-0.00045746179943472126,0.0007718435133652732,-0.00043587454464083904,0.00023308421149395337,-0.0004344722700159942,-0.000355847775203112,-0.0004547955984610721,-0.0009368314492828725,-0.0004918855849702333,-0.001451982383354308,-0.0005352976706393184,-0.0018494427927697222,-0.0005709797355792932,-0.0020885231526695494,-0.000583674448516465,-0.0021437212079596607,-0.0005594876294356237,-0.002007258118661565,-0.000488297089447099,-0.0016899028432609629,-0.0003657324623307928,-0.0012199820637712022,-0.00019449166732990494,-0.0006406444018761944,6.4904940335275895e-06,-2.3579849214471347e-06
7,4.6822157295643985,164780577.18518245,21359.735290488898,2178.6964784334186,2.280360592939278,0.20890854924537164,0.11853206066785742,0.01261939364608066,2.3304150196422393,640.8965220971721,10.0,10.0,0.0,10.0,10.0,0.0,9.200641668879168,-7.109456185024282e-06,-2.5686731785905602e-06,-0.00028543445044599305,0.0007233576326581881,-0.0005054206709557943,0.001386067291017318,-0.0006593986209426752,0.001908263702342741,-0.0007431059410686294,0.0022304265637220736,-0.0007643439482386671,0.0023133964963082485,-0.0007402181508126092,0.002142702009561163,-0.0006929503656973046,0.001730302417585549,-0.0006451044158525232,0.001113516206472531,-0.0006151362284418731,0.0003512342658201949,-0.0006140499876534154,-0.0004821338053179252,-0.0006436571181627149,-0.001304276266407268,-0.0006965856055907945,-0.0020333118489744293,-0.0007578626410439406,-0.002595972202642334,-0.0008076627640603951,-0.002934844103887228,-0.0008247072359568782,-0.0030140171986074776,-0.0007898071647061848,-0.002822643957846739,-0.0006891220617354255,-0.0023760952337791895,-0.0005168068151375003,-0.0017145653907242543,-0.00027677531055380483,-0.0008992072878735961,7.103736783086557e-06,-2.5794064380144886e-06
8,4.6822157295643985,164780577.18518245,21359.735290488898,2178.6964784334186,2.280360592939278,0.20890854924537164,0.11853206066785742,0.01261939364608066,2.3304150196422393,640.8965220971721,10.0,10.0,0.0,10.0,10.0,0.0,9.690545323240586,-7.49772834095439e-06,-2.7044899565270392e-06,-0.0003669212822714274,0.0009378319595940471,-0.0006524062300979839,0.001795052183197927,-0.000851623728127141,0.0024700425449894503,-0.0009591728909868743,0.0028859300230496274,-0.0009855168323595026,0.002992137399684132,-0.0009532992137548832,0.0027700388952019745,-0.0008917431419248765,0.002235257228987317,-0.0008302971645867154,0.0014362748244896538,-0.0007927779121277698,0.00044949004756777674,-0.0007930616804394045,-0.0006286790596738779,-0.0008329631663015671,-0.0016917006419772832,-0.0009024443032757499,-0.0026337255996821984,-0.0009818517435854165,-0.0033601496591903323,-0.0010455855735117061,-0.00379693280600813,-0.001066492159170995,-0.003897852932480575,-0.0010203255795297784,-0.003649076448681447,-0.0008897667661617671,-0.0030706447534942006,-0.0006676481667685865,-0.002214684455609391,-0.0003591081168958242,-0.0011604250341053994,7.490344182381731e-06,-2.7179464930229455e-06
9,4.6822157295643985,164780577.18518245,21359.735290488898,2178.6964784334186,2.280360592939278,0.20890854924537164,0.11853206066785742,0.01261939364608066,2.3304150196422393,640.8965220971721,10.0,10.0,0.0,10.0,10.0,0.0,10.021823673148543,-7.76549096034811e-06,-2.7959380605370394e-06,-0.0004477410417583569,0.0011487012593138363,-0.0007982760470564962,0.002196780242842506,-0.0010421442028466675,0.0030210918367414644,-0.0011728426434288882,0.0035274954411114107,-0.0012036414548214844,0.0036540614750887037,-0.001162922585502119,0.0033780782487573806,-0.0010870838934486033,0.002718917199211939,-0.0010125286001561697,0.0017363216072091526,-0.000968359954018651,0.0005242831740603479,-0.000971121358477685,-0.0007987246598406938,-0.0010223579462679386,-0.002101960137827549,-0.0011091150092718044,-0.003255673436925998,-0.0012069143347026932,-0.004144030364264718,-0.0012843907518182147,-0.004676482258419012,-0.0013086715507350684,-0.0047966015978068615,-0.0012506971358950025,-0.004487650652048232,-0.0010899100748091172,-0.003774399957850684,-0.0008179675988521551,-0.0027209549696379292,-0.0004412306400576871,-0.0014246703377284401,7.756453097192285e-06,-2.812099772826407e-06
10,4.6822157295643985,164780577.18518245,21359.735290488898,2178.6964784334186,2.280360592939278,0.20890854924537164,0.11853206066785742,0.01261939364608066,2.3304150196422393,640.8965220971721,10.0,10.0,0.0,10.0,10.0,0.0,10.25739502890173,-7.961330012918553e-06,-2.8606163546331804e-06,-0.0005278144177129001,0.001355476423833354,-0.0009427954417206336,0.002590355687894994,-0.0012306150715484263,0.0035601656720682415,-0.001383707456789099,0.00415359698032928,-0.0014182912449551587,0.00429744297385817,-0.001368677756555812,0.003964979783544585,-0.0012786001853156178,0.003179412868600763,-0.001191472117640482,0.0020118370202114326,-0.0011415965172174932,0.000573910358202049,-0.0011479701138398287,-0.000993809454822783,-0.0012115924709328004,-0.002536401730522162,-0.0013163441441673162,-0.003900302806836849,-0.001432784463547449,-0.004948570219724346,-0.0015238008191760647,-0.0055742746374832525,-0.0015509652506599395,-0.005710893467877907,-0.0014806531953970112,-0.0053388659188850695,-0.0012893105384751268,-0.004487745543767268,-0.0009675637038959152,-0.0032336550886418675,-0.0005229875481556426,-0.0016921117096525189,7.950652270992586e-06,-2.8794795360907338e-06
