时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.3276486327878341,6140616.103876112,260.1313214133696,4.024085644140921,0.9293715825856861,0.27998882136383,0.01650254750757642,0.002805272544041306,1.1206914852608754,1384.3899513769704,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.3276486327878341,6140616.103876112,260.1313214133696,4.024085644140921,0.9293715825856861,0.27998882136383,0.01650254750757642,0.002805272544041306,1.1206914852608754,1384.3899513769704,10.0,10.0,0.0,10.0,10.0,0.0,22.308980922527326,-6.411233978239337e-07,-7.694343756930382e-07,-0.00016554904266042483,0.00013843438389927508,-0.0003086203736246953,0.0002707916431747993,-0.0004170358757180108,0.00038184929933873806,-0.0004840886697880975,0.0004590204684439587,-0.0005099345291004002,0.0004926415374999442,-0.0005012909743291914,0.00047697573299025457,-0.00047017019443311583,0.0004110427150144715,-0.00043177629381305384,0.0002993535923887632,-0.00040142773775499955,0.00015231600403768183,-0.00039071887658336343,-1.423484721078291e-05,-0.00040397199686446867,-0.00018104166089724102,-0.0004367380497973807,-0.00032879561564074736,-0.0004773042349405052,-0.0004414871432035877,-0.0005102419654562311,-0.0005083664352879275,-0.0005202256909803507,-0.0005243876376508715,-0.0004950568440581098,-0.000489829815176936,-0.0004277120356660361,-0.0004096946176404761,-0.0003175017373958504,-0.0002929818588022247,-0.0001705054361991852,-0.00015190335375017596,6.409964197423846e-07,-7.682082992842981e-07
3,0.3276486327878341,6140616.103876112,260.1313214133696,4.024085644140921,0.9293715825856861,0.27998882136383,0.01650254750757642,0.002805272544041306,1.1206914852608754,1384.3899513769704,10.0,10.0,0.0,10.0,10.0,0.0,41.64795828619848,-1.197368603388246e-06,-1.440938108091071e-06,-0.0008128767413843158,0.0006779177164316044,-0.0015155766278564257,0.0013223393746963187,-0.002046558871251897,0.0018631450527557805,-0.002373409261687774,0.002239115433739195,-0.0024974394950911124,0.002402268513217405,-0.0024522383281494675,0.00232335847334492,-0.002297555875865499,0.0019967526843282166,-0.002108767625306091,0.0014445508478457933,-0.0019614046498127907,0.000718764844054224,-0.0019119198845425713,-0.00010129644894954925,-0.001980169104863066,-0.0009196008550262699,-0.0021424945938166786,-0.0016407093123111955,-0.0023399848619011913,-0.002186551183662286,-0.0024966731372376974,-0.0025057881383835604,-0.002538569119551472,-0.002575414140778797,-0.00240822486319707,-0.002398382159777173,-0.0020740781301794714,-0.002000352311375258,-0.0015353725890398775,-0.0014262327265951752,-0.0008233114028609133,-0.0007363794459340042,1.1967393903592486e-06,-1.4296754216427493e-06
4,0.3276486327878341,6140616.103876112,260.1313214133696,4.024085644140921,0.9293715825856861,0.27998882136383,0.01650254750757642,0.002805272544041306,1.1206914852608754,1384.3899513769704,10.0,10.0,0.0,10.0,10.0,0.0,46.36477988450645,-1.3337191885200748e-06,-1.6094180451016595e-06,-0.0014979954095476439,0.0012342458940998874,-0.0027923171378150015,0.002406719733169869,-0.0037679702424340813,0.003391063274316256,-0.004365462260753938,0.004074530381999204,-0.004588320896168849,0.004367622250718202,-0.0045001475274035075,0.004215087710128389,-0.004212865209301749,0.0036058337565051924,-0.003866608088283048,0.0025809899566864173,-0.0036005999601376164,0.0012378122112178458,-0.0035174434987407265,-0.000275836962547709,-0.0036511804634723273,-0.0017819122746805726,-0.003955497301912638,-0.0031046953880204593,-0.004320069917605706,-0.004101564519805832,-0.004604816988987605,-0.004679525309368513,-0.004675001866955443,-0.004797382340485063,-0.004427507780268196,-0.0044609810906697895,-0.0038071261363600423,-0.003717328125422911,-0.002814680191168331,-0.0026487641762166438,-0.001508299883609773,-0.001366513251618941,1.332558335012692e-06,-1.5863385711127352e-06
5,0.3276486327878341,6140616.103876112,260.1313214133696,4.024085644140921,0.9293715825856861,0.27998882136383,0.01650254750757642,0.002805272544041306,1.1206914852608754,1384.3899513769704,10.0,10.0,0.0,10.0,10.0,0.0,48.406204624110806,-1.3934696448891882e-06,-1.6857919637021304e-06,-0.0021825784535924805,0.0017740917003171487,-0.004067292989149814,0.003459879885018992,-0.005484748584931415,0.004875889034556308,-0.006348395115365238,0.005857633799260494,-0.006664957553180008,0.0062730779194887605,-0.00652968038422114,0.006039884293389587,-0.006108336422072964,0.005141043087349445,-0.005606841123848824,0.00363716800743079,-0.005227956503240257,0.001671883607694291,-0.005119007139741132,-0.0005372541720281268,-0.00532598128336288,-0.002729729866667384,-0.005777724796480072,-0.004650041300206059,-0.006311206360309327,-0.006092107426892468,-0.006722229984349989,-0.006922263251353269,-0.006816489267869034,-0.0070814319344249645,-0.00644705590312809,-0.006577848533110813,-0.005536931523137243,-0.005478881757398583,-0.0040897091644903575,-0.003903460044125431,-0.0021905027135040917,-0.0020135872756445773,1.3917783002941212e-06,-1.650716832417544e-06
6,0.3276486327878341,6140616.103876112,260.1313214133696,4.024085644140921,0.9293715825856861,0.27998882136383,0.01650254750757642,0.002805272544041306,1.1206914852608754,1384.3899513769704,10.0,10.0,0.0,10.0,10.0,0.0,49.54199018533274,-1.4274833351699695e-06,-1.7309727022833174e-06,-0.002865474428319957,0.002296966425166867,-0.005338357597604992,0.004480972417657983,-0.007194036955542844,0.006316480189752706,-0.008318936698050663,0.00758705963806992,-0.008723935131246589,0.008117135737623182,-0.008537503884411475,0.007796243904942912,-0.007980870434032873,0.006601045245178386,-0.007326655056663043,0.004612109950930832,-0.006840894424752869,0.0020205120314115066,-0.006714130037322348,-0.0008854743030492286,-0.007002053420974948,-0.0037625562720854768,-0.007606559249731522,-0.006276061133305149,-0.008310724057485995,-0.008157571927293826,-0.008846324722586922,-0.009233675873262336,-0.008960693728360423,-0.009427602462635689,-0.008464926850469021,-0.00874934777149833,-0.0072620400201708095,-0.007285568268847949,-0.005359521099507599,-0.0051908909627983385,-0.0028694617654448566,-0.0026780043823164306,1.4252635920667165e-06,-1.6838803215043666e-06
7,0.3276486327878341,6140616.103876112,260.1313214133696,4.024085644140921,0.9293715825856861,0.27998882136383,0.01650254750757642,0.002805272544041306,1.1206914852608754,1384.3899513769704,10.0,10.0,0.0,10.0,10.0,0.0,50.2623818499134,-1.4498522133053737e-06,-1.761828848970752e-06,-0.0035458770387645482,0.002802845966049204,-0.006604009679108679,0.005469958052749159,-0.008893827695642545,0.00771276547889313,-0.010274772132876992,0.009262682233516728,-0.010762811202811784,0.009899598311291575,-0.010521195442419884,0.009483906754827536,-0.009828167156957108,0.007985570466241416,-0.009023913149708424,0.00550562402265893,-0.008437410227915209,0.002283669327596181,-0.008300858200191837,-0.001320328533977576,-0.008677400730335844,-0.0048800726599550655,-0.009439912899218887,-0.00798239678191494,-0.010316460666098207,-0.01029768298587435,-0.010974937954472306,-0.01161365058093421,-0.011105554647664696,-0.011835953594701628,-0.010479274709221453,-0.010975661416581782,-0.00898093243142054,-0.00913761873744126,-0.006623029322912649,-0.006511268135601935,-0.003544606810756515,-0.0033599034171596332,1.447106827335621e-06,-1.70275124843473e-06
8,0.3276486327878341,6140616.103876112,260.1313214133696,4.024085644140921,0.9293715825856861,0.27998882136383,0.01650254750757642,0.002805272544041306,1.1206914852608754,1384.3899513769704,10.0,10.0,0.0,10.0,10.0,0.0,50.75721677357086,-1.4660351939705612e-06,-1.7848878877809727e-06,-0.004223039223096319,0.0032918067169364572,-0.007862857757916076,0.00642696720886659,-0.010582254663897908,0.009064890961287334,-0.012213742283950344,0.010884618902735524,-0.012779298014208419,0.011620515160014482,-0.012478473746966682,0.011102842504490533,-0.011648046620535351,0.009294541131536811,-0.010696575789098071,0.006317657481400646,-0.01001557896147691,0.0024614052758408465,-0.009877306064858678,-0.0018416272365623814,-0.0103500927611425,-0.006081978835496456,-0.011275761532265621,-0.009768719773689125,-0.01232630659619671,-0.012512174676679606,-0.01310593367987302,-0.014062038338275958,-0.013249000046241471,-0.014306452258137337,-0.012488200254174742,-0.01325683034509345,-0.01069200599007329,-0.011035098117995225,-0.007879060031739025,-0.007864649444599468,-0.004215312570862024,-0.004059323828335381,1.462767537418965e-06,-1.7138868595147128e-06
9,0.3276486327878341,6140616.103876112,260.1313214133696,4.024085644140921,0.9293715825856861,0.27998882136383,0.01650254750757642,0.002805272544041306,1.1206914852608754,1384.3899513769704,10.0,10.0,0.0,10.0,10.0,0.0,51.1154245702585,-1.4785916889740975e-06,-1.80320359395612e-06,-0.004896228878645213,0.0037639645451371796,-0.009113537578215328,0.007352195828797537,-0.012257485834728998,0.010373083299675491,-0.014133724966448963,0.012453072833026253,-0.014771144681498316,0.013280019572901312,-0.01440709210307382,0.012653097275614242,-0.013438359397925259,0.010527945185011885,-0.012342628611491956,0.007048209565669905,-0.011573495547972221,0.0025538065157344136,-0.011441604100500477,-0.0024491582027305133,-0.012018213483296738,-0.007367961559237111,-0.013112094500437233,-0.011634689338881213,-0.014338162653585425,-0.014800758916545066,-0.01523717821320961,-0.01657864931060996,-0.015388947426420241,-0.016839002503594172,-0.014489779862317047,-0.015592814457245778,-0.012393624032877155,-0.012977983696117723,-0.009126405741294034,-0.00925101558937696,-0.004880932846244863,-0.0047762571680810125,1.4748057374508062e-06,-1.7203627844578024e-06
10,0.3276486327878341,6140616.103876112,260.1313214133696,4.024085644140921,0.9293715825856861,0.27998882136383,0.01650254750757642,0.002805272544041306,1.1206914852608754,1384.3899513769704,10.0,10.0,0.0,10.0,10.0,0.0,51.38418586241891,-1.4888817961553101e-06,-1.818392556071273e-06,-0.005564718526365791,0.004219462448871784,-0.010354693089555375,0.0082458854829889,-0.013917699648838155,0.011637624631112056,-0.016032610553153047,0.013968305555332718,-0.016736115471581842,0.014878302242831033,-0.016304821515057497,0.01413477292409965,-0.015196975077391914,0.011685825316149189,-0.013960075023751883,0.007697333738501361,-0.013109268997581856,0.0025610125500084057,-0.012991892299247753,-0.0031426592031195133,-0.013679852997200466,-0.008737660723172868,-0.014946905851999641,-0.013579918784310568,-0.0163499336145688,-0.01716309835628813,-0.017366540070109043,-0.019163236863836447,-0.017523312907778442,-0.019433442310098765,-0.016482083943136307,-0.017983500861118384,-0.014084140548268486,-0.01496618068657953,-0.010363849165016637,-0.010670287247636608,-0.005540815169907119,-0.0055106594930489404,1.4845821135860925e-06,-1.7238142415507546e-06
