时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.09348634463489,45449307.76203568,3.637978807091713e-12,234.55768838920523,2.585703826778209,0.7036752530610009,0.043994548054196315,0.00774563014149766,3.0305810996132645,1334.0272789610724,5.712133465465261,2.027346082538112,323.4441065466782,5.712133465465261,2.027346082538112,323.4441065466782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.09348634463489,45449307.76203568,3.637978807091713e-12,234.55768838920523,2.585703826778209,0.7036752530610009,0.043994548054196315,0.00774563014149766,3.0305810996132645,1334.0272789610724,5.712133465465261,2.027346082538112,323.4441065466782,5.712133465465261,2.027346082538112,323.4441065466782,14.321953601494542,-2.310707871727552e-06,-6.99441245115051e-06,2.415727306486273e-05,-3.5231295791719855e-05,8.373094598056583e-05,-0.00010002548321354508,0.00015635851637461141,-0.00018697317418595307,0.0002220997318138118,-0.00027571652249123166,0.0002661464456423738,-0.0003445889971966663,0.00028223505197189417,-0.00037517994083898637,0.00027355913805408,-0.00035621021365410963,0.0002509003620844922,-0.00028599729262627246,0.00022842470981602979,-0.0001732664108427955,0.00021819990251267205,-3.5866475092374084e-05,0.0002253063792233183,0.00010281988089749313,0.0002456871568200648,0.00021918955672496754,0.00026784087203866555,0.00029486435855240184,0.0002775336418889534,0.00032055477596317,0.00026345618618153603,0.00029750356998910405,0.00022180052003802525,0.0002366166574633343,0.0001583860567041151,0.00015576126737858198,8.782603260868911e-05,7.593657888001983e-05,2.964214841142792e-05,1.685936332143801e-05,2.2426418840955655e-06,-7.038728591686076e-06
3,1.09348634463489,45449307.76203568,3.637978807091713e-12,234.55768838920523,2.585703826778209,0.7036752530610009,0.043994548054196315,0.00774563014149766,3.0305810996132645,1334.0272789610724,5.712133465465261,2.027346082538112,323.4441065466782,5.712133465465261,2.027346082538112,323.4441065466782,31.18708761322047,-5.124154267855936e-06,-1.515914576487448e-05,0.0001235730038536085,-0.00014604973162116001,0.0004101979923117717,-0.0004551708674580051,0.000761292446272101,-0.0008744802859445964,0.001081206415080211,-0.0013052912763803892,0.0012976367177228625,-0.0016411517779358789,0.001378849116895144,-0.0017909224936723466,0.0013387632532798602,-0.0016980861650973914,0.0012288479699417573,-0.0013532809147480118,0.001118253098953771,-0.0007987399128128984,0.0010669060354101779,-0.00012244800326167955,0.0011007700668672325,0.000559464260131181,0.001200409846593943,0.00112948000687075,0.0013089824216765927,0.0014964866362232958,0.0013557958969603236,0.001615452718745382,0.0012848696516921038,0.001494354714195864,0.0010779455006777476,0.0011889169026096222,0.0007648594066699768,0.0007882139777557107,0.0004185476512991588,0.0003950323318617244,0.0001351696476943479,0.00010445731004899462,4.798072467394261e-06,-1.540396419761073e-05
4,1.09348634463489,45449307.76203568,3.637978807091713e-12,234.55768838920523,2.585703826778209,0.7036752530610009,0.043994548054196315,0.00774563014149766,3.0305810996132645,1334.0272789610724,5.712133465465261,2.027346082538112,323.4441065466782,5.712133465465261,2.027346082538112,323.4441065466782,36.781841416311046,-6.180731365600612e-06,-1.7766305594813783e-05,0.0002526202244834171,-0.0002773445016678645,0.000826507663514926,-0.0008978158427250956,0.0015306135298502376,-0.0017439966788814925,0.0021745557473429587,-0.0026167520316413627,0.0026134703402204626,-0.003300145954599158,0.0027821327946799287,-0.0036091618545604893,0.002705652887062127,-0.003428765521743942,0.0024848881753255815,-0.0027389200408768017,0.0022582191411925695,-0.0016235450438361664,0.0021479893062445396,-0.00025941348291238684,0.002209629653724089,0.0011186070840850393,0.0024066200149632315,0.0022716505726888708,0.0026250424157206196,0.0030141248961847045,0.0027210069425144742,0.0032547895399121537,0.0025795693962783893,0.003011047623299087,0.002162788380035349,0.002397168624660024,0.0015313995866986499,0.0015935308055618164,0.0008339015037750837,0.0008060324076216187,0.00026494040899537996,0.00022377584140106848,5.529380318748264e-06,-1.8277556865005095e-05
5,1.09348634463489,45449307.76203568,3.637978807091713e-12,234.55768838920523,2.585703826778209,0.7036752530610009,0.043994548054196315,0.00774563014149766,3.0305810996132645,1334.0272789610724,5.712133465465261,2.027346082538112,323.4441065466782,5.712133465465261,2.027346082538112,323.4441065466782,39.08830114411044,-6.715300740902677e-06,-1.8759145302933813e-05,0.00038237936627830295,-0.0004075829708736345,0.0012430913002827782,-0.0013431763282329137,0.002299656817317351,-0.0026235516469528984,0.0032683197433782596,-0.003947713516109403,0.0039326318694593,-0.004988517077498447,0.004193207141523705,-0.005466097995310904,0.00408398934861536,-0.005206596135076049,0.003752550705918356,-0.004178862058495917,0.003405316794781369,-0.002507431789040183,0.003228345853946708,-0.0004565961470283215,0.0033097449078021927,0.0016204906552206306,0.0035991687700872325,0.0033626895588042736,0.003927042416852509,0.004488218688002263,0.004075244788554808,0.004858364575915789,0.0038674044039335,0.004499814407384115,0.003243785856984273,0.003585797764155316,0.0022954679877495374,0.0023877536482576817,0.0012473167443616683,0.0012132457142217448,0.00039341849846451183,0.00034367296578867755,5.739501023340604e-06,-1.9538940679929616e-05
6,1.09348634463489,45449307.76203568,3.637978807091713e-12,234.55768838920523,2.585703826778209,0.7036752530610009,0.043994548054196315,0.00774563014149766,3.0305810996132645,1334.0272789610724,5.712133465465261,2.027346082538112,323.4441065466782,5.712133465465261,2.027346082538112,323.4441065466782,40.336644629723665,-7.082822732228753e-06,-1.9231933451236486e-05,0.0005123602195432129,-0.0005381321701126977,0.0016592832869453894,-0.0017927753312076866,0.0030673387127753784,-0.003514639855215096,0.004360820785073808,-0.0052994815492006155,0.005252885896465684,-0.006707344533538132,0.005609517259870719,-0.007362720507176442,0.005471221233244211,-0.00703281219154232,0.005029528013096475,-0.005675074615462114,0.0045575061393666886,-0.003453590385275643,0.004305997478008898,-0.0007186574840567514,0.004398909522228131,0.0020591617277922066,0.004775470869179591,0.004395945392858831,0.005212147450131649,0.005912200042928453,0.005415797382713494,0.006420374748650072,0.005146226477380519,0.005956007564465651,0.004319658023683281,0.0047513752013356855,0.0030566781360147465,0.0031684732269250965,0.0016590416845022407,0.0016149528768135278,0.0005210864417178793,0.00046280782446572375,5.783294953582093e-06,-2.0280452838174313e-05
7,1.09348634463489,45449307.76203568,3.637978807091713e-12,234.55768838920523,2.585703826778209,0.7036752530610009,0.043994548054196315,0.00774563014149766,3.0305810996132645,1334.0272789610724,5.712133465465261,2.027346082538112,323.4441065466782,5.712133465465261,2.027346082538112,323.4441065466782,41.110621100515516,-7.376213867283271e-06,-1.947117426201431e-05,0.0006424114904687566,-0.0006693351120804796,0.0020748027811055042,-0.002246965465187917,0.003833108716203665,-0.00441757454985698,0.0054511506983060945,-0.00667230480967179,0.0065730020183277895,-0.008456818058208734,0.0070296569379428775,-0.00929918701987463,0.006865957158001494,-0.008907604249973732,0.006314591597711333,-0.007227913025788742,0.005713752374788526,-0.004462716340554723,0.005379997483854726,-0.0010467522190874164,0.005476092431658921,0.002433049033652881,0.005934296443236358,0.0053696416548708135,0.006478960762283735,0.007284358442482734,0.00674126962139585,0.007939373705997139,0.006414861791646849,0.007378514145598449,0.005389621319669861,0.005893091087706469,0.0038146772673421556,0.003935107391449533,0.0020690483381617265,0.002010718956324878,0.0006480552682859866,0.0005808302840030176,5.7536862580914054e-06,-2.0788024470263582e-05
8,1.09348634463489,45449307.76203568,3.637978807091713e-12,234.55768838920523,2.585703826778209,0.7036752530610009,0.043994548054196315,0.00774563014149766,3.0305810996132645,1334.0272789610724,5.712133465465261,2.027346082538112,323.4441065466782,5.712133465465261,2.027346082538112,323.4441065466782,41.62975192273317,-7.630381556570812e-06,-1.9584667423108646e-05,0.0007724419560543076,-0.0008012925536888762,0.002489407151149259,-0.002705784906056942,0.00459644932498119,-0.005332297124038863,0.006538452075398109,-0.008066032721878464,0.00789182822117126,-0.010236725691842273,0.008452318747205707,-0.011275251429772508,0.008266907934752455,-0.010830723831792267,0.007606606775960061,-0.008837202548506904,0.006873111308597277,-0.005534833913552408,0.006449506359823932,-0.001441208778051057,0.0065404036231431,0.002741524637930065,0.0070745869338723864,0.0062829816020353165,0.007726257717177256,0.00860390362676796,0.008050395693459984,0.009414696026244914,0.007672186217273373,0.008766821265632344,0.006452851862314733,0.007010559609931365,0.004569005953366027,0.004687366400252008,0.0024771817788707138,0.002400331180033913,0.0007743323655648268,0.0006975896477054964,5.685660275418147e-06,-2.116914540662619e-05
9,1.09348634463489,45449307.76203568,3.637978807091713e-12,234.55768838920523,2.585703826778209,0.7036752530610009,0.043994548054196315,0.00774563014149766,3.0305810996132645,1334.0272789610724,5.712133465465261,2.027346082538112,323.4441065466782,5.712133465465261,2.027346082538112,323.4441065466782,41.99503948105808,-7.861351651893317e-06,-1.9622060685984788e-05,0.0009023785436205531,-0.0009340240059557566,0.002902862785358517,-0.0031691597146528637,0.005356848542894728,-0.006258606711342892,0.007621876422704289,-0.009480351823273949,0.009208226986577254,-0.012046684122379952,0.009876212733503423,-0.013290493570504677,0.009672800378256134,-0.012801738691886323,0.008904451860907379,-0.01050255811872304,0.008034653683623499,-0.006669714825373432,0.007513710512287182,-0.0019020587248505764,0.007590995178231079,0.0029842857672304963,0.008195337060062043,0.007135493817786581,0.008952863965466188,0.009870341635450237,0.009341940606642653,0.010845922200411487,0.00891707581788625,0.010120602046507872,0.007508495000885883,0.008103524392143412,0.005319154901980243,0.005425048284989834,0.002883236459773469,0.002783643757972545,0.0008998883394717633,0.0008129979560963544,5.595349566274741e-06,-2.147323499615445e-05
10,1.09348634463489,45449307.76203568,3.637978807091713e-12,234.55768838920523,2.585703826778209,0.7036752530610009,0.043994548054196315,0.00774563014149766,3.0305810996132645,1334.0272789610724,5.712133465465261,2.027346082538112,323.4441065466782,5.712133465465261,2.027346082538112,323.4441065466782,42.259434125551095,-8.077493345708455e-06,-1.960942430061783e-05,0.0010321555276163743,-0.0010675150882821268,0.003314940742259746,-0.0036369658991354113,0.006113799503152947,-0.0071962338665330396,0.00870058278373163,-0.010914864990566143,0.010521069614366869,-0.013886218780551622,0.011300056520333812,-0.01534440015200804,0.01108236574955958,-0.014820120483456246,0.010207007366004483,-0.01222348813381012,0.009197455019407148,-0.007867006509453859,0.008571810070053285,-0.002429191557296313,0.008627044403101247,0.003161180400550305,0.00929557365228968,0.0079268529961418,0.010157634768649174,0.01108330888258126,0.010614687398957054,0.012232740929955695,0.010148408206178109,0.011439613156792962,0.008555682040653783,0.009171788462691606,0.006064591791980565,0.006147990789014029,0.003286984158528438,0.003160539310650189,0.0010246781681564007,0.0009269926553511196,5.491242825995412e-06,-2.1726167789572707e-05
