时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,8.02845464853808,153639527.18376586,5.820766091346741e-11,2381.6935188229186,1.7610195814823846,0.23284199145092863,0.17755332861236356,0.013211357011271066,1.839975696899859,467.3267385246081,6.473432629827477,3.90062891260321,115.73393901454892,6.473432629827477,3.90062891260321,115.73393901454892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8.02845464853808,153639527.18376586,5.820766091346741e-11,2381.6935188229186,1.7610195814823846,0.23284199145092863,0.17755332861236356,0.013211357011271066,1.839975696899859,467.3267385246081,6.473432629827477,3.90062891260321,115.73393901454892,6.473432629827477,3.90062891260321,115.73393901454892,4.509137867928683,-5.6341307758358076e-06,-4.880929736533059e-06,-5.874934333722246e-06,-3.3795623826246184e-05,7.902192510530947e-06,-6.907142056979895e-05,2.1652775139343627e-05,-0.00010920459879380551,3.286212623303901e-05,-0.00014771673434516803,3.993230786352884e-05,-0.0001786836278037783,4.249144177923028e-05,-0.00019753276233958858,4.126798919911224e-05,-0.00020166310687094648,3.774270661218988e-05,-0.00019074870576835925,3.367702821512213e-05,-0.00016668518459173162,3.06214276673648e-05,-0.00013319081256670502,2.951539117165228e-05,-9.513052753902079e-05,3.0473591204860805e-05,-5.767455712745568e-05,3.28110978536436e-05,-2.5433747513389484e-05,3.5300249699199256e-05,-1.7213353611318587e-06,3.658782140317636e-05,1.1928374505075651e-05,3.565236352754817e-05,1.5901118066667238e-05,3.2162504825790466e-05,1.227965788771507e-05,2.6641904601516545e-05,4.305478177185269e-06,2.0561846009423437e-05,-4.397450464439853e-06,5.608082545708822e-06,-4.931193394935372e-06
3,8.02845464853808,153639527.18376586,5.820766091346741e-11,2381.6935188229186,1.7610195814823846,0.23284199145092863,0.17755332861236356,0.013211357011271066,1.839975696899859,467.3267385246081,6.473432629827477,3.90062891260321,115.73393901454892,6.473432629827477,3.90062891260321,115.73393901454892,10.059372064116003,-1.2591247952497591e-05,-1.0881430643752688e-05,-1.0192213677153904e-05,-8.140908545195036e-05,2.4738540269573846e-05,-0.000169570858036334,5.971745053751168e-05,-0.00027007695194767613,8.823668515372403e-05,-0.0003662731267658989,0.00010616224912601615,-0.0004427410713343225,0.0001125263037671744,-0.00048751675877095873,0.00010922954958003049,-0.0004938115298548596,0.00010014597427991858,-0.00046087511911206447,8.988368537632921e-05,-0.00039388732996936747,8.247864483070651e-05,-0.0003029088192157899,8.03224703586797e-05,-0.0002010726902431891,8.358422132385797e-05,-0.00010231675295322317,9.027676570579593e-05,-1.904044415200868e-05,9.69559193446371e-05,3.9906586701780393e-05,9.986461599694504e-05,7.054820761314112e-05,9.619789979083791e-05,7.41892953825352e-05,8.511009927348263e-05,5.6842971762131506e-05,6.819607231313424e-05,2.7810054087145668e-05,4.969020834051027e-05,-2.362514817483459e-06,1.2521248498521071e-05,-1.1018381904314354e-05
4,8.02845464853808,153639527.18376586,5.820766091346741e-11,2381.6935188229186,1.7610195814823846,0.23284199145092863,0.17755332861236356,0.013211357011271066,1.839975696899859,467.3267385246081,6.473432629827477,3.90062891260321,115.73393901454892,6.473432629827477,3.90062891260321,115.73393901454892,15.461454036006337,-1.9391417187595784e-05,-1.670458583505232e-05,-8.811601172733584e-06,-0.00013919527031495637,5.456549758721881e-05,-0.0002965881880297584,0.0001181480956373125,-0.0004761574275703111,0.0001699154563022199,-0.0006472736732354902,0.0002022681546110707,-0.0007812879133277777,0.00021344443664792796,-0.0008558945678186613,0.0002070111076492993,-0.0008585152157262344,0.00019021986638757216,-0.0007880282063174258,0.00017168701587246535,-0.0006546174939838188,0.00015891839242184046,-0.0004777948965482218,0.00015625642426227843,-0.0002829377341134662,0.00016376026637564457,-9.691520596099102e-05,0.00017732882456207892,5.6455158443944814e-05,0.0001900635259066733,0.00016032788487761623,0.00019451878119971974,0.00020742808751811608,0.00018521044738677067,0.00020087574649301765,0.00016063792107129707,0.0001531106766610749,0.0001242679509923611,8.317492495504998e-05,8.478832734157296e-05,1.2824439305399981e-05,1.9256872692324292e-05,-1.6971342177430197e-05
5,8.02845464853808,153639527.18376586,5.820766091346741e-11,2381.6935188229186,1.7610195814823846,0.23284199145092863,0.17755332861236356,0.013211357011271066,1.839975696899859,467.3267385246081,6.473432629827477,3.90062891260321,115.73393901454892,6.473432629827477,3.90062891260321,115.73393901454892,21.389614205652936,-2.690182927464833e-05,-2.3046629309277784e-05,6.579540804472938e-06,-0.00023097481322193578,0.0001203504488107817,-0.0005078704325134199,0.00023445527794938029,-0.0008233801930836906,0.0003269721386054769,-0.0011216554215098787,0.0003842182027013785,-0.001350044708618449,0.00040313498346777936,-0.0014675518305975548,0.0003904075862081699,-0.0014513834965462357,0.0003594923659912482,-0.0013003398513013777,0.0003263411454180765,-0.0010345997839895343,0.0003047703318314402,-0.0006919950393664917,0.00030255735070878185,-0.0003214051527561771,0.00031926766123039165,2.564477124773602e-05,0.000346464888135668,0.00030376212943780646,0.0003703581286749667,0.000481295695879012,0.0003762375611294806,0.0005453969082838655,0.0003534661398842385,0.0005036306051229155,0.00029953998465453427,0.0003818914321948468,0.00022205629705197667,0.000219131843094408,0.0001388261330643155,5.9893796274632627e-05,2.6644577564497907e-05,-2.3564116278452927e-05
6,8.02845464853808,153639527.18376586,5.820766091346741e-11,2381.6935188229186,1.7610195814823846,0.23284199145092863,0.17755332861236356,0.013211357011271066,1.839975696899859,467.3267385246081,6.473432629827477,3.90062891260321,115.73393901454892,6.473432629827477,3.90062891260321,115.73393901454892,26.800316634429972,-3.3845886352452634e-05,-2.870410216900709e-05,5.5701908004045956e-05,-0.0003866702888625052,0.000263331215517976,-0.0008823296670940053,0.00047085935714855564,-0.0014449440931422759,0.0006379785528505872,-0.00197089411954529,0.0007400635807034839,-0.002362271769595206,0.0007719362341677196,-0.002543255539443397,0.0007462432909823921,-0.002472688532801764,0.0006881010756514566,-0.0021505715269952374,0.0006272785019288829,-0.001617628100977127,0.0005895451804463984,-0.0009481285610083911,0.0005891682238231131,-0.00023714158264616402,0.0006245560589262048,0.0004157543611243241,0.0006784985973859696,0.0009235694684866802,0.0007233069871926851,0.0012267658187080763,0.0007296796280649475,0.0013031128167234455,0.0006768152997288345,0.0011706974152044382,0.0005606773042131202,0.0008836262613416255,0.0003978759034379768,0.0005214845367424467,0.00022497338968870196,0.00017469512725318295,3.3349899358253806e-05,-2.9715266119572724e-05
7,8.02845464853808,153639527.18376586,5.820766091346741e-11,2381.6935188229186,1.7610195814823846,0.23284199145092863,0.17755332861236356,0.013211357011271066,1.839975696899859,467.3267385246081,6.473432629827477,3.90062891260321,115.73393901454892,6.473432629827477,3.90062891260321,115.73393901454892,29.418307573575902,-3.72861730101688e-05,-3.1301811459888674e-05,0.00011535337866635758,-0.0005362064146288626,0.0004170155935397707,-0.0012507774935226566,0.0007176112301957233,-0.0020596325078547865,0.0009586845679432629,-0.002810671108674395,0.0011050331218211008,-0.00336033848267073,0.0011494613997287064,-0.003598043649940099,0.0011103908016302795,-0.0034647456651189356,0.0010243274854332088,-0.0029624405314179095,0.0009347668242321764,-0.002153377816788007,0.0008796441712747952,-0.0011493257620614982,0.0008801181808711008,-9.257557543186424e-05,0.0009337442852098163,0.0008683734931842298,0.001014473845001717,0.0016044222673808942,0.0010802271049650369,0.002028175416087949,0.0010864155041203029,0.0021086737175671265,0.0010015802654275395,0.0018757026551991594,0.0008202110032858353,0.0014130094240309725,0.0005686076314774224,0.0008421618328478227,0.00030297541206249543,0.0003005019042430319,3.654768858370182e-05,-3.281791590577818e-05
8,8.02845464853808,153639527.18376586,5.820766091346741e-11,2381.6935188229186,1.7610195814823846,0.23284199145092863,0.17755332861236356,0.013211357011271066,1.839975696899859,467.3267385246081,6.473432629827477,3.90062891260321,115.73393901454892,6.473432629827477,3.90062891260321,115.73393901454892,30.933978274038527,-3.934229578270713e-05,-3.268891591663939e-05,0.00017900756192418458,-0.0006836877374457236,0.0005743872872532598,-0.001618003704161651,0.0009674962158149884,-0.002673922747071922,0.001282101517179291,-0.0036505588579597583,0.001472717808121911,-0.004358544930272075,0.0015300595568415113,-0.004652542950987534,0.0014779042759460203,-0.004455779725194207,0.0013636495386226864,-0.0037724257617359038,0.0012442684828696167,-0.0026863915152962464,0.0011700450469751403,-0.0013470304892066653,0.0011695614323389508,5.606093099049939e-05,0.0012401039444307426,0.0013253577356990467,0.0013470924472009738,0.0022895598719512274,0.0014339305247687132,0.002833419286082834,0.0014402966116659297,0.002917403941671205,0.0013236138456252894,0.002583260640232761,0.0010767224237159293,0.0019446087370697208,0.0007358116795350838,0.0011650577525902824,0.00037707673264117815,0.0004287264052759197,3.836168084423548e-05,-3.47115345355765e-05
9,8.02845464853808,153639527.18376586,5.820766091346741e-11,2381.6935188229186,1.7610195814823846,0.23284199145092863,0.17755332861236356,0.013211357011271066,1.839975696899859,467.3267385246081,6.473432629827477,3.90062891260321,115.73393901454892,6.473432629827477,3.90062891260321,115.73393901454892,31.913784125069363,-4.0726994966136854e-05,-3.348514420651376e-05,0.00024458590117296147,-0.0008307380999614466,0.0007333874564249463,-0.0019863194949678547,0.0012186057850626356,-0.0032913250368948005,0.0016066040605151458,-0.004495820436943636,0.00184184881031256,-0.005364396889119663,0.0019128135740789816,-0.005716828759021267,0.001848135941170835,-0.005458524783653154,0.001705547253469059,-0.004595729704145803,0.0015552255230593184,-0.003233864222751443,0.0014600086156407687,-0.0015597005372533581,0.0014565048683127164,0.0001899599425025288,0.001542420907068915,0.001768536443182761,0.001675065384399567,0.002962380443565659,0.0017832852239240734,0.0036282099308608895,0.0017906065018585115,0.003717788856409865,0.0016428250797310758,0.003284749527159546,0.001330838727141604,0.002472483013335754,0.0009007732988542363,0.0014864310805981068,0.00044904766509529524,0.0005571862470232951,3.950528097323434e-05,-3.601434821178381e-05
10,8.02845464853808,153639527.18376586,5.820766091346741e-11,2381.6935188229186,1.7610195814823846,0.23284199145092863,0.17755332861236356,0.013211357011271066,1.839975696899859,467.3267385246081,6.473432629827477,3.90062891260321,115.73393901454892,6.473432629827477,3.90062891260321,115.73393901454892,32.59176694992642,-4.1735190387051155e-05,-3.394678953674162e-05,0.00031119211838267466,-0.0009779685597158113,0.0008930806104354653,-0.0023565528271147426,0.0014700226191514576,-0.003913126560571329,0.0019313619799503278,-0.005348482598502622,0.002211734967649684,-0.006380916629303507,0.002297193239159054,-0.006795093098281969,0.0022207011429765462,-0.0064783947203141,0.0020497296466681822,-0.0054388984094322105,0.0018673642339716448,-0.003803242845826449,0.001749200768088422,-0.0017953293290766247,0.0017405042738019977,0.00030102059747951615,0.0018401439858501429,0.0021901673046898986,0.0019977994293300908,0.0036159233550353796,0.002127768888836762,0.004406682922975405,0.002137020527090502,0.00450522187723215,0.001959184273001197,0.003976816898647014,0.0015828569108567862,0.0029943843159401114,0.0010640694591942767,0.0018048873668550995,0.000519648316673123,0.0006850487021634302,4.027377592283814e-05,-3.698204621719037e-05
