时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.1183295813750798,140097849.8168519,21499.13047413998,1168.8659981450714,2.1023190178427806,0.18766147349200657,0.10549637381585533,0.010194724180315256,2.1461718695760634,743.0154945050017,2.528170850399798,4.839624743541861,173.37082568762605,1.9253056389170577,5.438445044656215,256.93960658669346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.1183295813750798,140097849.8168519,21499.13047413998,1168.8659981450714,2.1023190178427806,0.18766147349200657,0.10549637381585533,0.010194724180315256,2.1461718695760634,743.0154945050017,2.528170850399798,4.839624743541861,173.37082568762605,1.9253056389170577,5.438445044656215,256.93960658669346,2.1405344585605204,-4.649492592053388e-06,-8.366695199102862e-07,-2.8880073161981985e-06,-1.2878028469962825e-05,2.4981487090007452e-06,-3.2915582503773094e-05,8.332603411219192e-06,-5.7266257976947764e-05,1.3289575136561214e-05,-8.144947253472473e-05,1.655645893786947e-05,-0.00010122624414859698,1.7896767911871182e-05,-0.00011325524477470497,1.758905812563632e-05,-0.00011559342447389623,1.626785950869481e-05,-0.00010795008655397741,1.4705664111257891e-05,-9.165724015077623e-05,1.3583936451518907e-05,-6.936645865277349e-05,1.3304942584898158e-05,-4.452911132937185e-05,1.3891112300050974e-05,-2.0753599305190136e-05,1.500089793872804e-05,-1.156025449549657e-06,1.605993327965052e-05,1.217617629008223e-05,1.647083574949574e-05,1.850731126531661e-05,1.5836605357673337e-05,1.8502883179179597e-05,1.4123127182477927e-05,1.3997047033520987e-05,1.1702103149809783e-05,7.5258661285975455e-06,9.253388838906678e-06,1.7147095354305761e-06,6.102687384217157e-06,-7.694517687370393e-07
3,3.1183295813750798,140097849.8168519,21499.13047413998,1168.8659981450714,2.1023190178427806,0.18766147349200657,0.10549637381585533,0.010194724180315256,2.1461718695760634,743.0154945050017,2.528170850399798,4.839624743541861,173.37082568762605,1.9253056389170577,5.438445044656215,256.93960658669346,4.716811794270086,-1.0257491377220236e-05,-1.8413337171018183e-06,-5.789053863289888e-06,-3.0144292351346414e-05,7.077338438096789e-06,-7.765802613017953e-05,2.1049349517791274e-05,-0.00013558887340840722,3.293642366516577e-05,-0.0001931369999663661,4.076435920164802e-05,-0.00023998152443794026,4.39493687386779e-05,-0.000267940099071457,4.316203724131566e-05,-0.00027224030200225993,3.994574079128504e-05,-0.0002521758483850377,3.618533635649464e-05,-0.00021105359048508861,3.354368612275753e-05,-0.00015545577755501133,3.2994204564561806e-05,-9.395777065308477e-05,3.4567123381327856e-05,-3.553308286682876e-05,3.7384849187865635e-05,1.2065070400781928e-05,3.998714667951733e-05,4.364789288385477e-05,4.085736330328463e-05,5.7409975586527835e-05,3.8988104290998086e-05,5.507160469024278e-05,3.4299581756863546e-05,4.1322608068894514e-05,2.7762809976552836e-05,2.2685623949566836e-05,2.1174107253092964e-05,6.019171079489625e-06,1.345970582771802e-05,-1.7011992522431314e-06
4,3.1183295813750798,140097849.8168519,21499.13047413998,1168.8659981450714,2.1023190178427806,0.18766147349200657,0.10549637381585533,0.010194724180315256,2.1461718695760634,743.0154945050017,2.528170850399798,4.839624743541861,173.37082568762605,1.9253056389170577,5.438445044656215,256.93960658669346,7.648848872443557,-1.6657781284393612e-05,-2.979468578104496e-06,-7.922620585662965e-06,-5.335756041207484e-05,1.543634891387133e-05,-0.00013881380850406722,4.085454318878183e-05,-0.00024334691724820824,6.249890557631021e-05,-0.0003471478591703271,7.672640320528585e-05,-0.0004310812969384098,8.244460401377832e-05,-0.00047988620840038956,8.088425550344392e-05,-0.00048464160175773106,7.490495445739657e-05,-0.0004440627981118087,6.801104691187443e-05,-0.0003644442187230498,6.329523719287329e-05,-0.0002582914946351883,6.255094345528318e-05,-0.00014190538845409298,6.57807823003937e-05,-3.2355348281060876e-05,7.12533859265587e-05,5.560837223575707e-05,7.611977343468794e-05,0.00011213561756116492,7.742621748363515e-05,0.00013386882095694222,7.321546050849955e-05,0.00012425371452710453,6.335512183384808e-05,9.252312611083069e-05,4.980510320513077e-05,5.157463757537766e-05,3.6217451399719594e-05,1.5161738423105478e-05,2.1848665592044914e-05,-2.7716445037770693e-06
5,3.1183295813750798,140097849.8168519,21499.13047413998,1168.8659981450714,2.1023190178427806,0.18766147349200657,0.10549637381585533,0.010194724180315256,2.1461718695760634,743.0154945050017,2.528170850399798,4.839624743541861,173.37082568762605,1.9253056389170577,5.438445044656215,256.93960658669346,10.530697551142726,-2.2970195119419755e-05,-4.088351722986264e-06,-8.01880822918664e-06,-8.224378419359284e-05,2.89739235097791e-05,-0.00021621107921547972,6.926323078239155e-05,-0.0003804918160830457,0.00010356731222027144,-0.0005433969970805056,0.00012604938511759107,-0.0006740289981923938,0.0001349447334948361,-0.000747627894271623,0.00013222715881197307,-0.0007497149166655169,0.00012251114578327549,-0.0006783066441901412,0.00011147028389666918,-0.0005438845781593878,0.00010411666855632807,-0.0003671828578476108,0.00010333262370513376,-0.00017521995721337492,0.00010903776394423402,3.7072560758445834e-06,0.00011826188119356514,0.00014515976128543076,0.00012616261652069423,0.00023287626164590215,0.00012772863917907446,0.000261468562120565,0.00011965336589853306,0.00023699433623599068,0.0001017648191059499,0.00017532426515402304,7.75163800265387e-05,9.866325968325713e-05,5.3351210479066886e-05,3.0922308529651046e-05,3.0110001548608184e-05,-3.838806133247959e-06
6,3.1183295813750798,140097849.8168519,21499.13047413998,1168.8659981450714,2.1023190178427806,0.18766147349200657,0.10549637381585533,0.010194724180315256,2.1461718695760634,743.0154945050017,2.528170850399798,4.839624743541861,173.37082568762605,1.9253056389170577,5.438445044656215,256.93960658669346,13.558402196470388,-2.9632522264049943e-05,-5.232791244301618e-06,-4.1375383656813964e-06,-0.00012464433146230233,5.367823989968128e-05,-0.00033162387418501053,0.00011660162263738869,-0.0005858312078565408,0.0001700986320890008,-0.0008371952723017526,0.00020499553236503533,-0.0010365109466701754,0.00021851382038089696,-0.0011442160722373402,0.00021378073251592173,-0.0011372337605263635,0.0001981286530711988,-0.0010126805872461796,0.00018060852152521872,-0.0007879069778495409,0.00016923850888290204,-0.0004969569962714808,0.00016860424917306054,-0.00018412545816908816,0.00017844981678434167,0.0001042278375076237,0.00019374538808238334,0.0003281268048427616,0.00020634363240107397,0.000461129544794209,0.00020782382573403585,0.0004948327929166847,0.00019266465112428223,0.0004398875775499161,0.00016069505063330132,0.00032337398265207793,0.0001179661917305811,0.00018311692044446195,7.571523392412148e-05,6.0091323596860785e-05,3.880512652507824e-05,-4.986522808954027e-06
7,3.1183295813750798,140097849.8168519,21499.13047413998,1168.8659981450714,2.1023190178427806,0.18766147349200657,0.10549637381585533,0.010194724180315256,2.1461718695760634,743.0154945050017,2.528170850399798,4.839624743541861,173.37082568762605,1.9253056389170577,5.438445044656215,256.93960658669346,16.620538124489318,-3.6421966754310336e-05,-6.34159725847898e-06,8.852995504252816e-06,-0.00019499588364715038,0.00010233436668047361,-0.0005257448384599986,0.0002037676594628449,-0.000932046628084696,0.000289729251850876,-0.001331960010306474,0.0003454551565054044,-0.0016445409037901045,0.00036649400168101246,-0.0018046487046024433,0.0003579340625206333,-0.0017745344920846971,0.0003317263712101515,-0.0015501776547415067,0.0003027258378022314,-0.0011614511217155291,0.0002842016245971782,-0.000666241430332272,0.0002837798534126498,-0.00013963206172392954,0.0003009258574969012,0.0003399281731534756,0.00032690457063841297,0.0007049862010666228,0.0003475405356297206,0.0009113107631775419,0.00034815899892726306,0.0009456452529225192,0.0003192012191189465,0.0008275007505453927,0.00026060367477968426,0.000604706286351112,0.0001833642086165821,0.0003437087894116825,0.00010769232371183673,0.00011660329560974834,4.761247336066715e-05,-6.201913331927381e-06
8,3.1183295813750798,140097849.8168519,21499.13047413998,1168.8659981450714,2.1023190178427806,0.18766147349200657,0.10549637381585533,0.010194724180315256,2.1461718695760634,743.0154945050017,2.528170850399798,4.839624743541861,173.37082568762605,1.9253056389170577,5.438445044656215,256.93960658669346,18.418961751925494,-4.045763459436777e-05,-6.938604661367005e-06,2.6351228153373742e-05,-0.00026636145971604584,0.00015655237390467926,-0.000724324492263979,0.00029738360717385457,-0.0012866565655370438,0.00041642299179403005,-0.0018382955311216599,0.0004933202848456333,-0.002265391016337964,0.0005219494599305786,-0.002476385677069692,0.000509314927476721,-0.002418522177737297,0.0004719622593627286,-0.0020868851903793426,0.0004306446456343438,-0.0015246710257159886,0.0004041249245160985,-0.0008148593082537351,0.0004033668717196261,-6.483396844460735e-05,0.00042772842230056767,0.000613351457671995,0.00046466199968351864,0.0011235439149490376,0.0004935694917178003,0.0014030682931828193,0.0004930122627719992,0.0014339032671763113,0.0004490433027181006,0.0012452619634201734,0.0003617404437545801,0.0009071562055755994,0.00024751216835197887,0.0005163986360049634,0.0001362687722975353,0.00017793573082078556,5.27903983592515e-05,-6.9713782688244996e-06
9,3.1183295813750798,140097849.8168519,21499.13047413998,1168.8659981450714,2.1023190178427806,0.18766147349200657,0.10549637381585533,0.010194724180315256,2.1461718695760634,743.0154945050017,2.528170850399798,4.839624743541861,173.37082568762605,1.9253056389170577,5.438445044656215,256.93960658669346,19.554705037004034,-4.304684032821609e-05,-7.2685858194515165e-06,4.5837274302662136e-05,-0.0003372983348814808,0.00021264314455533045,-0.0009226146830976049,0.00039259231269385723,-0.0016411452132582055,0.0005444418753213155,-0.0023445945393644326,0.000642417854259767,-0.0028861216218282995,0.0006787285578163191,-0.0031477170800180785,0.0006621275095710233,-0.0030616245810236257,0.0006135209308850378,-0.002622070723726065,0.0005594240142907555,-0.0018856262603958074,0.0005241599230376047,-0.0009604323836514477,0.0005222713119986403,1.3728254056149316e-05,0.0005532784735372584,0.0008910691692911105,0.0006009524535079989,0.001546609688790714,0.0006381893582358088,0.0018991581351764878,0.0006365564276883573,0.0019259543204157654,0.0005775039394615036,0.0016660356226446788,0.0004611976963266825,0.0012117649666040116,0.0003095914442262659,0.0006904714441775623,0.0001625091006429838,0.00024005038093970673,5.606463691869029e-05,-7.503079450898865e-06
10,3.1183295813750798,140097849.8168519,21499.13047413998,1168.8659981450714,2.1023190178427806,0.18766147349200657,0.10549637381585533,0.010194724180315256,2.1461718695760634,743.0154945050017,2.528170850399798,4.839624743541861,173.37082568762605,1.9253056389170577,5.438445044656215,256.93960658669346,20.330812045815463,-4.485284275420761e-05,-7.453254538544933e-06,6.639343354307503e-05,-0.00040815040064067203,0.00026968951385849464,-0.0011212894701379608,0.000488535776546191,-0.0019967988671068396,0.0006730379002775242,-0.002853081724425114,0.0007921406636366114,-0.003510207840757831,0.0008363694486139651,-0.0038236092813536517,0.0008160319617797328,-0.003710419661814811,0.0007561366057841632,-0.003163887939845831,0.0006888093307692337,-0.002253836172936948,0.0006440017435814901,-0.0011134648033655986,0.0006400990237081406,8.508877362319632e-05,0.0006770954732943687,0.001162264084644861,0.0007352636228173445,0.0019641356532962393,0.0007809560614664927,0.0023908467379476278,0.0007785374233786995,0.0024147686241502925,0.0007046273075701021,0.002084671429325324,0.0005593763199409245,0.0015151984873267158,0.0003703434046083146,0.0008641222833747198,0.00018740097985237995,0.0003022183332815225,5.830840488147992e-05,-7.90486189344497e-06
