时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.23468408850187727,2281289.2168235434,13.702428035132868,1.0437933578543064,0.9899964928253251,0.1505768624228759,0.01183031464960192,0.0024057122044172617,1.0480604227387063,1549.4202608385642,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.23468408850187727,2281289.2168235434,13.702428035132868,1.0437933578543064,0.9899964928253251,0.1505768624228759,0.01183031464960192,0.0024057122044172617,1.0480604227387063,1549.4202608385642,10.0,10.0,0.0,10.0,10.0,0.0,8.455686524500363,-3.1609066334068686e-07,-1.9207468775776172e-07,-3.3654734121685236e-05,5.593683134474097e-05,-6.135386008427062e-05,0.00010762559822949456,-8.127342329885942e-05,0.00014931178849673688,-9.268214719574343e-05,0.00017642269405205687,-9.625184493789432e-05,0.00018585774208709034,-9.381426790575038e-05,0.00017633067320832357,-8.793179462281345e-05,0.00014852505573858938,-8.136822128435328e-05,0.00010504943732561043,-7.654568911802124e-05,5.0180025964840017e-05,-7.508223061856278e-05,-1.0583477592369993e-05,-7.749013669721105e-05,-7.110187699524777e-05,-8.308705547389745e-05,-0.00012525119431341312,-9.013202490641222e-05,-0.0001675699203339891,-9.615696433447416e-05,-0.00019382436930718219,-9.843102384926663e-05,-0.00020143383488891543,-9.447658962750418e-05,-0.00018971719602557086,-8.255527894376395e-05,-0.0001599484404337688,-6.205129864876854e-05,-0.00011521253079804871,-3.37059788645162e-05,-6.0090491163859254e-05,3.16066636476218e-07,-1.9204979038718883e-07
3,0.23468408850187727,2281289.2168235434,13.702428035132868,1.0437933578543064,0.9899964928253251,0.1505768624228759,0.01183031464960192,0.0024057122044172617,1.0480604227387063,1549.4202608385642,10.0,10.0,0.0,10.0,10.0,0.0,19.10027729188019,-7.141076027887915e-07,-4.3401003211334277e-07,-0.0001112882312316429,0.0001856995133026009,-0.0002032023664660297,0.0003571580821711606,-0.00026930177273226273,0.0004955914593748401,-0.0003071341068383295,0.0005858340659477059,-0.000318925507570505,0.0006175378532689244,-0.00031077188514504726,0.0005863462265560562,-0.0002912071712556155,0.0004944515475227711,-0.00026942989272474283,0.00035046814956119323,-0.0002534848656972975,0.00016858557589743365,-0.00024872051200776547,-3.291554918737893e-05,-0.0002567928086479356,-0.00023362163214315249,-0.00027538717053982617,-0.00041318059748849805,-0.0002986927407053222,-0.0005534653185275375,-0.0003185223693107142,-0.0006404547778522342,-0.00032586207770057384,-0.00066563908869955,-0.0003125762510148865,-0.000626825584456506,-0.0002729970513558734,-0.0005283049513415128,-0.00020516504111607346,-0.00038036158507187025,-0.0001115645160609757,-0.00019821133227851986,7.140283329597239e-07,-4.336834827188557e-07
4,0.23468408850187727,2281289.2168235434,13.702428035132868,1.0437933578543064,0.9899964928253251,0.1505768624228759,0.01183031464960192,0.0024057122044172617,1.0480604227387063,1549.4202608385642,10.0,10.0,0.0,10.0,10.0,0.0,29.22405264566289,-1.0930395560156806e-06,-6.645741928007611e-07,-0.0003054329961254094,0.000508993311095181,-0.0005584373179605429,0.000978542804057599,-0.0007401411913221864,0.0013578093785232143,-0.0008437281791371928,0.0016050418521002233,-0.000875455881050009,0.0016915273789498758,-0.0008523750367534659,0.0016049825642093615,-0.0007982831679568727,0.0013512468164746166,-0.0007387072303998924,0.0009540074478893528,-0.0006957970080130319,0.00045246627251445187,-0.0006840527872860755,-0.00010281931873588567,-0.0007076482615961944,-0.0006554281740882064,-0.0007597982537490153,-0.0011492023934990742,-0.0008242171864618797,-0.0015342425168491116,-0.0008783170030623763,-0.0017720740758219926,-0.00089750467473797,-0.0018394678206672562,-0.0008598115317366459,-0.0017306059629965162,-0.0007501230444393499,-0.0014574937339898349,-0.0005634203380498179,-0.001048603493926643,-0.00030662881309253723,-0.0005459332964118716,1.0928225300196983e-06,-6.630382192796273e-07
5,0.23468408850187727,2281289.2168235434,13.702428035132868,1.0437933578543064,0.9899964928253251,0.1505768624228759,0.01183031464960192,0.0024057122044172617,1.0480604227387063,1549.4202608385642,10.0,10.0,0.0,10.0,10.0,0.0,33.27702475022726,-1.2453570230457229e-06,-7.573718396788578e-07,-0.000510899421125774,0.0008465143593547073,-0.000934420199277178,0.0016270358319652512,-0.001237970584721778,0.0022571148718447146,-0.0014101064664862085,0.0026668023680341294,-0.001461649921659084,0.0028077640272344503,-0.0014217381068955517,0.0026591626340816276,-0.0013308191654466245,0.002230677086490345,-0.0012319995959277127,0.001562111303887334,-0.0011623258853180136,0.0007194409476793526,-0.0011456134936320987,-0.00021228123941307534,-0.001188107393640588,-0.0011382653277497122,-0.0012776739896560884,-0.0019643361760608487,-0.0013865078320253073,-0.0026069810747244436,-0.0014766669865990693,-0.0030019392033638127,-0.001507299245236213,-0.003110510452974945,-0.001442262853618005,-0.0029231215226519333,-0.0012569612601246486,-0.002460004137973597,-0.0009434983055416437,-0.0017689755030867004,-0.0005135536392256292,-0.000920564682654927,1.2449942353689573e-06,-7.54372364530302e-07
6,0.23468408850187727,2281289.2168235434,13.702428035132868,1.0437933578543064,0.9899964928253251,0.1505768624228759,0.01183031464960192,0.0024057122044172617,1.0480604227387063,1549.4202608385642,10.0,10.0,0.0,10.0,10.0,0.0,35.35079693432125,-1.3240008582709185e-06,-8.052383239824373e-07,-0.0007157614579746778,0.0011777702692785453,-0.001309128790677249,0.0022632961015490536,-0.0017334614453371104,0.003138785978376062,-0.0019727177353660768,0.0037061185860669216,-0.002042601950518271,0.0038972473290802482,-0.0019848249179148752,0.0036826987817456607,-0.001856946304128598,0.0030760179385224636,-0.0017198887419323772,0.0021332849206678176,-0.0016254892847068468,0.0009474860598427677,-0.0016064396124907405,-0.00036161600432235924,-0.0016704202299459411,-0.0016607575336723308,-0.0017993270337459352,-0.0028177816206437006,-0.0019534321731614714,-0.0037157020959577777,-0.002079382779209004,-0.004264637421399137,-0.002120357110837467,-0.004410532133347615,-0.0020265537662917175,-0.004140090373514044,-0.0017644282900841821,-0.003481748212947222,-0.0013235530215948226,-0.002502665928216974,-0.0007203794455881074,-0.0013020048648410701,1.3234926845809103e-06,-8.007263422295449e-07
7,0.23468408850187727,2281289.2168235434,13.702428035132868,1.0437933578543064,0.9899964928253251,0.1505768624228759,0.01183031464960192,0.0024057122044172617,1.0480604227387063,1549.4202608385642,10.0,10.0,0.0,10.0,10.0,0.0,36.59865453760579,-1.3720884749791193e-06,-8.343520983452175e-07,-0.0009196012868680092,0.0015021686948034755,-0.0016817454935021858,0.0028861930195585497,-0.002225495943456674,0.00400121927786919,-0.002530261451046685,0.004721021663560611,-0.0026169444384253116,0.00495779044685337,-0.0025402968218347865,0.0046733651622571475,-0.0023754163910565023,0.00388519826136095,-0.0022012365243392583,0.0026657963862814133,-0.0020842384393171204,0.0011353559679683663,-0.00206552273056014,-0.0005514983138596161,-0.0021535607699804315,-0.0022230002693345466,-0.002323668218083118,-0.0037091211550257367,-0.002523821360798892,-0.004859598695923221,-0.002685236221272533,-0.0055591281632753065,-0.002735446111191197,-0.005738419765156359,-0.002611528586981867,-0.005380472426780723,-0.0022715362933568733,-0.004521875128304048,-0.0017028508777569625,-0.0032490918876677535,-0.0009266951452142894,-0.0016899765140933121,1.3714355759654836e-06,-8.283146184323967e-07
8,0.23468408850187727,2281289.2168235434,13.702428035132868,1.0437933578543064,0.9899964928253251,0.1505768624228759,0.01183031464960192,0.0024057122044172617,1.0480604227387063,1549.4202608385642,10.0,10.0,0.0,10.0,10.0,0.0,37.422109695579586,-1.4046316244221293e-06,-8.538264432205329e-07,-0.001122181975244671,0.0018195392175926648,-0.002051814378296602,0.0034953978812659998,-0.002713454845614248,0.004843941259053215,-0.003082020916821256,0.005710919477555657,-0.0031839271950569827,0.0059887227820916615,-0.0030874219995813473,0.005630466715750592,-0.00288554793111012,0.00465756286105485,-0.0026754197751724866,0.003159096477626157,-0.002537993885464637,0.0012826625636201728,-0.0025222971695051735,-0.0007821236699899561,-0.002636943645333599,-0.0028249957411753232,-0.0028500678448325854,-0.004638192065585504,-0.0030969946230979184,-0.006038391075279219,-0.0032935100790168668,-0.00688506908351274,-0.0033518465800912466,-0.007093819277109792,-0.0031965129791033157,-0.006643943712414369,-0.0027777101577992447,-0.00558012296677186,-0.0020809675315212857,-0.004008075524420962,-0.001132268307118845,-0.002084396546140871,1.4038348332181157e-06,-8.462643983037213e-07
9,0.23468408850187727,2281289.2168235434,13.702428035132868,1.0437933578543064,0.9899964928253251,0.1505768624228759,0.01183031464960192,0.0024057122044172617,1.0480604227387063,1549.4202608385642,10.0,10.0,0.0,10.0,10.0,0.0,37.997202048104484,-1.4282121735999369e-06,-8.676563241989495e-07,-0.0013232967366404121,0.0021297981522524455,-0.0024189440167259523,0.004090745714745417,-0.0031968105683865796,0.005666710290022948,-0.0036273892064495436,0.006675505785553026,-0.003742918204403428,0.006989694216626719,-0.003625586184870036,0.006553640002163791,-0.0033867694854598325,0.005392774132037824,-0.003141914236922828,0.0036129156913108805,-0.0029862638216558582,0.001389240383662908,-0.002976276595228964,-0.0010535337076464186,-0.0031200590841472444,-0.003466663516840282,-0.00337797243076358,-0.0056048133329567856,-0.0036723504516741573,-0.007251830933932906,-0.0039035689455567298,-0.008242180160353987,-0.003968919890550582,-0.008476450164925023,-0.0037809076734197475,-0.007930248529483756,-0.003282438320800089,-0.006656281719546177,-0.0024575262237844435,-0.004779469889146313,-0.001336895462313871,-0.0024851926924418545,1.4272724835444282e-06,-8.585781186934848e-07
10,0.23468408850187727,2281289.2168235434,13.702428035132868,1.0437933578543064,0.9899964928253251,0.1505768624228759,0.01183031464960192,0.0024057122044172617,1.0480604227387063,1549.4202608385642,10.0,10.0,0.0,10.0,10.0,0.0,38.413232191111625,-1.446168910260538e-06,-8.778676737562529e-07,-0.0015227467554501423,0.002432889772718695,-0.002782761304534616,0.004672123887183191,-0.0036750625707181813,0.006469358744617325,-0.004165792891297409,0.007614565970849062,-0.004293322652149956,0.007960458517181785,-0.004154213067644394,0.007442631245317272,-0.0038785456326565484,0.00609060279362858,-0.00360022774938272,0.004027084480595158,-0.0034285837819491394,0.0014550095529240064,-0.003426997622921555,-0.001365702826653038,-0.0036024172152021657,-0.004147875498911004,-0.003906847029424888,-0.0066087741000858125,-0.004249305837625025,-0.008499653785134407,-0.004514796341691787,-0.009630173404646239,-0.004586046284173452,-0.009886026977740556,-0.0043641310417755624,-0.009239125614756852,-0.003785224301904062,-0.007750133908591446,-0.002832161710198869,-0.005563119715063616,-0.0015403806325537024,-0.002892286133220563,1.4450874700708666e-06,-8.672867157011068e-07
