时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.3847858371802459,11530681.642583074,510.2274985768827,4.727635108004179,0.6098887254360703,0.11977965967705266,0.03427935088273186,0.0022156062043977953,0.6678069745546638,1042.9331376729722,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.3847858371802459,11530681.642583074,510.2274985768827,4.727635108004179,0.6098887254360703,0.11977965967705266,0.03427935088273186,0.0022156062043977953,0.6678069745546638,1042.9331376729722,10.0,10.0,1000.0,10.0,10.0,1000.0,37.16126936184696,-1.5610797823744672e-06,-1.183973227749566e-06,1.2783937338573839e-05,-2.6927224459319134e-05,4.2764955516216584e-05,-7.318630045605161e-05,7.648598165859546e-05,-0.0001310703389625803,0.00010535416095292301,-0.00018767597996707596,0.00012359697445133523,-0.00023005389613516418,0.00012935371480248174,-0.00024774250925609336,0.00012466624314372412,-0.0002348494404600559,0.00011439891772474739,-0.00019121380444112857,0.0001044144620211067,-0.00012249330574641294,9.951782643409834e-05,-3.911937513502315e-05,0.00010179187107205668,4.57175172051355e-05,0.00010987143936794047,0.00011867873519249318,0.00011942142423366164,0.00016893491164104494,0.00012467997602498248,0.00019028517231003085,0.00012056501429919161,0.000182283791783005,0.00010466152212036904,0.00015017448928973562,7.843778242678141e-05,0.00010367876809079747,4.73039571614124e-05,5.495912734560456e-05,1.9401362559300825e-05,1.6105081188519438e-05,1.5309236681609133e-06,-1.2196371031680922e-06
3,0.3847858371802459,11530681.642583074,510.2274985768827,4.727635108004179,0.6098887254360703,0.11977965967705266,0.03427935088273186,0.0022156062043977953,0.6678069745546638,1042.9331376729722,10.0,10.0,1000.0,10.0,10.0,1000.0,84.25926629473484,-3.5620076008951173e-06,-2.6576900024212857e-06,5.206757471445402e-05,-9.215958235654002e-05,0.00016192825165353437,-0.00025953088810275627,0.00028582607124488064,-0.0004702031305743001,0.000392218291753494,-0.0006765970400896104,0.00045971433016815807,-0.0008305314189502697,0.0004812454018508492,-0.0008928996538825612,0.00046415506764310727,-0.0008415639150825955,0.00042634491110857053,-0.0006758373386673068,0.0003895837077228849,-0.0004169031419214789,0.000371836673285863,-0.00010396063799849384,0.0003809454247818494,0.00021333969830791434,0.0004117786340670593,0.00048478382108946435,0.000447947835065508,0.0006697059625030792,0.0004676286031362559,0.0007450480714420628,0.0004515893528993781,0.0007095892269785686,0.0003907824482672208,0.0005835728383360103,0.00029096703866330573,0.0004039949813758224,0.00017283588240342467,0.00021679629773692193,6.732280436505437e-05,6.746338536212778e-05,3.450253059959915e-06,-2.791992877454459e-06
4,0.3847858371802459,11530681.642583074,510.2274985768827,4.727635108004179,0.6098887254360703,0.11977965967705266,0.03427935088273186,0.0022156062043977953,0.6678069745546638,1042.9331376729722,10.0,10.0,1000.0,10.0,10.0,1000.0,116.82706532986758,-5.001763029986064e-06,-3.606877876339111e-06,0.00013862350764274082,-0.00021770653738283524,0.0004111357905421031,-0.0006306151705716653,0.0007189357526568227,-0.001152958605755423,0.0009840832444570856,-0.0016659331242186734,0.0011533620466249238,-0.002048440025676317,0.001208600810024648,-0.002201890418970609,0.0011671512597894978,-0.002070226103516551,0.0010728808459264153,-0.001651337051163552,0.0009800152624204886,-0.0009982589331037693,0.000934092764403499,-0.00020968205146049257,0.0009557349637760441,0.0005889786143121825,0.0010327998262839525,0.001270628114111324,0.0011241355290235375,0.0017323668207607445,0.0011741655445014433,0.0019162156641026548,0.0011335756933713757,0.0018198898530151502,0.0009791066650232396,0.001495519765386264,0.0007256086360320213,0.0010372224448568636,0.0004261462529174914,0.000560952209594605,0.00015954065998580137,0.00018095064779784887,4.722895834325031e-06,-3.9458121303180305e-06
5,0.3847858371802459,11530681.642583074,510.2274985768827,4.727635108004179,0.6098887254360703,0.11977965967705266,0.03427935088273186,0.0022156062043977953,0.6678069745546638,1042.9331376729722,10.0,10.0,1000.0,10.0,10.0,1000.0,129.2393671159474,-5.603106119316465e-06,-3.9018702904613326e-06,0.00022758806263879002,-0.00034195534124528064,0.000663045171662461,-0.0010027191164680234,0.0011551406493865684,-0.0018410848908704128,0.00158004307475346,-0.0026662381326849316,0.001852955855400802,-0.003283105236490663,0.001944131199101483,-0.0035327274965122305,0.0018798200727787632,-0.0033244899273764273,0.0017287585699344741,-0.0026543777216819628,0.001577303577630689,-0.0016069179745817742,0.0014993478691208728,-0.0003402120138656711,0.0015298247991077888,0.0009441427175819102,0.0016510089245261226,0.002041247045045615,0.001797495591952334,0.00278486999590316,0.0018793103588573472,0.0030813332160802235,0.0018157419033265655,0.0029271193967950835,0.00156821043415034,0.0024065370928968858,0.0011604182973273102,0.0016711323439743476,0.0006784344638423648,0.0009068552187468791,0.0002498655287780988,0.0002964843014895023,5.156779040147095e-06,-4.446818494373329e-06
6,0.3847858371802459,11530681.642583074,510.2274985768827,4.727635108004179,0.6098887254360703,0.11977965967705266,0.03427935088273186,0.0022156062043977953,0.6678069745546638,1042.9331376729722,10.0,10.0,1000.0,10.0,10.0,1000.0,135.72589615685231,-5.957930442691118e-06,-4.003824872538774e-06,0.0003171764651626748,-0.00046626217121703627,0.0009152780952600211,-0.0013770827454676446,0.0015913356664402948,-0.0025354935433127713,0.002176323730952732,-0.0036781630517912544,0.0025543034815322862,-0.004535349931543736,0.0026835745081559463,-0.0048871705217807355,0.0025981289758389907,-0.004608018910269949,0.002390286771566986,-0.003691472246197597,0.0021779632752683773,-0.002252892380771339,0.0020640004357190757,-0.0005091641668671777,0.0020991546975055076,0.0012621948095990563,0.002261724773120798,0.0027781806381412502,0.0024628805281851894,0.003808512156168962,0.0025779221576375582,0.004223064058816267,0.002493604939670917,0.004016610364155059,0.0021548729521794828,0.0033053851947354522,0.0015937721894692467,0.0022980321293030216,0.0009296128101495549,0.0012499028860904705,0.0003393060502901735,0.00041169787895286507,5.344534868964522e-06,-4.754748582176788e-06
7,0.3847858371802459,11530681.642583074,510.2274985768827,4.727635108004179,0.6098887254360703,0.11977965967705266,0.03427935088273186,0.0022156062043977953,0.6678069745546638,1042.9331376729722,10.0,10.0,1000.0,10.0,10.0,1000.0,139.68041524571072,-6.2074655976231095e-06,-4.022699390946446e-06,0.00040699430786730233,-0.0005909993317587274,0.0011673460586457084,-0.0017541610514350944,0.0020268945462933296,-0.003236722382869028,0.0027721512272005262,-0.004702367009950205,0.003256528027609385,-0.005806035674771285,0.0034260378439208397,-0.006266396115178601,0.0033212583117184003,-0.005922434019485306,0.0030567630582361976,-0.00476480708875007,0.002781379460141062,-0.002939004308148386,0.0026274298804327047,-0.000719961451078396,0.0026629924208975727,0.0015392847981183803,0.0028640510522229988,0.0034774440849555522,0.003119274327969633,0.004799510671471717,0.003268999873494905,0.005338117116840119,0.0031663499411119555,0.005085739669901488,0.0027386003671452733,0.004190153165506152,0.0020255376187514186,0.002916651886483185,0.0011798418228106396,0.0015893202333739744,0.0004281793152685679,0.0005261400204981303,5.4274977196800014e-06,-4.979350024610971e-06
8,0.3847858371802459,11530681.642583074,510.2274985768827,4.727635108004179,0.6098887254360703,0.11977965967705266,0.03427935088273186,0.0022156062043977953,0.6678069745546638,1042.9331376729722,10.0,10.0,1000.0,10.0,10.0,1000.0,142.3157143663626,-6.402163045228699e-06,-3.997812905796732e-06,0.000496883374225038,-0.0007162817538382241,0.0014190131352434228,-0.002134064833179078,0.0024614613306302244,-0.003944877596930032,0.003367034069027974,-0.005738977999386955,0.003959033155769918,-0.007095357715695792,0.004170890563857893,-0.007670718553048369,0.004048623605110871,-0.007268222148923165,0.0037277005537561772,-0.005875096027917965,0.003387157617001992,-0.0036662361401328244,0.00318927315655301,-0.0009738541328659626,0.0032209237607587027,0.0017739635940114081,0.003457468305620922,0.004137520931144536,0.003766063294250837,0.0057564334542784465,0.003951912058735594,0.006425265210036177,0.003833434976136907,0.006133545684336866,0.003319028729824876,0.005060148362004102,0.002455558667474796,0.0035265326530377044,0.0014291357325671977,0.001924826836362999,0.0005165902703934146,0.0006396480735367807,5.456204908168314e-06,-5.159841176301928e-06
9,0.3847858371802459,11530681.642583074,510.2274985768827,4.727635108004179,0.6098887254360703,0.11977965967705266,0.03427935088273186,0.0022156062043977953,0.6678069745546638,1042.9331376729722,10.0,10.0,1000.0,10.0,10.0,1000.0,144.17312243192524,-6.564518831379056e-06,-3.946742116818439e-06,0.0005867552333562263,-0.0008421395503504027,0.0016701128240643051,-0.002516779095409617,0.002894747845399394,-0.004659890809640355,0.003960543781124076,-0.006787893345593,0.00466127573360654,-0.00840321501786191,0.004917541466102373,-0.009100077256945135,0.004779666872650545,-0.008645401885844334,0.004402633560530426,-0.00702248047119182,0.003994931831544602,-0.004434896023528275,0.0037492157048618887,-0.0012713379753569833,0.0037726083267232906,0.0019655756377363874,0.004041550316558744,0.004757673508311611,0.004402729915853413,0.00667855785478195,0.004626105053214229,0.007483877640101821,0.004494359206411619,0.007159526438003823,0.0038957902651719314,0.005915000624037413,0.0028836356099654925,0.004127422010584001,0.0016774404731359754,0.0022562673024126927,0.0006045697684408296,0.0007521378493650994,5.453242780428919e-06,-5.313718151119137e-06
10,0.3847858371802459,11530681.642583074,510.2274985768827,4.727635108004179,0.6098887254360703,0.11977965967705266,0.03427935088273186,0.0022156062043977953,0.6678069745546638,1042.9331376729722,10.0,10.0,1000.0,10.0,10.0,1000.0,145.52974516972424,-6.70602762473539e-06,-3.878507927180004e-06,0.0006765486917890316,-0.0009685694377207494,0.0019205050981143106,-0.002902239446810642,0.003326490786156335,-0.0053816255379352355,0.004552273874023839,-0.007848921536336878,0.005362730106296697,-0.009729394735119313,0.005665411320171783,-0.010554273516289979,0.005513837200718245,-0.010053822907827819,0.005081101183082359,-0.008206898577469512,0.004604342914620243,-0.005245055393171437,0.00430695558611366,-0.0016126466919847368,0.004317725716065561,0.002113737379832238,0.004615895787646363,0.005337426736310118,0.005028780620098437,0.007565395717775604,0.005291040846522145,0.00851351636341007,0.005148623295704765,0.008163324504419759,0.004468502613240478,0.006754438317245983,0.0033095412676127423,0.004719129493897648,0.001924668734534597,0.0025835249104700134,0.0006921170656257392,0.00086355247869902,5.430200345217213e-06,-5.449926171920979e-06
