时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.937274818070703,200851145.11760098,-3228.4212565994676,953.3366786381189,2.678183519991959,0.3045172992940932,0.13283957907333305,0.00767067638163551,2.7678432534331567,1270.443912794445,9.379352195579434,8.521895410316594,769.101516897718,4.9734967923296995,4.451695862031876,927.3508962473383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.937274818070703,200851145.11760098,-3228.4212565994676,953.3366786381189,2.678183519991959,0.3045172992940932,0.13283957907333305,0.00767067638163551,2.7678432534331567,1270.443912794445,9.379352195579434,8.521895410316594,769.101516897718,4.9734967923296995,4.451695862031876,927.3508962473383,3.4221878149500267,-6.925971964434711e-07,-3.377261233122455e-07,3.1141554069839965e-06,-1.2423528416914298e-05,1.1676854036340005e-05,-3.567114514310594e-05,2.12459319422944e-05,-6.48268861927319e-05,2.93613108474062e-05,-9.334837151574601e-05,3.4462545860235284e-05,-0.0001148320749285786,3.610661620648564e-05,-0.00012421379758123792,3.4891898186068444e-05,-0.0001187090569919205,3.2132605227547105e-05,-9.830780512837953e-05,2.9378481169914197e-05,-6.57467441202493e-05,2.790319701758612e-05,-2.597013413772969e-05,2.8295035934097948e-05,1.4818277255349888e-05,3.0265469543335202e-05,5.033696817271783e-05,3.2740606434487433e-05,7.541959810084145e-05,3.4222389421840964e-05,8.698883090429731e-05,3.3320811213880825e-05,8.46181983690188e-05,2.9295060523237806e-05,7.057028861746911e-05,2.24257934157831e-05,4.9302660699586184e-05,1.4086986751972345e-05,2.6546284186732323e-05,6.473914873324251e-06,8.133897695844593e-06,1.3108228873325874e-06,-6.776284964631443e-07
3,2.937274818070703,200851145.11760098,-3228.4212565994676,953.3366786381189,2.678183519991959,0.3045172992940932,0.13283957907333305,0.00767067638163551,2.7678432534331567,1270.443912794445,9.379352195579434,8.521895410316594,769.101516897718,4.9734967923296995,4.451695862031876,927.3508962473383,7.623218173674001,-1.5447155436674666e-06,-7.490244767185012e-07,9.280432677631727e-06,-3.3181815121120164e-05,3.2628892440898294e-05,-9.614029610542017e-05,5.873713946068479e-05,-0.0001752562863992819,8.090195199430627e-05,-0.00025265815851359006,9.485085081334916e-05,-0.0003107584519399994,9.935595119047561e-05,-0.0003356051600403096,9.603978850446857e-05,-0.00031950880193180333,8.849616617323887e-05,-0.0002624347482324727,8.098061190138942e-05,-0.0001719449486476763,7.700366886162446e-05,-6.17190689267405e-05,7.819292168026984e-05,5.10634497436522e-05,8.374833600396295e-05,0.00014899699128708902,9.068145560018068e-05,0.00021776265185482425,9.481238658618642e-05,0.00024883856536819354,9.225466495134628e-05,0.00024106850175145502,8.093377231023775e-05,0.00020077564060285398,6.163701233543064e-05,0.00014039966623130977,3.822198429803619e-05,7.594887321187036e-05,1.686412012578804e-05,2.376763962266625e-05,2.9179717682626458e-06,-1.5158961254016456e-06
4,2.937274818070703,200851145.11760098,-3228.4212565994676,953.3366786381189,2.678183519991959,0.3045172992940932,0.13283957907333305,0.00767067638163551,2.7678432534331567,1270.443912794445,9.379352195579434,8.521895410316594,769.101516897718,4.9734967923296995,4.451695862031876,927.3508962473383,12.404684425467703,-2.5192096307904236e-06,-1.2081071989130443e-06,2.2662125049203534e-05,-7.178964636639235e-05,7.438538777410678e-05,-0.00021024488426795183,0.00013221974065551312,-0.0003845774963969395,0.00018136584677196758,-0.0005551260968797868,0.00021235083023724138,-0.0006826388995684424,0.0002224088179029386,-0.0007358753937003528,0.0002150808079788374,-0.0006975722719383144,0.00019831067195572407,-0.0005676317344630217,0.00018157508527912175,-0.0003630382735169007,0.00017275614474228406,-0.00011457001563309228,0.00017555943982791082,0.00013907291840660986,0.000188224859718451,0.0003586447066682121,0.000204003753775068,0.0005118473570403421,0.00021338782519287862,0.00057948157434424,0.0002074965175162857,0.0005590188002859313,0.0001815751952186344,0.0004648730832121884,0.00013742708933174558,0.00032532888469230726,8.390144828261975e-05,0.00017679168735349778,3.51694267437829e-05,5.651747575188788e-05,4.740927267270146e-06,-2.486724956783412e-06
5,2.937274818070703,200851145.11760098,-3228.4212565994676,953.3366786381189,2.678183519991959,0.3045172992940932,0.13283957907333305,0.00767067638163551,2.7678432534331567,1270.443912794445,9.379352195579434,8.521895410316594,769.101516897718,4.9734967923296995,4.451695862031876,927.3508962473383,16.819210415383065,-3.430013855663818e-06,-1.608757897620945e-06,5.11603358871623e-05,-0.00014558798545644927,0.00015823896163157035,-0.00043086743585199293,0.0002778649566768713,-0.0007907717648771146,0.0003796363327329527,-0.0011430259078477186,0.00044404892207477434,-0.0014058014972824992,0.0004652687965236309,-0.0015137718550625886,0.000450349823698386,-0.0014307139085918857,0.0004154827888223517,-0.001156286007132099,0.0003802637782168899,-0.0007259487600436639,0.0003612886923388701,-0.00020417051850775338,0.0003666585753046796,0.00032781540565196923,0.00039301808421784914,0.0007874875723747997,0.000426295888792734,0.00110685288935522,0.00044629570469103717,0.0012454962940083119,0.0004339548394449085,0.0011981894666413934,0.000378972468865869,0.0009954839528088615,0.0002851484728282138,0.0006972124309626455,0.00017143908581869293,0.0003803525030946863,6.816633695599656e-05,0.00012376746794026233,6.4072326235534815e-06,-3.4240390823810084e-06
6,2.937274818070703,200851145.11760098,-3228.4212565994676,953.3366786381189,2.678183519991959,0.3045172992940932,0.13283957907333305,0.00767067638163551,2.7678432534331567,1270.443912794445,9.379352195579434,8.521895410316594,769.101516897718,4.9734967923296995,4.451695862031876,927.3508962473383,18.986461580423555,-3.888667323471369e-06,-1.7810497955355816e-06,8.196463087275187e-05,-0.00022178799379114284,0.00024648593989243516,-0.0006601376096627376,0.0004301503364205833,-0.0012140470714628977,0.0005866089699839425,-0.0017568819668770997,0.0006861166214225489,-0.0021623226631700067,0.0007195544000380468,-0.002329304954195424,0.0006972520953796457,-0.0022015742153887836,0.0006435389041611178,-0.001778226168866382,0.0005883319366534231,-0.0011136747355914645,0.0005574863097418889,-0.00030728366236643627,0.0005641831571359341,0.0005154309274827203,0.0006039363830492418,0.0012266878066423497,0.0006552986653285987,0.0017209892851054883,0.0006867875240092624,0.0019354819989725765,0.0006683112985646238,0.0018618794724968037,0.000583393690765849,0.001547417564326987,0.00043778683354112226,0.0010847421313033134,0.00026115054490594435,0.0005930727922301986,0.00010092286266578219,0.00019464320214147761,7.208063435390176e-06,-3.92590687703397e-06
7,2.937274818070703,200851145.11760098,-3228.4212565994676,953.3366786381189,2.678183519991959,0.3045172992940932,0.13283957907333305,0.00767067638163551,2.7678432534331567,1270.443912794445,9.379352195579434,8.521895410316594,769.101516897718,4.9734967923296995,4.451695862031876,927.3508962473383,20.228394501061754,-4.161055490733785e-06,-1.8598183899438614e-06,0.00011324173620702259,-0.00029807738146751046,0.0003351366480728569,-0.0008905243778858688,0.0005827248754410091,-0.001640387736031012,0.0007939616533800209,-0.0023765832781171095,0.0009290355201574592,-0.00292803160819388,0.0009754322781299254,-0.0031575729838026,0.0009463556213629227,-0.002988519731442313,0.0008738036137202057,-0.0024189850249710953,0.0007977869936601048,-0.0015219412046661785,0.0007536174421462848,-0.0004313603140102485,0.0007601010952022453,0.000683042110332025,0.0008122162282881525,0.0016480565394068004,0.0008814554118626566,0.002320306463876337,0.0009249362980865952,0.0026140443035631397,0.0009011134661603825,0.002517513039143501,0.0007868925268809865,0.0020943182717485754,0.0005897774494417513,0.001469686657199705,0.00035022826140906964,0.0008049128087509133,0.0001330288566490297,0.0002655460716219769,7.653672496836123e-06,-4.246777196222217e-06
8,2.937274818070703,200851145.11760098,-3228.4212565994676,953.3366786381189,2.678183519991959,0.3045172992940932,0.13283957907333305,0.00767067638163551,2.7678432534331567,1270.443912794445,9.379352195579434,8.521895410316594,769.101516897718,4.9734967923296995,4.451695862031876,927.3508962473383,21.026346746843952,-4.344303845375594e-06,-1.8936290828788854e-06,0.0001447025900007646,-0.0003745061740843102,0.000423805725971416,-0.0011219959420204733,0.0007351123935092029,-0.002069724298830694,0.0010011528047774688,-0.003002139060701717,0.0011722405852770687,-0.0037031867410964666,0.0012323622484118242,-0.0039992765146277184,0.001197182870451659,-0.0037928707860707274,0.001105871962949295,-0.00308062654287097,0.0010082705256811422,-0.0019535914828838876,0.0009493167806245916,-0.0005799461092723575,0.0009539842447768995,0.0008265955184421423,0.0010173389305800106,0.00204732116603664,0.0011041785266642536,0.002900645683310085,0.001160155911778991,0.0032774534695215432,0.0011318726097961852,0.003162029653949965,0.0009891631946305774,0.002633921084376196,0.0007410398062038424,0.001850572953294163,0.0004387996456986527,0.0010150670336471815,0.00016474848208653152,0.0003361256111745761,7.929523728181542e-06,-4.480388364907991e-06
9,2.937274818070703,200851145.11760098,-3228.4212565994676,953.3366786381189,2.678183519991959,0.3045172992940932,0.13283957907333305,0.00767067638163551,2.7678432534331567,1270.443912794445,9.379352195579434,8.521895410316594,769.101516897718,4.9734967923296995,4.451695862031876,927.3508962473383,21.577629301858906,-4.478234835119276e-06,-1.902404303070134e-06,0.00017622188805011595,-0.0004510787705583616,0.0005123151439025847,-0.0013544949894149546,0.0008870781806370634,-0.0025019555295505264,0.0012078972717522972,-0.0036334607340637935,0.0014154158061829378,-0.0044877947551772695,0.0014900286398745826,-0.004854607581594824,0.0014494514117976435,-0.004615084005509743,0.0013395144725074975,-0.0037639251788663384,0.0012196009748630025,-0.0024097321920853888,0.0011444211314578648,-0.0007544447373448009,0.001145648254434364,0.0009444778661257952,0.001219071966864881,0.0024227873996421688,0.001323190572136807,0.0034603758484291736,0.0013921598245788265,0.003924270535449231,0.0013603464865599869,0.0037942716681681364,0.0011900546375385424,0.003165387048573085,0.000891533713065494,0.002226866018848273,0.0005269207419217563,0.0012232462866224544,0.00019619417569971624,0.00040625299315723225,8.111668163348584e-06,-4.6651888906629625e-06
10,2.937274818070703,200851145.11760098,-3228.4212565994676,953.3366786381189,2.678183519991959,0.3045172992940932,0.13283957907333305,0.00767067638163551,2.7678432534331567,1270.443912794445,9.379352195579434,8.521895410316594,769.101516897718,4.9734967923296995,4.451695862031876,927.3508962473383,21.976589785338263,-4.581889774495067e-06,-1.895683561137376e-06,0.00020773151833921574,-0.0005277793498798188,0.0006005542946338392,-0.001587942774841705,0.0010384595720117228,-0.002936944666104533,0.0014139799912375021,-0.004270388415832149,0.001658308012692368,-0.005281727980206081,0.0017481688134972984,-0.00572353267359693,0.0017029226409502227,-0.005455276095689767,0.001574539604546974,-0.004469188900670808,0.0014316338009928177,-0.0028908806192947307,0.0013388084304112714,-0.0009555697555165373,0.001334957275330464,0.0010358277586620815,0.0014172384719621206,0.002773523831434661,0.0015382722628284294,0.003998585362754079,0.0016207134029467265,0.004553684073314971,0.0015863277583405572,0.004413582830871233,0.001389424411859106,0.0036882387905639393,0.0010411973307695528,0.0025982610694674554,0.0006145994818695753,0.001429287347218371,0.00022741493545558618,0.0004758588716610613,8.236490494606718e-06,-4.819556572853597e-06
