时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.5629430632355956,31756005.007334907,-1388.6047717129368,42.72807308842474,1.6456742129152242,0.14873872416605777,0.05127224246087966,0.004204641667024092,1.6808509226616224,1449.0570155201872,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.5629430632355956,31756005.007334907,-1388.6047717129368,42.72807308842474,1.6456742129152242,0.14873872416605777,0.05127224246087966,0.004204641667024092,1.6808509226616224,1449.0570155201872,10.0,10.0,0.0,10.0,10.0,0.0,1.8618945315651172,-2.046923484368109e-07,-7.430315847667425e-08,-1.0428937579425348e-05,2.8295711172672797e-05,-1.8593601806817494e-05,5.387245614822964e-05,-2.4309834089725406e-05,7.396978196824388e-05,-2.7459038694332012e-05,8.648281162994114e-05,-2.8326505518208534e-05,9.005529604163233e-05,-2.7509172351856356e-05,8.422572119034352e-05,-2.5781275971752408e-05,6.948034501978785e-05,-2.394013445131427e-05,4.7209446030735236e-05,-2.2657873080747666e-05,1.957033844922907e-05,-2.236291214438831e-05,-1.0727975548276024e-05,-2.316873148563059e-05,-4.069596877972836e-05,-2.4858920862350405e-05,-6.736246868680296e-05,-2.6928374527621055e-05,-8.807113112151017e-05,-2.8672330021698675e-05,-0.00010074544198882061,-2.9308907026115458e-05,-0.00010409698651184281,-2.8117302431886706e-05,-9.775723717132882e-05,-2.457284778296808e-05,-8.232062480286584e-05,-1.846097571992685e-05,-5.9293101309396185e-05,-9.952454313195183e-06,-3.095205274521852e-05,2.047494188229645e-07,-7.419229559262625e-08
3,1.5629430632355956,31756005.007334907,-1388.6047717129368,42.72807308842474,1.6456742129152242,0.14873872416605777,0.05127224246087966,0.004204641667024092,1.6808509226616224,1449.0570155201872,10.0,10.0,0.0,10.0,10.0,0.0,4.239535622877539,-4.661399735082774e-07,-1.6922515756785202e-07,-2.80965806280366e-05,7.672943389260485e-05,-5.023642858644415e-05,0.0001461359826099981,-6.574573232988749e-05,0.00020077155320321466,-7.429359130651227e-05,0.00023490937208235567,-7.664982752232473e-05,0.0002448520166479919,-7.443402400213055e-05,0.0002293281418056516,-6.974840939894551e-05,0.0001896374870811286,-6.47568290052011e-05,0.00012953258779831202,-6.128096664613377e-05,5.484711858094023e-05,-6.04790267951547e-05,-2.708869884360166e-05,-6.265434403744851e-05,-0.00010818391965946774,-6.72176180612507e-05,-0.00018039725540458068,-7.280123195083542e-05,-0.00023654002798697004,-7.750196852194582e-05,-0.0002709928957201342,-7.921244592945172e-05,-0.0002802680938432275,-7.599278408033581e-05,-0.0002633640544575849,-6.643209235522415e-05,-0.0002218793600577222,-4.9952242097366696e-05,-0.00015987084753663384,-2.700807905494911e-05,-8.347068459132983e-05,4.662938682100497e-07,-1.6890345941238528e-07
4,1.5629430632355956,31756005.007334907,-1388.6047717129368,42.72807308842474,1.6456742129152242,0.14873872416605777,0.05127224246087966,0.004204641667024092,1.6808509226616224,1449.0570155201872,10.0,10.0,0.0,10.0,10.0,0.0,6.82962902047469,-7.510460066881223e-07,-2.727056047987015e-07,-5.6647762391588427e-05,0.00015566483790323052,-0.00010160174662385835,0.0002965814561971296,-0.0001331054707428788,0.0004077119208852543,-0.00015046562582035758,0.00047738361632500216,-0.00015524101710301668,0.0004980402203460377,-0.00015072967267916012,0.00046705150614731293,-0.0001412141473205381,0.0003870127200450035,-0.0001310970086573279,0.0002655062284741835,-0.00012407495496759814,0.00011434618786071449,-0.00012248621757610076,-5.1611047780784074e-05,-0.00012692763502339814,-0.0002159636308205023,-0.00013618718870937765,-0.00036241072376830806,-0.0001474850986943525,-0.00047638139294328393,-0.00015697156985296126,-0.0005464859727853025,-0.00016039812057427161,-0.0005656521333295988,-0.00015386378287342455,-0.0005318390562638413,-0.00013453577382383628,-0.0004482631651563038,-0.00010125188862162206,-0.0003231057862924766,-5.4917231854317405e-05,-0.00016873034757945916,7.513566726332171e-07,-2.720058394249625e-07
5,1.5629430632355956,31756005.007334907,-1388.6047717129368,42.72807308842474,1.6456742129152242,0.14873872416605777,0.05127224246087966,0.004204641667024092,1.6808509226616224,1449.0570155201872,10.0,10.0,0.0,10.0,10.0,0.0,10.010741829221653,-1.1012700821340976e-06,-4.000326024222459e-07,-0.00012066431527267663,0.00033322805383066115,-0.00021723671013568994,0.0006351262961861412,-0.0002848930896473273,0.0008736224515085227,-0.0003220865168489672,0.0010235122328051101,-0.00033218753204273177,0.0010684145419782194,-0.0003223613239723536,0.001002536582916634,-0.00030190021802418147,0.0008313406725907229,-0.0002803186147800949,0.0005710407843148599,-0.0002655485448367948,0.00024697464208980305,-0.00026253649368832704,-0.00010896681857999087,-0.0002724487122449151,-0.0004615707397520977,-0.00029257214131861117,-0.0007758488457573515,-0.0003168779790326197,-0.0010205356278814985,-0.0003371181162523904,-0.001171195672164967,-0.00034426432682584964,-0.0012126485621752315,-0.00033007736488227475,-0.0011404881059970556,-0.000288600341805444,-0.0009615555991094637,-0.0002173952366651577,-0.0006933063151706648,-0.00011835824470778256,-0.0003621202151179809,1.1019332468124317e-06,-3.9840564895153497e-07
6,1.5629430632355956,31756005.007334907,-1388.6047717129368,42.72807308842474,1.6456742129152242,0.14873872416605777,0.05127224246087966,0.004204641667024092,1.6808509226616224,1449.0570155201872,10.0,10.0,0.0,10.0,10.0,0.0,11.924716751996083,-1.3125493252777955e-06,-4.769545912940393e-07,-0.00019840963754856993,0.0005476325450291076,-0.00035796710105631885,0.001043883399818671,-0.00046958753984862104,0.0014359944905093654,-0.0005306623997181676,0.0016821738537788147,-0.000546865676642132,0.0017551849783268376,-0.0005302465252607685,0.0016453122526300511,-0.0004963771671467195,0.001361502897405961,-0.000461106759752221,0.0009305463024919874,-0.00043751868223122845,0.00039436747526725195,-0.0004336110896052834,-0.00019425496186274013,-0.000451042887119722,-0.0007770632227579079,-0.0004850658509058314,-0.0012962019799391878,-0.0005255514862084777,-0.0017000004203368935,-0.0005588615649112058,-0.0019480924446513398,-0.0005702253543370409,-0.0020154030115983553,-0.0005462710424804307,-0.0018946425082973638,-0.0004773927671055148,-0.0015970822447717496,-0.0003596902685754418,-0.001151511807464702,-0.00019625165765043396,-0.0006014496448010325,1.3136419608656558e-06,-4.74140623048963e-07
7,1.5629430632355956,31756005.007334907,-1388.6047717129368,42.72807308842474,1.6456742129152242,0.14873872416605777,0.05127224246087966,0.004204641667024092,1.6808509226616224,1449.0570155201872,10.0,10.0,0.0,10.0,10.0,0.0,13.000791875395377,-1.432033609819919e-06,-5.204710179194637e-07,-0.0002759889334240463,0.0007592754638131105,-0.0004984618063950882,0.0014472104477615715,-0.0006537865663819886,0.001990406845133551,-0.0007382948808881983,0.002330444875136857,-0.0007600883665094802,0.00242919125803234,-0.0007362973416436007,0.002272997752672834,-0.0006889642139491892,0.001874341008113132,-0.0006403774506702993,0.0012706858607631306,-0.0006087434242945282,0.0005206802909361594,-0.0006049531106142995,-0.00030186918666228764,-0.0006309195474595911,-0.0011155438757660043,-0.0006796208538886764,-0.0018395456235826696,-0.0007366690259426747,-0.0024017632856089956,-0.0007830031563003859,-0.0027458957697118784,-0.000798205708020732,-0.0028369880356590806,-0.0007639499204573371,-0.0026648949115460315,-0.0006671644398970248,-0.0022453622004710854,-0.0005025993261791581,-0.0016185852288308775,-0.0002745290105121544,-0.000845328526164013,1.4335561008796432e-06,-5.164442802430298e-07
8,1.5629430632355956,31756005.007334907,-1388.6047717129368,42.72807308842474,1.6456742129152242,0.14873872416605777,0.05127224246087966,0.004204641667024092,1.6808509226616224,1449.0570155201872,10.0,10.0,0.0,10.0,10.0,0.0,13.683316992687011,-1.5085999995872305e-06,-5.48294096174992e-07,-0.0003531160183899618,0.0009671505146516141,-0.0006381087013321218,0.0018431372866164546,-0.0008366303752597348,0.0025340318811371484,-0.0009439702602731845,0.0029648328813050317,-0.0009707808555753064,0.003086537265945789,-0.000939454671518418,0.0028815971119980238,-0.0008786674467040057,0.002366074623021564,-0.0008172195518097954,0.0015881882887288795,-0.0007783820480526481,0.0006233910259049073,-0.000775758154379228,-0.0004334223480319128,-0.0008112672216527356,-0.0014776524518700328,-0.000875379746743245,-0.0024055832290539223,-0.0009493051910731717,-0.0031247213820991115,-0.0010085525635574759,-0.003562902335011778,-0.001027181625185263,-0.0036753574072063396,-0.0009821146365533845,-0.0034491380090909507,-0.0008570179947899597,-0.0029045052877503313,-0.0006454144873705043,-0.0020931019276774396,-0.0003527570257030125,-0.0010929946192279872,1.5105511032532846e-06,-5.430464834153001e-07
9,1.5629430632355956,31756005.007334907,-1388.6047717129368,42.72807308842474,1.6456742129152242,0.14873872416605777,0.05127224246087966,0.004204641667024092,1.6808509226616224,1449.0570155201872,10.0,10.0,0.0,10.0,10.0,0.0,14.149852569859673,-1.5617829631786108e-06,-5.67501839386794e-07,-0.00042967759794505203,0.0011709564567539965,-0.0007766627574672458,0.0022310669126626385,-0.0010177722710703284,0.0030659979664462776,-0.0011472779229765502,0.0035842400201137846,-0.0011785071067046701,0.0037259709830980052,-0.0011392894606343596,0.0034697936063544143,-0.0010650858591566613,0.0028354204260475782,-0.0009912672252601119,0.0018818997785308527,-0.0009460976856914585,0.000701558082935838,-0.0009457025110979167,-0.0005895846675975471,-0.0009917557906584616,-0.0018637589798486637,-0.0010719891396170549,-0.0029943883394967378,-0.0011630746227383974,-0.0038686856187655186,-0.0012350952767660845,-0.004398718681544007,-0.001256724554406786,-0.004529988585669243,-0.0012003484168786782,-0.004246804626423955,-0.001046581569762421,-0.00357398547324827,-0.0007878447638530608,-0.002574656323433096,-0.00043075931263889385,-0.001344228322563821,1.564160823575874e-06,-5.610321625069609e-07
10,1.5629430632355956,31756005.007334907,-1388.6047717129368,42.72807308842474,1.6456742129152242,0.14873872416605777,0.05127224246087966,0.004204641667024092,1.6808509226616224,1449.0570155201872,10.0,10.0,0.0,10.0,10.0,0.0,14.484966287339672,-1.60088594649477e-06,-5.814652535136139e-07,-0.0005055929932881477,0.0013705673297985613,-0.0009139573966266796,0.002610748042502233,-0.0011969808423983109,0.00358593582036197,-0.0013479478346749,0.004188199054439638,-0.0013829845195799469,0.004346958865268673,-0.0013355274221518122,0.004037028273441326,-0.0012479655573679647,0.0032818402935369567,-0.0011622888048156833,0.0021513492660518224,-0.0011116735943875148,0.0007548173739982134,-0.0011145713079843426,-0.0007705854184764472,-0.0011721581787344781,-0.0022739459069966712,-0.0012691993702009458,-0.00360590123005946,-0.0013777018481266892,-0.004633473547094585,-0.0014623354396923027,-0.005253070448399328,-0.001486531869331295,-0.005400553718638093,-0.001418361687965882,-0.005057556034928303,-0.001235601864265835,-0.004253496713374211,-0.0009296966621347664,-0.0030630159019619458,-0.0005084230151319618,-0.0015989046650581066,1.603688304669141e-06,-5.737759359602041e-07
