时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.2065122185915738,2378859.847159297,-5.684341886080802e-14,1.49273027663193,0.8186989355172448,0.06782434191636524,0.012350806695065575,0.0026713260322227352,0.833444908966417,1052.1330311150552,2.940081282934206,2.5232861360131915,295.73795706467035,2.940081282934206,2.5232861360131915,295.73795706467035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.2065122185915738,2378859.847159297,-5.684341886080802e-14,1.49273027663193,0.8186989355172448,0.06782434191636524,0.012350806695065575,0.0026713260322227352,0.833444908966417,1052.1330311150552,2.940081282934206,2.5232861360131915,295.73795706467035,2.940081282934206,2.5232861360131915,295.73795706467035,5.214944318202246,-2.03814126882538e-06,-7.816986400178472e-07,-5.535945283285483e-07,-7.340492326022881e-06,3.108547939263554e-06,-2.1740103571915423e-05,7.426435407802248e-06,-4.0578326456152885e-05,1.1212260907845803e-05,-5.9735375060584766e-05,1.371425049047636e-05,-7.514527493316717e-05,1.4682359235499128e-05,-8.353226732068154e-05,1.4330518012213689e-05,-8.298640667618148e-05,1.3198816375787399e-05,-7.327578168078937e-05,1.1952178328270494e-05,-5.584302446219967e-05,1.1163428785009748e-05,-3.349095171501559e-05,1.1133859021517655e-05,-9.819145388496632e-06,1.1800756396840897e-05,1.1481088861099191e-05,1.2763580491339404e-05,2.7337883794509784e-05,1.3427919613518824e-05,3.5877064979550734e-05,1.3227137207706003e-05,3.6752502525996445e-05,1.1850667421456804e-05,3.1162585676489055e-05,9.399549706294114e-06,2.1549773342117073e-05,6.4088266400157764e-06,1.1045978264600283e-05,3.700195045190343e-06,2.779436702148984e-06,2.03366779936114e-06,-7.905548501458617e-07
3,0.2065122185915738,2378859.847159297,-5.684341886080802e-14,1.49273027663193,0.8186989355172448,0.06782434191636524,0.012350806695065575,0.0026713260322227352,0.833444908966417,1052.1330311150552,2.940081282934206,2.5232861360131915,295.73795706467035,2.940081282934206,2.5232861360131915,295.73795706467035,11.535134959453124,-4.511174985201613e-06,-1.7280740614916686e-06,-8.283830430968409e-07,-1.753116944250925e-05,8.107728580841882e-06,-5.240823921897081e-05,1.8649310859918817e-05,-9.815165744797397e-05,2.790228536022495e-05,-0.00014468936862306042,3.402057732861977e-05,-0.00018201292818664612,3.638425185486074e-05,-0.0002020270933985737,3.551405380981782e-05,-0.0001999998295924324,3.273670899001404e-05,-0.00017535500304388055,2.9690955120579275e-05,-0.00013167639167673223,2.7791324823542516e-05,-7.593461738874571e-05,2.7780755726691013e-05,-1.7090126427771126e-05,2.9496356010810747e-05,3.5660906648446905e-05,3.193031239287997e-05,7.466048882506932e-05,3.3587091977250125e-05,9.523567458036439e-05,3.3038735673197495e-05,9.653084290677832e-05,2.9500535873820854e-05,8.155995525473962e-05,2.322704662154872e-05,5.647086281167451e-05,1.5576482701945954e-05,2.9177595086770817e-05,8.657529485361196e-06,7.647371692133333e-06,4.50004591133285e-06,-1.7501969523189436e-06
4,0.2065122185915738,2378859.847159297,-5.684341886080802e-14,1.49273027663193,0.8186989355172448,0.06782434191636524,0.012350806695065575,0.0026713260322227352,0.833444908966417,1052.1330311150552,2.940081282934206,2.5232861360131915,295.73795706467035,2.940081282934206,2.5232861360131915,295.73795706467035,18.93681257085072,-7.412146957656368e-06,-2.8342016137471882e-06,-3.2156798820971847e-07,-3.2169697339227734e-05,1.6518847177818762e-05,-9.729565173890182e-05,3.638321349670894e-05,-0.00018293705006057332,5.3835299406417826e-05,-0.00027007781170566066,6.537859915360288e-05,-0.0003396801731741254,6.982715694842283e-05,-0.00037627868620979793,6.815818120987555e-05,-0.00037080983349392605,6.288715963110468e-05,-0.00032217351089870483,5.71346971219298e-05,-0.00023726946474758956,5.360327996556413e-05,-0.0001295289519767262,5.371265611471943e-05,-1.623415329097097e-05,5.7136631136755905e-05,8.486222819638266e-05,6.190835405477788e-05,0.000158967214287842,6.510588835029543e-05,0.0001970564521390133,6.393303583673352e-05,0.0001975030867313688,5.6849493962581244e-05,0.00016620347031250595,4.435661634404945e-05,0.00011518261904651157,2.913967917294122e-05,5.9978872482042635e-05,1.541172712744149e-05,1.6357540199357437e-05,7.3906998958346455e-06,-2.87704195977904e-06
5,0.2065122185915738,2378859.847159297,-5.684341886080802e-14,1.49273027663193,0.8186989355172448,0.06782434191636524,0.012350806695065575,0.0026713260322227352,0.833444908966417,1052.1330311150552,2.940081282934206,2.5232861360131915,295.73795706467035,2.940081282934206,2.5232861360131915,295.73795706467035,26.113958097168304,-1.0231201312262639e-05,-3.902973817014816e-06,1.550765379350875e-06,-5.086838613303138e-05,2.8905407225342523e-05,-0.0001556908101359756,6.114231426426681e-05,-0.00029382204625872597,8.947540703211019e-05,-0.000434329856643004,0.00010821588543815225,-0.0005460465205462012,0.00011541816939565017,-0.0006035587067006535,0.00011265855384123789,-0.000591945140555369,0.00010403489099286669,-0.0005094142602212011,9.465686536124843e-05,-0.0003674087546616459,8.89708440507037e-05,-0.0001882057985623953,8.932146005371689e-05,-4.919800822867144e-07,9.515843457643667e-05,0.00016624227373243818,0.00010318502074226242,0.00028741176970555494,0.0001084882820818222,0.0003480306251229713,0.00010635298762011679,0.0003454549859658877,9.417676444939242e-05,0.0002896288633639749,7.281412945138322e-05,0.0002008004649900155,4.68379779589639e-05,0.00010520398373802239,2.3477760126407573e-05,2.9614456677743237e-05,1.0195634941732217e-05,-3.974349370239786e-06
6,0.2065122185915738,2378859.847159297,-5.684341886080802e-14,1.49273027663193,0.8186989355172448,0.06782434191636524,0.012350806695065575,0.0026713260322227352,0.833444908966417,1052.1330311150552,2.940081282934206,2.5232861360131915,295.73795706467035,2.940081282934206,2.5232861360131915,295.73795706467035,35.040687912882106,-1.375007404793986e-05,-5.221741849613132e-06,7.57840074914885e-06,-8.620324625866567e-05,5.557290011583734e-05,-0.00026804724348935334,0.00011198749933184674,-0.0005081421330439851,0.00016155712748781438,-0.0007521363573424727,0.00019434207362317515,-0.0009448947328164306,0.00020691070218640528,-0.0010412908071546528,0.0002019766170606577,-0.0010147923325216448,0.00018669942690627774,-0.0008622894342234827,0.00017009103638588712,-0.0006043724524839085,0.00016007822061388263,-0.00028109898912039277,0.00016090294011220506,5.590814948750677e-05,0.0001716108624255019,0.00035353228655169984,0.00018622601270638914,0.0005674740117056124,0.00019575478827778611,0.0006707767162097229,0.0001915117858305678,0.0006588522935076261,0.00016868746027016477,0.0005499960669863572,0.00012887815805561812,0.00038132076676387124,8.060292213236516e-05,0.00020100056502044488,3.7409416565630664e-05,5.845324276648488e-05,1.3686157598098411e-05,-5.350756572227398e-06
7,0.2065122185915738,2378859.847159297,-5.684341886080802e-14,1.49273027663193,0.8186989355172448,0.06782434191636524,0.012350806695065575,0.0026713260322227352,0.833444908966417,1052.1330311150552,2.940081282934206,2.5232861360131915,295.73795706467035,2.940081282934206,2.5232861360131915,295.73795706467035,41.49545772948927,-1.6310813557977816e-05,-6.159156261475999e-06,1.7475904257803887e-05,-0.00012989562679870153,9.164383804581574e-05,-0.00040888963893080844,0.00017855654981394856,-0.0007776710932712674,0.0002548799193281694,-0.001152149593570217,0.00030539867716641985,-0.001446677300313984,0.0003248116375410765,-0.0015909934453041572,0.0003171745249358778,-0.0015437532677706823,0.0002933893215575054,-0.0013001834597228935,0.0002673486570197941,-0.0008926106369925689,0.0002514626085677224,-0.0003839134553178822,0.00025254936132324966,0.00014480933529846011,0.0002692931154527838,0.0006100354849266396,0.0002923318488863039,0.0009420689345187577,0.0003073373919875143,0.0010985420482615485,0.00030034584540684147,0.0010724265681346641,0.00026357611821765643,0.0008929153926804809,0.00019958783468769172,0.0006190515202497398,0.00012213645691458563,0.00032751987505386066,5.314156947991806e-05,9.716964234256856e-05,1.621049683235447e-05,-6.3624903443103454e-06
8,0.2065122185915738,2378859.847159297,-5.684341886080802e-14,1.49273027663193,0.8186989355172448,0.06782434191636524,0.012350806695065575,0.0026713260322227352,0.833444908966417,1052.1330311150552,2.940081282934206,2.5232861360131915,295.73795706467035,2.940081282934206,2.5232861360131915,295.73795706467035,45.40031614095852,-1.787484493682148e-05,-6.711044047809224e-06,2.859613200237038e-05,-0.00017322015495753896,0.00012897538417335475,-0.0005496399831100931,0.00024631416035679823,-0.0010476333817668164,0.00034932993197809,-0.0015532808760530426,0.0004176411318660283,-0.0019502682429820752,0.0004440756615615383,-0.002143026590726658,0.0004338954918318197,-0.0020752428008797784,0.0004015601107314316,-0.0017403707804034337,0.000365744770907004,-0.0011824347198579454,0.000343417547732245,-0.00048718871919014895,0.00034418953004720703,0.00023463351245664148,0.00036660982489961384,0.0008688576965757264,0.00039802170924097636,0.0013201138641261159,0.0004186623821195774,0.001530397569871358,0.00040907019330857974,0.0014901372403476624,0.0003583045886903805,0.0012394684590582522,0.000269855766080341,0.0008595340542720717,0.00016285217816831637,0.0004557756823976083,6.780132883856019e-05,0.0001367497477787245,1.7737914039840205e-05,-6.989295862351935e-06
9,0.2065122185915738,2378859.847159297,-5.684341886080802e-14,1.49273027663193,0.8186989355172448,0.06782434191636524,0.012350806695065575,0.0026713260322227352,0.833444908966417,1052.1330311150552,2.940081282934206,2.5232861360131915,295.73795706467035,2.940081282934206,2.5232861360131915,295.73795706467035,48.00054618538312,-1.8929742566665747e-05,-7.065587204159009e-06,4.0332340931745555e-05,-0.00021640489034887095,0.00016689669754828027,-0.0006906064494003703,0.00031455792245062677,-0.0013185455412719463,0.0004442067800388344,-0.001956457421420171,0.000530404201849722,-0.002457261701587383,0.0005640975359148726,-0.00269992545161862,0.0005516022908892462,-0.0026129795813430727,0.0005107275738395059,-0.002187908526657892,0.00046481045746910043,-0.0014802567932974884,0.00043543901138983295,-0.0005985342871518701,0.0004352403749550785,0.0003169133849086509,0.00046288405370682945,0.0011211680933675102,0.0005025558409621284,0.0016930004476258564,0.0005290061053671768,0.0019585466001988514,0.0005170874736146164,0.0019054939170121865,0.00045251145779795537,0.0015847827391986524,0.00033962779883820636,0.0010995802963465699,0.00020300418437856958,0.000584064951834332,8.186128282363847e-05,0.0001765400650384395,1.8756171412016618e-05,-7.418891344735758e-06
10,0.2065122185915738,2378859.847159297,-5.684341886080802e-14,1.49273027663193,0.8186989355172448,0.06782434191636524,0.012350806695065575,0.0026713260322227352,0.833444908966417,1052.1330311150552,2.940081282934206,2.5232861360131915,295.73795706467035,2.940081282934206,2.5232861360131915,295.73795706467035,49.84116934364239,-1.9689243336832808e-05,-7.3051827093508485e-06,5.241629977334574e-05,-0.0002595440814225002,0.0002051105591343426,-0.000831926577305285,0.00038297921673826317,-0.0015906766417240902,0.0005392080117691694,-0.002362202937346645,0.000643408462106215,-0.002968570975112091,0.000684633821494172,-0.003263114303422892,0.0006700920138249403,-0.003158981974994586,0.0006207214058726468,-0.002645433491665289,0.0005643872774807487,-0.0017892838734573301,0.0005273527621847256,-0.0007216020554455181,0.0005254887728760672,0.0003877469939587255,0.0005578579681490831,0.0013630568407454996,0.0006056505975628648,0.002057065966890385,0.0006381002543233859,0.002379801157596959,0.00062419570921278,0.0023159466646581633,0.0005461042663297938,0.001927019002269322,0.00040894039636186287,0.001338032512600836,0.00024274497739013026,0.0007117873840890894,9.554447796331346e-05,0.00021630564177349114,1.9479068247744862e-05,-7.7335109528074e-06
