时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,10.07752783248041,136087058.1124655,8503.360753591347,1595.9275846040246,2.825582100181553,0.27243769075242036,0.13187868516670637,0.01198741591428933,2.894144621491958,845.1271453529966,9.566310550097596,4.598398120147507,814.1969965736603,5.2992835191685215,8.570631667357603,799.8193836198172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.07752783248041,136087058.1124655,8503.360753591347,1595.9275846040246,2.825582100181553,0.27243769075242036,0.13187868516670637,0.01198741591428933,2.894144621491958,845.1271453529966,9.566310550097596,4.598398120147507,814.1969965736603,5.2992835191685215,8.570631667357603,799.8193836198172,2.170866532182815,-1.1952494999826792e-06,-9.303774139645933e-07,6.793969432601599e-07,-1.2126276895595652e-05,6.651276620525023e-06,-3.2465305817331475e-05,1.3308957196827126e-05,-5.782014573407121e-05,1.8973746129990955e-05,-8.294965333758128e-05,2.259118675971192e-05,-0.0001027867717840444,2.384974223020028e-05,-0.00011331638388875478,2.311777467522342e-05,-0.00011225706581363498,2.123355877229536e-05,-9.941777614781251e-05,1.920512141138008e-05,-7.667439718197448e-05,1.7891566354834953e-05,-4.75759480316105e-05,1.7743614903010924e-05,-1.6655425277023272e-05,1.8672730759953526e-05,1.1428108775177882e-05,2.0090645117150583e-05,3.2756959413381405e-05,2.1115512468902556e-05,4.48675190671802e-05,2.0888413570103667e-05,4.717059187173317e-05,1.890299080798352e-05,4.099788908817073e-05,1.5238841933635274e-05,2.9265898965188617e-05,1.0614993302750541e-05,1.582683444168243e-05,6.236834206319315e-06,4.630827894381903e-06,2.155644797076852e-06,-5.204696787292182e-07
3,10.07752783248041,136087058.1124655,8503.360753591347,1595.9275846040246,2.825582100181553,0.27243769075242036,0.13187868516670637,0.01198741591428933,2.894144621491958,845.1271453529966,9.566310550097596,4.598398120147507,814.1969965736603,5.2992835191685215,8.570631667357603,799.8193836198172,4.9829921722179575,-2.747883266203085e-06,-2.12913148080316e-06,2.7076183026175114e-06,-3.103130515667766e-05,1.8491169962973945e-05,-8.415070351204049e-05,3.6111081906844887e-05,-0.0001505716062268778,5.112625250096194e-05,-0.00021639623568794737,6.0725615854474594e-05,-0.00026806981534406913,6.406761791536084e-05,-0.0002947990927396706,6.212696003605897e-05,-0.0002904356681146037,5.7142100608172675e-05,-0.0002544733939243973,5.181447170211484e-05,-0.00019200757781912093,4.8450000358879313e-05,-0.00011268163736485617,4.825241802567292e-05,-2.8823214881354635e-05,5.095966255145499e-05,4.6887243512750844e-05,5.494337698280136e-05,0.00010378249889379967,5.776781774361703e-05,0.00013516070168785647,5.705834305794677e-05,0.00013944643045100903,5.1413503319404666e-05,0.00012033640238023228,4.1058597108819426e-05,8.590528339692928e-05,2.8008547586416362e-05,4.686060590443594e-05,1.566557327912673e-05,1.4287602337444742e-05,4.9490794987061525e-06,-1.2004098364833596e-06
4,10.07752783248041,136087058.1124655,8503.360753591347,1595.9275846040246,2.825582100181553,0.27243769075242036,0.13187868516670637,0.01198741591428933,2.894144621491958,845.1271453529966,9.566310550097596,4.598398120147507,814.1969965736603,5.2992835191685215,8.570631667357603,799.8193836198172,7.770408544754912,-4.293621118479327e-06,-3.3051167917502174e-06,6.84257785432215e-06,-5.568315935241424e-05,3.614689898381155e-05,-0.00015308531024024567,6.887296533044167e-05,-0.0002751747751413224,9.678541819577326e-05,-0.00039607933818636756,0.00011464089664079186,-0.0004903688209220304,0.0001208536489520732,-0.000537709366655809,0.00011723283780588258,-0.0005265003860095408,0.00010796666729664187,-0.000455823171545459,9.813034160244968e-05,-0.0003354045141463298,9.206808917092919e-05,-0.00018364057026468803,9.204218111389329e-05,-2.4060889304845452e-05,9.751977190855224e-05,0.00011911730680823963,0.00010534242960300261,0.0002255193039243584,0.000110788076269662,0.0002823673428890817,0.00010924704839700363,0.0002867312784735679,9.799898247294454e-05,0.0002458398005921307,7.749956123017957e-05,0.00017540256388688154,5.172027746076032e-05,9.630259025303727e-05,2.7392885605846586e-05,3.031517708345848e-05,7.717808244126049e-06,-1.88425504138545e-06
5,10.07752783248041,136087058.1124655,8503.360753591347,1595.9275846040246,2.825582100181553,0.27243769075242036,0.13187868516670637,0.01198741591428933,2.894144621491958,845.1271453529966,9.566310550097596,4.598398120147507,814.1969965736603,5.2992835191685215,8.570631667357603,799.8193836198172,10.852850784907972,-6.016272896632659e-06,-4.5770232469488304e-06,1.6270722293112e-05,-9.647159875022139e-05,6.911060624628952e-05,-0.00026962603576678105,0.0001280607228389152,-0.00048707642744146945,0.0001783431185131474,-0.0007020531664199744,0.00021051392178196178,-0.0008682590743057005,0.00022169327196890903,-0.0009485457526903268,0.00021512505639464154,-0.0009217198150805922,0.00019838416204297283,-0.0007862307667286185,0.00018070760458672452,-0.0005601781405938169,0.00017005151901614547,-0.00027771258070016384,0.00017057642280113926,1.748044484389501e-05,0.00018126348175297402,0.00028042309629791785,0.00019616451731573338,0.00047328708677488597,0.00020635558118035728,0.000572426579514286,0.00020309957872134522,0.000572626702549214,0.00018124345932233775,0.0004877358642115243,0.00014170319311098347,0.00034758238194555193,9.214276775995636e-05,0.00019184378919357965,4.5556056569269074e-05,6.210391492376876e-05,1.077580688541872e-05,-2.661592461234445e-06
6,10.07752783248041,136087058.1124655,8503.360753591347,1595.9275846040246,2.825582100181553,0.27243769075242036,0.13187868516670637,0.01198741591428933,2.894144621491958,845.1271453529966,9.566310550097596,4.598398120147507,814.1969965736603,5.2992835191685215,8.570631667357603,799.8193836198172,13.755700281542733,-7.66661391665726e-06,-5.707703880948807e-06,3.637779967943117e-05,-0.00016627291060861994,0.00013107075710945803,-0.00047269959705299654,0.00023642828508865178,-0.0008579249604468861,0.0003262298744146292,-0.0012379163516729164,0.00038372472358425447,-0.0015290736949277186,0.0004037576611354788,-0.00166418235957153,0.0003920070550643363,-0.0016049565001066406,0.00036191430945228353,-0.0013488864714351874,0.0003300604583078433,-0.0009293514573580133,0.0003109330110234867,-0.0004091236081195602,0.0003122759357034826,0.00013151011236643993,0.0003323502096308877,0.0006098665396873365,0.00036017704879250556,0.000956442726947098,0.0003790544325003044,0.0011279671776939825,0.00037250475518648275,0.0011153326075130487,0.0003307877325383839,0.0009448198742184493,0.00025570663646991916,0.0006724194474745257,0.00016192212588842168,0.0003725060365269411,7.420665731590605e-05,0.00012319160800227793,1.3642786934599453e-05,-3.4397839554531427e-06
7,10.07752783248041,136087058.1124655,8503.360753591347,1595.9275846040246,2.825582100181553,0.27243769075242036,0.13187868516670637,0.01198741591428933,2.894144621491958,845.1271453529966,9.566310550097596,4.598398120147507,814.1969965736603,5.2992835191685215,8.570631667357603,799.8193836198172,15.29256612260912,-8.568033904612989e-06,-6.237557676599381e-06,5.838068572678547e-05,-0.00023515990251795623,0.00019504207677283468,-0.0006751908375752783,0.000346749681052152,-0.0012287342006068408,0.00047601815829053897,-0.0017742704607083151,0.0005589548438520015,-0.0021906301538687314,0.0005881188529014655,-0.002380305757863038,0.0005714153626232426,-0.002287781213685938,0.0005278860832580677,-0.0019095608011186654,0.00048133181523534477,-0.0012943985156195531,0.0004529048330019696,-0.0005339156550494991,0.00045426387803248244,0.0002546429869511129,0.00048327487407480625,0.0009504494554127987,0.0005240335703486433,0.00145190473077517,0.0005518693641461192,0.0016958386951297169,0.0005421981588229805,0.0016692259273938504,0.00048039103622507024,0.0014110150833564232,0.0003691025838652825,0.0010037828017217536,0.00023024829857090114,0.0005571034863964523,0.00010077122943418182,0.00018610961725591378,1.5146934232951969e-05,-3.896784768043635e-06
8,10.07752783248041,136087058.1124655,8503.360753591347,1595.9275846040246,2.825582100181553,0.27243769075242036,0.13187868516670637,0.01198741591428933,2.894144621491958,845.1271453529966,9.566310550097596,4.598398120147507,814.1969965736603,5.2992835191685215,8.570631667357603,799.8193836198172,16.233094516919273,-9.142791497598541e-06,-6.504630029425194e-06,8.118816735119125e-05,-0.00030377068997646043,0.0002597675579848086,-0.0008779612978614392,0.00045766688976751863,-0.0016008567888869786,0.0006263332541762036,-0.0023133767134166923,0.0007348955781828666,-0.0028566273387304517,0.0007735918927855803,-0.0031026180695481425,0.0007522999158098503,-0.0029783984060491367,0.0006953370597929108,-0.002479278192392233,0.0006335475057953288,-0.0016691942151360701,0.0005948578082273397,-0.00066848462112537,0.0005951949632051727,0.00036866781324035585,0.0006324273612197711,0.001283171159721008,0.0006859379223902837,0.0019411018949449432,0.0007230072532396113,0.0022591322313885776,0.0007106522861188609,0.002220108679070813,0.0006290574662452148,0.0018755186613654041,0.0004816109110437986,0.0013344566976018078,0.00029758407153133624,0.000741660228981662,0.0001262856519566232,0.0002492849829838808,1.6057043258111166e-05,-4.212677289824644e-06
9,10.07752783248041,136087058.1124655,8503.360753591347,1595.9275846040246,2.825582100181553,0.27243769075242036,0.13187868516670637,0.01198741591428933,2.894144621491958,845.1271453529966,9.566310550097596,4.598398120147507,814.1969965736603,5.2992835191685215,8.570631667357603,799.8193836198172,16.862757862567932,-9.547779230896566e-06,-6.634402309777178e-06,0.00010439023751987136,-0.0003723311384948818,0.0003247774107246682,-0.0010813376970710417,0.0005686841178840662,-0.001974878314951554,0.0007766909055836475,-0.0028562936122256974,0.0009111071818996867,-0.0035288269342517537,0.000959803269473339,-0.003833786335559797,0.0009343570417977864,-0.0036805128968419682,0.0008640139418209503,-0.003062810564389144,0.0007864635018368061,-0.0020594824263338632,0.0007365057396792251,-0.0008193208327188337,0.0007346992935281046,0.0004666889549422249,0.0007793445788490289,0.0016011487542809063,0.0008453697818334266,0.0024175997293262217,0.00089196825657147,0.0028122470605783214,0.0008774854066216279,0.002763487721561465,0.0007766083682313222,0.0023350653267662576,0.0005932971454425414,0.0016623549330981207,0.00036421861425966004,0.0009250661628690541,0.00015118372663891112,0.00031227161819226564,1.6658701157876604e-05,-4.454513218734882e-06
10,10.07752783248041,136087058.1124655,8503.360753591347,1595.9275846040246,2.825582100181553,0.27243769075242036,0.13187868516670637,0.01198741591428933,2.894144621491958,845.1271453529966,9.566310550097596,4.598398120147507,814.1969965736603,5.2992835191685215,8.570631667357603,799.8193836198172,17.30968943752318,-9.853475414958388e-06,-6.683274892373166e-06,0.00012779292549074445,-0.0004409165570525653,0.000389835277427905,-0.0012854017402629276,0.0006795361376516019,-0.002350966350117123,0.000926815325525892,-0.0034033933714555345,0.0010873237146582287,-0.004207936478006004,0.0011465164684583196,-0.004574966653364192,0.0011173926239526758,-0.004395800146063849,0.0010337643193290436,-0.0036623642365375313,0.000939951160753282,-0.0024679441601227546,0.0008777130699150043,-0.0009894562338844254,0.000872604205444539,0.0005455042218113499,0.0009238037858514854,0.001901223772243703,0.001002071800115305,0.0028784963895887843,0.0010585027382228262,0.0033527131968708,0.001042509786340474,0.003297433947279806,0.0009229622663315571,0.0027882955782734826,0.0007042022365994484,0.001986637557514121,0.000430296620339888,0.001106887948799724,0.00017566852689500896,0.00037489523009788913,1.7080224789276984e-05,-4.652441687671881e-06
