时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.3939123953318235,38228838.89023017,47.188480803453785,92.27727383865042,2.1939410668908854,0.2866624656098187,0.037045143370534564,0.005579462975581706,2.2900834708251203,1474.006803643731,9.243231482483619,3.064092715123535,361.0908303610835,4.3562345557912785,9.014534938611858,564.183754897349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.3939123953318235,38228838.89023017,47.188480803453785,92.27727383865042,2.1939410668908854,0.2866624656098187,0.037045143370534564,0.005579462975581706,2.2900834708251203,1474.006803643731,9.243231482483619,3.064092715123535,361.0908303610835,4.3562345557912785,9.014534938611858,564.183754897349,5.531439473457121,-6.247754695726197e-07,-9.751973549768297e-07,4.036821822727425e-06,-1.1789349937852912e-05,1.4515995768220639e-05,-3.627028980751163e-05,2.6857158463567145e-05,-6.847545304919743e-05,3.763163296800145e-05,-0.00010076516924970833,4.4564889132277856e-05,-0.00012540689651732893,4.690699058644201e-05,-0.00013613968750653146,4.5384217954496015e-05,-0.00012941906210925651,4.176457572317684e-05,-0.00010510002010489916,3.8175116431822116e-05,-6.64486209819433e-05,3.6360301778058005e-05,-1.9485759034017636e-05,3.708899182473632e-05,2.8207669412047027e-05,3.988756313933855e-05,6.89947743559102e-05,4.319387645487557e-05,9.66994168569825e-05,4.490332768479888e-05,0.00010782740238432357,4.3148369939101055e-05,0.0001022371556358279,3.7063386375881445e-05,8.31203407676081e-05,2.7273452773563072e-05,5.629556882545625e-05,1.592669381512692e-05,2.897381175795832e-05,6.202246392159094e-06,8.244692560312705e-06,1.3189347765296238e-06,-3.39805770644016e-07
3,1.3939123953318235,38228838.89023017,47.188480803453785,92.27727383865042,2.1939410668908854,0.2866624656098187,0.037045143370534564,0.005579462975581706,2.2900834708251203,1474.006803643731,9.243231482483619,3.064092715123535,361.0908303610835,4.3562345557912785,9.014534938611858,564.183754897349,12.291538815734384,-1.3918567622887508e-06,-2.161524671393644e-06,1.2040499280902061e-05,-3.2478120271193134e-05,4.1819371194435195e-05,-0.00010159782837868747,7.690265620081535e-05,-0.00019276148076948662,0.00010757565751552778,-0.0002842457963972514,0.00012735622835646313,-0.00035395606282488825,0.00013408228061260967,-0.00038394895740634453,0.00012979194361143053,-0.0003640367057023148,0.00011950595594712575,-0.0002937770509076932,0.00010929528937928413,-0.00018252792455619203,0.00010416342374751853,-4.757798555838504e-05,0.00010633314513984269,8.928035129033543e-05,0.00011445556535673368,0.00020607899266404127,0.00012403098172962486,0.0002850497183929338,0.00012897476012912955,0.0003161531152717137,0.00012387596943653698,0.00029901839286663773,0.00010622430617878982,0.00024288737558309634,7.783658759813171e-05,0.00016457831257522555,4.495171519162109e-05,8.492987369807385e-05,1.6818075364430717e-05,2.4453304092748206e-05,2.928313095029466e-06,-7.604798197816786e-07
4,1.3939123953318235,38228838.89023017,47.188480803453785,92.27727383865042,2.1939410668908854,0.2866624656098187,0.037045143370534564,0.005579462975581706,2.2900834708251203,1474.006803643731,9.243231482483619,3.064092715123535,361.0908303610835,4.3562345557912785,9.014534938611858,564.183754897349,20.495098269997303,-2.3347684061902182e-06,-3.581409829440356e-06,3.259531613576352e-05,-7.981289687775688e-05,0.00010863604880341419,-0.00025513657760076956,0.0001982058112313055,-0.00048711945514339313,0.000276661586994616,-0.0007202508819052848,0.00032746092139927547,-0.0008977411548096203,0.00034497939924258244,-0.0009732960256657382,0.00033425235236996377,-0.0009205150658331502,0.0003079755171719968,-0.0007381190968539177,0.0002816737033765272,-0.00045016531820158583,0.00026830761003451625,-0.00010128301011189626,0.00027379239938212516,0.00025214850868613694,0.00029480469728295324,0.0005532088319628566,0.0003197309535617823,0.0007558265098831199,0.000332683881653491,0.0008339995272003646,0.00031944257537066796,0.0007868700019226504,0.0002733742827501006,0.0006385665852900218,0.00019923929043480336,0.0004328829319850753,0.00011342596613221727,0.0002240217693874488,4.022830529862627e-05,6.534382394865539e-05,4.871760440076246e-06,-1.2894549684463345e-06
5,1.3939123953318235,38228838.89023017,47.188480803453785,92.27727383865042,2.1939410668908854,0.2866624656098187,0.037045143370534564,0.005579462975581706,2.2900834708251203,1474.006803643731,9.243231482483619,3.064092715123535,361.0908303610835,4.3562345557912785,9.014534938611858,564.183754897349,25.63080596838173,-2.9455702744242248e-06,-4.4360062393286105e-06,6.405478138100865e-05,-0.0001477178503876878,0.0002081044239591397,-0.0004792584683768216,0.00037769398615960105,-0.0009191326539137158,0.000526520209756901,-0.0013620685672738437,0.0006234135950366751,-0.001699912372104691,0.0006575345696892664,-0.0018442346874512252,0.0006379206455471411,-0.0017443642760159792,0.0005881098827653183,-0.0013974494788126614,0.0005373601387027066,-0.0008489723930865648,0.0005105958396633718,-0.0001838025841797686,0.0005197271295721812,0.0004905122923814042,0.0005590521265312771,0.001065121435107702,0.0006066512576994088,0.0014517400224666561,0.0006319187838000137,0.0016004537377526584,0.000607133400524796,0.0015095467508174246,0.0005191843295241058,0.0012251839550075846,0.00037714089954231285,0.0008311310057757248,0.00021267510163714922,0.00043098123360684284,7.26989412542495e-05,0.00012671317872295845,6.0719796235207516e-06,-1.651638390901445e-06
6,1.3939123953318235,38228838.89023017,47.188480803453785,92.27727383865042,2.1939410668908854,0.2866624656098187,0.037045143370534564,0.005579462975581706,2.2900834708251203,1474.006803643731,9.243231482483619,3.064092715123535,361.0908303610835,4.3562345557912785,9.014534938611858,564.183754897349,28.13779276765414,-3.26240982369658e-06,-4.8221328549379974e-06,9.610599632989122e-05,-0.00021542882695914064,0.000308329392701976,-0.0007045768682111225,0.0005580838738037228,-0.0013549827305068551,0.000777646122214653,-0.0020113595664440864,0.0009213926624469851,-0.002513692709444255,0.0009731186491312502,-0.0027308488339350557,0.0009453709159947914,-0.002587337585701531,0.0008719735624189927,-0.002078246573003758,0.0007956868562291025,-0.0012701028978287523,0.0007537099346630469,-0.00028783888045054277,0.0007646712763170846,0.0007097050200078636,0.0008212178915905846,0.0015613053818419936,0.0008914337573112022,0.002135828705625222,0.0009297341904627338,0.002358836432118209,0.000894282197251599,0.002227341686481538,0.0007649400169338108,0.0018093615456039943,0.0005549293412952934,0.0012285909836708912,0.0003114543546946685,0.0006380332313736564,0.000104435446722697,0.00018839708391789114,6.643766348019993e-06,-1.8559679325001838e-06
7,1.3939123953318235,38228838.89023017,47.188480803453785,92.27727383865042,2.1939410668908854,0.2866624656098187,0.037045143370534564,0.005579462975581706,2.2900834708251203,1474.006803643731,9.243231482483619,3.064092715123535,361.0908303610835,4.3562345557912785,9.014534938611858,564.183754897349,29.609790938537607,-3.463787215478564e-06,-5.023759439075217e-06,0.00012833632004075095,-0.00028313156405053577,0.00040861858841772126,-0.0009309165597097401,0.0007383750555507837,-0.0017940334866315929,0.0010287738455367478,-0.0026671223515542628,0.0012199746674373196,-0.0033380117720644828,0.0012902854157471676,-0.0036324504974753037,0.001255248290248431,-0.003449648505755412,0.0011583510928939104,-0.002782099480998163,0.0010555397664732187,-0.0017168329783506034,0.000996531213798869,-0.0004184063932425019,0.0010073814160654311,0.0009032289431292338,0.0010798670200644598,0.0020343130216393364,0.0011724876651107797,0.0028004056148227987,0.0012245274041681002,0.0031019643075124934,0.0011794839070880959,0.0029342021019864027,0.0010096354336222588,0.0023865707991448256,0.0007321151978468985,0.0016223526395829214,0.00040977491795344195,0.0008436797082701399,0.00013579003468792744,0.00024986890787568385,6.968919464455713e-06,-1.9979011380503884e-06
8,1.3939123953318235,38228838.89023017,47.188480803453785,92.27727383865042,2.1939410668908854,0.2866624656098187,0.037045143370534564,0.005579462975581706,2.2900834708251203,1474.006803643731,9.243231482483619,3.064092715123535,361.0908303610835,4.3562345557912785,9.014534938611858,564.183754897349,30.57018440872113,-3.6083480231224175e-06,-5.1341472719362905e-06,0.00016061530253814844,-0.00035089835168650624,0.000508759893926483,-0.0011582665109757728,0.0009182609392139668,-0.002236182705369774,0.0012795076434756957,-0.0033292113710086933,0.0015187046211619748,-0.00417277696998066,0.0016085694383692567,-0.004549124982267106,0.0015671270251392006,-0.004331688823323832,0.0014468848930216948,-0.0035098127190235874,0.0013166203474839775,-0.0021904368333699694,0.0012387760690808745,-0.0005772313215192979,0.0012475330406617432,0.0010690105164234305,0.001334600034895917,0.0024819016795745276,0.0014493504117223902,0.0034432713953016702,0.0015158307280154668,0.00382787853146968,0.0014623456288239895,0.003628551396992405,0.0012530192765079435,0.0029556822187555795,0.0009086139925380444,0.0020117180487351422,0.0005076941702683671,0.0010475703984405588,0.00016689882543820156,0.0003110002725644781,7.172842215729283e-06,-2.1088317856573933e-06
9,1.3939123953318235,38228838.89023017,47.188480803453785,92.27727383865042,2.1939410668908854,0.2866624656098187,0.037045143370534564,0.005579462975581706,2.2900834708251203,1474.006803643731,9.243231482483619,3.064092715123535,361.0908303610835,4.3562345557912785,9.014534938611858,564.183754897349,31.23947044560384,-3.720796929724189e-06,-5.192602621739423e-06,0.0001928815340750935,-0.00041874688361429047,0.0006086413514663297,-0.001386581681592415,0.0010975634956322641,-0.0026813144827455356,0.001529599003570658,-0.003997465566512618,0.0018172791536493317,-0.005017834858511421,0.001927648142992471,-0.005480792578158022,0.0018807087405135754,-0.0052335186392708285,0.0017373317514050954,-0.0042616418588478635,0.001578742133716219,-0.002691399562230639,0.001480284621107461,-0.0007650264661393858,0.0014849475069218414,0.0012061570142989414,0.001585186400882404,0.002903086997628565,0.0017217402629415303,0.004063455906267828,0.0018033477883412149,0.004535717787321529,0.001742610618142854,0.00430970044409435,0.0014949196744469704,0.0035162046733161305,0.0010843544933302638,0.0023963848251175373,0.0006052237611848517,0.001249554112363689,0.00019781727564928338,0.00037173622915507155,7.308376044967909e-06,-2.201986267058841e-06
10,1.3939123953318235,38228838.89023017,47.188480803453785,92.27727383865042,2.1939410668908854,0.2866624656098187,0.037045143370534564,0.005579462975581706,2.2900834708251203,1474.006803643731,9.243231482483619,3.064092715123535,361.0908303610835,4.3562345557912785,9.014534938611858,564.183754897349,31.72647412968385,-3.813320572277151e-06,-5.2185393992194675e-06,0.00022509794704413832,-0.00048667212293272065,0.00070818411056605,-0.001615794209842555,0.0012761444459783336,-0.0031292850785474727,0.0017788416681524194,-0.00467168009333336,0.002115434504446486,-0.005872956679609918,0.002247231965408075,-0.006427248952293369,0.002195720604090982,-0.006155007762296137,0.0020294694149291404,-0.005037576162341113,0.0018417405408463344,-0.0032198641112879756,0.0017209254419611342,-0.00098210005450847,0.0017194840672067919,0.001314216820569974,0.0018314412305709261,0.003297328342680563,0.0019894228096692026,0.00466040004322201,0.0020868227341434313,0.005224969318913876,0.002020047831667812,0.004977227498190031,0.0017351708256856501,0.004067828843299028,0.0012592520662250287,0.0027761567785269084,0.0007023476053216953,0.0014495307278648427,0.00022856745174648126,0.00043204173214991554,7.401606701051685e-06,-2.2838855304360425e-06
