时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.160259121095667,2667621.5410073865,69.24829939394411,0.5719934840547894,0.7127459546193877,0.11880494527273895,0.014580655769276153,0.0016041186924064706,0.7624953110434585,1646.6592739485106,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.160259121095667,2667621.5410073865,69.24829939394411,0.5719934840547894,0.7127459546193877,0.11880494527273895,0.014580655769276153,0.0016041186924064706,0.7624953110434585,1646.6592739485106,10.0,10.0,1000.0,10.0,10.0,1000.0,24.203477949643947,-5.401950984756181e-07,-3.471651142107552e-07,6.824815346703082e-06,-1.3277233812114842e-05,2.371680956230325e-05,-4.361524524399081e-05,4.389643079717246e-05,-8.407765742623276e-05,6.172294348168045e-05,-0.00012493365383164175,7.330716673330045e-05,-0.00015614568158557704,7.72692377953029e-05,-0.00016946345902218307,7.475393773249234e-05,-0.00016013550683551653,6.873519668511889e-05,-0.00012787808772823662,6.284143911144885e-05,-7.695074602275606e-05,6.0044932144526703e-05,-1.531775662574521e-05,6.160913803376825e-05,4.6946185742904185e-05,6.663022143327363e-05,9.969688617608025e-05,7.23403460596737e-05,0.00013478787048155097,7.509885303229841e-05,0.00014772107620817217,7.176279218790433e-05,0.00013852194488869502,6.098788743721602e-05,0.00011165962067952722,4.401101916565224e-05,7.503635155905633e-05,2.4634355650815318e-05,3.8294176240226795e-05,8.32941938656219e-06,1.076480332724731e-05,5.300635515448454e-07,-3.608826515963101e-07
3,0.160259121095667,2667621.5410073865,69.24829939394411,0.5719934840547894,0.7127459546193877,0.11880494527273895,0.014580655769276153,0.0016041186924064706,0.7624953110434585,1646.6592739485106,10.0,10.0,1000.0,10.0,10.0,1000.0,54.554904136590885,-1.2224294172296813e-06,-7.760356937602094e-07,2.2397391700268133e-05,-4.112188490302449e-05,7.594086971521716e-05,-0.00013680490938570574,0.0001400022588464758,-0.0002648836195305305,0.00019672433797426095,-0.00039447020342992065,0.00023371602732136207,-0.0004935200592983822,0.0002465128064002046,-0.0005356003953410236,0.00023866399631023588,-0.0005054170046100455,0.00021957391307607935,-0.00040197050193028545,0.00020079913217913028,-0.00023883753164176042,0.00019187113325632544,-4.1513477343754646e-05,0.00019689544113893248,0.00015769093583280176,0.0002130262725750693,0.00032621508665370497,0.00023139409600482787,0.0004379198960328036,0.00024028062701153202,0.0004784189193990831,0.00022955307927702848,0.00044789091341769743,0.00019488666900239343,0.00036078799323750185,0.00014029832801233162,0.00024254581982336283,7.806418728909794e-05,0.00012410635640617797,2.5806508481676486e-05,3.535391003868467e-05,1.1902472216043656e-06,-8.199124357382592e-07
4,0.160259121095667,2667621.5410073865,69.24829939394411,0.5719934840547894,0.7127459546193877,0.11880494527273895,0.014580655769276153,0.0016041186924064706,0.7624953110434585,1646.6592739485106,10.0,10.0,1000.0,10.0,10.0,1000.0,86.51577965706107,-1.9589409044073366e-06,-1.2030436363896723e-06,6.531788177127531e-05,-0.00011290714930722477,0.000215818820445159,-0.0003810964072951462,0.00039613756714487595,-0.000741788793778665,0.0005563356284183715,-0.0011079662173728404,0.0006615287344499971,-0.0013887112676899901,0.0006988022847948739,-0.0015086886509132393,0.0006775731152450264,-0.0014240014323707595,0.0006238470019435286,-0.0011313083739505634,0.0005701197574391162,-0.0006687592722833606,0.0005436962678316863,-0.00010859906838766675,0.0005568534130626208,0.00045724596697665815,0.0006020875838555407,0.0009358944780480865,0.0006543744458380685,0.0012526977643158657,0.0006801153057164398,0.0013666441714907135,0.0006500063618859202,0.001278448459528874,0.0005514412631820567,0.0010295679976789522,0.00039594960105473754,0.0006925801140587752,0.00021882580778464315,0.00035538514826936895,7.052115862032462e-05,0.00010261244759084659,1.8683907612069507e-06,-1.3274119487082963e-06
5,0.160259121095667,2667621.5410073865,69.24829939394411,0.5719934840547894,0.7127459546193877,0.11880494527273895,0.014580655769276153,0.0016041186924064706,0.7624953110434585,1646.6592739485106,10.0,10.0,1000.0,10.0,10.0,1000.0,99.61040384235726,-2.281098536099979e-06,-1.350357785751839e-06,0.00011256649737132443,-0.00019005539230091854,0.000367932828884078,-0.0006459166474029766,0.0006740495017766522,-0.0012608951841838834,0.0009466760148387996,-0.0018870076504174237,0.0011268214213126996,-0.0023690199454436977,0.001192146495026358,-0.0025779822863880434,0.0011576364211059289,-0.002438384877405525,0.0010664247702287229,-0.00194375063901774,0.000973345665041326,-0.0011583269409692913,0.0009254231197041721,-0.00020471133601729236,0.0009448447182834164,0.0007604748420660036,0.0010201011438326715,0.0015784646272932526,0.001109084574055669,0.0021213069561720394,0.0011540979977359071,0.0023185189949330412,0.0011042062099656076,0.002171103842060789,0.0009371119331763326,0.0017497472621285065,0.000672339866304947,0.0011780867839201452,0.0003704990454716334,0.0006055614539825508,0.00011807395698277557,0.00017590167380751503,2.1274522598363333e-06,-1.5620341986012115e-06
6,0.160259121095667,2667621.5410073865,69.24829939394411,0.5719934840547894,0.7127459546193877,0.11880494527273895,0.014580655769276153,0.0016041186924064706,0.7624953110434585,1646.6592739485106,10.0,10.0,1000.0,10.0,10.0,1000.0,106.27530251146975,-2.4614707423164066e-06,-1.403377153637363e-06,0.00016008272001403616,-0.0002673390818362551,0.000520239747081176,-0.0009123700315757912,0.0009520678164823458,-0.0017847163823717207,0.0013374544224181298,-0.0026751926245771347,0.001593616549258484,-0.003363716270041927,0.0016885663056762997,-0.0036671432093192606,0.0016420601272788527,-0.003477784120462929,0.001513434252208773,-0.0027854264650007915,0.001379432466397521,-0.0016797873758725398,0.001307226714063417,-0.00033331587074356497,0.0013300252254932607,0.0010328128482037927,0.0014334816041678702,0.002193606811475256,0.0015589674336305142,0.0029671213994345025,0.0016243811733996612,0.0032526673374744628,0.0015562802713917636,0.0030510039698315445,0.001321849365374577,0.002461718767272247,0.0009483083786290101,0.0016592152559309235,0.0005218230730997369,0.0008541164369951399,0.00016530983599089734,0.00024901065055215574,2.2447709072869702e-06,-1.7023951279823376e-06
7,0.160259121095667,2667621.5410073865,69.24829939394411,0.5719934840547894,0.7127459546193877,0.11880494527273895,0.014580655769276153,0.0016041186924064706,0.7624953110434585,1646.6592739485106,10.0,10.0,1000.0,10.0,10.0,1000.0,110.2820808295962,-2.58342993631446e-06,-1.4173751137133527e-06,0.00020766767192934146,-0.00034482064803020423,0.0006723920043136344,-0.0011803926743587478,0.0012296409319826186,-0.002312982210228868,0.0017279053045013855,-0.0034720431089325246,0.002060987302123643,-0.004372211120099702,0.0021870736927115924,-0.004775656160726621,0.0021299018701327233,-0.004541999720252644,0.0019640436404859012,-0.0036567015697933896,0.0017876498972034703,-0.002234262663433826,0.001688400465859847,-0.0004963545532395349,0.001711610317627589,0.0012716062004253668,0.0018413039924583916,0.002778222135865064,0.002002979902567181,0.0037869530514136754,0.002089910743753114,0.004166162094397356,0.0020053120418990125,0.003915746459109133,0.0017050008825053031,0.003163737918863231,0.0012235168165439648,0.0021348721910974993,0.0006727312356029581,0.0011004858787974482,0.00021232085309475388,0.0003217159298598477,2.303779760764749e-06,-1.8036330753245193e-06
8,0.160259121095667,2667621.5410073865,69.24829939394411,0.5719934840547894,0.7127459546193877,0.11880494527273895,0.014580655769276153,0.0016041186924064706,0.7624953110434585,1646.6592739485106,10.0,10.0,1000.0,10.0,10.0,1000.0,112.93185060453659,-2.6757391280517297e-06,-1.41142273501278e-06,0.00025524988943671605,-0.00042251871763839693,0.0008242546450028348,-0.0014499555958665932,0.001506535368510637,-0.002845593100443816,0.0021176801008943886,-0.004277396816639722,0.002528489751951485,-0.005394319244548405,0.0026871838388899906,-0.00590337523256086,0.0026207033301953193,-0.005631000450851031,0.0024178689248826684,-0.004557738601895397,0.0021976907504031216,-0.002822174823204,0.0020686686948237784,-0.0006945317221927778,0.0020892892347466026,0.0014759117424606365,0.002243176539583739,0.0033312350187034673,0.002440655042567023,0.00457972846799558,0.002550202458891281,0.005058050560562864,0.0024508808896426064,0.004764574061613514,0.002086274164395025,0.0038552688083906645,0.0014978207556248732,0.0026047274298582014,0.000823197341644502,0.0013444999833740364,0.0002591411422484995,0.0003939478937935218,2.333261914733754e-06,-1.8847738445781084e-06
9,0.160259121095667,2667621.5410073865,69.24829939394411,0.5719934840547894,0.7127459546193877,0.11880494527273895,0.014580655769276153,0.0016041186924064706,0.7624953110434585,1646.6592739485106,10.0,10.0,1000.0,10.0,10.0,1000.0,114.79309852776386,-2.7509604874443212e-06,-1.3938605205971557e-06,0.0003027900021803869,-0.000500428928297548,0.0009757374575984049,-0.001721003210704462,0.0017825780077807207,-0.0033824232979470263,0.002506504362726058,-0.005091063893229337,0.002995760487927452,-0.006429814708417603,0.0031884896996820533,-0.007050078063509929,0.003114075338970407,-0.00674461261824732,0.002874587714232193,-0.005488462447939424,0.0026093099088052795,-0.003443595718285681,0.0024478289838359302,-0.0009280934957537276,0.0024628427035992924,0.001645324172920298,0.0026388157241541274,0.0038521401740604956,0.00287164029170556,0.005344922095631435,0.003004876387429024,0.005927855846635421,0.002892644755732035,0.005597099726491772,0.002465420378435117,0.0045360292334840025,0.001771084702182478,0.0030686003671787916,0.0009731792211001716,0.0015860631773149598,0.000305778637284657,0.0004656690400941417,2.3457974691421106e-06,-1.9541255956117164e-06
10,0.160259121095667,2667621.5410073865,69.24829939394411,0.5719934840547894,0.7127459546193877,0.11880494527273895,0.014580655769276153,0.0016041186924064706,0.7624953110434585,1646.6592739485106,10.0,10.0,1000.0,10.0,10.0,1000.0,116.15242521201837,-2.8154220500841747e-06,-1.368900931426211e-06,0.0003502601461060848,-0.0005785368292055353,0.001126764681763836,-0.0019934655917686235,0.0020576137929306875,-0.003923329349643601,0.002894124782152928,-0.0059128333884832735,0.0034624582085122225,-0.007478444687484245,0.0036906047496921964,-0.008215504026109509,0.0036096460775858225,-0.007882604524361323,0.0033338922965849152,-0.006448711629428145,0.0030222769076305492,-0.004098477597552552,0.0028256969686448865,-0.0011971354753991625,0.002832074923409588,0.0017796092162822362,0.003027965910560472,0.004340607895294037,0.003295611413627247,0.006082171304081806,0.0034535760117096097,0.006775237058855243,0.003330275444836331,0.006413037242932512,0.0028421930914256507,0.005205802035083691,0.0020431658763501205,0.0035263462106330033,0.0011226223923450106,0.0018250972439284338,0.0003522291858191185,0.0005368509317446852,2.3477334692657703e-06,-2.0158707721980167e-06
