时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.7372775594122295,25849270.556727275,-9.094947017729282e-13,43.22353425201237,2.029651072596327,0.2197243554951695,0.07586815173075127,0.00430718240539081,2.091407891188166,1617.3453006946643,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7372775594122295,25849270.556727275,-9.094947017729282e-13,43.22353425201237,2.029651072596327,0.2197243554951695,0.07586815173075127,0.00430718240539081,2.091407891188166,1617.3453006946643,10.0,10.0,1000.0,10.0,10.0,1000.0,3.791349436892995,-3.5544390173685945e-07,-1.4554679089984024e-07,2.703841146263215e-06,-9.219513818434385e-06,9.423813628629862e-06,-2.8114384630041168e-05,1.706376691158052e-05,-5.228387456827192e-05,2.359588395614702e-05,-7.608572046658637e-05,2.771545753720666e-05,-9.39390546324649e-05,2.9038166424367054e-05,-0.00010140325691104893,2.8043719418023535e-05,-9.60277584176266e-05,2.5808138878584093e-05,-7.780567461785543e-05,2.3604161170423402e-05,-4.915795035965985e-05,2.247350509452442e-05,-1.4456010306385603e-05,2.2883889424285044e-05,2.082494092071405e-05,2.4569492586856255e-05,5.116298263651363e-05,2.6611184839828034e-05,7.205509412576685e-05,2.77459921368486e-05,8.088279780380538e-05,2.6821051556196683e-05,7.740422435144249e-05,2.3252205985125004e-05,6.377316491959063e-05,1.733432269015504e-05,4.407997766977818e-05,1.0291341307769299e-05,2.351095666120273e-05,4.034876453348112e-06,7.286929858414568e-06,3.4998664014630696e-07,-1.5826944821888238e-07
3,0.7372775594122295,25849270.556727275,-9.094947017729282e-13,43.22353425201237,2.029651072596327,0.2197243554951695,0.07586815173075127,0.00430718240539081,2.091407891188166,1617.3453006946643,10.0,10.0,1000.0,10.0,10.0,1000.0,8.699793548936888,-8.170929536511437e-07,-3.308166629941896e-07,7.863695159042229e-06,-2.5249699030579814e-05,2.6501054881106464e-05,-7.744076047081322e-05,4.7704271149832435e-05,-0.00014431358290367026,6.58531774155646e-05,-0.00021020811835190865,7.732041104820982e-05,-0.0002595740388937173,8.102563857210656e-05,-0.00028000879930001164,7.828686941971823e-05,-0.00026465100796774227,7.208597623049469e-05,-0.00021346425498285852,6.596481971562777e-05,-0.00013320419892878885,6.283518141279112e-05,-3.6091535762377805e-05,6.40148046117147e-05,6.255301372001183e-05,6.876895219178746e-05,0.00014726804749049067,7.4523364722353e-05,0.00020544001292203276,7.772710316816694e-05,0.00022973453660495315,7.513061190841044e-05,0.00021948100693750365,6.508301369099461e-05,0.00018072966315318964,4.841266067951869e-05,0.0001249686352759067,2.857116365806637e-05,6.677281345080632e-05,1.095293944962305e-05,2.0841476073161e-05,8.018575209681871e-07,-3.663804729191456e-07
4,0.7372775594122295,25849270.556727275,-9.094947017729282e-13,43.22353425201237,2.029651072596327,0.2197243554951695,0.07586815173075127,0.00430718240539081,2.091407891188166,1617.3453006946643,10.0,10.0,1000.0,10.0,10.0,1000.0,14.313305773217055,-1.348752682799687e-06,-5.344851572867503e-07,1.805888463639912e-05,-5.41945424497786e-05,5.862560084823095e-05,-0.0001673334330258345,0.00010479729508520218,-0.00031257680005135726,0.00014437098036185198,-0.00045581442345873094,0.00016944692719433844,-0.0005630251197780928,0.00017763542453753836,-0.0006069970929747706,0.00017175108236351755,-0.000572625008901575,0.00015824896540269268,-0.00045976837381886914,0.00014485301639551972,-0.0002832112394767776,0.0001379679421622247,-6.97729584854146e-05,0.00014054438499637144,0.00014687428003014647,0.00015102306900038334,0.0003327128073470586,0.00016375539451044424,0.00045996987530182203,0.00017088566623803066,0.0005124922727554743,0.00016518933454300495,0.0004888143724465712,0.00014297782088022553,0.0004022922558206697,0.0001060777284703076,0.0002782813159252773,6.21551072248375e-05,0.00014896271221925229,2.3189589214293643e-05,4.6844088257971055e-05,1.3153627042591376e-06,-6.125420543035896e-07
5,0.7372775594122295,25849270.556727275,-9.094947017729282e-13,43.22353425201237,2.029651072596327,0.2197243554951695,0.07586815173075127,0.00430718240539081,2.091407891188166,1617.3453006946643,10.0,10.0,1000.0,10.0,10.0,1000.0,20.070878786991038,-1.904079562242419e-06,-7.206061778679112e-07,4.035910027429904e-05,-0.00011324707332239108,0.00012623845716430257,-0.00035221325815378284,0.0002239856377448341,-0.0006597222100215851,0.00030792527944596926,-0.0009634945503075141,0.0003613997025933186,-0.0011910862636009215,0.00037923786287915174,-0.0012843482977896255,0.00036714152612064876,-0.0012108275498991094,0.0003385318668711247,-0.0009699576945198512,0.00030970972299204804,-0.0005930583430508841,0.0002944472684718182,-0.00013725156621877243,0.00029936025455647863,0.0003255458982722159,0.0003214406445232472,0.000722521980676892,0.0003487401437046983,0.0009941189835998268,0.0003643171491550281,0.001105625632572221,0.00035241474459565743,0.001053820961807599,0.0003048878527255631,0.000867285621165649,0.0002256087682980713,0.0006003467788947936,0.00013117666207884796,0.0003219912070198736,4.751168891989883e-05,0.0001020035273155541,1.832971031585981e-06,-8.871051251190199e-07
6,0.7372775594122295,25849270.556727275,-9.094947017729282e-13,43.22353425201237,2.029651072596327,0.2197243554951695,0.07586815173075127,0.00430718240539081,2.091407891188166,1617.3453006946643,10.0,10.0,1000.0,10.0,10.0,1000.0,23.044784218508603,-2.2021339405916474e-06,-7.911857423273802e-07,6.508737055022993e-05,-0.0001766654288894592,0.00019975794468891176,-0.0005517959246928058,0.00035301607751960147,-0.0010355035969199,0.00048486947121889466,-0.001514331010310068,0.0005693564005794321,-0.0018741756683064187,0.0005982096177216726,-0.002023191293957922,0.0005799122096370319,-0.0019098378061580832,0.0005350197250084627,-0.001532716349539684,0.000488912999373605,-0.0009406681542799254,0.0004634895107486483,-0.0002233208591252929,0.0004697684840903997,0.0005061361770840727,0.0005036452869812843,0.0011328128978691412,0.0005465904537965573,0.0015624909788008485,0.0005717189193435981,0.0017400444670555612,0.0005536931135639008,0.0016600487189256722,0.00047920748700232155,0.0013673218932954538,0.0003542233569126751,0.0009473606094771484,0.00020511943479286388,0.0005088454124727589,7.309516706281655e-05,0.00016185717694184896,2.0903370574264614e-06,-1.0532042864435577e-06
7,0.7372775594122295,25849270.556727275,-9.094947017729282e-13,43.22353425201237,2.029651072596327,0.2197243554951695,0.07586815173075127,0.00430718240539081,2.091407891188166,1617.3453006946643,10.0,10.0,1000.0,10.0,10.0,1000.0,24.746702996417447,-2.3820884891635935e-06,-8.103836148057726e-07,9.012003872880506e-05,-0.0002402420743166711,0.0002735719678860756,-0.0007525435977886025,0.0004823184870835727,-0.0014143992889859667,0.0006622427709000165,-0.0020710915051160936,0.00077821489995149,-0.0025665761826669945,0.0008187699000020479,-0.00277491779420107,0.0007948239136744575,-0.0026250504271430573,0.0007336636682165139,-0.0021143014290069383,0.0006695607487180649,-0.0013086450103474325,0.0006327207048888992,-0.0003299585365864364,0.0006390498059780031,0.0006673374545801785,0.000683866535480759,0.001526069462652252,0.0007423265688971711,0.0021169589457725514,0.0007774870645890152,0.0023639916122624428,0.0007540461176583974,0.002259111784869992,0.0006531468844406129,0.0018630537197885301,0.00048266903468021836,0.0012922675352343694,0.0002788633714666062,0.0006950113028378224,9.841592439657148e-05,0.0002216849654472509,2.229584991321523e-06,-1.1680452005591048e-06
8,0.7372775594122295,25849270.556727275,-9.094947017729282e-13,43.22353425201237,2.029651072596327,0.2197243554951695,0.07586815173075127,0.00430718240539081,2.091407891188166,1617.3453006946643,10.0,10.0,1000.0,10.0,10.0,1000.0,25.840324244355603,-2.5056805459337526e-06,-8.049648731325167e-07,0.00011526044983927572,-0.0003039454564247215,0.0003473741273644591,-0.0009542408610328432,0.0006114650392351088,-0.0017959861204669542,0.0008395128314292932,-0.0026332093140182793,0.0009873801673828512,-0.003267724423044215,0.001040316190062659,-0.0035391714621902165,0.0010113159769482086,-0.003356537194006681,0.0009339682339804643,-0.002715405134865119,0.0008512090131941491,-0.0016984195025258446,0.0008017033945355107,-0.00045934094648990775,0.0008067193943318752,0.0008063464381029595,0.0008615391166765399,0.0018990924476644864,0.0009353126479232582,0.002654228253416518,0.0009809709602505076,0.002974387708542097,0.0009528917436427855,0.002848407403150128,0.0008262724652575681,0.002352520595964611,0.0006107064576218883,0.0016337932037723728,0.0003523577525167072,0.0008798211382661804,0.0001235565042243111,0.00028124543643227444,2.3125462405138e-06,-1.2581664888766593e-06
9,0.7372775594122295,25849270.556727275,-9.094947017729282e-13,43.22353425201237,2.029651072596327,0.2197243554951695,0.07586815173075127,0.00430718240539081,2.091407891188166,1617.3453006946643,10.0,10.0,1000.0,10.0,10.0,1000.0,26.5965377962321,-2.598113466656651e-06,-7.858573606617672e-07,0.00014042736377907806,-0.0003677604835919299,0.0004210353092613455,-0.0011567958638455651,0.0007402691220396855,-0.0021800903266040285,0.001016437149618405,-0.003200460907400253,0.001196570118936747,-0.003977410587757497,0.0012625561283682964,-0.004315837580823696,0.0012291182413330553,-0.004104361558128625,0.0011357065420052781,-0.0033363377949630663,0.0010336725431484245,-0.002110587572838481,0.000970269291228026,-0.0006123447594810225,0.0009725911001579208,0.0009220606000372029,0.0010364340607073059,0.0022506513772888787,0.0011252777030280427,0.003173060896126287,0.001181886572723316,0.003570103497403011,0.0011499775665832401,0.003427004223958616,0.0009984034733297564,0.002835037405237973,0.0007382447103577049,0.0019715018561645113,0.00042559182798911153,0.0010630502204255863,0.00014855594505112056,0.0003404562382306675,2.3644604836732268e-06,-1.3344135189060351e-06
10,0.7372775594122295,25849270.556727275,-9.094947017729282e-13,43.22353425201237,2.029651072596327,0.2197243554951695,0.07586815173075127,0.00430718240539081,2.091407891188166,1617.3453006946643,10.0,10.0,1000.0,10.0,10.0,1000.0,27.145260618970074,-2.671472529031201e-06,-7.583114177171516e-07,0.00016557724842770712,-0.0004316690409527525,0.0004944783255826554,-0.0013601314394688562,0.0008686089891264134,-0.002566569373803009,0.001192846152091629,-0.00377265762206395,0.0014055772560737235,-0.004695439631953898,0.0014852680323883993,-0.005104765314723909,0.0014480245582629014,-0.004868468266817954,0.0013387099929891397,-0.003977183246103857,0.001216822749359433,-0.002545399312070404,0.0011383106045077533,-0.0007893882850626398,0.0011365474093690219,0.0010139221649639353,0.001208400044528398,0.0025801051339795896,0.0013120336771477962,0.003672802654997717,0.0013800301654483785,0.0041505386220347575,0.0013451187309465997,0.003994405730402071,0.0011694048493283802,0.003310238008381828,0.000865211826839015,0.002305160007448062,0.000498548712244092,0.0012445782065203148,0.00017343036975423583,0.00039927405693702045,2.3974375008042237e-06,-1.4019848917387538e-06
