时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.7983747115029803,29652847.09541908,1.8189894035458565e-12,52.912105824696575,1.4111320278390944,0.12485383011036184,0.043907761234634426,0.004495154387236473,1.4400600269251345,1078.043465421965,7.961707035868177,2.5373969211638774,778.8168120708068,7.961707035868177,2.5373969211638774,778.8168120708068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7983747115029803,29652847.09541908,1.8189894035458565e-12,52.912105824696575,1.4111320278390944,0.12485383011036184,0.043907761234634426,0.004495154387236473,1.4400600269251345,1078.043465421965,7.961707035868177,2.5373969211638774,778.8168120708068,7.961707035868177,2.5373969211638774,778.8168120708068,3.696760876842501,-8.178694261987916e-07,-8.941953416798403e-07,8.865127156217785e-07,-8.852189299938813e-06,5.411569596586229e-06,-2.522152442175354e-05,1.059441238810124e-05,-4.6240956794008915e-05,1.505787597528234e-05,-6.723774665280751e-05,1.7919008990277028e-05,-8.362639968105808e-05,1.89052523766809e-05,-9.174776870187563e-05,1.8308714507503532e-05,-8.952775404298192e-05,1.6813506214995103e-05,-7.682947680204571e-05,1.5244207684417634e-05,-5.544069718456213e-05,1.4296390049448052e-05,-2.8703394154778568e-05,1.4316276891070309e-05,-8.572434054436415e-07,1.5190842176654873e-05,2.3779471188269616e-05,1.6386416240656775e-05,4.163580958624536e-05,1.7133319167538136e-05,5.0560937967245524e-05,1.6706223092000333e-05,5.021077668146346e-05,1.4712562967597255e-05,4.207165503922629e-05,1.129103512693581e-05,2.9116165727025324e-05,7.146965790980261e-06,1.5162179031881683e-05,3.4087647508094616e-06,4.057452569511979e-06,8.090011056277404e-07,-9.183652961215586e-07
3,0.7983747115029803,29652847.09541908,1.8189894035458565e-12,52.912105824696575,1.4111320278390944,0.12485383011036184,0.043907761234634426,0.004495154387236473,1.4400600269251345,1078.043465421965,7.961707035868177,2.5373969211638774,778.8168120708068,7.961707035868177,2.5373969211638774,778.8168120708068,8.094690160519269,-1.7929584934179798e-06,-1.9543420392226843e-06,2.6077313891181334e-06,-2.1407729864003016e-05,1.3828143610348011e-05,-6.168688156192392e-05,2.669039954976995e-05,-0.0001135187480062816,3.778061432178311e-05,-0.00016530693466532928,4.4900231954387975e-05,-0.00020560494509918445,4.7363959014239305e-05,-0.00022524835085508492,4.589305908895018e-05,-0.00021903063734687923,4.2190221619670004e-05,-0.00018660537362096,3.831474738534186e-05,-0.00013246689779501612,3.600827537039362e-05,-6.502655103394956e-05,3.613838558426985e-05,5.035767466414791e-06,3.84160768202807e-05,6.683428719637639e-05,4.148721179284912e-05,0.00011136209609427733,4.33960069826652e-05,0.00013319361969560016,4.229572415312028e-05,0.0001314682494100305,3.7184137121243113e-05,0.00010995994355771331,2.8413485391612917e-05,7.622057184597091e-05,1.778751015780792e-05,3.997583011089949e-05,8.203305078247583e-06,1.108425098796079e-05,1.77064135053256e-06,-2.0153010586848607e-06
4,0.7983747115029803,29652847.09541908,1.8189894035458565e-12,52.912105824696575,1.4111320278390944,0.12485383011036184,0.043907761234634426,0.004495154387236473,1.4400600269251345,1078.043465421965,7.961707035868177,2.5373969211638774,778.8168120708068,7.961707035868177,2.5373969211638774,778.8168120708068,12.760506540548276,-2.830886420363534e-06,-3.07226362585713e-06,5.652714205205102e-06,-3.8431213665034245e-05,2.6358123208124605e-05,-0.000112146763282505,5.0101983754765156e-05,-0.0002071919733640005,7.059462300200579e-05,-0.0003021565065143077,8.377008842630097e-05,-0.000375785566293552,8.834881345536154e-05,-0.0004110062990917339,8.565252977336945e-05,-0.0003980984921943147,7.882893334983946e-05,-0.00033641420302963054,7.170162678239574e-05,-0.0002343661190716184,6.751743195795462e-05,-0.0001077149352625707,6.789966988937796e-05,2.3510102613631778e-05,7.230365362035522e-05,0.00013887787341683783,7.817298570006257e-05,0.00022147424222901293,8.180440362347128e-05,0.000261112111342693,7.969169687101775e-05,0.00025619653298579334,6.992684179809878e-05,0.00021387442463256668,5.3178744305173726e-05,0.0001484449601220327,3.288943686759648e-05,7.836604107741648e-05,1.4602709309991241e-05,2.2443287888195022e-05,2.7890815267371603e-06,-3.1867220485234594e-06
5,0.7983747115029803,29652847.09541908,1.8189894035458565e-12,52.912105824696575,1.4111320278390944,0.12485383011036184,0.043907761234634426,0.004495154387236473,1.4400600269251345,1078.043465421965,7.961707035868177,2.5373969211638774,778.8168120708068,7.961707035868177,2.5373969211638774,778.8168120708068,18.09902501943724,-4.0255107689577325e-06,-4.335844949782099e-06,1.1873138371354701e-05,-6.623271110010344e-05,4.874196497716962e-05,-0.0001962674654687302,9.100542234666457e-05,-0.00036424159554853313,0.0001275086892031257,-0.000532022020398509,0.0001510207390416826,-0.0006615307888676936,0.00015924111578686468,-0.0007220796326562039,0.00015448982887401077,-0.0006961604831019551,0.00014235733057770659,-0.0005826121260281353,0.0001296815906458,-0.0003966487464886488,0.00012231320212221274,-0.0001668004377847039,0.00012320926865530383,7.06380790362028e-05,0.00013140248977535246,0.00027860913732265805,0.00014223782425464606,0.00042641509969454003,0.0001489251480356036,0.0004955761495461784,0.00014500558429277426,0.00048325559199820223,0.00012695112004947452,0.0004025679193432669,9.599507119886816e-05,0.0002797230061747932,5.851284092412683e-05,0.00014861603570063067,2.4785778512360976e-05,4.393629452435548e-05,3.949868427513026e-06,-4.5435063076202355e-06
6,0.7983747115029803,29652847.09541908,1.8189894035458565e-12,52.912105824696575,1.4111320278390944,0.12485383011036184,0.043907761234634426,0.004495154387236473,1.4400600269251345,1078.043465421965,7.961707035868177,2.5373969211638774,778.8168120708068,7.961707035868177,2.5373969211638774,778.8168120708068,23.490104579729476,-5.247295510143305e-06,-5.5753872553235505e-06,2.4498663988625775e-05,-0.00011365935176049433,8.993036795986311e-05,-0.0003424748456408584,0.00016483004518844354,-0.0006385336806282068,0.00022955329386712474,-0.0009341500277535754,0.00027136005715034967,-0.001161384528343926,0.00028613960936658305,-0.0012653159641383,0.0002778801840017808,-0.0012145439452474894,0.0002563736928787466,-0.0010069768166001886,0.00023374286630800016,-0.0006699705456605611,0.0002205157377217369,-0.0002549004435857693,0.00022215834577216526,0.00017278354124243228,0.00023707610140059473,0.0005461683365989147,0.00025689108149464505,0.0008097718294928338,0.00026918979725380873,0.0009302005976032168,0.0002620572004628623,0.0009024241168489051,0.00022893682574337307,0.0007503920608185847,0.00017208139221822001,0.0005219037596038536,0.00010327831137173155,0.00027884420727226526,4.152370279862962e-05,8.475280574085868e-05,5.1110968208666875e-06,-5.950319601807939e-06
7,0.7983747115029803,29652847.09541908,1.8189894035458565e-12,52.912105824696575,1.4111320278390944,0.12485383011036184,0.043907761234634426,0.004495154387236473,1.4400600269251345,1078.043465421965,7.961707035868177,2.5373969211638774,778.8168120708068,7.961707035868177,2.5373969211638774,778.8168120708068,26.76329387968183,-6.0066870311092745e-06,-6.285294296368518e-06,3.950853874677318e-05,-0.00016495951264169738,0.00013639234400527388,-0.0005025316277781055,0.00024713313230741944,-0.0009398446656728066,0.00034287793419502814,-0.0013766411443391887,0.00040494068204559595,-0.0017119680208582241,0.0004272002839372647,-0.0018640437051600611,0.00041531455007626504,-0.001785996571413685,0.0003834894872203886,-0.0014745767561928811,0.0003495623907359319,-0.0009704505909369693,0.0003293044248436668,-0.00035019644999366185,0.0003311918293402906,0.0002884601295323327,0.00035318963545328516,0.0008454544481933207,0.0003829130763141743,0.0012376986397234448,0.00040163258758410384,0.0014151212383482544,0.00039116956298554444,0.0013701608667066368,0.00034141673336101583,0.0011387541315678218,0.00025571357602875055,0.000792674947387821,0.00015196911042384705,0.0004249243923415427,5.902064649054913e-05,0.00013115556305685213,5.803458674657805e-06,-6.84570074780605e-06
8,0.7983747115029803,29652847.09541908,1.8189894035458565e-12,52.912105824696575,1.4111320278390944,0.12485383011036184,0.043907761234634426,0.004495154387236473,1.4400600269251345,1078.043465421965,7.961707035868177,2.5373969211638774,778.8168120708068,7.961707035868177,2.5373969211638774,778.8168120708068,28.77881011791723,-6.489697107224986e-06,-6.685426393424851e-06,5.506603775676922e-05,-0.00021601065140128124,0.00018341107890439324,-0.0006628675450713999,0.0003299423059326899,-0.0012424568327951966,0.0004567260905309703,-0.0018218930392657619,0.0005392407982699748,-0.002267044155891913,0.0005693231200803564,-0.002469042686562732,0.0005541084413581474,-0.0023652980228136915,0.0005119753899847308,-0.001951163647948775,0.00046635063869435655,-0.0012804224862000217,0.00043834306241029715,-0.00045475095159173805,0.0004397170741456135,0.000395825610256826,0.0004683004589765573,0.001137926477729517,0.0005078528612023525,0.0016605918352927836,0.0005332498438881416,0.001896782204320404,0.0005198108046830227,0.0018361700987342853,0.00045364494621145804,0.0015265386456765123,0.00033909434827248845,0.0010635880033728936,0.00020027874733456372,0.0005714623713871926,7.603708022868656e-05,0.00017803091855608192,6.219303859358468e-06,-7.431853911047599e-06
9,0.7983747115029803,29652847.09541908,1.8189894035458565e-12,52.912105824696575,1.4111320278390944,0.12485383011036184,0.043907761234634426,0.004495154387236473,1.4400600269251345,1078.043465421965,7.961707035868177,2.5373969211638774,778.8168120708068,7.961707035868177,2.5373969211638774,778.8168120708068,30.133224114225467,-6.827800184283872e-06,-6.9226101622005815e-06,7.089364410716673e-05,-0.00026697666786677234,0.00023064414631235826,-0.000823638446724555,0.0004128628882555914,-0.0015465923461430514,0.0005706746745443123,-0.002270329970567761,0.0006738377565298638,-0.0028274175233205774,0.0007121124939043956,-0.0030816879922587075,0.000693908247729117,-0.0029545590505456513,0.000641515137835095,-0.002439686663547743,0.0005838025630502599,-0.0016036821623588973,0.0005472981683359867,-0.0005731003400820632,0.0005473357804753367,0.0004898252654787201,0.0005819317482374565,0.0014183265456759267,0.0006311769833939096,0.002073353278321978,0.0006635082857278171,0.002370597061221544,0.0006475240974298791,0.0022966588415468795,0.000565312061085235,0.001910909526128757,0.00042210222843389766,0.0013327804155699378,0.00024826690102870897,0.0007174367203367842,9.275801850247849e-05,0.00022494306324441013,6.490294504972926e-06,-7.855025765241925e-06
10,0.7983747115029803,29652847.09541908,1.8189894035458565e-12,52.912105824696575,1.4111320278390944,0.12485383011036184,0.043907761234634426,0.004495154387236473,1.4400600269251345,1078.043465421965,7.961707035868177,2.5373969211638774,778.8168120708068,7.961707035868177,2.5373969211638774,778.8168120708068,31.100327815635698,-7.081376505437438e-06,-7.0642647237261905e-06,8.686147019893951e-05,-0.0003179247880393138,0.0002779288266394401,-0.0009848985377272363,0.0004957048935238269,-0.0018523348313742771,0.0006845163988999808,-0.0027221393580330643,0.0008085201586824498,-0.0033934706048755203,0.0008553679602074871,-0.0037026463178612295,0.0008345371240914194,-0.0035547988804351125,0.0007719594627752227,-0.0029415496527912233,0.0007017874192962752,-0.001942003143420043,0.0006560371321596643,-0.000707320668034538,0.0006538907377249821,0.0005681967088018224,0.00069388936801708,0.0016843570268718297,0.0007526620930072335,0.002473811974490403,0.0007921835566729908,0.002834665870058776,0.0007741229616915788,0.002750100518884531,0.0006763034115908283,0.002290758015636981,0.0005047092781131146,0.0015995430727739623,0.00029598205437627917,0.0008624638620039977,0.00010927740173267719,0.0002717215947462937,6.676883216261596e-06,-8.182409463610849e-06
