时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,4.9598919655736164,124218132.36373317,16825.019074685675,838.0663123474498,1.9253235186817963,0.14948479751370033,0.15167315596756084,0.009001217194877034,1.9558403727073714,752.9856720214507,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.9598919655736164,124218132.36373317,16825.019074685675,838.0663123474498,1.9253235186817963,0.14948479751370033,0.15167315596756084,0.009001217194877034,1.9558403727073714,752.9856720214507,10.0,10.0,1000.0,10.0,10.0,1000.0,1.6921463387157218,-9.134826057638749e-07,-2.7576661183006516e-07,-4.603591469921212e-07,-1.0206832946846139e-05,3.2380382330006178e-06,-2.6209074711361896e-05,7.149164560567457e-06,-4.536709427784376e-05,1.039205812194999e-05,-6.406770524307343e-05,1.2428787674199747e-05,-7.894020753287354e-05,1.3123090235421374e-05,-8.736811065566252e-05,1.2691722636621946e-05,-8.788291672985918e-05,1.1591224402270662e-05,-8.036081763484419e-05,1.0365670818054847e-05,-6.59904500639829e-05,9.487295074118537e-06,-4.702009948767152e-05,9.225147883263509e-06,-2.6330408921339444e-05,9.574605814588477e-06,-6.908293167766311e-06,1.026922289043904e-05,8.684147430158856e-06,1.0875614788416226e-05,1.8749622193100145e-05,1.0946528853173974e-05,2.272376042635855e-05,1.0186022428111496e-05,2.122202562289589e-05,8.572746404229987e-06,1.5857232237516904e-05,6.397623882847494e-06,8.863656162153268e-06,4.22634781445859e-06,2.599075007941601e-06,9.110751605321267e-07,-2.822850712940364e-07
3,4.9598919655736164,124218132.36373317,16825.019074685675,838.0663123474498,1.9253235186817963,0.14948479751370033,0.15167315596756084,0.009001217194877034,1.9558403727073714,752.9856720214507,10.0,10.0,1000.0,10.0,10.0,1000.0,3.9131634632283903,-2.1144877334972034e-06,-6.370147957939908e-07,-6.151147216167217e-07,-2.5171807122386284e-05,8.678906431520554e-06,-6.505170967400872e-05,1.8529775097189138e-05,-0.0001129157241534942,2.671070193629191e-05,-0.00015963657485991317,3.185474355211396e-05,-0.000196631254496204,3.3609793131846444e-05,-0.00021720623822228636,3.2522071859255706e-05,-0.00021759462393224776,2.9751656167381528e-05,-0.0001974813236118218,2.668535165116987e-05,-0.00015993335849550657,2.452801123732258e-05,-0.00011075648791541817,2.3962667400630724e-05,-5.739661364881378e-05,2.496532888562802e-05,-7.581208618544358e-06,2.68323538454575e-05,3.2056818010777055e-05,2.842473940815631e-05,5.7123898792824206e-05,2.8566613192519368e-05,6.616945475141815e-05,2.647868612118699e-05,6.081996477798984e-05,2.2105759727851714e-05,4.532176349088542e-05,1.6223961565993056e-05,2.5585443489078635e-05,1.03469681751004e-05,7.917814391688139e-06,2.1082676620844293e-06,-6.538880633247966e-07
4,4.9598919655736164,124218132.36373317,16825.019074685675,838.0663123474498,1.9253235186817963,0.14948479751370033,0.15167315596756084,0.009001217194877034,1.9558403727073714,752.9856720214507,10.0,10.0,1000.0,10.0,10.0,1000.0,6.485533438607834,-3.5086468650109697e-06,-1.0539080370741008e-06,1.2454482153499683e-07,-4.570020739990782e-05,1.7393106980399434e-05,-0.00011903418579261922,3.57335297980114e-05,-0.00020727192605438148,5.098604498650461e-05,-0.00029335810488846783,6.05849012560704e-05,-0.00036111482732966116,6.385859889708915e-05,-0.0003978633568259,6.182528694581598e-05,-0.0003964519104050368,5.666600882024992e-05,-0.00035629839430298676,5.09979117851548e-05,-0.0002832863770845872,4.709859871117319e-05,-0.0001885529788286348,4.6252961721637105e-05,-8.639374003892272e-05,4.838978325745746e-05,8.342388092119502e-06,5.212561116274038e-05,8.290290985268573e-05,5.523118688759535e-05,0.00012884711155729513,5.5403916251938956e-05,0.00014342118890514578,5.111649916010484e-05,0.0001298432897650355,4.226668448813456e-05,9.645467315081e-05,3.0403922027492323e-05,5.4914056373548566e-05,1.8551545141514157e-05,1.7794682991673938e-05,3.4967125512701e-06,-1.086352266928358e-06
5,4.9598919655736164,124218132.36373317,16825.019074685675,838.0663123474498,1.9253235186817963,0.14948479751370033,0.15167315596756084,0.009001217194877034,1.9558403727073714,752.9856720214507,10.0,10.0,1000.0,10.0,10.0,1000.0,8.957831773528074,-4.852300542076264e-06,-1.4521191631826163e-06,2.2941882547562903e-06,-7.049458497650363e-05,2.9566935992911888e-05,-0.00018508800088289155,5.856710201715956e-05,-0.0003232364668524512,8.270261072223249e-05,-0.00045786499885115727,9.789606425758227e-05,-0.0005630982170468258,0.0001030681127378877,-0.000618574764711866,9.983066653777305e-05,-0.0006127967258066973,9.16613056834497e-05,-0.000544875905205549,8.274965070410478e-05,-0.000424408395618628,7.675122968485513e-05,-0.00026953572284145824,7.572232364607616e-05,-0.00010355400490588732,7.951255983316543e-05,4.932499698674426e-05,8.581921183987688e-05,0.00016830444878196524,9.094196667151255e-05,0.00023964058560056042,9.105564752487526e-05,0.00025892125182156605,8.362325358175687e-05,0.00023157057849859317,6.849046444375196e-05,0.00017150357536823164,4.8285121212466906e-05,9.821642164535658e-05,2.8121361529474246e-05,3.290168326382437e-05,4.832868451535819e-06,-1.5050554791193308e-06
6,4.9598919655736164,124218132.36373317,16825.019074685675,838.0663123474498,1.9253235186817963,0.14948479751370033,0.15167315596756084,0.009001217194877034,1.9558403727073714,752.9856720214507,10.0,10.0,1000.0,10.0,10.0,1000.0,11.360996472904374,-6.162850547282524e-06,-1.8351459369812891e-06,6.738715421064613e-06,-0.00010270326943433436,4.744113093627478e-05,-0.00027188094349559595,9.073263783730494e-05,-0.00047609921923051597,0.00012676421974271162,-0.0006747546393198245,0.00014944078273491522,-0.0008287989922794916,0.00015713682381590446,-0.000907409798662506,0.0001522583274954843,-0.0008931882282462668,0.00014002778330569706,-0.000784901715196033,0.0001267670508317513,-0.0005973502009476822,0.00011801577631438103,-0.000358437197552171,0.00011689202549540915,-0.00010399114964158336,0.0001231277633844317,0.00012874305473030613,0.00013311752988957526,0.0003077823826843452,0.00014106763286011678,0.000412042943177252,0.00014097910478169076,0.00043489833007098484,0.00012887565203594233,0.0003850083377743431,0.00010454698860357942,0.00028429200045272315,7.220433417150372e-05,0.00016348068677908795,3.999880400305801e-05,5.616345267190882e-05,6.13299750079197e-06,-1.9166355476087883e-06
7,4.9598919655736164,124218132.36373317,16825.019074685675,838.0663123474498,1.9253235186817963,0.14948479751370033,0.15167315596756084,0.009001217194877034,1.9558403727073714,752.9856720214507,10.0,10.0,1000.0,10.0,10.0,1000.0,14.252960852811757,-7.748758516191339e-06,-2.2855073358251414e-06,1.8051434702850455e-05,-0.00016221403936027054,8.428870400310259e-05,-0.0004339668367217569,0.00015465576014330587,-0.0007622467735294556,0.0002131719987258873,-0.001080581965685129,0.0002499789602284819,-0.0013246720292512055,0.00026243095441344267,-0.0014436437781252117,0.0002544076273888139,-0.001408855586638794,0.00023440234471245393,-0.0012185961052130405,0.00021278839010096208,-0.0008979556445190658,0.00019874978936578285,-0.0004939900421080953,0.00019751265901564577,-6.707013201749282e-05,0.0002086236638092052,0.0003200588460202926,0.0002259205629949137,0.0006135652361823016,0.00023942692096537335,0.0007781141322189905,0.00023876217253712435,0.0008029646016293408,0.00021704549025227863,0.0007034487729892841,0.00017398472375490987,0.0005176011124832167,0.00011705682057485023,0.000298671102008846,6.059087841560617e-05,0.00010507713302513322,7.698548665355672e-06,-2.422919466901536e-06
8,4.9598919655736164,124218132.36373317,16825.019074685675,838.0663123474498,1.9253235186817963,0.14948479751370033,0.15167315596756084,0.009001217194877034,1.9558403727073714,752.9856720214507,10.0,10.0,1000.0,10.0,10.0,1000.0,16.12940473702104,-8.787263736599485e-06,-2.5642380507371056e-06,3.286582464949401e-05,-0.00022696006206017222,0.00012733827588012835,-0.000611664850133271,0.00022751529386427216,-0.0010764495786590278,0.000310744011222908,-0.0015260864112814647,0.00036311889493441575,-0.0018681981594670205,0.00038087981845272875,-0.002029642699190025,0.0003694400311416206,-0.001969348565528078,0.0003407788801138638,-0.0016852007842737798,0.00030968861392344417,-0.0012139234587208348,0.0002894502621575814,-0.0006241217357378998,0.0002877817181323319,-3.755137221401237e-06,0.00030416948592465004,0.0005557718563046716,0.00032964018678331827,0.0009760914060426961,0.00034944326528255613,0.0012059224831587343,0.0003481117226739364,0.0012300512416714919,0.0003153626643033996,0.0010715453554859037,0.00025080249259030996,0.000786846217446302,0.00016572207751556638,0.00045482031853080686,8.159592890748638e-05,0.00016207538156615443,8.714226906910768e-06,-2.7645232693445023e-06
9,4.9598919655736164,124218132.36373317,16825.019074685675,838.0663123474498,1.9253235186817963,0.14948479751370033,0.15167315596756084,0.009001217194877034,1.9558403727073714,752.9856720214507,10.0,10.0,1000.0,10.0,10.0,1000.0,17.32040650764869,-9.454573390529454e-06,-2.7290589865780576e-06,4.887514190585417e-05,-0.00029131724979793725,0.00017153112280121545,-0.0007890735147513067,0.0003013727821533196,-0.0013905507023953228,0.00040919854250019065,-0.001971690441201339,0.0004771668195924719,-0.0024119500776296422,0.0005003956821892731,-0.0026158400389268014,0.00048569710653098276,-0.0025298036174989866,0.00044835909556648117,-0.002151295943418062,0.0004074953348013912,-0.0015286844601545262,0.00038054182850654665,-0.0007521797709054794,0.00037789722255759847,6.255899915895442e-05,0.0003991961966193712,0.000795310797897827,0.00043275504882113393,0.0013430021721877266,0.00045898364088622164,0.0016382771000448557,0.0004571450315028694,0.001661406799962325,0.00041337561448556254,0.0014432540298750709,0.00032712226618494,0.0010588060975682578,0.00021358467262672773,0.0006127239329186779,0.00010154905402727086,0.00021998595733571948,9.35865764052453e-06,-2.992523925848069e-06
10,4.9598919655736164,124218132.36373317,16825.019074685675,838.0663123474498,1.9253235186817963,0.14948479751370033,0.15167315596756084,0.009001217194877034,1.9558403727073714,752.9856720214507,10.0,10.0,1000.0,10.0,10.0,1000.0,18.136851352776453,-9.919345928238392e-06,-2.831530398236902e-06,6.552733643102982e-05,-0.0003555822093826475,0.00021629162882139181,-0.0009667610037150395,0.00037565965139064366,-0.0017055934074428234,0.0005080059610552654,-0.0024191540543063066,0.0005916541429419503,-0.0029586507260020317,0.000620578618642422,-0.0032061336665500082,0.0006028372903244138,-0.003095431526921597,0.0005568308739388535,-0.002623433472599286,0.000505882695688918,-0.001850023724296603,0.0004716381947369518,-0.0008869274061437796,0.00046737814464037163,0.00012252281568271456,0.0004931226729535302,0.0010292344272701981,0.0005346181294092654,0.0017053042232066924,0.0005674078586583506,0.0020671457478425442,0.0005653252247183293,0.0020903721833160902,0.0005107454002990302,0.0018135358505493068,0.0004028664004775626,0.0013301022719759755,0.00026083607171526423,0.0007704877022959169,0.00012085674166146066,0.00027803259413004887,9.800601945554722e-06,-3.1582128850694704e-06
