时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.41304253430463045,4322158.596552864,3.410605131648481e-13,4.3923376647568455,1.0760871673319536,0.15066669913307415,0.016211703762496327,0.003451920822032109,1.129952837257388,1120.8895147562532,1.792703638880317,3.1747126911619974,635.2101925793502,1.792703638880317,3.1747126911619974,635.2101925793502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.41304253430463045,4322158.596552864,3.410605131648481e-13,4.3923376647568455,1.0760871673319536,0.15066669913307415,0.016211703762496327,0.003451920822032109,1.129952837257388,1120.8895147562532,1.792703638880317,3.1747126911619974,635.2101925793502,1.792703638880317,3.1747126911619974,635.2101925793502,11.70262871837079,-5.485990576608996e-06,-1.7207495634327184e-06,-5.272490585966595e-07,-1.315945315121233e-05,1.1403006224542135e-05,-3.9640066998903096e-05,2.574882199367323e-05,-7.497505926687344e-05,3.852973956807642e-05,-0.00011111024079381432,4.705589562035125e-05,-0.0001398149651099471,5.035677332881977e-05,-0.00015432463138364633,4.914949341390341e-05,-0.00015065812371350447,4.536821653237501e-05,-0.0001283568392229764,4.14043223298301e-05,-9.053010908713619e-05,3.9270147295076386e-05,-4.320455891194079e-05,3.992226519763678e-05,5.893247187703643e-06,4.2946281087102804e-05,4.8885522810108584e-05,4.671051196325632e-05,7.931500191901358e-05,4.8956159494622916e-05,9.341674346621928e-05,4.7646723052870084e-05,9.082212034545094e-05,4.1801578813224e-05,7.454901434081516e-05,3.202557473937084e-05,5.028140834868434e-05,2.053669084319813e-05,2.5107377596204228e-05,1.0610292315604007e-05,5.977106635560672e-06,5.473950171481444e-06,-1.7347050153416952e-06
3,0.41304253430463045,4322158.596552864,3.410605131648481e-13,4.3923376647568455,1.0760871673319536,0.15066669913307415,0.016211703762496327,0.003451920822032109,1.129952837257388,1120.8895147562532,1.792703638880317,3.1747126911619974,635.2101925793502,1.792703638880317,3.1747126911619974,635.2101925793502,26.24399490944732,-1.2312510139764582e-05,-3.8547537645308435e-06,2.0710633605461233e-06,-3.573719588622777e-05,3.602827430306442e-05,-0.00011034759881447453,7.687763828204883e-05,-0.00021027667374573665,0.00011329725225420718,-0.00031248800948859126,0.00013756514725073193,-0.00039324129312046877,0.00014686801371920874,-0.00043293705570164094,0.00014324801400688133,-0.00042001615288478887,0.00013227341553855026,-0.00035316860392706147,0.00012085686459240193,-0.0002415033866209858,0.00011482889749165678,-0.00010267148056216659,0.0001169510036362841,4.0685790976267395e-05,0.00012596927020449279,0.0001654777763002032,0.00013704371500175344,0.0002527897094940321,0.00014347740463110668,0.0002916360475831868,0.00013923138948029973,0.00028104501330560895,0.0001214078418017972,0.00023003899870137557,9.183841041596384e-05,0.0001555272797131302,5.718358943311557e-05,7.860878186434557e-05,2.7330888951993685e-05,2.0062158921566853e-05,1.22774295445417e-05,-3.896279244956196e-06
4,0.41304253430463045,4322158.596552864,3.410605131648481e-13,4.3923376647568455,1.0760871673319536,0.15066669913307415,0.016211703762496327,0.003451920822032109,1.129952837257388,1120.8895147562532,1.792703638880317,3.1747126911619974,635.2101925793502,1.792703638880317,3.1747126911619974,635.2101925793502,42.83554302148627,-2.012406403862672e-05,-6.274576192070506e-06,1.5668154534642268e-05,-8.186427331435456e-05,9.80656217579421e-05,-0.0002608754454634039,0.0001970576672875128,-0.0005014443464114521,0.00028530328882623874,-0.0007473705498577198,0.0003440129198180154,-0.000940278790008639,0.0003662696130819306,-0.0010317837871460654,0.0003569765786726819,-0.0009933185779496282,0.00032971071001018686,-0.0008217540917952724,0.00030145989392793744,-0.0005399155584733902,0.00028666339359831414,-0.00019197593875490025,0.00029221388780665853,0.00016537570884299441,0.000314962586913074,0.0004743072878562844,0.00034267120608003066,0.0006874960231523818,0.0003583230734574738,0.0007776256667264255,0.0003465352557472277,0.0007426722058980488,0.0002999579621951892,0.0006058478673577396,0.00022338940485689028,0.00041027163553041565,0.00013403667438475496,0.0002096456567304084,5.7471670339050686e-05,5.69350140168778e-05,2.003688459242146e-05,-6.380238547776446e-06
5,0.41304253430463045,4322158.596552864,3.410605131648481e-13,4.3923376647568455,1.0760871673319536,0.15066669913307415,0.016211703762496327,0.003451920822032109,1.129952837257388,1120.8895147562532,1.792703638880317,3.1747126911619974,635.2101925793502,1.792703638880317,3.1747126911619974,635.2101925793502,53.78955757750059,-2.5315694429132427e-05,-7.843290593379362e-06,4.404282396659917e-05,-0.00014959909201215667,0.00020067397201980173,-0.00048798356827534,0.00038842829240149214,-0.0009436756163510128,0.0005557359487429498,-0.0014093692204657931,0.0006670800618793338,-0.0017731365815629452,0.0007092362763349618,-0.0019420370266011904,0.0006912060759083336,-0.0018611866523076572,0.0006385029779183795,-0.001524684965060552,0.0005834579885713045,-0.0009766948434512541,0.0005539779261802531,-0.00030266546503067757,0.0005637820023737781,0.0003876347144888798,0.0006071817145961946,0.0009821195377855173,0.0006605249572745479,0.0013890851812035489,0.0006904361041740113,0.0015558119946940127,0.0006665077931721554,0.0014789268208891988,0.0005741611633653972,0.001204228814139726,0.00042294460928724476,0.0008161742875624584,0.00024699723156047267,0.00041963519600602675,9.69339370011761e-05,0.00011793689136253928,2.514776947264233e-05,-8.049978635777246e-06
6,0.41304253430463045,4322158.596552864,3.410605131648481e-13,4.3923376647568455,1.0760871673319536,0.15066669913307415,0.016211703762496327,0.003451920822032109,1.129952837257388,1120.8895147562532,1.792703638880317,3.1747126911619974,635.2101925793502,1.792703638880317,3.1747126911619974,635.2101925793502,59.05793310135766,-2.78443525404613e-05,-8.570737338742821e-06,7.547825229191174e-05,-0.0002165493154527899,0.00030641905835766386,-0.0007151885372692885,0.0005828092291047138,-0.0013877123320080022,0.0008291528209733704,-0.0020754189779367866,0.0009934746020737754,-0.002612397205973197,0.0010561783280289112,-0.002860745621588037,0.0010299131601703643,-0.002738946503978237,0.0009515692595694475,-0.00223809168007041,0.0008685607577672052,-0.0014235270113473638,0.000822540444734629,-0.00042196656265300206,0.0008347492104909107,0.000603526848388307,0.0008976540005415335,0.0014861665117839916,0.000976452819340097,0.002089324714883267,0.0010210993391562566,0.0023344586937959176,0.0009855187293969468,0.0022167040369451825,0.0008473830061761294,0.0018045588874431135,0.0006209289831091551,0.0012240236594148661,0.0003576066126275054,0.0006313010886972938,0.0001335743355874555,0.00018019597152392426,2.759541602193604e-05,-8.879404225237925e-06
7,0.41304253430463045,4322158.596552864,3.410605131648481e-13,4.3923376647568455,1.0760871673319536,0.15066669913307415,0.016211703762496327,0.003451920822032109,1.129952837257388,1120.8895147562532,1.792703638880317,3.1747126911619974,635.2101925793502,1.792703638880317,3.1747126911619974,635.2101925793502,62.12973002229669,-2.934646740019875e-05,-8.973011540977902e-06,0.00010807003295141659,-0.00028332173117362464,0.000413212772300521,-0.0009431575110018241,0.0007779958738418197,-0.001834437900644349,0.0011033311793278776,-0.0027469390511839953,0.0013210737558169696,-0.00346046668363669,0.0014051762151937237,-0.003791815201894847,0.0013714307205991952,-0.003632479006724256,0.0012674617236129375,-0.0029701543269124177,0.0011554243011784383,-0.0018909542211082088,0.0010909515852101784,-0.0005625062668994222,0.0011035266850241085,0.0007989740965888006,0.0011845677566197075,0.0019718414842564004,0.0012885332173061654,0.0027741415973885236,0.001348530647419719,0.0031010369662363454,0.0013022425480016964,0.0029457915593191194,0.0011190346407617276,0.0023993381978763537,0.0008176284973130831,0.001628988129680649,0.00046695623008997353,0.0008420237016988088,0.00016900337344595776,0.00024255696128416604,2.9016584442886314e-05,-9.383800681320514e-06
8,0.41304253430463045,4322158.596552864,3.410605131648481e-13,4.3923376647568455,1.0760871673319536,0.15066669913307415,0.016211703762496327,0.003451920822032109,1.129952837257388,1120.8895147562532,1.792703638880317,3.1747126911619974,635.2101925793502,1.792703638880317,3.1747126911619974,635.2101925793502,64.12609171737644,-3.0348296764297335e-05,-9.216018776588192e-06,0.00014120108805458135,-0.0003501038758246077,0.0005203753686486922,-0.001172104030085213,0.0009732707108926776,-0.0022841807554992003,0.0013775493730810477,-0.003424519619237227,0.001649193441764367,-0.004318370750203247,0.0017556247120299926,-0.004736870014548229,0.0017152585759222642,-0.004544123608548906,0.0015857810994134604,-0.003723969923161471,0.0014437101081089018,-0.00238277812530612,0.001358869619067483,-0.000728630027896139,0.0013697115548361955,0.0009693499687216283,0.001467441926367403,0.0024345660802511325,0.0015962505366227933,0.0034393392565695152,0.0016722749764022285,0.0038520025754719255,0.0016163955931359593,0.003663455137170995,0.0013890847274238296,0.0029866673292312774,0.0010132804592251398,0.002029903811200194,0.0005754960519641679,0.0010511847885444502,0.000203775963883962,0.00030472151837866165,2.993759845764161e-05,-9.72886068811998e-06
9,0.41304253430463045,4322158.596552864,3.410605131648481e-13,4.3923376647568455,1.0760871673319536,0.15066669913307415,0.016211703762496327,0.003451920822032109,1.129952837257388,1120.8895147562532,1.792703638880317,3.1747126911619974,635.2101925793502,1.792703638880317,3.1747126911619974,635.2101925793502,65.51444109478958,-3.106933784570703e-05,-9.368958011957816e-06,0.00017460474727231293,-0.00041695693819121396,0.0006275929850539596,-0.0014020657958024598,0.0011682741973360778,-0.0027369916844152023,0.0016514126440399348,-0.004108299945683432,0.00197742737721763,-0.005186431112681771,0.0021071403386006605,-0.005696502059347338,0.0020610693040549917,-0.00547480434087078,0.001906271642879805,-0.004500818476274034,0.0017332204527922654,-0.0029006131834837076,0.0016261148556883363,-0.0009222127919061654,0.0016330959902512627,0.001112645242723251,0.0017460163054725476,0.002872357501273931,0.0018993087849881872,0.004083121263485038,0.001992054530895022,0.004585866863924336,0.0019277852142737485,0.004368573703018284,0.0016574740814523405,0.0035657883854508863,0.0012079666438107985,0.002426318967530857,0.0006834137274906225,0.0012585488600348103,0.00023812632239449095,0.00036657327575485133,3.0577989047502225e-05,-9.983683235624623e-06
10,0.41304253430463045,4322158.596552864,3.410605131648481e-13,4.3923376647568455,1.0760871673319536,0.15066669913307415,0.016211703762496327,0.003451920822032109,1.129952837257388,1120.8895147562532,1.792703638880317,3.1747126911619974,635.2101925793502,1.792703638880317,3.1747126911619974,635.2101925793502,66.52367237349321,-3.161710297185966e-05,-9.465733494171598e-06,0.00020814275925749094,-0.0004838968880670357,0.0007346854061106251,-0.0016330161330994535,0.0013627749336713806,-0.003192813749985306,0.0019246383353470652,-0.004798236528339769,0.0023054578861035667,-0.006064679043473017,0.0024594028792856,-0.00667087817238253,0.0024085778753566516,-0.006424870010967363,0.0022287085122061623,-0.005301256514641561,0.0020237881256885736,-0.003445224545724464,0.0018925464833774665,-0.0011441972915441452,0.0018935221700424238,0.0012278072459758118,0.002020086864387577,0.003284148725407033,0.0021974626050255117,0.004704505768989031,0.0023076215761709345,0.005301809407000025,0.0022362146249292757,0.005060525948933772,0.0019240977937048254,0.004136278816268435,0.0014016835980792525,0.0028179805195595346,0.000790783804890295,0.001463985112053897,0.0002721656070668692,0.00042805094305276107,3.104529708305668e-05,-1.0182105490011032e-05
