时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.1849102828380094,38555273.59009365,-3252.360197705395,175.21672453717332,1.1200604847358346,0.20796524044173317,0.05826721201109875,0.007411364959965291,1.2158445918911984,570.3378357199402,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.1849102828380094,38555273.59009365,-3252.360197705395,175.21672453717332,1.1200604847358346,0.20796524044173317,0.05826721201109875,0.007411364959965291,1.2158445918911984,570.3378357199402,10.0,10.0,0.0,10.0,10.0,0.0,10.226334809452387,-2.692250960343955e-06,-2.0081687785846252e-06,-5.691112115083613e-05,6.292717652761051e-05,-9.867354354406044e-05,0.00012373134128885064,-0.00012831357256866646,0.00017118031671818415,-0.0001448475461376197,0.0001997754216387419,-0.00014942314514773463,0.0002058420470640424,-0.00014496563489762096,0.0001879979430228001,-0.00013553060242370632,0.00014737614769443216,-0.00012547944826604034,8.759748821385524e-05,-0.0001186013673061654,1.4450787231166515e-05,-0.00011734456764590829,-6.470144328472123e-05,-0.00012231301879102874,-0.0001417356649775366,-0.00013214063660486308,-0.00020868915733981473,-0.0001437710940323403,-0.000258655253844017,-0.00015307600335578118,-0.000286526107902758,-0.00015567516936186522,-0.00028950147847061486,-0.00014779809638130616,-0.0002673308046213815,-0.00012704640060289007,-0.00022230426543952249,-9.294657219344803e-05,-0.0001589964576754779,-4.7230808305367206e-05,-8.383727656582149e-05,2.6942908343709337e-06,-2.005099264743491e-06
3,3.1849102828380094,38555273.59009365,-3252.360197705395,175.21672453717332,1.1200604847358346,0.20796524044173317,0.05826721201109875,0.007411364959965291,1.2158445918911984,570.3378357199402,10.0,10.0,0.0,10.0,10.0,0.0,23.60218570375692,-6.2152265911505514e-06,-4.640261314644723e-06,-0.00022187556433868208,0.0002696976155154482,-0.00039423887509642424,0.0005254415565467736,-0.0005177671140514343,0.0007289049158989768,-0.0005877849411878044,0.0008569443939505416,-0.000608469036858836,0.0008937040395912731,-0.0005914444337952826,0.0008326018723911654,-0.0005531531481147438,0.0006773744396505087,-0.0005114556956229113,0.000442055457393192,-0.00048199928696334647,0.0001497316701367447,-0.0004750294287299329,-0.0001698714548843107,-0.0004932991870570159,-0.0004837317281771674,-0.0005315393543051474,-0.0007593358132152354,-0.0005775990857542359,-0.0009683709161156175,-0.0006149658846802434,-0.0010897736152809642,-0.00062608806339486,-0.001111798577221798,-0.00059583131443857,-0.0010329861040944287,-0.0005144927072386857,-0.0008620910897123408,-0.0003799511609916775,-0.0006170308641241257,-0.00019870400564968185,-0.0003230827222682667,6.22332101780946e-06,-4.622987828529624e-06
4,3.1849102828380094,38555273.59009365,-3252.360197705395,175.21672453717332,1.1200604847358346,0.20796524044173317,0.05826721201109875,0.007411364959965291,1.2158445918911984,570.3378357199402,10.0,10.0,0.0,10.0,10.0,0.0,31.557027581716174,-8.31056292206841e-06,-6.217199457265372e-06,-0.0005241141106362066,0.0006686927337550799,-0.0009454704647445773,0.0012966023160756214,-0.0012488878958801177,0.0018015825035215356,-0.001421990718759585,0.0021263226511813206,-0.00147434847303479,0.0022307568539255873,-0.001434079883898754,0.0020971831171581086,-0.0013413410531712413,0.0017331576002003683,-0.0012398591304565525,0.0011716570174996712,-0.0011679198405407252,0.000468130558211698,-0.0011505210471134254,-0.0003054321494625258,-0.0011943165468312692,-0.0010687544694677864,-0.0012864532899017711,-0.001742640940249425,-0.001397500081024665,-0.002258000392036575,-0.0014876734961721716,-0.0025632324533061456,-0.001514889888669992,-0.0026291942986387314,-0.0014430001786457363,-0.0024515161000473913,-0.001248836126116679,-0.002050437194031527,-0.0009271497971926512,-0.0014683518357963606,-0.0004929080182786972,-0.00076547994923703,8.329911452565268e-06,-6.168410039260152e-06
5,3.1849102828380094,38555273.59009365,-3252.360197705395,175.21672453717332,1.1200604847358346,0.20796524044173317,0.05826721201109875,0.007411364959965291,1.2158445918911984,570.3378357199402,10.0,10.0,0.0,10.0,10.0,0.0,34.587660453999064,-9.109693610082122e-06,-6.828253215397087e-06,-0.0008241533457623666,0.001064690910300868,-0.0014953315145253203,0.002060953364771414,-0.001978896206757683,0.0028650881851341433,-0.0022545458648259103,0.003385256116380723,-0.002337492317051969,0.003556548238064197,-0.0022729474200052554,0.003349504282333735,-0.0021254673528134393,0.0027751013587121024,-0.0019651194929246715,0.0018852059261203133,-0.0018528795305910836,0.0007678726181047214,-0.001828087697102087,-0.0004622626722039336,-0.0019005715297702097,-0.0016773167951247777,-0.002049117002948569,-0.002751184259458094,-0.0022264659519885804,-0.003573875519999866,-0.00236943176588553,-0.00406314594018099,-0.002411698374273703,-0.0041722611034232596,-0.002296679960247408,-0.003893632003323185,-0.001988332629643767,-0.0032586314076520325,-0.001478608521774396,-0.002333896638396419,-0.0007908295817666442,-0.0012146279796211214,9.14027172295763e-06,-6.746511538214866e-06
6,3.1849102828380094,38555273.59009365,-3252.360197705395,175.21672453717332,1.1200604847358346,0.20796524044173317,0.05826721201109875,0.007411364959965291,1.2158445918911984,570.3378357199402,10.0,10.0,0.0,10.0,10.0,0.0,36.16972578667876,-9.528938767213389e-06,-7.155002055117414e-06,-0.0011222525077120098,0.0014529100183019964,-0.0020421686584649336,0.0028099959395972793,-0.002704399836930026,0.003907007769910981,-0.0030807016991149373,0.004617546825162039,-0.003192310944231207,0.004851578419865478,-0.003102167462409744,0.0045675744127341164,-0.002899845969386816,0.0037797883241647463,-0.002682074842919579,0.0025590600370019997,-0.002532370244215245,0.0010262842149434818,-0.0025038056199691333,-0.0006610290680938444,-0.002608506139401704,-0.002327308257984508,-0.0028160524182917414,-0.0037996436599956698,-0.003060834441956352,-0.004927366031855139,-0.003256225346993646,-0.005597775060762668,-0.0033121163677843316,-0.00574657688622219,-0.0031522172373458727,-0.005362803491983325,-0.002728340852493852,-0.004488689451696204,-0.002030077248857959,-0.003214897990071441,-0.0010890577209918162,-0.0016716191920468227,9.570694557450287e-06,-7.040004285354919e-06
7,3.1849102828380094,38555273.59009365,-3252.360197705395,175.21672453717332,1.1200604847358346,0.20796524044173317,0.05826721201109875,0.007411364959965291,1.2158445918911984,570.3378357199402,10.0,10.0,0.0,10.0,10.0,0.0,37.131685739069155,-9.786813898565102e-06,-7.3599221925970605e-06,-0.0014184671973253304,0.0018324972695103216,-0.0025855651099008056,0.00354224025510251,-0.0034245451987767917,0.0049250977736974046,-0.003899257191063849,0.005820138721562878,-0.004037380808006929,0.0061119960385422785,-0.003920230996840835,0.005746850772656039,-0.0036630053964606993,0.004742170702362254,-0.00338937634584058,0.0031879138767381063,-0.003205198423674575,0.001238074146343551,-0.003176616309714331,-0.0009067536657105548,-0.003317138334503132,-0.0030232796447062895,-0.0035862804386361854,-0.004891965409575258,-0.0038995649647021037,-0.006321750198798607,-0.004146915015089805,-0.007169724582526118,-0.004214906428343165,-0.007354111973970349,-0.0040083176600326335,-0.006860440556155712,-0.003467589376196819,-0.005741564537886504,-0.0025804172616186913,-0.004111977850879758,-0.0013867116072318593,-0.0021368808863222004,9.839686387313645e-06,-7.211639499031332e-06
8,3.1849102828380094,38555273.59009365,-3252.360197705395,175.21672453717332,1.1200604847358346,0.20796524044173317,0.05826721201109875,0.007411364959965291,1.2158445918911984,570.3378357199402,10.0,10.0,0.0,10.0,10.0,0.0,37.769742180302174,-9.961467031390517e-06,-7.501097513503171e-06,-0.00171265302017348,0.0022031699929969044,-0.0031250642589575215,0.004257187464855605,-0.004138612600605331,0.005918588916766235,-0.004709303864231702,0.00699195854294992,-0.004871689401290136,0.007336420824189569,-0.00472610243556438,0.0068856816925026735,-0.004413950585546503,0.005660400956494716,-0.004086104744166177,0.0037698301824104358,-0.0038705225908212803,0.0014013325131140184,-0.0038457291768182124,-0.0012012143688100241,-0.004025685621111191,-0.0037668023780406115,-0.004358984713546563,-0.006029475705793199,-0.0047417805898154804,-0.007758100004063912,-0.005040560265554255,-0.008779822166369092,-0.00511908791095064,-0.008995470466787853,-0.004864009080758413,-0.008386953792865044,-0.0042051842208099,-0.0070175155484733555,-0.0031288953284185606,-0.0050252966179471165,-0.001683301525594163,-0.002610533064415134,1.0025384374720102e-05,-7.3196195061773336e-06
9,3.1849102828380094,38555273.59009365,-3252.360197705395,175.21672453717332,1.1200604847358346,0.20796524044173317,0.05826721201109875,0.007411364959965291,1.2158445918911984,570.3378357199402,10.0,10.0,0.0,10.0,10.0,0.0,38.21605229761152,-1.0087774968303934e-05,-7.60443579305127e-06,-0.0020045875625139715,0.0025648024221374857,-0.0036601680427488428,0.004954608348145894,-0.004845886774299604,0.0068871178260186145,-0.005509984245435364,0.008132489491133205,-0.005694313725510464,0.008524181163925271,-0.005518859330891068,0.007983263428529544,-0.005151805186941022,0.00653359162612999,-0.004771448034143912,0.0043039051443934965,-0.004527585025968823,0.0015152103098529713,-0.0045104093186992406,-0.0015451481181834397,-0.0047333964940592605,-0.004558469866613009,-0.005133364820599389,-0.007212619678365989,-0.005586618099879415,-0.009236725715801936,-0.005936244709599655,-0.01042826353866518,-0.006023724243774429,-0.010670754196509343,-0.0057183879890874145,-0.009942372915164801,-0.004940323342061629,-0.008316527682654302,-0.0036748862922254357,-0.005954830113236085,-0.00197844958021337,-0.003092579135599512,1.0162653451514406e-05,-7.38992368106714e-06
10,3.1849102828380094,38555273.59009365,-3252.360197705395,175.21672453717332,1.1200604847358346,0.20796524044173317,0.05826721201109875,0.007411364959965291,1.2158445918911984,570.3378357199402,10.0,10.0,0.0,10.0,10.0,0.0,38.5384316411188,-1.0183640700831357e-05,-7.683224443434301e-06,-0.0022940153823852905,0.002917328292559258,-0.004190357984384189,0.005634375258474868,-0.005545649409961508,0.007830474220366245,-0.0063004566268732584,0.009241425811626923,-0.0065043630428328995,0.00967487658808068,-0.006297622446011411,0.00903912028611031,-0.0058757395281268604,0.007361231299694968,-0.005444636737869947,0.00478964486952831,-0.0051756605559187124,0.0015792844513282194,-0.005169941809869143,-0.0019388692047992533,-0.005439527982083636,-0.005398474185020131,-0.0059086216434788615,-0.008441477018121896,-0.006433214189855943,-0.010757617857577211,-0.0068330562951481235,-0.012114975307810721,-0.006927892034524406,-0.012379847240819199,-0.006570575057619204,-0.011526558928555709,-0.005672239344446475,-0.009638462227259097,-0.0042178068992494416,-0.006900469474539719,-0.0022718216402466667,-0.003582970189137324,1.0269384345078697e-05,-7.435892777418086e-06
