时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.904307715801246,89355777.80514187,1551.4241796635251,225.38065126996622,1.833456100704979,0.3692356533791518,0.09271614004088043,0.0057714450332414765,2.015883050621306,1269.3118611692792,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.904307715801246,89355777.80514187,1551.4241796635251,225.38065126996622,1.833456100704979,0.3692356533791518,0.09271614004088043,0.0057714450332414765,2.015883050621306,1269.3118611692792,10.0,10.0,1000.0,10.0,10.0,1000.0,13.584549321302198,-1.1336809644273406e-06,-8.895469748950154e-07,1.3633752751663209e-05,-2.454122810751319e-05,4.4562630234598854e-05,-7.057296533055703e-05,8.00274703516399e-05,-0.000129286288312316,0.00011075439494618406,-0.00018723671560009914,0.00013039643826257244,-0.00023077688032315468,0.00013679391495116563,-0.0002487868435012286,0.0001320253812748263,-0.00023493217029755845,0.00012126988746171766,-0.0001889461741649746,0.00011082981185576354,-0.00011676080722458084,0.00010587650476237132,-2.941214794490425e-05,0.00010861667927538948,5.9115181441824e-05,0.00011749777415169907,0.00013470066837983693,0.00012775185659185472,0.00018595054602430744,0.00013311468319812623,0.0002064637137684191,0.0001281473715429469,0.00019600699231002994,0.00011039583960080417,0.00016039497232882662,8.16721558678668e-05,0.00011014120781067529,4.804873431141808e-05,5.824024017247843e-05,1.845728276818673e-05,1.7455475287588246e-05,1.1136219824778932e-06,-9.133554853918366e-07
3,3.904307715801246,89355777.80514187,1551.4241796635251,225.38065126996622,1.833456100704979,0.3692356533791518,0.09271614004088043,0.0057714450332414765,2.015883050621306,1269.3118611692792,10.0,10.0,1000.0,10.0,10.0,1000.0,31.714685709237465,-2.664498906663379e-06,-2.055134414396611e-06,5.9573845215747476e-05,-9.388771271869437e-05,0.00018454137644406736,-0.00027816545319395337,0.00032818569092907436,-0.0005145243581369134,0.00045306953486029,-0.0007484342622481373,0.0005333082961104607,-0.0009239979967310532,0.0005598469574007567,-0.0009954257683903736,0.000540826193653946,-0.0009364495353215773,0.0004971561644152629,-0.0007457636405017068,0.0004545731187021825,-0.00044768708857450087,0.00043440149639764175,-8.77463521994961e-05,0.0004458811344374601,0.0002762111345021871,0.00048270478595612796,0.0005857327861478655,0.0005251403881342147,0.000793756096488107,0.0005471517059808404,0.0008741005371007586,0.0005261347661674033,0.0008263146367078737,0.00045199619808361464,0.0006750031430955204,0.0003325029924902549,0.00046403542284358145,0.00019311419159664443,0.00024717963550322295,7.098848788329421e-05,7.697569611318068e-05,2.5830329272338783e-06,-2.153773709047953e-06
4,3.904307715801246,89355777.80514187,1551.4241796635251,225.38065126996622,1.833456100704979,0.3692356533791518,0.09271614004088043,0.0057714450332414765,2.015883050621306,1269.3118611692792,10.0,10.0,1000.0,10.0,10.0,1000.0,42.27389072582104,-3.5944923090883574e-06,-2.6857035957299535e-06,0.00014747431973753515,-0.00021534826430204032,0.0004431628919280573,-0.0006506732753473319,0.0007834586125223139,-0.0012114715330826533,0.00108027026671817,-0.0017681071730017005,0.0012722989971147719,-0.002186847225914837,0.0013374091503068981,-0.0023578070138724036,0.0012937549798251618,-0.0022176173069586936,0.0011899863940816526,-0.0017625515814540414,0.0010870576974050677,-0.0010502548567465442,0.0010364557487564947,-0.00018943859388221042,0.0010614758363158535,0.0006811958747013373,0.0011481301290952957,0.0014211098466024212,0.0012495269299453789,0.0019170798932450822,0.0013027878031821455,0.0021064074028561202,0.0012528666656618577,0.0019886679779188557,0.0010750404245246808,0.0016237178176934154,0.000788168405294629,0.001117202358272927,0.00045402797792568517,0.0005976400758431459,0.00016224719317241371,0.0001900020178036959,3.4014719059423716e-06,-2.9221869618355245e-06
5,3.904307715801246,89355777.80514187,1551.4241796635251,225.38065126996622,1.833456100704979,0.3692356533791518,0.09271614004088043,0.0057714450332414765,2.015883050621306,1269.3118611692792,10.0,10.0,1000.0,10.0,10.0,1000.0,46.36105962561753,-3.98925113534728e-06,-2.8853846056260585e-06,0.00023694973989988357,-0.00033647074335834424,0.0007035932013431176,-0.0010255688731806156,0.0012408630181486413,-0.001915786527576295,0.0017106120754636816,-0.0028016151188716945,0.002016450996094893,-0.00347040824382505,0.0021226636268715285,-0.0037472770472194725,0.002056159563185712,-0.0035310769346619418,0.001892036965637295,-0.00281507915193927,0.0017260271761174774,-0.001689710814351535,0.0016406091373072672,-0.0003265628760032156,0.001674862192228198,0.0010545752603677919,0.001808783772635088,0.002230230671764305,0.001968986719744486,0.003019887192125988,0.002055113251357857,0.003323457461719508,0.001978262650473005,0.0031402671866000804,0.0016978585094425782,0.0025655809097285117,0.0012435419046582126,0.0017669317963610852,0.0007139992018265846,0.0009473225605330181,0.00025215903908828514,0.0003037261186758318,3.684641253073466e-06,-3.26038989530626e-06
6,3.904307715801246,89355777.80514187,1551.4241796635251,225.38065126996622,1.833456100704979,0.3692356533791518,0.09271614004088043,0.0057714450332414765,2.015883050621306,1269.3118611692792,10.0,10.0,1000.0,10.0,10.0,1000.0,48.51065441644135,-4.223813636858277e-06,-2.9556260865807297e-06,0.00032681576717669174,-0.00045792302088204956,0.0009640867811522195,-0.0014032151411541931,0.0016979448298147998,-0.002627304251144136,0.0023409577374449977,-0.0038482716323996052,0.0027621628186174766,-0.0047737976046267165,0.0029118785924442544,-0.005163383535919392,0.002824489430114468,-0.004877640375731393,0.0026000886922314206,-0.003906275739796544,0.002368512003753251,-0.002371734151540327,0.002243871916867288,-0.0005077255396443841,0.002282722534055839,0.0013852254370971483,0.0024608624508476945,0.0030004050069415847,0.0026793506366854973,0.004089193125182456,0.0027999879408546345,0.0045132529513231285,0.0026987486807414224,0.004271105112681428,0.0023179185950024327,0.0034931167396351735,0.001697360003285039,0.0024083006908494006,0.0009729198773793951,0.0012934358687345527,0.0003413648383462826,0.00041679391624267867,3.807915431435292e-06,-3.4690710642140215e-06
7,3.904307715801246,89355777.80514187,1551.4241796635251,225.38065126996622,1.833456100704979,0.3692356533791518,0.09271614004088043,0.0057714450332414765,2.015883050621306,1269.3118611692792,10.0,10.0,1000.0,10.0,10.0,1000.0,49.82500457275615,-4.389374548754699e-06,-2.9697080256056933e-06,0.0004168001879666916,-0.0005798935193541219,0.0012242520500472997,-0.0017837886700504194,0.00215413540780842,-0.003346168292442258,0.002970541906819104,-0.004908206986817046,0.003508518170948499,-0.0060971997038120835,0.0037040871562753954,-0.006606470215236588,0.0035978392652130605,-0.006257942477326212,0.0033133671995109358,-0.005037206759673194,0.0030138576326652305,-0.003097927532514238,0.002845621474477785,-0.0007350808889279468,0.0028843522100568133,0.0016705617214210953,0.003103512148216084,0.0037288615457276146,0.0033796450788664907,0.005122332787531465,0.0035364421003399944,0.005673485769954482,0.0034135216223806783,0.0053793769680566825,0.0029347120780270916,0.004405053881146179,0.0021494431988334974,0.0030405051733077434,0.0012308687121960417,0.001635519890798058,0.0004300675434780449,0.0005289495851520051,3.862550687251854e-06,-3.6213750779662506e-06
8,3.904307715801246,89355777.80514187,1551.4241796635251,225.38065126996622,1.833456100704979,0.3692356533791518,0.09271614004088043,0.0057714450332414765,2.015883050621306,1269.3118611692792,10.0,10.0,1000.0,10.0,10.0,1000.0,50.70137923948608,-4.5187838949260646e-06,-2.954061155812429e-06,0.0005067842820184066,-0.0007024271467351826,0.0014838741914567383,-0.0021672834356559786,0.0026090708726233336,-0.004072307643914968,0.003598829482466488,-0.005981303518373282,0.0042548431861177795,-0.007440493840663389,0.004498558302491679,-0.008076467797337573,0.004375518807029434,-0.0076720264965524695,0.004031292223411685,-0.0062080979270866515,0.0036615994868851717,-0.0038687656612293557,0.0034454472789735677,-0.00100938058233929,0.0034793012161989136,0.001909600602305014,0.0037361757818492425,0.004414501820337134,0.004069208599532634,0.006118237146992687,0.004263786152845054,0.006803232349705164,0.004121976449877388,0.006464362744818952,0.0035478137984369593,0.005300881435704965,0.0025995806144096766,0.00366321631320255,0.001487810970408882,0.0019733844163351577,0.0005183255349016397,0.0006400919044200747,3.881457044067761e-06,-3.7436570946265103e-06
9,3.904307715801246,89355777.80514187,1551.4241796635251,225.38065126996622,1.833456100704979,0.3692356533791518,0.09271614004088043,0.0057714450332414765,2.015883050621306,1269.3118611692792,10.0,10.0,1000.0,10.0,10.0,1000.0,51.31800640204353,-4.626762247160469e-06,-2.920563907471976e-06,0.0005966945168582426,-0.0008255200472772155,0.0017427860425214407,-0.002553621971369403,0.0030624376381685327,-0.004805554267011241,0.00422533677832811,-0.007067318791070736,0.005000512429420374,-0.008803401792007101,0.005294601929492382,-0.00957310649051802,0.005156869414948849,-0.009119677158254362,0.00475330923970549,-0.007418844056861261,0.004311301146444274,-0.004684314860053972,0.004042978745706794,-0.001330901763949792,0.004067176036750393,0.0021018700959706425,0.004358365345686869,0.005056734898392514,0.004747449021141624,0.007076298120998434,0.004981383669747798,0.007901949610565569,0.004823531504004547,0.007525624901178714,0.004156787088632489,0.0061802746642962815,0.00304752116935687,0.004276214247831403,0.0017436578176441015,0.0023069000699627515,0.0006061454031455883,0.0007501593863376728,3.879420121408448e-06,-3.847731309143723e-06
10,3.904307715801246,89355777.80514187,1551.4241796635251,225.38065126996622,1.833456100704979,0.3692356533791518,0.09271614004088043,0.0057714450332414765,2.015883050621306,1269.3118611692792,10.0,10.0,1000.0,10.0,10.0,1000.0,51.7666844818927,-4.720876386253335e-06,-2.8753531810964825e-06,0.0006864750121621131,-0.0009491484926870243,0.0020008389488249583,-0.0029426961627365467,0.003513941453364332,-0.00554569653196844,0.004849599127496176,-0.008165952944778194,0.0057449168597890465,-0.010185573279179596,0.006091539627054687,-0.011096027533493662,0.005941239120131819,-0.010600568835237655,0.0054788676715928466,-0.008669203306581441,0.004962531848824945,-0.0055444770315114045,0.004637857112485997,-0.0016997348370432824,0.004647602761378389,0.0022470946773287324,0.004969617407028154,0.005655159606640985,0.00541379736532035,0.007996075159244335,0.00568861287893767,0.008969228861383426,0.00551760622045497,0.008562822517968941,0.004761182111619169,0.0070429699713508995,0.003492990544579078,0.004879313141919076,0.0019982943878686025,0.0026359561276371665,0.0006935115905963231,0.0008591042520514542,3.864074661843603e-06,-3.939673445423152e-06
