时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,16.240187368820017,303121853.0103595,-1481.8604448297701,3304.814232181889,2.5172913634345564,0.3903608145063469,0.21580487348648975,0.011814383528667467,2.6704821595955317,808.7695250833385,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16.240187368820017,303121853.0103595,-1481.8604448297701,3304.814232181889,2.5172913634345564,0.3903608145063469,0.21580487348648975,0.011814383528667467,2.6704821595955317,808.7695250833385,10.0,10.0,1000.0,10.0,10.0,1000.0,6.17720304235417,-2.0784776638241555e-06,-1.2657392758440794e-06,5.460979890809732e-06,-2.731401747170002e-05,2.5230028753763853e-05,-6.724997697093222e-05,4.633589906434789e-05,-0.00011504375256191311,6.386056180886225e-05,-0.00016084174268519554,7.469016637698378e-05,-0.00019520501932094014,7.801808218154739e-05,-0.00021075190489820727,7.518997784287444e-05,-0.00020346326034699955,6.903465804002346e-05,-0.00017336008456377824,6.286654881758242e-05,-0.00012445803644988812,5.9418619126670036e-05,-6.400450535987598e-05,5.9991830724653836e-05,-1.133496038335384e-06,6.406157922439483e-05,5.482297742369383e-05,6.946482720033188e-05,9.605323436320936e-05,7.312665804586115e-05,0.00011768387068063014,7.211988114538165e-05,0.0001186199112041289,6.474103728849802e-05,0.00010164939183847444,5.12641623559188e-05,7.279568997580632e-05,3.412920896741325e-05,4.0071772462747884e-05,1.7567378130114215e-05,1.186615866750493e-05,2.0642627720594875e-06,-1.2900478691874073e-06
3,16.240187368820017,303121853.0103595,-1481.8604448297701,3304.814232181889,2.5172913634345564,0.3903608145063469,0.21580487348648975,0.011814383528667467,2.6704821595955317,808.7695250833385,10.0,10.0,1000.0,10.0,10.0,1000.0,13.593262750518816,-4.582162268668086e-06,-2.774996912441374e-06,2.158562819748131e-05,-7.654446879310048e-05,8.042500309229917e-05,-0.00019362244023047424,0.00014331223259081256,-0.00033405915618498703,0.00019554616789247147,-0.0004683667225371091,0.00022779042615624033,-0.0005680428575262667,0.0002375977015943973,-0.0006107090644645218,0.00022900132241710804,-0.0005841839030594905,0.00021053709630954737,-0.0004886279375273157,0.00019223981967531398,-0.0003364501375938859,0.00018239133180840845,-0.00014999327467416897,0.0001848952163873586,4.259560289343009e-05,0.0001980351478537553,0.0002125780413540092,0.0002150268126137674,0.0003359481810285922,0.00022626094011084677,0.00039783458490973356,0.00022260789077644161,0.00039510832879690395,0.00019879211932132852,0.0003367013731721121,0.00015576856965334303,0.0002415985175086893,0.00010132710089419304,0.00013498412102969028,4.886112900153114e-05,4.330417932006266e-05,4.538731237885738e-06,-2.8503543681465675e-06
4,16.240187368820017,303121853.0103595,-1481.8604448297701,3304.814232181889,2.5172913634345564,0.3903608145063469,0.21580487348648975,0.011814383528667467,2.6704821595955317,808.7695250833385,10.0,10.0,1000.0,10.0,10.0,1000.0,21.351454092051164,-7.225128447462435e-06,-4.316364597616653e-06,7.196691182632626e-05,-0.00018581410109925396,0.0002249543859288136,-0.0004857307484988483,0.0003883497044177304,-0.0008459937232293251,0.0005239901387195578,-0.001189457239069922,0.0006076465942011648,-0.0014410048862539926,0.0006328745240914514,-0.0015415258435551157,0.0006100821570448687,-0.0014589447936184427,0.0005615496657885766,-0.001194086080676919,0.0005136922113561967,-0.0007805184455482201,0.0004884932712142866,-0.00027843434386841067,0.0004963902695623723,0.00023639810783604207,0.0005327232298462648,0.0006866884345720403,0.00057902022299649,0.0010080645213890267,0.0006090032247291853,0.0011610497416669277,0.0005976664008722193,0.0011381355261047001,0.0005306576239434174,0.0009645554153973054,0.0004109137908325351,0.0006927187398068388,0.0002603079416211636,0.0003916710066378129,0.00011592593514085176,0.00013382587665074748,7.1094752678863976e-06,-4.520153292085791e-06
5,16.240187368820017,303121853.0103595,-1481.8604448297701,3304.814232181889,2.5172913634345564,0.3903608145063469,0.21580487348648975,0.011814383528667467,2.6704821595955317,808.7695250833385,10.0,10.0,1000.0,10.0,10.0,1000.0,25.125785114283367,-8.540626525976532e-06,-5.01392594503685e-06,0.0001420834781579575,-0.00031812144304239925,0.0004130045267556232,-0.0008469685812309799,0.0007020068607481668,-0.0014827499363110896,0.0009419460862901579,-0.0020881746997966693,0.0010902560120377284,-0.0025291909795814157,0.0011353584138202857,-0.002700294467911615,0.0010951304354449506,-0.0025443618703117404,0.0010085243449682265,-0.0020631700026467036,0.0009223147438134086,-0.0013171430994102173,0.0008760457266773699,-0.00041447307564945973,0.0008890848957482312,0.0005086117353203249,0.0009537098021603008,0.001313100242438026,0.0010368847360435697,0.0018833153884904282,0.0010908847733304618,0.00214866673560484,0.001069929822493206,0.002096465210311556,0.0009476476027052335,0.0017731697234856908,0.0007294898465554508,0.0012740736890417572,0.00045572715686557664,0.0007240771410490329,0.0001941242643442368,0.00025386375529891207,8.333957974470766e-06,-5.3810499573388975e-06
6,16.240187368820017,303121853.0103595,-1481.8604448297701,3304.814232181889,2.5172913634345564,0.3903608145063469,0.21580487348648975,0.011814383528667467,2.6704821595955317,808.7695250833385,10.0,10.0,1000.0,10.0,10.0,1000.0,26.961629921812875,-9.205096449799872e-06,-5.308296418381649e-06,0.00021454713548580478,-0.0004496756830732128,0.0006032767457587063,-0.0012091244266195828,0.001017627480235683,-0.0021230992650613798,0.0013619627809317455,-0.002993776783717726,0.0015756941919537212,-0.0036276958955820077,0.001641874824403499,-0.0038725781176771217,0.0015851138978071598,-0.0036459735963838267,0.0014602309746597655,-0.0029503624482534125,0.0013340200636339542,-0.0018727750977578748,0.0012639851730240656,-0.0005692309187274638,0.001279388027205839,0.0007635504039706608,0.001370448209556031,0.0019245525581414785,0.0014900628740793702,0.0027463566179657746,0.0015688170820975895,0.003126868177951148,0.0015393942387577223,0.0030480196029680317,0.001362635618440686,0.002577461115414814,0.0010462011529669163,0.0018533345689908513,0.0006490181020407625,0.0010562212283353532,0.0002700211665009583,0.0003748257462953556,8.907621690485314e-06,-5.839200407225526e-06
7,16.240187368820017,303121853.0103595,-1481.8604448297701,3304.814232181889,2.5172913634345564,0.3903608145063469,0.21580487348648975,0.011814383528667467,2.6704821595955317,808.7695250833385,10.0,10.0,1000.0,10.0,10.0,1000.0,28.038447315042568,-9.614753581999014e-06,-5.444136796823473e-06,0.00028788250153479996,-0.0005814084760215054,0.0007941358312030684,-0.0015733757362986628,0.0013334876027933673,-0.0027687171181835974,0.00178233291978453,-0.003908779308152871,0.0020623759091390236,-0.004740262495127415,0.0021510387700066982,-0.00506371147736465,0.00207886769499007,-0.004770977390581466,0.0019156665458407091,-0.003864828651518966,0.0017478382439499692,-0.0024584255839606712,0.001651217295092632,-0.0007551815327197523,0.0016659605475601933,0.0009879094224044614,0.0017813360558292578,0.0025077143013396475,0.001936806719365785,0.003584680373218336,0.002041144081962696,0.0040847149774489895,0.002004784466796297,0.003983940933235981,0.0017749706364327941,0.0033708558712280848,0.0013611274349796245,0.0024260915843002584,0.0008409146808952802,0.0013854661876382477,0.00034478012184387775,0.0004952854242260261,9.226934062668155e-06,-6.13870681866667e-06
8,16.240187368820017,303121853.0103595,-1481.8604448297701,3304.814232181889,2.5172913634345564,0.3903608145063469,0.21580487348648975,0.011814383528667467,2.6704821595955317,808.7695250833385,10.0,10.0,1000.0,10.0,10.0,1000.0,28.739491023993523,-9.898394185857394e-06,-5.500997493097006e-06,0.00036158399873404643,-0.0007135849301320626,0.0009849802497839198,-0.001940017338386714,0.0016489032275932287,-0.003420027443447875,0.002202326489803793,-0.004833882311350269,0.002549577777321578,-0.005868029959125722,0.0026621908689595576,-0.006275416953579305,0.0025758371390037595,-0.005921775028133391,0.0023743835286655097,-0.004809675710129577,0.002163385451443421,-0.0030778454353076546,0.0020373474210547077,-0.0009765605788541094,0.002048325782644272,0.0011772175607752833,0.0021857859521378408,0.003058184155929037,0.002376455838114534,0.004394259446520626,0.002507230929944558,0.0050187947932663485,0.0024656156371511374,0.004901565401123487,0.002184417204897021,0.0041514523191247986,0.0016743140424188981,0.002991113359670297,0.0010316924956420594,0.0017110874964420268,0.00041880321955637106,0.0006148332595035098,9.420820813445454e-06,-6.358939333480147e-06
9,16.240187368820017,303121853.0103595,-1481.8604448297701,3304.814232181889,2.5172913634345564,0.3903608145063469,0.21580487348648975,0.011814383528667467,2.6704821595955317,808.7695250833385,10.0,10.0,1000.0,10.0,10.0,1000.0,29.226145715337605,-1.0110243183037907e-05,-5.512414380760879e-06,0.00043541448819727033,-0.0008462798463443105,0.0011754866700130436,-0.002309075012269894,0.0019634549407585166,-0.00407704527995319,0.002621440204663601,-0.0057691673187421025,0.0030367500778373767,-0.007011241235625772,0.0031747910403681447,-0.007508188565553345,0.003075546219194497,-0.007099179197925474,0.002835997762454217,-0.0057860694943389765,0.002580355037713146,-0.0037325451880480275,0.0024220949672542533,-0.0012351618413596187,0.0024261662666508646,0.0013295140517939241,0.0025834034378279967,0.003573989541440407,0.0028085467133233013,0.005173269394417079,0.00296660313298339,0.005927557603123257,0.002921487140040888,0.005799685290119908,0.002590722344608818,0.004918391204170647,0.0019856846846907843,0.0035478457954098873,0.0012214248434186251,0.002032762068976043,0.0004922490912133397,0.000733290915851018,9.543621513435054e-06,-6.533322089546957e-06
10,16.240187368820017,303121853.0103595,-1481.8604448297701,3304.814232181889,2.5172913634345564,0.3903608145063469,0.21580487348648975,0.011814383528667467,2.6704821595955317,808.7695250833385,10.0,10.0,1000.0,10.0,10.0,1000.0,29.578187651249607,-1.0277086362506248e-05,-5.494996566496716e-06,0.0005092372129088667,-0.0009794993017314243,0.0013654375142673997,-0.002680475689875587,0.0022768242579169224,-0.0047396290809093135,0.0030392552576026344,-0.006714470388874063,0.00352340296070379,-0.008169775882335462,0.0036883329584327016,-0.008762017663585185,0.0035775329400106544,-0.0083033519880939,0.0033001319319021414,-0.0067943856008102765,0.002998454400703283,-0.004423132809709612,0.002805211278952199,-0.0015318097033919752,0.002799216941126081,0.0014438161803215677,0.0029738598621980687,0.004054082736701868,0.0032326802197548752,0.005920702367520596,0.003418831384785601,0.006810122605076073,0.0033720095851934966,0.0066775975351075385,0.0029936037147550495,0.0056711598298353465,0.002295097113800696,0.004095950435556509,0.0014100957629674677,0.002350291490201987,0.0005651804752767417,0.0008505553866192175,9.622232868501194e-06,-6.6783723038816456e-06
