时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,36.215035772701135,1413852556.464612,-4.656612873077393e-10,107453.60635383654,2.9106731545548796,0.3452186067820264,0.27855780337771874,0.02915261994199862,3.0164397002572576,346.00805629920274,6.348628750581015,7.418520649434654,627.3469531279903,6.348628750581015,7.418520649434654,627.3469531279903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,36.215035772701135,1413852556.464612,-4.656612873077393e-10,107453.60635383654,2.9106731545548796,0.3452186067820264,0.27855780337771874,0.02915261994199862,3.0164397002572576,346.00805629920274,6.348628750581015,7.418520649434654,627.3469531279903,6.348628750581015,7.418520649434654,627.3469531279903,1.5046604263948817,-6.317496498442162e-06,-2.503049213462766e-06,-1.067303644813968e-05,-2.6330720455115586e-05,-1.4971159991636016e-06,-5.465866934549987e-05,7.8189985298304e-06,-8.751955403926495e-05,1.5650043996577958e-05,-0.0001202594673525101,2.0892874062158642e-05,-0.00014867370773398466,2.3198858021115824e-05,-0.0001694179250944704,2.2893734270633248e-05,-0.00018036890700062183,2.078512058610811e-05,-0.00018080971308966724,1.790829730549938e-05,-0.00017141143538550288,1.525928439418392e-05,-0.00015401885000156668,1.356876479079456e-05,-0.00013127839931057663,1.316336998608114e-05,-0.00010617047407880339,1.3942278733377336e-05,-8.15241887839135e-05,1.5469062719429053e-05,-5.95970810107903e-05,1.7147570074314483e-05,-4.179227800307895e-05,1.8425469477331357e-05,-2.8560987156589362e-05,1.895714948054266e-05,-1.9505882700921055e-05,1.8680644555866617e-05,-1.3664930786700107e-05,1.796186059747745e-05,-9.976819845010872e-06,6.292362605558328e-06,-2.547966905035429e-06
3,36.215035772701135,1413852556.464612,-4.656612873077393e-10,107453.60635383654,2.9106731545548796,0.3452186067820264,0.27855780337771874,0.02915261994199862,3.0164397002572576,346.00805629920274,6.348628750581015,7.418520649434654,627.3469531279903,6.348628750581015,7.418520649434654,627.3469531279903,3.7128524938643577,-1.562453077345915e-05,-6.175168288522592e-06,-2.55778223734665e-05,-6.694004900347232e-05,-1.625361792463881e-06,-0.00014021121514962007,2.2816383086933005e-05,-0.00022554078275908784,4.341948677160222e-05,-0.00031063165106658683,5.7225728814447596e-05,-0.00038419356183568205,6.328057631900272e-05,-0.0004371684565376439,6.244502816492667e-05,-0.00046378846244472707,5.688826076951877e-05,-0.00046213530131909095,4.939872734499787e-05,-0.0004341231160879283,4.265100771451324e-05,-0.0003849241066022332,3.857902884413673e-05,-0.0003219430802802162,3.7988482405545106e-05,-0.0002535134194526024,4.049096940489943e-05,-0.00018753310412287735,4.476450183817102e-05,-0.00013027234024707177,4.905689426877821e-05,-8.555743501383274e-05,5.17762368719417e-05,-5.4466845860624744e-05,5.197781524458405e-05,-3.5583895270380875e-05,4.9615801573914474e-05,-2.5748359206184215e-05,4.5929495913198154e-05,-2.1288973009444382e-05,1.555438967254998e-05,-6.301118714490088e-06
4,36.215035772701135,1413852556.464612,-4.656612873077393e-10,107453.60635383654,2.9106731545548796,0.3452186067820264,0.27855780337771874,0.02915261994199862,3.0164397002572576,346.00805629920274,6.348628750581015,7.418520649434654,627.3469531279903,6.348628750581015,7.418520649434654,627.3469531279903,5.928345028342776,-2.5008029782344453e-05,-9.854654993207977e-06,-3.911563216231423e-05,-0.00011120096471490606,1.94590775459772e-06,-0.00023541593457576283,4.403069290639556e-05,-0.00038057020544495326,7.95748198041262e-05,-0.0005253212414893883,0.00010338526503936926,-0.0006497655703362141,0.00011376258162427423,-0.0007378089880092888,0.00011221410815750997,-0.000779190218795809,0.00010257577923440335,-0.0007705799764772457,8.978604194505711e-05,-0.0007156082175994991,7.856275077875188e-05,-0.0006238512907471226,7.226064222019142e-05,-0.0005089700529600235,7.21589836925848e-05,-0.00038631401280037866,7.734036502395245e-05,-0.0002703938871296865,8.517914635680153e-05,-0.00017265183081248574,9.2293160401664e-05,-9.9911373689305e-05,9.567390101533778e-05,-5.376366593437023e-05,9.364203100747646e-05,-3.097609346810741e-05,8.6372910376816e-05,-2.4817826627770628e-05,7.656054447310785e-05,-2.723220541739607e-05,2.4879044528575966e-05,-1.008736302131182e-05
5,36.215035772701135,1413852556.464612,-4.656612873077393e-10,107453.60635383654,2.9106731545548796,0.3452186067820264,0.27855780337771874,0.02915261994199862,3.0164397002572576,346.00805629920274,6.348628750581015,7.418520649434654,627.3469531279903,6.348628750581015,7.418520649434654,627.3469531279903,7.723481746082936,-3.264827928628676e-05,-1.2828342973780644e-05,-4.839332229812151e-05,-0.0001511369546924262,9.116731098302817e-06,-0.0003232424719911794,6.822422583013735e-05,-0.0005247995670386793,0.00011817697023417223,-0.0007256095586721972,0.00015158642186434434,-0.0008971739645816459,0.00016602304519548159,-0.0010163253965119231,0.00016365228773334382,-0.0010683069307178368,0.0001499944876272461,-0.0010484763798571791,0.00013215549462197886,-0.0009624102152995248,0.00011689546703034213,-0.0008244475285271575,0.00010894680837241397,-0.0006549510766775506,0.00010995803078588035,-0.00047674943572193564,0.0001183148216675095,-0.00031135797574336567,0.0001298793063441203,-0.0001756213609803372,0.00013943894417738225,-7.935400867401441e-05,0.0001424425290604019,-2.4370175596562693e-05,0.00013649199998102735,-5.038752083502955e-06,0.0001221905763786847,-1.0208441663935037e-05,0.00010405268112760808,-2.635532838864307e-05,3.245662978442572e-05,-1.3175406467957688e-05
6,36.215035772701135,1413852556.464612,-4.656612873077393e-10,107453.60635383654,2.9106731545548796,0.3452186067820264,0.27855780337771874,0.02915261994199862,3.0164397002572576,346.00805629920274,6.348628750581015,7.418520649434654,627.3469531279903,6.348628750581015,7.418520649434654,627.3469531279903,9.17922450076826,-3.887173333577534e-05,-1.5230488863290125e-05,-5.414670241935849e-05,-0.00018770786576376679,1.9313939680468934e-05,-0.000405328038310752,9.493032027246191e-05,-0.0006604909410150499,0.00015881238351035779,-0.000914290916716021,0.00020143161901784544,-0.0011296895296053495,0.0002196610472462619,-0.0012764778293872354,0.0002163440420620462,-0.0013354653903081325,0.00019869889741214552,-0.0013008289198197403,0.0001760048201869631,-0.0011803103706053864,0.00015705301299355926,-0.0009933103361238203,0.00014791004672518705,-0.000767239610717006,0.00015050495828119708,-0.0005327458050617541,0.000162391604991683,-0.0003186163632049008,0.00017775761689315002,-0.00014722647072923953,0.00018941030227851243,-3.131668874178038e-05,0.00019117137217857506,2.7360747895643012e-05,0.00017995664622963276,3.733661121247064e-05,0.00015697838990343807,1.4864859988441247e-05,0.00012886145757611765,-2.0244460703403986e-05,3.861455524290605e-05,-1.5697622240262394e-05
7,36.215035772701135,1413852556.464612,-4.656612873077393e-10,107453.60635383654,2.9106731545548796,0.3452186067820264,0.27855780337771874,0.02915261994199862,3.0164397002572576,346.00805629920274,6.348628750581015,7.418520649434654,627.3469531279903,6.348628750581015,7.418520649434654,627.3469531279903,10.632240091802828,-4.511237970216769e-05,-1.761410099656207e-05,-5.7432807485648627e-05,-0.00022995475726146012,3.548585411386526e-05,-0.0005020596867805859,0.00013119188113892833,-0.0008212525916237049,0.00021193451748783296,-0.001137881741411263,0.0002655921795853836,-0.0014043178540330034,0.0002882221520063659,-0.0015816378182137518,0.0002835481276265966,-0.0016452409435604633,0.00026092650206857685,-0.0015880298143914322,0.00023235366004473263,-0.001420733766174881,0.00020913944044497206,-0.0011694245280369554,0.0001989647438776413,-0.0008706936770044356,0.0002040102136484704,-0.0005653031497441892,0.00022064444311080167,-0.0002913728742625185,0.00024079094966605584,-7.826934387797665e-05,0.0002546296382114126,5.774394414494382e-05,0.00025387290508248995,0.00011535762118941696,0.00023463363903785875,0.00010730341675928556,0.00019909641562978258,5.694726951310116e-05,0.00015683352562050163,-7.21509936178682e-06,4.477034054175832e-05,-1.823721830097747e-05
8,36.215035772701135,1413852556.464612,-4.656612873077393e-10,107453.60635383654,2.9106731545548796,0.3452186067820264,0.27855780337771874,0.02915261994199862,3.0164397002572576,346.00805629920274,6.348628750581015,7.418520649434654,627.3469531279903,6.348628750581015,7.418520649434654,627.3469531279903,12.045639858140342,-5.12168162644877e-05,-1.991018446536651e-05,-5.689405969712702e-05,-0.00027972984109979847,6.02357873989601e-05,-0.0006183935542659783,0.0001808179303317828,-0.0010154660272742831,0.00028228083957321004,-0.0014077753574842714,0.00034933375701647073,-0.0017343672967192003,0.0003770889789573432,-0.0019454217226281653,0.0003704387379401719,-0.0020097055630950308,0.00034147132299399,-0.0019188205214353108,0.00030562491992077416,-0.0016876778564485465,0.00027737449123757177,-0.001351252932473033,0.0002663829601348868,-0.0009582242670949797,0.00027503385995299683,-0.0005625578840370191,0.0002980232598531297,-0.00021444292608945175,0.00032420553474442045,4.786768283859503e-05,0.00034025711766273237,0.00020388145983675173,0.00033514163423715553,0.0002533520715983771,0.0003040393410216254,0.00021505933923365796,0.0002506342174560902,0.0001222444388446312,0.00018859685217170912,1.5319321009649062e-05,5.076377180959941e-05,-2.073788962327645e-05
9,36.215035772701135,1413852556.464612,-4.656612873077393e-10,107453.60635383654,2.9106731545548796,0.3452186067820264,0.27855780337771874,0.02915261994199862,3.0164397002572576,346.00805629920274,6.348628750581015,7.418520649434654,627.3469531279903,6.348628750581015,7.418520649434654,627.3469531279903,13.09762616294382,-5.578814172632828e-05,-2.159557777442664e-05,-5.272252099030422e-05,-0.0003255138620930254,8.769384832845673e-05,-0.0007272803734149931,0.00023206272840327785,-0.0011978009589578462,0.0003531811340494095,-0.0016607787978575482,0.00043278251341671327,-0.0020423715742891955,0.0004651440324232917,-0.0022823072921250302,0.00045634172500881825,-0.0023431290542279973,0.00042113596371920085,-0.0022154725960448667,0.0003783061250414429,-0.0019186676730960552,0.0003453829949543076,-0.0014967202969832433,0.00033391142142834816,-0.0010104123988533555,0.0003463898327770367,-0.000526824182948115,0.0003757633777995904,-0.00010802352825521795,0.00040775318613689,0.00019913277728906485,0.0004255005449060569,0.00037028169559794516,0.0004152470252795474,0.00040664507964991716,0.00037134420358774536,0.0003334608203048882,0.00029914933400452767,0.00019421248702873256,0.00021659012114284268,4.152294086826107e-05,5.5224596373397164e-05,-2.262734574938205e-05
10,36.215035772701135,1413852556.464612,-4.656612873077393e-10,107453.60635383654,2.9106731545548796,0.3452186067820264,0.27855780337771874,0.02915261994199862,3.0164397002572576,346.00805629920274,6.348628750581015,7.418520649434654,627.3469531279903,6.348628750581015,7.418520649434654,627.3469531279903,14.352790566846366,-6.128617453963814e-05,-2.3561090183857673e-05,-4.068178568419853e-05,-0.0003965059049811965,0.0001372879505419914,-0.0008988598341730602,0.00031975089265970017,-0.0014857344463294695,0.0004720747019013803,-0.002059471613782323,0.0005713411248558314,-0.0025253917755265446,0.0006106107532342993,-0.002806507312471365,0.0005979486418924127,-0.002855660393186946,0.0005524605396649838,-0.0026624329452520903,0.0004983285781030876,-0.0022538993172136756,0.00045801413246197723,-0.0016892925780108638,0.0004460699020061138,-0.0010495370855769146,0.00046508829524500754,-0.00042335007441477243,0.0005050145472867526,0.000107788165582155,0.0005462801619042535,0.00048319990217617634,0.0005661064951579433,0.0006726767003098484,0.0005462510522053637,0.0006805120884619189,0.00047984479987424865,0.0005432673588414116,0.00037528076809007025,0.00032190929449142446,0.0002577738072836903,8.963631884894094e-05,6.0539846324599436e-05,-2.4930996673470934e-05
