时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,7.0019403006120715,201131863.7649125,3805.102045363339,2526.6030440290397,2.9011588074563206,0.27103663434076725,0.20207921999443215,0.012766453472785644,2.9673337284736934,837.2175518316436,1.6827406036280834,1.957054711159591,586.7945359840677,4.6403152404600085,4.727454949512249,768.4245319060382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.0019403006120715,201131863.7649125,3805.102045363339,2526.6030440290397,2.9011588074563206,0.27103663434076725,0.20207921999443215,0.012766453472785644,2.9673337284736934,837.2175518316436,1.6827406036280834,1.957054711159591,586.7945359840677,4.6403152404600085,4.727454949512249,768.4245319060382,1.9294906082441097,-6.591523756197259e-06,-2.054808026403399e-06,-4.710803579954204e-06,-1.5480214652183825e-05,1.695926829160724e-06,-3.770740201337081e-05,8.579334633058971e-06,-6.459236951713021e-05,1.4372039655698498e-05,-9.096403287296746e-05,1.8114119433882746e-05,-0.0001119453140667761,1.9546053807371633e-05,-0.00012372103479142888,1.9034370608426798e-05,-0.00012413250147654087,1.737404572460112e-05,-0.00011297837005710033,1.5516097913202203e-05,-9.197619191716769e-05,1.428170444260299e-05,-6.439663757363944e-05,1.4129011095186103e-05,-3.4438271185789046e-05,1.5031760800653287e-05,-6.454584369539976e-06,1.650584709163429e-05,1.5827627937946973e-05,1.778169661299322e-05,2.995553495524939e-05,1.8075998099767263e-05,3.514273861742932e-05,1.688090155244656e-05,3.2333987544453375e-05,1.417681505297338e-05,2.3930751867603177e-05,1.0493959424247095e-05,1.3234108216942247e-05,6.812855099081196e-06,3.7123582945590336e-06,2.3514158312849724e-06,-8.72632539541507e-07
3,7.0019403006120715,201131863.7649125,3805.102045363339,2526.6030440290397,2.9011588074563206,0.27103663434076725,0.20207921999443215,0.012766453472785644,2.9673337284736934,837.2175518316436,1.6827406036280834,1.957054711159591,586.7945359840677,4.6403152404600085,4.727454949512249,768.4245319060382,4.2528004074787455,-1.454716469564961e-05,-4.519842023287199e-06,-9.396727356770957e-06,-3.700338181709065e-05,6.392815630252253e-06,-9.134465212522689e-05,2.3391313613659503e-05,-0.00015725515373593118,3.7709352509801745e-05,-0.00022188370689515987,4.6946086187542686e-05,-0.0002729911938228185,5.044210287974185e-05,-0.00030095127095481277,4.9108323998074414e-05,-0.00030030343083415863,4.493785990348585e-05,-0.0002705515911924494,4.032267499866055e-05,-0.00021608943472311619,3.7329167044351524e-05,-0.0001452820627898311,3.7100983767408296e-05,-6.887616522638782e-05,3.954269398586357e-05,1.9763774905570276e-06,4.338168874553312e-05,5.772549428347617e-05,4.6608218233041005e-05,9.209316497660031e-05,4.7177581716757154e-05,0.00010309647706029936,4.376438856929599e-05,9.323455317936791e-05,3.632559469199984e-05,6.880925182127745e-05,2.627763154375654e-05,3.8523355679589334e-05,1.625539472841669e-05,1.163501268170068e-05,5.1847881778395686e-06,-1.930844584662556e-06
4,7.0019403006120715,201131863.7649125,3805.102045363339,2526.6030440290397,2.9011588074563206,0.27103663434076725,0.20207921999443215,0.012766453472785644,2.9673337284736934,837.2175518316436,1.6827406036280834,1.957054711159591,586.7945359840677,4.6403152404600085,4.727454949512249,768.4245319060382,6.753930262520058,-2.3139221336525e-05,-7.153326978843397e-06,-1.24858934030004e-05,-6.585605472558531e-05,1.664772416440547e-05,-0.00016518958197445782,4.804868793746002e-05,-0.0002859462046187667,7.450213951910842e-05,-0.00040420649779898633,9.152573896630892e-05,-0.000496974096369077,9.787362664325431e-05,-0.0005460709948086077,9.524298708207417e-05,-0.0005411728350542931,8.737473932839e-05,-0.0004813952868166482,7.877436592757207e-05,-0.0003751971564127087,7.333895743283369e-05,-0.00023865275883350347,7.320929430264102e-05,-9.241933901349462e-05,7.814734198718648e-05,4.205662571484709e-05,8.563933986135583e-05,0.00014641079034743973,9.173832963919106e-05,0.00020860042862574154,9.243057707115142e-05,0.000224909019131824,8.511919880715907e-05,0.00020034592301553054,6.974698549966432e-05,0.00014737952461875688,4.917342933291249e-05,8.32773118322495e-05,2.8726715776615715e-05,2.6595478917231907e-05,8.236132787567128e-06,-3.083662171064627e-06
5,7.0019403006120715,201131863.7649125,3805.102045363339,2526.6030440290397,2.9011588074563206,0.27103663434076725,0.20207921999443215,0.012766453472785644,2.9673337284736934,837.2175518316436,1.6827406036280834,1.957054711159591,586.7945359840677,4.6403152404600085,4.727454949512249,768.4245319060382,9.195506471894905,-3.156391541771477e-05,-9.68439595955756e-06,-1.193161343429197e-05,-0.00010436162003800503,3.605395081767384e-05,-0.0002664006476062968,8.776465278015152e-05,-0.0004636445395994378,0.00013128797042985134,-0.0006563633093871122,0.00015919734547267185,-0.0008060641254571969,0.00016941642657312617,-0.0008822087601286355,0.00016476525659700302,-0.0008674689601934837,0.00015149110403714437,-0.0007605113757021257,0.00013714846999608174,-0.0005758995098517148,0.0001282901688836411,-0.00034119353253526165,0.00012850078158671755,-9.179398122573548e-05,0.00013729675705189003,0.0001355487388420313,0.0001502658201157455,0.00030939094223440464,0.00016050176599740964,0.0004091952840916427,0.00016098104440827804,0.0004288255131775706,0.00014717433505934447,0.00037728677025162854,0.00011904569845891459,0.0002765975938889524,8.175109852794181e-05,0.00015725828893817332,4.486757804537651e-05,5.225798860782644e-05,1.1213042002911937e-05,-4.2319982984482895e-06
6,7.0019403006120715,201131863.7649125,3805.102045363339,2526.6030440290397,2.9011588074563206,0.27103663434076725,0.20207921999443215,0.012766453472785644,2.9673337284736934,837.2175518316436,1.6827406036280834,1.957054711159591,586.7945359840677,4.6403152404600085,4.727454949512249,768.4245319060382,11.877487993387701,-4.088970546314346e-05,-1.2360672472386412e-05,-2.424636779047811e-06,-0.0001724373958207155,8.060518213406875e-05,-0.0004498965392490268,0.00016988275345420346,-0.0007876950835569391,0.0002448411281953416,-0.001116419265436035,0.00029266758068173846,-0.0013684014817688052,0.00030977581949756565,-0.0014898529425038636,0.00030105525368519454,-0.0014503864741543951,0.0002773934327682083,-0.0012481177480065874,0.00025205182185933215,-0.0009095863612648368,0.00023662730354035935,-0.00048462593161068744,0.00023749974677333285,-3.713771779207528e-05,0.0002537360070564791,0.0003665989252901526,0.0002772156613259482,0.0006699834231874999,0.0002951821102014824,0.0008362927825383774,0.00029462721602211485,0.0008550903635440454,0.0002671942150966917,0.0007436311618684977,0.00021297021940899872,0.0005430423744342993,0.00014183157226838714,0.00031012183049364196,7.196406710412073e-05,0.00010649316637883531,1.4472652350608445e-05,-5.546677002923084e-06
7,7.0019403006120715,201131863.7649125,3805.102045363339,2526.6030440290397,2.9011588074563206,0.27103663434076725,0.20207921999443215,0.012766453472785644,2.9673337284736934,837.2175518316436,1.6827406036280834,1.957054711159591,586.7945359840677,4.6403152404600085,4.727454949512249,768.4245319060382,13.634654277302905,-4.708569907801705e-05,-1.3966544743213816e-05,1.606363165577626e-05,-0.0002527053631889378,0.00014164290133358197,-0.0006700574136373418,0.0002762787148240904,-0.0011779241116349596,0.00038906444999074324,-0.0016705519425794506,0.00046082213240601134,-0.002044579554279197,0.0004861651377204434,-0.0022178437606593755,0.00047236995090897633,-0.0021441444773298494,0.00043578392369889924,-0.001821179760444542,0.00039652809378161284,-0.0012904798617908008,0.0003724389714947474,-0.0006295343296483,0.000373530213609874,6.244455612678563e-05,0.00039851808277692897,0.0006826354718214098,0.00043476597673529116,0.0011433707296814213,0.00046215055270009374,0.0013880696078099584,0.00046001236283754103,0.0014012811778818424,0.00041507111312656723,0.001210893895749149,0.000327591072911099,0.0008821575951429884,0.0002135507294691653,0.0005048572700131608,0.00010214262762682044,0.00017640451451449862,1.6590710118455045e-05,-6.477624739092818e-06
8,7.0019403006120715,201131863.7649125,3805.102045363339,2526.6030440290397,2.9011588074563206,0.27103663434076725,0.20207921999443215,0.012766453472785644,2.9673337284736934,837.2175518316436,1.6827406036280834,1.957054711159591,586.7945359840677,4.6403152404600085,4.727454949512249,768.4245319060382,14.66581114061984,-5.07970084800123e-05,-1.4774157051659832e-05,3.790425506749903e-05,-0.00033201402563858234,0.00020592558463406458,-0.0008895864942504707,0.0003856400228708062,-0.0015679556160472152,0.0005360066651559108,-0.0022248934927454277,0.0006316606182778883,-0.0027212097551832445,0.0006654051437325172,-0.0029462729479257975,0.0006466907130323706,-0.002838028260517072,0.0005970451778351009,-0.0023937580710681424,0.0005432992679703608,-0.0016700229892854788,0.0005096272493269167,-0.0007720541117324373,0.000509979714955889,0.0001654820585373059,0.0005430503127091432,0.0010030309250125622,0.0005918392804185626,0.0016216645562642338,0.0006287474125510802,0.0019448188992207925,0.0006251757784277298,0.0019520238418284826,0.0005626503650108872,0.0016819187139483916,0.00044153879203006854,0.0012240657601274602,0.00028408442735872993,0.0007014335319702216,0.00013075516239876818,0.0002473865501554257,1.7817839557387643e-05,-7.08417884819794e-06
9,7.0019403006120715,201131863.7649125,3805.102045363339,2526.6030440290397,2.9011588074563206,0.27103663434076725,0.20207921999443215,0.012766453472785644,2.9673337284736934,837.2175518316436,1.6827406036280834,1.957054711159591,586.7945359840677,4.6403152404600085,4.727454949512249,768.4245319060382,15.337698507133624,-5.3280954435645987e-05,-1.5185430976887803e-05,6.138606872275885e-05,-0.0004110226250278338,0.00027171690110183673,-0.0011094553220779137,0.000496273217295425,-0.001959390269473631,0.0006840828734628878,-0.0027820541860512876,0.00080375268090914,-0.0034022967518833915,0.0008462364957857143,-0.003680863948336133,0.0008229103433777229,-0.003539681323249063,0.0007601685072415248,-0.002975441330895136,0.0006913770268655031,-0.002059563056904534,0.0006471427487841338,-0.0009248836404112133,0.0006456818107027657,0.00025853026995010213,0.0006860464544712912,0.001314336236523015,0.0007470956627865193,0.002092197319816314,0.000793708663008402,0.0024953747816552486,0.0007890932541601387,0.0024982006397760827,0.0007092996138839275,0.0021499231328393465,0.0005546630014906383,0.001564300946758611,0.0003537551371910465,0.0008973814321596684,0.00015848052447881461,0.0003184042250538327,1.8605126027578336e-05,-7.528975683072534e-06
10,7.0019403006120715,201131863.7649125,3805.102045363339,2526.6030440290397,2.9011588074563206,0.27103663434076725,0.20207921999443215,0.012766453472785644,2.9673337284736934,837.2175518316436,1.6827406036280834,1.957054711159591,586.7945359840677,4.6403152404600085,4.727454949512249,768.4245319060382,15.806140392996442,-5.50727810001674e-05,-1.5371514015792355e-05,8.576694618459165e-05,-0.0004899744899283056,0.00033824738197578484,-0.0013299993552680863,0.000607414153855377,-0.0023528192561220306,0.0008325683440173562,-0.003343086767839428,0.0009764402205069717,-0.004089559988807812,0.0010280834115025633,-0.004424165197802423,0.0010005351233812242,-0.004252565755109692,0.0009247232344625777,-0.003570589114152663,0.0008403581225291718,-0.002464230665997054,0.000784567286236642,-0.0010936934531059622,0.0007801706390604829,0.0003356921704937635,0.0008269869906437073,0.0016107849610638393,0.0008999924617621054,0.002549683113587156,0.0009565315072661199,0.0030352217115168474,0.000951378993991799,0.0030362522130392587,0.0008548146059204932,0.0026123603075273115,0.0006669683801170163,0.0019012532040366507,0.00042275455931386287,0.0010918418162326863,0.00018563336462625702,0.0003890951676348757,1.914455801589191e-05,-7.881312857066767e-06
