时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,20.92185011863458,374068234.1879705,-545.9077875080402,7280.178535474752,2.5180878502549175,0.33952306689301603,0.21764950887343779,0.015440851927125934,2.635325176631645,597.363401014171,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20.92185011863458,374068234.1879705,-545.9077875080402,7280.178535474752,2.5180878502549175,0.33952306689301603,0.21764950887343779,0.015440851927125934,2.635325176631645,597.363401014171,10.0,10.0,0.0,10.0,10.0,0.0,2.77319542491891,-1.9042953775309499e-06,-1.0240000630203283e-06,-3.00259700332776e-05,4.014843981994189e-05,-4.969752693662589e-05,7.95070701578587e-05,-6.362171842282865e-05,0.00010997364565590417,-7.12613181070816e-05,0.00012776008319472757,-7.322778045637869e-05,0.0001303697293744779,-7.098971835227387e-05,0.00011690346193619519,-6.652862967366986e-05,8.817821754403671e-05,-6.192716059516789e-05,4.666585132397488e-05,-5.895786531438774e-05,-3.7486152043209375e-06,-5.874277003944028e-05,-5.816272751151053e-05,-6.153987207363983e-05,-0.00011116387139108283,-6.669025620069061e-05,-0.00015739105242081871,-7.273142205184064e-05,-0.00019208903965329228,-7.765447548778852e-05,-0.00021159580453133787,-7.926065896669619e-05,-0.00021371497541819705,-7.555943234108763e-05,-0.0001979385882084549,-6.51484823179738e-05,-0.0001655044849880298,-4.7519691283499346e-05,-0.00011928037631229682,-2.3169480576911116e-05,-6.351130641949348e-05,1.9054919008048647e-06,-1.0234598180418042e-06
3,20.92185011863458,374068234.1879705,-545.9077875080402,7280.178535474752,2.5180878502549175,0.33952306689301603,0.21764950887343779,0.015440851927125934,2.635325176631645,597.363401014171,10.0,10.0,0.0,10.0,10.0,0.0,6.199516388383166,-4.259151029425862e-06,-2.2901175603795733e-06,-8.966872891159946e-05,0.0001326314386864145,-0.00015228002748830032,0.0002599764998805472,-0.00019669825296929168,0.00035975677754858767,-0.00022127384647363096,0.0004200806884982527,-0.00022788485654722147,0.00043304599488904535,-0.0002211020886601485,0.00039569107529984133,-0.00020711533846571808,0.00031038462377296354,-0.00019244508844866608,0.00018465101459062223,-0.00018265696919845452,3.0429223294092292e-05,-0.00018130023849996285,-0.00013715407320730226,-0.0001892461822018265,-0.00030136217280944623,-0.00020452953569555885,-0.0004455962752752477,-0.00022270647840281826,-0.000555117457244891,-0.0002376550768433958,-0.0006185578240486741,-0.00024267607455955812,-0.0006290710171333353,-0.00023171339092022548,-0.0005850165368651697,-0.00020051007849605375,-0.0004901288401044827,-0.000147531849887616,-0.00035315104811306204,-7.435242389609044e-05,-0.00018702491606818053,4.2628059457150524e-06,-2.2875747380034576e-06
4,20.92185011863458,374068234.1879705,-545.9077875080402,7280.178535474752,2.5180878502549175,0.33952306689301603,0.21764950887343779,0.015440851927125934,2.635325176631645,597.363401014171,10.0,10.0,0.0,10.0,10.0,0.0,9.927247865271607,-6.823932245534114e-06,-3.6703560478181745e-06,-0.0002361035034087448,0.0003866730850094625,-0.00041280867682305335,0.0007505539401681966,-0.0005383263404489858,0.0010389272074870306,-0.000608167668440981,0.001218683680100821,-0.0006275124653412438,0.0012675862488929076,-0.0006090940506694385,0.0011769300311983886,-0.0005701800936596228,0.000952712714693573,-0.0005289448922536016,0.0006152136105810402,-0.000500871490588491,0.00019697513288202012,-0.0004958151806141273,-0.000260590431567822,-0.0005162183572011358,-0.0007115748659986972,-0.0005567441586923162,-0.0011104099658740194,-0.0006053347799000357,-0.001416610522715818,-0.0006454558513242257,-0.0015989140575265095,-0.000659110981874249,-0.001638414082729232,-0.0006301244676691083,-0.001530413038488837,-0.000547199098084802,-0.001284864685016958,-0.00040632493176163156,-0.0009253635892308766,-0.000211932363622677,-0.0004868605728997203,6.833808215507713e-06,-3.660802684645705e-06
5,20.92185011863458,374068234.1879705,-545.9077875080402,7280.178535474752,2.5180878502549175,0.33952306689301603,0.21764950887343779,0.015440851927125934,2.635325176631645,597.363401014171,10.0,10.0,0.0,10.0,10.0,0.0,11.711840246210713,-8.054235299295887e-06,-4.334364740273208e-06,-0.00041380676707811307,0.0007070977820449338,-0.0007339090836371757,0.0013665529213173157,-0.0009610546783863743,0.0018913522066409786,-0.0010872561412341602,0.0022218480130239116,-0.0011220070511583189,0.0023177163582415515,-0.0010885720129131813,0.002162832745019396,-0.0010183958500212115,0.0017675119586697352,-0.0009444059440445213,0.0011678226835576423,-0.0008944363938585372,0.00042196130887299597,-0.000885955573893735,-0.0003958964334360103,-0.0009229795715169619,-0.001203511570727229,-0.0009956059999262849,-0.0019192929978158369,-0.001082103297595887,-0.0024707883617789135,-0.0011530504394365942,-0.002802050004057973,-0.0011767308027067496,-0.0028791841051016395,-0.0011248754505820968,-0.0026936291078870273,-0.0009779122051371528,-0.0022629451542433687,-0.0007290405702068969,-0.0016290439857429434,-0.000386295665630641,-0.0008540967929069988,8.071779858873936e-06,-4.3150734071480065e-06
6,20.92185011863458,374068234.1879705,-545.9077875080402,7280.178535474752,2.5180878502549175,0.33952306689301603,0.21764950887343779,0.015440851927125934,2.635325176631645,597.363401014171,10.0,10.0,0.0,10.0,10.0,0.0,12.586589880207526,-8.660398534839456e-06,-4.662408188588232e-06,-0.000589966142568427,0.001024883257668737,-0.0010536664490215916,0.001976456277015806,-0.0013820898433189262,0.002734630852061191,-0.0015637846759799757,0.003213167458750287,-0.0016128470791319945,0.003353521188033981,-0.0015635317710568986,0.003132031399853476,-0.0014619074221484695,0.002563314991593764,-0.0013559060033109971,0.0016993392903505216,-0.0012856582545458142,0.0006241466481354613,-0.001275890170343246,-0.0005551272775823186,-0.0013316538361831693,-0.0017197833371414067,-0.0014379488106762053,-0.002752175669194884,-0.0015630279630427868,-0.003547930424769086,-0.0016645475548603297,-0.004026484900919872,-0.001697342855367978,-0.004138999681103611,-0.0016215208129720525,-0.0038730409613146836,-0.0014097154254731994,-0.0032537394372079624,-0.0010526387958144114,-0.0023413182526599192,-0.000561957694716194,-0.001225248378309155,8.685599944995656e-06,-4.633057042852846e-06
7,20.92185011863458,374068234.1879705,-545.9077875080402,7280.178535474752,2.5180878502549175,0.33952306689301603,0.21764950887343779,0.015440851927125934,2.635325176631645,597.363401014171,10.0,10.0,0.0,10.0,10.0,0.0,13.100225905418464,-9.020164956764802e-06,-4.8570383823407215e-06,-0.0007646941568590646,0.001337080232466913,-0.0013712456208022016,0.0025750783194066606,-0.0017998770853822458,0.003561496732094218,-0.0020357250237755618,0.00418356914978858,-0.002097778232480623,0.004364499504040437,-0.002031710172107457,0.004073055168439431,-0.001898604402985385,0.003328185802921939,-0.0017615786350850802,0.0021978686826138543,-0.0016729341337738484,0.0007921393699963851,-0.0016642394598782272,-0.0007487962330296225,-0.0017410076789213882,-0.0022697631390674504,-0.001882596886965269,-0.003617151143993667,-0.0020469156092125544,-0.004654822426469089,-0.0021786905923536245,-0.005277757124922757,-0.002219616541284829,-0.00542226932547816,-0.0021186773488457143,-0.00507207177540425,-0.0018412155597706552,-0.004259830650104185,-0.001375765212347285,-0.00306405396696051,-0.0007376266004400643,-0.0016015598570635144,9.052999222443427e-06,-4.817546795274836e-06
8,20.92185011863458,374068234.1879705,-545.9077875080402,7280.178535474752,2.5180878502549175,0.33952306689301603,0.21764950887343779,0.015440851927125934,2.635325176631645,597.363401014171,10.0,10.0,0.0,10.0,10.0,0.0,13.433585875572605,-9.258092328304655e-06,-4.985013757506469e-06,-0.0009379507524490445,0.0016427772568885783,-0.0016862255331437884,0.003160821546906992,-0.002213706893755371,0.004369702713348395,-0.002502181995968897,0.005130228404766572,-0.0025758223356075203,0.005347354934277566,-0.002492134192016102,0.004982271579099169,-0.0023275812448670377,0.004058312363283146,-0.0021606162119167834,0.002659582764005223,-0.0020555533231810274,0.0009222481854868059,-0.002050364258092434,-0.0009803324165743583,-0.002150435468381398,-0.0028565312577086485,-0.0023289407903269686,-0.004516905275394652,-0.0025331271530221393,-0.005793745411948019,-0.0026948027389580814,-0.00655775735440427,-0.002742847988804011,-0.006730522270204604,-0.0026156401646608885,-0.006291925024594278,-0.002271741751776539,-0.005282133800010043,-0.0016978190301964809,-0.00379791191062267,-0.0009127951357247179,-0.001983465050454516,9.298530215490262e-06,-4.935387382598266e-06
9,20.92185011863458,374068234.1879705,-545.9077875080402,7280.178535474752,2.5180878502549175,0.33952306689301603,0.21764950887343779,0.015440851927125934,2.635325176631645,597.363401014171,10.0,10.0,0.0,10.0,10.0,0.0,13.663498406685845,-9.427111583519276e-06,-5.074695258897441e-06,-0.0011096150236736195,0.0019415755160055628,-0.00199823437176073,0.0037329819644808244,-0.00262302121957389,0.005158255541989546,-0.0029624844709225714,0.006051896777784358,-0.0030462660687694087,0.006300635821262497,-0.0029441055990276073,0.005858094418752787,-0.0027481906213452432,0.0047520549008991525,-0.0025524334579448906,0.0030828732078856534,-0.002432981306409794,0.0010129737826603206,-0.0024337544228622368,-0.0012510671589476417,-0.0025594205056277647,-0.0034812174587644453,-0.002776432431987009,-0.005452358148208094,-0.003021072173761665,-0.006965421401057925,-0.0032122575435953216,-0.007867032953510138,-0.0032663972821215977,-0.008064159892768142,-0.003111790586675112,-0.007532886666639847,-0.0027007374776389904,-0.0063208504615680765,-0.0020183461298626127,-0.004543038483320727,-0.001087141990489584,-0.002371078532545872,9.475118874894532e-06,-5.014984376342559e-06
10,20.92185011863458,374068234.1879705,-545.9077875080402,7280.178535474752,2.5180878502549175,0.33952306689301603,0.21764950887343779,0.015440851927125934,2.635325176631645,597.363401014171,10.0,10.0,0.0,10.0,10.0,0.0,13.828004487520513,-9.553434006328414e-06,-5.140123141632444e-06,-0.0012795301783033208,0.0022332530492053517,-0.002306908386406868,0.004291161136639613,-0.003027305113074001,0.005926590789312298,-0.003416029966796703,0.006947867043605055,-0.0035084797772106813,0.007223528153996438,-0.0033870143126512537,0.006699651055506755,-0.0031598684179815696,0.005408539311969098,-0.0029365161289241905,0.003466923801891077,-0.0028047381425790594,0.00106360986018242,-0.002813936942084411,-0.0015615613474382914,-0.0029674677946251483,-0.004144223362953179,-0.0032245342499929858,-0.006423759004126386,-0.0035101650315703366,-0.008169969101704347,-0.00373043318509596,-0.00920560158821352,-0.003789634026776567,-0.009423130778946819,-0.003606528511863572,-0.008794868603166143,-0.0031276771265295097,-0.007375888255975982,-0.002336938358978207,-0.005299367646255649,-0.0012604104678918817,-0.0027643849184703587,9.608971352920307e-06,-5.070407379172314e-06
