时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.268405707296039,88148757.397394,0.0,750.0942657406672,2.792768440182933,0.32819877867072955,0.05914123424449285,0.00987433246206257,2.892453620340747,991.5544740363996,6.0057991377513495,9.077511560157902,701.9728029948421,6.0057991377513495,9.077511560157902,701.9728029948421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.268405707296039,88148757.397394,0.0,750.0942657406672,2.792768440182933,0.32819877867072955,0.05914123424449285,0.00987433246206257,2.892453620340747,991.5544740363996,6.0057991377513495,9.077511560157902,701.9728029948421,6.0057991377513495,9.077511560157902,701.9728029948421,3.416288236863422,-1.823861949145514e-06,-5.50061991609635e-07,1.5558722452919945e-06,-1.1266564833718688e-05,1.0156957319577833e-05,-3.456972987005315e-05,2.0300043077809473e-05,-6.51130446588065e-05,2.918313792340456e-05,-9.599230563016584e-05,3.49661094846363e-05,-0.00012027617934604512,3.7028860097242375e-05,-0.00013234659162633205,3.591968489115257e-05,-0.0001289580485364948,3.301311537296285e-05,-0.00010981917557539422,2.9984201397251025e-05,-7.760257004904216e-05,2.8239036212670678e-05,-3.738852851609263e-05,2.8454146812381106e-05,4.347324546271739e-06,3.0357386050142084e-05,4.1009267437428295e-05,3.282477582502196e-05,6.717184136644641e-05,3.427765011630241e-05,7.96280158981628e-05,3.3266237380915756e-05,7.798086556980795e-05,2.9054646462270773e-05,6.465768261790629e-05,2.2007603756903577e-05,4.434330364286283e-05,1.3638265391770177e-05,2.29562790844219e-05,6.247885725505176e-06,6.37886239466871e-06,1.8117708302685698e-06,-5.720538226813048e-07
3,3.268405707296039,88148757.397394,0.0,750.0942657406672,2.792768440182933,0.32819877867072955,0.05914123424449285,0.00987433246206257,2.892453620340747,991.5544740363996,6.0057991377513495,9.077511560157902,701.9728029948421,6.0057991377513495,9.077511560157902,701.9728029948421,7.570827832334518,-4.0467743861213985e-06,-1.2135222949371345e-06,5.448085057094024e-06,-2.952795519254462e-05,2.8691325794965425e-05,-9.174810441552672e-05,5.6105529412078825e-05,-0.00017355139803234944,8.014507371289485e-05,-0.0002562708697650601,9.581559018682139e-05,-0.00032102661168774725,0.00010141753706887442,-0.00035245253512976147,9.842580920429653e-05,-0.0003416512322465732,9.057450793419505e-05,-0.0002878298105630872,8.243244034065841e-05,-0.00019835332526359477,7.784546246543953e-05,-8.723040368438622e-05,7.866220179919773e-05,2.7668892535475622e-05,8.411424473953333e-05,0.00012813228333977445,9.106856099517566e-05,0.0001991775967730645,9.512109899989105e-05,0.0002319635149494132,9.222171493188179e-05,0.00022544098973005728,8.031393706526615e-05,0.00018640643174754526,6.042750195099778e-05,0.00012794960224936288,3.682495919677551e-05,6.66390017482612e-05,1.6027420072859043e-05,1.9029633726081876e-05,4.013516237233522e-06,-1.2741980243379863e-06
4,3.268405707296039,88148757.397394,0.0,750.0942657406672,2.792768440182933,0.32819877867072955,0.05914123424449285,0.00987433246206257,2.892453620340747,991.5544740363996,6.0057991377513495,9.077511560157902,701.9728029948421,6.0057991377513495,9.077511560157902,701.9728029948421,12.295901607542989,-6.58630030612481e-06,-1.9527528369305345e-06,1.534472554072905e-05,-6.278069579116511e-05,6.657867003705641e-05,-0.00019803954275595344,0.0001269378407442388,-0.00037637990753632976,0.00017990824532950302,-0.0005566551795575406,0.0002144849396619419,-0.0006969459917193977,0.0002268844650531918,-0.0007629985678121149,0.00022031730351464664,-0.0007349430807506586,0.00020301612254894884,-0.0006110467667762898,0.00018512182069119665,-0.0004078979190505624,0.00017522734077833523,-0.00015705001981226893,0.0001774923473785009,0.00010121292563185111,0.00019018234352814316,0.00032580774886653563,0.00020617350872963658,0.00048294079927194795,0.00021540409686117602,0.0005527264475308525,0.00020859120605095199,0.0005329614188365408,0.00018102064222302506,0.0004392706077341458,0.00013509084529499154,0.00030161313946945015,8.066699990502552e-05,0.00015793233907781946,3.2891566549794316e-05,4.628098760952612e-05,6.511641304102624e-06,-2.0894341594228827e-06
5,3.268405707296039,88148757.397394,0.0,750.0942657406672,2.792768440182933,0.32819877867072955,0.05914123424449285,0.00987433246206257,2.892453620340747,991.5544740363996,6.0057991377513495,9.077511560157902,701.9728029948421,6.0057991377513495,9.077511560157902,701.9728029948421,16.68032067042899,-8.969343682927534e-06,-2.597973714111695e-06,3.8789083063730235e-05,-0.00012628403930788762,0.00014535044598973045,-0.00040437265486965754,0.0002705600975806235,-0.0007718709800853293,0.00038047298289983674,-0.0011431850096519658,0.00045239754919181073,-0.0014306300721619598,0.00047842839005861007,-0.0015623470026329984,0.00046500522919041236,-0.0014966012769214196,0.0004290086825017246,-0.0012298178460143439,0.0003915083341412551,-0.0007970770982074404,0.0003706469048590026,-0.00026513630351556215,0.00037547017467068106,0.00028067201207126655,0.00040256468180143655,0.000753223634952595,0.0004368483817417576,0.0010808329927286364,0.0004566810739828825,0.0012214336444004846,0.0004419219217111525,0.0011707008914471544,0.00038229005369663435,0.0009623801251793903,0.00028301368395950425,0.0006608160025766168,0.00016559307444437217,0.00034741059033498373,6.301618146042566e-05,0.00010389580584441231,8.811857052608942e-06,-2.8872281358399125e-06
6,3.268405707296039,88148757.397394,0.0,750.0942657406672,2.792768440182933,0.32819877867072955,0.05914123424449285,0.00987433246206257,2.892453620340747,991.5544740363996,6.0057991377513495,9.077511560157902,701.9728029948421,6.0057991377513495,9.077511560157902,701.9728029948421,18.794565761873976,-1.0145630035762031e-05,-2.8666109353334046e-06,6.483589945343321e-05,-0.00019082579040375237,0.00022829103808403342,-0.0006158914427620632,0.0004199770364377208,-0.0011784711341643573,0.0005883260053917542,-0.0017471765852124944,0.0006988754164705637,-0.002187038564101774,0.0007394473930290715,-0.0023872709733773543,0.0007194531666752833,-0.0022834190639863267,0.000664220689900393,-0.0018698165994051026,0.0006058354824238326,-0.0012004290479753217,0.0005724499063266966,-0.0003782074384532888,0.0005786476619758369,0.0004650159159961783,0.0006198110066198133,0.0011944173765853535,0.0006728750016600123,0.0016989166274495816,0.000704056282901566,0.0019132985368244323,0.000681554080215055,0.0018309335176463258,0.0005889576185830073,0.0015043004367150002,0.0004343554255763509,0.0010333307620820993,0.0002515200843346679,0.00054436702247021,9.222362169603635e-05,0.0001643005846888463,9.90272957736342e-06,-3.3134541828387254e-06
7,3.268405707296039,88148757.397394,0.0,750.0942657406672,2.792768440182933,0.32819877867072955,0.05914123424449285,0.00987433246206257,2.892453620340747,991.5544740363996,6.0057991377513495,9.077511560157902,701.9728029948421,6.0057991377513495,9.077511560157902,701.9728029948421,20.001732962131722,-1.084002085005364e-05,-2.9853833621512824e-06,9.163625013015318e-05,-0.00025529993270440477,0.0003119502793812886,-0.0008281465511307217,0.0005699652048798895,-0.001587450864270358,0.0007967573180380663,-0.002355944777507657,0.0009463167804438822,-0.002951126859053105,0.0010021280361840756,-0.003222964895822068,0.000976179528378826,-0.0030839335759892295,0.0009017484407358876,-0.00252590534724976,0.0008216735265455952,-0.001621371306966635,0.0007743023283636165,-0.0005092065159736562,0.0007803185234325825,0.000632334701371604,0.0008345189223574927,0.001620559892912319,0.0009061732229206187,0.00230462689900927,0.0009492139918548056,0.002595743368786406,0.0009197234877313738,0.002484616148580188,0.0007947149105369698,0.0020422101073393727,0.0005849728593044881,0.0014038665402428716,0.00033668857772976596,0.0007407290490971469,0.00012067469486070353,0.00022479525605691479,1.0511712782688082e-05,-3.5899082929740254e-06
8,3.268405707296039,88148757.397394,0.0,750.0942657406672,2.792768440182933,0.32819877867072955,0.05914123424449285,0.00987433246206257,2.892453620340747,991.5544740363996,6.0057991377513495,9.077511560157902,701.9728029948421,6.0057991377513495,9.077511560157902,701.9728029948421,20.776596333687838,-1.1305626978059037e-05,-3.032684259344792e-06,0.00011876259805697052,-0.00031981559207937185,0.0003957998887322689,-0.0010412478135008914,0.000719920397351,-0.001999014411998949,0.0010051235666096569,-0.0029699585586148527,0.001194083944291959,-0.003723843999219898,0.0012658811483396584,-0.004071075645464728,0.0012346705412721508,-0.003900664322896784,0.0011411504175384698,-0.0032015670551883003,0.0010386148315469556,-0.0020643244950907195,0.0009757680057655302,-0.0006633299859294128,0.0009799593031271576,0.0007769501273669516,0.001046055987574989,0.0020258814414598246,0.001136038614194933,0.0028925239156153914,0.0011914696174910478,0.003264033484040857,0.0011558819725980547,0.0031279819000343567,0.0009992475336324342,0.002573418094673915,0.0007348244192639029,0.0017707508974014736,0.0004212932040724137,0.0009356418853373528,0.000148696447859654,0.00028505116021012347,1.089206543793327e-05,-3.794664861972506e-06
9,3.268405707296039,88148757.397394,0.0,750.0942657406672,2.792768440182933,0.32819877867072955,0.05914123424449285,0.00987433246206257,2.892453620340747,991.5544740363996,6.0057991377513495,9.077511560157902,701.9728029948421,6.0057991377513495,9.077511560157902,701.9728029948421,21.31075820990143,-1.1644646386794767e-05,-3.0401868276920372e-06,0.00014603314192537765,-0.00038439703392448185,0.00047959882460710685,-0.0012551847489017183,0.0008695463856579656,-0.0024131591375099607,0.001213086683922643,-0.0035893116753290843,0.0014418214081909789,-0.004505492874559083,0.0015303658498651725,-0.004932225271076326,0.0014946291668623028,-0.004734635379257833,0.0013821855335453329,-0.0038982659433724233,0.0012564597169374605,-0.002531174428674425,0.0011766509410537395,-0.000842802794005653,0.0011773350969175166,0.0008964418148469321,0.0012541259612877434,0.002407951437808618,0.0013621285079953986,0.0034603579358379283,0.0014304843283931123,0.003916257373585367,0.0013897591932226932,0.003759552631331728,0.001202403917814671,0.003096901540890817,0.0008838912375482164,0.0021333695643569544,0.000505420779951541,0.0011288012647121357,0.00017642648625546589,0.0003449508334400715,1.114604943603898e-05,-3.959261291038498e-06
10,3.268405707296039,88148757.397394,0.0,750.0942657406672,2.792768440182933,0.32819877867072955,0.05914123424449285,0.00987433246206257,2.892453620340747,991.5544740363996,6.0057991377513495,9.077511560157902,701.9728029948421,6.0057991377513495,9.077511560157902,701.9728029948421,21.696933259271034,-1.190653261700271e-05,-3.023244319904988e-06,0.0001733520330700191,-0.00044903754869311417,0.0005632052800047683,-0.001469893211000233,0.0010186496395934485,-0.00282977423560312,0.0014204034269344986,-0.004213893346118529,0.001689250941532153,-0.005296031721099531,0.0017952968738348413,-0.005806513702499068,0.0017557961012239452,-0.005586148398945628,0.0016246435901910846,-0.004616542330528062,0.0014750470257900172,-0.0030227066501634435,0.0013768135002379745,-0.0010486250640081374,0.0013722938073530843,0.0009896655044392567,0.0014585343030878441,0.0027655825218768156,0.001584206432271956,0.00400700786605725,0.001666011200597545,0.004551451748778862,0.0016211450469282517,0.0043785785949058435,0.0014040503322303945,0.003612139109345519,0.0010321291483189636,0.0024914080868973718,0.0005890994558663074,0.001320051176453299,0.00020392869838167983,0.00040443482285913235,1.1323164528463044e-05,-4.098957392190016e-06
