时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.0743112005493476,15901711.46952784,765.4550693587826,21.699786041994315,1.9149630466907979,0.3233543368825452,0.044006035626831475,0.004146181292145753,2.051937532623635,1756.5412134229668,0.5742670280915032,0.8249318661189697,769.8591216261159,2.223509169444334,4.533075223178348,398.6618179087842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0743112005493476,15901711.46952784,765.4550693587826,21.699786041994315,1.9149630466907979,0.3233543368825452,0.044006035626831475,0.004146181292145753,2.051937532623635,1756.5412134229668,0.5742670280915032,0.8249318661189697,769.8591216261159,2.223509169444334,4.533075223178348,398.6618179087842,9.919652390343362,-9.126737555552764e-06,-4.241212087333559e-06,-4.2737109302584127e-07,-1.9167921814031436e-05,1.8889747749607514e-05,-5.32782368117994e-05,4.1846852696059085e-05,-9.85760712817255e-05,6.218712004396711e-05,-0.00014442526659489376,7.558996217602302e-05,-0.00017987607522633786,8.050091283060068e-05,-0.00019590636792717937,7.814982473131411e-05,-0.00018725789661175815,7.179561575877326e-05,-0.00015348148577092066,6.544628894769769e-05,-9.903166856482409e-05,6.242463311087308e-05,-3.23855866451705e-05,6.420755016547338e-05,3.564947103189384e-05,6.990645000159483e-05,9.411411742757714e-05,7.657457235285039e-05,0.00013411370941319935,8.026531488363705e-05,0.0001506006842235627,7.75110358320728e-05,0.00014333674668291045,6.673883454068495e-05,0.00011684010565617057,4.913748883301845e-05,7.933857865563515e-05,2.8669410406203053e-05,4.0988603596084736e-05,1.113665761072748e-05,1.1697900389414152e-05,2.3282951561697602e-06,-7.862328525374529e-07
3,1.0743112005493476,15901711.46952784,765.4550693587826,21.699786041994315,1.9149630466907979,0.3233543368825452,0.044006035626831475,0.004146181292145753,2.051937532623635,1756.5412134229668,0.5742670280915032,0.8249318661189697,769.8591216261159,2.223509169444334,4.533075223178348,398.6618179087842,22.403964491148187,-2.064784265680018e-05,-9.551087286778707e-06,7.933876910999716e-06,-5.734210954920869e-05,7.076035094846673e-05,-0.0001678425826923974,0.00014557543569655964,-0.0003151657292425887,0.00021196539118072206,-0.0004644842668024599,0.00025572587226269344,-0.000579662913394942,0.0002716692999728378,-0.0006308014128809358,0.0002637446256166038,-0.0006004077472704866,0.00024262072668015705,-0.000486949004050659,0.0002215104452698247,-0.00030522107442911413,0.00021143033978323323,-8.345588932124142e-05,0.0002173070324604183,0.00014230584891280216,0.00023618166469455002,0.0003355004293041427,0.00025818280644765977,0.00046648619809421687,0.00027005572230937735,0.0005185371293139631,0.00026014934654753957,0.0004910648545497995,0.00022321085597012694,0.0003994044914594284,0.00016332071620936043,0.0002712684736082203,9.390742410203963e-05,0.0001407532269850718,3.458803599193187e-05,4.1097713815024724e-05,5.246389969410175e-06,-1.7942356095010526e-06
4,1.0743112005493476,15901711.46952784,765.4550693587826,21.699786041994315,1.9149630466907979,0.3233543368825452,0.044006035626831475,0.004146181292145753,2.051937532623635,1756.5412134229668,0.5742670280915032,0.8249318661189697,769.8591216261159,2.223509169444334,4.533075223178348,398.6618179087842,34.216285655139956,-3.1651593010980625e-05,-1.446908973110617e-05,4.651631358395645e-05,-0.00014201820263974794,0.00021635236536451168,-0.00044039498056030975,0.0004188137720264727,-0.0008398387737448478,0.0005988059722282077,-0.001245494726953827,0.0007177685802456985,-0.0015582164062408125,0.0007612923496517742,-0.001695645340542416,0.0007395735996370604,-0.0016093937755480728,0.0006812013296771836,-0.0012949870469430571,0.0006221363727319409,-0.0007930194746397157,0.0005928735459890919,-0.00018133631471142794,0.0006075268049937647,0.00044039913759684923,0.0006584205831745138,0.0009708921628008987,0.0007183640722647355,0.0013280281802436696,0.0007503226773902774,0.0014657121701906143,0.0007215121839387602,0.0013828784978506298,0.0006171250586583274,0.0011227213975095296,0.00044873705049208566,0.0007625750079807441,0.00025421085914104096,0.0003970726100852574,8.856357803492488e-05,0.00011819097991318814,7.963942440981593e-06,-2.8095097378320523e-06
5,1.0743112005493476,15901711.46952784,765.4550693587826,21.699786041994315,1.9149630466907979,0.3233543368825452,0.044006035626831475,0.004146181292145753,2.051937532623635,1756.5412134229668,0.5742670280915032,0.8249318661189697,769.8591216261159,2.223509169444334,4.533075223178348,398.6618179087842,38.9173478177887,-3.613841160816025e-05,-1.6309485096185083e-05,9.455535755891614e-05,-0.0002277405083344111,0.0003769270942726395,-0.0007251248942128942,0.0007135820381865515,-0.001392691050870704,0.001013346873032382,-0.002072006134240881,0.0012123137655407068,-0.002596876209162612,0.0012861252071057843,-0.0028290098644160096,0.0012507709422962042,-0.002686912258319264,0.0011528410838692513,-0.002162553394330255,0.0010519100010169611,-0.0013233669828544073,0.000999487726712998,-0.00029937272005097415,0.001020476621338117,0.0007424324304228649,0.0011033001749029972,0.0016318548705277908,0.0012029022112527471,0.0022306518284959565,0.0012566974929768301,0.0024611759771278846,0.001208654822935258,0.002321714947993283,0.0010331248837956671,0.0018850411034227116,0.0007495031845387836,0.0012810506165917006,0.0004219594644628198,0.0006682453078610321,0.00014350114429218948,0.00020045232900560745,8.999781276666237e-06,-3.2778566928893202e-06
6,1.0743112005493476,15901711.46952784,765.4550693587826,21.699786041994315,1.9149630466907979,0.3233543368825452,0.044006035626831475,0.004146181292145753,2.051937532623635,1756.5412134229668,0.5742670280915032,0.8249318661189697,769.8591216261159,2.223509169444334,4.533075223178348,398.6618179087842,41.32392609189369,-3.852327705325876e-05,-1.7158757269768476e-05,0.0001447905969246962,-0.0003127335692504722,0.0005395098971870676,-0.0010106706243782695,0.0010100858236029714,-0.0019494620531134298,0.0014297598811667627,-0.0029068270977871814,0.0017096605244477851,-0.0036489908571557443,0.0018152780187581593,-0.003981187865222113,0.0017675538537619006,-0.0037883115762839203,0.0016300744881002133,-0.003058230975546703,0.0014855371907934278,-0.0018846117848426477,0.0014068927598889776,-0.00044912958684748666,0.0014310011142031351,0.0010140650655914667,0.0015436394910135383,0.0022655794657754718,0.0016825106309610214,0.00311038295321689,0.0017591763242503476,0.003438572779382508,0.001693436721099133,0.003247298984568394,0.001447919222141875,0.002638625166892952,0.0010495179202143449,0.0017947247138497698,0.0005889731814794846,0.0009375694274592214,0.00019771353022835845,0.0002825067849987667,9.495409967139307e-06,-3.567461252511244e-06
7,1.0743112005493476,15901711.46952784,765.4550693587826,21.699786041994315,1.9149630466907979,0.3233543368825452,0.044006035626831475,0.004146181292145753,2.051937532623635,1756.5412134229668,0.5742670280915032,0.8249318661189697,769.8591216261159,2.223509169444334,4.533075223178348,398.6618179087842,42.77452839768815,-4.003607082975089e-05,-1.7594702453215253e-05,0.00019589502402222436,-0.00039759600862526896,0.0007026753466541358,-0.0012975792226600355,0.0013067783743371682,-0.002510650060421607,0.001846389744938844,-0.0037504845255390573,0.002208104268250378,-0.004715266927925882,0.00234708692010997,-0.005153265002203735,0.002288383913140913,-0.004915267275720374,0.002111526265777227,-0.003984461814634107,0.0019217724293433454,-0.0024800502217208055,0.001813880445714495,-0.0006347014501002883,0.0018378276483589139,0.0012506320546613217,0.0019780550517399247,0.0028672011191501388,0.0021557458840361036,0.00396258563294219,0.002256396470789921,0.0043938772063825595,0.0021747522072079967,0.004156467728255358,0.0018607976663386747,0.0033812574048451773,0.0013485072496694079,0.0023022479769778115,0.0007553423500150446,0.0012043585065049107,0.00025150400613447275,0.00036406873454730357,9.767091548170206e-06,-3.7821670078323524e-06
8,1.0743112005493476,15901711.46952784,765.4550693587826,21.699786041994315,1.9149630466907979,0.3233543368825452,0.044006035626831475,0.004146181292145753,2.051937532623635,1756.5412134229668,0.5742670280915032,0.8249318661189697,769.8591216261159,2.223509169444334,4.533075223178348,398.6618179087842,43.73469496550601,-4.110466944492271e-05,-1.781839412332387e-05,0.0002473961811569807,-0.000482520652557144,0.000865888524617423,-0.0015859941629263984,0.0016030358700514415,-0.00307634933304469,0.0022625172341191246,-0.004603063277254922,0.0027068581207753016,-0.005795850744629327,0.0028807562511167337,-0.0063455322507961435,0.0028125242263521205,-0.006068295046913567,0.0025965622842206372,-0.004942052900477783,0.0023600799618934106,-0.0031108181901629934,0.002219960115763261,-0.0008575363764424404,0.0022404381031418,0.0014504635848313057,0.002405955247046266,0.0034349821208347923,0.0026219566169719166,0.004785628130643851,0.0027477191948832545,0.005325705228266587,0.002652072032527471,0.0050481626193828715,0.0022714156866208662,0.004112215222824742,0.0016463306746655668,0.0028031902676074515,0.0009210886361503647,0.001468396689904525,0.000304979574631381,0.00044504649059363315,9.924846939033566e-06,-3.958103784910376e-06
9,1.0743112005493476,15901711.46952784,765.4550693587826,21.699786041994315,1.9149630466907979,0.3233543368825452,0.044006035626831475,0.004146181292145753,2.051937532623635,1756.5412134229668,0.5742670280915032,0.8249318661189697,769.8591216261159,2.223509169444334,4.533075223178348,398.6618179087842,44.40841442030647,-4.1916555685170346e-05,-1.7918004471895632e-05,0.00029907481551601965,-0.0005675736668284395,0.0010288709576134944,-0.0018759177606660993,0.0018984897667407381,-0.0036464880943138885,0.002677670096874543,-0.0054644406940292855,0.003205365471294887,-0.006890616833535286,0.0034156977525137515,-0.007557917724507784,0.0033394218554941503,-0.007247430929332444,0.003084715343221423,-0.005931198374835246,0.0028000855654174545,-0.0037773078483014266,0.0026248090285987285,-0.0011182350098805573,0.002638494318693155,0.0016127896856482685,0.0028269356276201954,0.003968070416500976,0.003080670665631436,0.00557868206684049,0.003232656105275149,0.006233338752316048,0.0031249691609834527,0.0059218229023435655,0.002679472437708974,0.00483110496200526,0.0019428359081779467,0.0032973088702451404,0.0010861820774719802,0.001729559192319792,0.0003581777221842144,0.0005253900857041223,1.0016902885194126e-05,-4.111089918139008e-06
10,1.0743112005493476,15901711.46952784,765.4550693587826,21.699786041994315,1.9149630466907979,0.3233543368825452,0.044006035626831475,0.004146181292145753,2.051937532623635,1756.5412134229668,0.5742670280915032,0.8249318661189697,769.8591216261159,2.223509169444334,4.533075223178348,398.6618179087842,44.89915670688701,-4.2566800189830885e-05,-1.7938307037331557e-05,0.00035080897972417443,-0.0006527720546372257,0.0011914426071392592,-0.0021672952608647665,0.0021928689857233113,-0.004220923117552094,0.003091468905208188,-0.006334399998481465,0.0037031535604023502,-0.007999313642260846,0.003951395151179483,-0.008790182185963058,0.003868584356098464,-0.008452494359578261,0.0035755713852521085,-0.006951822845687886,0.00324146737035374,-0.004479593154913995,0.0030281619761616386,-0.0014170456398168666,0.003031722828990991,0.0017372032563716935,0.0032406598844227376,0.00446595944229516,0.0035314792132013014,0.006341221414734288,0.003710767857518011,0.007116300681530453,0.0035930442002251157,0.006777059926849392,0.0030846713240716165,0.0055376402842741155,0.0022378554642739,0.0037844177588809823,0.0012505662352640307,0.001987746898718992,0.0004111069183600845,0.0006050623317948258,1.006773632223384e-05,-4.249132825234022e-06
