时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.8643589443181815,21902384.921622373,47.97081009330577,67.14013752778258,1.2723840278689995,0.19442575649442703,0.027008577191509422,0.006039140298946327,1.3476721362323751,769.7307553014352,10.0,10.0,1000.0,10.0,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.8643589443181815,21902384.921622373,47.97081009330577,67.14013752778258,1.2723840278689995,0.19442575649442703,0.027008577191509422,0.006039140298946327,1.3476721362323751,769.7307553014352,10.0,10.0,1000.0,10.0,10.0,1000.0,11.537146682511533,-2.236193859190921e-06,-1.3410082225179718e-06,2.9910718645393695e-06,-1.582785617664663e-05,1.723805457373595e-05,-4.6192195835681135e-05,3.428269883891172e-05,-8.610458506406902e-05,4.936978470568453e-05,-0.00012675128116030232,5.9282751139940455e-05,-0.0001591352565523457,6.285393373706572e-05,-0.00017586073645646253,6.0944378194401975e-05,-0.00017255854046401093,5.588650077480216e-05,-0.00014868872434232192,5.057295277467001e-05,-0.00010759751649501883,4.744816178824374e-05,-5.5820899966535916e-05,4.769036850009958e-05,-1.7702237559058267e-06,5.083003750760067e-05,4.594810902999797e-05,5.493278359085403e-05,8.024324969725836e-05,5.7303876696592286e-05,9.692707389056415e-05,5.549868636066016e-05,9.548492715840781e-05,4.8311199827926476e-05,7.907278278712094e-05,3.640133004560528e-05,5.37451858346456e-05,2.2338731872357774e-05,2.7098318481635795e-05,9.940734156822032e-06,6.616999943190467e-06,2.2147877116643194e-06,-1.3709651323645243e-06
3,0.8643589443181815,21902384.921622373,47.97081009330577,67.14013752778258,1.2723840278689995,0.19442575649442703,0.027008577191509422,0.006039140298946327,1.3476721362323751,769.7307553014352,10.0,10.0,1000.0,10.0,10.0,1000.0,25.929449871903977,-5.036096957081326e-06,-3.003127824523647e-06,1.136817674085462e-05,-4.369673950619764e-05,5.31790479561094e-05,-0.000130867622196278,0.00010316522336937757,-0.0002459975415271376,0.00014747360753977355,-0.00036324395618074105,0.00017663271786779244,-0.0004559754359899937,0.00018717382375332231,-0.0005021926713792943,0.00018162074908142152,-0.0004888802880776128,0.00016687613155931888,-0.0004144842876764787,0.00015153144148211497,-0.0002891297223825138,0.0001428554265768954,-0.00013255498775921506,0.0001443220338546543,2.983842162874511e-05,0.00015443295863894207,0.0001720650414886096,0.0001672477790215767,0.0002727468657385688,0.00017451528525454425,0.0003193349799684784,0.00016876071889703815,0.0003104605756643166,0.00014632368753275985,0.0002559312375690282,0.00010929912705604074,0.00017439751239371528,6.56863332251209e-05,8.925203621967783e-05,2.7432250957236984e-05,2.364257262965716e-05,4.971935715702479e-06,-3.0937725927226754e-06
4,0.8643589443181815,21902384.921622373,47.97081009330577,67.14013752778258,1.2723840278689995,0.19442575649442703,0.027008577191509422,0.006039140298946327,1.3476721362323751,769.7307553014352,10.0,10.0,1000.0,10.0,10.0,1000.0,41.47009026749167,-8.088509657042017e-06,-4.761938197182232e-06,3.55519606961013e-05,-0.00010030478220931426,0.00013869004479698566,-0.0003101254310511938,0.00026161773322068015,-0.0005883952246283126,0.000370613489205114,-0.0008714625694084609,0.0004424354426653586,-0.001093206503796333,0.00046850461104953943,-0.0011988069450870062,0.0004549697794392695,-0.001155850063806689,0.0004188557452985139,-0.0009607068101963372,0.0003815031659385032,-0.0006391846874729305,0.0003610836802765511,-0.00024139519838879472,0.000366307013323522,0.00016819738071309525,0.0003932849834643826,0.0005236723231440382,0.0004267335955758566,0.0007709187087485002,0.000445370949490089,0.0008784686433670793,0.00042990656131276913,0.0008435286465100529,0.0003709834194951465,0.0006919289539717578,0.00027427207694002466,0.0004720988155533298,0.00016083211049777358,0.00024455103015634956,6.21047528528149e-05,6.917132559967125e-05,7.927210764875588e-06,-4.99215556491262e-06
5,0.8643589443181815,21902384.921622373,47.97081009330577,67.14013752778258,1.2723840278689995,0.19442575649442703,0.027008577191509422,0.006039140298946327,1.3476721362323751,769.7307553014352,10.0,10.0,1000.0,10.0,10.0,1000.0,50.9506212819837,-9.997498639615209e-06,-5.772763185080683e-06,7.611679968346795e-05,-0.00018023290696533804,0.0002701341655007098,-0.0005696652644512953,0.0005005862698993493,-0.0010873522347004392,0.0007048779611430455,-0.0016135473880336182,0.0008397853119773736,-0.0020234142643795134,0.0008892061894825874,-0.0022133512830080607,0.0008643038988610305,-0.0021221976565149576,0.0007966212521850075,-0.0017434089600442608,0.0007261671579879836,-0.0011263523564586158,0.0006874984353088106,-0.0003666585056740766,0.0006976151019999384,0.0004126172981025456,0.0007495187851290106,0.0010855858417430442,0.0008140413825973032,0.0015490096813607678,0.0008500323431159248,0.0017432264688471565,0.0008199488112151271,0.0016637832728666662,0.0007055787988848059,0.0013612033267376364,0.000518150334276058,0.0009291862742188395,0.00029892544838981054,0.00048427197844038024,0.00010928595158627746,0.000141520316714137,9.691496996764966e-06,-6.212246767510202e-06
6,0.8643589443181815,21902384.921622373,47.97081009330577,67.14013752778258,1.2723840278689995,0.19442575649442703,0.027008577191509422,0.006039140298946327,1.3476721362323751,769.7307553014352,10.0,10.0,1000.0,10.0,10.0,1000.0,55.46250312105598,-1.094827988229714e-05,-6.197577936076205e-06,0.00011859981630475833,-0.00025927987783772185,0.0004036981613713952,-0.0008291156832974891,0.0007416027911109661,-0.001587861721802785,0.0010412423614773836,-0.002359339552842814,0.0012397585878098766,-0.0029595532170044077,0.0013134587728424467,-0.0032357538535178337,0.0012779756150320676,-0.003097784762363306,0.001178685751784401,-0.0025359993152154303,0.0010739376960353477,-0.0016231692027322926,0.0010149890950043327,-0.0005003894854783041,0.0010279503177901073,0.000650530885650117,0.0011035457049248768,0.0016433213926381643,0.0011990559678158156,0.002325094417572034,0.0012531174851124912,0.002607604737021665,0.0012091947724043224,0.0024846533886331745,0.0010396160546045183,0.0020316188817567147,0.0007610902084817759,0.0013876681789076228,0.0004355063606043578,0.0007254301371655958,0.00015473606141626098,0.00021510103688856876,1.0497303390090482e-05,-6.8472174084507485e-06
7,0.8643589443181815,21902384.921622373,47.97081009330577,67.14013752778258,1.2723840278689995,0.19442575649442703,0.027008577191509422,0.006039140298946327,1.3476721362323751,769.7307553014352,10.0,10.0,1000.0,10.0,10.0,1000.0,58.077304837752216,-1.153410004426099e-05,-6.398424445151779e-06,0.00016179535083659112,-0.0003381833798177451,0.0005379031768692618,-0.001089521968643653,0.0009830215628831305,-0.0020915269242126337,0.0013780161653168701,-0.0031113893675750485,0.0016407445835563304,-0.0039055957073625288,0.0017398223681140907,-0.004271891254358637,0.0016947366099140538,-0.0040907847842108335,0.001563921792800003,-0.00334914792017236,0.0014236551613677497,-0.0021427160321747505,0.001342177835328016,-0.0006576471147558285,0.001355577126313085,0.0008656777566984099,0.0014532594873595066,0.002180449262643899,0.0015794551500928438,0.003083694661387906,0.0016523869146736223,0.003458084799728377,0.0015958434600744182,0.003295294376321324,0.0013720251469976073,0.002695307242520653,0.0010028709433375247,0.0018425069789445678,0.0005710908926986067,0.000965283527213855,0.00019937366262280133,0.0002886902142269273,1.0938316862478617e-05,-7.2581681079634134e-06
8,0.8643589443181815,21902384.921622373,47.97081009330577,67.14013752778258,1.2723840278689995,0.19442575649442703,0.027008577191509422,0.006039140298946327,1.3476721362323751,769.7307553014352,10.0,10.0,1000.0,10.0,10.0,1000.0,59.76981245603313,-1.1943357130165402e-05,-6.490260274246027e-06,0.00020530746370031315,-0.00041715653505063153,0.0006722464365363505,-0.0013511729154498172,0.0012242669973666644,-0.002598823926629708,0.0017145939348268734,-0.0038705312127546043,0.0020421579237398972,-0.004862925663889488,0.002167777506635807,-0.0053238643413202405,0.002114158749585243,-0.005104121221933571,0.0019519817809277224,-0.004186618627975676,0.0017750010182088097,-0.0026895089230243494,0.0016686987736126682,-0.0008434959041434332,0.0016800163460962126,0.0010527547285964199,0.0017980521931660416,0.0026918007465338164,0.001954558502712502,0.003820141182789486,0.002047202336413269,0.004290778367813457,0.0019794276924823885,0.004092746026083973,0.0017025994459966332,0.003350235295058308,0.0012435571271289284,0.002292466096259322,0.0007059413548352096,0.0012031756006627911,0.00024352998391583952,0.00036197236732879993,1.1203028157568863e-05,-7.5598253621837734e-06
9,0.8643589443181815,21902384.921622373,47.97081009330577,67.14013752778258,1.2723840278689995,0.19442575649442703,0.027008577191509422,0.006039140298946327,1.3476721362323751,769.7307553014352,10.0,10.0,1000.0,10.0,10.0,1000.0,60.94271610674238,-1.225389251201195e-05,-6.520615166613519e-06,0.00024895917988803794,-0.000496265049439534,0.0008064774976370534,-0.001614121165979963,0.0014650174834988433,-0.003109835989128501,0.002050596664836732,-0.004636965077914407,0.0024435919026191398,-0.005831963964184301,0.0025969311569968797,-0.006392408313084654,0.0025359016053774705,-0.006138904761795538,0.002342595336686893,-0.005049915953620316,0.00212775787317075,-0.0032654153474923286,0.001994339783037312,-0.0010600787853394954,0.002001006593730007,0.001209487941439629,0.0021375850676320783,0.0031751525374613663,0.0023239703347883987,0.004532438650459431,0.0024371756631550697,0.005104047980771798,0.0023596463385834646,0.004875786513412249,0.0020311814522350514,0.003995582953354861,0.0014831425060556375,0.0027370583244624913,0.0008401594930142668,0.0014388520962573801,0.00028734335328738347,0.0004348236900540386,1.1369334040668782e-05,-7.799598008606487e-06
10,0.8643589443181815,21902384.921622373,47.97081009330577,67.14013752778258,1.2723840278689995,0.19442575649442703,0.027008577191509422,0.006039140298946327,1.3476721362323751,769.7307553014352,10.0,10.0,1000.0,10.0,10.0,1000.0,61.79201073830727,-1.2503588560264138e-05,-6.512650382935229e-06,0.0002926539368178377,-0.0005755237791831597,0.0009404391415526873,-0.001878339043166062,0.001705043602770127,-0.0036245085586964093,0.0023857235686953497,-0.005410660033819684,0.002844695695645033,-0.006812772091648026,0.0030269228315192385,-0.007477742857020136,0.0029596404550821047,-0.007195561229950723,0.002735502676351787,-0.005939696909618083,0.0024817268496356492,-0.0038713223624224384,0.0023189248972237623,-0.0013084771056373536,0.0023183427665125367,0.001334678786518335,0.002471589307359223,0.003629297689346642,0.0026873646175983815,0.0052194842094859095,0.0028219708169566243,0.005896978671314974,0.0027362175075814114,0.005643727009355477,0.002357592877080599,0.0046308829850520575,0.0017215642552905698,0.003176003216267388,0.0009737698303750746,0.001672167408384675,0.00033087547900739403,0.0005071774502452948,1.1475168142405187e-05,-8.000552561490429e-06
