时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.200746790084441,23362396.872010686,9.094947017729282e-13,57.71824144121017,2.571620697736913,0.259680291862733,0.07192093592354636,0.005288810933697032,2.6399280931483835,1679.5550806811657,8.343074634869291,9.339820685596779,914.5685346320558,8.343074634869291,9.339820685596779,914.5685346320558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.200746790084441,23362396.872010686,9.094947017729282e-13,57.71824144121017,2.571620697736913,0.259680291862733,0.07192093592354636,0.005288810933697032,2.6399280931483835,1679.5550806811657,8.343074634869291,9.339820685596779,914.5685346320558,8.343074634869291,9.339820685596779,914.5685346320558,2.669934060896775,-3.760710740420292e-07,-1.2802098002423024e-07,2.122739473556286e-06,-7.901388541378158e-06,7.792914831830459e-06,-2.5038303917903366e-05,1.4345521606444524e-05,-4.731563102596884e-05,1.9999553812644777e-05,-6.946352171476882e-05,2.360047094026797e-05,-8.623650702414234e-05,2.4793332072719675e-05,-9.343637490477808e-05,2.3976334844000924e-05,-8.872050433471245e-05,2.2070377890779622e-05,-7.203848334575818e-05,2.017346317459586e-05,-4.562412225148184e-05,1.9189131055660067e-05,-1.3549284420009261e-05,1.9526595019800788e-05,1.9073423346623082e-05,2.0959354282848833e-05,4.7087702785650264e-05,2.269322636204166e-05,6.629822136032949e-05,2.363610903627773e-05,7.428469332784862e-05,2.2795379886166003e-05,7.086097032783586e-05,1.9678936603786045e-05,5.808556643984671e-05,1.4564130832074673e-05,3.982041645740716e-05,8.5359944247845e-06,2.0930345472255446e-05,3.2666260625307276e-06,6.278781864157354e-06,3.7099063757237716e-07,-1.4000362217200957e-07
3,1.200746790084441,23362396.872010686,9.094947017729282e-13,57.71824144121017,2.571620697736913,0.259680291862733,0.07192093592354636,0.005288810933697032,2.6399280931483835,1679.5550806811657,8.343074634869291,9.339820685596779,914.5685346320558,8.343074634869291,9.339820685596779,914.5685346320558,6.115956179817187,-8.627483143599689e-07,-2.9055110012557775e-07,6.074352286585042e-06,-2.1311318390802587e-05,2.153962140774255e-05,-6.787002781710695e-05,3.942189783665189e-05,-0.00012849371874908074,5.4868300280412864e-05,-0.00018880219098069007,6.472338280005895e-05,-0.000234428357650248,6.800762933210934e-05,-0.00025384731154135665,6.579658497703028e-05,-0.00024061292323678273,6.059902195051301e-05,-0.00019457105200151365,5.54184981673386e-05,-0.00012184760799471573,5.273746303362955e-05,-3.3629292753508284e-05,5.3689254877849295e-05,5.6024959926818844e-05,5.7659186021064436e-05,0.0001329266172565456,6.246176405257987e-05,0.0001855257033611096,6.507974124927566e-05,0.0002071572825751875,6.276340923460457e-05,0.00019731108844403474,5.414526684497078e-05,0.00016166487011040392,3.998993888554296e-05,0.00011087386799276384,2.3302891088228702e-05,5.837208840896101e-05,8.721145946369561e-06,1.7617677968457434e-05,8.48804187253295e-07,-3.2347196637235395e-07
4,1.200746790084441,23362396.872010686,9.094947017729282e-13,57.71824144121017,2.571620697736913,0.259680291862733,0.07192093592354636,0.005288810933697032,2.6399280931483835,1679.5550806811657,8.343074634869291,9.339820685596779,914.5685346320558,8.343074634869291,9.339820685596779,914.5685346320558,9.935114323507744,-1.4049945549388628e-06,-4.644259815335241e-07,1.3245046387160919e-05,-4.3580949010927256e-05,4.52530453818909e-05,-0.00013956955037945767,8.227559627131116e-05,-0.00026477869000955635,0.00011429332235174496,-0.00038943551261846015,0.0001347730944065245,-0.00048367363753948106,0.000141660799022856,-0.0005234720103521488,0.00013714339836209014,-0.0004953540258244993,0.00012638687191064476,-0.00039894954243104323,0.00011561706112907969,-0.0002469955971914558,0.00011001954011630748,-6.281280669483949e-05,0.00011199972198757195,0.00012425077020750654,0.00012031479138022542,0.0002845465088651235,0.00013040862173656928,0.00039391997933600314,0.00013594397072706887,0.000438424397064705,0.0001311187969246015,0.0004169918726549473,0.00011303274421106456,0.0003415131887537381,8.328529224869786e-05,0.00023431308896679798,4.820928208044339e-05,0.00012356024573897175,1.7580881037272158e-05,3.752689414287442e-05,1.3759501798971701e-06,-5.330728108563542e-07
5,1.200746790084441,23362396.872010686,9.094947017729282e-13,57.71824144121017,2.571620697736913,0.259680291862733,0.07192093592354636,0.005288810933697032,2.6399280931483835,1679.5550806811657,8.343074634869291,9.339820685596779,914.5685346320558,8.343074634869291,9.339820685596779,914.5685346320558,14.398711089087108,-2.047463241871888e-06,-6.481746527200892e-07,3.0270915792251064e-05,-9.2618554744868e-05,9.91715324461566e-05,-0.0002986438997757086,0.0001788603194273528,-0.0005680381030491947,0.0002479015338276685,-0.0008366823932659506,0.0002922868493935964,-0.0010399336225081846,0.0003075100396723899,-0.0011256113062400785,0.0002980782944373106,-0.0010642847486247934,0.0002749187776321141,-0.0008549181183972651,0.00025139214203789373,-0.0005249509863788841,0.00023882965477734966,-0.00012489496340686992,0.00024270152799167998,0.00028150849397191933,0.00026056124043246097,0.0006297256666296585,0.00028259979115586946,0.0008670776720267965,0.0002949151152212341,0.0009630745042777258,0.00028463800600519675,0.0009153000204335473,0.00024525317087667307,0.0007496178243955225,0.00018021464058410634,0.0005146784779644322,0.00010346736944026018,0.00027193030511802116,3.6535786610721724e-05,8.316750153134976e-05,1.98453813468065e-06,-7.970961930757919e-07
6,1.200746790084441,23362396.872010686,9.094947017729282e-13,57.71824144121017,2.571620697736913,0.259680291862733,0.07192093592354636,0.005288810933697032,2.6399280931483835,1679.5550806811657,8.343074634869291,9.339820685596779,914.5685346320558,8.343074634869291,9.339820685596779,914.5685346320558,16.861940072248355,-2.4128633824737156e-06,-7.253902921112257e-07,5.0355803742064665e-05,-0.00014825964672563046,0.00016126738500811806,-0.00048008824421083774,0.0002895108253880998,-0.0009148880276377446,0.0004008180786566187,-0.0013493834158047118,0.0004727853529121277,-0.001679077563783241,0.0004980341801676244,-0.0018193640014550656,0.00048343280171853195,-0.0017222549914951148,0.0004461481074528533,-0.0013855996510343136,0.00040752622434140544,-0.0008533163368938881,0.00038606196897439425,-0.0002067761717606508,0.0003911134865888283,0.0004510098244437001,0.0004192654438502889,0.001015476610280606,0.00045489613023945983,0.0014010364758314986,0.00047533811184516936,0.0015579418690233032,0.00045932225977389106,0.001481941991099054,0.00039590096254128146,0.001214675823670214,0.0002905515154147892,0.0008347789475199686,0.0001660440574330919,0.0004417092106632365,5.7533894117383864e-05,0.0001356478373209439,2.3112619602044563e-06,-9.66034437595504e-07
7,1.200746790084441,23362396.872010686,9.094947017729282e-13,57.71824144121017,2.571620697736913,0.259680291862733,0.07192093592354636,0.005288810933697032,2.6399280931483835,1679.5550806811657,8.343074634869291,9.339820685596779,914.5685346320558,8.343074634869291,9.339820685596779,914.5685346320558,18.257299820749076,-2.629235307227314e-06,-7.486020501064805e-07,7.076031961894284e-05,-0.00020405579582556126,0.00022370985002955255,-0.000662663325631103,0.0004005210421039863,-0.0012647642222962125,0.0005542550407989972,-0.001867840308049051,0.0006542341975973096,-0.0023272532803945267,0.0006901231789965316,-0.0025255699979929757,0.0006708449445089383,-0.0023958002448117286,0.000619447037481288,-0.0019342418853239129,0.0005650924057981315,-0.0012009253036262325,0.000533606006156718,-0.00030786033905460484,0.000538671373828629,0.0006026755397028438,0.0005763706851253619,0.0013858486825882497,0.0006255006728047912,0.0019227428563455544,0.0006545117569658873,0.0021438720764427547,0.0006333778575113004,0.002042730021743446,0.0005463658898592513,0.0016764329287748145,0.00040083371027679703,0.0011534288371415383,0.0002284774466230865,0.0006111300193793204,7.828634992565749e-05,0.0001881927845039012,2.488892499491958e-06,-1.0811729072476906e-06
8,1.200746790084441,23362396.872010686,9.094947017729282e-13,57.71824144121017,2.571620697736913,0.259680291862733,0.07192093592354636,0.005288810933697032,2.6399280931483835,1679.5550806811657,8.343074634869291,9.339820685596779,914.5685346320558,8.343074634869291,9.339820685596779,914.5685346320558,19.14867959080149,-2.775458849187027e-06,-7.46327852207824e-07,9.12781563557366e-05,-0.0002599477988077754,0.0002861668766406725,-0.0008460649378068026,0.0005114190136402515,-0.0016170701987968789,0.0007076197701948072,-0.0023912292066031464,0.0008359668840588379,-0.002983582737187454,0.0008830974743316847,-0.003243548239202085,0.0008596762816017638,-0.0030847165158630133,0.0007942449018847295,-0.002501368619983464,0.000723575342668304,-0.00156919317425565,0.0006809556567446708,-0.00043048494521963506,0.000684821467063391,0.0007333694032745255,0.0007312390958957741,0.001737170806590971,0.000793699430388805,0.002428347406692711,0.0008317033533782179,0.002717217086694097,0.0008061426145382726,0.0025945476322571876,0.0006961450118209743,0.002132524668463106,0.0005107723048429134,0.001469088643600568,0.00029069183321754545,0.0007793951551026668,9.887153055746025e-05,0.0002405302791739942,2.596428394808515e-06,-1.1707363949956937e-06
9,1.200746790084441,23362396.872010686,9.094947017729282e-13,57.71824144121017,2.571620697736913,0.259680291862733,0.07192093592354636,0.005288810933697032,2.6399280931483835,1679.5550806811657,8.343074634869291,9.339820685596779,914.5685346320558,8.343074634869291,9.339820685596779,914.5685346320558,19.762442849440447,-2.883208598649815e-06,-7.300163685892108e-07,0.00011182697097972403,-0.0003159134967572069,0.00034850597685909853,-0.0010301806949833347,0.0006220129033454203,-0.0019715937114741155,0.000860663827031215,-0.0029192720792995753,0.0010176955348216174,-0.0036477939613394684,0.0010766590238725925,-0.003973127379344423,0.0010496503113271818,-0.003789031276988589,0.0009703069203317197,-0.0030872884496093455,0.0008827799016944942,-0.0019587575402760407,0.000827931022443063,-0.0005756144052698765,0.0008293650291278754,0.0008418595225294382,0.00088362899257533,0.002068052700674524,0.0009592091900132323,0.002916438106772659,0.0010066173821556689,0.0032766780677041724,0.0009773534695682647,0.0031363160869943055,0.0008450482079992588,0.002582154006001557,0.0006202692627689053,0.001781251938546528,0.000352672660818746,0.0009462472572377751,0.00011932785669364035,0.0002925717468941065,2.6655849287021923e-06,-1.2460742891377007e-06
10,1.200746790084441,23362396.872010686,9.094947017729282e-13,57.71824144121017,2.571620697736913,0.259680291862733,0.07192093592354636,0.005288810933697032,2.6399280931483835,1679.5550806811657,8.343074634869291,9.339820685596779,914.5685346320558,8.343074634869291,9.339820685596779,914.5685346320558,20.206574008826845,-2.9675932796731193e-06,-7.051384462887628e-07,0.00013236366767000019,-0.0003719321788773093,0.0004106510622700876,-0.0012149249098013122,0.000732183690431599,-0.00232817470812694,0.0010132225500942625,-0.003451753382075656,0.0011992191980872455,-0.004319658366780759,0.0012705927556695411,-0.004714121589812416,0.0012405658583021543,-0.004508659175760494,0.0011474670010769925,-0.003692065944965321,0.0010425780612088324,-0.002369864385010129,0.0009744244874943331,-0.0007436801036143323,0.0009721860262971611,0.0009275584336800547,0.0010333928272649598,0.002377810085293423,0.0011218478188959823,0.003386309437124913,0.001179057018359838,0.0038216019639223204,0.0011468318772270298,0.0036674916781961617,0.00099294493178898,0.003024918630152966,0.0007292551021691145,0.002089662754346286,0.00041440415460721445,0.0011115562642890035,0.00013967194781214215,0.00034427279971994225,2.7114954349969404e-06,-1.312599211644242e-06
