时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,6.727097325896732,131182220.3959674,-12034.854879536259,1214.0075954662593,1.4629506781660149,0.12491376091595628,0.07490716354205719,0.011127519337606483,1.4909146153561743,490.09419551473627,0.3973584140672557,5.629637783076114,533.7019343807585,2.022649369355616,1.3617526689636836,186.56182260642152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.727097325896732,131182220.3959674,-12034.854879536259,1214.0075954662593,1.4629506781660149,0.12491376091595628,0.07490716354205719,0.011127519337606483,1.4909146153561743,490.09419551473627,0.3973584140672557,5.629637783076114,533.7019343807585,2.022649369355616,1.3617526689636836,186.56182260642152,0.3965158151722987,-9.02729933071312e-06,-2.056995748344452e-07,-8.625728304698989e-06,-3.6652583785427015e-06,-7.146253260922086e-06,-9.497776200031093e-06,-5.488455245111437e-06,-1.6787697409827344e-05,-3.971651310387168e-06,-2.451752113036913e-05,-2.7985641946726205e-06,-3.174994983913156e-05,-2.0556260947304773e-06,-3.7710339538767467e-05,-1.7275816507540418e-06,-4.185121442888186e-05,-1.7228362818349098e-06,-4.38868832986974e-05,-1.9053121087770236e-06,-4.379376977573943e-05,-2.127920574953101e-06,-4.177762017916138e-05,-2.2624389656387674e-06,-3.821408878283978e-05,-2.220900340735471e-06,-3.3573381044918775e-05,-1.965093491387129e-06,-2.8342287142969335e-05,-1.5035803408658163e-06,-2.2957461433401475e-05,-8.792134276111388e-07,-1.776189582724344e-05,-1.5328322924117195e-07,-1.2992268967098251e-05,6.061470367903093e-07,-8.799116796703939e-06,1.325201332962379e-06,-5.295304881449299e-06,1.911825986683317e-06,-2.6239240333326466e-06,1.7646260655333267e-06,-9.016955316908758e-07
3,6.727097325896732,131182220.3959674,-12034.854879536259,1214.0075954662593,1.4629506781660149,0.12491376091595628,0.07490716354205719,0.011127519337606483,1.4909146153561743,490.09419551473627,0.3973584140672557,5.629637783076114,533.7019343807585,2.022649369355616,1.3617526689636836,186.56182260642152,2.0894145679096923,-4.768662027200976e-05,-1.097945699239207e-06,-4.555560914621668e-05,-1.940890076642167e-05,-3.768601505752366e-05,-5.0439053382795196e-05,-2.883021047473218e-05,-8.938978047144322e-05,-2.0702063814311355e-05,-0.00013081418170955695,-1.4403394381042156e-05,-0.00016962836089466193,-1.0412336542457106e-05,-0.00020159306841772346,-8.654796451657876e-06,-0.00022369247687761585,-8.63858553541957e-06,-0.0002343435001057589,-9.626157657735814e-06,-0.00023341083124681352,-1.0818439885359485e-05,-0.0002220339554551847,-1.1520426625112297e-05,-0.00020230214307947957,-1.1260748896350292e-05,-0.00017683676937126677,-9.845383802796288e-06,-0.00014835515727591877,-7.341111498227411e-06,-0.00011929319093427769,-4.004269480145058e-06,-9.155346752147699e-05,-1.8814763626612095e-07,-6.642210435011948e-05,3.7293083747767526e-06,-4.4665354306703754e-05,7.361295927987577e-06,-2.6781182514728618e-05,1.0256662623798497e-05,-1.3356255492219106e-05,9.31890743263638e-06,-4.756115319147709e-06
4,6.727097325896732,131182220.3959674,-12034.854879536259,1214.0075954662593,1.4629506781660149,0.12491376091595628,0.07490716354205719,0.011127519337606483,1.4909146153561743,490.09419551473627,0.3973584140672557,5.629637783076114,533.7019343807585,2.022649369355616,1.3617526689636836,186.56182260642152,5.124274897512684,-0.0001174467919238829,-2.750537617617786e-06,-0.00011212399945522584,-4.8104249294695414e-05,-9.245710472540429e-05,-0.00012565447641672419,-7.016607415159419e-05,-0.00022371570453394427,-4.959958296721808e-05,-0.0003285260144186518,-3.361250819857761e-05,-0.0004269474700323738,-2.3479069921847697e-05,-0.0005078584778671041,-1.9043792838295972e-05,-0.0005632606436744335,-1.9053267220842644e-05,-0.0005889177010686224,-2.1602215524226298e-05,-0.0005844556714577475,-2.461879886262403e-05,-0.000552938720948584,-2.6308814963889145e-05,-0.0005000162988251414,-2.5481162380578475e-05,-0.00043280102407873745,-2.169670042732543e-05,-0.00035867782409783284,-1.5223362550682062e-05,-0.0002842541941577216,-6.834658256281724e-06,-0.00021463419166798387,2.461529479425556e-06,-0.0001531356176719994,1.1652210623318872e-05,-0.00010148351950527397,1.980793583440387e-05,-6.0415887099469874e-05,2.5988348130211595e-05,-3.056879836736808e-05,2.2939583661558204e-05,-1.1685256073030089e-05
5,6.727097325896732,131182220.3959674,-12034.854879536259,1214.0075954662593,1.4629506781660149,0.12491376091595628,0.07490716354205719,0.011127519337606483,1.4909146153561743,490.09419551473627,0.3973584140672557,5.629637783076114,533.7019343807585,2.022649369355616,1.3617526689636836,186.56182260642152,6.83934272854814,-0.0001571489837741051,-3.7159251728006068e-06,-0.00014993370186175322,-6.471169546935177e-05,-0.00012333549547990697,-0.00016957387748287595,-9.306308164517304e-05,-0.0003027427520989228,-6.505004100192447e-05,-0.0004454838845119542,-4.3238873234439275e-05,-0.0005796711228790392,-2.9416484738182913e-05,-0.0006898246091412473,-2.3395523522861437e-05,-0.0007647429502070896,-2.34599932428668e-05,-0.0007984670915493568,-2.6980338395993897e-05,-0.0007904708452168145,-3.1091532139459834e-05,-0.0007450953735169106,-3.331973047250175e-05,-0.0006703608773283796,-3.204544793493215e-05,-0.0005763803785270545,-2.6717513185865143e-05,-0.0004736598035312201,-1.7788866559197625e-05,-0.000371583242949323,-6.4226796724249e-06,-0.0002773448835919266,5.910382948757426e-06,-0.00019550049310025888,1.7785556044138207e-05,-0.0001281891699229798,2.798628769421979e-05,-7.593822452964815e-05,3.5411930355017266e-05,-3.88652245487054e-05,3.0684365374465675e-05,-1.5613981287773082e-05
6,6.727097325896732,131182220.3959674,-12034.854879536259,1214.0075954662593,1.4629506781660149,0.12491376091595628,0.07490716354205719,0.011127519337606483,1.4909146153561743,490.09419551473627,0.3973584140672557,5.629637783076114,533.7019343807585,2.022649369355616,1.3617526689636836,186.56182260642152,8.909933104544924,-0.0002053633217912431,-4.91180031620149e-06,-0.00019572392039238912,-8.53124672683381e-05,-0.00016040815930230782,-0.00022447586941629348,-0.00012001402801801624,-0.0004021362320780221,-8.250521848589883e-05,-0.0005932118206067654,-5.324984960159002e-05,-0.0007730306540138387,-3.472406170090677e-05,-0.0009202963973473633,-2.671460227155073e-05,-0.0010194873644274727,-2.6905197053032817e-05,-0.0010623101156862582,-3.171308793820102e-05,-0.0010480497790377203,-3.722649922810821e-05,-0.000982834305690797,-4.0081524215892745e-05,-0.0008779953607062748,-3.811734350683833e-05,-0.0007478399712813669,-3.068236689459136e-05,-0.0006072332636624198,-1.8542112707934538e-05,-0.0004694162704912164,-3.449748933031146e-06,-0.00034443291575394017,1.2454195566896232e-05,-0.0002384174463395439,2.7189053773087193e-05,-0.00015382191990011615,3.922370602667565e-05,-9.046910771925255e-05,4.741172750676574e-05,-4.717397782567466e-05,4.0081906611820554e-05,-2.0371636940933463e-05
7,6.727097325896732,131182220.3959674,-12034.854879536259,1214.0075954662593,1.4629506781660149,0.12491376091595628,0.07490716354205719,0.011127519337606483,1.4909146153561743,490.09419551473627,0.3973584140672557,5.629637783076114,533.7019343807585,2.022649369355616,1.3617526689636836,186.56182260642152,10.81694386076248,-0.0002500496027017985,-6.041914015699574e-06,-0.0002379813605297642,-0.00010501478492268519,-0.0001941948551995637,-0.00027742908695171855,-0.00014389048193788482,-0.0004985974693593744,-9.704018982549918e-05,-0.0007371706109106416,-6.045283353888144e-05,-0.0009618346267259341,-3.73159547667039e-05,-0.001145296600904845,-2.7402328536347757e-05,-0.0012675401558600323,-2.779079906975901e-05,-0.0013178416345016152,-3.392712321755685e-05,-0.0012953256066665219,-4.083110799891769e-05,-0.001208071751922853,-4.423873697895684e-05,-0.0010710052680863713,-4.146437699651568e-05,-0.0009029788515373466,-3.180760532060984e-05,-0.0007235713598870334,-1.6429331580864607e-05,-0.0005501637240741947,2.2320790535255576e-06,-0.0003957914216808574,2.129015555832503e-05,-0.00026811454255003784,3.818862026212727e-05,-0.00016962187031804233,5.1152385549360376e-05,-9.893013481323703e-05,5.917275818086375e-05,-5.284887052140543e-05,4.8783461716237357e-05,-2.4769461733653315e-05
8,6.727097325896732,131182220.3959674,-12034.854879536259,1214.0075954662593,1.4629506781660149,0.12491376091595628,0.07490716354205719,0.011127519337606483,1.4909146153561743,490.09419551473627,0.3973584140672557,5.629637783076114,533.7019343807585,2.022649369355616,1.3617526689636836,186.56182260642152,12.536607984759206,-0.0002905871769558919,-7.084049671721727e-06,-0.00027609481877349947,-0.00012361357056627344,-0.00022418448514686118,-0.0003278184819780389,-0.00016432230830826886,-0.0005908787477496054,-0.00010843519122020699,-0.0008753400560904607,-6.47577251889469e-05,-0.0011432706839981464,-3.7191300369672565e-05,-0.001361327061233424,-2.5500996658441916e-05,-0.001504929947014966,-2.6163778274009014e-05,-0.0015608984407937813,-3.3652432782988357e-05,-0.0015282474599674183,-4.191686477607617e-05,-0.001417150112679169,-4.58005039215054e-05,-0.0012463451967017077,-4.21197382669153e-05,-0.0010394943526855411,-3.0177446929035057e-05,-0.0008211448971964648,-1.1603637143785577e-05,-0.0006130045381212426,1.0399205525439264e-05,-0.00043116316561054376,3.2141764387290697e-05,-0.00028470274865640283,5.048909584060362e-05,-0.00017585634063891023,6.350077416887463e-05,-0.00010155710310105982,7.048206523540248e-05,-5.597440040371626e-05,5.666930985472217e-05,-2.875065311294346e-05
9,6.727097325896732,131182220.3959674,-12034.854879536259,1214.0075954662593,1.4629506781660149,0.12491376091595628,0.07490716354205719,0.011127519337606483,1.4909146153561743,490.09419551473627,0.3973584140672557,5.629637783076114,533.7019343807585,2.022649369355616,1.3617526689636836,186.56182260642152,13.735363402587176,-0.00031898699855440377,-7.823029610208841e-06,-0.00030262478233355957,-0.00013720193501637099,-0.00024469798252609894,-0.0003648758846516031,-0.0001777340845984255,-0.000659010493236594,-0.0001151234272240028,-0.0009775697473355315,-6.617921465704282e-05,-0.0012775745588528384,-3.534664692151402e-05,-0.0015210273328455741,-2.238568793964236e-05,-0.0016798285131721044,-2.3313006235567535e-05,-0.0017389148194669173,-3.185578870417866e-05,-0.0016972626493479614,-4.1145125774083965e-05,-0.0015667463274597515,-4.5347434560324416e-05,-0.001369167149211991,-4.091617041709697e-05,-0.0011320330329024396,-2.7190536046238927e-05,-0.0008838488132523265,-6.206294526775485e-06,-0.0006497407048988375,1.8200330188568072e-05,-0.0004481611017581566,4.169200602927068e-05,-0.00028919814037051616,6.0692615773854725e-05,-0.00017469027282956967,7.318842467078701e-05,-9.997380097222843e-05,7.883693872712282e-05,-5.680357026663127e-05,6.21889324481539e-05,-3.153594105657962e-05
10,6.727097325896732,131182220.3959674,-12034.854879536259,1214.0075954662593,1.4629506781660149,0.12491376091595628,0.07490716354205719,0.011127519337606483,1.4909146153561743,490.09419551473627,0.3973584140672557,5.629637783076114,533.7019343807585,2.022649369355616,1.3617526689636836,186.56182260642152,14.853608362758038,-0.0003455908988538422,-8.521403358924204e-06,-0.00032730563026643026,-0.00015048566624606456,-0.000263429089707114,-0.0004012964810000258,-0.0001894311031572589,-0.0007261594778469429,-0.0001201602503521022,-0.0010784556013155922,-6.601135174479867e-05,-0.0014100998024433973,-3.1976151011241855e-05,-0.0016783605487356468,-1.7807580096996725e-05,-0.0018515542228124506,-1.905432138158702e-05,-0.0019127184735908522,-2.868618971780261e-05,-0.0018608398071642434,-3.900418455666978e-05,-0.0017096100609047186,-4.349388601640076e-05,-0.001484062967265417,-3.8256705299885126e-05,-0.0012157481606798889,-2.2697760693974905e-05,-0.0009373113751645843,6.960445354276909e-07,-0.0006774284011094987,2.7405013665804565e-05,-0.00045695764390654963,5.240788126713903e-05,-0.000286926270897378,7.168507543128678e-05,-0.00016859443452208188,8.319590143270456e-05,-9.541437681297307e-05,8.704980248139323e-05,-5.6365988525854726e-05,6.735516505337175e-05,-3.414289949550801e-05
