时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,2.625169529062821,45262463.265689276,-7.275957614183426e-12,227.26165969362896,2.4438375113428994,0.29388039149818534,0.08293443262017948,0.0076578123509532465,2.5350506770314145,1131.3387203375532,1.7906866633862997,2.857358343681745,290.82772022606946,1.7906866633862997,2.857358343681745,290.82772022606946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.625169529062821,45262463.265689276,-7.275957614183426e-12,227.26165969362896,2.4438375113428994,0.29388039149818534,0.08293443262017948,0.0076578123509532465,2.5350506770314145,1131.3387203375532,1.7906866633862997,2.857358343681745,290.82772022606946,1.7906866633862997,2.857358343681745,290.82772022606946,4.000726573593509,-4.755117810819192e-06,-1.3995862833587746e-06,-3.071001318363822e-07,-1.436128607847284e-05,9.601493160796293e-06,-3.9894214355505074e-05,2.0851231167049845e-05,-7.238599795831988e-05,3.056752365857142e-05,-0.0001047248302519338,3.688215188879123e-05,-0.00012988968010601009,3.921019244627708e-05,-0.0001422566360338123,3.8176733102116056e-05,-0.00013862935693753273,3.525288942922014e-05,-0.00011879154043642557,3.2209001686416295e-05,-8.549718996186533e-05,3.052742774370425e-05,-4.390753055494251e-05,3.092953105327199e-05,-5.833040252001815e-07,3.315016053363891e-05,3.7779561501662636e-05,3.603380528678915e-05,6.563052602968161e-05,3.7936565421692144e-05,7.961120713944006e-05,3.7320588388496496e-05,7.915879494557771e-05,3.3356601997761614e-05,6.654548419035867e-05,2.6333757288827106e-05,4.6345868784014576e-05,1.7730001718699396e-05,2.444864759954716e-05,9.903421577138724e-06,6.797154105260532e-06,4.730035504458287e-06,-1.444777688389354e-06
3,2.625169529062821,45262463.265689276,-7.275957614183426e-12,227.26165969362896,2.4438375113428994,0.29388039149818534,0.08293443262017948,0.0076578123509532465,2.5350506770314145,1131.3387203375532,1.7906866633862997,2.857358343681745,290.82772022606946,1.7906866633862997,2.857358343681745,290.82772022606946,8.771676528849884,-1.0437791546076438e-05,-3.057844800884472e-06,1.795664046463626e-06,-3.698785591396068e-05,2.8188186176078946e-05,-0.00010450087193282883,5.8190351900778804e-05,-0.00019064518951279413,8.41167692411605e-05,-0.00027636096261651223,0.00010094162888002765,-0.0003426813963805162,0.00010707444676251507,-0.0003743505038955455,0.00010418593857280726,-0.00036268029557176773,9.624209456980471e-05,-0.00030709806058348415,8.803327614721613e-05,-0.00021514762764984898,8.357928846787655e-05,-0.00010096793163563464,8.482998737907107e-05,1.745691714674813e-05,9.10322054566258e-05,0.00012176336320824455,9.8978787734149e-05,0.00019673060385300994,0.00010410847873416501,0.00023316908681855905,0.00010215058396818584,0.00022959433198287198,9.08035061286679e-05,0.00019235035559784152,7.088589880817022e-05,0.0001341623423691908,4.654828103337352e-05,7.143828840005673e-05,2.4431867033986826e-05,2.0837234685872234e-05,1.0369260398334252e-05,-3.1818132157180272e-06
4,2.625169529062821,45262463.265689276,-7.275957614183426e-12,227.26165969362896,2.4438375113428994,0.29388039149818534,0.08293443262017948,0.0076578123509532465,2.5350506770314145,1131.3387203375532,1.7906866633862997,2.857358343681745,290.82772022606946,1.7906866633862997,2.857358343681745,290.82772022606946,14.254835603532321,-1.699566125412778e-05,-4.9316666431135456e-06,1.1146298938682964e-05,-7.844737144786922e-05,6.946232117423873e-05,-0.0002263928922115271,0.0001357603674081079,-0.0004155975704503126,0.00019303944766920367,-0.0006036592294342619,0.00023013041279549323,-0.0007480536842035022,0.0002434608963952089,-0.0008144444317545539,0.00023671449225397148,-0.0007832572838341024,0.00021872917913690128,-0.0006532784668243357,0.00020024703566093698,-0.0004417247722609477,0.00019033528773498279,-0.00018083462665260174,0.00019341032242786883,8.836554143700139e-05,0.0002077290000792557,0.0003239650976002715,0.00022589157477117243,0.0004912415657816185,0.0002373374369045289,0.0005693098232412921,0.00023215409775680652,0.000554994846406934,0.00020500635345530217,0.0004631401435799619,0.00015785212209798726,0.00032330977900137277,0.00010045906854334909,0.00017362267304748405,4.84487870185416e-05,5.293811895304625e-05,1.6839999636616758e-05,-5.214546850122745e-06
5,2.625169529062821,45262463.265689276,-7.275957614183426e-12,227.26165969362896,2.4438375113428994,0.29388039149818534,0.08293443262017948,0.0076578123509532465,2.5350506770314145,1131.3387203375532,1.7906866633862997,2.857358343681745,290.82772022606946,1.7906866633862997,2.857358343681745,290.82772022606946,19.02514071687786,-2.275594294598907e-05,-6.4829421420276116e-06,3.581800653216267e-05,-0.00015148697416189985,0.00015262781858940052,-0.00044616890409458754,0.000285232733165358,-0.0008235756585892929,0.00039971159108252567,-0.0011982199510728797,0.0004737620666064275,-0.0014839096710464181,0.0005001601347642015,-0.0016108884035122251,0.0004861206624954434,-0.0015393953415030878,0.0004492505483093474,-0.0012671302418310498,0.0004112009676872796,-0.0008294922883926903,0.00039050823609930837,-0.00029269496377573053,0.00039642580943729627,0.00025894611812148305,0.0004255764943524067,0.0007392395712913951,0.00046272803274612036,0.0010767967942859752,0.00048584601082891053,0.0012288450124431393,0.00047409529590975753,0.001189301631214509,0.00041623201580997653,0.000989418801520165,0.00031644143838038455,0.0006909282920207715,0.00019543050269133684,0.0003732662214363252,8.61893673940864e-05,0.00011749149857908434,2.2437370684926394e-05,-7.064217821818172e-06
6,2.625169529062821,45262463.265689276,-7.275957614183426e-12,227.26165969362896,2.4438375113428994,0.29388039149818534,0.08293443262017948,0.0076578123509532465,2.5350506770314145,1131.3387203375532,1.7906866633862997,2.857358343681745,290.82772022606946,1.7906866633862997,2.857358343681745,290.82772022606946,21.443778906975194,-2.573351189228504e-05,-7.183513856628572e-06,6.602871750283698e-05,-0.00022831068404398003,0.00024523154911438075,-0.000680115909190039,0.00044837871546894546,-0.0012593568596928656,0.0006237434443138231,-0.0018343279770814914,0.0007373606894865046,-0.0022718923538884985,0.000778060912760403,-0.0024641772276457305,0.0007564906096347336,-0.002349649368470292,0.0006992057932153914,-0.0019247237477601502,0.0006393202496452713,-0.0012441968999412048,0.0006056926180880787,-0.0004106885323248664,0.0006132527825864182,0.00044495388646986436,0.0006573793260864396,0.0011887967061084634,0.0007146474349289376,0.0017098118914634336,0.000750505541308986,0.0019415157682473219,0.0007319371040121752,0.0018746574045293426,0.0006409685339980389,0.0015582200289107424,0.00048411803875414113,0.0010886515415372278,0.00029411906396473885,0.0005898956804028956,0.00012299256480179316,0.0001884283414160885,2.5240056672087618e-05,-8.085785360317454e-06
7,2.625169529062821,45262463.265689276,-7.275957614183426e-12,227.26165969362896,2.4438375113428994,0.29388039149818534,0.08293443262017948,0.0076578123509532465,2.5350506770314145,1131.3387203375532,1.7906866633862997,2.857358343681745,290.82772022606946,1.7906866633862997,2.857358343681745,290.82772022606946,22.816710250011525,-2.7472281534724933e-05,-7.509717663488743e-06,9.774875912038905e-05,-0.00030490403053266883,0.0003392308917184869,-0.0009147340040959421,0.0006126951577582385,-0.0016974942200932968,0.0008488870381807934,-0.0024751395667489723,0.0010024017933290294,-0.003067333591365814,0.0010580442067174625,-0.0033277901317281446,0.0010294844815456816,-0.0031728940690173104,0.0009517270669525081,-0.0025974531084366737,0.0008690926194265778,-0.0016753459378595365,0.0008209565734011687,-0.0005453622083872759,0.0008284931332801325,0.0006151793219158743,0.0008864590676297842,0.001624435677935502,0.0009635586726052421,0.0023313940058931255,0.0010125860293963248,0.002645468225491807,0.0009878844070045857,0.0025539260742781225,0.0008642947436802584,0.00212328031857848,0.0006504928043608891,0.0014845529884945955,0.0003913851005811404,0.0008060663737424398,0.00015828922504136574,0.0002596403101509178,2.6803960194959896e-05,-8.733271322073367e-06
8,2.625169529062821,45262463.265689276,-7.275957614183426e-12,227.26165969362896,2.4438375113428994,0.29388039149818534,0.08293443262017948,0.0076578123509532465,2.5350506770314145,1131.3387203375532,1.7906866633862997,2.857358343681745,290.82772022606946,1.7906866633862997,2.857358343681745,290.82772022606946,23.694798453432227,-2.8626924012590583e-05,-7.658489170826589e-06,0.00013014774813435218,-0.0003815092739196978,0.00043373228373802075,-0.0011503029649405424,0.0007772579574688999,-0.0021384388125552842,0.0010742330727804169,-0.0031214806682763013,0.001268039077688792,-0.0038716716915346877,0.0013393671058062717,-0.004204002929099854,0.0013044817919454525,-0.004012409307714985,0.0012063022150790165,-0.0032896702661335845,0.0011000652328096252,-0.0021283029959331162,0.0010358371173783264,-0.0007028870381983878,0.0010416135207297907,0.0007629830337214293,0.00111219458212053,0.00203948160863632,0.0012087984430090432,0.00293528961816526,0.0012714848287254735,0.003335270524147083,0.0012415228924905306,0.0032227721424544905,0.0010860909917938348,0.002681467542150064,0.0008157843410684987,0.0018766336983016799,0.0004877468988855537,0.0010206898968360624,0.0001927888821359372,0.00033062986508309173,2.778406470574477e-05,-9.202930660579989e-06
9,2.625169529062821,45262463.265689276,-7.275957614183426e-12,227.26165969362896,2.4438375113428994,0.29388039149818534,0.08293443262017948,0.0076578123509532465,2.5350506770314145,1131.3387203375532,1.7906866633862997,2.857358343681745,290.82772022606946,1.7906866633862997,2.857358343681745,290.82772022606946,24.29911127225635,-2.9460325510340683e-05,-7.708955754808785e-06,0.0001628808713457147,-0.00045819956248321556,0.0005283450246745912,-0.0013868721057049142,0.0009416384485599627,-0.002582275901344182,0.0012993325377810474,-0.003773575337881377,0.0015338295163743617,-0.004685391317503416,0.0016216238263270003,-0.005093673071218024,0.0015811401743566033,-0.004869503361721325,0.0014626604036903693,-0.004003161578509283,0.0013320208042546426,-0.0026052986210767064,0.0012501309027856697,-0.000885837610629227,0.0012523817840779596,0.0008856077164535943,0.0013343036244512585,0.0024311950878972838,0.0014500513828440136,0.003518979743279156,0.001526906541150278,0.004008787936865432,0.0014926452057938801,0.0038795411225954,0.0013062915671214958,0.0032316249752220453,0.0009800843694804122,0.0022641798386814245,0.0005834255312079748,0.001233386998548427,0.0002267845570703513,0.0004012193102589429,2.8443390881677542e-05,-9.573607975367841e-06
10,2.625169529062821,45262463.265689276,-7.275957614183426e-12,227.26165969362896,2.4438375113428994,0.29388039149818534,0.08293443262017948,0.0076578123509532465,2.5350506770314145,1131.3387203375532,1.7906866633862997,2.857358343681745,290.82772022606946,1.7906866633862997,2.857358343681745,290.82772022606946,24.73540076181377,-3.0098270627477583e-05,-7.699030235571695e-06,0.00019577342364004952,-0.0005349887484600929,0.0006228528115122788,-0.0016244034480932467,0.00110557484189751,-0.0030289389266987743,0.0015238833648244167,-0.0044313859357137724,0.0017994483957589015,-0.00550855971612501,0.0019044962344333812,-0.005997047237308225,0.0018591797845193077,-0.00574465914455261,0.0017205797165652898,-0.004738675426540008,0.0015647911150321531,-0.003107342081795151,0.0014636949388579124,-0.0010954402976316858,0.0014606415778586257,0.000981693528523476,0.0015525901635321641,0.0027981950857651518,0.001687085184120254,0.004081179315970073,0.0017786170938623403,0.004664926424138688,0.0017410652588717148,0.004523384889995247,0.0015247995199147153,0.0037731607730645466,0.0011433987794889128,0.0026468275314250884,0.0006785115603550106,0.0014439660390422118,0.0002604133730924213,0.00047132085654400397,2.8907821880100672e-05,-9.883024390329088e-06
