时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,0.6288479737146966,15740876.631854858,192.89885481571946,23.201069118814374,1.3901679325744973,0.12005198762857587,0.02835700267067707,0.004311406938908079,1.4173395460856975,1167.43944623406,2.6105138560053405,8.0366008248934,90.03736878877714,2.9267498631595696,8.855680525999267,4.94255831137275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.6288479737146966,15740876.631854858,192.89885481571946,23.201069118814374,1.3901679325744973,0.12005198762857587,0.02835700267067707,0.004311406938908079,1.4173395460856975,1167.43944623406,2.6105138560053405,8.0366008248934,90.03736878877714,2.9267498631595696,8.855680525999267,4.94255831137275,2.954986867834102,-1.7247343307067012e-06,-1.861968397291597e-07,3.609485422700736e-07,-8.144915975940594e-06,4.504883397195786e-06,-2.325733072288991e-05,9.178682455423624e-06,-4.237250401784521e-05,1.3275090982354703e-05,-6.176722823899393e-05,1.6083146450982548e-05,-7.775332499153222e-05,1.7350590839599578e-05,-8.724281080598973e-05,1.725794666342022e-05,-8.82114492716117e-05,1.6307728860961374e-05,-7.999233704095742e-05,1.5156698110069895e-05,-6.335866736419034e-05,1.4425554721781376e-05,-4.038550823237916e-05,1.452446745814874e-05,-1.4113215752819834e-05,1.5532331467561376e-05,1.193615653295347e-05,1.7160294574285268e-05,3.431539510301051e-05,1.8814235089641645e-05,5.019477878627977e-05,1.9747859771166966e-05,5.780409471523819e-05,1.927313271204151e-05,5.670210799568325e-05,1.6975473604525652e-05,4.782856638413942e-05,1.2876133409477706e-05,3.333109978745443e-05,7.481252873160639e-06,1.619752886453194e-05,1.5345238791237333e-06,-1.7528501832538504e-07
3,0.6288479737146966,15740876.631854858,192.89885481571946,23.201069118814374,1.3901679325744973,0.12005198762857587,0.02835700267067707,0.004311406938908079,1.4173395460856975,1167.43944623406,2.6105138560053405,8.0366008248934,90.03736878877714,2.9267498631595696,8.855680525999267,4.94255831137275,6.3608753103415685,-3.713618036733726e-06,-3.9941160136914097e-07,1.3910376409640949e-06,-1.943584662596968e-05,1.1394492687856765e-05,-5.5716306130243815e-05,2.267980183473219e-05,-0.0001016742695674492,3.2578033555886e-05,-0.00014831214098371981,3.936785228580828e-05,-0.0001866785941427762,4.24352746410503e-05,-0.00020925985653793056,4.2214331982543465e-05,-0.00021112278304433735,3.992123401509183e-05,-0.0001906412767896933,3.714924775686174e-05,-0.00014970551201338447,3.54069011875485e-05,-9.338901466333546e-05,3.569214313060422e-05,-2.9128606646653288e-05,3.8195061546514226e-05,3.4457427348134404e-05,4.2205208183058425e-05,8.893186491179325e-05,4.626163077952101e-05,0.00012736893882336968,4.852713091515317e-05,0.000145439508389124,4.730590643361191e-05,0.00014207399872375332,4.1575006235680017e-05,0.00011959266027235901,3.138644425656601e-05,8.328420193608774e-05,1.7993783445380112e-05,4.0507590794014185e-05,3.3033371006296065e-06,-3.777473317403427e-07
4,0.6288479737146966,15740876.631854858,192.89885481571946,23.201069118814374,1.3901679325744973,0.12005198762857587,0.02835700267067707,0.004311406938908079,1.4173395460856975,1167.43944623406,2.6105138560053405,8.0366008248934,90.03736878877714,2.9267498631595696,8.855680525999267,4.94255831137275,10.139327004127765,-5.9212600251848485e-06,-6.332881603166156e-07,3.687592932757296e-06,-3.553913770905141e-05,2.2215648846896744e-05,-0.00010232434876478419,4.311526953492493e-05,-0.0001870445111221815,6.145652622883777e-05,-0.0002730180219751868,7.404666732902635e-05,-0.00034357672269190475,7.974106289333364e-05,-0.0003846928986724843,7.933867650593843e-05,-0.00038714250966692893,7.509427404512017e-05,-0.0003478852834579918,6.997049705261533e-05,-0.0002704712826718972,6.678026941205657e-05,-0.00016442662428299765,6.738955359381577e-05,-4.372056363687071e-05,7.215379474324975e-05,7.545167141465339e-05,7.97343873135947e-05,0.0001772306798761218,8.737265265252297e-05,0.0002485987259998167,9.159180650617831e-05,0.00028142712228858437,8.917664109098817e-05,0.000273729715547761,7.818465735798248e-05,0.0002299132876373576,5.871347207205081e-05,0.00015998860471147966,3.315220772310094e-05,7.788316887787544e-05,5.26533926087792e-06,-6.031218350902067e-07
5,0.6288479737146966,15740876.631854858,192.89885481571946,23.201069118814374,1.3901679325744973,0.12005198762857587,0.02835700267067707,0.004311406938908079,1.4173395460856975,1167.43944623406,2.6105138560053405,8.0366008248934,90.03736878877714,2.9267498631595696,8.855680525999267,4.94255831137275,14.191040654003332,-8.289953883242408e-06,-8.788208538771042e-07,8.398792980931045e-06,-5.978661392101062e-05,3.9992791578006016e-05,-0.00017294252701212376,7.560699418076218e-05,-0.0003166692160689527,0.00010687224389110758,-0.0004624955564772456,0.00012835084189336503,-0.0005818562674242643,0.00013808390942556342,-0.0006506516903872597,0.0001374191523973919,-0.0006530124505967264,0.00013019131233690275,-0.0005837110372482836,0.00012145983532155065,-0.0004488882901067291,0.00011605059866749057,-0.00026501188557385795,0.00011718415033088096,-5.6240670764050684e-05,0.00012548774042086682,0.0001494031811937011,0.00013865285383857923,0.00032446906392420856,0.00015188766589217033,0.00044642581689341,0.0001591270628637777,0.0005012213587146551,0.00015474447350158327,0.0004854666866203938,0.0001353318015048271,0.00040687783995592793,0.00010105511379653746,0.00028291175016082766,5.6115041368209274e-05,0.00013784220827488125,7.367825231972557e-06,-8.462101319946484e-07
6,0.6288479737146966,15740876.631854858,192.89885481571946,23.201069118814374,1.3901679325744973,0.12005198762857587,0.02835700267067707,0.004311406938908079,1.4173395460856975,1167.43944623406,2.6105138560053405,8.0366008248934,90.03736878877714,2.9267498631595696,8.855680525999267,4.94255831137275,18.82445451627495,-1.1000771534546236e-05,-1.1459937216169704e-06,1.9537921680943727e-05,-0.0001054165564214266,7.606657585760645e-05,-0.0003065884034344381,0.00013968900658195164,-0.0005624388933040791,0.00019555087316021317,-0.0008219721171943626,0.0002339849623118259,-0.001033814664663317,0.000251486997010906,-0.0011545152635032033,0.00025040566629632414,-0.0011554162575274868,0.00023751834830527984,-0.0010270737446531593,0.00022183609411780507,-0.0007806206858585916,0.0002120376934842713,-0.0004459215568513136,0.0002140027191616786,-6.682607357810157e-05,0.0002289717175022904,0.00030576024571691836,0.00025283648863269533,0.0006219362096532185,0.00027688418039197087,0.0008407347729575084,0.0002899747984386905,0.0009366349022537527,0.0002817024809318167,0.0009035665164346349,0.00024572611324303234,0.0007557278592000361,0.0001823197884004261,0.0005250964956419934,9.926828854244994e-05,0.00025609230012322594,9.767232992625532e-06,-1.1276356147658267e-06
7,0.6288479737146966,15740876.631854858,192.89885481571946,23.201069118814374,1.3901679325744973,0.12005198762857587,0.02835700267067707,0.004311406938908079,1.4173395460856975,1167.43944623406,2.6105138560053405,8.0366008248934,90.03736878877714,2.9267498631595696,8.855680525999267,4.94255831137275,21.830363128206525,-1.2761607858671689e-05,-1.30191712518843e-06,3.405180176674503e-05,-0.0001578019142060629,0.00011937202834873407,-0.0004606412651572903,0.00021525113411212222,-0.0008461915821588118,0.00029945166297873685,-0.0012374061411481966,0.000357511638733122,-0.001556466584846167,0.00038415168855381504,-0.0017374387966181287,0.0003827836539266426,-0.0017367651491988084,0.00036343449596246325,-0.0015400292030414494,0.0003395630857375538,-0.001164074389368376,0.00032429263143848343,-0.0006542492908275675,0.00032669585237577153,-7.723761145953817e-05,0.00034891299841812703,0.000489454762388304,0.0003849141697459611,0.0009697732415895644,0.00042148954977217683,0.0013012325576213773,0.0004415203685510843,0.0014448989194154596,0.00042887354299373296,0.001391542861596909,0.0003736343335666254,0.0011629002352942812,0.0002761367769259512,0.0008078585736515291,0.0001484043532703187,0.00039429014938499276,1.1317257141030835e-05,-1.3143842985254078e-06
8,0.6288479737146966,15740876.631854858,192.89885481571946,23.201069118814374,1.3901679325744973,0.12005198762857587,0.02835700267067707,0.004311406938908079,1.4173395460856975,1167.43944623406,2.6105138560053405,8.0366008248934,90.03736878877714,2.9267498631595696,8.855680525999267,4.94255831137275,23.69468045528347,-1.3856240416322376e-05,-1.3832858301457153e-06,4.9427854247220595e-05,-0.00021033828549036634,0.00016360706541092371,-0.0006155486345550814,0.0002917613268919345,-0.0011319587343185302,0.000404349911775009,-0.0016563621751031824,0.0004821922576202676,-0.0020843147211846965,0.0005182306809075114,-0.00232718859385196,0.0005168306991418699,-0.0023263190698985872,0.0004911016536446901,-0.0020621378492770267,0.00045882215792611544,-0.0015570674983500987,0.0004375575747379584,-0.0008718784432286162,0.00043971892263939806,-9.611466144959945e-05,0.0004685770358564463,0.0006659952678934667,0.0005163825051959036,0.0013120419642081095,0.0005654980117777332,0.0017577862907528024,0.0005927286528412517,0.0019506711882336391,0.000576006272815705,0.0018781707704908928,0.0005016390928902672,0.0015695110855846728,0.00036992949285054305,0.0010905143654853418,0.0001972039896256024,0.0005325705829913179,1.2273396638241703e-05,-1.4337369130759483e-06
9,0.6288479737146966,15740876.631854858,192.89885481571946,23.201069118814374,1.3901679325744973,0.12005198762857587,0.02835700267067707,0.004311406938908079,1.4173395460856975,1167.43944623406,2.6105138560053405,8.0366008248934,90.03736878877714,2.9267498631595696,8.855680525999267,4.94255831137275,24.964040954007057,-1.4604542475814153e-05,-1.4257264877336205e-06,6.524872628632009e-05,-0.0002630471299903513,0.00020829030010035288,-0.0007712905713551378,0.00036868373503072554,-0.0014197224463958153,0.0005096735935167066,-0.0020789237211000294,0.0006074428652029988,-0.002617687941054339,0.0006531519264150839,-0.002924507928336057,0.00065200271883144,-0.0029254038968187708,0.0006200055163226595,-0.0025954465368903394,0.0005791135650889323,-0.0019624482159095406,0.0005513182317113852,-0.001102457607876329,0.0005525095711981113,-0.00012781014419968218,0.000587329060803043,0.000830515447703043,0.0006465324530269793,0.0016436319336824855,0.0007081549036334697,0.002205357963672083,0.0007428578988509146,0.002449310064238382,0.0007224505397496896,0.002359494668852043,0.0006292645644385565,0.001972509658362298,0.000463464866014679,0.0013710391318784588,0.0002457136048008734,0.0006699463969172528,1.2920808517395815e-05,-1.5178784506924415e-06
10,0.6288479737146966,15740876.631854858,192.89885481571946,23.201069118814374,1.3901679325744973,0.12005198762857587,0.02835700267067707,0.004311406938908079,1.4173395460856975,1167.43944623406,2.6105138560053405,8.0366008248934,90.03736878877714,2.9267498631595696,8.855680525999267,4.94255831137275,25.885176675294563,-1.5150995425913937e-05,-1.4453237206473204e-06,8.132645664695183e-05,-0.00031594116980733505,0.0002532063076883023,-0.0009278742553624597,0.00044577960150098855,-0.0017095175330378012,0.0006151677268413177,-0.0025052095116506767,0.0007330024683043585,-0.0031568584168219127,0.0007886600009791074,-0.0035298935380759892,0.0007880594528118986,-0.0035348017670949854,0.0007499244586701147,-0.0031410627780917625,0.0007002288211499732,-0.0023816600784230474,0.0006653653141476193,-0.0013477417623439583,0.0006648400327024844,-0.00017432845080046037,0.000704909108358811,0.0009808575934556383,0.0007750697395434059,0.001962352360605497,0.0008491453495688137,0.002641852914120599,0.0008916008548332734,0.0029389382931589675,0.0008679430499791435,0.002833953264923578,0.0007563267736323733,0.0023707160553932747,0.0005566641180172253,0.0016486614249681636,0.0002939697483379637,0.0008060436022360766,1.338829203987663e-05,-1.581345346369828e-06
