时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.0871093647276613,114936498.63957253,0.0,1024.450945642062,2.170599656212408,0.30014288488755364,0.07805847322944572,0.010207629301692975,2.276679330874652,762.5797391230046,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.0871093647276613,114936498.63957253,0.0,1024.450945642062,2.170599656212408,0.30014288488755364,0.07805847322944572,0.010207629301692975,2.276679330874652,762.5797391230046,10.0,10.0,0.0,10.0,10.0,0.0,3.274548459598817,-1.1870391687516598e-06,-6.5520127311848e-07,-2.9345206486327004e-05,4.781214069751439e-05,-5.170117434951924e-05,9.257946792357346e-05,-6.764269533766954e-05,0.00012801803052554556,-7.661695471750098e-05,0.00015005630515961283,-7.924988315710168e-05,0.00015598100784638825,-7.710722374818173e-05,0.0001447498138596206,-7.23273991995063e-05,0.00011711929374243335,-6.717969342777989e-05,7.558749762847852e-05,-6.36202172027474e-05,2.414674559119414e-05,-6.292128859486807e-05,-3.21266909164749e-05,-6.543574823232458e-05,-8.760197760056646e-05,-7.053383068846144e-05,-0.00013668194150199436,-7.671961019363555e-05,-0.00017438401548366798,-8.190325419992988e-05,-0.00019685101930252166,-8.378083173227992e-05,-0.00020174075152514965,-8.025887809338151e-05,-0.00018845824886093584,-6.98587223232532e-05,-0.0001582149941423186,-5.2040511222345784e-05,-0.00011390558096366325,-2.738654454020699e-05,-5.9832988193519776e-05,1.1867659245506176e-06,-6.556314087673018e-07
3,3.0871093647276613,114936498.63957253,0.0,1024.450945642062,2.170599656212408,0.30014288488755364,0.07805847322944572,0.010207629301692975,2.276679330874652,762.5797391230046,10.0,10.0,0.0,10.0,10.0,0.0,7.361071575490798,-2.6694637932961073e-06,-1.4730989944613838e-06,-9.183916108798773e-05,0.00015541354997372558,-0.00016352113463681368,0.00030008362654987007,-0.0002146774104688711,0.0004152337362482482,-0.00024353231019479116,0.0004878656924091391,-0.0002520617148964261,0.0005092591623516997,-0.0002452511400570194,0.00047598025235035603,-0.00022992390073247438,0.00039031542897648364,-0.000213325357775896,0.00026010509930181694,-0.00020170147566972075,9.796555158425706e-05,-0.00019911650956409084,-8.001762000249084e-05,-0.00020670767595010737,-0.0002559800867619049,-0.00022249475809387975,-0.00041215711586381644,-0.00024176228785167912,-0.0005327351106458221,-0.00025793277726128013,-0.0006054744639737131,-0.0002637725695219523,-0.0006229416686555501,-0.00025272879066672965,-0.000583238692628199,-0.0002201918449928293,-0.0004901796771103757,-0.0001644991305483912,-0.0003528921605928132,-8.750539214192762e-05,-0.00018492408802384445,2.6685986592984974e-06,-1.4738012425627666e-06
4,3.0871093647276613,114936498.63957253,0.0,1024.450945642062,2.170599656212408,0.30014288488755364,0.07805847322944572,0.010207629301692975,2.276679330874652,762.5797391230046,10.0,10.0,0.0,10.0,10.0,0.0,11.756912504793725,-4.266737795140938e-06,-2.3535487994868242e-06,-0.00025799405542486196,0.00045224149285154184,-0.00046460503177122973,0.0008706867863803757,-0.0006119947872015719,0.0012054016669754031,-0.000695031332768807,0.00141906438041004,-0.0007194227122306265,0.0014864095951975533,-0.0006996128920959912,0.0013972039073116714,-0.0006553502236788703,0.001157610110838044,-0.0006075356058459103,0.0007897763461705153,-0.000574083826383869,0.00032962260828377677,-0.0005665295948770925,-0.00017693309962845986,-0.0005879520051630822,-0.0006788645273836589,-0.0006325334665819059,-0.001125451418132148,-0.0006867623938821945,-0.0014715846279415939,-0.0007320010463098747,-0.001682383347068248,-0.0007479326001676576,-0.0017366741431342593,-0.0007163040398806708,-0.0016290343350061757,-0.0006243954506458912,-0.0013702650299269844,-0.0004677356411087509,-0.0009862499438129516,-0.0002516466770339027,-0.0005153682268044896,4.26427635365868e-06,-2.3535306842973153e-06
5,3.0871093647276613,114936498.63957253,0.0,1024.450945642062,2.170599656212408,0.30014288488755364,0.07805847322944572,0.010207629301692975,2.276679330874652,762.5797391230046,10.0,10.0,0.0,10.0,10.0,0.0,13.582241791259136,-4.933244764274888e-06,-2.719791159080346e-06,-0.00043914195024981903,0.0007768978952152347,-0.0007944445803673247,0.0014938595180974971,-0.0010474656816539974,0.0020680080862530395,-0.0011893785736635486,0.002435212624939359,-0.0012302391714961326,0.0025518345035749996,-0.0011953059518553322,0.0023999763300755475,-0.0011189580933579208,0.0019899730653370087,-0.0010373607823942373,0.0013597494751110537,-0.0009812282884048178,0.0005709962247336888,-0.0009699956039666177,-0.0002973946094030337,-0.0010083877231999079,-0.0011578159291632478,-0.0010858794183000653,-0.0019232898282054163,-0.0011789786878794845,-0.002516559957977151,-0.0012557714258614743,-0.0028779516045060057,-0.0012818384927664064,-0.0029712632166110243,-0.001226538676937824,-0.0027872210824119513,-0.0010687242671859583,-0.002344284218589561,-0.0008011504394604797,-0.0016867322899549089,-0.0004329742077404921,-0.0008802565462497099,4.9290319168714265e-06,-2.7183317020887473e-06
6,3.0871093647276613,114936498.63957253,0.0,1024.450945642062,2.170599656212408,0.30014288488755364,0.07805847322944572,0.010207629301692975,2.276679330874652,762.5797391230046,10.0,10.0,0.0,10.0,10.0,0.0,14.505227737417616,-5.273732838466122e-06,-2.9054808226791905e-06,-0.0006194616981102089,0.0010965952342894124,-0.0011230873204815044,0.002107076025087503,-0.001480951275951308,0.0029161426211708973,-0.0016805584719258202,0.003432856763842104,-0.0017366047861800764,0.0035951171020665237,-0.001685616030466257,0.003377285734045972,-0.0015770337302210885,0.002793890989758305,-0.0014625145892738349,0.0018987725278681081,-0.0013854861154229503,0.0007795990793511497,-0.0013728927254898684,-0.00045157102247290624,-0.0014305342167443289,-0.0016704467049693578,-0.0015426188942369494,-0.002753805439838796,-0.0016753161587482902,-0.003592344569742878,-0.0017833930095459544,-0.004101721155660934,-0.0018186013729462405,-0.004230794614066935,-0.0017383869341676033,-0.003966466443147664,-0.0015136632942801937,-0.003334839031233241,-0.001134723069212826,-0.002398593680224448,-0.0006145700757149604,-0.0012508235472060048,5.2677731781963716e-06,-2.9024010292526913e-06
7,3.0871093647276613,114936498.63957253,0.0,1024.450945642062,2.170599656212408,0.30014288488755364,0.07805847322944572,0.010207629301692975,2.276679330874652,762.5797391230046,10.0,10.0,0.0,10.0,10.0,0.0,15.056483913782989,-5.480731312295553e-06,-3.0167856210207937e-06,-0.0007986551429310423,0.0014099273392008172,-0.0014496581717662392,0.0027077579445759694,-0.001911139794265725,0.00374615037600729,-0.0021669834838905317,0.004407432871049077,-0.0022368171090433363,0.004611016651723215,-0.0021688639693887195,0.0043234973416876685,-0.0020280185063790163,0.0035636447634126442,-0.001881605022747154,0.002401347577788386,-0.0017856273016316855,0.0009504212012491746,-0.001774109079543625,-0.0006437871697168283,-0.001853334283065361,-0.0022202881390741484,-0.0020016886806139577,-0.003619719158793813,-0.00217466649902986,-0.0047009106985606165,-0.0023137058926722717,-0.005355032359641528,-0.0023570374968196017,-0.005516122188752892,-0.0022506968217795107,-0.005167287747600605,-0.0019581637947252402,-0.0043422461265654215,-0.0014675805943118888,-0.003122057353020033,-0.0007957936838833782,-0.0016272695181717553,5.473034737751054e-06,-3.0120347602856615e-06
8,3.0871093647276613,114936498.63957253,0.0,1024.450945642062,2.170599656212408,0.30014288488755364,0.07805847322944572,0.010207629301692975,2.276679330874652,762.5797391230046,10.0,10.0,0.0,10.0,10.0,0.0,15.418148227965705,-5.620342043810149e-06,-3.0901481019317546e-06,-0.0009765336191931468,0.0017164515687713784,-0.0017736948893344563,0.003295093295586534,-0.002337363547702024,0.004556872950259173,-0.0026478597989323927,0.005357481895877907,-0.002730034444941564,0.005597841711758915,-0.002644225373062963,0.005236776003132274,-0.0024711482544470986,0.004297358591650629,-0.0022939440710098738,0.0028656646636152547,-0.002181030068441822,0.0010818136591876468,-0.0021730607148364852,-0.0008754613119860211,-0.0022762066688361885,-0.0028084924766568686,-0.002462480916048284,-0.0045219162617731665,-0.00267638133250152,-0.005842902378460882,-0.0028460270813070484,-0.0066383290875571535,-0.0028964541423630503,-0.00682753596121955,-0.0027628050809488406,-0.006389866404570999,-0.0024016385281564272,-0.0053666193725942285,-0.001799257621017477,-0.0038572037936658835,-0.0009763375718681305,-0.002009665460775526,5.610921506625715e-06,-3.083724435577624e-06
9,3.0871093647276613,114936498.63957253,0.0,1024.450945642062,2.170599656212408,0.30014288488755364,0.07805847322944572,0.010207629301692975,2.276679330874652,762.5797391230046,10.0,10.0,0.0,10.0,10.0,0.0,15.669362180744711,-5.721288893941554e-06,-3.141401197422605e-06,-0.0011529124043835666,0.0020159582280290782,-0.0020948057038127,0.003868692819973148,-0.0027590778312293245,0.0053477524818409256,-0.003122552730179697,0.00628230109014078,-0.00321559271875061,0.006554781404203943,-0.003111055083886874,0.006116252185060636,-0.0029058256840624763,0.004994163514359224,-0.0026989888320064696,0.003290917418417385,-0.002571192007243992,0.0011730871146950685,-0.0025692585730332407,-0.0011471292476836212,-0.002698645785634675,-0.0034354293184167793,-0.0029244514327294658,-0.005460610351862341,-0.0031798711371606213,-0.007018403447869506,-0.0033797329377981294,-0.007951598900330795,-0.0034362212157366427,-0.008164961459804032,-0.0032741147432625317,-0.007634098313592165,-0.002843569099374072,-0.006407855440255959,-0.002129358763923222,-0.00460395776928253,-0.0011559653008590797,-0.002397984898275338,5.710160000230001e-06,-3.1333287419515086e-06
10,3.0871093647276613,114936498.63957253,0.0,1024.450945642062,2.170599656212408,0.30014288488755364,0.07805847322944572,0.010207629301692975,2.276679330874652,762.5797391230046,10.0,10.0,0.0,10.0,10.0,0.0,15.850029402565283,-5.79805342877306e-06,-3.1785260300646882e-06,-0.0013276045422690244,0.002308320122919007,-0.002412619136167977,0.0044283162188525635,-0.003175776716642582,0.006118443083809165,-0.0035904799634265717,0.007181456225081486,-0.0036928881090152067,0.0074813405473335955,-0.003568770065896317,0.006961407295080962,-0.003331511907161253,0.005653562977634268,-0.0030962467124709264,0.0036766787088541096,-0.0029556504036932826,0.001223924109410071,-0.0029622423122501107,-0.0014589745692780065,-0.003120165392400488,-0.004101145005953545,-0.0033870689594615107,-0.006435726344132089,-0.003684556154577904,-0.008227245750142439,-0.00391420935607658,-0.009294613616755097,-0.00397571992575712,-0.00952814298421484,-0.003784042932446473,-0.008899730988059714,-0.0032834542719201755,-0.007465734707881907,-0.00245750885006519,-0.005362160328328719,-0.001334464049871731,-0.0027921513926827857,5.785234301377573e-06,-3.1688456488319075e-06
