时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.319544817921844,34011136.18741287,-349.2162662221763,28.49196823614301,1.3131361860119446,0.3964336811197647,0.050601902826823045,0.003227497986060488,1.584449483316377,1731.1222630819623,3.8292222622650547,5.410069635972299,727.9196894926214,4.461599551129431,9.466444691281952,776.5732550027193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.319544817921844,34011136.18741287,-349.2162662221763,28.49196823614301,1.3131361860119446,0.3964336811197647,0.050601902826823045,0.003227497986060488,1.584449483316377,1731.1222630819623,3.8292222622650547,5.410069635972299,727.9196894926214,4.461599551129431,9.466444691281952,776.5732550027193,31.296766602740753,-2.184986329200109e-06,-1.7770047112379063e-06,3.34813444062924e-05,-3.5624430441917024e-05,0.00010985859997544047,-0.00010927693579693342,0.00020152410334641548,-0.00020680279949421176,0.0002840053166489812,-0.0003054333738067121,0.00033903317653702765,-0.0003811827925181787,0.00035883129753615337,-0.0004137272670621185,0.0003473564545658076,-0.00039055808187788473,0.0003181857118425809,-0.0003096872810665057,0.00028943029087879194,-0.00018077155780712924,0.000276712733617725,-2.4033024814785682e-05,0.0002865631157765457,0.0001337001841757112,0.00031346440981601067,0.00026538197782695946,0.00034231779177654816,0.0003502986458746946,0.0003548726782891378,0.00037835515304435755,0.0003369630738816562,0.00035132180447639303,0.00028401843074457215,0.0002815906726743705,0.00020346342532800358,0.00018913934327525046,0.00011357518880100536,9.737803499247536e-05,3.8746456189998915e-05,2.828077625518895e-05,1.7801696233983415e-06,-1.0626172588007317e-06
3,1.319544817921844,34011136.18741287,-349.2162662221763,28.49196823614301,1.3131361860119446,0.3964336811197647,0.050601902826823045,0.003227497986060488,1.584449483316377,1731.1222630819623,3.8292222622650547,5.410069635972299,727.9196894926214,4.461599551129431,9.466444691281952,776.5732550027193,65.59950256748316,-4.7236183048715066e-06,-3.6090379071387915e-06,0.0001677013204245475,-0.0001604058676794217,0.000532962492601085,-0.0005123774237625578,0.000974283715650095,-0.0009831863221567917,0.0013745387781713672,-0.0014630339914302594,0.0016446813663341694,-0.0018343891358161277,0.0017451225309476131,-0.001996855850700141,0.0016926484477516946,-0.0018877359001842943,0.0015515827222335383,-0.0014956956437666754,0.0014099816545373066,-0.0008668702609692054,0.001345274624647862,-0.0001002977724024829,0.0013908988336768758,0.0006713203361620574,0.0015206554797672258,0.0013137482559484413,0.0016604268297821681,0.001724666975153994,0.0017202394798274882,0.001855505520839124,0.001630572473746054,0.0017172219191947747,0.0013698079208690184,0.0013728911324556352,0.0009757337800267443,0.0009214145295087235,0.0005387644502585671,0.00047625236941691273,0.00017761156923173948,0.00014229639897683752,3.6219996405348316e-06,-2.3065801488578115e-06
4,1.319544817921844,34011136.18741287,-349.2162662221763,28.49196823614301,1.3131361860119446,0.3964336811197647,0.050601902826823045,0.003227497986060488,1.584449483316377,1731.1222630819623,3.8292222622650547,5.410069635972299,727.9196894926214,4.461599551129431,9.466444691281952,776.5732550027193,76.23495236892632,-5.692863221827314e-06,-4.0286074512987094e-06,0.0003332024330054931,-0.0003089394597907309,0.0010481847352425651,-0.0010019309087977285,0.0019140207128227427,-0.0019335999110676905,0.0027025084689354024,-0.002886990312806425,0.003238933706156776,-0.003628596454496631,0.0034434591549600555,-0.0039589844998688525,0.0033454363510686015,-0.0037533783642258595,0.0030681666608674617,-0.0029881161609800143,0.0027841385648469242,-0.0017526242374662259,0.002647994750802345,-0.00024129528567288572,0.0027294498238856994,0.0012834472110021381,0.0029800544245455617,0.0025546588534009593,0.0032545445882834327,0.0033683954448016406,0.0033740670866963395,0.0036284591771057043,0.0031992862307824916,0.0033581067745670733,0.00268631937480483,0.0026839439895631396,0.0019102359038126156,0.001801681024257064,0.0010507292323340492,0.0009330563334992754,0.0003422871545293852,0.0002815156500585846,4.054623666908804e-06,-2.791347116653633e-06
5,1.319544817921844,34011136.18741287,-349.2162662221763,28.49196823614301,1.3131361860119446,0.3964336811197647,0.050601902826823045,0.003227497986060488,1.584449483316377,1731.1222630819623,3.8292222622650547,5.410069635972299,727.9196894926214,4.461599551129431,9.466444691281952,776.5732550027193,80.67337285023605,-6.2399864960245975e-06,-4.085967687645315e-06,0.0004993096719542235,-0.0004579912354331751,0.0015633557953093277,-0.0014968050021666717,0.0028529805510620985,-0.0028981044137244543,0.004030525434863511,-0.004335890573532392,0.004836692832683337,-0.005458587819061494,0.005150521748578161,-0.005966745941920228,0.00501115434984097,-0.005673452180439685,0.0045978149846674435,-0.004542489714902939,0.0041661261730983725,-0.0027054797046971927,0.003949480934606432,-0.0004507098731989926,0.004057551330758647,0.0018302270502387717,0.004423340719713243,0.00373663790837604,0.004832047421129661,0.004961054184931845,0.005014795382890083,0.0053583708874411105,0.0047596726630265195,0.004964224331857625,0.003998119965131629,0.003969439804195613,0.0028417892508198787,0.0026663188681705845,0.0015605106824160384,0.00138307531983645,0.0005056103226071969,0.00041948158423808194,4.12733995561306e-06,-3.069800797614538e-06
6,1.319544817921844,34011136.18741287,-349.2162662221763,28.49196823614301,1.3131361860119446,0.3964336811197647,0.050601902826823045,0.003227497986060488,1.584449483316377,1731.1222630819623,3.8292222622650547,5.410069635972299,727.9196894926214,4.461599551129431,9.466444691281952,776.5732550027193,83.09214591265692,-6.649586829886e-06,-4.024059630016285e-06,0.0006656524025624573,-0.0006081042092892687,0.0020780153195673447,-0.0019976911568514396,0.00379029100624358,-0.003877350850088648,0.005357056917840296,-0.005810131294475562,0.006435761689242333,-0.007324384968406466,0.006863689901926087,-0.008019835262731036,0.006687119008539403,-0.007647598192505331,0.006138073461976999,-0.0061588814269963035,0.005553784665860974,-0.003726457832154921,0.005247677523345972,-0.0007308414826195355,0.005372957468793494,0.0023081808899290857,0.005847920500360709,0.004855545006801913,0.0063901224765453785,0.006498544487412003,0.006639765990168517,0.007041777654569346,0.006309661208840264,0.00653305088682531,0.005304011310308648,0.0052277913329996095,0.003770063054933487,0.0035144562885813953,0.0020683594052321214,0.0018258505140451573,0.0006680161702083575,0.0005558910795035749,4.083238754353057e-06,-3.2798871587656317e-06
7,1.319544817921844,34011136.18741287,-349.2162662221763,28.49196823614301,1.3131361860119446,0.3964336811197647,0.050601902826823045,0.003227497986060488,1.584449483316377,1731.1222630819623,3.8292222622650547,5.410069635972299,727.9196894926214,4.461599551129431,9.466444691281952,776.5732550027193,84.60085831626576,-6.997210729333763e-06,-3.907450510410871e-06,0.0008321091677037841,-0.000759413178405413,0.002591921765226715,-0.002504742172914656,0.00472541421282739,-0.00487146333445366,0.006681156386216536,-0.007309769158443877,0.008034816923057717,-0.00922595451528621,0.008581422426030742,-0.010118120235594542,0.00837178116875865,-0.009675623321305353,0.0076875509950153865,-0.007837163783486948,0.006945922922801807,-0.00481568802240463,0.0065414901043050495,-0.0010822207382535263,0.006674495228371514,0.0027163970970304186,0.007252425746241024,0.005910281969173977,0.00792724034215121,0.0079798351178887,0.00824746176037753,0.008677888666244927,0.007847974584775562,0.008064073899126993,0.006603133354375931,0.006458705756587648,0.004694657609690629,0.004345932802546415,0.002574222008730566,0.0022612829797882474,0.0008295996083901101,0.0006906658349626872,3.986939785946362e-06,-3.4582380823274613e-06
8,1.319544817921844,34011136.18741287,-349.2162662221763,28.49196823614301,1.3131361860119446,0.3964336811197647,0.050601902826823045,0.003227497986060488,1.584449483316377,1731.1222630819623,3.8292222622650547,5.410069635972299,727.9196894926214,4.461599551129431,9.466444691281952,776.5732550027193,85.6193695478275,-7.311376215569254e-06,-3.760624136798543e-06,0.000998597407392286,-0.0009119458509170353,0.0031048311048134077,-0.0030179395820992276,0.005657796421331823,-0.005880352852870721,0.008001884995096202,-0.008834649618450232,0.009632587986907939,-0.011163092723485224,0.010302272836019975,-0.012261349709402774,0.010063705715464576,-0.01175723689008827,0.009244965955658841,-0.009577071773149957,0.008341447597094627,-0.005973058365086771,0.007829923344633323,-0.0015050004785136057,0.0079611097158114,0.0030544594379657195,0.008635626808974135,0.006900298784040721,0.009442006106954668,0.00940441168184791,0.00983645662668969,0.010266327125270093,0.00937334966866749,0.009557056207783769,0.00789455638144346,0.007662034515100734,0.005615047583788993,0.005160644043788071,0.003077912652358524,0.002689297516202379,0.0009903574438211466,0.0008237596058947822,3.862960412613693e-06,-3.618689516057677e-06
9,1.319544817921844,34011136.18741287,-349.2162662221763,28.49196823614301,1.3131361860119446,0.3964336811197647,0.050601902826823045,0.003227497986060488,1.584449483316377,1731.1222630819623,3.8292222622650547,5.410069635972299,727.9196894926214,4.461599551129431,9.466444691281952,776.5732550027193,86.3419085045016,-7.605214341400771e-06,-3.594957007299524e-06,0.001165045328824104,-0.0010656912684575994,0.0036164943464982507,-0.0035371940084782164,0.006586872991439245,-0.00690382833780155,0.009318298285240239,-0.010384498796641417,0.01122780903280119,-0.013135477325943773,0.012024807611140243,-0.014449165295956863,0.011761472904814206,-0.013892046773865031,0.0108090509032384,-0.011378225854232257,0.00973928164137036,-0.007198309341098717,0.009112008827991923,-0.0019991455623945076,0.009231788871121086,0.0033221686914231734,0.00999634770722262,0.007825266948192154,0.010933074436656403,0.010771959226354906,0.011405352604080156,0.011806873966195338,0.010884518710537342,0.011011867792468112,0.00917731438958858,0.008837688030563898,0.006530653632890051,0.005958509581338734,0.003579193874778245,0.003109827248729568,0.001150251587839733,0.0009551357490170719,3.722702649789394e-06,-3.767619891711461e-06
10,1.319544817921844,34011136.18741287,-349.2162662221763,28.49196823614301,1.3131361860119446,0.3964336811197647,0.050601902826823045,0.003227497986060488,1.584449483316377,1731.1222630819623,3.8292222622650547,5.410069635972299,727.9196894926214,4.461599551129431,9.466444691281952,776.5732550027193,86.87050086013085,-7.885568691835954e-06,-3.4164703213779055e-06,0.0013313853164632547,-0.0012206222154196337,0.004126660334852797,-0.0040623851642872895,0.007512075048927325,-0.007941652914206645,0.010629449850453809,-0.011958988924153573,0.012819216542355898,-0.015142734901405141,0.01374759940809645,-0.016681167970444936,0.013463670810897058,-0.016079630003995322,0.012378545818265188,-0.013240216810814833,0.011138355685090211,-0.008491142780737045,0.010386788994750405,-0.002564568885262721,0.01048553626008984,0.003519387049837632,0.011333430031907819,0.008684920289233712,0.012399113480588407,0.012082218095081405,0.012952755062069433,0.01329935351843947,0.01238020390360507,0.012428407921034694,0.010450419030501739,0.009985592059827136,0.007440868182288184,0.006739453672412527,0.004077803189125328,0.003522805870217111,0.0013092282904685606,0.0010847604835425046,3.572210848214035e-06,-3.908359659021971e-06
11,1.319544817921844,34011136.18741287,-349.2162662221763,28.49196823614301,1.3131361860119446,0.3964336811197647,0.050601902826823045,0.003227497986060488,1.584449483316377,1731.1222630819623,3.8292222622650547,5.410069635972299,727.9196894926214,4.461599551129431,9.466444691281952,776.5732550027193,87.26394923086691,-8.156336370942431e-06,-3.228676876102159e-06,0.0014975518413278227,-0.001376702469789236,0.004635078869617111,-0.004593371426277431,0.008432836757140388,-0.008993551877794428,0.011934399137016148,-0.013557740292239205,0.014405553575404186,-0.01718443379206915,0.015469225742152587,-0.01895690177063787,0.015168889690578082,-0.018319509554633573,0.013952191901505942,-0.015162579702775715,0.012537605256842502,-0.00985119785376093,0.011653319923210552,-0.003201113302219292,0.011721378986731524,0.003646048756937494,0.012645744108171571,0.009479059846237543,0.01383881737470173,0.013334987154181983,0.014477286091625444,0.014743639242753853,0.013859132107543748,0.013806615174295128,0.011712875852337485,0.011105700107389621,0.008345071563372438,0.007503415865468802,0.004573466311766698,0.003928172890018164,0.0014672263756787137,0.0012126023954143264,3.415018100385912e-06,-4.042811963985024e-06
12,1.319544817921844,34011136.18741287,-349.2162662221763,28.49196823614301,1.3131361860119446,0.3964336811197647,0.050601902826823045,0.003227497986060488,1.584449483316377,1731.1222630819623,3.8292222622650547,5.410069635972299,727.9196894926214,4.461599551129431,9.466444691281952,776.5732550027193,87.55846852408243,-8.419875622219514e-06,-3.033779256234304e-06,0.0016634805762730624,-0.0015338908121681487,0.005141501281811034,-0.005129998478294848,0.009348596341140039,-0.01005922703143854,0.013232212099466062,-0.01518034059249406,0.01598557027118948,-0.01926010718807164,0.01718827016644046,-0.021275879744245284,0.01687572436871146,-0.020611183602764906,0.015528734444283538,-0.017144827929623362,0.013935971961695902,-0.011278090882838732,0.012910668658820531,-0.003908596559567175,0.012938360268426959,0.003702112744529506,0.01393217807657396,0.010207507943832055,0.01525089500114744,0.01453008308350739,0.01597757624372646,0.01613962088856308,0.015320031467108256,0.015146443671372894,0.012963685541400212,0.012197978488884665,0.009242635911556238,0.00825034332385639,0.005065901325252387,0.004325870532911485,0.0016241802075977559,0.0013386310290850981,3.2533460621236052e-06,-4.172134292143206e-06
13,1.319544817921844,34011136.18741287,-349.2162662221763,28.49196823614301,1.3131361860119446,0.3964336811197647,0.050601902826823045,0.003227497986060488,1.584449483316377,1731.1222630819623,3.8292222622650547,5.410069635972299,727.9196894926214,4.461599551129431,9.466444691281952,776.5732550027193,87.7775897829431,-8.677681630460065e-06,-2.833245553264651e-06,0.0018291080675782007,-0.0016921423452203514,0.005645681647327332,-0.005672100482916948,0.010258798976072063,-0.011138356325392434,0.014521964922980465,-0.016826341760770254,0.017558026939933302,-0.021369246364320908,0.018903323709501697,-0.02363757372880114,0.01858277421307498,-0.02295411262599289,0.017106922475262215,-0.01918643852708042,0.01533240453912168,-0.012771400013276908,0.014157916690068464,-0.004686796495104733,0.014135545617756397,0.003687575888779185,0.015191646021816507,0.010870119457395758,0.016634078702693445,0.015667349876206705,0.017452272764584505,0.017487212959792064,0.016761638821915295,0.016447870847928845,0.01420185034850996,0.013262413131937347,0.010132930354087754,0.008980195734645532,0.005554822296501438,0.004715846140613624,0.0017800216293144037,0.001462817137736641,3.0886800867030773e-06,-4.297066529343654e-06
