时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.3059311937192315,68600354.01038624,1798.9522601301724,605.1396309762981,1.6441557254182924,0.206710419922762,0.0394631878739493,0.010412933200021724,1.711041344136015,576.0973585854437,1.2659109120310497,1.0002011117408376,13.108718500931786,5.533795443060216,0.749963740663329,520.8499789894074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.3059311937192315,68600354.01038624,1798.9522601301724,605.1396309762981,1.6441557254182924,0.206710419922762,0.0394631878739493,0.010412933200021724,1.711041344136015,576.0973585854437,1.2659109120310497,1.0002011117408376,13.108718500931786,5.533795443060216,0.749963740663329,520.8499789894074,4.468494235966578,-1.8739096680360056e-05,-1.1966421979674585e-05,-8.975574745591697e-06,-3.933310843200828e-05,4.02534464127166e-06,-7.325923227208646e-05,1.6076142302837354e-05,-0.0001087959547631184,2.5134389071369374e-05,-0.00014028885451781487,3.020899491082124e-05,-0.0001628758028750689,3.136543028623807e-05,-0.00017322068688967762,2.9535901902716103e-05,-0.00016997756413659595,2.6162972120866862e-05,-0.00015391945052973933,2.2765404482372363e-05,-0.00012772381469711866,2.0525565636342944e-05,-9.545430158778237e-05,1.999579098616511e-05,-6.182822627186024e-05,2.0996306718536047e-05,-3.1394739678151274e-05,2.27309988254357e-05,-7.767345904538474e-06,2.4088386859327623e-05,6.951825269126386e-06,2.404007807889292e-05,1.2451419093805717e-05,2.2016253827021505e-05,1.0145540694882153e-05,1.813891708967654e-05,2.7781139369413245e-06,1.3237742633029055e-05,-6.22247552182113e-06,8.601433755938934e-06,-1.3515451260252353e-05,4.241186196431047e-06,-1.5935328189720052e-05
3,1.3059311937192315,68600354.01038624,1798.9522601301724,605.1396309762981,1.6441557254182924,0.206710419922762,0.0394631878739493,0.010412933200021724,1.711041344136015,576.0973585854437,1.2659109120310497,1.0002011117408376,13.108718500931786,5.533795443060216,0.749963740663329,520.8499789894074,10.084189169694584,-4.235163365077437e-05,-2.7031976240186186e-05,-1.699931430363254e-05,-9.587944115146991e-05,1.622583282047091e-05,-0.00018168373803737525,4.702420466176924e-05,-0.0002715441855266499,7.011923280476312e-05,-0.00035075120190291805,8.29290772799999e-05,-0.000406568122874076,8.562459367455418e-05,-0.0004302380614489271,8.065080505908393e-05,-0.0004182662255731087,7.179784855527714e-05,-0.00037279771672598164,6.305388991067601e-05,-0.00030106608690251443,5.7504870794142255e-05,-0.0002140175417340031,5.6544470446266733e-05,-0.00012434900652193474,5.959504711631629e-05,-4.429488174186472e-05,6.441765086179209e-05,1.645021820814785e-05,6.792928474385331e-05,5.2300256636714684e-05,6.7293551681521e-05,6.255341248163402e-05,6.095856479565632e-05,5.124172286063354e-05,4.931721068493526e-05,2.6093880048610746e-05,3.478187359293109e-05,-3.1727956391853265e-06,2.1158209066987927e-05,-2.690132647971177e-05,9.582986406152567e-06,-3.598623846545525e-05
4,1.3059311937192315,68600354.01038624,1798.9522601301724,605.1396309762981,1.6441557254182924,0.206710419922762,0.0394631878739493,0.010412933200021724,1.711041344136015,576.0973585854437,1.2659109120310497,1.0002011117408376,13.108718500931786,5.533795443060216,0.749963740663329,520.8499789894074,15.339953362005696,-6.452066292063376e-05,-4.1162397143775104e-05,-1.9021271940693877e-05,-0.0001607144828742735,3.958187773331713e-05,-0.0003104480178714717,9.385708676996511e-05,-0.00046709883405408404,0.0001344205241347331,-0.0006042735233622781,0.0001566569954038703,-0.000698996935821281,0.00016088919271072547,-0.0007354662670633472,0.00015154372809063915,-0.0007074713174690309,0.00013548504864435124,-0.0006191408269504838,0.00011993164228861087,-0.00048396153863418303,0.00011043704218365788,-0.00032225979506677016,0.0001094248056000773,-0.00015758021207606284,0.00011566098420455705,-1.2578358849727767e-05,0.0001248250938034172,9.485322539527926e-05,0.0001310407703628335,0.00015452821732328046,0.00012893565760834717,0.00016544221595355654,0.00011561827549652619,0.00013552741389465407,9.195668972019366e-05,7.975835065992599e-05,6.275867386718522e-05,1.7007707550091953e-05,3.565668556504348e-05,-3.3738050558922664e-05,1.4592369729660693e-05,-5.4776300387014855e-05
5,1.3059311937192315,68600354.01038624,1798.9522601301724,605.1396309762981,1.6441557254182924,0.206710419922762,0.0394631878739493,0.010412933200021724,1.711041344136015,576.0973585854437,1.2659109120310497,1.0002011117408376,13.108718500931786,5.533795443060216,0.749963740663329,520.8499789894074,20.95054608034582,-8.827677061258604e-05,-5.6286831177189e-05,-9.90600909958944e-06,-0.0002543322808129389,8.887512832902215e-05,-0.0005036427284156917,0.00018015383130428104,-0.0007638602896044701,0.00024802174487613453,-0.0009896345160090492,0.0002846416623132588,-0.0011413416502546975,0.00029063028605481785,-0.001191783491387719,0.0002736684160113744,-0.0011305389374575512,0.00024565577815166794,-0.0009653527640891973,0.00021910095998746828,-0.0007204529965062419,0.00020357580872346656,-0.0004321232433998043,0.00020310258316121637,-0.00014228489508495657,0.00021518433009789492,0.00010882425454642627,0.00023180746414508939,0.0002895920069986539,0.00024220206002975714,0.000382334324571606,0.00023659743621663783,0.00038597847001314286,0.00020985585588313599,0.0003156566795277397,0.00016384790273125163,0.00019933926422082958,0.00010781689775254374,7.222070432124561e-05,5.641512236893942e-05,-3.0052558325214962e-05,1.9945857678388895e-05,-7.485939582451537e-05
6,1.3059311937192315,68600354.01038624,1798.9522601301724,605.1396309762981,1.6441557254182924,0.206710419922762,0.0394631878739493,0.010412933200021724,1.711041344136015,576.0973585854437,1.2659109120310497,1.0002011117408376,13.108718500931786,5.533795443060216,0.749963740663329,520.8499789894074,26.82897356306639,-0.000113316321123043,-7.219997295746705e-05,2.9086283831140132e-05,-0.00041631877205073665,0.00020381602600091445,-0.0008517017284996202,0.0003645762194458599,-0.0013042002309871287,0.00048322046453073053,-0.0016918043201556764,0.0005459285671546874,-0.0019428178506175396,0.0005539787824968875,-0.0020083440809455,0.0005213264869127785,-0.0018704163932537724,0.0004695775149832699,-0.0015446254749746577,0.00042149378180684317,-0.0010770306694260522,0.0003944710041800734,-0.0005359456474444427,0.00039559476809385613,3.878233213028491e-08,0.000419692135328613,0.0004557992627198094,0.00045113394641156006,0.0007727856945777178,0.0004690900973154317,0.0009190723490161503,0.0004548105774339596,0.0008944426968444479,0.0003987319896120875,0.0007295790434644559,0.0003051300434198811,0.00047961817181178167,0.00019278917344520437,0.0002134564544962126,9.117609421546118e-05,8.856533154095663e-07,2.5547259689681442e-05,-9.592266543379159e-05
7,1.3059311937192315,68600354.01038624,1798.9522601301724,605.1396309762981,1.6441557254182924,0.206710419922762,0.0394631878739493,0.010412933200021724,1.711041344136015,576.0973585854437,1.2659109120310497,1.0002011117408376,13.108718500931786,5.533795443060216,0.749963740663329,520.8499789894074,30.29520356057453,-0.00012822555600083612,-8.164511122736436e-05,8.956607701296406e-05,-0.0005938783455479915,0.00035193444865597303,-0.0012438537968800514,0.0005924525013702781,-0.0019171037874682,0.000769084134202791,-0.0024886008468401628,0.0008612590051967573,-0.002849236192831277,0.0008710012978815984,-0.0029250841737020203,0.0008193809814407528,-0.0026898969861768266,0.0007391415702297677,-0.0021690985749373477,0.0006650104525787439,-0.0014349811362484592,0.0006237191914693121,-0.00059401048623728,0.0006261827069433868,0.00023171596134952048,0.0006641819793973021,0.0009258333248677234,0.0007129634323954974,0.0013981695513727147,0.0007394739833499023,0.0016004720745959934,0.0007140146061590831,0.0015343163728749193,0.0006217045910364131,0.001249689558582389,0.00046995584951803484,0.0008347082318483451,0.0002894050539363699,0.00039873365487879336,0.00012761564417276673,5.220857054388181e-05,2.8828599293086306e-05,-0.0001083440183780866
8,1.3059311937192315,68600354.01038624,1798.9522601301724,605.1396309762981,1.6441557254182924,0.206710419922762,0.0394631878739493,0.010412933200021724,1.711041344136015,576.0973585854437,1.2659109120310497,1.0002011117408376,13.108718500931786,5.533795443060216,0.749963740663329,520.8499789894074,32.266300220264974,-0.00013682303256650738,-8.706223817998706e-05,0.00015663580845748961,-0.0007672608227313598,0.0005060726792427692,-0.0016319652996389918,0.0008256629528633682,-0.0025258781407445545,0.0010598221793511756,-0.003280742868062844,0.0011813659536192233,-0.003749981947465539,0.0011928921251103239,-0.0038347362284728366,0.0011222144742986028,-0.0035006569504813776,0.0010128965824956436,-0.0027831908075872454,0.0009115895669752075,-0.001781025477990401,0.0008546422892348962,-0.000638928881817822,0.0008572427309140378,0.0004773301832567711,0.0009084636267108771,0.0014099783313598975,0.000974455935715435,0.0020371241628872362,0.0010096594937682544,0.002294247842153981,0.0009730281938913599,0.002184958992765021,0.0008441222923005702,0.0017788955942429855,0.0006335644492912025,0.0011974612067108246,0.00038417294015097227,0.00059063680348582,0.00016195489199199558,0.00010950361849587916,3.067400559553222e-05,-0.00011539935044042756
9,1.3059311937192315,68600354.01038624,1798.9522601301724,605.1396309762981,1.6441557254182924,0.206710419922762,0.0394631878739493,0.010412933200021724,1.711041344136015,576.0973585854437,1.2659109120310497,1.0002011117408376,13.108718500931786,5.533795443060216,0.749963740663329,520.8499789894074,33.52212751492149,-0.00014240635720812336,-9.054988073490108e-05,0.0002267800998072642,-0.0009393167420985038,0.0006628557356342139,-0.002019871682187829,0.001061101466635248,-0.0031358040152648886,0.001352695375531605,-0.004075445869462772,0.0015039202391426247,-0.004654633116745127,0.0015177052881442574,-0.0047495199782181165,0.0014281681194583588,-0.004317617006574354,0.0012893232347149129,-0.0034043153648430605,0.0011596862831961628,-0.0021345760176402035,0.0010855332854911243,-0.0006913558613552587,0.0010868445308308047,0.0007159356435457862,0.0011504307444629759,0.0018880333729060068,0.001233488376361185,0.0026711729424334736,0.0012777452950895314,0.002984429355599643,0.0012304256814845778,0.002833377090994197,0.0010652265612261036,0.0023072749080601165,0.0007959248383066594,0.0015607419285516865,0.0004776844586469,0.0007842206712689929,0.00019515134075820157,0.00016923525038788488,3.183381633774516e-05,-0.00011988432336883853
10,1.3059311937192315,68600354.01038624,1798.9522601301724,605.1396309762981,1.6441557254182924,0.206710419922762,0.0394631878739493,0.010412933200021724,1.711041344136015,576.0973585854437,1.2659109120310497,1.0002011117408376,13.108718500931786,5.533795443060216,0.749963740663329,520.8499789894074,34.380474155134635,-0.00014632220980762014,-9.296430348242377e-05,0.0002985361918118704,-0.0011111662709330278,0.0008208514383007387,-0.0024090661885395924,0.0012974281230119728,-0.003748975220090327,0.0016465098087447296,-0.004875651652906484,0.0018279065468864667,-0.005567191533623631,0.0018446059175451746,-0.005674625410120208,0.0017365553270331786,-0.005147165828397529,0.0015678216419001405,-0.004039936029059922,0.001408710580222196,-0.0025039141738884894,0.0013157428085645792,-0.0007600175054110455,0.0013142440745808046,0.0009388101657449478,0.0013892628002799652,0.002351743925310889,0.0014892377273366918,0.003292937371508185,0.0015430164339182493,0.0036648035380836006,0.0014857114637885508,0.0034746527005975773,0.0012848132713239651,0.002831164233394266,0.0009571284238876569,0.0019219519387504724,0.0005702571667839485,0.0009776607159912543,0.0002276277869168403,0.00023003163581481357,3.2614513738705456e-05,-0.00012293937175710302
