时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.679908453742692,66238711.84747048,9754.163983520411,765.0824645808617,2.6350832096109684,0.32489094103238514,0.05984852154414797,0.012090883938718367,2.73830866638993,805.7201331711376,2.5285510432108262,3.3739251271986728,152.46896223759597,0.502180078514245,7.837182828063927,286.94258926740963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.679908453742692,66238711.84747048,9754.163983520411,765.0824645808617,2.6350832096109684,0.32489094103238514,0.05984852154414797,0.012090883938718367,2.73830866638993,805.7201331711376,2.5285510432108262,3.3739251271986728,152.46896223759597,0.502180078514245,7.837182828063927,286.94258926740963,3.115831797955107,-5.446610352320666e-06,-1.979356636084339e-06,-9.237010811958924e-07,-1.560089167528099e-05,9.049367057015338e-06,-4.146385807327261e-05,2.049840985007178e-05,-7.450346076684513e-05,3.066657776053507e-05,-0.00010837599136900451,3.7758131199370304e-05,-0.00013684013810624914,4.1126495774845635e-05,-0.00015481375399262686,4.12098370311768e-05,-0.00015919679150569807,3.9226148695618556e-05,-0.0001493183062223526,3.6717692136620886e-05,-0.0001269426456146325,3.505945261062602e-05,-9.58424231176039e-05,3.505556357113537e-05,-6.10232606979208e-05,3.673033964977196e-05,-2.7746217257126584e-05,3.937334537295691e-05,-5.342261024349747e-07,4.1826709038259145e-05,1.7643756944704308e-05,4.292639256110413e-05,2.5848617643263344e-05,4.195383456716535e-05,2.5213775341433916e-05,3.894207758189419e-05,1.8548508840584843e-05,3.472557403777948e-05,9.591877607459632e-06,3.0666778663614606e-05,2.074846927375161e-06,2.7464614282467175e-05,-8.731317534584644e-07
3,3.679908453742692,66238711.84747048,9754.163983520411,765.0824645808617,2.6350832096109684,0.32489094103238514,0.05984852154414797,0.012090883938718367,2.73830866638993,805.7201331711376,2.5285510432108262,3.3739251271986728,152.46896223759597,0.502180078514245,7.837182828063927,286.94258926740963,7.27462382355197,-1.2736898684362021e-05,-4.617249538931778e-06,-5.794067160331461e-07,-3.9884674261330274e-05,2.5788324959196383e-05,-0.00010772024145525044,5.616885444543998e-05,-0.00019484613494808681,8.317974724032448e-05,-0.0002842106188015034,0.00010194044400043337,-0.0003587747486194839,0.00011066983362301729,-0.0004045499412866932,0.0001105533858607239,-0.00041298073801389687,0.0001049277441183969,-0.000382263805544827,9.802980094152294e-05,-0.00031741350404397063,9.362888459433899e-05,-0.0002290927250289616,9.389079806558536e-05,-0.00013144484611114923,9.878043087398352e-05,-3.9336290381839936e-05,0.00010618158890961003,3.446402720333946e-05,0.00011271187654464284,8.161757859215317e-05,0.00011498942574284912,9.959736467835247e-05,0.0001109447033574791,9.184859249483806e-05,0.00010073086942432276,6.671007784919765e-05,8.691099969798847e-05,3.534843598390109e-05,7.374520495846736e-05,9.148597366272877e-06,6.422473938783057e-05,-2.0790296906103616e-06
4,3.679908453742692,66238711.84747048,9754.163983520411,765.0824645808617,2.6350832096109684,0.32489094103238514,0.05984852154414797,0.012090883938718367,2.73830866638993,805.7201331711376,2.5285510432108262,3.3739251271986728,152.46896223759597,0.502180078514245,7.837182828063927,286.94258926740963,11.426631780677557,-2.004382855490718e-05,-7.240333124302331e-06,3.0514278953258025e-06,-7.130480407758625e-05,5.2024764030561225e-05,-0.00019614305906584122,0.00010855536318526542,-0.0003571547657802979,0.0001587872208121228,-0.0005221180856992451,0.00019345233473323103,-0.000658398465050208,0.00020914583219623127,-0.0007390274771207377,0.0002081406332373012,-0.0007475119500929052,0.00019685978927832758,-0.000680542332158175,0.00018347414028252207,-0.0005482072887169632,0.0001752369656173705,-0.00037174203374292403,0.00017623887116891175,-0.0001792655214725505,0.0001862034606701684,-3.1013748129372786e-07,0.00020070624971040685,0.00013981231298178522,0.000212801764496762,0.00022470425512195383,0.00021558968457425142,0.0002496964854678787,0.00020490350424220928,0.00022223176599460326,0.00018121078628602786,0.0001597743183453976,0.00015005739049059327,8.574127855427412e-05,0.00012072214931283964,2.433430751420475e-05,0.0001010445995310868,-3.336104236205328e-06
5,3.679908453742692,66238711.84747048,9754.163983520411,765.0824645808617,2.6350832096109684,0.32489094103238514,0.05984852154414797,0.012090883938718367,2.73830866638993,805.7201331711376,2.5285510432108262,3.3739251271986728,152.46896223759597,0.502180078514245,7.837182828063927,286.94258926740963,15.72936961025297,-2.765992598830109e-05,-9.930575452986552e-06,1.4494762172550095e-05,-0.00012059756866671551,0.00010113229378298403,-0.00033910048380851495,0.00020104198526131416,-0.0006215907166095746,0.00028953465105476233,-0.0009099431764180962,0.0003499848603375309,-0.0011446763124006042,0.00037630424409405356,-0.0012764532392907332,0.00037268811947259385,-0.0012752521688306157,0.00035090418121121593,-0.0011355988024292646,0.00032593785595458016,-0.0008770885272094216,0.000311075166863197,-0.0005402308400385065,0.0003136749443644253,-0.0001784440271308013,0.0003328304511746974,0.0001523071553238502,0.0003597235459956188,0.0004042604577675308,0.00038072626403177405,0.0005468717605002208,0.00038239458995964964,0.0005722661662716464,0.0003567674609936867,0.0004960321411599605,0.000305157272783705,0.0003532641569659665,0.00023907763122294512,0.00019079937001186388,0.00017770760324673478,5.73249757788988e-05,0.00013933283219051313,-4.713059887341719e-06
6,3.679908453742692,66238711.84747048,9754.163983520411,765.0824645808617,2.6350832096109684,0.32489094103238514,0.05984852154414797,0.012090883938718367,2.73830866638993,805.7201331711376,2.5285510432108262,3.3739251271986728,152.46896223759597,0.502180078514245,7.837182828063927,286.94258926740963,19.54167963585552,-3.448191588121942e-05,-1.2244767924665631e-05,4.2339497322538574e-05,-0.00020291440911811528,0.0001946678035761187,-0.0005835463890135034,0.00036953999831811817,-0.0010755506774869858,0.0005235137106117549,-0.0015746580694871158,0.0006273801161709425,-0.001973691724297027,0.0006705762384995221,-0.00218384178612138,0.0006607407250145275,-0.002151671136397509,0.0006190161689093952,-0.0018688431200822183,0.0005724127396488428,-0.0013731359747695916,0.0005449841108230845,-0.0007407992551906626,0.0005499869753830831,-7.172830847817047e-05,0.0005853113753209399,0.0005298457423600719,0.0006339072637929968,0.000975515103084279,0.0006695583541591375,0.0012096908374512195,0.0006664999808899908,0.001219889840194814,0.0006097815933574082,0.001038164560881109,0.0005027102470178354,0.0007335031699080431,0.0003686023616157385,0.00039704649154551606,0.0002457898266183007,0.0001233400565738622,0.0001733842504425935,-6.041757874434531e-06
7,3.679908453742692,66238711.84747048,9754.163983520411,765.0824645808617,2.6350832096109684,0.32489094103238514,0.05984852154414797,0.012090883938718367,2.73830866638993,805.7201331711376,2.5285510432108262,3.3739251271986728,152.46896223759597,0.502180078514245,7.837182828063927,286.94258926740963,21.47029886111374,-3.800032418039695e-05,-1.3342213725892644e-05,7.453307285110324e-05,-0.0002842821761590735,0.00029287716842360957,-0.0008281493508623259,0.0005425095446995431,-0.001530559598830037,0.0007614015328518446,-0.0022402180884299127,0.0009080506058222948,-0.0028015719938565197,0.0009675440276935614,-0.003086041105028603,0.0009508229109793751,-0.0030169192231626796,0.0008881570835908661,-0.0025835507728286787,0.0008184958214200852,-0.001842740269753909,0.0007768865568579055,-0.0009075169998623771,0.0007829131316725476,7.462837458753862e-05,0.0008335849020170954,0.000950173575837163,0.0009035451341447621,0.0015893741217753495,0.0009534774901057227,0.001911480788511849,0.0009446287349504269,0.0018999785261843785,0.0008546760818979309,0.001604546096582268,0.0006891358199537096,0.0011295149033104005,0.00048389916485236465,0.0006117115744297493,0.00029741045666154117,0.00019258476061617604,0.0001906837684027058,-6.79948723418836e-06
8,3.679908453742692,66238711.84747048,9754.163983520411,765.0824645808617,2.6350832096109684,0.32489094103238514,0.05984852154414797,0.012090883938718367,2.73830866638993,805.7201331711376,2.5285510432108262,3.3739251271986728,152.46896223759597,0.502180078514245,7.837182828063927,286.94258926740963,22.61167089707423,-4.0138142938463624e-05,-1.393059657029986e-05,0.00010843576947328598,-0.00036524872434459275,0.00039261187035344124,-0.0010729718899809568,0.0007164874292727194,-0.0019866276557925083,0.0009997606916252147,-0.0029076255160427975,0.001188958822464478,-0.003631831091939392,0.001264856198887691,-0.003990821552225925,0.0012413751614037836,-0.0038846601429142137,0.001157446172455256,-0.0033004471373021824,0.001063684655920025,-0.0023140656806051076,0.0010062727151894755,-0.001075358265104583,0.0010116171408704252,0.0002205229489747981,0.0010763936375885676,0.0013706319477644773,0.0011671961595592119,0.0022037315848523007,0.0012314358199425849,0.0026138367475490526,0.0012169260020197725,0.0025804778025626065,0.0010935903352053552,0.0021711481988805513,0.0008691002546998308,0.001525684794130047,0.0005921917900991749,0.0008266185707258717,0.00034175949190449616,0.00026217998713252814,0.00020098056333473253,-7.310559307218469e-06
9,3.679908453742692,66238711.84747048,9754.163983520411,765.0824645808617,2.6350832096109684,0.32489094103238514,0.05984852154414797,0.012090883938718367,2.73830866638993,805.7201331711376,2.5285510432108262,3.3739251271986728,152.46896223759597,0.502180078514245,7.837182828063927,286.94258926740963,23.35842253920321,-4.1586425657376437e-05,-1.4263319044119025e-05,0.00014318284800105495,-0.0004461948293174896,0.0004930060941115179,-0.0013186820143326434,0.0008907336331082006,-0.0024451152263685314,0.001238098903885846,-0.003579439863122252,0.0014699443591560156,-0.004468724877059204,0.0015627092577318296,-0.004904515592146601,0.001532910229302295,-0.004763479217199372,0.0014276148738352587,-0.0040302878288829645,0.0013088001242663298,-0.0027996787309442286,0.001233931604148294,-0.0012580848887071472,0.0012367886901729786,0.0003518069522324972,0.0013143512101686384,0.001777581949898257,0.0014255221341254675,0.002806307288843049,0.0015043416522593116,0.0033065043636237913,0.0014847598996816469,0.0032535406654472447,0.0013285080284542122,0.0027325768442886637,0.001045240957333933,0.0019187936547450067,0.0006966689228753651,0.0010401960251370517,0.0003823587450219555,0.00033155661454237965,0.00020777917346444922,-7.695658697661916e-06
10,3.679908453742692,66238711.84747048,9754.163983520411,765.0824645808617,2.6350832096109684,0.32489094103238514,0.05984852154414797,0.012090883938718367,2.73830866638993,805.7201331711376,2.5285510432108262,3.3739251271986728,152.46896223759597,0.502180078514245,7.837182828063927,286.94258926740963,23.87947213809468,-4.264296155951648e-05,-1.4449582118987255e-05,0.00017837776327059754,-0.000527233924800426,0.0005936256395366838,-0.0015654384512612774,0.0010648312752738335,-0.002906415833237481,0.001476078115308495,-0.0042565534554265426,0.0017507997501304392,-0.005313915645701247,0.0018610566349967694,-0.005829767094146757,0.0018255434014808533,-0.005657102371950401,0.0016989090075024851,-0.004777841903843981,0.0015541609089397682,-0.003305207931562624,0.0014601885800386882,-0.0014618712854987473,0.0014587125295290166,0.00046216714530732545,0.0015477002446434923,0.0021650126681881697,0.0016787794246145684,0.003391793119515212,0.0017725648388151381,0.0039851674570527875,0.001748721580444847,0.003915974940387862,0.0015603142206731594,0.0032867287551556763,0.00121874254197846,0.0023076488899760454,0.0007987484800482355,0.0012518925985473407,0.0004207468699541548,0.00040051618836221375,0.00021259064396084577,-8.007642937518966e-06
