时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,1.32024090303316,34879545.78598634,-2344.134886060512,38.8141221889638,0.9326196439047145,0.13764489881864506,0.058900125677382835,0.0036530054513268006,0.9842633255930171,933.0433658424639,4.987516054414801,5.511436099180175,338.116273069168,7.436553023834285,7.355797940678053,769.473618856508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.32024090303316,34879545.78598634,-2344.134886060512,38.8141221889638,0.9326196439047145,0.13764489881864506,0.058900125677382835,0.0036530054513268006,0.9842633255930171,933.0433658424639,4.987516054414801,5.511436099180175,338.116273069168,7.436553023834285,7.355797940678053,769.473618856508,14.335026266017255,-2.8496010036143222e-06,-1.5013670515425665e-06,3.5922331409641967e-06,-2.0321288874228517e-05,1.8792228639352648e-05,-5.2451039372388945e-05,3.5467066770242226e-05,-9.17894195993916e-05,4.950803685675555e-05,-0.0001299142819322255,5.830380855344983e-05,-0.00015864724221412366,6.11237340991744e-05,-0.0001715427475393909,5.900623224099298e-05,-0.0001650636625370209,5.4213634758407035e-05,-0.0001391942839323638,4.941258353605657e-05,-9.740584896985493e-05,4.679684972342667e-05,-4.598239662471832e-05,4.7389951431862396e-05,7.169408730063523e-06,5.072686451512922e-05,5.4010648121019926e-05,5.501739827952027e-05,8.787974752436881e-05,5.7756050366050354e-05,0.00010472719366696407,5.6603662171934655e-05,0.00010382950389972942,5.027228925348425e-05,8.784433164702756e-05,3.912777477628545e-05,6.21976736970832e-05,2.5307334412528593e-05,3.394590356625005e-05,1.2288853022508493e-05,1.0321674688993849e-05,1.8831577399884357e-06,-1.144255687900737e-06
3,1.32024090303316,34879545.78598634,-2344.134886060512,38.8141221889638,0.9326196439047145,0.13764489881864506,0.058900125677382835,0.0036530054513268006,0.9842633255930171,933.0433658424639,4.987516054414801,5.511436099180175,338.116273069168,7.436553023834285,7.355797940678053,769.473618856508,32.39545591497311,-6.449939661011346e-06,-3.3801299494783616e-06,1.4391244209489624e-05,-5.7292152324162906e-05,5.9318795618016026e-05,-0.0001510985692918073,0.00010859234724013234,-0.0002661550523485266,0.0001500973647620047,-0.00037752205129317265,0.00017608204430504895,-0.00046078207010736286,0.00018435291494407535,-0.0004966147420526292,0.0001779841431217524,-0.0004744053471258632,0.0001637220264121518,-0.00039415100321904756,0.00014954725208014087,-0.00026639381656171123,0.00014203733163838756,-0.00011020449183586379,0.00014424431283866328,5.041643843274483e-05,0.00015470431042921088,0.00019106830997736183,0.0001679121304208788,0.0002915549529264101,0.0001761735196897474,0.0003396599866077436,0.00017231003866397074,0.000333333532205544,0.00015238916932159178,0.0002808630126075087,0.00011759381395055063,0.00019900988954460168,7.459749402795199e-05,0.00010954840043850159,3.4254615323693895e-05,3.487652262369992e-05,4.251259533340621e-06,-2.597404991006644e-06
4,1.32024090303316,34879545.78598634,-2344.134886060512,38.8141221889638,0.9326196439047145,0.13764489881864506,0.058900125677382835,0.0036530054513268006,0.9842633255930171,933.0433658424639,4.987516054414801,5.511436099180175,338.116273069168,7.436553023834285,7.355797940678053,769.473618856508,53.33283866591131,-1.0656521259552352e-05,-5.5086594365801e-06,5.06700513136435e-05,-0.00014332587646309923,0.0001697916955622747,-0.00038872752751439177,0.0003001476610333532,-0.0006900191042094596,0.00040989474726496356,-0.0009809462571265819,0.00047856030946480876,-0.0011961435474604181,0.000500269813629279,-0.0012837318420879271,0.00048308044124468954,-0.0012152323540024536,0.00044488957766730946,-0.0009908632562881158,0.00040704961011519484,-0.0006394561190371802,0.000387312249876008,-0.00021305764586100831,0.0003939940724315262,0.00022282662633768178,0.00042310259053573887,0.0006016085270068149,0.0004594691022677963,0.0008682785745512074,0.0004817785296663753,0.0009898289279987546,0.0004700999862438512,0.000961287032188382,0.0004135771884502637,0.0008061424395908953,0.0003157190067258722,0.0005711570444288944,0.00019543821121557745,0.0003167977079755745,8.332008671209903e-05,0.00010526931975852425,6.9768372453901215e-06,-4.323279514546372e-06
5,1.32024090303316,34879545.78598634,-2344.134886060512,38.8141221889638,0.9326196439047145,0.13764489881864506,0.058900125677382835,0.0036530054513268006,0.9842633255930171,933.0433658424639,4.987516054414801,5.511436099180175,338.116273069168,7.436553023834285,7.355797940678053,769.473618856508,64.30223676925203,-1.2905063535822754e-05,-6.550442082055357e-06,0.00010433866029805098,-0.000251735812586475,0.00031998626521649056,-0.000694012065606444,0.0005554585233130769,-0.0012372816838338327,0.0007536808908913773,-0.0017613222008775829,0.0008779302669264001,-0.0021471497327968003,0.0009174745535124757,-0.002300259844019832,0.0008864503133227128,-0.002168826260753341,0.0008168147916967661,-0.001753426050816386,0.0007471682410101941,-0.0011069392352165961,0.0007100999997687884,-0.0003247750827652894,0.000721360090420754,0.0004728990027867887,0.0007741515633795742,0.0011638467744117722,0.0008407711719624878,0.001647129868194853,0.0008817053959502633,0.0018624352122155418,0.000859720193882492,0.001801254254977852,0.0007544677898107236,0.0015075686290859961,0.0005725776146707117,0.0010680903186227905,0.0003495587363608556,0.000594480147797942,0.0001425636894649163,0.00020140548244907173,8.374844132245042e-06,-5.28526043438121e-06
6,1.32024090303316,34879545.78598634,-2344.134886060512,38.8141221889638,0.9326196439047145,0.13764489881864506,0.058900125677382835,0.0036530054513268006,0.9842633255930171,933.0433658424639,4.987516054414801,5.511436099180175,338.116273069168,7.436553023834285,7.355797940678053,769.473618856508,69.67429578971118,-1.404452836584801e-05,-6.996802760748731e-06,0.00016037691586690748,-0.0003596291690615591,0.0004726142229161915,-0.0010002475516659448,0.000813101322202938,-0.0017877837542382186,0.00109991884676706,-0.00254771848534602,0.0012803546375899663,-0.003107031972818392,0.0013386569551786115,-0.003328242070688254,0.001294474016219195,-0.0031359083041936015,0.001193191114361326,-0.0025307423834118846,0.0010903941685953317,-0.0015894783085030168,0.001033844107921152,-0.00045079188381781535,0.001047508371580866,0.0007103837105613079,0.001122581752274636,0.001715831034350135,0.0012191831516416823,0.0024182284217285745,0.001279344455788503,0.002729576309567081,0.0012478734414551364,0.0026376633526602224,0.0010943253248191468,0.0022069893742198785,0.0008282677886753611,0.0015642839947350837,0.0005020944725633346,0.0008723781698487338,0.00019999068261323394,0.00029831967443755026,9.0341300947394e-06,-5.804651291001676e-06
7,1.32024090303316,34879545.78598634,-2344.134886060512,38.8141221889638,0.9326196439047145,0.13764489881864506,0.058900125677382835,0.0036530054513268006,0.9842633255930171,933.0433658424639,4.987516054414801,5.511436099180175,338.116273069168,7.436553023834285,7.355797940678053,769.473618856508,72.83949445651027,-1.47473444253742e-05,-7.207854942890933e-06,0.00021731546062547295,-0.00046764272408421386,0.0006259941874779,-0.0013081314114322885,0.001071266027265833,-0.0023425065898047366,0.0014467763719083224,-0.0033417280622556286,0.001684088387248864,-0.004078390008257902,0.0017622441236109026,-0.004371684355542276,0.0017057816214133322,-0.0041222188328985734,0.0015728089885581069,-0.00333046551109028,0.0014355674411686617,-0.0020965968907934486,0.0013572917861902638,-0.0006021924817997627,0.0013709796769261614,0.0009232092005277308,0.00146670484753144,0.0022452742641645555,0.0015928909611209925,0.003169917239382154,0.0016729721745253646,0.003580994205301214,0.0016331945777115562,0.003462210605489856,0.0014323723588948352,0.0028983055535742866,0.0010827042613360098,0.0020557586725048777,0.000653583026230685,0.0011482500013168498,0.00025652908101610357,0.0003949241741448157,9.402808628864492e-06,-6.148742337446348e-06
8,1.32024090303316,34879545.78598634,-2344.134886060512,38.8141221889638,0.9326196439047145,0.13764489881864506,0.058900125677382835,0.0036530054513268006,0.9842633255930171,933.0433658424639,4.987516054414801,5.511436099180175,338.116273069168,7.436553023834285,7.355797940678053,769.473618856508,74.90774968329589,-1.5233756469880781e-05,-7.301534693994809e-06,0.0002746606623894279,-0.0005759682070094692,0.0007795437176892411,-0.0016178650074033945,0.0013293059332042014,-0.0029017637819901765,0.0017935799904682554,-0.004143921873545945,0.002088478219498946,-0.005062210847989028,0.0021876491700816036,-0.005432128839613879,0.002119881456881665,-0.005129946636477472,0.0019552676042931174,-0.004155454079611799,0.0017823362400000737,-0.0026317627893143853,0.001680074875692404,-0.0007829002918537137,0.0016913310175544,0.001107235617192971,0.001805984852526209,0.0027481120762740223,0.0019613061447787197,0.0038984969641210785,0.002062038190411287,0.004413582910664047,0.002015278112833559,0.004272509100000491,0.0017684275012773247,0.003579858921100786,0.001335947325097665,0.002541490091670827,0.0008042738673489487,0.0014215378304443934,0.00031251742360022456,0.000490931225008083,9.627645959998293e-06,-6.4051126843297115e-06
9,1.32024090303316,34879545.78598634,-2344.134886060512,38.8141221889638,0.9326196439047145,0.13764489881864506,0.058900125677382835,0.0036530054513268006,0.9842633255930171,933.0433658424639,4.987516054414801,5.511436099180175,338.116273069168,7.436553023834285,7.355797940678053,769.473618856508,76.35106886795018,-1.5597432274334332e-05,-7.328039353646558e-06,0.000332187532152045,-0.0006846614790608284,0.0009329715304311327,-0.0019294647898226184,0.0015868635524766896,-0.00346557427346495,0.002139918556702186,-0.004954395245668849,0.002493087828010048,-0.0060587529346361755,0.0026144510391740393,-0.006510075021545708,0.0025364063476238288,-0.006159886021068261,0.0023402726060641837,-0.0050068184094001645,0.002130466421577126,-0.0031963845180216555,0.0020019785828368315,-0.0009945581058707202,0.002008318019809773,0.0012606966249547624,0.002140118802878436,0.00322259685657684,0.002324078000282397,0.004602381094565683,0.00244619416456499,0.005226025239974113,0.0023938457377492375,0.005067563761789891,0.0021023363064425586,0.004250971899209216,0.0015879812555844727,0.003021067971054605,0.0009542599211498095,0.001692021053421895,0.0003680989870304561,0.0005862250177742147,9.771087259150631e-06,-6.611016330630214e-06
10,1.32024090303316,34879545.78598634,-2344.134886060512,38.8141221889638,0.9326196439047145,0.13764489881864506,0.058900125677382835,0.0036530054513268006,0.9842633255930171,933.0433658424639,4.987516054414801,5.511436099180175,338.116273069168,7.436553023834285,7.355797940678053,769.473618856508,77.40159418123788,-1.5884431609096664e-05,-7.312088154747401e-06,0.00038977272541887317,-0.0007937304860683352,0.0010860955078568007,-0.0022428861649207875,0.0018436869685710575,-0.004033860465433793,0.0024854731074308825,-0.005773084253351901,0.0028975541728353473,-0.007068025598113597,0.0030422828689412986,-0.007605661698435101,0.0029550287095935516,-0.007212347659715212,0.0027275618828854734,-0.005885065461230844,0.002479756395280226,-0.003791167574304167,0.00232282663536084,-0.0012380424043150688,0.0023217424427230725,0.0013826071131139552,0.002468854023157262,0.0036677241621771287,0.0026809019744163448,0.00528063973651024,0.0028251225355700803,0.00601753856640112,0.002768623781534903,0.005846775839572145,0.0024339166863059326,0.004911230524415201,0.0018387323672738544,0.0034942376653001347,0.001103556566023092,0.001959563048641814,0.00042333607352964343,0.0006807391836506348,9.863870120643813e-06,-6.7847665680898224e-06
