时间步,截面质量I0,压缩刚度A11,压-弯耦合刚度B11,弯曲刚度D11,跨径L,拱高f,拱截面宽b,拱截面高h,拱长S,长细比λ,左X弹性支撑系数KXL,左Y弹性支撑系数KYL,左转动弹性支撑系数KZL,右X弹性支撑系数KXR,右Y弹性支撑系数KYR,右转动弹性支撑系数KZR,荷载,节点_1_x位移,节点_1_y位移,节点_2_x位移,节点_2_y位移,节点_3_x位移,节点_3_y位移,节点_4_x位移,节点_4_y位移,节点_5_x位移,节点_5_y位移,节点_6_x位移,节点_6_y位移,节点_7_x位移,节点_7_y位移,节点_8_x位移,节点_8_y位移,节点_9_x位移,节点_9_y位移,节点_10_x位移,节点_10_y位移,节点_11_x位移,节点_11_y位移,节点_12_x位移,节点_12_y位移,节点_13_x位移,节点_13_y位移,节点_14_x位移,节点_14_y位移,节点_15_x位移,节点_15_y位移,节点_16_x位移,节点_16_y位移,节点_17_x位移,节点_17_y位移,节点_18_x位移,节点_18_y位移,节点_19_x位移,节点_19_y位移,节点_20_x位移,节点_20_y位移,节点_21_x位移,节点_21_y位移
1,3.9574775574066168,100131293.48060615,-7153.928235948988,335.63733180424424,1.6347875867225996,0.15483098028877346,0.08754548003085542,0.006701374380095886,1.6730902924720787,913.8378932612351,2.5738165748544457,6.059008116551395,533.4506870234785,0.7226512624881192,1.4554747233561134,328.7010772658449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.9574775574066168,100131293.48060615,-7153.928235948988,335.63733180424424,1.6347875867225996,0.15483098028877346,0.08754548003085542,0.006701374380095886,1.6730902924720787,913.8378932612351,2.5738165748544457,6.059008116551395,533.4506870234785,0.7226512624881192,1.4554747233561134,328.7010772658449,3.3412778939834413,-3.4602101899337686e-06,-5.45822277596157e-07,-1.2057064252996564e-06,-1.1944959426453543e-05,5.001461149989019e-06,-3.296309427943676e-05,1.19646341573731e-05,-5.9359749356299484e-05,1.804119262862335e-05,-8.603359831493351e-05,2.2193349202821728e-05,-0.00010807951488504093,2.408194917208125e-05,-0.00012157189688696218,2.4004792550628186e-05,-0.00012417580729934155,2.2707451147018856e-05,-0.00011547003681042254,2.1115554401114992e-05,-9.693344995007739e-05,2.0049935697626007e-05,-7.16032278966259e-05,1.999115534845017e-05,-4.347054161779192e-05,2.0953186815028014e-05,-1.6724320296465834e-05,2.2503163942004074e-05,5.017631282948732e-06,2.3925651591866504e-05,1.9346164408941526e-05,2.4485031827872403e-05,2.5445484948447855e-05,2.3703929745336746e-05,2.415186557846618e-05,2.1563995454891386e-05,1.767615042521379e-05,1.8555851479557782e-05,9.048324824064795e-06,1.5550819254272364e-05,1.3899386468128029e-06,1.241572512328641e-05,-2.3517162945871995e-06
3,3.9574775574066168,100131293.48060615,-7153.928235948988,335.63733180424424,1.6347875867225996,0.15483098028877346,0.08754548003085542,0.006701374380095886,1.6730902924720787,913.8378932612351,2.5738165748544457,6.059008116551395,533.4506870234785,0.7226512624881192,1.4554747233561134,328.7010772658449,7.216539293624968,-7.4814960866154e-06,-1.177292956932777e-06,-1.916040517860741e-06,-2.778494603730759e-05,1.2770289934069466e-05,-7.724174443577354e-05,2.9283414385070854e-05,-0.0001395587478735393,4.3706595987147456e-05,-0.00020254699037923797,5.354035803691804e-05,-0.0002543549173081311,5.795697287643361e-05,-0.0002854380993982003,5.766815635620475e-05,-0.0002901014583498772,5.447554759476574e-05,-0.0002673273682249236,5.06232201971288e-05,-0.00022076718015759427,4.810158106333465e-05,-0.00015791618538565604,4.806611720466548e-05,-8.863235913170592e-05,5.052072256216543e-05,-2.3271178298996635e-05,5.436124113868846e-05,2.921966143907953e-05,5.7780337633046886e-05,6.28887517279897e-05,5.8922046723390886e-05,7.575053732995227e-05,5.6583143908003566e-05,6.995299906785734e-05,5.072750083914007e-05,5.1117045711348496e-05,4.2629763058778715e-05,2.699042730490167e-05,3.457943016279628e-05,5.678847500847642e-06,2.684012837218829e-05,-5.090409466221161e-06
4,3.9574775574066168,100131293.48060615,-7153.928235948988,335.63733180424424,1.6347875867225996,0.15483098028877346,0.08754548003085542,0.006701374380095886,1.6730902924720787,913.8378932612351,2.5738165748544457,6.059008116551395,533.4506870234785,0.7226512624881192,1.4554747233561134,328.7010772658449,11.524475319771492,-1.1963115575869839e-05,-1.8758345046481444e-06,-1.3428174448869098e-06,-4.930944483784726e-05,2.5247454809244347e-05,-0.00013825249895875743,5.5191343850051575e-05,-0.0002506529488093525,8.134802360936387e-05,-0.0003642009168363687,9.911799380543327e-05,-0.0004569562881848926,0.0001069619028953386,-0.0005111410207377754,0.00010618651058725178,-0.0005161237064966426,0.00010012927225082482,-0.000470048868320228,9.296133553630108e-05,-0.000379871454908195,8.838441356497575e-05,-0.00025982988608214217,8.85281356287086e-05,-0.0001286570692301798,9.333681534458543e-05,-6.042880460899869e-06,0.00010063892435943537,9.099957805512186e-05,0.00010691420934650003,0.00015118268634262613,0.00010855356278607388,0.00017082757522591456,0.00010322440548283,0.00015422730809941948,9.08886513199169e-05,0.00011243540243539746,7.411443420184846e-05,6.074731674320193e-05,5.754552856945373e-05,1.537576914027511e-05,4.290587394373555e-05,-8.152897900139512e-06
5,3.9574775574066168,100131293.48060615,-7153.928235948988,335.63733180424424,1.6347875867225996,0.15483098028877346,0.08754548003085542,0.006701374380095886,1.6730902924720787,913.8378932612351,2.5738165748544457,6.059008116551395,533.4506870234785,0.7226512624881192,1.4554747233561134,328.7010772658449,15.913090857141055,-1.6543520277316266e-05,-2.5804412617126067e-06,1.8464704387892604e-06,-7.870319755604572e-05,4.520941057573764e-05,-0.00022266884718239943,9.404472023451261e-05,-0.0004049559596640586,0.00013665299336968468,-0.0005887694097802558,0.00016544826415133062,-0.0007375625239547191,0.0001778784976324361,-0.0008215755370243813,0.00017611163902858776,-0.0008230109058452062,0.00016570947185594833,-0.0007389012940779265,0.0001536464605725938,-0.0005812463334187544,0.0001461212756267936,-0.0003744645583165871,0.00014667281527308142,-0.00015066067686414172,0.00015510370592016897,5.642253721025177e-05,0.0001675687352718502,0.00021765371399015468,0.00017788347397239615,0.00031378969655794015,0.0001797175290645325,0.0003387702978004367,0.0001690014350664419,0.00030040655924429033,0.00014574655482603446,0.00021835874960562108,0.00011463677781833852,0.00011985604919068967,8.41461941914739e-05,3.402021919959232e-05,5.930572648343387e-05,-1.1300979651950932e-05
6,3.9574775574066168,100131293.48060615,-7153.928235948988,335.63733180424424,1.6347875867225996,0.15483098028877346,0.08754548003085542,0.006701374380095886,1.6730902924720787,913.8378932612351,2.5738165748544457,6.059008116551395,533.4506870234785,0.7226512624881192,1.4554747233561134,328.7010772658449,20.2832213176805,-2.1125265639282555e-05,-3.2672890242447743e-06,1.0268978165734608e-05,-0.00012300581782832186,7.954843660959947e-05,-0.000351253514192121,0.00015741607956298227,-0.0006404072935669401,0.00022516011887805808,-0.0009309814267711519,0.00027061796425335665,-0.001163447906667297,0.0002897035321972952,-0.0012891948132497427,0.00028593947966333404,-0.0012792426175319382,0.00026836358897916045,-0.0011291299407990285,0.00024835677202036477,-0.0008592395320920557,0.0002360749413300386,-0.0005106243949667291,0.000237301141529751,-0.0001371460328355081,0.0002515755133621689,0.00020464296040016968,0.00027226540586064614,0.00046601507460321056,0.00028874045365146704,0.0006150006279756561,0.0002901247471609776,0.0006420109042165507,0.0002694756117857726,0.0005610681646837042,0.00022697811545622623,0.00040645047932723116,0.00017101202300656823,0.00022550578779391813,0.00011665324804557533,6.909806682532064e-05,7.566888968449026e-05,-1.4483563975188448e-05
7,3.9574775574066168,100131293.48060615,-7153.928235948988,335.63733180424424,1.6347875867225996,0.15483098028877346,0.08754548003085542,0.006701374380095886,1.6730902924720787,913.8378932612351,2.5738165748544457,6.059008116551395,533.4506870234785,0.7226512624881192,1.4554747233561134,328.7010772658449,24.039540865854136,-2.5092305406103727e-05,-3.8297586284904766e-06,2.7127480010942815e-05,-0.0001887250481400722,0.00013539802653412432,-0.0005433624749663321,0.00025661732187250917,-0.000992258645399071,0.00036165246015024274,-0.0014413894904825996,0.00043161844305572843,-0.0017962899696251356,0.00046020185842336346,-0.0019797946412183115,0.0004529294599658029,-0.0019461776629882868,0.00042399040002612666,-0.0016891192054213646,0.00039138287343154276,-0.00124230646086085,0.00037132418897085884,-0.0006727520704315445,0.00037314196544052105,-6.810797030904033e-05,0.0003960660326188343,0.0004797479349152646,0.0004291423599083882,0.0008918613018340622,0.00045470435954791905,0.0011168412730444685,0.0004546195399224335,0.0011401175737678689,0.00041737189360174304,0.0009859848385749379,0.0003435172711648547,0.0007121015763530352,0.00024749612381263434,0.0003976939761015854,0.00015505009768654513,0.00012789802384074805,8.976014893592016e-05,-1.7296052009520363e-05
8,3.9574775574066168,100131293.48060615,-7153.928235948988,335.63733180424424,1.6347875867225996,0.15483098028877346,0.08754548003085542,0.006701374380095886,1.6730902924720787,913.8378932612351,2.5738165748544457,6.059008116551395,533.4506870234785,0.7226512624881192,1.4554747233561134,328.7010772658449,26.2003245112636,-2.740009689638464e-05,-4.125288270131496e-06,4.632699815337381e-05,-0.0002539796648995739,0.00019343103162281197,-0.0007348751046906214,0.0003575674801677824,-0.0013430710209928936,0.000499384986945586,-0.0019498511991346541,0.0005934869283736926,-0.002425727672039755,0.0006313890105801218,-0.0026649976543706914,0.0006204850091547036,-0.0026053071530200565,0.0005798926912255765,-0.0022386750556477046,0.0005340927710939802,-0.001612342536946354,0.0005054297830265856,-0.0008195664766999257,0.0005070102199827821,1.790616344107568e-05,0.0005379979165160226,0.0007725821087482006,0.0005831963672546083,0.0013350727077458076,0.0006177497435565621,0.001634525575009427,0.0006159800516188711,0.001651570173464408,0.0005615720229026551,0.0014211583756757742,0.0004554568364313581,0.0010248267799216361,0.00031839015383036706,0.0005741706385630223,0.00018713724983933692,0.00018898801801206272,9.78826234244605e-05,-1.8984349029556162e-05
9,3.9574775574066168,100131293.48060615,-7153.928235948988,335.63733180424424,1.6347875867225996,0.15483098028877346,0.08754548003085542,0.006701374380095886,1.6730902924720787,913.8378932612351,2.5738165748544457,6.059008116551395,533.4506870234785,0.7226512624881192,1.4554747233561134,328.7010772658449,27.589831157522685,-2.890636918493583e-05,-4.291508807003479e-06,6.666643704344541e-05,-0.0003191932966497898,0.00025248449978688064,-0.0009267483414284053,0.0004592500696404816,-0.0016948004473203739,0.000637577647268677,-0.0024598439093843237,0.0007557342146828807,-0.0030572724433687113,0.0008030746203178205,-0.003352778664546594,0.000788672330780633,-0.003267339116032127,0.0007363063819375158,-0.002791279536164151,0.0006767782479721522,-0.0019853637132421103,0.0006386280552750723,-0.0009690748453872637,0.0006390149327493075,0.00010172146923406554,0.0006773550127562781,0.0010638348017387646,0.0007343814593645798,0.0017773222107735054,0.0007779825004770784,0.0021517644261320537,0.0007746950991946774,0.002162948387076648,0.0007031671398500466,0.0018565085499732876,0.0005646277029580882,0.001337910906612783,0.0003862610130329764,0.0007511486947313218,0.00021604529778391674,0.00025067783081623237,0.00010312210561609529,-2.012695840621036e-05
10,3.9574775574066168,100131293.48060615,-7153.928235948988,335.63733180424424,1.6347875867225996,0.15483098028877346,0.08754548003085542,0.006701374380095886,1.6730902924720787,913.8378932612351,2.5738165748544457,6.059008116551395,533.4506870234785,0.7226512624881192,1.4554747233561134,328.7010772658449,28.551587184556418,-2.9969516232353936e-05,-4.385888425580574e-06,8.762909611395428e-05,-0.00038450209904247214,0.0003120434298140734,-0.0011193056156884543,0.0005612080911033364,-0.002048203709618078,0.0007758808253973536,-0.002972844275639857,0.000918149319349368,-0.003693391646527586,0.000975194228685449,-0.0040467981349048224,0.0009575567581150041,-0.003937218945785328,0.0008933878933678594,-0.003353117728835406,0.0008196340912838078,-0.0023686036490831184,0.0007710996045212161,-0.0011292324342922582,0.0007692887288611028,0.00017509358247149877,0.0008142242688213248,0.0013454596754917,0.0008827853703023239,0.0022112371701158645,0.0009355745833548078,0.0026622534539618697,0.0009311185550376986,0.0026692707479446776,0.0008427733622828074,0.0022884552125646738,0.0006719415141350438,0.0016490705167831626,0.0004522857138661808,0.0009273795978984124,0.00024312757653511066,0.0003123919322518969,0.00010676809842970246,-2.096584412831524e-05
